,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2003-03,1.334B,1.359B,813.58M,545.47M,184.19M,84.37M,268.56M,,,24.51M,,,,,366.72M,178.75M,,,,24.51M,,63.15M,5.232M,57.92M,,57.92M,35.44M,282.18M,103.43M,178.75M,0.1195,0.00,,0.0730,0.1195,0.1185,0.00,,,2003-03,483.00M,488.59M,,2003-03,,
2002-12,1.325B,1.325B,7.729M,1.317B,,,-71.11M,,,-1.811B,,,,,-655.29M,1.972B,,,,-1.811B,,-622.72M,63.22M,-685.94M,,-683.34M,400.71M,2.081B,108.68M,1.972B,-0.3885,0.00,,1.862,-0.3885,-0.3885,0.00,,,2002-12,482.75M,482.75M,,2002-12,,
2002-09,1.223B,1.223B,879.33M,343.52M,47.13M,102.70M,149.83M,,,-175.09M,,,,,247.65M,95.87M,,,,-175.09M,,168.58M,-0.636M,-167.95M,,-167.95M,-62.89M,196.66M,100.79M,95.87M,-0.3486,0.00,,-0.1309,-0.3486,-0.3486,0.00,,,2002-09,482.62M,482.62M,,2002-09,,
2002-06,1.169B,1.169B,596.54M,572.14M,250.33M,87.40M,337.74M,,,-3.358M,,,,97.70M,523.41M,48.73M,,,,-3.358M,,56.13M,10.29M,45.84M,,45.84M,48.58M,139.66M,90.93M,48.73M,0.0797,0.00,,0.0854,0.0797,0.0697,0.00,,,2002-06,482.30M,546.28M,,2002-06,,
2002-03,1.104B,1.104B,559.83M,544.64M,271.63M,96.19M,367.82M,,,-34.22M,,,,,449.36M,95.28M,,,,-34.22M,,-38.38M,0.225M,-38.61M,,-38.61M,-18.07M,179.75M,84.47M,95.28M,-0.1992,0.00,,-0.1566,-0.1992,-0.1992,0.00,,,2002-03,481.62M,481.62M,,2002-03,,
2001-12,1.150B,1.150B,-58.89M,1.209B,,,-43.69M,,,-1.127B,,,,,40.40M,1.169B,,,,-1.127B,,-41.63M,1.242M,-42.87M,,21.30M,633.34M,1.256B,86.69M,1.169B,-0.0896,0.00,,1.315,-0.0896,-0.0896,0.00,,,2001-12,481.27M,481.27M,,2001-12,,
2001-09,1.023B,1.023B,736.18M,286.32M,45.38M,92.60M,137.98M,,,-4.49M,,,,,210.85M,75.47M,,,,-4.49M,,3.21M,0.115M,3.095M,,3.095M,7.424M,151.18M,75.71M,75.47M,0.0100,0.00,,0.0190,0.0100,0.0100,0.00,,,2001-09,480.82M,488.51M,,2001-09,,
2001-06,966.27M,966.27M,53.73M,912.54M,253.73M,525.05M,778.78M,,,-4.765M,,,,7.011M,848.63M,63.91M,,,,-4.765M,,2.297M,0.048M,2.249M,,2.249M,6.914M,128.63M,64.72M,63.91M,0.00,0.00,,0.0098,0.00,0.00,0.00,,,2001-06,477.65M,486.00M,,2001-06,,
2001-03,861.93M,861.93M,44.76M,817.16M,300.16M,465.88M,766.04M,,,-100.73M,,,,7.456M,832.35M,-15.18M,,,,-100.73M,,-166.99M,0.049M,-167.04M,,-167.04M,-106.60M,45.54M,60.73M,-15.18M,-0.3486,0.00,,-0.2218,-0.3486,-0.3486,0.00,,,2001-03,476.44M,476.44M,,2001-03,,
2000-12,805.40M,805.40M,72.86M,732.53M,345.26M,429.47M,774.73M,,,-17.52M,,,,12.87M,846.27M,-113.74M,,,,-17.52M,,-171.92M,0.41M,-172.33M,,-172.33M,-161.81M,-53.18M,60.56M,-113.74M,-0.4183,0.00,,-0.3962,-0.4183,-0.4183,,,,2000-12,475.60M,476.06M,,2000-12,,
2000-09,697.97M,697.97M,47.31M,650.66M,287.83M,388.83M,676.66M,,,-12.66M,,,,11.57M,732.74M,-82.08M,,,,-12.66M,,-130.84M,0.054M,-130.89M,,-130.89M,-123.30M,-36.02M,46.07M,-82.08M,-0.2789,0.00,,-0.2629,-0.2789,-0.2789,0.00,,,2000-09,474.88M,474.88M,,2000-09,,
2000-06,646.13M,646.13M,53.44M,592.69M,252.30M,371.89M,624.19M,,,-15.06M,,,,13.02M,678.92M,-86.23M,,,,-15.06M,,132.82M,0.036M,-132.86M,,-132.86M,-117.80M,-42.99M,43.24M,-86.23M,-0.2789,0.00,,-0.2471,-0.2789,-0.2789,0.00,,,2000-06,473.42M,473.42M,,2000-06,,
2000-03,565.72M,565.72M,322.90M,242.82M,,,342.84M,,,-0.543M,,,,,384.84M,-142.02M,,,,-0.543M,,-185.08M,0.055M,-185.13M,,-185.13M,-184.80M,-100.02M,41.99M,-142.02M,-0.3984,0.00,,-0.3977,-0.3984,-0.3984,0.00,,,2000-03,467.61M,467.61M,,2000-03,,
1999-12,514.80M,514.80M,297.50M,217.30M,,,342.90M,,,-15.30M,,,,,378.30M,-161.00M,,,,-15.30M,,-219.80M,0.10M,-219.90M,,-219.90M,-210.72M,-125.60M,35.40M,-161.00M,-1.145,0.6674,0.0222,-1.126,-0.4781,-1.145,0.6674,0.0222,,1999-12,459.96M,459.96M,,1999-12,,
1999-09,428.20M,428.20M,237.30M,190.90M,,,241.60M,,,-1.60M,,,,,270.30M,-79.40M,,,,-1.60M,,,,-124.40M,,-124.40M,-123.44M,-50.70M,28.70M,-79.40M,-0.2789,0.00,,-0.2768,-0.2789,-0.2789,0.00,,,1999-09,457.20M,457.20M,,1999-09,,
1999-06,350.00M,350.00M,190.00M,160.00M,,,184.10M,,,23.70M,,,,,210.80M,-50.80M,,,,23.70M,,,,-76.10M,,-76.10M,-90.32M,-24.10M,26.70M,-50.80M,-0.1992,0.00,,-0.2364,-0.1992,-0.1992,0.00,,,1999-06,382.00M,382.00M,,1999-06,,
1999-03,309.58M,309.58M,159.84M,149.73M,,,169.32M,,,-0.01M,,,,,205.42M,-55.68M,,,,-0.01M,,-103.27M,0.066M,-103.33M,,-372.33M,-103.33M,-19.59M,36.10M,-55.68M,-0.2988,-0.7371,-0.7411,-0.2988,-1.036,-0.2988,-0.7371,-0.7411,,1999-03,362.96M,362.96M,,1999-03,,
1998-12,286.92M,286.92M,316.66M,-29.74M,,,-110.05M,,,0.026M,,,,,40.40M,-70.14M,,,,0.026M,,,,-113.33M,,-113.33M,-113.34M,80.31M,60.99M,-70.14M,-0.3287,0.00,,-0.3287,-0.3287,-0.3287,0.00,,,1998-12,362.75M,362.75M,,1998-12,,
1998-09,235.41M,235.41M,32.22M,203.19M,65.74M,128.94M,194.68M,21.90M,1.964M,0.097M,,,,,218.54M,-15.35M,,,,0.097M,,-52.05M,-0.078M,-51.97M,,-51.97M,-52.07M,41.58M,56.93M,-15.35M,-0.1693,0.00,,-0.1696,-0.1693,-0.1693,0.00,,,1998-09,361.53M,361.53M,,1998-09,,
1998-06,245.84M,245.84M,57.18M,188.66M,67.54M,112.72M,180.26M,18.76M,5.886M,-0.713M,,,,,204.90M,-16.24M,,,,-0.713M,,-45.60M,0.112M,-45.72M,,-45.72M,-45.29M,36.98M,53.23M,-16.24M,-0.1594,0.00,,-0.1582,-0.1594,-0.1594,0.00,,,1998-06,360.92M,360.92M,,1998-06,,
