,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-12,2.33B,2.33B,712.00M,1.618B,,,,0.00,38.00M,,,,1.06B,1.164B,454.00M,,,,0.00,,206.00M,-52.00M,258.00M,120.00M,,-18.00M,,379.00M,258.00M,740.00M,286.00M,454.00M,,0.79,0.37,,0.79,1.16,,0.79,-1.73,,0.79,1.14,,326.00M,332.74M,0.25,,,
2004-09,3.188B,3.188B,1.33B,1.858B,,,,32.00M,50.00M,,,,788.00M,1.07B,788.00M,,,,32.00M,,495.00M,181.00M,314.00M,499.00M,,-77.00M,,813.00M,293.70M,1.051B,263.00M,788.00M,,0.96,1.53,,0.8977,2.49,,0.95,1.51,,0.8885,2.46,,326.00M,330.00M,0.20,,,
2004-06,2.565B,2.565B,911.00M,1.654B,,,,3.00M,53.00M,,,,1.717B,2.036B,-382.00M,,,,3.00M,,-664.00M,-264.00M,-400.00M,26.00M,,-44.00M,,-374.00M,-401.81M,-90.00M,292.00M,-382.00M,,-1.23,0.08,,-1.236,-1.15,,-1.23,0.08,,-1.236,-1.15,,326.00M,326.00M,0.20,,,
2004-03,2.116B,2.116B,807.00M,1.309B,,,,87.00M,45.00M,,,,768.00M,1.069B,240.00M,,,,87.00M,,95.00M,43.00M,52.00M,46.00M,-1.00M,-1.00M,,97.00M,-0.20M,519.00M,279.00M,240.00M,,0.16,0.14,0.00,-0.0001,0.30,,0.16,0.14,-0.0031,0.0018,0.30,,326.00M,330.00M,0.20,,,
2003-12,2.339B,2.339B,874.00M,1.465B,,,,54.00M,62.00M,,,,-274.00M,1.247B,218.00M,,,,54.00M,,13.00M,-125.00M,138.00M,59.00M,0.00,54.00M,,197.00M,105.60M,566.00M,348.00M,218.00M,,0.42,0.18,0.00,0.3178,0.60,,0.42,-0.35,-0.0003,0.3235,0.60,,317.00M,335.60M,0.20,,,
2003-09,3.421B,3.421B,1.252B,2.169B,,,,134.00M,50.00M,,,,1.036B,1.339B,830.00M,,,,134.00M,,720.00M,260.00M,460.00M,84.00M,,-1.00M,,544.00M,374.39M,1.083B,214.00M,830.00M,,1.41,0.26,,1.150,1.67,,1.40,0.25,,1.140,1.65,,329.00M,329.00M,0.00,,,
2003-06,3.125B,3.125B,1.015B,2.11B,,,,69.00M,51.00M,,,,1.583B,1.886B,224.00M,,,,69.00M,,11.00M,-13.00M,24.00M,,,-39.00M,,24.00M,-17.40M,502.00M,278.00M,224.00M,,0.07,0.00,,-0.0570,0.07,,0.07,0.00,,-0.0558,0.07,,326.00M,329.00M,0.00,,,
2003-03,2.523B,2.523B,786.00M,1.737B,,,,64.00M,51.00M,,,,1.087B,1.426B,311.00M,,,,64.00M,,93.00M,30.00M,63.00M,3.00M,-9.00M,-29.00M,,57.00M,19.65M,626.00M,315.00M,311.00M,,0.19,0.01,0.00,0.0570,0.17,,0.19,0.01,-0.0276,0.0578,0.17,,326.00M,328.00M,0.00,,,
2002-12,1.431B,1.431B,365.00M,1.066B,,,,29.00M,22.00M,,,,-537.00M,1.156B,-90.00M,,,,29.00M,,-176.00M,-152.00M,-24.00M,0.00,,,,-24.00M,-41.40M,211.00M,301.00M,-90.00M,,-0.07,0.00,,-0.1232,-0.07,,-0.07,-0.07,,-0.1231,-0.07,,326.78M,327.44M,0.00,,,
2002-09,3.706B,3.706B,1.134B,2.572B,,,,102.00M,35.00M,,,,1.577B,1.868B,704.00M,,,,102.00M,,520.00M,175.00M,345.00M,7.00M,,,,352.00M,277.33M,990.00M,286.00M,704.00M,,1.06,0.02,,0.8524,1.08,,1.05,0.02,,0.8443,1.07,,325.93M,328.97M,0.00,,,
2002-06,2.824B,2.824B,860.00M,1.964B,,,,-3.00M,36.00M,,,,464.00M,761.00M,1.203B,,,,-3.00M,,946.00M,290.00M,656.00M,9.00M,,,,665.00M,658.08M,1.491B,288.00M,1.203B,,2.01,0.03,,2.016,2.04,,1.99,0.03,,1.996,2.02,,325.98M,329.21M,0.00,,,
2002-03,2.488B,2.488B,511.00M,1.977B,,,,29.00M,39.00M,,,,1.387B,1.668B,309.00M,,,,29.00M,,95.00M,16.00M,79.00M,5.00M,,,,84.00M,54.88M,577.00M,268.00M,309.00M,,0.24,0.02,,0.1654,0.26,,0.24,0.02,,0.1654,0.26,,323.08M,323.08M,0.00,,,
2001-12,2.538B,2.538B,793.00M,1.745B,,,,539.00M,26.00M,,,,909.00M,1.213B,532.00M,,,,539.00M,,3.664B,1.492B,2.172B,-5.00M,,,,2.167B,1.849B,835.00M,303.00M,532.00M,,6.60,0.05,,5.606,6.65,,2.46,0.05,,1.472,6.64,,325.33M,327.32M,0.00,,,
2001-09,3.882B,3.882B,1.074B,2.808B,,,,-4.00M,28.00M,,,,763.00M,1.033B,1.775B,,,,-4.00M,,1.361B,560.00M,801.00M,-1.214B,,,,-413.00M,803.40M,2.044B,269.00M,1.775B,,2.46,-3.73,,2.467,-1.27,,2.46,-3.73,,2.467,-1.27,,325.20M,325.20M,0.00,,,
2001-06,2.446B,2.446B,1.076B,1.37B,,,,-55.00M,29.00M,,,,664.00M,923.00M,447.00M,,,,-55.00M,,90.00M,31.00M,59.00M,-161.00M,,,,-102.00M,95.06M,677.00M,213.00M,447.00M,,0.18,-0.49,,0.2896,-0.31,,0.18,-0.49,,0.2896,-0.31,,329.03M,329.03M,0.00,,,
2001-03,2.195B,2.195B,1.966B,229.00M,,,,10.00M,30.00M,,,,687.00M,940.00M,-711.00M,,,,10.00M,,-1.065B,-436.00M,-629.00M,12.00M,,,,-617.00M,-635.00M,-431.00M,280.00M,-711.00M,,-1.93,0.04,,-1.948,-1.89,,-1.93,0.04,,-1.948,-1.89,,326.46M,326.46M,0.00,,,
2000-12,1.298B,1.298B,1.658B,-360.18M,,,,444.11M,28.55M,,,,1.183B,1.480B,-1.840B,,,,444.11M,,-4.019B,-1.473B,-2.546B,,,-119.55M,,-2.550B,-2.827B,-1.536B,304.05M,-1.840B,,-7.77,0.12,,-8.627,-7.65,,-7.77,0.00,,-8.627,-7.65,,328.25M,328.25M,0.00,,,
2000-09,3.653B,3.653B,2.251B,1.402B,,,,-17.20M,30.34M,,,,-125.00M,440.34M,961.66M,,,,-17.20M,,632.77M,272.62M,360.15M,,,-0.988M,,360.15M,370.47M,1.539B,576.95M,961.66M,,1.11,0.00,,1.142,1.11,,1.10,0.00,,1.132,1.10,,325.81M,327.41M,0.28,,,
2000-06,2.749B,2.749B,946.00M,1.803B,,,,1.00M,30.00M,,,,731.00M,1.247B,556.00M,,,,1.00M,,229.00M,92.00M,137.00M,,,-1.00M,,137.00M,136.40M,1.09B,534.00M,556.00M,,0.41,0.00,,0.4082,0.41,,0.41,0.00,,0.4082,0.41,,334.15M,334.15M,0.28,,,
2000-03,2.723B,2.723B,836.00M,1.887B,,,,-23.00M,40.00M,,,,831.00M,1.365B,522.00M,,,,-23.00M,,199.00M,89.00M,110.00M,,,-1.00M,,110.00M,123.80M,1.059B,537.00M,522.00M,,0.32,0.00,,0.3601,0.32,,0.32,0.00,,0.3601,0.32,,343.75M,343.75M,0.28,,,
1999-12,2.015B,2.015B,941.00M,1.074B,,,,-379.40M,25.40M,,,,550.70M,881.20M,193.10M,,,,-379.40M,,188.20M,34.10M,154.10M,,,-66.00M,,-9.90M,464.76M,691.20M,498.10M,193.10M,,0.44,-0.17,,1.322,0.27,,0.28,-0.17,,1.162,0.27,,352.07M,352.07M,0.27,,,
1999-09,2.957B,2.957B,1.315B,1.642B,,,,197.00M,29.90M,,,,658.20M,1.201B,440.80M,,,,197.00M,,401.50M,146.20M,255.30M,,,-1.00M,,255.30M,130.03M,953.70M,512.90M,440.80M,,0.74,0.00,,0.3769,0.74,,0.73,0.00,,0.3718,0.73,,345.00M,349.73M,0.27,,,
1999-06,2.116B,2.116B,638.60M,1.477B,,,,89.00M,29.60M,,,,699.40M,1.181B,296.70M,,,,89.00M,,195.70M,67.30M,128.40M,,,-1.00M,,128.40M,70.01M,748.40M,451.70M,296.70M,,0.37,0.00,,0.2018,0.37,,0.37,0.00,,0.2018,0.37,,347.20M,347.20M,0.27,,,
1999-03,2.096B,2.096B,841.30M,1.255B,,,,-1.972M,39.16M,,,,388.44M,851.58M,403.02M,,,,-1.972M,,236.27M,93.06M,143.21M,,,-0.962M,,143.21M,144.41M,847.32M,444.30M,403.02M,,0.41,0.00,,0.4134,0.41,,0.41,0.00,,0.4134,0.41,,349.30M,349.30M,0.27,,,
1998-12,2.258B,2.258B,949.90M,1.308B,,,,-326.90M,26.60M,,,,612.30M,1.103B,204.70M,,,,-326.90M,,196.70M,34.30M,162.40M,,,-0.90M,,162.40M,432.30M,669.00M,,204.70M,,0.46,0.00,,1.226,0.46,,0.46,0.00,,1.224,0.46,,352.57M,353.04M,0.26,,,
1998-09,2.754B,2.754B,1.404B,1.350B,,,,476.30M,32.50M,,,,773.40M,1.262B,87.80M,,,,476.30M,,405.70M,189.40M,216.30M,,,0.30M,,216.30M,-69.48M,544.20M,,87.80M,,0.61,0.00,,-0.1959,0.61,,0.60,0.00,,-0.1927,0.60,,354.59M,360.50M,0.26,,,
1998-06,1.939B,1.939B,665.80M,1.273B,,,,-471.30M,33.20M,,,,-72.00M,413.50M,859.70M,,,,-471.30M,,244.30M,99.00M,145.30M,,,-0.90M,,145.30M,428.08M,1.312B,,859.70M,,0.40,0.00,,1.178,0.40,,0.40,0.00,,1.178,0.40,,363.25M,363.25M,0.26,,,
1998-03,1.910B,1.910B,743.80M,1.166B,,,,294.60M,40.80M,,,,526.90M,1.007B,158.70M,,,,294.60M,,280.70M,136.70M,144.00M,,,-1.50M,,144.00M,-32.76M,598.10M,,158.70M,,0.39,0.00,,-0.0887,0.39,,0.38,0.00,,-0.0864,0.38,,369.23M,378.95M,0.26,,,
1997-12,2.329B,2.329B,953.30M,1.376B,,,,-351.30M,28.70M,,,,633.20M,1.026B,349.50M,,,,-351.30M,,242.70M,103.30M,139.40M,,,-0.50M,,139.40M,350.18M,714.10M,,349.50M,,0.36,0.00,,0.9004,0.36,,0.34,0.00,,0.8559,0.34,,390.07M,408.57M,0.25,,,
1997-09,2.738B,2.738B,1.364B,1.374B,,,,151.80M,32.30M,,,,503.40M,902.90M,471.00M,,,,151.80M,,462.90M,186.10M,276.80M,,,-0.80M,,276.80M,185.72M,838.20M,,471.00M,,0.70,0.00,,0.4697,0.70,,0.70,0.00,,0.4697,0.70,,395.43M,395.43M,0.25,,,
1997-06,2.167B,2.167B,782.00M,1.385B,,,,-14.40M,32.70M,,,,549.50M,946.70M,438.50M,,,,-14.40M,,252.50M,113.50M,139.00M,,,-9.70M,,139.00M,147.64M,803.00M,,438.50M,,0.34,0.00,,0.3611,0.34,,0.34,0.00,,0.3611,0.34,,408.82M,408.82M,0.25,,,
1997-03,2.001B,2.001B,828.90M,1.172B,,,,74.00M,40.30M,,,,412.90M,806.90M,364.90M,,,,74.00M,,240.90M,96.10M,144.80M,,,-28.00M,,144.80M,100.32M,718.60M,,364.90M,,0.35,0.00,,0.2425,0.35,,0.35,0.00,,0.2425,0.35,,413.71M,413.71M,0.25,,,
1996-12,2.195B,2.195B,892.10M,1.303B,,,,30.90M,44.50M,,,,569.80M,935.60M,367.70M,,,,30.90M,,212.80M,95.40M,117.40M,,,-29.30M,,117.40M,98.86M,689.00M,,367.70M,,0.28,0.00,,0.2365,0.28,,0.28,0.00,,0.2366,0.28,,426.13M,427.06M,0.25,,,
1996-09,2.568B,2.568B,1.188B,1.380B,,,,32.30M,46.90M,,,,374.80M,750.00M,630.20M,,,,32.30M,,505.20M,228.40M,276.80M,,,-12.80M,,276.80M,257.42M,958.50M,,630.20M,,0.63,0.00,,0.5859,0.63,,0.63,0.00,,0.5859,0.63,,439.37M,439.37M,0.25,,,
1996-06,1.814B,1.814B,723.20M,1.090B,,,,184.20M,45.90M,,,,460.50M,832.30M,258.20M,,,,184.20M,,283.40M,127.70M,155.70M,,,-14.10M,,155.70M,45.18M,584.10M,,258.20M,,0.35,0.00,,0.1016,0.35,,0.35,0.00,,0.1016,0.35,,444.86M,444.86M,0.25,,,
1996-03,1.968B,1.968B,670.60M,1.297B,,,,-118.40M,59.70M,,,,385.00M,738.20M,558.90M,,,,-118.40M,,278.60M,111.50M,167.10M,,,-13.70M,,167.10M,238.14M,852.40M,,558.90M,,0.38,0.00,,0.5416,0.38,,0.37,0.00,,0.5273,0.37,,439.74M,451.62M,0.25,,,
1995-12,2.052B,2.052B,804.60M,1.248B,,,,-57.20M,51.00M,,,,459.60M,800.00M,447.50M,,,,-57.20M,,246.80M,108.80M,138.00M,,,-13.60M,,138.00M,172.32M,736.90M,,447.50M,,0.31,0.00,,0.3871,0.31,,0.30,0.00,,0.3753,0.30,,445.17M,455.96M,0.25,,,
1995-09,2.67B,2.67B,1.131B,1.539B,,,,-169.40M,50.60M,,,,414.50M,741.50M,797.40M,,,,-169.40M,,490.20M,202.60M,287.60M,,,-11.30M,,287.60M,389.24M,1.074B,,797.40M,,0.65,0.00,,0.8797,0.65,,0.65,0.00,,0.8797,0.65,,442.46M,442.46M,0.25,,,
1995-06,1.861B,1.861B,688.70M,1.172B,,,,-30.60M,53.60M,,,,422.00M,740.10M,432.00M,,,,-30.60M,,264.70M,104.80M,159.90M,,,-11.40M,,159.90M,178.38M,696.50M,,432.00M,,0.36,0.00,,0.4016,0.36,,0.36,0.00,,0.4016,0.36,,444.17M,444.17M,0.25,,,
1995-03,1.822B,1.822B,651.60M,1.170B,,,,-54.10M,54.80M,,,,400.70M,712.30M,458.10M,,,,-54.10M,,265.20M,111.70M,153.50M,,,-11.70M,,153.50M,185.96M,714.90M,,458.10M,,0.34,0.00,,0.4119,0.34,,0.34,0.00,,0.4119,0.34,,451.47M,451.47M,0.25,,,
1994-12,2.042B,2.042B,837.00M,1.205B,,,,28.10M,49.60M,,,,555.10M,856.60M,348.50M,,,,28.10M,,219.20M,85.30M,133.90M,,,-12.80M,,133.90M,116.73M,600.40M,,348.50M,,0.30,0.00,,0.2616,0.30,,0.30,0.00,,0.2616,0.30,,446.78M,446.78M,0.25,,,
1994-09,2.678B,2.678B,1.197B,1.481B,,,,-135.40M,54.10M,,,,400.90M,733.80M,747.10M,,,,-135.40M,,468.60M,195.70M,272.90M,,,-11.40M,,272.90M,354.14M,1.026B,,747.10M,,0.61,0.00,,0.7916,0.61,,0.61,0.00,,0.7916,0.61,,447.38M,447.38M,0.25,,,
1994-06,1.878B,1.878B,739.50M,1.138B,,,,14.00M,52.80M,,,,470.20M,759.30M,378.90M,,,,14.00M,,251.00M,109.20M,141.80M,,,-12.40M,,141.80M,133.40M,615.20M,,378.90M,,0.32,0.00,,0.3010,0.32,,0.32,0.00,,0.3010,0.32,,443.12M,443.12M,0.25,,,
1994-03,1.747B,1.747B,685.30M,1.062B,,,,-1.80M,54.60M,,,,378.40M,701.50M,360.20M,,,,-1.80M,,223.20M,90.80M,132.40M,,,-9.40M,,132.40M,133.48M,628.70M,,360.20M,,0.30,0.00,,0.3024,0.30,,0.30,0.00,,0.3024,0.30,,441.33M,441.33M,0.355,,,
1993-12,1.844B,1.844B,,,,,,,,,,,,,1.844B,,,,,,,,137.70M,,,,,137.70M,137.70M,1.844B,,1.844B,,0.31,0.00,,0.31,0.31,,0.30,0.00,,0.30,0.30,,444.64M,457.23M,0.355,,,
1993-09,2.424B,2.424B,,,,,,,,,,,,,2.424B,,,,,,,,211.30M,,,,,211.30M,211.30M,2.424B,,2.424B,,0.47,0.00,,0.47,0.47,,0.47,0.00,,0.47,0.47,,449.57M,449.57M,0.355,,,
1993-06,1.768B,1.768B,,,,,,,,,,,,,1.768B,,,,,,,,141.10M,,,,,141.10M,141.10M,1.768B,,1.768B,,0.32,0.00,,0.32,0.32,,0.32,0.00,,0.32,0.32,,440.94M,440.94M,0.355,,,
1993-03,1.785B,1.785B,,,,,,,,,,,,,1.785B,,,,,,,,148.90M,,,,,148.90M,148.90M,1.785B,,1.785B,,0.34,0.00,,0.34,0.34,,0.34,0.00,,0.34,0.34,,437.94M,437.94M,0.35,,,
1992-12,1.954B,1.954B,,,,,,,,,,,,,1.954B,,,,,,,,152.00M,,,,,152.00M,152.00M,1.954B,,1.954B,,0.34,0.00,,0.34,0.34,,0.34,0.00,,0.34,0.34,,446.63M,446.63M,0.35,,,
1992-09,2.55B,2.55B,,,,,,,,,,,,,2.55B,,,,,,,,272.30M,,,,,272.30M,272.30M,2.55B,,2.55B,,0.61,0.00,,0.61,0.61,,0.61,0.00,,0.61,0.61,,446.39M,446.39M,0.35,,,
1992-06,1.766B,1.766B,,,,,,,,,,,,,1.766B,,,,,,,,158.10M,,,,,158.10M,158.10M,1.766B,,1.766B,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,439.17M,439.17M,0.35,,,
1992-03,1.714B,1.714B,,,,,,,,,,,,,1.714B,,,,,,,,156.60M,,,,,156.60M,156.60M,1.714B,,1.714B,,0.36,0.00,,0.36,0.36,,0.36,0.00,,0.36,0.36,,435.00M,435.00M,0.34,,,
1991-12,1.887B,1.887B,,,,,,,,,,,,,1.887B,,,,,,,,114.90M,,,,,114.90M,114.90M,1.887B,,1.887B,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,439.59M,439.59M,0.34,,,
1991-09,2.251B,2.251B,,,,,,,,,,,,,2.251B,,,,,,,,248.30M,,,,,248.30M,248.30M,2.251B,,2.251B,,0.57,0.00,,0.57,0.57,,0.57,0.00,,0.57,0.57,,435.61M,435.61M,0.34,,,
1991-06,1.695B,1.695B,,,,,,,,,,,,,1.695B,,,,,,,,167.50M,,,,,167.50M,167.50M,1.695B,,1.695B,,0.39,0.00,,0.39,0.39,,0.39,0.00,,0.39,0.39,,429.49M,429.49M,0.34,,,
1991-03,1.67B,1.67B,,,,,,,,,,,,,1.67B,,,,,,,,171.80M,,,,,171.80M,171.80M,1.67B,,1.67B,,0.40,0.00,,0.40,0.40,,0.40,0.00,,0.40,0.40,,429.50M,429.50M,0.33,,,
1990-12,1.755B,1.755B,,,,,,,,,,,,,1.755B,,,,,,,,182.40M,,,,,182.40M,182.40M,1.755B,,1.755B,,0.41,0.00,,0.41,0.41,,0.41,0.00,,0.41,0.41,,443.96M,443.96M,0.33,,,
1990-09,2.258B,2.258B,,,,,,,,,,,,,2.258B,,,,,,,,286.00M,,,,,286.00M,286.00M,2.258B,,2.258B,,0.66,0.00,,0.66,0.66,,0.66,0.00,,0.66,0.66,,433.33M,433.33M,0.33,,,
1990-06,1.595B,1.595B,,,,,,,,,,,,,1.595B,,,,,,,,146.40M,,,,,146.40M,146.40M,1.595B,,1.595B,,0.34,0.00,,0.34,0.34,,0.34,0.00,,0.34,0.34,,430.59M,430.59M,0.33,,,
1990-03,1.591B,1.591B,,,,,,,,,,,,,1.591B,,,,,,,,171.60M,,,,,171.60M,171.60M,1.591B,,1.591B,,0.40,0.00,,0.40,0.40,,0.40,0.00,,0.40,0.40,,429.00M,429.00M,0.32,,,
1989-12,1.240B,1.240B,,,,,,,,,,,,,1.240B,,,,,,,,118.80M,,,,,118.80M,118.80M,1.240B,,1.240B,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,447.32M,447.32M,0.32,,,
1989-09,2.182B,2.182B,,,,,,,,,,,,,2.182B,,,,,,,,400.90M,,,,,400.90M,400.90M,2.182B,,2.182B,,0.92,0.00,,0.92,0.92,,0.92,0.00,,0.92,0.92,,435.76M,435.76M,0.32,,,
1989-06,1.572B,1.572B,,,,,,,,,,,,,1.572B,,,,,,,,141.00M,,,,,141.00M,141.00M,1.572B,,1.572B,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,427.27M,427.27M,0.32,,,
1989-03,1.53B,1.53B,,,,,,,,,,,,,1.53B,,,,,,,,117.00M,,,,,117.00M,,1.53B,,1.53B,,0.27,,,0.27,0.27,,0.27,,,0.27,0.27,,436.90M,436.90M,0.31,,,
1988-12,1.539B,1.539B,,,,,,,,,,,,,1.539B,,,,,,,,106.80M,,,,,106.80M,,1.539B,,1.539B,,,,,,,,,,,,,,436.92M,436.92M,0.31,,,
1988-09,2.029B,2.029B,,,,,,,,,,,,,2.029B,,,,,,,,392.00M,,,,,392.00M,,2.029B,,2.029B,,0.90,,,0.90,0.90,,0.90,,,0.90,0.90,,436.90M,436.90M,0.31,,,
1988-06,1.353B,1.353B,,,,,,,,,,,,,1.353B,,,,,,,,146.00M,,,,,146.00M,,1.353B,,1.353B,,0.34,,,0.34,0.34,,0.34,,,0.34,0.34,,436.90M,436.90M,0.31,,,
1988-03,1.332B,1.332B,,,,,,,,,,,,,1.332B,,,,,,,,117.00M,,,,,117.00M,,1.332B,,1.332B,,0.27,,,0.27,0.27,,0.27,,,0.27,0.27,,436.58M,436.58M,,,,
1987-12,1.346B,1.346B,,,,,,,,,,,,,1.346B,,,,,,,,182.90M,,,,,182.90M,,1.346B,,1.346B,,,,,,,,,,,,,,434.25M,434.25M,,,,
1987-09,1.488B,1.488B,,,,,,,,,,,,,1.488B,,,,,,,,224.20M,,,,,224.20M,,1.488B,,1.488B,,0.49,,,0.49,0.49,,0.49,,,0.49,0.49,,433.94M,433.94M,,,,
1987-06,1.332B,1.332B,,,,,,,,,,,,,1.332B,,,,,,,,199.80M,,,,,199.80M,,1.332B,,1.332B,,0.43,,,0.43,0.43,,0.43,,,0.43,0.43,,433.89M,433.89M,,,,
1987-03,1.284B,1.284B,,,,,,,,,,,,,1.284B,,,,,,,,181.50M,,,,,181.50M,,1.284B,,1.284B,,0.39,,,0.39,0.39,,0.39,,,0.39,0.39,,433.81M,433.81M,,,,
1986-12,1.275B,1.275B,,,,,,,,,,,,,1.275B,,,,,,,,158.50M,,,,,158.50M,,1.275B,,1.275B,,,,,,,,,,,,,,433.81M,433.81M,,,,
1986-09,1.55B,1.55B,,,,,,,,,,,,,1.55B,,,,,,,,217.20M,,,,,217.20M,,1.55B,,1.55B,,0.47,,,0.47,0.47,,0.47,,,0.47,0.47,,433.36M,433.36M,,,,
1986-06,1.211B,1.211B,,,,,,,,,,,,,1.211B,,,,,,,,194.10M,,,,,194.10M,,1.211B,,1.211B,,0.42,,,0.42,0.42,,0.42,,,0.42,0.42,,433.35M,433.35M,,,,
1986-03,1.24B,1.24B,,,,,,,,,,,,,1.24B,,,,,,,,198.80M,,,,,198.80M,,1.24B,,1.24B,,0.42,,,0.42,0.42,,0.42,,,0.42,0.42,,433.35M,433.35M,,,,
1985-12,1.272B,1.272B,,,,,,,,,,,,,1.272B,,,,,,,,172.90M,,,,,172.90M,,1.272B,,1.272B,,,,,,,,,,,,,,433.35M,433.35M,,,,
1985-09,1.452B,1.452B,,,,,,,,,,,,,1.452B,,,,,,,,210.00M,,,,,210.00M,,1.452B,,1.452B,,0.45,,,0.45,0.45,,0.45,,,0.45,0.45,,430.61M,430.61M,,,,
1985-06,1.228B,1.228B,,,,,,,,,,,,,1.228B,,,,,,,,189.70M,,,,,189.70M,,1.228B,,1.228B,,0.40,,,0.40,0.40,,0.40,,,0.40,0.40,,429.09M,429.09M,,,,
1985-03,1.22B,1.22B,,,,,,,,,,,,,1.22B,,,,,,,,201.50M,,,,,201.50M,,1.22B,,1.22B,,0.43,,,0.43,0.43,,0.43,,,0.43,0.43,,425.11M,425.11M,,,,
1984-12,1.269B,1.269B,,,,,,,,,,,,,1.269B,,,,,,,,166.90M,,,,,166.90M,,1.269B,,1.269B,,,,,,,,,,,,,,425.11M,425.11M,,,,
1984-09,1.410B,1.410B,,,,,,,,,,,,,1.410B,,,,,,,,197.30M,,,,,197.30M,,1.410B,,1.410B,,0.43,,,0.43,0.43,,0.43,,,0.43,0.43,,423.32M,423.32M,,,,
1984-06,1.135B,1.135B,,,,,,,,,,,,,1.135B,,,,,,,,178.60M,,,,,178.60M,,1.135B,,1.135B,,0.78,,,0.78,0.78,,0.78,,,0.78,0.78,,415.36M,415.36M,,,,
1984-03,1.084B,1.084B,,,,,,,,,,,,,1.084B,,,,,,,,189.60M,,,,,189.60M,,1.084B,,1.084B,,0.42,,,0.42,0.42,,0.42,,,0.42,0.42,,405.57M,405.57M,,,,
