,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-03,1.528B,1.528B,1.267B,261.20M,132.30M,,,9.60M,,,,,132.30M,128.90M,,,,9.60M,,65.60M,21.30M,44.30M,,44.30M,37.82M,128.90M,,128.90M,0.1148,0.0,0.098,0.1148,0.1148,0.0,0.098,0.1148,386.00M,386.00M,0.0592
2000-12,1.672B,1.672B,1.474B,198.10M,119.70M,,,-7.70M,,,,,24.60M,173.50M,,,,-7.70M,,93.80M,31.10M,62.70M,,62.70M,67.85M,233.90M,60.40M,173.50M,0.164,0.0,0.1773,0.164,0.164,0.0,0.1773,0.164,386.78M,386.78M,0.0592
2000-09,1.775B,1.775B,1.462B,313.20M,119.00M,,,11.80M,,,,,119.00M,194.20M,,,,11.80M,,124.20M,31.10M,93.10M,,93.10M,84.25M,194.20M,,194.20M,0.241,0.0,0.2181,0.241,0.239,0.0,0.2163,0.239,386.78M,389.52M,0.0592
2000-06,2.141B,2.141B,1.758B,382.70M,125.70M,,,11.10M,,,,,125.70M,257.00M,,,,11.10M,,204.30M,73.20M,131.10M,,131.10M,123.98M,257.00M,,257.00M,0.3398,0.0,0.3213,0.3398,0.3378,0.0,0.3194,0.3378,386.78M,388.12M,0.0592
2000-03,2.331B,2.331B,1.898B,433.00M,133.20M,,,10.80M,,,,,133.20M,299.80M,,,,10.80M,,242.80M,87.90M,154.90M,,154.90M,148.01M,299.80M,,299.80M,0.3931,0.0,0.3756,0.3931,0.3911,0.0,0.3737,0.3911,393.36M,396.05M,0.0592
1999-12,2.327B,2.327B,1.713B,613.90M,162.60M,,,43.30M,,,,,309.50M,304.40M,,,,43.30M,,288.80M,108.90M,179.90M,,179.90M,152.93M,304.40M,,304.40M,0.4523,0.0,0.3845,0.4523,0.4503,0.0,0.3828,0.4503,397.71M,399.75M,0.0395
1999-09,2.270B,2.270B,1.824B,446.40M,172.70M,,,13.00M,,,,,172.70M,273.70M,,,,13.00M,,227.80M,83.10M,144.70M,,144.70M,136.44M,273.70M,,273.70M,0.3662,0.0,0.3453,0.3662,0.3622,0.0,0.3415,0.3622,395.18M,399.50M,0.0395
1999-06,2.270B,2.270B,1.843B,427.90M,160.30M,,,6.40M,,,,,160.30M,267.60M,,,,6.40M,,219.20M,79.70M,139.50M,,139.50M,135.43M,267.60M,,267.60M,0.3523,0.0,0.342,0.3523,0.3503,0.0,0.3401,0.3503,395.96M,398.20M,0.0395
1999-03,2.153B,2.153B,1.756B,397.30M,167.80M,,,8.50M,,,,,167.80M,229.50M,,,,8.50M,,187.40M,67.90M,119.50M,,119.50M,114.08M,229.50M,,229.50M,0.3028,0.0,0.2891,0.3028,0.3008,0.0,0.2872,0.3008,394.61M,397.21M,0.0395
1998-12,2.204B,2.204B,1.668B,535.80M,184.60M,,,7.90M,,,,,308.50M,227.30M,,,,7.90M,,179.90M,65.00M,114.90M,,114.90M,109.85M,227.30M,,227.30M,0.2888,0.0,0.2762,0.2888,0.2869,0.0,0.2743,0.2869,399.11M,400.84M,0.0296
1998-09,1.939B,1.939B,1.582B,356.40M,165.80M,,,9.60M,,,,,165.80M,190.60M,,,,9.60M,,151.90M,55.30M,96.60M,,96.60M,90.49M,190.60M,,190.60M,0.2454,0.0,0.2299,0.2454,0.2434,0.0,0.2281,0.2434,393.60M,396.80M,0.0296
1998-06,1.927B,1.927B,1.568B,358.50M,157.30M,,,8.40M,,,,,157.30M,201.20M,,,,8.40M,,164.20M,59.30M,104.90M,,104.90M,99.53M,201.20M,,201.20M,0.2652,0.0,0.2517,0.2652,0.2632,0.0,0.2498,0.2632,395.52M,398.49M,0.0296
