,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-06,1.359B,810.90M,2.170B,8.646B,,,8.646B,320.70M,323.50M,506.00M,218.80M,,11.54B,,,,1.284B,2.818B,,4.102B,-1.601B,2.501B,,,,699.90M,3.201B,14.74B,2.386B,,,2.386B,,2.386B,,,,3.493B,3.493B,,,,5.878B,3.113B,3.113B,875.00M,,875.00M,,454.80M,4.443B,10.32B,170.10M,4.091B,172.80M,275.10M,,,262.20M,4.421B
2006-03,1.390B,764.60M,2.155B,8.269B,,,8.269B,323.20M,315.20M,502.50M,213.10M,,11.14B,,,,,,,3.986B,-1.601B,2.386B,,,,617.30M,3.003B,14.14B,2.356B,,,2.356B,,2.356B,,,,3.734B,3.734B,,,,6.090B,2.716B,2.716B,830.60M,,830.60M,,430.10M,3.976B,10.07B,169.80M,3.771B,155.90M,210.50M,,,189.10M,4.076B
2005-12,1.699B,591.40M,2.290B,7.845B,,,7.845B,330.10M,299.30M,495.50M,214.90M,,10.85B,0.0,123.60M,633.30M,3.194B,,,3.951B,-1.601B,2.350B,,,,520.10M,2.87B,13.72B,2.004B,,,2.004B,,2.004B,,,,3.577B,3.577B,,,338.70M,5.920B,2.678B,2.678B,806.50M,,806.50M,,410.40M,3.895B,9.814B,169.40M,3.472B,140.60M,35.10M,,,154.70M,3.901B
2005-09,1.120B,589.30M,1.709B,775.00M,,,775.00M,392.40M,324.60M,586.50M,178.10M,,3.248B,,,,,,,2.264B,-1.170B,1.093B,,,,8.702B,9.795B,13.04B,2.168B,,,2.168B,,2.168B,,,,8.60M,8.60M,,,,2.176B,5.589B,5.589B,813.30M,,813.30M,,437.50M,6.839B,9.016B,174.30M,3.540B,473.10M,343.50M,,,183.90M,4.028B
2005-06,1.223B,631.30M,1.854B,740.40M,,6.535B,7.275B,357.90M,298.40M,525.10M,225.30M,,9.880B,,,,,,,2.207B,-1.170B,1.036B,,,,1.739B,2.776B,12.66B,2.235B,,,2.235B,,2.235B,,,,3.017B,3.017B,,,,5.252B,2.261B,2.261B,817.10M,,817.10M,,444.40M,3.523B,8.775B,174.30M,3.271B,469.60M,193.60M,,,159.70M,3.881B
2005-03,1.429B,436.90M,1.866B,648.40M,,6.292B,6.941B,398.10M,287.40M,556.20M,215.10M,,9.578B,,,,,,,2.214B,-1.170B,1.044B,,,,1.727B,2.771B,12.35B,2.131B,,,2.131B,,2.131B,,,,2.672B,2.672B,,,,4.803B,2.310B,2.310B,816.30M,,816.30M,,488.40M,3.614B,8.418B,174.20M,3.066B,465.40M,26.90M,,,252.20M,3.931B
2004-12,1.615B,604.80M,2.220B,6.645B,,,6.645B,353.10M,270.60M,495.60M,113.30M,,9.473B,0.0,105.60M,625.40M,3.056B,,,3.788B,-1.561B,2.226B,,,,528.50M,2.755B,12.23B,1.943B,,,1.943B,,1.943B,,,,8.40M,8.40M,,,347.80M,2.299B,4.816B,4.816B,823.60M,,823.60M,,526.20M,6.166B,8.466B,173.90M,2.827B,450.50M,,,,311.10M,3.762B
2004-09,1.276B,717.80M,1.994B,656.30M,,5.558B,6.215B,241.00M,260.00M,373.50M,111.20M,,8.693B,,,,,,,1.985B,-1.052B,933.00M,371.50M,371.50M,,1.181B,2.486B,11.18B,1.863B,,,1.863B,,1.863B,,,,2.545B,2.545B,,,,4.408B,1.839B,1.839B,714.10M,,714.10M,,494.80M,3.048B,7.456B,173.70M,2.968B,442.30M,,,,137.50M,3.722B
2004-06,1.068B,708.80M,1.777B,628.80M,,5.294B,5.923B,211.60M,243.00M,327.20M,110.80M,,8.138B,,,,,,,1.937B,-1.052B,885.00M,368.60M,368.60M,,1.129B,2.382B,10.52B,1.725B,,,1.725B,,1.725B,,,,2.440B,2.440B,,,,4.165B,1.697B,1.697B,693.50M,,693.50M,,502.00M,2.893B,7.058B,175.60M,2.756B,541.10M,107.70M,,,97.00M,3.462B
2004-03,1.359B,372.00M,1.731B,596.00M,,5.055B,5.651B,201.60M,258.00M,332.00M,83.90M,,7.798B,,,,,,,1.937B,-1.052B,884.30M,384.10M,384.10M,,1.041B,2.309B,10.11B,1.616B,,,1.616B,,1.616B,,,,2.251B,2.251B,,,,3.867B,1.655B,1.655B,678.20M,,678.20M,,516.10M,2.849B,6.716B,175.40M,2.555B,536.20M,,,,124.00M,3.391B
2003-12,1.347B,377.10M,1.724B,479.10M,,4.995B,5.474B,213.30M,247.90M,334.50M,85.00M,,7.618B,0.0,92.70M,580.10M,1.273B,,,1.946B,-1.052B,893.40M,,,,1.429B,2.322B,9.940B,1.461B,,,1.461B,,1.461B,,,,2.271B,2.271B,,,140.10M,3.872B,1.557B,1.557B,703.90M,,703.90M,,560.40M,2.821B,6.693B,175.10M,2.399B,524.20M,,,,147.90M,3.246B
2003-09,1.123B,522.80M,1.646B,538.80M,,4.800B,5.338B,180.30M,236.80M,290.70M,112.70M,,7.388B,,,,,,,1.732B,-893.20M,839.10M,256.00M,256.00M,,1.003B,2.098B,9.486B,1.522B,,,1.522B,,1.522B,,,,1.809B,1.809B,,,,3.331B,1.854B,1.854B,648.10M,,648.10M,,560.30M,3.063B,6.394B,116.60M,2.406B,576.20M,,,,-6.80M,3.092B
2003-06,1.020B,481.60M,1.501B,500.70M,,4.825B,5.326B,186.70M,236.40M,295.60M,116.30M,,7.239B,,,,,,,1.727B,-893.20M,833.70M,251.90M,251.90M,,985.60M,2.071B,9.310B,1.402B,,,1.402B,,1.402B,,,,2.014B,2.014B,,,,3.416B,1.724B,1.724B,665.60M,,665.60M,,554.80M,2.944B,6.36B,116.50M,2.299B,570.20M,,,,-35.80M,2.950B
2003-03,885.10M,480.90M,1.366B,5.253B,,,5.253B,194.80M,220.30M,288.10M,105.60M,,7.013B,,,,,,,1.710B,-893.20M,816.70M,237.30M,237.30M,,909.70M,1.964B,8.976B,1.359B,,,1.359B,,1.359B,,,,2.056B,2.056B,,,,3.415B,1.612B,1.612B,664.70M,,664.70M,,534.70M,2.812B,6.226B,116.20M,2.201B,555.10M,,,,-121.90M,2.750B
2002-12,773.00M,535.30M,1.308B,404.70M,,4.659B,5.064B,238.50M,197.70M,310.60M,112.90M,,6.796B,0.0,84.70M,516.40M,1.110B,,,1.712B,-893.20M,818.40M,222.90M,222.90M,,865.50M,1.907B,8.702B,1.275B,,,1.275B,,1.275B,,,,2.048B,2.048B,,,71.40M,3.394B,1.552B,1.552B,639.60M,,639.60M,,516.40M,2.708B,6.102B,115.90M,2.113B,545.80M,,,,-174.30M,2.601B
2002-09,747.80M,545.20M,1.293B,5.048B,,,5.048B,300.50M,209.30M,386.50M,117.80M,,6.846B,,,,862.90M,1.579B,,2.442B,-774.00M,1.668B,,,,87.70M,1.756B,8.601B,1.501B,,,1.501B,,1.501B,,,,2.111B,2.111B,317.60M,317.60M,,3.930B,1.376B,1.376B,,,,,750.30M,2.126B,6.055B,115.90M,2.096B,544.00M,,,,-209.70M,2.546B
2002-06,698.80M,423.50M,1.122B,546.00M,,4.458B,5.004B,204.70M,207.10M,288.50M,164.00M,,6.579B,,,,811.20M,1.600B,,2.412B,-774.00M,1.638B,,,,92.30M,1.73B,8.309B,1.399B,,,1.399B,,1.399B,,,,3.438B,3.438B,259.70M,259.70M,,5.097B,41.80M,41.80M,,,,,725.20M,767.00M,5.864B,115.90M,1.991B,539.50M,,,,-201.90M,2.445B
2002-03,736.90M,348.60M,1.086B,4.817B,,,4.817B,174.30M,193.30M,244.30M,150.20M,,6.297B,,,,,,,2.286B,-774.00M,1.512B,,,,91.80M,1.603B,7.90B,1.157B,,,1.157B,,1.157B,,,,1.864B,1.864B,,,,3.021B,1.599B,1.599B,254.20M,,254.20M,,726.50M,2.579B,5.600B,79.60M,1.941B,679.30M,105.80M,,,-294.10M,2.300B
2001-12,655.20M,406.90M,1.062B,396.30M,,4.440B,4.836B,203.00M,188.10M,267.80M,146.90M,,6.313B,0.0,79.80M,489.00M,1.034B,,,1.603B,-774.00M,828.80M,145.20M,145.20M,,626.90M,1.601B,7.914B,1.110B,,,1.110B,,1.110B,,,,2.021B,2.021B,,,19.20M,3.150B,1.547B,1.547B,267.30M,,267.30M,,696.30M,2.511B,5.661B,79.20M,1.916B,658.10M,105.80M,,,-295.40M,2.253B
2001-09,608.70M,370.10M,978.80M,507.70M,,4.490B,4.998B,189.60M,210.70M,274.70M,119.90M,,6.371B,,,,,,,1.542B,-712.70M,829.10M,,,,722.50M,1.552B,7.923B,1.240B,,,1.240B,,1.240B,,,,2.420B,2.420B,,,20.70M,3.680B,1.218B,1.218B,190.70M,,190.70M,,585.40M,1.994B,5.674B,79.10M,1.908B,653.60M,105.80M,,,-286.90M,2.248B
2001-06,500.10M,339.00M,839.10M,5.096B,,,5.096B,193.10M,209.60M,277.50M,109.80M,,6.322B,0.0,829.70M,,,,,829.70M,,829.70M,,,,648.70M,1.478B,7.800B,1.196B,,,1.196B,,1.196B,,,,2.287B,2.287B,,,18.10M,3.500B,1.363B,1.363B,202.10M,,202.10M,,528.80M,2.094B,5.594B,78.90M,1.892B,646.90M,105.80M,,,-306.00M,2.206B
2001-03,469.10M,335.90M,805.00M,5.182B,,,5.182B,216.80M,221.20M,313.20M,108.70M,,6.409B,0.0,848.50M,,,,,848.50M,,848.50M,,,,645.80M,1.494B,7.904B,1.244B,,,1.244B,,1.244B,57.00M,,,57.00M,57.00M,1.50M,1.50M,,1.302B,3.681B,3.681B,725.20M,,725.20M,,,4.406B,5.708B,78.90M,1.876B,646.20M,105.80M,,,-299.30M,2.196B
2000-12,536.70M,394.70M,931.40M,530.80M,,4.904B,5.435B,225.00M,202.00M,303.10M,117.70M,,6.788B,0.0,82.60M,483.10M,1.030B,,,1.595B,-712.70M,882.60M,,,,600.80M,1.483B,8.271B,1.190B,,,1.190B,,1.190B,,,,2.343B,2.343B,,,101.60M,3.634B,1.655B,1.655B,220.60M,,220.60M,,512.00M,2.388B,6.022B,78.80M,1.854B,643.00M,105.80M,,,-221.00M,2.249B
2000-09,444.90M,496.90M,941.80M,,,,5.525B,,,329.40M,,124.70M,6.921B,,,,,,,1.504B,-665.30M,839.10M,,,,519.30M,1.358B,8.279B,1.208B,,,1.208B,,1.208B,,,,2.315B,2.315B,,,62.50M,3.585B,1.792B,1.792B,200.80M,,200.80M,,443.50M,2.436B,6.021B,78.50M,1.891B,633.50M,89.20M,,,-255.50M,2.258B
2000-06,505.50M,468.40M,973.90M,,,,5.541B,,,347.30M,,136.20M,6.998B,,,,,,,1.649B,-665.30M,983.60M,,,,401.30M,1.385B,8.383B,1.368B,,,1.368B,,1.368B,,,,2.113B,2.113B,,,89.00M,3.570B,1.948B,1.948B,195.10M,,195.10M,,442.30M,2.586B,6.156B,78.50M,1.820B,633.20M,89.20M,-202.20M,-13.70M,-215.90M,2.227B
2000-03,515.50M,499.40M,1.015B,,,,5.338B,,,391.30M,,119.30M,6.864B,,,,,,,1.615B,-665.30M,949.50M,,,,396.60M,1.346B,8.210B,1.438B,,,1.438B,,1.438B,,,,2.383B,2.383B,,,137.30M,3.958B,1.521B,1.521B,192.40M,,192.40M,,400.80M,2.114B,6.073B,78.50M,1.712B,632.70M,81.90M,-192.10M,-12.60M,-204.70M,2.137B
1999-12,528.40M,530.70M,1.059B,,,,5.010B,,,384.50M,,122.10M,6.576B,,,,,,,1.541B,-665.30M,875.30M,,,,481.60M,1.357B,7.933B,1.374B,,,1.374B,,1.374B,,,,2.184B,2.184B,,,204.20M,3.762B,1.474B,1.474B,190.10M,,190.10M,,395.70M,2.060B,5.822B,78.30M,1.581B,626.90M,,,,-175.50M,2.111B
1999-09,494.30M,469.50M,963.80M,,,,4.822B,,,471.10M,,114.10M,6.371B,,,,,,,1.654B,-777.60M,876.20M,,,,407.60M,1.284B,7.655B,1.462B,,,1.462B,,1.462B,,,,1.897B,1.897B,,,87.20M,3.446B,1.586B,1.586B,172.10M,,172.10M,,347.20M,2.105B,5.551B,78.30M,1.542B,626.70M,,-143.30M,,-143.30M,2.104B
1999-06,449.60M,,449.60M,,,,4.606B,,,441.60M,,522.20M,6.019B,,,,,,,1.534B,-675.30M,858.60M,,,,366.90M,1.226B,7.244B,1.432B,,,1.432B,,1.432B,,,,1.803B,1.803B,,,95.10M,3.331B,1.458B,1.458B,165.60M,,165.60M,,328.90M,1.952B,5.283B,,1.413B,,,,,,1.962B
1999-03,435.70M,,435.70M,,,,4.345B,,,474.20M,,524.90M,5.780B,,,,,,,1.581B,-675.30M,905.30M,,,,278.90M,1.184B,6.964B,1.394B,,,1.394B,,1.394B,,,,1.76B,1.76B,,,125.40M,3.280B,1.363B,1.363B,160.50M,,160.50M,,317.80M,1.841B,5.121B,,1.289B,,,,,,1.843B
1998-12,432.40M,,432.40M,,,,4.169B,,,511.10M,,503.00M,5.615B,,,,,,,1.503B,-675.30M,827.70M,,,,352.00M,1.180B,6.795B,1.378B,,,1.378B,,1.378B,,,,1.662B,1.662B,,,181.40M,3.220B,1.311B,1.311B,162.50M,,162.50M,,336.40M,1.810B,5.031B,,1.186B,,,,,,1.764B
1998-09,376.30M,,376.30M,,,,3.941B,,,514.80M,,499.30M,5.332B,,,,,,,1.327B,-549.40M,777.60M,,,,283.20M,1.061B,6.392B,1.355B,,,1.355B,,1.355B,,,,1.526B,1.526B,,,31.90M,2.913B,1.261B,1.261B,153.80M,,153.80M,,280.10M,1.695B,4.608B,,1.208B,,,,,,1.784B
1998-06,281.60M,,281.60M,,,,3.818B,,,460.20M,,446.30M,5.006B,,,,,,,1.352B,-549.40M,802.10M,,,,216.70M,1.019B,6.024B,1.267B,,,1.267B,,1.267B,,,,14.80M,14.80M,,,38.10M,1.320B,2.623B,2.623B,145.80M,,145.80M,,255.20M,3.024B,4.344B,,1.123B,,,,,,1.681B
