,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2013-03,1.150B,0.00,1.150B,,0.00,,2.116B,3.208B,,5.324B,54.50M,,,6.529B,,,,,87.10M,,,87.10M,,87.10M,38.90M,,38.90M,,,213.80M,543.60M,1.703B,8.232B,,2013-03,308.60M,48.60M,357.20M,36.10M,393.30M,519.70M,,,,,913.00M,3.273B,,3.273B,,,114.10M,188.70M,3.576B,4.489B,,2013-03,2.012B,134.30M,0.00,3.741B,,2013-03,AOR,Restated
2012-12,566.90M,96.70M,663.60M,,0.00,,1.910B,3.106B,,5.015B,54.80M,,,5.734B,,,,,81.90M,,,81.90M,,81.90M,38.90M,,38.90M,,,221.50M,457.30M,1.614B,7.347B,,2012-12,283.90M,25.80M,309.70M,28.60M,338.30M,529.80M,,,,,868.10M,2.594B,,2.594B,,,100.30M,172.10M,2.866B,3.734B,,2012-12,1.992B,134.30M,0.00,3.610B,,2012-12,AOR,Restated
2012-09,1.048B,298.00M,1.346B,,14.40M,,1.683B,2.482B,,4.165B,49.30M,,,5.575B,0.00,,,,72.60M,,38.70M,111.30M,,111.30M,38.90M,,38.90M,,,246.90M,457.60M,1.674B,7.248B,,2012-09,266.60M,42.90M,309.50M,83.40M,392.90M,544.90M,,,,,937.80M,2.493B,,2.493B,24.00M,24.00M,106.40M,92.20M,2.716B,3.654B,,2012-09,1.980B,134.30M,0.20M,3.592B,,2012-09,AOR,Restated
2012-06,904.90M,283.70M,1.189B,,12.90M,688.40M,1.573B,1.60B,,3.862B,41.50M,716.70M,45.90M,5.867B,,,,,,,,,,66.70M,15.90M,,15.90M,,295.10M,240.20M,149.00M,789.80M,6.657B,,2012-06,227.80M,23.30M,251.10M,24.90M,276.00M,,,,,701.40M,1.070B,2.095B,,2.095B,,,,,2.095B,3.165B,,2012-06,1.965B,134.30M,0.00,3.489B,,2012-06,AOR,Restated
2012-03,679.80M,299.10M,978.90M,,12.90M,700.50M,1.441B,1.495B,,3.637B,40.70M,,48.70M,4.718B,,,,,,,,,,53.40M,15.90M,,15.90M,,297.30M,,400.40M,767.00M,5.485B,,2012-03,204.10M,24.20M,228.30M,25.00M,253.30M,,,,,682.90M,1.025B,1.757B,,1.757B,,,,,1.757B,2.782B,,2012-03,1.952B,134.30M,0.10M,2.70B,,2012-03,AOR,Restated
2011-12,738.10M,298.70M,1.037B,,12.40M,707.10M,1.359B,1.412B,,3.479B,44.60M,0.00,,4.573B,,,,,,,,,,55.00M,15.90M,,15.90M,,,,719.80M,790.70M,5.363B,,2011-12,182.30M,23.50M,205.80M,22.10M,227.90M,,,,,674.60M,982.80M,1.728B,,1.728B,,,,,1.728B,2.711B,,2011-12,1.930B,134.30M,0.20M,2.649B,,2011-12,AOR,Restated
2011-09,732.60M,297.60M,1.030B,,12.40M,709.80M,1.369B,1.371B,,3.450B,49.10M,0.00,,4.541B,,,,,,,,186.80M,-129.20M,57.60M,15.90M,,15.90M,0.00,,,449.40M,817.00M,5.358B,,2011-09,200.50M,22.50M,223.00M,25.30M,248.30M,,,,,696.20M,1.030B,1.705B,,1.705B,,,,,1.705B,2.735B,,2011-09,1.917B,134.30M,0.10M,2.621B,,2011-09,AOR,Restated
2011-06,841.00M,297.10M,1.138B,,14.00M,736.90M,1.428B,1.336B,,3.501B,50.40M,0.00,,4.703B,,,,,,,,,,58.90M,15.90M,,15.90M,,286.20M,234.70M,187.90M,801.50M,5.505B,,2011-06,218.40M,23.90M,242.30M,27.10M,269.40M,,,,,678.60M,1.031B,1.880B,,1.880B,,,,,1.880B,2.911B,,2011-06,1.912B,134.30M,0.30M,2.592B,,2011-06,AOR,Restated
2011-03,1.081B,292.10M,1.373B,,14.00M,761.30M,1.329B,1.384B,,3.474B,45.00M,,,4.906B,,,,,,,,,,59.20M,15.90M,,15.90M,,206.50M,,433.50M,715.10M,5.621B,,2011-03,186.00M,24.60M,210.60M,796.00M,1.007B,,,,,,1.007B,2.004B,,2.004B,,,,,2.004B,3.011B,,2011-03,1.907B,95.70M,0.00,2.608B,,2011-03,AOR,Restated
2010-12,1.200B,296.60M,1.497B,,14.30M,753.20M,1.218B,1.441B,,3.412B,46.20M,0.00,,4.969B,,,,,,,,,,60.00M,15.90M,,15.90M,,,,681.70M,757.60M,5.727B,,2010-12,168.70M,,168.70M,916.70M,1.085B,,,,,,1.085B,2.051B,,2.051B,,,,,2.051B,3.136B,,2010-12,1.903B,95.70M,0.00,2.589B,,2010-12,AOR,Restated
