,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-06,52.94M,,,16.25M,25.86M,25.86M,-5.619M,,,,,-15.87M,0.292M,9.919M,-0.779M,48.24M,-25.05M,16.76M,,106.20M,-40.28M,,-40.28M,,-81.49M,,0.966M,-120.80M,,-2.485M,12.74M,,12.74M,,,-0.766M,9.49M,317.88M,-5.118M,,312.76M,,12.74M,,,
2005-03,56.33M,,,15.34M,24.85M,24.85M,-5.814M,,,,,-11.18M,-2.82M,-4.865M,,14.51M,25.05M,20.69M,,111.41M,-25.62M,,-25.62M,,-2.501M,,2.282M,-25.84M,,-7.48M,17.03M,,17.03M,,,-29.21M,-19.66M,251.98M,65.90M,,317.88M,,17.03M,,,
2004-12,56.60M,,,13.99M,23.21M,23.21M,17.28M,,,,,-27.43M,-0.808M,9.991M,12.06M,-16.21M,-1.355M,-23.74M,,87.34M,-38.46M,,-38.46M,,-19.76M,,9.482M,-48.73M,,-12.22M,8.852M,-9.981M,-1.129M,,,-0.219M,-13.57M,226.94M,25.04M,,251.98M,,8.852M,,,-9.981M
2004-09,60.39M,,,6.764M,22.26M,22.26M,7.003M,,,,,-19.88M,0.123M,7.836M,-11.99M,43.35M,,19.44M,,115.85M,-34.73M,,-34.73M,,-213.53M,,0.819M,-247.45M,,242.97M,5.361M,-86.56M,-81.20M,,,-3.934M,157.84M,200.70M,26.24M,,226.94M,,5.361M,,,-86.56M
2004-06,52.40M,,,13.22M,20.93M,20.93M,5.844M,,,,,-1.602M,-1.876M,-8.906M,4.35M,18.37M,-12.10M,-1.76M,,90.64M,-30.46M,,-30.46M,,-14.66M,,1.577M,-43.54M,,-11.19M,11.64M,,11.64M,,,,0.454M,153.16M,47.54M,,200.70M,,11.64M,,,
2004-03,52.86M,,,14.88M,20.27M,20.27M,-1.016M,,,,,-12.51M,6.818M,8.843M,19.70M,4.172M,12.10M,39.12M,,126.12M,-24.68M,,-24.68M,,-17.09M,,1.831M,-39.94M,,-12.26M,17.58M,,17.58M,,,,5.321M,61.66M,91.50M,,153.16M,,17.58M,,,
2003-12,62.80M,,,21.29M,19.98M,19.98M,8.643M,,,,,-31.39M,-6.815M,1.075M,-27.32M,-23.46M,,-78.14M,,34.58M,-36.24M,,-36.24M,,-30.45M,,0.69M,-66.00M,,-156.16M,8.077M,-24.12M,-16.05M,,,-6.816M,-179.03M,272.11M,-210.45M,,61.66M,,8.077M,,,-24.12M
2003-09,38.06M,,,22.88M,19.34M,19.34M,7.517M,,,,,-9.238M,4.647M,-13.80M,-0.008M,30.26M,,11.86M,,99.64M,-21.95M,,-21.95M,,-19.89M,,-0.441M,-42.28M,,-13.17M,7.201M,-83.04M,-75.84M,,,-11.85M,-100.86M,315.61M,-43.50M,,272.11M,,7.201M,,,-83.04M
2003-06,38.52M,,,6.256M,17.92M,17.92M,-0.087M,,,,,-0.064M,-4.216M,12.53M,-2.543M,10.46M,,16.17M,,78.78M,-20.37M,,-20.37M,,-47.04M,,2.504M,-64.90M,,-7.542M,4.276M,,4.276M,,,,-3.266M,304.99M,10.61M,,315.61M,,4.276M,,,
2003-03,36.41M,,,1.166M,17.44M,17.44M,4.841M,,,,,-0.676M,9.543M,-6.674M,2.264M,16.33M,,20.78M,,80.65M,-21.71M,,-21.71M,,,,0.913M,-20.80M,,145.16M,3.502M,,3.502M,,,,148.66M,96.48M,208.52M,,304.99M,,3.502M,,,
2002-12,58.81M,,,21.69M,16.90M,16.90M,39.60M,,,,,-4.337M,-12.85M,1.035M,-11.05M,-54.50M,,-77.24M,,59.75M,-35.71M,,-35.71M,,-6.532M,,1.376M,-40.87M,,-43.79M,3.566M,-45.00M,-41.43M,6.572M,,40.89M,-37.76M,115.36M,-18.89M,,96.48M,,3.566M,,,-45.00M
2002-09,54.17M,,,4.228M,16.27M,16.27M,10.73M,,,,,7.109M,10.07M,0.472M,-3.128M,36.28M,,50.80M,,136.19M,-23.31M,,-23.31M,,-10.55M,,1.519M,-32.34M,,38.47M,2.108M,-122.73M,-120.62M,-2.434M,,-40.92M,-125.51M,137.02M,-21.66M,,115.36M,,2.108M,,,-122.73M
2002-06,8.37M,,,37.39M,15.70M,15.70M,3.982M,,,,,-9.308M,-4.29M,0.346M,-1.542M,10.42M,,-4.374M,,61.07M,-27.58M,,-27.58M,,-0.047M,,1.328M,-26.30M,,483.24M,7.232M,-474.44M,-467.21M,63.74M,,-9.223M,70.55M,31.70M,105.32M,,137.02M,,7.232M,,,-474.44M
2002-03,35.98M,,,11.24M,15.80M,15.80M,7.861M,,,,,-11.16M,6.726M,8.969M,-2.84M,12.41M,,14.10M,,84.98M,-16.12M,,-16.12M,,-1.379M,,0.499M,-17.00M,,-19.92M,16.35M,,16.35M,-67.88M,,-1.558M,-73.00M,36.71M,-5.014M,,31.70M,,16.35M,,,
2001-12,32.56M,,,7.239M,26.16M,26.16M,-6.421M,,,,0.573M,-15.52M,-1.728M,-5.695M,-0.425M,-10.91M,,-34.28M,,25.83M,-21.05M,,-21.05M,,-0.351M,,0.684M,-20.72M,,-0.185M,6.421M,-17.87M,-11.44M,-2.756M,,0.733M,-13.65M,45.26M,-8.544M,,36.71M,,6.421M,,,-17.87M
2001-09,44.28M,,,3.629M,26.28M,26.28M,12.04M,,,,0.668M,-19.28M,11.61M,-2.242M,4.793M,30.36M,,25.24M,,112.15M,-11.60M,,-11.60M,,-15.46M,,3.886M,-23.18M,,-130.26M,2.844M,0.00,2.844M,-1.514M,,-0.046M,-128.97M,85.26M,-40.00M,,45.26M,,2.844M,,,0.00
2001-06,29.54M,,,7.922M,26.62M,26.62M,1.569M,,,,0.655M,0.478M,0.962M,1.871M,2.671M,4.63M,,10.61M,,76.93M,-11.83M,,-11.83M,,-0.457M,,1.043M,-11.24M,,11.06M,5.665M,-2.494M,3.171M,-2.18M,,-9.922M,2.13M,17.44M,67.82M,,85.26M,,5.665M,,,-2.494M
2001-03,30.93M,,,5.05M,26.15M,26.15M,2.90M,,,,0.50M,-2.846M,-24.42M,2.16M,-3.491M,20.89M,,-7.701M,,57.83M,-6.755M,,-6.755M,,-50.67M,,19.59M,-37.83M,,-36.85M,4.63M,,4.63M,-1.492M,,-0.05M,-33.77M,31.21M,-13.76M,,17.44M,,4.63M,,,
2000-12,15.33M,,,3.747M,27.29M,27.29M,11.51M,,,,,21.83M,17.08M,4.928M,6.682M,4.459M,,54.99M,,112.87M,-9.065M,-13.34M,-22.41M,,,,2.132M,-20.28M,,-107.09M,1.802M,,1.802M,,,5.332M,-99.96M,38.57M,-7.367M,,31.21M,,1.802M,,,
2000-09,13.15M,,,2.913M,26.93M,26.93M,-8.66M,,,,,0.715M,-17.64M,-3.408M,4.211M,64.39M,,48.26M,,82.59M,-7.372M,0.339M,-7.033M,,,,1.678M,-5.355M,,-226.83M,0.593M,,0.593M,,,-3.102M,-229.34M,190.67M,-152.10M,,38.57M,,0.593M,,,
2000-06,-15.36M,,,13.15M,29.67M,29.67M,5.901M,,,,,12.98M,2.442M,-8.12M,9.488M,0.537M,,17.33M,,50.70M,-7.974M,147.30M,139.33M,,,,-17.11M,122.21M,,-127.89M,-0.604M,,-0.604M,1.508M,,-5.629M,-132.62M,150.38M,40.30M,,190.67M,,-0.604M,,,
2000-03,3.847M,,,-0.625M,27.72M,27.72M,0.156M,,,,,24.03M,7.517M,-22.12M,-2.548M,23.51M,,30.39M,,61.49M,-16.68M,,-16.68M,,,,13.45M,-3.228M,,-15.22M,0.867M,,0.867M,-1.508M,,,-15.86M,107.98M,42.40M,,150.38M,,0.867M,,,
1999-12,-148.06M,,,119.45M,28.28M,28.28M,-4.511M,,,,,67.45M,-5.208M,2.839M,25.63M,,3.577M,60.06M,,55.23M,-21.15M,,-21.15M,,-0.256M,,26.83M,-19.96M,,3.231M,0.013M,,0.013M,,,-1.268M,1.976M,70.74M,37.24M,0.00,107.98M,,0.013M,,,
1999-09,1.80M,,,-34.87M,29.80M,29.80M,-17.04M,,,,,-38.97M,-3.534M,69.86M,-5.953M,,81.62M,103.02M,,82.72M,103.90M,,103.90M,,-153.97M,,-0.193M,-50.27M,,23.77M,0.033M,,0.033M,,,-5.484M,18.32M,24.70M,50.77M,-4.718M,70.74M,,0.033M,,,
1999-06,-28.90M,,,52.30M,27.40M,27.40M,,,,,27.10M,,,,,,-85.20M,-85.20M,,-7.30M,-73.40M,,-73.40M,,,,-20.10M,-93.50M,,90.20M,0.00,,0.00,,,-4.60M,85.60M,0.00,-15.20M,,24.70M,,0.00,,,
1999-03,27.90M,,,10.50M,27.00M,27.00M,,,,,-27.10M,,,,,,,,,38.30M,-116.00M,,-116.00M,,,,-17.70M,-133.70M,,84.50M,2.00M,,2.00M,,,7.30M,93.80M,41.50M,-1.60M,,0.00,,2.00M,,,
1998-12,14.30M,,,22.90M,27.90M,27.90M,,,,,81.50M,,,,,,,-125.40M,,3.60M,258.00M,,258.00M,,,,11.60M,-85.40M,,94.70M,1.20M,,1.20M,,,-6.20M,89.70M,0.00,7.90M,,41.50M,,1.20M,,,
1998-09,24.10M,,,19.10M,20.10M,20.10M,,,,,-101.10M,,,,,,70.90M,70.90M,,33.10M,-88.30M,,-88.30M,,,,-8.10M,-96.40M,,94.60M,0.70M,,0.70M,,,-0.10M,95.20M,1.10M,31.90M,,0.00,,0.70M,,,
1998-06,24.60M,,,7.70M,23.40M,23.40M,,,,,24.60M,,,,,,-70.90M,-70.90M,,9.40M,-239.60M,,-239.60M,,,,48.80M,-190.80M,,114.10M,2.20M,,2.20M,,,0.70M,117.00M,0.00,-64.40M,,1.10M,,2.20M,,,
