,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2006-07,,477.00M,,477.00M,5.54B,,5.54B,6.275B,,,1.297B,13.59B,,,,,,,26.65B,-6.39B,20.26B,,,,,,,1.577B,21.83B,35.42B,5.868B,,,5.868B,,5.868B,,1.257B,,1.257B,2.535B,9.66B,9.351B,,9.351B,768.00M,,768.00M,,1.271B,11.39B,21.05B,71.00M,12.09B,2.217B,,,,-2.00M,14.37B
2006-04,,989.00M,,989.00M,5.368B,,5.368B,6.03B,,,1.169B,13.56B,,,,,,,26.04B,-6.421B,19.61B,,,,,,,1.579B,21.19B,34.75B,5.707B,,,5.707B,,5.707B,,1.254B,,1.254B,2.747B,9.708B,8.596B,,8.596B,804.00M,,804.00M,,1.271B,10.67B,20.38B,72.00M,12.13B,2.169B,,,,-2.00M,14.37B
2006-01,,1.648B,,1.648B,5.666B,560.00M,6.226B,5.838B,,344.00M,349.00M,14.40B,0.00,4.449B,14.17B,5.433B,,1.158B,25.21B,-6.176B,19.04B,183.00M,,183.00M,,,,1.369B,20.59B,35.00B,6.268B,,,6.268B,,6.268B,,753.00M,,753.00M,2.567B,9.588B,9.119B,,9.119B,851.00M,,851.00M,,1.232B,11.20B,20.79B,73.00M,12.01B,2.121B,,,,-2.00M,14.20B
2005-10,,503.00M,,503.00M,5.127B,,5.127B,7.488B,,,1.293B,14.41B,,,,,,,24.45B,-5.879B,18.57B,,,,,,,1.514B,20.09B,34.50B,6.966B,,,6.966B,,6.966B,,752.00M,,752.00M,1.923B,9.641B,9.143B,,9.143B,973.00M,,973.00M,,1.185B,11.30B,20.94B,,12.85B,,,,,709.00M,13.56B
2005-07,,696.00M,,696.00M,5.012B,,5.012B,5.628B,,,1.001B,12.34B,,,,,,,23.65B,-5.629B,18.02B,,,,,,,1.559B,19.58B,31.92B,5.472B,,,5.472B,,5.472B,,753.00M,,753.00M,1.812B,8.037B,8.226B,,8.226B,973.00M,,973.00M,,1.161B,10.36B,18.40B,,12.18B,,,,,1.34B,13.52B
2005-04,,1.152B,,1.152B,4.857B,,4.857B,5.407B,,,1.039B,12.46B,,,,,,,22.70B,-5.368B,17.33B,,,,,,,1.512B,18.84B,31.30B,5.11B,,,5.11B,,5.11B,,4.00M,,4.00M,2.059B,7.173B,9.005B,,9.005B,973.00M,,973.00M,,1.097B,11.08B,18.25B,,11.64B,,,,,1.405B,13.05B
2005-01,,2.245B,,2.245B,5.069B,,5.069B,5.384B,,,1.224B,13.92B,0.00,3.804B,12.52B,4.988B,,962.00M,22.27B,-5.412B,16.86B,,,,,,,1.511B,18.37B,32.29B,5.779B,,,5.779B,1.633B,7.412B,,504.00M,,504.00M,304.00M,8.22B,9.034B,,9.034B,973.00M,,973.00M,,1.037B,11.04B,19.26B,74.00M,11.15B,1.81B,,,,-3.00M,13.03B
2004-10,,1.587B,,1.587B,4.551B,,4.551B,6.559B,,,1.08B,13.78B,,,,,,,21.63B,-5.153B,16.47B,,,,,,,1.536B,18.01B,31.79B,6.164B,,,6.164B,,6.164B,,506.00M,,506.00M,1.815B,8.485B,9.082B,,9.082B,1.821B,,1.821B,,,10.90B,19.39B,76.00M,12.04B,1.341B,,,,-1.055B,12.40B
2004-07,,1.735B,,1.735B,4.365B,,4.365B,4.914B,,,2.024B,13.04B,,,,,,,20.89B,-4.914B,15.98B,,,,,,,2.277B,18.26B,31.30B,4.74B,,,4.74B,,4.74B,,606.00M,,606.00M,2.606B,7.952B,9.057B,,9.057B,1.798B,,1.798B,,122.00M,10.98B,18.93B,,,,,,,,12.37B
2004-04,,622.00M,,622.00M,5.379B,,5.379B,5.387B,,,987.00M,12.38B,,,,,,,23.39B,-6.093B,17.30B,,,,,,,1.447B,18.75B,31.12B,4.974B,,,4.974B,,4.974B,,1.362B,,1.362B,1.899B,8.235B,9.586B,,9.586B,1.839B,,1.839B,,,11.42B,19.66B,0.00,10.08B,1.38B,,,,,11.46B
2004-01,,708.00M,,708.00M,4.621B,,4.621B,4.531B,,,3.092B,12.95B,0.00,3.312B,11.02B,4.577B,,969.00M,19.88B,-4.727B,15.15B,,,,,,,3.311B,18.46B,31.42B,4.956B,,,4.956B,,4.956B,,863.00M,,863.00M,2.495B,8.314B,10.16B,,10.16B,632.00M,,632.00M,,1.183B,11.97B,20.28B,76.00M,9.523B,1.53B,,,,3.00M,11.13B
2003-10,,495.00M,,495.00M,5.367B,,5.367B,6.269B,,,1.153B,13.28B,,,,,,,22.70B,-6.069B,16.63B,,,,,,,1.512B,18.14B,31.42B,5.327B,,,5.327B,,5.327B,,1.475B,,1.475B,1.794B,8.596B,11.00B,,11.00B,1.56B,,1.56B,,,12.56B,21.16B,,8.943B,,,,,1.322B,10.26B
2003-07,,429.00M,,429.00M,5.343B,,5.343B,4.944B,,,1.257B,11.97B,,,,,,,22.10B,-5.89B,16.20B,,,,,,,1.456B,17.66B,29.63B,4.47B,,,4.47B,,4.47B,,767.00M,,767.00M,1.724B,6.961B,11.09B,,11.09B,1.541B,,1.541B,,,12.63B,19.59B,,,,,,,10.04B,10.04B
2003-04,,452.00M,,452.00M,5.275B,,5.275B,4.944B,,,1.321B,11.99B,,,,,,,21.35B,-5.683B,15.66B,,,,,,,1.517B,17.18B,29.17B,4.411B,,,4.411B,,4.411B,,713.00M,,713.00M,1.677B,6.801B,11.12B,,11.12B,1.493B,,1.493B,,,12.61B,19.41B,,,,,,,9.76B,9.76B
2003-01,,758.00M,,758.00M,5.565B,,5.565B,4.76B,,,852.00M,11.94B,0.00,3.236B,11.53B,4.983B,,1.19B,20.94B,-5.629B,15.31B,,,,,,,1.361B,16.67B,28.60B,4.684B,,,4.684B,1.545B,6.229B,,975.00M,,975.00M,319.00M,7.523B,10.19B,,10.19B,1.451B,,1.451B,,,11.64B,19.16B,76.00M,8.107B,1.256B,,,,4.00M,9.443B
2002-10,,834.00M,,834.00M,4.882B,,4.882B,5.612B,,,1.147B,12.48B,,,,,,,20.31B,-5.433B,14.88B,,,,,,,1.322B,16.20B,28.68B,4.927B,,,4.927B,,4.927B,,1.374B,,1.374B,1.836B,8.137B,10.56B,,10.56B,1.223B,,1.223B,,,11.78B,19.92B,,,,,,,8.756B,8.756B
2002-07,,1.755B,,1.755B,4.304B,,4.304B,4.549B,,,1.112B,11.72B,,,,,,,19.58B,-5.214B,14.37B,,,,,,,1.169B,15.54B,27.26B,4.187B,,,4.187B,,4.187B,,1.583B,,1.583B,2.031B,7.801B,9.735B,,9.735B,1.206B,,1.206B,,,10.94B,18.74B,,,,,,,8.517B,8.517B
2002-04,,445.00M,,445.00M,3.949B,,3.949B,4.565B,,,1.236B,10.20B,,,,,,,18.94B,-5.012B,13.93B,,,,,,,1.063B,14.99B,25.19B,3.685B,,,3.685B,,3.685B,,1.37B,,1.37B,1.796B,6.851B,8.943B,,8.943B,1.201B,,1.201B,,,10.14B,17.00B,,,,,,,8.194B,8.194B
2002-01,,499.00M,,499.00M,3.831B,,3.831B,4.449B,,,869.00M,9.648B,0.00,2.833B,10.10B,4.29B,,1.216B,18.44B,-4.909B,13.53B,,,,,,,973.00M,14.51B,24.15B,4.16B,,,4.16B,1.566B,5.726B,,905.00M,,905.00M,423.00M,7.054B,8.088B,,8.088B,1.152B,,1.152B,,,9.24B,16.29B,75.00M,6.687B,1.098B,,,,,7.86B
2001-10,,424.00M,,424.00M,2.709B,,2.709B,5.78B,,,959.00M,9.872B,,,,,,,17.85B,-4.773B,13.08B,,,,,,,913.00M,13.99B,23.86B,4.451B,,,4.451B,,4.451B,,717.00M,,717.00M,1.77B,6.938B,8.711B,,8.711B,1.055B,,1.055B,,,9.766B,16.70B,,6.103B,,,,,1.055B,7.158B
2001-07,,798.00M,,798.00M,1.721B,,1.721B,4.408B,,,893.00M,7.82B,,,,,,,17.07B,-4.561B,12.51B,,,,,,,917.00M,13.42B,21.24B,3.735B,,,3.735B,,3.735B,,580.00M,,580.00M,1.886B,6.201B,6.999B,,6.999B,1.047B,,1.047B,,,8.046B,14.25B,,5.968B,,,,,1.03B,6.998B
2001-04,,367.00M,,367.00M,1.748B,,1.748B,4.294B,,,1.029B,7.438B,,,,,,,16.43B,-4.391B,12.04B,,,,,,,901.00M,12.94B,20.38B,3.285B,,,3.285B,,3.285B,,1.442B,,1.442B,1.69B,6.417B,6.174B,,6.174B,1.041B,,1.041B,,,7.215B,13.63B,,5.747B,,,,,997.00M,6.744B
2001-01,,356.00M,,356.00M,1.941B,,1.941B,4.248B,,,759.00M,7.304B,,,,,,,15.76B,-4.341B,11.42B,,,,,,,768.00M,12.19B,19.49B,3.576B,,,3.576B,,3.576B,,857.00M,,857.00M,1.868B,6.301B,5.634B,,5.634B,1.036B,,1.036B,,,6.67B,12.97B,75.00M,5.542B,902.00M,,,,,6.519B
2000-10,,370.00M,,370.00M,,,1.708B,5.219B,,,626.00M,7.923B,,,,,,,15.20B,-4.247B,10.96B,,,,,,,745.00M,11.70B,19.62B,3.974B,,,3.974B,,3.974B,,2.276B,,2.276B,1.627B,7.877B,4.846B,,4.846B,956.00M,,956.00M,,,5.802B,13.68B,,,,,,,5.946B,5.946B
2000-07,,339.00M,,339.00M,,,1.574B,4.071B,,,683.00M,6.667B,,,,,,,14.58B,-4.116B,10.46B,,,,,,,805.00M,11.26B,17.93B,3.347B,,,3.347B,,3.347B,,1.405B,,1.405B,1.749B,6.501B,4.52B,,4.52B,937.00M,,937.00M,,,5.457B,11.96B,,,,,,,5.974B,5.974B
2000-04,,301.00M,,301.00M,,,1.575B,3.908B,,,753.00M,6.537B,,,,,,,14.03B,-3.948B,10.08B,,,,,,,806.00M,10.89B,17.43B,3.154B,,,3.154B,,3.154B,,581.00M,,581.00M,1.625B,5.36B,5.172B,,5.172B,929.00M,,929.00M,,,6.101B,11.46B,,,,,,,5.967B,5.967B
2000-01,,220.00M,,220.00M,,,1.724B,3.798B,,,741.00M,6.483B,,,,,,,13.72B,-3.825B,9.899B,,,,,,,761.00M,10.66B,17.14B,3.514B,,,3.514B,,3.514B,,498.00M,,498.00M,1.838B,5.85B,4.521B,,4.521B,910.00M,,910.00M,,,5.431B,11.28B,76.00M,5.056B,730.00M,,,,,5.862B
1999-10,,246.00M,,246.00M,,,1.479B,4.757B,,,622.00M,7.104B,,,,,,,13.64B,-3.875B,9.766B,,,,,,,752.00M,10.52B,17.62B,3.394B,,,3.394B,,3.394B,,1.015B,,1.015B,1.561B,5.97B,5.263B,,5.263B,884.00M,,884.00M,,,6.147B,12.12B,3.00M,,,3.00M,,,5.502B,5.505B
1999-07,,238.00M,,238.00M,,,1.363B,3.973B,,,655.00M,6.229B,,,,,,,13.21B,-3.805B,9.408B,,,,,,,778.00M,10.19B,16.42B,3.111B,,,3.111B,,3.111B,,219.00M,,219.00M,1.529B,4.859B,5.178B,,5.178B,888.00M,,888.00M,,,6.066B,10.92B,6.00M,,,6.00M,,,5.484B,5.49B
1999-04,,246.00M,,246.00M,,,1.36B,3.779B,,,692.00M,6.077B,,,,,,,12.92B,-3.796B,9.129B,,,,,,,780.00M,9.909B,15.99B,2.917B,,,2.917B,,2.917B,,199.00M,,199.00M,1.345B,4.461B,5.216B,,5.216B,875.00M,,875.00M,,,6.091B,10.55B,10.00M,4.828B,,10.00M,,,,5.434B
1999-01,,255.00M,,255.00M,,,1.656B,3.475B,,,619.00M,6.005B,,,,,,,12.74B,-3.768B,8.969B,,,,,,,692.00M,9.661B,15.67B,3.15B,,,3.15B,,3.15B,,256.00M,,256.00M,1.651B,5.057B,4.452B,,4.452B,822.00M,,822.00M,,,5.274B,10.33B,292.00M,4.683B,,292.00M,,,,5.335B
1998-10,,239.00M,,239.00M,,,1.357B,4.669B,,,677.00M,6.942B,,,,,,,12.62B,-3.823B,8.801B,,,,,,,687.00M,9.488B,16.43B,3.363B,,,3.363B,,3.363B,,685.00M,,685.00M,1.52B,5.568B,5.166B,,5.166B,783.00M,,783.00M,,,5.949B,11.52B,28.00M,4.798B,,28.00M,,,,4.913B
1998-07,,237.00M,,237.00M,,,1.295B,3.697B,,,926.00M,6.155B,,,,,,,12.24B,-3.676B,8.564B,,,,,,,589.00M,9.153B,15.31B,2.852B,,,2.852B,,2.852B,,351.00M,,351.00M,1.462B,4.665B,5.132B,,5.132B,750.00M,,750.00M,,,5.882B,10.55B,20.00M,4.286B,,20.00M,,,,4.761B
1998-04,,249.00M,,249.00M,,,1.351B,3.569B,,,623.00M,5.792B,,,,,,,11.85B,-3.527B,8.32B,,,,,,,608.00M,8.928B,14.72B,2.723B,,,2.723B,,2.723B,,538.00M,,538.00M,1.347B,4.608B,4.76B,,4.76B,731.00M,,731.00M,,,5.491B,10.10B,24.00M,4.043B,,24.00M,,,,4.621B
