,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,Restated
2006-06,18.10M,18.10M,341.50M,341.50M,,342.90M,,,,285.70M,988.20M,9.163B,887.80M,,10.05B,-3.373B,6.678B,,,441.90M,,,2.292B,9.412B,10.40B,,2006-06,277.70M,,277.70M,,,,782.20M,782.20M,,1.397B,,3.025B,3.025B,569.40M,,569.40M,,,,,,3.595B,7.574B,,2006-06,,30.40M,2.796B,2.827B,,
2006-03,37.10M,37.10M,505.80M,505.80M,,278.40M,,,,282.60M,1.104B,9.098B,740.40M,,9.839B,-3.337B,6.502B,,,441.90M,,,2.328B,9.272B,10.38B,,2006-03,271.60M,,271.60M,,,,827.80M,827.80M,,1.432B,,3.025B,3.025B,591.60M,,591.60M,,,,,,3.617B,7.586B,,2006-03,,30.40M,2.758B,2.789B,,
2005-12,73.20M,73.20M,441.80M,441.80M,,451.60M,,,,410.40M,1.377B,9.055B,596.60M,,9.651B,-3.288B,6.363B,,,441.90M,,,2.280B,9.085B,10.46B,,2005-12,418.10M,,418.10M,,,,952.30M,952.30M,,1.647B,,3.031B,3.031B,593.70M,,593.70M,,,,,,3.625B,7.752B,,2005-12,770.30M,30.40M,-15.90M,2.710B,,
2005-09,29.80M,29.80M,287.20M,287.20M,,504.20M,,,,344.20M,1.165B,8.861B,554.90M,,9.416B,-3.226B,6.190B,,,441.90M,,,2.202B,8.835B,10.00B,,2005-09,343.90M,,343.90M,,,,556.00M,556.00M,,1.187B,,3.133B,3.133B,608.00M,,608.00M,,,,,,3.741B,7.352B,,2005-09,,30.40M,757.60M,2.648B,,
2005-06,20.60M,20.60M,353.70M,353.70M,,319.20M,,,,354.90M,1.048B,8.451B,796.10M,,9.247B,-3.194B,6.053B,,,441.90M,,156.60M,1.920B,8.572B,9.621B,,2005-06,294.40M,,294.40M,,,,597.20M,597.20M,,1.168B,,2.992B,2.992B,546.10M,,546.10M,,,,,,3.538B,7.011B,,2005-06,,30.40M,708.50M,2.610B,,
2005-03,18.50M,18.50M,465.90M,465.90M,,209.50M,,,,338.50M,1.032B,8.409B,704.50M,,9.114B,-3.140B,5.974B,,,441.90M,,173.10M,1.868B,8.458B,9.49B,,2005-03,259.10M,,259.10M,,,,254.90M,254.90M,,808.20M,,3.230B,3.230B,571.00M,,571.00M,,,,,,3.802B,6.912B,,2005-03,,30.40M,738.70M,2.578B,,
2004-12,35.60M,35.60M,345.70M,345.70M,,403.10M,,,,436.10M,1.220B,8.355B,602.20M,,8.957B,-3.090B,5.866B,,,441.90M,,,2.037B,8.345B,9.565B,,2004-12,309.70M,,309.70M,,,,439.00M,439.00M,,992.40M,,3.240B,3.240B,530.40M,,530.40M,,,,,,3.770B,7.043B,,2004-12,785.10M,30.40M,-12.60M,2.523B,,
2004-09,47.70M,47.70M,281.70M,281.70M,,426.80M,,,,234.30M,990.50M,8.366B,512.50M,,8.878B,-3.076B,5.802B,,,441.90M,,,1.778B,8.022B,9.012B,,2004-09,236.00M,,236.00M,,,,385.00M,385.00M,,976.20M,,3.065B,3.065B,448.50M,,448.50M,,,,,,3.514B,6.550B,,2004-09,,30.40M,2.432B,2.462B,,
2004-06,21.40M,21.40M,329.20M,329.20M,,312.80M,,,,1.227B,1.891B,8.605B,422.00M,,9.027B,-3.140B,5.888B,,,441.90M,,,1.708B,8.038B,9.928B,,2004-06,227.90M,,227.90M,,,,777.60M,777.60M,,1.498B,,3.367B,3.367B,615.30M,,615.30M,,,,,,3.982B,7.499B,,2004-06,,30.40M,2.399B,2.429B,,
2004-03,17.80M,17.80M,446.10M,446.10M,,227.10M,,,,1.266B,1.957B,8.576B,355.10M,,8.932B,-3.088B,5.843B,,,441.90M,,,1.710B,7.995B,9.952B,,2004-03,214.40M,,214.40M,,,,745.60M,745.60M,,1.542B,,3.358B,3.358B,603.70M,,603.70M,,,,,,3.962B,7.509B,,2004-03,,30.40M,2.412B,2.443B,,
2003-12,28.10M,28.10M,333.70M,333.70M,,385.60M,,,,1.318B,2.066B,8.525B,296.20M,,8.822B,-3.021B,5.800B,,,441.90M,,,1.706B,7.949B,10.01B,,2003-12,248.70M,,248.70M,,,,757.00M,757.00M,,1.464B,,3.570B,3.570B,570.80M,,570.80M,,,,,,4.141B,7.625B,,2003-12,841.80M,30.40M,5.60M,2.389B,,
2003-09,31.30M,31.30M,448.10M,552.50M,,542.60M,,,,169.10M,1.296B,8.536B,363.40M,,8.899B,-3.636B,5.263B,,,835.20M,,,1.933B,8.031B,9.326B,,2003-09,306.30M,,306.30M,,,,849.50M,849.50M,,1.486B,,3.422B,3.422B,590.20M,,590.20M,,,,,,4.012B,7.014B,,2003-09,,30.40M,2.282B,2.312B,,
2003-06,38.20M,38.20M,517.00M,624.00M,,449.60M,,,,160.10M,1.272B,8.330B,291.00M,,8.621B,-3.642B,4.979B,,,835.20M,,,2.138B,7.952B,9.224B,,2003-06,317.00M,,317.00M,,,,646.80M,646.80M,,1.295B,,3.370B,3.370B,571.20M,,571.20M,,,,200.00M,,4.142B,6.932B,,2003-06,,30.40M,2.261B,2.291B,,
2003-03,30.50M,30.50M,637.20M,637.20M,,373.50M,,,,325.50M,1.367B,8.336B,292.60M,,8.629B,-3.594B,5.035B,,,1.681B,,,1.065B,7.782B,9.148B,,2003-03,355.40M,,355.40M,,,,708.70M,708.70M,,1.462B,,3.220B,3.220B,573.40M,,573.40M,,,,200.00M,,3.994B,6.903B,,2003-03,,30.40M,,2.245B,,
2002-12,43.60M,43.60M,479.20M,688.30M,,455.10M,,,,152.70M,1.340B,8.132B,274.00M,,8.406B,-2.892B,5.514B,,,833.10M,,,1.790B,8.138B,9.478B,,2002-12,317.60M,,317.60M,,,,993.40M,993.40M,,1.626B,,3.030B,3.030B,638.90M,,70.90M,,,,200.00M,,3.301B,7.308B,,2002-12,778.50M,30.40M,0.20M,2.170B,,
2002-09,36.50M,36.50M,439.10M,543.50M,,439.60M,,,,501.80M,1.521B,8.014B,245.90M,,8.260B,-3.955B,4.305B,,,832.20M,,755.90M,848.10M,6.741B,8.262B,,2002-09,276.00M,,276.00M,,,,1.082B,1.082B,,1.732B,,3.037B,3.037B,533.40M,,533.40M,,,,200.00M,,3.771B,6.163B,,2002-09,,30.40M,2.070B,2.100B,,
2002-06,48.50M,48.50M,485.60M,600.10M,,398.80M,,,,542.90M,1.590B,7.935B,224.00M,,8.159B,-3.918B,4.241B,,,832.30M,,729.00M,846.00M,6.649B,8.239B,,2002-06,279.70M,,279.70M,,,,1.126B,1.126B,,1.763B,,3.018B,3.018B,534.00M,,534.00M,,,200.00M,30.40M,,3.582B,6.003B,,2002-06,,,755.70M,2.036B,,
2002-03,32.50M,32.50M,537.60M,692.40M,,351.80M,,,,471.30M,1.548B,7.723B,337.50M,,8.060B,-3.880B,4.180B,,,832.00M,,715.80M,873.80M,6.602B,8.150B,,2002-03,255.00M,,255.00M,,,,1.056B,1.056B,,1.745B,,3.007B,3.007B,493.50M,,493.50M,,,200.00M,30.40M,,3.531B,5.935B,,2002-03,,,756.80M,2.014B,,
2001-12,47.00M,47.00M,550.60M,729.20M,,431.00M,,,,507.70M,1.715B,7.634B,380.20M,,8.014B,-3.826B,4.188B,,,832.10M,,,1.594B,6.614B,8.329B,,2001-12,309.80M,,309.80M,,,,1.035B,1.035B,,1.607B,,3.237B,3.237B,547.20M,,547.20M,,,,200.00M,,3.984B,6.242B,,2001-12,763.80M,30.40M,6.20M,2.086B,,
2001-09,72.20M,72.20M,531.60M,626.20M,,422.60M,,,,506.50M,1.628B,7.583B,305.00M,,7.888B,-3.811B,4.077B,,,837.30M,,,1.598B,6.512B,8.140B,,2001-09,233.90M,,233.90M,,,,627.10M,627.10M,,1.193B,,3.495B,3.495B,531.40M,,531.40M,,,,200.00M,,4.226B,6.047B,,2001-09,,30.40M,2.063B,2.093B,,
2001-06,70.00M,70.00M,498.50M,594.10M,,338.00M,,,,611.90M,1.614B,7.434B,318.50M,,7.752B,-3.797B,3.955B,,,815.90M,,,1.754B,6.525B,8.139B,,2001-06,271.90M,,271.90M,,,,695.60M,695.60M,,1.24B,,3.388B,3.388B,577.40M,,577.40M,,,,200.00M,,4.166B,6.051B,,2001-06,,30.40M,2.058B,2.088B,,
2001-03,59.10M,59.10M,649.10M,819.70M,,283.40M,,,,617.60M,1.780B,7.348B,351.70M,,7.699B,-3.766B,3.933B,,,821.10M,,838.50M,1.042B,6.634B,8.414B,,2001-03,321.60M,,321.60M,,,,842.00M,842.00M,,1.486B,,3.408B,3.408B,582.30M,,582.30M,,,,200.00M,,4.190B,6.341B,,2001-03,,30.40M,,2.073B,,
2000-12,40.50M,40.50M,532.60M,802.40M,,381.70M,,,,639.00M,1.864B,7.819B,246.30M,,8.065B,-3.913B,4.152B,,,826.90M,,,1.563B,6.542B,8.406B,,2000-12,427.00M,,427.00M,,,,1.442B,1.442B,,2.209B,,2.733B,2.733B,587.10M,,587.10M,,,,200.00M,,3.520B,6.359B,,2000-12,833.30M,30.40M,22.60M,2.047B,,
2000-09,46.30M,46.30M,507.20M,621.60M,,425.90M,,,,505.40M,1.599B,7.489B,269.20M,,7.758B,-3.432B,4.326B,,,,,1.844B,838.30M,7.008B,8.607B,,2000-09,292.70M,,292.70M,,,,2.068B,2.068B,,2.685B,,2.291B,2.291B,753.10M,,753.10M,,,200.00M,,,3.044B,6.30B,,2000-09,,30.40M,,2.107B,,
2000-06,27.40M,27.40M,491.00M,491.00M,,363.90M,,,,402.60M,1.285B,7.635B,230.40M,,7.866B,-3.409B,4.457B,,,891.60M,,,1.778B,7.126B,8.411B,,2000-06,305.00M,,305.00M,,,,1.884B,1.884B,,2.485B,,2.292B,2.292B,750.10M,,750.10M,,,,,,3.042B,6.101B,,2000-06,,230.40M,30.90M,2.310B,,
2000-03,24.75M,24.75M,271.53M,366.16M,,196.05M,,,,99.49M,686.45M,7.002B,223.17M,,7.225B,-3.336B,3.890B,,,,,651.93M,969.92M,5.512B,6.198B,,2000-03,191.20M,,191.20M,,,,439.62M,439.62M,,831.21M,,2.136B,2.136B,624.32M,,624.32M,,,,,,2.760B,3.933B,,2000-03,,230.45M,-2.472M,2.265B,,
1999-12,73.50M,73.50M,242.30M,376.90M,,231.60M,,,,150.50M,832.50M,6.922B,174.80M,,7.097B,-3.250B,3.847B,,,57.80M,,,1.325B,5.229B,6.062B,,1999-12,174.00M,,174.00M,,,,576.60M,576.60M,,887.70M,,2.135B,2.135B,544.30M,,79.90M,,,,200.00M,,2.414B,4.024B,,1999-12,838.30M,30.40M,-2.50M,2.038B,,
1999-09,40.10M,40.10M,212.10M,291.90M,,234.60M,,,,73.10M,639.70M,6.879B,116.10M,,6.995B,-3.136B,3.859B,,,,,535.80M,897.90M,5.293B,5.932B,,1999-09,155.60M,,155.60M,,,,465.20M,465.20M,-0.10M,792.70M,,1.989B,1.989B,586.20M,,586.20M,,,,200.00M,,2.775B,3.911B,,1999-09,,30.50M,-2.60M,2.021B,,
1999-06,35.40M,35.40M,213.80M,305.90M,,209.90M,,,,79.90M,631.10M,6.740B,170.10M,,6.910B,-3.111B,3.799B,,,,,521.70M,864.80M,5.186B,5.817B,,1999-06,162.20M,,162.20M,,,,403.80M,403.80M,,718.50M,,1.979B,1.979B,582.10M,,582.10M,,,,200.00M,,2.762B,3.834B,,1999-06,,30.50M,-1.20M,1.982B,,
1999-03,118.90M,118.90M,208.50M,304.80M,,172.40M,,,,77.30M,673.40M,6.178B,135.30M,,6.313B,-3.080B,3.233B,,,,,478.60M,1.110B,4.821B,5.494B,,1999-03,139.90M,,139.90M,,,,289.50M,289.50M,-0.10M,629.40M,,1.766B,1.766B,575.90M,,575.90M,,,,200.00M,,2.542B,3.534B,,1999-03,,30.50M,-1.20M,1.961B,,
1998-12,16.60M,16.60M,190.10M,320.60M,,199.00M,,,,71.90M,608.10M,6.128B,117.80M,,6.246B,-3.008B,3.238B,,,,,233.30M,1.282B,4.754B,5.362B,,1998-12,187.50M,,187.50M,,,,406.00M,406.00M,,735.20M,,1.749B,1.749B,655.00M,,84.20M,,,,,,1.833B,3.428B,,1998-12,759.20M,30.50M,-1.30M,1.934B,,
1998-09,22.40M,22.40M,184.00M,265.70M,,194.90M,,,,61.60M,544.60M,6.074B,85.10M,,6.159B,-2.895B,3.264B,,,,,437.20M,935.30M,4.636B,5.181B,,1998-09,134.30M,,134.30M,,,,324.00M,324.00M,-0.10M,626.90M,,1.695B,1.695B,554.50M,,554.50M,,,,,,2.250B,3.265B,,1998-09,,30.50M,,1.916B,,
1998-06,14.10M,14.10M,158.60M,263.10M,,187.70M,,,,81.90M,546.80M,5.944B,132.10M,,6.076B,-2.878B,3.198B,,,,,432.80M,935.90M,4.567B,5.114B,,1998-06,144.30M,,144.30M,,,,248.80M,248.80M,,547.80M,,1.725B,1.725B,549.90M,,549.90M,,,,,,2.275B,3.209B,,1998-06,,30.50M,,1.904B,,
