,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2012-08,252.60M,,,,1.20M,2.30M,3.50M,,,91.20M,91.20M,,0.30M,13.10M,-1.50M,-35.80M,-148.50M,-33.90M,73.30M,,,-31.60M,-3.70M,323.90M,,2012-08,-98.40M,1.90M,-96.50M,,,,-365.30M,,2012-08,-16.90M,232.00M,215.10M,,-75.00M,-75.00M,-97.90M,10.80M,0.20M,53.20M,,103.00M,11.80M,1.70M,116.50M,,2012-08,,-16.90M,-75.00M,,2012-08,AOR,Restated
2012-05,-89.90M,,,,-6.60M,153.80M,158.00M,,,93.80M,93.80M,,0.70M,6.60M,-3.90M,50.40M,187.40M,13.40M,-49.70M,,,102.90M,4.40M,272.60M,,2012-05,-96.60M,2.20M,-94.40M,0.00,,,-463.60M,,2012-05,-8.00M,37.00M,29.00M,0.00,-252.20M,-252.20M,-99.80M,13.90M,0.80M,-308.30M,,604.20M,-499.30M,-1.90M,103.00M,,2012-05,0.00,-8.00M,-252.20M,,2012-05,AOR,Restated
2012-02,280.70M,,,,0.20M,0.70M,0.90M,,,90.60M,90.60M,,0.50M,10.80M,-41.30M,60.50M,58.40M,26.30M,-290.30M,,,-53.20M,0.50M,289.50M,,2012-02,-141.10M,1.80M,-76.80M,-62.50M,,,-388.40M,,2012-02,-7.50M,3.00M,-4.50M,0.00,-16.20M,-16.20M,-288.80M,110.50M,1.00M,-8.30M,,706.50M,-107.20M,4.90M,604.20M,,2012-02,0.00,-7.50M,-16.20M,,2012-02,AOR,Restated
2011-11,183.10M,,,,-9.00M,-62.30M,-71.30M,,,95.00M,95.00M,,0.30M,12.10M,-3.40M,-52.00M,-216.80M,-31.20M,259.70M,,,-40.30M,-0.70M,174.80M,,2011-11,-7.40M,1.90M,-63.00M,57.50M,,,-63.00M,,2011-11,-345.60M,0.00,-345.60M,,-84.00M,-84.00M,,33.10M,,-491.90M,,1.095B,-380.10M,-8.60M,706.50M,,2011-11,,-345.60M,-84.00M,,2011-11,AOR,Restated
2011-08,94.00M,,,,-2.20M,3.20M,1.00M,,,91.50M,91.50M,,7.10M,12.30M,-15.70M,-63.10M,-12.10M,-3.00M,200.00M,,,121.80M,3.10M,315.10M,,2011-08,-153.10M,3.80M,-91.80M,-57.50M,,,-149.30M,,2011-08,-2.50M,0.00,-2.50M,,0.00,0.00,,55.70M,,-41.10M,,972.40M,124.70M,-1.90M,1.095B,,2011-08,,-2.50M,0.00,,2011-08,AOR,Restated
2011-05,260.70M,,,25.00M,-6.30M,40.30M,59.00M,,,96.60M,96.60M,,0.70M,10.30M,-367.30M,25.60M,120.90M,24.90M,-86.70M,,,348.50M,3.90M,412.40M,,2011-05,-119.00M,17.70M,-101.30M,0.00,-412.50M,412.40M,-92.20M,,2011-05,-2.60M,0.00,-2.60M,,-162.60M,-162.60M,,29.70M,0.10M,-233.20M,,882.90M,87.00M,2.50M,972.40M,,2011-05,,-2.60M,-162.60M,,2011-05,AOR,Restated
2011-02,225.70M,,,6.50M,-4.10M,-3.70M,-32.80M,,,90.10M,90.10M,,18.70M,11.80M,333.30M,25.20M,41.60M,-76.10M,-159.90M,,,-29.50M,3.50M,620.80M,,2011-02,-154.20M,-11.90M,-148.10M,-18.00M,412.50M,16.60M,268.00M,,2011-02,-2.40M,0.00,-2.40M,,-462.40M,-462.40M,,8.40M,2.20M,-554.50M,,545.20M,334.30M,3.40M,882.90M,,2011-02,,-2.40M,-462.40M,,2011-02,AOR,Restated
2010-11,201.20M,,,,-0.10M,-1.90M,29.50M,,,88.40M,88.40M,,0.20M,14.30M,23.40M,-45.80M,-204.90M,21.30M,222.10M,,,-147.00M,0.30M,210.30M,,2010-11,-81.90M,12.10M,-69.80M,,,-1.00M,-80.50M,,2010-11,-250.90M,,-250.90M,,-100.00M,-100.00M,,10.70M,0.10M,-428.00M,,840.90M,-298.20M,2.50M,545.20M,,2010-11,,-250.90M,-100.00M,,2010-11,AOR,Restated
2010-08,143.30M,,,,-2.60M,-110.10M,-112.70M,,,85.80M,85.80M,,0.20M,8.40M,7.20M,-2.20M,-148.30M,37.80M,84.70M,,,-28.00M,4.60M,108.80M,,2010-08,-129.10M,1.00M,-128.10M,,,2.50M,-6.40M,,2010-08,-38.40M,,-38.40M,,-100.00M,-100.00M,,10.90M,-0.30M,-216.40M,,953.20M,-114.00M,1.70M,840.90M,,2010-08,,-38.40M,-100.00M,,2010-08,AOR,Restated
2010-05,120.80M,0.00,-2.80M,,-0.20M,-102.90M,-105.90M,,,83.10M,83.10M,,67.90M,14.30M,48.00M,1.60M,167.30M,-72.10M,-27.00M,,,69.80M,68.20M,366.20M,,2010-05,-122.70M,84.00M,-38.70M,,91.90M,17.50M,-38.80M,,2010-05,-3.40M,,-3.40M,,-100.00M,-100.00M,,36.00M,1.70M,-154.60M,,785.60M,172.80M,-5.20M,953.20M,,2010-05,,-3.40M,-100.00M,,2010-05,AOR,Restated
