,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2010-11,3.148B,3.148B,2.388B,760.00M,428.30M,,53.10M,19.40M,-33.70M,428.30M,331.70M,19.40M,53.10M,-33.70M,,-33.70M,298.00M,101.40M,201.20M,0.60M,,-0.90M,,200.90M,200.30M,351.10M,,2010-11,0.46,0.00,0.46,,2010-11,0.45,0.00,0.45,,2010-11,0.23,,2010-11,AOR,Restated
2010-08,2.804B,2.804B,2.153B,651.30M,410.00M,,56.70M,19.40M,-37.30M,410.00M,241.30M,19.40M,56.70M,-37.30M,,-37.30M,204.00M,66.90M,143.30M,3.00M,,0.10M,,146.40M,143.40M,260.70M,,2010-08,0.32,0.01,0.33,,2010-08,0.32,0.01,0.33,,2010-08,0.20,,2010-08,AOR,Restated
2010-05,2.998B,2.998B,2.264B,733.80M,523.20M,,61.60M,22.80M,-38.80M,523.20M,210.60M,22.80M,61.60M,-38.80M,,-38.80M,171.80M,55.40M,120.80M,-30.60M,,0.40M,,90.60M,121.20M,233.40M,,2010-05,0.28,-0.08,0.20,,2010-05,0.27,-0.08,0.20,,2010-05,0.20,,2010-05,AOR,Restated
2010-02,3.030B,3.030B,2.252B,778.60M,418.20M,,61.20M,21.50M,-39.70M,418.20M,360.40M,21.50M,61.20M,-39.70M,,-39.70M,320.70M,102.60M,221.00M,7.70M,,0.90M,,229.60M,221.90M,381.90M,,2010-02,0.50,0.02,0.52,,2010-02,0.49,0.02,0.51,,2010-02,0.20,,2010-02,AOR,Restated
2009-11,3.100B,3.100B,2.258B,842.60M,456.10M,,61.10M,20.60M,-40.50M,456.10M,386.50M,20.60M,61.10M,-40.50M,,-40.50M,346.00M,114.10M,237.80M,1.40M,,0.50M,,239.70M,238.30M,407.10M,,2009-11,0.54,0.00,0.54,,2009-11,0.53,0.00,0.54,,2009-11,0.20,,2009-11,AOR,Restated
2009-08,2.886B,2.886B,2.180B,706.20M,421.90M,,61.70M,20.30M,-41.40M,421.90M,284.30M,20.30M,61.70M,-41.40M,,-41.40M,242.90M,88.80M,163.00M,2.20M,,0.70M,,165.90M,163.70M,304.60M,,2009-08,0.37,0.00,0.37,,2009-08,0.37,0.00,0.37,,2009-08,0.19,,2009-08,AOR,Restated
2009-05,2.993B,2.993B,2.228B,764.60M,501.20M,,,,-51.20M,501.20M,263.40M,,,-51.20M,,-51.20M,236.20M,76.00M,146.30M,28.60M,,-0.20M,,174.70M,146.10M,263.40M,,2009-05,0.33,0.06,0.39,,2009-05,0.33,0.06,0.39,,2009-05,0.19,,2009-05,AOR,Restated
2009-02,3.125B,3.125B,2.386B,739.40M,424.70M,,,,-42.00M,424.70M,314.70M,,,-42.00M,,-42.00M,272.70M,92.00M,191.80M,1.40M,,0.00,,193.20M,191.80M,314.70M,,2009-02,0.43,0.00,0.43,,2009-02,0.43,0.00,0.43,,2009-02,0.19,,2009-02,,Restated
2008-11,3.252B,3.252B,2.565B,686.50M,389.00M,,,,-42.70M,389.00M,297.50M,,,-42.70M,,-42.70M,254.80M,84.60M,172.10M,-3.60M,,-0.40M,,168.10M,171.70M,297.50M,,2008-11,0.38,0.00,0.38,,2008-11,0.38,-0.01,0.37,,2008-11,0.19,,2008-11,,Restated
2008-08,3.056B,3.056B,2.465B,591.50M,368.70M,,,,-50.10M,368.70M,222.80M,,,-50.10M,,-50.10M,172.70M,66.00M,107.60M,334.80M,,0.00,,442.40M,107.60M,222.80M,,2008-08,0.23,0.72,0.95,,2008-08,0.23,0.71,0.94,,2008-08,0.19,,2008-08,,Restated
