,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,148.78M,148.78M,5.145M,143.64M,,,79.79M,15.87M,2.708M,-1.104M,,,,,98.36M,45.27M,,,,-1.104M,,49.21M,9.645M,39.57M,,,39.57M,40.45M,54.49M,9.213M,45.27M,0.23,0.0,0.2352,0.23,0.23,0.0,0.2349,0.23,169.69M,181.50M,
2002-09,118.90M,118.90M,4.375M,114.52M,,,77.36M,17.15M,2.646M,-0.821M,,,,,97.16M,17.37M,,,,-0.821M,,19.31M,2.497M,16.82M,,,16.82M,17.53M,27.10M,9.734M,17.37M,0.1,0.0,0.1041,0.1,0.1,0.0,0.1041,0.1,175.13M,175.89M,
2002-06,117.46M,117.46M,4.758M,112.70M,,,82.75M,17.06M,2.611M,-1.684M,,,,,102.42M,10.28M,,,,-1.684M,,10.85M,,10.85M,,,10.85M,11.86M,20.77M,10.50M,10.28M,0.06,0.0,0.0656,0.06,0.06,0.0,0.0656,0.06,179.94M,181.26M,
2002-03,142.31M,142.31M,4.752M,137.56M,,,84.44M,18.85M,3.331M,0.126M,,,,,106.62M,30.94M,,,,0.126M,,33.78M,7.095M,26.69M,,,26.69M,26.59M,42.94M,12.00M,30.94M,0.14,0.0,0.1395,0.14,0.14,0.0,0.1395,0.14,184.17M,187.46M,
2001-12,158.05M,158.05M,7.741M,150.31M,,,84.25M,16.48M,15.40M,0.289M,,,,,116.13M,34.18M,,,,0.289M,,37.16M,11.52M,25.64M,,,25.64M,25.44M,59.51M,25.33M,34.18M,0.14,0.0,0.1389,0.14,0.13,0.0,0.129,0.13,186.20M,191.05M,
2001-09,153.50M,153.50M,7.573M,145.92M,,,81.74M,16.90M,14.90M,4.534M,,,,,113.54M,32.38M,,,,4.534M,,40.28M,12.48M,27.79M,,,27.79M,24.66M,54.44M,22.06M,32.38M,0.15,0.0,0.1332,0.15,0.14,0.0,0.1241,0.14,186.31M,196.84M,
2001-06,147.27M,147.27M,7.223M,140.05M,,,75.90M,18.15M,12.23M,-5.691M,,,,,106.28M,33.77M,,,,-5.691M,,34.93M,12.03M,22.89M,,,22.89M,26.62M,48.87M,15.10M,33.77M,0.12,0.0,0.1402,0.12,0.12,0.0,0.1392,0.12,184.49M,194.00M,
2001-03,132.81M,132.81M,7.312M,125.50M,,,67.43M,16.17M,6.304M,,,,,,89.90M,35.60M,,,,,,40.19M,11.25M,28.94M,,,28.94M,28.94M,52.70M,17.10M,35.60M,0.16,0.0,0.16,0.16,0.15,0.0,0.15,0.15,184.83M,195.67M,
2000-12,123.35M,123.35M,0.609M,122.74M,,,65.28M,13.68M,,,,,,,92.86M,29.88M,,,,,,27.68M,8.304M,19.38M,,,19.38M,19.38M,43.78M,13.90M,29.88M,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,184.97M,194.32M,
2000-09,113.49M,113.49M,3.414M,110.08M,,,58.30M,12.53M,,,,,,,84.17M,25.91M,,,,,,30.88M,9.264M,21.62M,,,21.62M,21.62M,39.24M,13.33M,25.91M,0.12,0.0,0.12,0.12,0.11,0.0,0.11,0.11,185.63M,192.88M,
2000-06,106.09M,106.09M,4.014M,102.07M,,,61.64M,12.30M,,,,,,,86.17M,15.90M,,,,,,21.39M,6.417M,14.97M,,,14.97M,14.97M,28.13M,12.23M,15.90M,0.08,0.0,0.08,0.08,0.07,0.0,0.07,0.07,185.36M,203.32M,
2000-03,127.52M,127.52M,1.165M,126.35M,,,53.84M,12.11M,,,,,,,76.74M,49.61M,,,,,,55.06M,16.52M,38.54M,,,38.54M,38.54M,60.39M,10.78M,49.61M,0.21,0.0,0.21,0.21,0.19,0.0,0.19,0.19,183.15M,208.31M,
1999-12,118.07M,118.07M,0.50M,117.57M,,,47.80M,10.80M,,0.00,,,,,67.50M,50.07M,,,,0.00,,53.20M,19.20M,34.00M,,,34.00M,34.00M,58.97M,8.90M,50.07M,0.09,0.0,0.09,0.09,0.085,0.0,0.085,0.085,359.69M,401.51M,
1999-09,105.80M,105.80M,0.90M,104.90M,,,42.40M,9.50M,,-2.30M,,,,,59.50M,45.40M,,,,-2.30M,,45.80M,16.50M,29.30M,,,29.30M,30.77M,53.00M,7.50M,45.40M,0.085,0.0,0.0892,0.085,0.075,0.0,0.0788,0.075,354.17M,386.27M,
1999-06,94.40M,94.40M,1.20M,93.20M,,,37.50M,8.90M,,6.40M,,,,,52.10M,41.10M,,,,6.40M,,43.40M,15.60M,27.80M,,,27.80M,23.70M,46.90M,5.80M,41.10M,0.08,0.0,0.0567,0.08,0.075,0.0,0.0517,0.075,175.61M,175.61M,
1999-03,85.00M,85.00M,2.90M,82.10M,,,31.20M,8.40M,,3.50M,,,,,45.00M,37.10M,,,,3.50M,,40.30M,14.50M,25.80M,,,25.80M,23.56M,42.50M,5.40M,37.10M,0.075,0.0,0.0622,0.075,0.07,0.0,0.0572,0.07,174.51M,174.51M,
1998-12,75.50M,75.50M,2.90M,72.60M,,,28.60M,7.50M,,2.40M,,,,,40.30M,32.30M,,,,2.40M,,34.90M,12.60M,22.30M,,,22.30M,20.77M,36.50M,4.20M,32.30M,0.1298,,0.1208,0.1298,0.1298,,0.1208,0.1298,171.85M,171.85M,
1998-09,67.60M,67.60M,1.20M,66.40M,,,25.20M,7.90M,,,,,,,40.00M,26.40M,,,,,,26.40M,9.50M,16.90M,,,16.90M,16.90M,33.30M,6.90M,26.40M,0.025,0.0,0.025,0.025,0.0225,0.0,0.0225,0.0225,169.73M,169.73M,
1998-06,56.20M,56.20M,4.80M,51.40M,,,22.70M,4.20M,,-8.10M,,,,,28.20M,23.20M,,,,-8.10M,,15.00M,5.40M,9.60M,,,9.60M,14.78M,26.30M,3.10M,23.20M,0.015,0.0,0.0459,0.015,0.015,0.0,0.0459,0.015,167.65M,167.65M,
