,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-12,58.94M,,,45.64M,6.125M,13.62M,19.75M,19.75M,-10.87M,,,-25.36M,-29.39M,-0.939M,-0.87M,12.72M,2.345M,4.531M,2.741M,-8.857M,,79.24M,-9.678M,,-9.678M,,-31.67M,-18.83M,,-60.18M,,-44.00M,40.66M,-38.82M,1.842M,,,,,-43.26M,508.23M,-24.20M,,484.04M,40.66M,,,-38.82M
2005-09,40.95M,,,-10.19M,5.617M,7.427M,13.04M,13.04M,-0.004M,,,25.36M,-6.068M,-0.768M,3.441M,-16.46M,0.162M,28.68M,-2.741M,6.245M,,75.40M,-4.659M,,-4.659M,,-136.68M,360.82M,,219.49M,,75.00M,24.62M,-93.95M,-69.34M,,,,,5.665M,207.67M,300.56M,,508.23M,24.62M,,,-93.95M
2005-06,27.89M,,,11.60M,5.342M,6.104M,11.45M,11.45M,-3.234M,,,0.022M,-15.59M,0.279M,-3.467M,18.14M,-0.162M,16.89M,1.284M,17.38M,,65.10M,-7.718M,,-7.718M,,,7.385M,,-0.333M,,,23.58M,-1.62M,21.96M,,,,,21.96M,120.95M,86.73M,,207.67M,23.58M,,,-1.62M
2005-03,38.56M,,,4.929M,4.886M,5.495M,10.38M,10.38M,-0.237M,,,-0.022M,22.62M,-0.279M,3.378M,-2.358M,,-2.291M,-1.284M,19.79M,,73.40M,-4.322M,,-4.322M,,,5.606M,,1.284M,,,12.74M,-39.96M,-27.22M,,,,,-27.22M,73.48M,47.46M,,120.95M,12.74M,,,-39.96M
2004-12,52.30M,,,4.36M,5.675M,-2.173M,3.502M,3.502M,8.721M,,,0.156M,-20.31M,,-14.66M,5.415M,-0.158M,31.71M,,11.17M,,80.21M,-5.114M,,-5.114M,,-50.04M,-43.50M,0.00,-98.65M,,0.001M,38.20M,-39.10M,-0.894M,,,,,-0.893M,92.82M,-19.34M,,73.48M,38.20M,,,-39.10M
2004-09,38.45M,,,9.525M,5.43M,5.273M,10.70M,10.70M,1.537M,,,0.256M,-5.423M,,3.467M,12.65M,0.096M,-9.044M,,1.748M,,62.22M,-7.562M,,-7.562M,,0.00,68.68M,-3.842M,57.27M,,-0.001M,5.386M,-39.63M,-34.25M,,,,,-34.25M,183.96M,85.24M,,92.82M,5.386M,,,-39.63M
2004-06,31.48M,,,8.828M,5.247M,5.471M,10.72M,10.72M,-0.369M,,,0.265M,-19.63M,,3.316M,-15.07M,0.041M,25.32M,,-6.028M,,44.89M,-7.586M,,-7.586M,,0.00,-116.25M,-11.50M,-135.33M,,0.00,9.641M,-43.17M,-33.53M,,,,,-33.53M,131.56M,-123.98M,,183.96M,9.641M,,,-43.17M
2004-03,9.325M,,,36.67M,4.895M,3.76M,8.655M,8.655M,,,,,20.05M,,7.879M,-1.23M,-0.435M,-2.945M,,23.32M,,77.97M,-4.15M,,-4.15M,,-90.75M,312.39M,-1.442M,216.05M,,-355.66M,10.24M,,10.24M,,,,,-345.42M,182.97M,-51.41M,,131.56M,10.24M,,,
2003-12,36.28M,,,-0.575M,4.933M,2.795M,7.728M,7.728M,3.37M,,,0.29M,-3.428M,,-8.886M,11.40M,2.066M,25.22M,,21.95M,,69.04M,-4.087M,,-4.087M,,,-108.40M,-1.572M,-114.05M,,,24.52M,-0.001M,24.52M,,,,-0.654M,23.86M,264.47M,-21.15M,,182.97M,24.52M,,,-0.001M
2003-09,31.00M,,,13.51M,5.167M,2.868M,8.035M,8.035M,-2.488M,,,-0.29M,-2.401M,,4.134M,2.916M,1.753M,16.41M,,22.82M,,72.58M,-3.09M,,-3.09M,,,-7.32M,-1.358M,-11.77M,,,8.702M,-124.55M,-115.85M,,,,71.29M,-44.56M,248.22M,16.25M,,264.47M,8.702M,,,-124.55M
2003-06,29.34M,,,11.30M,5.722M,2.699M,8.421M,8.421M,-0.628M,,,-0.047M,-17.08M,,0.244M,4.265M,1.126M,17.45M,,6.013M,,54.40M,-2.484M,,-2.484M,,,33.79M,0.372M,31.68M,,,20.79M,60.17M,80.96M,,,,-70.64M,10.32M,151.82M,96.40M,,248.22M,20.79M,,,60.17M
2003-03,30.33M,,,7.663M,7.178M,2.974M,10.15M,10.15M,0.358M,,,0.047M,0.564M,,4.508M,-2.093M,1.174M,6.707M,,10.86M,,59.41M,-1.402M,,-1.402M,,,6.595M,-0.372M,4.821M,,,5.064M,-60.17M,-55.11M,,,,-0.005M,-55.11M,142.70M,9.119M,,151.82M,5.064M,,,-60.17M
2002-12,39.57M,,,15.99M,6.505M,2.708M,9.213M,9.213M,7.272M,,,,-26.36M,0.303M,-2.40M,19.91M,1.414M,-2.295M,,-9.434M,,62.61M,-2.002M,,-2.002M,,0.00,-36.37M,,-37.47M,,0.00,4.051M,-16.34M,-12.29M,,,,-2.063M,-14.35M,117.56M,10.79M,,82.35M,4.051M,,,-16.34M
2002-09,16.82M,,,16.19M,7.088M,2.646M,9.734M,9.734M,-3.732M,,,,6.513M,0.084M,21.43M,-10.83M,1.502M,6.008M,,24.71M,,63.71M,-4.555M,,-4.555M,,0.00,70.58M,,66.02M,,-22.70M,-1.467M,-148.03M,-149.50M,,,,66.72M,-105.48M,93.30M,24.26M,,117.56M,-1.467M,,,-148.03M
2002-06,10.85M,,,26.00M,7.884M,2.611M,10.50M,10.50M,-1.022M,,,,5.861M,-0.48M,-14.84M,-8.935M,1.419M,3.531M,,-13.44M,,32.88M,-4.329M,,-4.329M,,0.00,-9.853M,,-14.18M,,0.00,2.106M,52.60M,54.71M,,,,-64.68M,-9.967M,84.57M,8.731M,,93.30M,2.106M,,,52.60M
2002-03,26.69M,,,14.64M,8.665M,3.331M,12.00M,12.00M,-0.256M,,,,-19.22M,0.48M,-5.576M,-0.211M,1.326M,-1.971M,,-25.17M,,27.90M,-8.218M,,-8.218M,,-10.68M,-9.732M,,-28.63M,,-5.075M,3.291M,-52.60M,-49.31M,,,,-0.005M,-54.39M,139.69M,-55.12M,,84.57M,3.291M,,,-52.60M
2001-12,25.64M,,,15.01M,9.926M,15.40M,25.33M,25.33M,-9.252M,,,,10.18M,-0.226M,-4.576M,-0.635M,1.298M,-0.164M,,5.882M,,62.61M,-20.70M,,-20.70M,,-0.021M,-19.06M,,-39.78M,,,23.07M,-58.76M,-35.69M,,,,-7.533M,-45.36M,162.22M,-22.53M,,139.69M,23.07M,,,-58.76M
2001-09,27.79M,,,26.10M,7.162M,14.90M,22.06M,22.06M,-2.824M,,,,-31.28M,0.167M,1.697M,11.37M,1.034M,-3.115M,,-20.13M,,52.99M,-7.437M,,-7.437M,,-10.47M,-66.90M,,-84.80M,,,64.12M,-92.87M,-28.75M,,,,7.523M,-21.23M,215.26M,-53.04M,,162.22M,64.12M,,,-92.87M
2001-06,22.89M,,,18.97M,0.925M,14.17M,15.10M,15.10M,7.647M,,,,-14.49M,-0.53M,21.80M,-4.605M,-14.12M,4.702M,,-7.245M,,57.36M,-8.214M,,-8.214M,,-173.27M,25.11M,,-156.37M,,,14.87M,-28.72M,-13.85M,,,,-0.003M,-13.85M,328.12M,-112.86M,,215.26M,14.87M,,,-28.72M
2001-03,28.94M,,,24.27M,12.74M,4.36M,17.10M,17.10M,6.90M,,,,-15.08M,-0.649M,-6.276M,-0.603M,-0.243M,2.518M,,-20.34M,,56.88M,-24.21M,,-24.21M,,,-77.01M,,-101.22M,,,27.31M,-29.87M,-2.561M,,,,,-2.561M,375.02M,-46.90M,,328.12M,27.31M,,,-29.87M
2000-12,19.38M,,,11.95M,,,13.90M,13.90M,-13.58M,,,,9.096M,0.581M,,7.362M,40.20M,-9.687M,,47.55M,,79.20M,-12.43M,,-12.43M,,0.00,5.497M,,-8.262M,,,17.63M,-35.95M,-18.32M,,,,0.00,-18.32M,322.41M,52.62M,,375.02M,17.63M,,,-35.95M
2000-09,21.62M,,,17.83M,,,13.33M,13.33M,11.38M,,,,-6.162M,0.188M,,0.742M,8.202M,-19.83M,,-16.86M,,47.30M,-11.89M,,-11.89M,,-1.99M,52.34M,,38.46M,,,7.60M,-121.90M,-114.30M,,,,-0.011M,-114.31M,350.96M,-28.55M,,322.41M,7.60M,,,-121.90M
2000-06,14.97M,,,24.35M,,,12.23M,12.23M,,,,,17.53M,-0.802M,,-6.827M,6.537M,-1.131M,,15.30M,,66.86M,-10.55M,,-10.55M,,0.00,17.78M,,7.234M,,0.046M,11.72M,,11.72M,,,,-0.049M,11.72M,265.14M,85.82M,,350.96M,11.72M,,,
2000-03,38.54M,,,70.98M,,,10.78M,10.78M,,,,,-29.09M,-3.729M,,17.52M,-50.32M,-4.804M,,-70.42M,,49.88M,-8.67M,,-8.67M,,-28.11M,-2.43M,,-39.21M,,-0.046M,38.40M,,38.40M,,,,,38.36M,216.12M,49.03M,,265.14M,38.40M,,,
1999-12,34.00M,,,44.10M,,,8.90M,8.90M,,,,0.20M,-25.00M,-1.20M,,7.00M,-26.60M,29.70M,3.00M,-13.10M,,59.40M,-15.40M,,-15.40M,,,-34.70M,0.80M,-49.30M,,-0.60M,26.80M,,26.80M,,,,0.00,26.20M,179.90M,36.30M,,216.10M,26.80M,,,
1999-09,29.30M,,,14.20M,,,7.50M,7.50M,,,,-0.10M,8.20M,-0.10M,,5.90M,3.70M,-12.80M,-3.00M,1.90M,,52.80M,-39.90M,,-39.90M,,,-91.70M,-0.10M,-131.70M,,0.00,24.00M,,24.00M,,,,-0.10M,23.90M,234.90M,-55.00M,,179.90M,24.00M,,,
1999-06,27.80M,,,19.80M,,,5.80M,5.80M,,,,,-13.40M,-3.60M,,-0.30M,1.00M,-1.70M,,-18.00M,,35.40M,-3.30M,-50.30M,-53.60M,,,-167.40M,-0.50M,-221.50M,,0.00,7.80M,,7.80M,,,,0.00,7.80M,0.00,-178.30M,,234.90M,7.80M,,,
1999-03,25.80M,,,8.20M,,,5.40M,5.40M,,,,,-10.90M,-0.70M,,14.90M,-18.20M,11.90M,,-3.00M,,36.40M,-2.70M,50.30M,47.60M,,,-102.40M,-0.20M,-55.00M,,292.50M,11.80M,,11.80M,,,,-0.10M,304.20M,127.50M,285.60M,,0.00,11.80M,,,
1998-12,22.30M,,,8.80M,,,4.20M,4.20M,-14.50M,,,0.00,0.90M,0.30M,,7.10M,0.20M,29.60M,,38.10M,,58.90M,-63.80M,,-63.80M,,,-69.10M,61.60M,-71.30M,,,6.80M,,6.80M,,,,,6.80M,133.10M,-5.60M,,127.50M,6.80M,,,
1998-09,16.90M,,,12.20M,,,6.90M,6.90M,,,,-0.20M,2.60M,-1.00M,,1.40M,8.30M,-13.20M,,-1.90M,,33.90M,-4.20M,,-4.20M,,,-5.30M,-49.90M,-59.40M,,,5.80M,,5.80M,,,,,5.80M,0.00,-19.70M,,133.10M,5.80M,,,
1998-06,21.10M,,,-6.20M,,,3.10M,3.10M,4.90M,,,0.20M,-15.40M,-1.10M,,1.00M,-13.40M,17.70M,,-11.20M,,11.90M,-2.90M,,-2.90M,,,23.10M,0.70M,20.90M,,,0.90M,,0.90M,,,,,0.90M,0.00,33.70M,,0.00,0.90M,,,
