,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2012-12,643.61M,285.02M,928.63M,630.96M,630.96M,,10.72M,106.58M,,36.85M,,1.714B,0.0,16.77M,76.20M,524.54M,,15.52M,149.73M,782.75M,-479.46M,303.29M,1.518B,556.20M,2.074B,595.31M,43.10M,66.54M,3.083B,4.796B,71.12M,49.35M,120.46M,126.30M,246.76M,,,,965.28M,965.28M,,,1.343B,,,,,232.72M,232.72M,,99.03M,331.75M,1.675B,0.287M,2.564B,3.691B,3.126B,-7.705M,3.122B
2012-09,324.13M,358.92M,683.05M,456.54M,456.54M,,10.96M,124.72M,,44.24M,,1.320B,,,,,,,,,,295.93M,1.504B,575.02M,2.079B,723.20M,3.372M,67.73M,3.170B,4.489B,68.21M,,68.21M,234.76M,302.98M,,,,862.80M,862.90M,0.102M,,1.166B,,,,67.36M,190.36M,257.72M,,29.52M,287.24M,1.453B,0.287M,2.450B,3.643B,3.047B,-10.13M,3.036B
2012-06,961.84M,335.94M,1.298B,404.21M,404.21M,,6.659M,123.06M,,43.96M,,1.876B,,,,,,,,,,283.54M,1.298B,353.85M,1.652B,410.37M,45.06M,62.65M,2.453B,4.329B,61.71M,,61.71M,226.15M,287.86M,,,,846.17M,846.29M,0.12M,,1.134B,,,,54.72M,182.19M,236.91M,,27.97M,264.88M,1.399B,0.285M,2.372B,3.550B,2.970B,-21.85M,2.930B
2012-03,390.88M,476.20M,867.08M,389.81M,389.81M,,9.43M,112.12M,,45.30M,,1.424B,,,,,,,,,,278.67M,1.266B,327.46M,1.594B,741.62M,51.96M,61.27M,2.727B,4.151B,53.94M,,53.94M,295.87M,349.81M,,,,822.05M,822.05M,,,1.172B,,,,,160.84M,160.84M,,40.89M,201.72M,1.374B,0.284M,2.280B,3.471B,2.969B,-4.421M,2.778B
2011-12,333.30M,406.46M,739.76M,484.43M,484.43M,,8.507M,95.42M,,44.92M,,1.373B,0.0,15.88M,72.10M,442.04M,,,131.59M,661.61M,-384.18M,277.43M,1.239B,343.37M,1.582B,737.84M,67.48M,61.27M,2.727B,4.100B,58.03M,8.30M,66.33M,108.36M,174.70M,,,,818.64M,897.96M,79.32M,,1.179B,,,,,141.24M,141.24M,,48.68M,189.92M,1.369B,0.283M,2.211B,3.385B,2.855B,-11.56M,2.730B
2011-09,312.13M,462.92M,775.05M,339.49M,339.49M,,7.024M,104.60M,,85.48M,,1.312B,,,,,,,,,,277.95M,1.150B,288.78M,1.439B,765.82M,35.30M,53.34M,2.571B,3.883B,57.49M,,57.49M,282.87M,340.36M,,,,710.38M,710.38M,,,1.051B,,,,,123.29M,123.29M,0.00,48.91M,172.20M,1.223B,0.282M,2.103B,3.316B,2.754B,-5.011M,2.660B
2011-06,430.82M,467.60M,898.42M,338.73M,338.73M,,7.332M,122.97M,,85.10M,,1.453B,,,,,,,,,,272.68M,1.043B,188.35M,1.231B,800.65M,56.80M,55.63M,2.417B,3.870B,61.06M,,61.06M,265.62M,326.68M,,,,711.63M,711.63M,,,1.038B,,,,,118.18M,118.18M,0.00,49.72M,167.90M,1.206B,0.281M,2.011B,3.268B,2.629B,12.92M,2.663B
2011-03,515.34M,414.58M,929.92M,297.19M,297.19M,,7.513M,112.93M,,84.29M,,1.432B,,,,,,,,,,261.24M,1.041B,198.92M,1.239B,708.91M,59.79M,51.32M,2.321B,3.753B,47.61M,,47.61M,248.27M,295.88M,,,,678.19M,678.19M,,,974.06M,,,,,110.57M,110.57M,7.441M,48.96M,159.53M,1.134B,0.28M,1.929B,3.197B,2.525B,10.93M,2.612B
2010-12,396.16M,497.64M,893.80M,378.40M,378.40M,,6.98M,105.07M,,86.23M,,1.470B,0.0,15.88M,72.10M,198.67M,187.84M,,104.31M,578.81M,-328.32M,250.48M,921.10M,178.14M,1.099B,791.85M,43.82M,47.73M,2.233B,3.704B,65.84M,,65.84M,289.84M,355.68M,,,,664.33M,664.33M,,,1.020B,,,,,114.64M,114.64M,7.597M,8.362M,123.00M,1.143B,0.278M,1.855B,3.112B,2.417B,2.023M,2.553B
2010-06,344.70M,478.32M,823.02M,319.38M,319.38M,,7.374M,105.55M,,56.33M,,1.312B,,,,,,,,,,242.98M,912.85M,197.22M,1.110B,585.42M,26.08M,42.39M,2.007B,3.319B,52.58M,,52.58M,236.87M,289.45M,,,,594.94M,594.94M,,,884.39M,,,,,91.42M,91.42M,8.221M,6.757M,98.18M,982.57M,0.272M,1.673B,2.845B,2.180B,-10.59M,2.328B
