,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2015-09,160.42M,,,,9.037M,41.01M,50.04M,50.04M,,,17.60M,5.245M,-3.637M,0.925M,-5.065M,,1.092M,-6.685M,226.62M,-6.83M,,,-435.05M,-0.441M,-442.32M,274.47M,,274.47M,0.64M,,0.64M,-25.11M,-25.11M,3.922M,2.167M,256.09M,678.57M,40.39M,-18.38M,700.58M,0.64M,275.00M,-0.527M,
2015-06,171.28M,,,,9.537M,40.33M,49.87M,49.87M,,,15.64M,3.053M,20.43M,-0.292M,-12.33M,,-75.09M,-67.29M,172.55M,-10.72M,,,-0.15M,-0.332M,-11.20M,-101.92M,,-101.92M,0.69M,,0.69M,-25.08M,-25.08M,9.048M,4.349M,-112.90M,615.49M,48.44M,14.64M,678.57M,0.69M,-100.00M,-1.915M,
2015-03,155.77M,,,,9.88M,38.43M,48.31M,48.31M,,,13.80M,-6.607M,9.262M,-7.68M,8.705M,,38.84M,49.12M,260.40M,-9.95M,,,-589.58M,-3.596M,-603.12M,400.31M,,400.31M,0.787M,,0.787M,-25.02M,-25.02M,6.267M,3.804M,386.14M,610.43M,43.42M,-38.36M,615.49M,0.787M,415.00M,-14.69M,
2014-12,185.94M,,,,10.45M,39.22M,49.66M,49.66M,,,16.02M,6.519M,11.13M,15.18M,-2.595M,,-20.64M,3.075M,261.21M,-10.40M,,,-0.125M,2.81M,-7.712M,-155.00M,,-155.00M,0.671M,,0.671M,-20.03M,-20.03M,-15.96M,5.69M,-184.63M,564.11M,68.86M,-22.55M,610.43M,0.671M,,-155.00M,
2014-09,155.51M,,,,10.35M,39.68M,50.04M,50.04M,,,17.00M,2.296M,-2.165M,-2.318M,17.26M,,-11.51M,1.261M,226.10M,-9.275M,,,-302.53M,-5.83M,-317.63M,125.00M,,125.00M,0.624M,,0.624M,-20.01M,-20.01M,4.738M,2.517M,112.87M,565.28M,21.34M,-22.51M,564.11M,0.624M,,125.00M,
2014-06,157.36M,,,,10.42M,38.46M,48.88M,48.88M,,,15.44M,-1.946M,-15.91M,-1.803M,5.971M,,-67.49M,-79.24M,140.50M,-10.08M,,,-0.58M,0.418M,-10.24M,-70.47M,,-70.47M,0.727M,,0.727M,-19.96M,-19.96M,13.66M,4.329M,-71.71M,502.88M,58.54M,3.853M,565.28M,0.727M,,-70.47M,
2014-03,147.23M,,,,9.666M,39.04M,48.70M,48.70M,,,14.57M,-1.338M,-3.764M,-4.712M,-12.89M,,24.83M,3.466M,212.63M,-10.48M,,,-2.146M,0.108M,-12.52M,-151.61M,,-151.61M,0.729M,,0.729M,-19.86M,-19.86M,8.026M,8.084M,-154.63M,459.72M,45.48M,-2.316M,502.88M,0.729M,,-151.61M,
2013-12,165.70M,,,,9.487M,40.22M,49.71M,49.71M,,,13.09M,0.09M,-11.80M,2.515M,10.25M,,6.216M,7.183M,235.78M,-9.179M,,,-59.46M,-0.518M,-69.16M,-145.61M,,-145.61M,0.616M,,0.616M,-16.39M,-16.39M,-8.895M,4.389M,-165.89M,459.98M,0.735M,-0.995M,459.72M,0.616M,-140.00M,-5.611M,
2013-09,136.32M,,,,9.527M,39.42M,48.94M,48.94M,,,13.76M,2.465M,31.69M,-4.84M,22.15M,,5.282M,54.28M,255.77M,-11.46M,,,-7.439M,0.282M,-18.62M,-153.50M,,-153.50M,0.583M,,0.583M,-16.37M,-16.37M,5.841M,2.056M,-161.39M,374.57M,75.76M,9.652M,459.98M,0.583M,290.00M,-443.50M,
2013-06,111.35M,,,,9.40M,37.70M,47.10M,47.10M,,,13.31M,0.814M,-16.30M,1.325M,16.42M,,-34.27M,-32.83M,139.74M,-10.68M,,,-1.005B,1.079M,-1.015B,836.45M,,836.45M,0.608M,,0.608M,-16.34M,-16.34M,4.769M,-5.773M,819.72M,430.02M,-55.42M,-0.028M,374.57M,0.608M,800.00M,36.45M,
