,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2003-06,17.90M,1.124B,1.142B,2.045B,241.90M,2.287B,116.60M,3.545B,525.40M,,,,11.77B,26.20M,12.35B,15.30B,,,,,,1.426B,,,,,1.426B,1.489B,1.489B,,,4.152B,3.853B,,9.495B,10.92B,,217.40M,3.180B,674.50M,,,,-4.80M,346.40M,341.60M,4.381B,,AOR,Restated
2003-03,23.30M,828.30M,851.60M,1.939B,,1.939B,101.60M,2.892B,509.20M,,,,10.66B,163.40M,11.46B,14.15B,,,,,,1.212B,,,,,1.212B,1.489B,1.489B,,,3.909B,3.590B,,8.988B,10.20B,,217.00M,2.988B,607.40M,,,,-4.80M,145.50M,140.70M,3.954B,,AOR,Restated
2002-12,16.90M,567.80M,584.70M,1.743B,,1.743B,96.70M,2.424B,503.10M,,,,10.28B,,11.27B,13.56B,,,,,,1.190B,,,,,1.190B,1.489B,1.489B,,,3.813B,3.304B,,8.606B,9.796B,,218.00M,2.796B,584.70M,,,,,,169.30M,3.768B,,AOR,Restated
2002-09,17.60M,565.10M,582.70M,1.795B,205.40M,2.000B,95.40M,2.679B,498.10M,,,,9.565B,209.10M,10.11B,12.88B,,,,,,1.257B,,,,,1.257B,1.096B,1.096B,,,3.632B,3.362B,,8.090B,9.347B,,217.70M,2.649B,578.00M,,,,-4.80M,97.60M,92.80M,3.538B,,AOR,
2002-06,14.90M,449.30M,464.20M,1.734B,201.20M,1.935B,96.20M,2.496B,498.30M,,,,9.31B,152.40M,9.852B,12.50B,,,,,,1.391B,,,,,1.391B,1.096B,1.096B,,,3.437B,3.194B,,7.727B,9.118B,,218.30M,2.517B,573.30M,8.80M,,,-4.80M,75.60M,70.80M,3.380B,,AOR,
2002-03,14.90M,429.90M,444.80M,1.619B,198.40M,1.818B,84.30M,2.347B,499.90M,,,,8.789B,186.50M,9.329B,11.84B,,,,,,1.141B,,,,,1.141B,1.096B,1.096B,,,3.295B,2.943B,,7.334B,8.474B,,220.20M,2.499B,567.60M,9.00M,,,-4.80M,87.80M,83.00M,3.370B,,AOR,
2001-12,11.20M,227.40M,238.60M,1.699B,,1.699B,77.60M,2.015B,498.00M,,,,8.226B,,8.943B,11.12B,,,,,,821.30M,,,,,821.30M,1.096B,1.096B,,,3.238B,2.717B,,7.050B,7.872B,,73.40M,2.497B,554.00M,,,,,,125.90M,3.251B,,AOR,Restated
2001-09,23.40M,307.60M,331.00M,1.573B,206.60M,1.78B,73.80M,2.185B,506.60M,,,,7.93B,112.90M,8.473B,10.86B,,,,,,1.036B,,,,,1.036B,749.10M,749.10M,,,3.177B,2.795B,,6.722B,7.757B,,73.30M,2.388B,541.10M,,,,,,98.50M,3.101B,,AOR,
2001-06,38.70M,325.60M,364.30M,1.540B,209.90M,1.750B,66.80M,2.182B,506.90M,,,,7.449B,182.30M,7.995B,10.43B,,,,,,824.80M,,,,,824.80M,749.00M,749.00M,,,3.114B,2.720B,,6.582B,7.407B,,73.80M,2.367B,540.70M,,,,,,41.30M,3.023B,,AOR,
2001-03,22.30M,251.70M,274.00M,1.529B,206.70M,1.736B,61.00M,2.070B,509.20M,,,,7.283B,218.00M,7.828B,10.23B,,,,,,883.50M,,,,,883.50M,748.90M,748.90M,,,3.038B,2.631B,,6.417B,7.301B,,73.70M,2.302B,517.60M,,,,,,38.60M,2.932B,,AOR,
2000-12,8.90M,186.80M,195.70M,1.805B,,1.805B,95.70M,2.096B,504.50M,,,,6.983B,241.10M,7.527B,10.05B,,,,,,810.10M,,,,,810.10M,748.80M,748.80M,,,2.986B,2.636B,,6.372B,7.182B,,73.50M,2.220B,511.20M,,,,,,64.70M,2.870B,,AOR,Restated
2000-09,19.20M,244.10M,263.30M,1.829B,248.10M,2.077B,100.50M,2.441B,496.40M,,,,7.065B,281.70M,7.605B,10.49B,,,,,,764.30M,,,,,764.30M,1.049B,1.049B,,,2.934B,2.951B,,6.934B,7.698B,,73.30M,2.178B,501.60M,,,,,,41.90M,2.795B,,AOR,
2000-06,8.90M,711.90M,720.80M,1.898B,247.30M,2.145B,99.40M,2.966B,479.40M,,,,7.056B,309.30M,7.580B,10.55B,,,,,,979.70M,,,,,979.70M,1.049B,1.049B,,,2.789B,3.005B,,6.843B,7.822B,,73.20M,2.126B,497.60M,,,,,,33.90M,2.730B,,AOR,
2000-03,11.00M,264.50M,275.50M,1.843B,250.60M,2.094B,93.00M,2.462B,469.20M,,,,6.555B,293.20M,7.077B,9.974B,,,,,,691.20M,,,,,691.20M,1.049B,1.049B,,,2.606B,2.905B,,6.560B,7.251B,,73.00M,2.146B,485.50M,,,,,,19.50M,2.724B,,AOR,
1999-12,14.20M,229.00M,243.20M,2.016B,,2.016B,88.30M,2.347B,447.70M,,,,6.428B,273.70M,6.916B,9.705B,,,,,,705.70M,,,,,705.70M,1.049B,1.049B,,,2.416B,2.781B,,6.246B,6.952B,,73.10M,2.210B,481.60M,,,,,,-12.40M,2.753B,,AOR,Restated
1999-09,,,,1.854B,,1.854B,,1.854B,439.70M,,,,,,7.474B,9.744B,,,,,,,,,,,,1.041B,1.041B,,,2.324B,2.896B,,6.260B,6.982B,,,2.211B,,,,,,,,2.763B,,,
1999-06,,,,1.766B,,1.766B,,1.766B,420.10M,,,,,,7.434B,9.610B,,,,,,,,,,,,1.041B,1.041B,,,2.242B,2.769B,,6.051B,6.847B,,,2.141B,,,,,,,,2.763B,,,
1999-03,,,,1.618B,,1.618B,,1.618B,404.80M,,,,,,7.175B,9.176B,,,,,,,,,,,,1.070B,1.070B,,,2.192B,2.562B,,5.825B,6.490B,,,2.034B,,,,,,,,2.686B,,,
1998-12,18.60M,441.90M,460.50M,1.737B,,1.737B,77.70M,2.275B,376.20M,,,,5.674B,192.90M,6.084B,8.463B,,,,,,582.00M,,,,,582.00M,776.60M,776.60M,,,2.218B,2.330B,,5.324B,5.906B,,72.50M,1.933B,448.30M,,,,,,103.70M,2.557B,,AOR,Restated
1998-09,,,,1.456B,,1.456B,,1.456B,355.30M,,,,,,6.529B,8.336B,,,,,,,,,,,,776.40M,776.40M,,,2.174B,2.377B,,5.328B,5.924B,,,1.861B,,,,,,,,2.412B,,,
1998-06,,,,1.390B,,1.390B,,1.390B,315.90M,,,,,,6.550B,8.286B,,,,,,,,,,,,776.20M,776.20M,,,2.170B,2.302B,,5.248B,5.875B,,,1.768B,,,,,,,,2.411B,,,
1998-03,,,,1.310B,,1.310B,,1.310B,286.30M,,,,,,6.305B,7.931B,,,,,,,,,,,,776.10M,776.10M,,,2.148B,2.179B,,5.103B,5.628B,,,1.637B,,,,,,,,2.302B,,,
1997-12,23.30M,409.40M,432.70M,1.161B,317.50M,1.478B,79.80M,1.991B,260.40M,,,,5.270B,116.50M,5.558B,7.560B,,,,,,486.40M,,,,,486.40M,775.90M,775.90M,,,2.181B,1.980B,,4.937B,5.424B,,72.30M,1.528B,412.80M,,,,,,122.30M,2.136B,,AOR,
1997-09,,,,1.158B,,1.158B,,1.158B,227.60M,,,,,,6.106B,7.574B,,,,,,,,,,,,775.90M,775.90M,,,2.141B,1.980B,,4.897B,5.510B,,,1.430B,,,,,,,,2.064B,,,
1997-06,,,,1.086B,,1.086B,,1.086B,195.80M,,,,,,5.752B,7.138B,,,,,,,,,,,,775.90M,775.90M,,,2.082B,1.863B,,4.721B,5.236B,,,1.320B,,,,,,,,1.902B,,,
1997-03,,,,962.70M,,962.70M,,962.70M,185.70M,,,,,,5.468B,6.705B,,,,,,,,,,,,775.80M,775.80M,,,1.999B,1.671B,,4.446B,4.964B,,,1.222B,,,,,,,,1.741B,,,
1996-12,15.40M,159.70M,175.10M,820.80M,310.00M,1.131B,85.80M,1.392B,169.90M,,,,4.451B,62.10M,4.643B,6.184B,,,,,,420.10M,,,,,420.10M,775.70M,775.70M,,,1.844B,1.467B,,4.087B,4.507B,,71.50M,1.150B,381.80M,,,,,,74.00M,1.677B,,AOR,
1996-09,,,,801.20M,,801.20M,,801.20M,165.60M,,,,,,4.947B,5.987B,,,,,,,,42.90M,42.90M,42.90M,42.90M,775.60M,775.60M,,,1.764B,1.449B,,3.989B,4.437B,,,1.063B,,,,,,,,1.550B,,,
1996-06,,,,794.10M,,794.10M,,794.10M,166.90M,,,,,,4.756B,5.794B,,,,,,,,,,,,775.60M,775.60M,,,1.693B,1.399B,,3.868B,4.334B,,,986.70M,,,,,,,,1.460B,,,
1996-03,,,,721.90M,,721.90M,,721.90M,165.10M,,,,,,4.737B,5.687B,,,,,,,,,,,,675.90M,675.90M,,,1.654B,1.296B,,3.626B,4.180B,,,949.40M,,,,,,,,1.507B,,,
1995-12,16.20M,302.80M,319.00M,649.90M,338.10M,988.00M,70.50M,1.378B,159.20M,,,,3.768B,58.30M,3.998B,5.352B,,,,,,339.90M,,,,,339.90M,675.90M,675.90M,,,1.651B,1.210B,,3.537B,3.877B,,155.70M,894.20M,374.80M,,83.60M,,,,51.10M,1.476B,,AOR,
1995-09,,,,635.70M,,635.70M,,635.70M,155.10M,,,,,,4.408B,5.276B,,,,,,,,,,,,675.70M,675.70M,,,1.605B,1.193B,,3.474B,3.883B,,,835.80M,,,,,,,,1.393B,,,
1995-06,,,,622.80M,,622.80M,,622.80M,152.70M,,,,,,4.234B,5.079B,,,,,,,,,,,,675.70M,675.70M,,,1.546B,1.175B,,3.397B,3.761B,,,778.00M,,,,,,,,1.318B,,,
1995-03,,,,574.40M,,574.40M,,574.40M,149.20M,,,,,,4.069B,4.851B,,,,,,,,,,,,675.70M,675.70M,,,1.486B,1.093B,,3.255B,3.609B,,,723.30M,,,,,,,,1.242B,,,
1994-12,13.40M,279.10M,292.50M,542.40M,379.70M,922.10M,83.20M,1.298B,143.30M,,,,3.18B,103.20M,3.348B,4.675B,,,,,,329.20M,,,,,329.20M,675.60M,675.60M,,,1.482B,1.037B,,3.194B,3.523B,,157.00M,668.50M,357.10M,,85.80M,,,,-30.70M,1.152B,,AOR,
1994-09,,,,509.50M,,509.50M,,509.50M,139.40M,,,,,,3.952B,4.662B,,,,,,,,,,,,675.60M,675.60M,,,1.475B,1.005B,,3.156B,3.572B,,,579.60M,,,,,,,,1.089B,,,
1994-06,,,,476.70M,,476.70M,,476.70M,125.60M,,,,,,3.860B,4.528B,,,,,,,,,,,,675.50M,675.50M,,,1.434B,948.60M,,3.058B,3.498B,,,520.80M,,,,,,,,1.031B,,,
1994-03,,,,421.40M,,421.40M,,421.40M,116.90M,,,,,,3.819B,4.416B,,,,,,,,,,,,675.40M,675.40M,,,1.390B,854.70M,,2.92B,3.398B,,,487.80M,,,,,,,,1.017B,,,
1993-12,8.70M,230.80M,239.50M,380.60M,380.90M,761.50M,84.60M,1.086B,106.70M,,,,2.786B,78.50M,2.920B,4.011B,,,,,,355.60M,,,,,355.60M,477.10M,477.10M,,,1.409B,772.00M,,2.658B,3.013B,,160.00M,446.80M,357.60M,,87.90M,,,,33.50M,997.90M,,AOR,
1993-09,,,,364.30M,,364.30M,,364.30M,86.00M,,,,,,3.069B,3.594B,,,,,,,,,,,,568.60M,568.60M,,,1.002B,678.60M,,2.249B,2.640B,,,403.10M,,,,,,,,953.50M,,,
1993-06,,,,345.00M,,345.00M,,345.00M,76.80M,,,,,,2.754B,3.247B,,,,,,,,,,,,568.50M,568.50M,,,988.30M,633.80M,,2.191B,2.518B,,,326.80M,,,,,,,,728.60M,,,
1993-03,,,,328.00M,,328.00M,,328.00M,65.90M,,,,,,2.663B,3.128B,,,,,,,,,,,,568.50M,568.50M,,,966.00M,586.40M,,2.121B,2.450B,,,253.10M,,,,,,,,677.60M,,,
1992-12,,,,312.00M,,312.00M,,312.00M,63.50M,,,,,,2.565B,3.005B,,,,,,,,,,,,568.50M,568.50M,,,957.50M,536.80M,,2.063B,2.376B,,,207.30M,,,,,,,,629.00M,,,
1992-09,,,,321.60M,,321.60M,,321.60M,64.30M,,,,,,2.572B,3.021B,,,,,,,,,,,,643.60M,643.60M,,,933.00M,546.20M,,2.123B,2.509B,,,222.70M,,,,,,,,511.90M,,,
1992-06,,,,328.70M,,328.70M,,328.70M,67.00M,,,,,,2.560B,3.016B,,,,,,,,,,,,644.00M,644.00M,,,917.40M,543.30M,,2.105B,2.511B,,,236.70M,,,,,,,,505.70M,,,
1992-03,,,,326.00M,,326.00M,,326.00M,71.40M,,,,,,2.569B,3.026B,,,,,,,,,,,,644.00M,644.00M,,,874.30M,515.70M,,2.034B,2.526B,,,228.80M,,,,,,,,499.80M,,,
1991-12,,,,323.30M,,323.30M,,323.30M,75.30M,,,,,,2.516B,2.979B,,,,,,,,,,,,644.00M,644.00M,,,863.40M,511.70M,,2.019B,2.513B,,,208.80M,,,,,,,,465.70M,,,
1991-09,,,,342.50M,,342.50M,,342.50M,77.40M,,,,,,2.471B,2.959B,,,,,,,,,,,,644.00M,644.00M,,,842.00M,528.00M,,2.014B,2.475B,,,228.50M,,,,,,,,484.30M,,,
1991-06,,,,342.80M,,342.80M,,342.80M,65.40M,,,,,,2.450B,2.941B,,,,,,,,,,,,644.40M,644.40M,,,819.80M,529.20M,,1.993B,2.442B,,,256.10M,,,,,,,,498.90M,,,
1991-03,,,,300.30M,,300.30M,,300.30M,59.40M,,,,,,2.324B,2.755B,,,,,,,,,,,,644.40M,644.40M,,,792.40M,476.80M,,1.914B,2.329B,,,285.70M,,,,,,,,425.90M,,,
1990-12,,,,261.00M,,261.00M,,261.00M,,,,,,,825.20M,1.086B,,,,,,,,,,,,640.80M,640.80M,,,,,,640.80M,677.70M,,,287.20M,,,,,,,,408.50M,,,
1990-09,,,,274.70M,,274.70M,,274.70M,44.50M,,,,,,2.263B,2.667B,,,,,,,,,,,,644.40M,644.40M,,,768.80M,487.40M,,1.901B,2.259B,,,284.20M,,,,,,,,408.00M,,,
1990-06,,,,271.70M,,271.70M,,271.70M,44.30M,,,,,,2.287B,2.696B,,,,,,,,,,,,644.90M,644.90M,,,746.40M,491.50M,,1.883B,2.242B,,,307.40M,,,,,,,,453.90M,,,
1990-03,,,,238.40M,,238.40M,,238.40M,45.00M,,,,,,2.271B,2.639B,,,,,,,,,,,,644.90M,644.90M,,,748.30M,465.20M,,1.858B,2.192B,,,398.60M,,,,,,,,446.90M,,,
1989-12,,,,235.10M,,235.10M,,235.10M,48.50M,,,,,,2.268B,2.647B,,,,,,,,,,,,645.90M,645.90M,,,749.80M,466.60M,,1.862B,2.212B,,,,,,,,,,,435.20M,,,
1989-09,,,,245.10M,,245.10M,,245.10M,50.00M,,,,,,2.247B,2.634B,,,,,,,,13.00M,13.00M,13.00M,13.00M,631.90M,631.90M,,,738.90M,496.70M,,1.868B,2.168B,,,313.10M,,,,,,,,466.40M,,,
1989-06,,,,219.80M,,219.80M,,219.80M,52.80M,,,,,,2.220B,2.590B,,,,,,,,10.00M,10.00M,10.00M,10.00M,635.70M,635.70M,,,708.80M,513.20M,,1.858B,2.138B,,,298.00M,,,,,,,,452.70M,,,
1989-03,,,,195.30M,,195.30M,,195.30M,49.20M,,,,,,2.188B,2.524B,,,,,,,,22.20M,22.20M,22.20M,22.20M,641.90M,641.90M,,,687.80M,494.20M,,1.824B,2.084B,,,282.10M,,,,,,,,440.30M,,,
1988-12,,,,,,,,,,,,,,,,2.307B,,,,,,,,,,,,479.20M,479.20M,,,,,,479.20M,1.890B,,,263.30M,,,,,,,,417.20M,,,
1987-12,,,,,,,,,,,,,,,,1.786B,,,,,,,,,,,,216.90M,216.90M,,,,,,216.90M,1.391B,,,226.40M,,,,,,,,395.00M,,,
1986-12,,,,,,,,,,,,,,,,1.266B,,,,,,,,,,,,100.80M,100.80M,,,,,,100.80M,954.80M,,,139.50M,,,,,,,,311.40M,,,
1985-12,,,,,,,,,,,,,,,,810.80M,,,,,,,,,,,,158.70M,158.70M,,,,,,158.70M,692.40M,,,90.30M,,,,,,,,118.40M,,,
1984-12,,,,,,,,,,,,,,,,538.10M,,,,,,,,,,,,101.60M,101.60M,,,,,,101.60M,463.30M,,,58.90M,,,,,,,,74.80M,,,
