,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-01,70.00M,,,3.70M,13.80M,13.80M,-9.30M,,,-7.30M,109.80M,30.90M,-50.90M,-5.60M,7.70M,3.70M,95.60M,,166.50M,-24.30M,,-24.30M,,-71.80M,,1.80M,-94.30M,,,-55.70M,0.20M,,0.20M,,-73.50M,,,-129.00M,136.40M,-56.80M,,79.60M,0.20M,,,
2002-10,81.00M,,,-3.70M,13.90M,13.90M,0.00,,,,-147.10M,-17.40M,56.80M,1.40M,-14.30M,2.00M,-118.60M,,-27.40M,-21.20M,,-21.20M,,,,-1.10M,-22.30M,,,36.80M,1.60M,,1.60M,,23.90M,,,62.30M,123.80M,12.60M,,136.40M,1.60M,,,
2002-07,36.10M,,,,13.80M,13.80M,-19.60M,,,,24.30M,-24.10M,-28.90M,3.40M,35.90M,-2.00M,8.60M,,38.90M,-15.00M,,-15.00M,,,,-1.10M,-16.10M,,,7.10M,2.20M,,2.20M,,-23.90M,,,-14.60M,115.60M,8.20M,,123.80M,2.20M,,,
2002-04,51.40M,,,-22.00M,14.60M,14.60M,-14.50M,,,9.70M,-54.10M,13.80M,29.60M,1.50M,-4.50M,4.30M,-9.40M,,29.80M,-14.80M,,-14.80M,,,,-3.80M,-18.60M,,,5.40M,,-0.30M,-0.30M,,-25.00M,,,-19.90M,124.80M,-8.70M,,116.00M,,,,-0.30M
2002-01,57.30M,,,7.70M,13.80M,13.80M,-11.20M,,,-9.70M,150.90M,48.20M,-44.10M,-6.40M,-23.60M,-4.30M,120.70M,,178.60M,-17.90M,,-17.90M,,,,0.90M,-17.00M,,,-107.00M,,0.00,0.00,,-23.90M,,,-130.90M,94.10M,30.70M,,124.80M,,,,0.00
2001-10,80.10M,,,-7.70M,13.30M,13.30M,-10.00M,,,,-100.90M,-37.50M,56.30M,2.90M,-1.80M,3.70M,-77.30M,,-1.60M,-18.40M,,-18.40M,,,,-1.10M,-19.50M,,,51.30M,,0.00,0.00,,-22.50M,,,28.80M,86.40M,7.70M,,94.10M,,,,0.00
2001-07,39.20M,,,,13.30M,13.30M,-7.30M,,,,27.10M,-19.50M,-26.80M,7.00M,13.90M,-3.70M,-2.00M,,43.20M,-19.90M,,-19.90M,,,,-1.00M,-20.90M,,,13.30M,,-12.70M,-12.70M,,-22.60M,,,-22.00M,86.10M,0.30M,,86.40M,,,,-12.70M
2001-04,54.10M,,,-6.20M,15.50M,15.50M,-5.00M,,,,-59.00M,3.40M,-0.80M,-10.40M,13.20M,,-53.60M,,4.80M,-21.90M,,-21.90M,,,,112.80M,-23.10M,,,47.90M,,0.10M,0.10M,,-22.00M,,,26.00M,78.50M,7.70M,,86.00M,,,,0.10M
2001-01,56.20M,,,-3.40M,16.10M,16.10M,-5.50M,,,,142.70M,2.90M,-48.60M,0.20M,-2.40M,,94.80M,,158.20M,-24.00M,,-24.00M,,,,-12.70M,-36.70M,,,-119.00M,,0.00,0.00,,-22.50M,,,-141.50M,98.50M,-20.00M,,78.50M,,,,0.00
2000-10,80.10M,,,-5.70M,16.50M,16.50M,-16.20M,,,,-141.50M,-48.60M,88.50M,7.70M,5.90M,,-88.00M,,-13.30M,-29.10M,-0.10M,-29.20M,,,,-82.90M,-112.10M,,,60.20M,,-3.10M,-3.10M,,-21.20M,,,35.90M,188.00M,-89.50M,,98.50M,,,,-3.10M
2000-07,42.60M,,,-4.70M,15.90M,15.90M,-13.30M,,,,48.80M,-20.70M,-29.10M,5.50M,36.30M,,40.80M,,81.30M,-21.00M,0.10M,-20.90M,,,,-19.20M,-40.10M,,,-12.10M,,,,,-21.30M,,,-33.40M,180.20M,7.80M,,188.00M,,,,
2000-04,51.90M,,,-8.50M,17.20M,17.20M,-17.10M,,,,-41.30M,7.50M,3.20M,1.20M,2.50M,,-26.90M,,16.60M,-29.10M,5.00M,-24.10M,,,62.50M,-8.00M,3.40M,,,60.20M,,,,,-21.30M,,,38.90M,121.30M,58.90M,,180.00M,,,,
2000-01,54.80M,,,0.10M,14.50M,14.50M,-13.60M,,,,153.10M,28.40M,-62.00M,-1.70M,-5.00M,,112.80M,,168.60M,-18.50M,,-18.50M,,,9.90M,-1.90M,-10.50M,,,-130.30M,,,,,-21.30M,,,-151.60M,114.80M,6.50M,,121.30M,,,,
1999-10,72.90M,,,-3.90M,14.90M,14.90M,-6.10M,,,,-149.80M,-12.00M,87.20M,2.60M,-19.90M,,-91.90M,,-14.10M,-17.90M,-0.70M,-18.60M,,,-72.40M,-2.70M,-93.70M,,,62.00M,,,,,-20.20M,,,41.80M,180.80M,-66.00M,,114.80M,,,,
1999-07,38.40M,,,-1.70M,15.40M,15.40M,-14.20M,,,,18.00M,-15.90M,9.60M,-5.10M,25.40M,,32.00M,,69.90M,-12.50M,0.70M,-11.80M,,,,-6.40M,-18.20M,,,-21.90M,,,,,-20.20M,,,-42.10M,171.20M,9.60M,,180.80M,,,,
1999-04,48.20M,,,-6.80M,14.00M,14.00M,1.00M,,,,-38.30M,14.10M,22.90M,1.10M,-9.90M,,-10.10M,,46.30M,-69.20M,0.90M,-68.30M,,,,-6.30M,-74.60M,,,95.90M,,-0.60M,-0.60M,,-20.10M,,,75.20M,124.40M,46.90M,,171.00M,,,,-0.60M
1999-01,49.30M,,,6.80M,13.10M,13.10M,-10.50M,,,,119.70M,13.40M,-64.00M,2.10M,-2.20M,,69.00M,,127.70M,-8.60M,0.20M,-8.40M,,,,-4.60M,-13.00M,,,-83.50M,,-9.30M,-9.30M,,-20.20M,,,-113.00M,122.70M,1.70M,,124.40M,,,,-9.30M
1998-10,67.30M,,,1.30M,14.00M,14.00M,-10.50M,,,,-114.10M,-23.50M,66.70M,-3.10M,-17.20M,,-91.20M,,-19.10M,-12.50M,0.80M,-11.70M,,,,-3.90M,-15.60M,,,98.60M,,-15.10M,-15.10M,,-19.30M,,,64.20M,93.20M,29.50M,,122.70M,,,,-15.10M
1998-07,37.20M,,,-6.30M,13.90M,13.90M,-5.00M,,,,27.70M,-12.00M,-17.60M,1.90M,18.30M,,18.30M,,58.10M,-9.70M,0.10M,-9.60M,,,,-4.20M,-13.80M,,,-10.00M,,,,,-19.40M,,,-29.40M,78.30M,14.90M,,93.20M,,,,
