,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-12,8.332B,8.332B,7.183B,1.149B,349.00M,251.00M,,19.00M,31.00M,,,,619.00M,530.00M,,,,150.00M,,510.00M,-442.00M,929.00M,,0.00,-23.00M,,929.00M,910.40M,1.032B,502.00M,530.00M,3.03,0.0,0.0,2.97,3.03,3.0,0.0,0.0,2.94,3.0,307.77M,311.90M,1.005
2003-09,7.977B,7.977B,6.861B,1.116B,334.00M,247.00M,,14.00M,69.00M,,,,595.00M,521.00M,,,,143.00M,,482.00M,127.00M,332.00M,,,-23.00M,,332.00M,281.18M,987.00M,466.00M,521.00M,1.08,0.0,,0.9142,1.08,1.08,0.0,,0.9154,1.08,306.60M,308.83M,1.005
2003-06,8.242B,8.242B,6.97B,1.272B,354.00M,246.00M,,15.00M,52.00M,,,,615.00M,657.00M,,,,142.00M,,610.00M,186.00M,393.00M,,,-31.00M,,393.00M,356.86M,1.122B,465.00M,657.00M,1.29,0.0,,1.172,1.29,1.29,0.0,,1.172,1.29,305.77M,307.30M,1.005
2003-03,8.081B,8.081B,7.163B,918.00M,355.00M,237.00M,,15.00M,-6.00M,,,,607.00M,311.00M,,,,33.00M,,149.00M,47.00M,85.00M,,-9.00M,-17.00M,,76.00M,89.11M,781.00M,470.00M,311.00M,0.27,-0.03,0.0,0.2835,0.24,0.27,-0.03,-0.0295,0.2834,0.24,304.87M,305.90M,1.005
2002-12,7.089B,7.089B,6.461B,628.00M,413.00M,282.00M,,16.00M,-1.012B,,,,711.00M,-83.00M,,,,-2.00M,,-1.228B,-482.00M,-809.00M,,0.00,-14.00M,,-809.00M,-194.22M,437.00M,520.00M,-83.00M,-2.64,-0.03,0.0,-0.6184,-2.67,-2.64,-0.03,-0.0001,-0.6184,-2.67,304.10M,304.10M,1.005
2002-09,7.041B,7.041B,6.008B,1.033B,389.00M,262.00M,,16.00M,-14.00M,,,,667.00M,366.00M,,,,33.00M,,195.00M,67.00M,128.00M,,,-25.00M,,128.00M,137.19M,818.00M,452.00M,366.00M,0.42,0.0,,0.4502,0.42,0.42,0.0,,0.45,0.42,303.90M,305.97M,1.005
2002-06,7.217B,7.217B,5.99B,1.227B,405.00M,272.00M,,19.00M,-13.00M,,,,696.00M,531.00M,,,,8.00M,,349.00M,111.00M,238.00M,,,-16.00M,,238.00M,246.87M,968.00M,437.00M,531.00M,0.78,0.0,,0.8092,0.78,0.78,0.0,,0.8089,0.78,303.57M,306.43M,1.005
2002-03,6.305B,6.305B,5.355B,950.00M,391.00M,250.00M,,14.00M,-27.00M,,,,655.00M,295.00M,,,,-53.00M,,70.00M,24.00M,38.00M,,67.00M,-8.00M,,105.00M,55.74M,711.00M,416.00M,295.00M,0.12,0.24,0.0,0.1787,0.36,0.12,0.21,0.2196,0.1782,0.33,302.43M,305.03M,1.005
2001-12,6.346B,6.346B,5.42B,926.00M,394.00M,268.00M,,60.00M,-43.00M,,,,722.00M,204.00M,,,,-98.00M,,-48.00M,-28.00M,-37.00M,,0.00,-17.00M,,-37.00M,-11.20M,703.00M,499.00M,204.00M,-0.12,0.0,0.0,-0.0345,-0.12,-0.12,0.0,-0.0001,-0.0345,-0.12,301.80M,301.80M,1.005
2001-09,6.729B,6.729B,5.639B,1.09B,433.00M,261.00M,,50.00M,-104.00M,,,,744.00M,346.00M,,,,-93.00M,,80.00M,20.00M,57.00M,,,-3.00M,,57.00M,135.00M,799.00M,453.00M,346.00M,0.18,0.0,,0.4392,0.18,0.18,0.0,,0.4361,0.18,300.93M,304.53M,1.005
2001-06,7.344B,7.344B,6.137B,1.207B,456.00M,271.00M,,35.00M,75.00M,,,,762.00M,445.00M,,,,113.00M,,395.00M,120.00M,280.00M,,,5.00M,,280.00M,227.78M,874.00M,429.00M,445.00M,0.93,0.0,,0.7561,0.93,0.93,0.0,,0.7584,0.93,300.30M,304.23M,1.005
2001-03,7.386B,7.386B,6.456B,930.00M,452.00M,272.00M,,33.00M,-1.09B,,,,757.00M,173.00M,,,,-1.055B,,-1.057B,-340.00M,-717.00M,,32.00M,-17.00M,,-685.00M,22.39M,607.00M,434.00M,173.00M,-2.4,0.12,0.0,0.0698,-2.28,-2.4,0.12,0.1069,0.0698,-2.28,299.37M,299.37M,1.368
2000-12,705.00M,705.00M,-922.00M,1.627B,228.00M,72.00M,,,311.00M,,,,1.509B,118.00M,,,,-54.00M,,5.00M,73.00M,-13.00M,,,-10.00M,0.00,-13.00M,-199.60M,1.327B,25.00M,118.00M,1.59,0.0,,0.9754,1.59,1.59,0.0,,0.9754,1.59,303.60M,303.60M,0.87
2000-09,7.448B,7.448B,6.184B,1.264B,449.00M,273.00M,,33.00M,80.00M,,,,755.00M,509.00M,,,,185.00M,,550.00M,177.00M,357.00M,,,-16.00M,,357.00M,302.75M,950.00M,441.00M,509.00M,1.2,0.0,,1.018,1.2,1.2,0.0,,1.02,1.2,298.70M,300.77M,0.87
2000-06,7.586B,7.586B,5.968B,1.618B,431.00M,277.00M,,32.00M,121.00M,,,,740.00M,878.00M,,,,251.00M,,989.00M,311.00M,657.00M,,,-21.00M,,657.00M,574.05M,1.309B,431.00M,878.00M,2.19,0.0,,1.912,2.19,2.16,0.0,,1.885,2.16,298.17M,302.03M,0.87
2000-03,7.269B,7.269B,5.424B,1.845B,474.00M,270.00M,418.00M,41.00M,130.00M,,,,1.203B,642.00M,,,,260.00M,,774.00M,262.00M,512.00M,,,-18.00M,,512.00M,426.01M,1.101B,418.00M,642.00M,1.85,0.0,,1.4669999999999999,1.85,1.83,0.0,,1.452,1.83,224.40M,227.40M,0.87
1999-12,6.26B,6.26B,4.802B,1.458B,385.00M,227.00M,,,16.00M,,,,979.00M,479.00M,,,,16.00M,,421.00M,153.00M,268.00M,,,-17.00M,1.00M,268.00M,257.81M,846.00M,367.00M,479.00M,0.4,0.0,,0.3539,0.4,0.4,,,0.3544,0.4,220.81M,223.28M,0.87
1999-09,4.693B,4.693B,3.306B,1.387B,381.00M,203.00M,,,89.00M,,,,892.00M,495.00M,,,,89.00M,,503.00M,182.00M,321.00M,,,-17.00M,1.00M,321.00M,264.20M,803.00M,308.00M,495.00M,0.49,0.0,,0.2328,0.49,0.48,0.0,,0.2228,0.48,220.81M,220.81M,0.87
1999-06,4.619B,4.619B,3.106B,1.513B,374.00M,223.00M,,,169.00M,,,,913.00M,600.00M,,,,169.00M,,640.00M,228.00M,412.00M,,,-8.00M,2.00M,412.00M,303.21M,916.00M,316.00M,600.00M,0.62,0.0,,0.1273,0.62,0.61,0.0,,0.1173,0.61,220.81M,220.81M,0.87
1999-03,4.417B,4.417B,2.993B,1.424B,390.00M,192.00M,,,148.00M,,,,892.00M,532.00M,,,,148.00M,,533.00M,203.00M,330.00M,,,-27.00M,1.00M,330.00M,238.37M,842.00M,310.00M,532.00M,1.49,0.0,,1.074,1.49,0.87,0.0,,0.4609,0.87,220.20M,224.00M,0.87
1998-12,5.442B,5.442B,3.947B,1.495B,422.00M,227.00M,,,-84.00M,,,,1.077B,418.00M,,,,-84.00M,,203.00M,53.00M,150.00M,,,-8.00M,2.00M,150.00M,212.07M,846.00M,428.00M,418.00M,0.6716,,,0.9532,0.6716,0.6716,,,0.9532,0.6716,220.38M,220.38M,0.87
1998-09,4.314B,4.314B,2.987B,1.327B,401.00M,198.00M,,,163.00M,,,,893.00M,434.00M,,,,163.00M,,472.00M,158.00M,314.00M,,,-4.00M,1.00M,314.00M,205.56M,728.00M,294.00M,434.00M,0.47,0.0,,-0.0199,0.47,0.47,0.0,,-0.0199,0.47,221.34M,221.34M,0.87
1998-06,4.857B,4.857B,3.226B,1.631B,440.00M,190.00M,,,86.00M,,,,926.00M,705.00M,,,,86.00M,,659.00M,232.00M,427.00M,,,-3.00M,2.00M,427.00M,371.28M,1.001B,296.00M,705.00M,0.63,0.0,,0.3814,0.63,0.62,0.0,,0.3714,0.62,224.12M,224.12M,0.87
