,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2010-03,2.923B,,2.923B,5.439B,,,5.016B,10.46B,1.32B,1.61B,4.09B,,7.02B,,482.00M,431.00M,21.31B,,,,,,,50.32B,-32.99B,17.33B,13.13B,5.784B,18.91B,5.557B,,313.00M,3.209B,911.00M,46.24B,67.55B,6.734B,255.00M,324.00M,,7.313B,3.161B,10.47B,2.594B,,1.773B,4.367B,,4.367B,64.00M,64.00M,,14.90B,18.84B,,18.84B,1.345B,1.345B,7.263B,675.00M,,4.106B,31.55B,46.45B,6.908B,16.75B,1.908B,379.00M,4.00B,,,-4.258B,20.42B
2009-12,2.846B,,2.846B,9.195B,,,,9.195B,1.367B,1.593B,3.887B,,6.847B,,654.00M,,19.54B,2.17B,2.284B,4.811B,42.29B,,2.013B,53.57B,-35.43B,18.14B,13.21B,5.966B,19.18B,5.995B,330.00M,,2.831B,,46.48B,66.02B,6.167B,254.00M,176.00M,,6.597B,3.209B,9.806B,2.139B,,1.082B,3.221B,,3.221B,78.00M,78.00M,,13.10B,19.15B,,19.15B,1.367B,1.367B,7.242B,569.00M,,4.028B,31.79B,44.89B,6.906B,16.70B,1.913B,557.00M,4.00B,,,-3.892B,20.56B
2009-09,2.581B,,2.581B,5.586B,,,3.201B,8.787B,1.472B,1.614B,3.884B,,6.97B,,689.00M,,19.03B,,,,,,,53.10B,-35.17B,17.94B,13.33B,5.254B,18.58B,5.549B,,959.00M,2.782B,2.195B,48.00B,67.03B,5.705B,253.00M,135.00M,,6.093B,3.109B,9.202B,1.692B,,1.362B,3.054B,,3.054B,78.00M,78.00M,,12.33B,20.63B,,20.63B,1.333B,1.333B,6.644B,516.00M,0.00,4.305B,33.45B,45.78B,6.906B,16.78B,2.025B,846.00M,4.00B,,,-3.613B,20.73B
2009-06,2.648B,,2.648B,5.531B,,,3.072B,8.603B,1.432B,1.656B,3.596B,,6.684B,,448.00M,,18.38B,,,,,,,51.67B,-34.30B,17.38B,13.25B,5.296B,18.54B,5.848B,,627.00M,3.286B,2.103B,47.78B,66.17B,5.432B,274.00M,125.00M,,5.831B,3.418B,9.249B,695.00M,,1.09B,1.785B,,1.785B,93.00M,93.00M,,11.13B,21.98B,,21.98B,1.446B,1.446B,6.62B,504.00M,0.00,4.769B,34.82B,45.94B,6.906B,16.24B,2.01B,851.00M,4.00B,,,-4.047B,19.72B
2009-03,2.956B,,2.956B,6.533B,,,,6.533B,1.462B,1.215B,3.239B,,5.916B,,201.00M,,15.61B,47.37B,,,,,,47.37B,-33.55B,13.82B,3.392B,813.00M,4.205B,5.128B,,657.00M,4.74B,,28.55B,44.16B,2.885B,141.00M,305.00M,1.972B,5.303B,2.318B,7.621B,844.00M,,1.223B,2.067B,,2.067B,64.00M,64.00M,,9.752B,10.90B,,10.90B,613.00M,613.00M,5.42B,63.00M,500.00M,3.798B,21.23B,30.98B,2.453B,16.90B,825.00M,2.384B,,,,-4.674B,13.12B
2008-12,2.80B,,2.80B,3.782B,,,3.074B,6.856B,1.468B,1.217B,3.351B,,6.036B,,368.00M,,16.06B,2.166B,1.898B,3.70B,38.53B,,2.094B,48.39B,-34.10B,14.29B,3.394B,829.00M,4.223B,5.725B,,658.00M,4.514B,,29.41B,45.47B,5.533B,411.00M,637.00M,,6.581B,2.625B,9.206B,2.36B,,1.454B,3.814B,,3.814B,88.00M,88.00M,,13.11B,8.042B,,8.042B,746.00M,746.00M,5.466B,69.00M,500.00M,4.032B,18.79B,31.89B,2.453B,17.01B,872.00M,2.438B,,,,-4.389B,13.51B
2008-09,2.261B,11.00M,2.272B,5.48B,,,4.121B,9.601B,1.022B,1.617B,4.223B,680.00M,7.542B,,261.00M,,19.68B,,,,,,,48.23B,-33.93B,14.30B,3.637B,808.00M,4.445B,,,,2.274B,9.472B,30.49B,50.16B,6.445B,,,,6.445B,2.47B,8.915B,2.407B,,1.743B,4.15B,,4.15B,112.00M,112.00M,972.00M,14.15B,8.257B,,8.257B,912.00M,912.00M,,70.00M,500.00M,7.149B,16.82B,30.97B,2.453B,18.95B,865.00M,2.457B,,,,-687.00M,19.13B
2008-06,2.111B,2.00M,2.113B,7.133B,,,4.223B,11.36B,838.00M,1.745B,4.392B,715.00M,7.69B,,172.00M,,21.33B,,,,,,,49.27B,-34.65B,14.62B,3.617B,794.00M,4.411B,,,,2.283B,9.504B,30.82B,52.15B,7.837B,,,,7.837B,2.237B,10.07B,2.225B,,1.051B,3.276B,,3.276B,132.00M,132.00M,905.00M,14.39B,8.116B,,8.116B,899.00M,899.00M,,237.00M,1.00B,7.381B,17.40B,31.78B,2.453B,18.92B,804.00M,2.417B,,,,374.00M,20.13B
2008-03,1.673B,1.00M,1.674B,6.621B,,,3.919B,10.54B,804.00M,1.483B,4.72B,681.00M,7.688B,,234.00M,,20.14B,,,,,,,49.04B,-34.50B,14.54B,3.608B,785.00M,4.393B,,,,2.286B,9.297B,30.52B,50.66B,6.963B,,,,6.963B,2.292B,9.255B,2.114B,,827.00M,2.941B,,2.941B,131.00M,131.00M,1.077B,13.40B,7.392B,,7.392B,907.00M,907.00M,,430.00M,1.00B,7.345B,16.64B,30.05B,2.453B,18.54B,947.00M,2.178B,,,,415.00M,20.18B
2007-12,1.736B,1.00M,1.737B,5.944B,,,3.74B,9.684B,1.205B,1.595B,4.085B,,6.885B,,348.00M,,18.65B,1.77B,1.888B,3.717B,38.52B,,1.814B,47.71B,-33.32B,14.39B,3.572B,781.00M,4.353B,5.963B,,696.00M,4.747B,,30.15B,48.80B,6.536B,418.00M,728.00M,,7.682B,2.512B,10.19B,1.548B,,586.00M,2.134B,,2.134B,117.00M,117.00M,,12.44B,7.581B,,7.581B,854.00M,854.00M,3.014B,,1.00B,4.518B,16.97B,29.41B,2.453B,18.00B,902.00M,1.80B,,,,-170.00M,19.39B
2007-09,1.945B,1.00M,1.946B,6.007B,,,3.42B,9.427B,667.00M,1.545B,3.928B,632.00M,6.772B,,108.00M,,18.25B,,,,,,,46.61B,-32.40B,14.21B,3.519B,752.00M,4.271B,,,,3.062B,7.873B,29.42B,47.67B,6.239B,,,,6.239B,2.277B,8.516B,306.00M,,1.372B,1.678B,,1.678B,187.00M,187.00M,1.153B,11.53B,8.019B,,8.019B,903.00M,903.00M,,400.00M,1.00B,7.745B,17.67B,29.20B,2.453B,17.94B,858.00M,1.624B,,,,-1.56B,18.07B
2007-06,1.976B,79.00M,2.055B,6.028B,,,3.276B,9.304B,674.00M,1.481B,3.739B,603.00M,6.497B,,173.00M,,18.03B,,,,,,,45.33B,-31.43B,13.90B,3.686B,511.00M,4.197B,,,,3.564B,7.23B,28.89B,46.92B,6.056B,,,,6.056B,2.124B,8.18B,285.00M,,1.393B,1.678B,,1.678B,246.00M,246.00M,1.193B,11.30B,7.966B,,7.966B,805.00M,805.00M,,389.00M,1.00B,7.628B,17.40B,28.70B,2.453B,17.94B,803.00M,1.38B,,,,-1.986B,17.83B
2007-03,2.377B,188.00M,2.565B,5.668B,,,3.107B,8.775B,621.00M,1.344B,3.556B,585.00M,6.106B,,378.00M,,17.82B,,,,,,,44.82B,-31.17B,13.64B,3.25B,457.00M,3.707B,,,,3.779B,7.076B,28.21B,46.03B,5.402B,,,,5.402B,2.204B,7.606B,307.00M,,1.367B,1.674B,,1.674B,234.00M,234.00M,1.391B,10.90B,7.975B,,7.975B,1.00B,1.00B,,378.00M,1.00B,7.447B,17.42B,28.33B,2.453B,17.31B,859.00M,1.205B,,,,-2.088B,17.32B
2006-12,2.757B,153.00M,2.91B,4.988B,3.06B,,,8.048B,672.00M,1.319B,3.498B,569.00M,6.058B,,193.00M,,17.21B,0.00,1.788B,3.376B,33.46B,4.115B,1.645B,44.38B,-30.66B,13.72B,3.242B,457.00M,3.699B,,,,4.006B,6.945B,28.37B,45.58B,5.674B,,,,5.674B,2.215B,7.889B,219.00M,,1.291B,1.51B,,1.51B,251.00M,251.00M,951.00M,10.60B,8.036B,,8.036B,999.00M,999.00M,,365.00M,1.00B,7.515B,17.55B,28.15B,2.453B,16.99B,830.00M,970.00M,,,,-2.235B,17.06B
2006-09,3.134B,35.00M,3.169B,5.278B,,,3.046B,8.324B,734.00M,1.447B,3.367B,570.00M,6.118B,,269.00M,,17.88B,,,,,,,43.37B,-30.02B,13.36B,3.23B,441.00M,3.671B,,,,3.486B,8.182B,28.70B,46.58B,5.352B,,,,5.352B,2.506B,7.858B,181.00M,,828.00M,1.009B,,1.009B,217.00M,217.00M,1.004B,10.09B,9.199B,,9.199B,1.084B,1.084B,,354.00M,1.00B,8.06B,19.34B,29.43B,2.453B,16.37B,777.00M,1.071B,,,,-1.738B,16.79B
2006-06,3.162B,36.00M,3.198B,5.359B,,,2.685B,8.044B,620.00M,1.437B,3.219B,573.00M,5.849B,,307.00M,,17.40B,,,,,,,43.23B,-29.57B,13.66B,3.14B,440.00M,3.58B,,,,3.586B,7.923B,28.74B,46.14B,5.266B,,,,5.266B,2.141B,7.407B,191.00M,,778.00M,969.00M,,969.00M,161.00M,161.00M,1.065B,9.602B,9.248B,,9.248B,1.137B,1.137B,,346.00M,1.00B,7.998B,19.38B,28.98B,2.453B,16.23B,701.00M,916.00M,,,,-1.652B,16.81B
2006-03,3.389B,35.00M,3.424B,5.104B,,,2.45B,7.554B,717.00M,1.326B,3.396B,543.00M,5.982B,,301.00M,,17.26B,,,,,,,42.51B,-28.96B,13.55B,,3.589B,3.589B,,,,3.534B,7.631B,28.30B,45.56B,4.993B,,,,4.993B,2.126B,7.119B,227.00M,,1.236B,1.463B,,1.463B,170.00M,170.00M,1.163B,9.915B,9.18B,,9.18B,1.123B,1.123B,,348.00M,1.00B,7.997B,19.30B,29.22B,2.453B,15.57B,671.00M,809.00M,,,,-1.881B,16.00B
2005-12,3.806B,32.00M,3.838B,5.124B,,,2.802B,7.926B,645.00M,1.247B,2.941B,486.00M,5.319B,,321.00M,,17.40B,0.00,1.665B,3.339B,35.59B,,1.342B,41.93B,-28.40B,13.54B,,3.583B,3.583B,,,,3.658B,7.752B,28.53B,45.93B,5.76B,,,,5.76B,2.342B,8.102B,241.00M,,1.279B,1.52B,,1.52B,201.00M,201.00M,840.00M,10.66B,9.186B,,9.186B,1.395B,1.395B,,336.00M,1.00B,8.03B,19.61B,30.27B,2.453B,14.72B,661.00M,1.95B,,,,-559.00M,15.32B
2005-09,3.179B,31.00M,3.21B,4.927B,,,2.87B,7.797B,825.00M,1.176B,2.969B,480.00M,5.45B,,393.00M,,16.85B,,,,,,,41.42B,-28.08B,13.33B,,3.615B,3.615B,,,,4.032B,7.91B,28.89B,45.74B,5.009B,,,,5.009B,2.573B,7.582B,203.00M,,719.00M,922.00M,,922.00M,465.00M,465.00M,759.00M,9.728B,9.969B,,9.969B,1.467B,1.467B,,333.00M,1.00B,8.577B,21.01B,30.74B,2.453B,13.95B,572.00M,621.00M,,,,-1.693B,14.66B
2005-06,3.162B,39.00M,3.201B,4.758B,,,2.526B,7.284B,562.00M,1.203B,2.964B,474.00M,5.203B,,385.00M,,16.07B,,,,,,,41.18B,-27.77B,13.41B,,3.633B,3.633B,,,,4.043B,7.73B,28.81B,44.89B,4.96B,,,,4.96B,2.144B,7.104B,133.00M,,1.235B,1.368B,,1.368B,390.00M,390.00M,704.00M,9.566B,10.02B,,10.02B,1.318B,1.318B,,334.00M,1.00B,8.603B,20.94B,30.51B,2.453B,13.48B,507.00M,635.00M,,,,-1.761B,14.04B
2005-03,3.357B,44.00M,3.401B,4.92B,,,2.868B,7.788B,524.00M,1.187B,3.032B,467.00M,5.21B,,400.00M,,16.80B,,,,,,,41.51B,-28.10B,13.41B,,3.657B,3.657B,,,,4.132B,7.976B,29.17B,45.97B,5.324B,,,,5.324B,2.578B,7.902B,122.00M,,1.455B,1.577B,,1.577B,258.00M,258.00M,658.00M,10.40B,10.88B,,10.88B,1.328B,1.328B,,339.00M,1.00B,8.65B,21.85B,32.25B,2.453B,12.52B,499.00M,736.00M,,,,-1.349B,13.38B
2004-12,3.108B,84.00M,3.192B,4.753B,,,2.604B,7.357B,605.00M,889.00M,2.989B,474.00M,4.957B,,384.00M,,15.89B,0.00,1.72B,3.462B,31.88B,3.827B,1.007B,41.90B,-28.07B,13.83B,,3.687B,3.687B,,,,4.369B,8.111B,30.00B,45.88B,5.895B,,,,5.895B,2.68B,8.575B,104.00M,,861.00M,965.00M,,965.00M,205.00M,205.00M,761.00M,10.51B,11.63B,,11.63B,1.301B,1.301B,,449.00M,1.00B,8.73B,22.66B,33.17B,2.453B,11.53B,274.00M,995.00M,,,,-989.00M,12.27B
2004-09,2.402B,38.00M,2.44B,4.338B,,,2.563B,6.901B,574.00M,1.132B,2.543B,453.00M,4.702B,,338.00M,,14.38B,,,,,,,40.40B,-26.92B,13.48B,,3.688B,3.688B,,,,4.423B,7.375B,28.97B,43.35B,5.693B,,,,5.693B,2.496B,8.189B,180.00M,,478.00M,658.00M,,658.00M,290.00M,290.00M,737.00M,9.874B,11.78B,,11.78B,1.228B,1.228B,,419.00M,1.00B,8.53B,22.54B,32.42B,2.453B,10.82B,107.00M,1.298B,,,,-1.569B,10.51B
2004-06,2.294B,43.00M,2.337B,4.472B,,,2.11B,6.582B,532.00M,919.00M,2.454B,455.00M,4.36B,,299.00M,,13.58B,,,,,,,40.27B,-26.72B,13.55B,,3.712B,3.712B,,,,4.287B,7.059B,28.61B,42.18B,5.396B,,,,5.396B,,5.396B,240.00M,,104.00M,344.00M,,344.00M,245.00M,245.00M,2.915B,8.90B,12.24B,,12.24B,1.125B,1.125B,,405.00M,1.00B,8.615B,22.98B,31.88B,2.453B,10.52B,83.00M,1.404B,,,,-1.753B,9.898B
2004-03,1.926B,47.00M,1.973B,4.20B,,,2.18B,6.38B,432.00M,898.00M,2.546B,449.00M,4.325B,,554.00M,,13.23B,,,,,,,40.78B,-26.85B,13.94B,,3.798B,3.798B,,,,4.20B,6.716B,28.65B,41.88B,5.224B,,,,5.224B,,5.224B,221.00M,,1.084B,1.305B,,1.305B,252.00M,252.00M,2.766B,9.547B,11.80B,,11.80B,1.135B,1.135B,,393.00M,1.00B,8.529B,22.46B,32.01B,2.453B,10.15B,33.00M,1.497B,,,,-1.659B,9.479B
2003-12,2.392B,42.00M,2.434B,3.574B,,,2.246B,5.82B,373.00M,837.00M,2.396B,444.00M,4.05B,,698.00M,,13.00B,,,,,,,40.81B,-26.60B,14.22B,,3.805B,3.805B,,,,4.113B,6.754B,28.89B,41.89B,4.884B,,,,4.884B,,4.884B,258.00M,,1.088B,1.346B,,1.346B,241.00M,241.00M,3.063B,9.534B,11.76B,,11.76B,1.124B,1.124B,,376.00M,1.00B,8.919B,22.81B,32.34B,2.453B,9.994B,8.00M,1.759B,,,,-1.521B,9.175B
2003-09,2.566B,47.00M,2.613B,3.144B,,,2.184B,5.328B,450.00M,917.00M,2.366B,434.00M,4.167B,,133.00M,,12.24B,,,,,,,39.31B,-25.80B,13.51B,,3.816B,3.816B,,,,3.85B,6.888B,28.06B,40.30B,4.588B,,,,4.588B,,4.588B,371.00M,,1.086B,1.457B,,1.457B,32.00M,32.00M,3.076B,9.153B,11.70B,,11.70B,1.117B,1.117B,,368.00M,1.00B,9.012B,22.82B,31.98B,2.453B,9.376B,1.00M,1.961B,,,,-1.909B,7.96B
2003-06,2.276B,71.00M,2.347B,3.26B,,,2.261B,5.521B,492.00M,889.00M,2.44B,414.00M,4.235B,,147.00M,,12.25B,,,,,,,39.10B,-25.45B,13.65B,,3.813B,3.813B,,,,3.903B,6.877B,28.25B,40.50B,2.578B,,,,2.578B,2.464B,5.042B,586.00M,,1.26B,1.846B,,1.846B,101.00M,101.00M,2.598B,9.587B,11.64B,,11.64B,1.093B,1.093B,,355.00M,1.00B,8.976B,22.70B,32.29B,2.453B,9.352B,,2.023B,,,,-1.932B,7.85B
2003-03,1.931B,105.00M,2.036B,3.051B,,,2.225B,5.276B,465.00M,859.00M,2.502B,403.00M,4.229B,,154.00M,,11.70B,,,,,,,38.45B,-24.78B,13.67B,,3.82B,3.82B,,,,3.83B,6.876B,28.19B,39.89B,2.898B,,,,2.898B,2.427B,5.325B,777.00M,,614.00M,1.391B,,1.391B,68.00M,68.00M,2.267B,9.051B,12.04B,,12.04B,1.02B,1.02B,,340.00M,1.00B,8.892B,22.96B,32.01B,2.453B,9.268B,,2.105B,,,,-2.077B,7.539B
2002-12,1.484B,89.00M,1.573B,3.116B,,,2.369B,5.485B,452.00M,843.00M,2.523B,390.00M,4.208B,,415.00M,,11.68B,,,,,,,37.93B,-24.14B,13.80B,,3.802B,3.802B,,,,3.47B,6.812B,27.88B,39.56B,2.834B,,,,2.834B,2.298B,5.132B,580.00M,,797.00M,1.377B,,1.377B,30.00M,30.00M,2.317B,8.856B,11.66B,,11.66B,994.00M,994.00M,,366.00M,1.00B,9.061B,22.71B,31.57B,2.453B,9.52B,,2.189B,,,,-2.158B,7.626B
2002-09,500.00M,48.00M,548.00M,3.161B,,,2.05B,5.211B,490.00M,936.00M,2.669B,385.00M,4.48B,,522.00M,,10.76B,,,,,,,37.39B,-23.71B,13.69B,602.00M,3.188B,3.79B,,,,2.336B,6.213B,26.03B,36.79B,3.826B,,,,3.826B,2.294B,6.12B,903.00M,,725.00M,1.628B,,1.628B,206.00M,206.00M,487.00M,8.441B,10.36B,,10.36B,922.00M,922.00M,,366.00M,1.00B,5.927B,18.21B,26.65B,2.453B,10.65B,,2.233B,,,,-1.102B,9.772B
2002-06,299.00M,64.00M,363.00M,3.667B,,,2.047B,5.714B,915.00M,,3.44B,,4.355B,,518.00M,,10.95B,,,,,,,37.21B,-23.47B,13.74B,,3.789B,3.789B,,,,2.55B,6.079B,26.16B,37.10B,3.789B,,,,3.789B,2.257B,6.046B,1.645B,,921.00M,2.566B,,2.566B,285.00M,285.00M,523.00M,9.42B,9.336B,,9.336B,1.063B,1.063B,,355.00M,1.00B,5.88B,17.28B,26.70B,2.453B,10.83B,,2.244B,,,,-991.00M,10.05B
2002-03,234.00M,63.00M,297.00M,3.223B,,,2.004B,5.227B,859.00M,,3.446B,,4.305B,,438.00M,,10.27B,,,,,,,36.01B,-22.58B,13.43B,,3.683B,3.683B,,,,2.136B,5.838B,25.08B,35.35B,3.463B,,,,3.463B,2.095B,5.558B,1.719B,,559.00M,2.278B,,2.278B,56.00M,56.00M,503.00M,8.395B,9.099B,,9.099B,765.00M,765.00M,,352.00M,1.00B,5.895B,16.76B,25.15B,2.453B,10.90B,,2.331B,,,,-1.179B,9.845B
2001-12,220.00M,44.00M,264.00M,2.868B,,,2.23B,5.098B,871.00M,,3.569B,,4.44B,,506.00M,,10.31B,,,,,,,35.89B,-22.31B,13.58B,,3.13B,3.13B,,,,2.248B,6.25B,25.21B,35.52B,3.639B,,,,3.639B,2.12B,5.759B,1.209B,,408.00M,1.617B,,1.617B,236.00M,236.00M,513.00M,8.125B,9.266B,,9.266B,760.00M,760.00M,,357.00M,1.00B,6.014B,17.04B,25.16B,2.453B,11.11B,,2.412B,,-1.07B,-90.00M,-1.16B,9.993B
2001-09,480.00M,68.00M,548.00M,3.537B,,,3.337B,6.874B,885.00M,,3.828B,,4.713B,,579.00M,,12.71B,,,,,,,35.72B,-22.10B,13.62B,,3.301B,3.301B,,,,2.226B,6.192B,25.34B,38.05B,2.585B,,,,2.585B,2.117B,4.702B,3.301B,,42.00M,3.343B,,3.343B,330.00M,330.00M,2.158B,10.53B,8.711B,,8.711B,1.371B,1.371B,,370.00M,1.00B,5.732B,16.81B,27.35B,2.453B,11.46B,19.00M,2.494B,,-1.002B,-103.00M,-1.105B,10.34B
2001-06,203.00M,100.00M,303.00M,3.825B,,,2.58B,6.405B,813.00M,,3.763B,,4.576B,,675.00M,,11.96B,,,,,,,35.10B,-21.63B,13.47B,,3.363B,3.363B,,,,2.015B,6.143B,24.99B,36.95B,3.503B,,,,3.503B,2.186B,5.689B,3.70B,,38.00M,3.738B,,3.738B,210.00M,210.00M,515.00M,10.15B,8.379B,,8.379B,1.358B,1.358B,,393.00M,500.00M,5.577B,15.81B,25.97B,2.453B,11.71B,45.00M,2.524B,,-990.00M,-103.00M,-1.093B,10.59B
2001-03,244.00M,246.00M,490.00M,3.594B,,,2.603B,6.197B,759.00M,,3.618B,,4.377B,,687.00M,,11.75B,,,,,,,34.48B,-21.50B,12.98B,,2.226B,2.226B,,,,2.092B,6.381B,23.68B,35.43B,3.743B,,,,3.743B,2.182B,5.925B,3.086B,,307.00M,3.393B,,3.393B,7.00M,7.00M,437.00M,9.762B,7.139B,,7.139B,1.384B,1.384B,,416.00M,500.00M,5.649B,14.67B,24.43B,2.453B,11.73B,42.00M,2.615B,,-926.00M,-103.00M,-1.029B,10.58B
2000-12,278.00M,163.00M,441.00M,3.655B,,,2.764B,6.419B,817.00M,,3.396B,,4.213B,,250.00M,,11.32B,,,,,,,34.85B,-21.14B,13.71B,,1.928B,1.928B,,,,1.968B,7.061B,24.67B,35.99B,4.569B,,,,4.569B,2.257B,6.826B,2.519B,,318.00M,2.837B,,2.837B,35.00M,35.00M,475.00M,10.17B,6.613B,,6.613B,1.165B,1.165B,,450.00M,500.00M,5.25B,13.53B,23.70B,2.453B,12.68B,,2.625B,,-560.00M,-103.00M,-663.00M,11.84B
2000-09,210.00M,90.00M,300.00M,,,,,5.333B,,,,,3.314B,,,74.00M,9.021B,,,,,,,24.83B,-15.97B,8.859B,,1.835B,1.835B,,,,,7.377B,18.07B,27.09B,3.173B,,,,3.173B,,3.173B,,,,1.526B,,1.526B,,,2.739B,7.438B,4.79B,,4.79B,729.00M,729.00M,,404.00M,,4.018B,9.537B,16.98B,2.953B,14.02B,12.00M,6.968B,500.00M,,,-308.00M,9.713B
2000-06,190.00M,221.00M,411.00M,,,,,4.698B,,,,,3.13B,,,177.00M,8.416B,,,,,,,25.10B,-16.11B,8.986B,,1.883B,1.883B,,,,,7.477B,18.35B,26.76B,2.965B,,,,2.965B,,2.965B,,,,1.81B,,1.81B,,,2.575B,7.35B,4.522B,,4.522B,838.00M,838.00M,,404.00M,,4.087B,9.447B,16.80B,2.953B,13.89B,2.00M,6.97B,500.00M,,,-317.00M,9.561B
2000-03,228.00M,462.00M,690.00M,,,,,4.911B,,,,,2.804B,,,270.00M,8.675B,,,,,,,24.19B,-15.81B,8.383B,,1.935B,1.935B,,,,,6.689B,17.01B,25.68B,2.961B,,,,2.961B,,2.961B,,,,1.101B,,1.101B,,,2.446B,6.508B,4.80B,,4.80B,821.00M,821.00M,,404.00M,,3.916B,9.537B,16.04B,1.318B,13.66B,1.483B,6.982B,500.00M,,,-250.00M,9.233B
1999-12,506.00M,706.00M,1.212B,,,,,4.614B,,,,,2.786B,,,235.00M,8.847B,,,,,,,24.28B,-15.79B,8.49B,,1.834B,1.834B,,,,,6.328B,16.65B,25.50B,2.869B,,,,2.869B,,2.869B,,,,1.035B,,1.035B,,,2.391B,6.295B,5.022B,,5.022B,839.00M,839.00M,,408.00M,,4.062B,9.923B,16.22B,1.368B,13.44B,1.321B,7.01B,550.00M,,,-251.00M,8.873B
1999-09,369.00M,672.00M,1.041B,,,,,4.112B,,,,,2.759B,,,255.00M,8.167B,,,,,,,24.10B,-15.73B,8.367B,,1.629B,1.629B,,,,,5.709B,15.70B,23.87B,2.577B,,,,2.577B,,2.577B,,,,1.134B,,1.134B,,,2.413B,6.124B,4.13B,,4.13B,809.00M,809.00M,,922.00M,,4.168B,9.107B,15.23B,858.00M,13.37B,898.00M,7.056B,40.00M,,,-353.00M,7.719B
1999-06,218.00M,,218.00M,,,,,4.065B,,,,,2.593B,,,574.00M,7.45B,,,,,,,23.72B,-15.50B,8.226B,,1.66B,1.66B,,,,,5.769B,15.66B,23.10B,2.394B,,,,2.394B,,2.394B,,,,1.286B,,1.286B,,,2.313B,5.993B,4.063B,,4.063B,785.00M,785.00M,,406.00M,,4.111B,8.959B,14.95B,53.00M,13.24B,,,53.00M,,,,7.747B
1999-03,155.00M,,155.00M,,,,,4.195B,,,,,2.624B,,,540.00M,7.514B,,,,,,,23.95B,-15.70B,8.251B,,1.617B,1.617B,,,,,5.767B,15.64B,23.15B,2.494B,,,,2.494B,,2.494B,,,,1.50B,,1.50B,,,2.318B,6.312B,4.003B,,4.003B,750.00M,750.00M,,432.00M,,4.065B,8.818B,15.13B,42.00M,13.02B,,,42.00M,,,,7.587B
1998-12,123.00M,,123.00M,,,,,4.537B,,,,,2.81B,,,570.00M,8.04B,,,,,,,24.44B,-15.99B,8.447B,,1.641B,1.641B,,,,,5.702B,15.79B,23.83B,2.663B,,,,2.663B,,2.663B,,,,1.826B,,1.826B,,,2.353B,6.842B,4.051B,,4.051B,747.00M,747.00M,,532.00M,,4.186B,8.984B,15.83B,43.00M,12.89B,,,43.00M,,,,7.472B
1998-09,226.00M,,226.00M,,,,,4.602B,,,,,2.751B,,,916.00M,8.495B,,,,,,,24.27B,-16.03B,8.24B,,1.408B,1.408B,,,,,5.226B,14.87B,23.37B,2.38B,,,,2.38B,,2.38B,,,,1.512B,,1.512B,,,2.656B,6.548B,4.259B,,4.259B,795.00M,795.00M,,586.00M,,3.575B,8.629B,15.18B,57.00M,12.93B,,,57.00M,,,,7.606B
1998-06,374.00M,,374.00M,,,,,4.557B,,,,,2.631B,,,1.138B,8.70B,,,,,,,23.57B,-15.52B,8.046B,,1.402B,1.402B,,,,,5.443B,14.89B,23.59B,2.341B,,,,2.341B,,2.341B,,,,1.453B,,1.453B,,,2.611B,6.405B,4.258B,,4.258B,873.00M,873.00M,,598.00M,,3.588B,8.719B,15.12B,35.00M,12.81B,,,35.00M,,,,7.869B
