,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2005-03,,252.66M,,252.66M,102.31M,,102.31M,,499.02M,,,,,,,16.48M,,,35.64M,2.344B,35.70M,,2.308B,2.188B,,4.549B,5.048B,,,,11.92M,11.92M,11.92M,,,11.92M,,197.25M,,197.25M,,,4.156B,,,84.92M,4.354B,4.446B,,0.035M,511.66M,20.08M,,-14.91M,516.87M,,,
2004-12,,284.21M,,284.21M,122.24M,,122.24M,,749.46M,,,,,,,14.64M,,,35.64M,2.309B,37.61M,,2.271B,2.075B,,4.396B,5.146B,,,,9.82M,9.82M,9.82M,,,9.82M,,196.21M,,196.21M,,,4.220B,,,70.68M,4.416B,4.533B,,0.036M,499.91M,45.23M,,-3.225M,541.95M,,,
2004-09,,231.66M,,231.66M,125.43M,,125.43M,,574.86M,,,,,,,14.70M,,,35.64M,2.230B,58.60M,,2.172B,2.134B,,4.356B,4.931B,,,,10.05M,10.05M,10.05M,,,10.05M,,196.10M,,196.10M,,,4.038B,,,74.74M,4.234B,4.344B,,0.036M,467.95M,41.20M,,2.869M,512.06M,,,
2004-06,,213.53M,,213.53M,120.72M,,120.72M,,665.36M,,,,,,,14.08M,,,37.55M,2.114B,61.90M,,2.053B,2.088B,,4.192B,4.858B,,,,34.26M,34.26M,34.26M,,,34.26M,,205.80M,,205.80M,,,4.005B,,,68.69M,4.211B,4.315B,,0.036M,451.85M,34.49M,,-12.90M,473.48M,,,
2004-03,,200.97M,,200.97M,111.38M,,111.38M,,801.80M,,,,,,,14.32M,,,37.55M,1.993B,63.30M,,1.929B,1.709B,,3.690B,4.492B,,,,9.761M,9.761M,9.761M,,,9.761M,,202.76M,,202.76M,,,3.676B,,,55.94M,3.879B,3.960B,,0.035M,436.14M,23.59M,,16.67M,476.43M,,,
2003-12,,252.52M,,252.52M,117.66M,,117.66M,,912.66M,,,,,,,15.00M,,,37.55M,1.989B,49.86M,,1.939B,1.575B,,3.567B,4.480B,,,,17.96M,17.96M,17.96M,,,17.96M,,195.45M,,195.45M,,,3.667B,,,50.74M,3.862B,3.982B,,0.035M,422.13M,14.24M,,10.60M,447.00M,,,
2003-09,,229.00M,,229.00M,88.77M,,88.77M,,794.72M,,,,,,,15.04M,,,83.55M,1.912B,67.50M,,1.844B,1.522B,,3.465B,4.260B,,,,9.054M,9.054M,9.054M,,,9.054M,,154.38M,,154.38M,,,3.472B,,,86.70M,3.627B,3.718B,,0.035M,437.43M,5.453M,,12.19M,455.11M,,,
2003-06,,238.20M,,238.20M,92.43M,,92.43M,,636.24M,,,,,,,15.58M,,,83.55M,1.965B,69.50M,,1.895B,1.664B,,3.658B,4.295B,,,,9.264M,9.264M,9.264M,,,9.264M,,163.06M,,163.06M,,,3.488B,,,86.20M,3.651B,3.776B,,0.034M,420.00M,1.758M,,10.34M,432.14M,,,
2003-03,,145.80M,,145.80M,80.70M,,80.70M,,579.68M,,,,,,,16.22M,,,100.57M,2.070B,70.00M,,2.000B,1.292B,,3.408B,3.988B,,,,9.196M,9.196M,9.196M,,,9.196M,,17.54M,,17.54M,,,3.251B,,,83.10M,3.269B,3.339B,,0.039M,487.03M,69.65M,,9.42M,566.14M,,,
2002-12,,239.93M,,239.93M,70.88M,,70.88M,,513.47M,,,,,,,17.89M,,,100.55M,2.086B,70.50M,,2.016B,1.536B,,3.670B,4.183B,,,,9.127M,9.127M,9.127M,,,9.127M,,17.40M,,17.40M,,,3.436B,,,82.63M,3.454B,3.510B,,0.041M,476.61M,99.98M,,13.72M,590.35M,,,
2002-09,,178.46M,,178.46M,76.64M,,76.64M,,610.68M,,,,,,,19.38M,,,98.64M,1.886B,73.80M,,1.812B,1.323B,,3.253B,3.864B,,,,9.058M,9.058M,9.058M,,,9.058M,,17.26M,,17.26M,,,3.095B,,,71.96M,3.113B,3.169B,,0.043M,464.69M,143.90M,,13.67M,622.30M,,,
2002-06,,231.25M,,231.25M,72.98M,,72.98M,,459.10M,,,,,,,20.50M,,,98.64M,1.869B,76.00M,,1.793B,1.461B,,3.373B,3.832B,,,,41.73M,41.73M,41.73M,,,41.73M,,26.10M,,26.10M,,,2.993B,,,69.34M,3.019B,3.104B,,0.046M,451.60M,196.39M,,10.81M,658.84M,,,
2002-03,,335.42M,,335.42M,76.97M,,76.97M,,416.49M,,,,,,,21.38M,,,97.22M,1.746B,71.38M,,1.675B,1.778B,,3.571B,3.987B,,,,41.47M,41.47M,41.47M,,,41.47M,,64.55M,,64.55M,,,3.182B,,,26.44M,3.246B,3.320B,,0.046M,436.61M,198.64M,,5.457M,640.76M,,,
2001-12,,228.32M,,228.32M,85.62M,,85.62M,,526.15M,,,,,,,21.72M,,,96.38M,1.767B,72.38M,,1.695B,1.833B,,3.646B,4.172B,,,,41.20M,41.20M,41.20M,,,41.20M,,25.68M,,25.68M,,,3.381B,,,66.92M,3.407B,3.478B,,0.045M,423.25M,196.14M,,8.075M,627.52M,,,
2001-09,,398.19M,,398.19M,74.86M,,74.86M,,534.44M,,,,,,,22.43M,,,95.44M,1.726B,73.50M,,1.652B,1.843B,,3.613B,4.148B,,,,40.94M,40.94M,40.94M,,,40.94M,,25.48M,,25.48M,,,3.309B,,,68.78M,3.335B,3.415B,,0.047M,411.17M,241.07M,,11.83M,664.11M,,,
2001-06,,404.12M,,404.12M,95.97M,,95.97M,,888.04M,,,,,,,22.83M,,,,1.730B,74.00M,,1.656B,1.856B,,3.535B,4.423B,,,,,,,,,,,,,,,,3.650B,,,68.94M,3.650B,3.699B,,0.049M,392.57M,259.33M,,3.074M,655.02M,,,
2001-03,,243.08M,,243.08M,119.91M,,119.91M,,1.439B,,,,,,,21.38M,,,,1.732B,73.80M,,1.658B,1.724B,,3.404B,4.843B,,,,,,,,,,,,,,,,4.042B,,,69.22M,4.042B,4.114B,,0.049M,368.43M,286.62M,,4.864M,659.97M,,,
2000-12,,332.63M,,332.63M,135.58M,,135.58M,,1.858B,,,,,,,18.49M,,,,1.717B,73.80M,,1.643B,2.108B,,3.769B,5.627B,,,,,,,,,,,,,,,,4.862B,,,69.26M,4.862B,4.943B,,0.049M,335.10M,280.01M,,-1.034M,614.12M,,,
2000-09,,364.67M,,364.67M,143.18M,,143.18M,,1.948B,,,,,,,11.74M,,,,1.597B,73.80M,,1.523B,2.021B,,3.556B,5.504B,,,,,,,,,,,,,,,,4.800B,,,55.93M,4.800B,4.877B,,0.049M,299.36M,273.94M,,-1.742M,571.61M,,,
2000-06,,346.11M,,346.11M,124.25M,,124.25M,,1.674B,,,,,,,10.01M,,,,1.599B,73.80M,,1.525B,2.184B,,3.719B,5.393B,,,,,,,,,,,,,,,,4.845B,,,38.56M,4.845B,4.918B,,0.046M,264.42M,178.46M,,-6.74M,436.18M,,,
2000-03,,393.30M,,393.30M,121.38M,,121.38M,,1.585B,,,,,,,10.27M,,,,1.631B,72.90M,,1.559B,1.910B,,3.479B,5.065B,,,,,,,,,,,,,,,,4.516B,,,38.55M,4.516B,4.625B,,0.023M,230.71M,171.03M,,-1.081M,400.68M,,,
1999-12,,278.10M,,278.10M,110.90M,,110.90M,,1.287B,,,,,,,10.70M,,,,1.623B,71.80M,,1.551B,1.747B,,3.309B,4.596B,,,,,,,,,,,,,,,,4.109B,,,38.50M,4.109B,4.189B,,,176.10M,153.40M,,39.40M,368.90M,,,
1999-09,,289.00M,,289.00M,86.20M,,86.20M,,375.20M,,,,,,,11.10M,,,,1.661B,70.80M,,1.590B,1.745B,,3.347B,3.722B,,,,,,,,,,,,,,,,3.405B,,,38.50M,3.405B,3.440B,,,151.20M,96.00M,,-3.70M,243.50M,,,
1999-06,,883.90M,,883.90M,72.10M,,72.10M,,956.00M,,,,,,,11.70M,,,,1.576B,56.30M,,1.520B,1.594B,,3.125B,4.081B,,,,,,,,,,,,,,,,3.791B,,,38.50M,3.791B,3.816B,,,140.60M,,,-6.20M,227.00M,,,
1999-03,,798.70M,,798.70M,56.30M,,56.30M,,855.00M,,,,,,,11.60M,,,,1.614B,47.60M,,1.567B,1.505B,,3.084B,3.939B,,,,,,,,,,,,,,,,3.654B,,,38.50M,3.654B,3.677B,,,131.70M,,,0.80M,223.30M,,,
1998-12,,522.20M,,522.20M,47.80M,,47.80M,,570.00M,,,,,,,11.40M,,,,1.612B,46.00M,,1.566B,1.398B,,2.976B,3.546B,,,,,,,,,,,,,,,,3.270B,,,38.50M,3.270B,3.291B,,,123.90M,,,2.10M,215.90M,,,
1998-09,,819.20M,,819.20M,43.80M,,43.80M,,863.00M,,,,,,,9.30M,,,,1.438B,35.90M,,1.402B,940.90M,,2.353B,3.216B,,,,,,,,,,,,,,,,2.944B,,,38.50M,2.944B,2.968B,,,119.30M,,,4.00M,210.20M,,,
1998-06,,691.30M,,691.30M,49.30M,,49.30M,,740.60M,,,,,,,7.00M,,,,1.351B,42.30M,,1.308B,1.066B,,2.382B,3.123B,,,,,,,,,,,,,,,,2.867B,,,38.50M,2.867B,2.886B,,,110.80M,,,1.90M,198.30M,,,
1998-03,,490.40M,,490.40M,44.70M,,44.70M,,535.10M,,,,,,,5.90M,,,,1.242B,40.40M,,1.202B,1.058B,,2.266B,2.801B,,,,,,,,,,,,,,,,2.597B,,,,2.597B,2.613B,,,102.60M,,,2.60M,187.60M,,,
1997-12,,426.80M,,426.80M,42.30M,,42.30M,,469.10M,,,,,,,4.50M,,,,1.175B,37.70M,,1.137B,1.014B,,2.156B,2.625B,,,,,,,,,,,,,,,,2.432B,,,,2.432B,2.451B,,,95.00M,,,2.40M,174.50M,,,
1997-09,,528.30M,,528.30M,37.10M,,37.10M,,565.40M,,,,,,,3.60M,,,,1.037B,38.60M,,998.70M,837.40M,,1.840B,2.406B,,,,,,,,,,,,,,,,2.228B,,,,2.228B,2.244B,,,87.60M,,,2.00M,162.30M,,,
1997-06,,482.20M,,482.20M,34.00M,,34.00M,,516.20M,,,,,,,3.70M,,,,1.038B,37.30M,,1.001B,693.80M,,1.700B,2.216B,,,,,,,,,,,,,,,,2.055B,,,,2.055B,2.065B,,,80.30M,,,0.20M,150.70M,,,
1997-03,,383.20M,,383.20M,32.50M,,32.50M,,415.70M,,,,,,,3.90M,,,,931.50M,36.40M,,895.10M,635.40M,,1.536B,1.952B,,,,,,,,,,,,,,,,1.800B,,,,1.800B,1.811B,,,73.50M,,,-1.70M,140.20M,,,
1996-12,,433.20M,,433.20M,29.50M,,29.50M,,462.70M,,,,,,,4.20M,,,,863.50M,32.70M,,830.80M,625.00M,,1.462B,1.924B,,,,,,,,,,,,,,,,1.774B,,,,1.774B,1.789B,,,67.30M,,,2.50M,135.40M,,,
1996-09,,365.90M,,365.90M,27.10M,,27.10M,,393.00M,,,,,,,4.10M,,,,840.80M,30.00M,,810.80M,493.10M,,1.311B,1.704B,,,,,,,,,,,,,,,,1.569B,,,,1.569B,1.579B,,,61.40M,,,-0.50M,125.10M,,,
1996-06,,462.70M,,462.70M,25.80M,,25.80M,,488.50M,,,,,,,4.30M,,,,823.70M,29.00M,,794.70M,445.30M,,1.248B,1.736B,,,,,,,,,,,,,,,,1.609B,,,,1.609B,1.618B,,,56.20M,,,-0.90M,119.00M,,,
1996-03,,339.60M,,339.60M,23.70M,,23.70M,,363.30M,,,,,,,4.50M,,,,748.40M,30.20M,,718.20M,334.20M,,1.061B,1.424B,,,,,,,,,,,,,,,,1.302B,,,,1.302B,1.312B,,,50.50M,,,-0.30M,112.20M,,,
1995-12,,342.30M,,342.30M,25.60M,,25.60M,,367.90M,,,,,,,4.70M,,,,738.40M,29.70M,,708.70M,321.30M,,1.040B,1.408B,,,,,,,,,,,,,,,,1.29B,,,,1.29B,1.303B,,,45.90M,,,-0.20M,105.00M,,,
1995-09,,374.40M,,374.40M,19.80M,,19.80M,,394.20M,,,,,,,4.70M,,,,704.20M,27.00M,-3.40M,673.80M,178.10M,,862.10M,1.256B,,,,,,,,,,,,,,,,1.148B,,,,1.148B,1.158B,,,40.40M,,,-0.30M,98.20M,,,
1995-06,,357.70M,,357.70M,29.00M,,29.00M,,386.70M,,,,,,,9.50M,,,,662.50M,22.50M,-3.20M,636.80M,140.40M,,786.80M,1.174B,,,,,,,,,,,,,,,,1.071B,,,,1.071B,1.081B,,,35.00M,,,,92.20M,,,
1995-03,,258.60M,,258.60M,21.70M,,21.70M,,280.30M,,,,,,,8.40M,,,,696.60M,21.50M,,675.10M,155.60M,,839.00M,1.119B,,,,,,,,,,,,,,,,1.024B,,,,1.024B,1.035B,,,31.00M,,,,84.00M,,,
1994-12,,289.80M,,289.80M,22.10M,,22.10M,,311.90M,,,,,,,2.20M,,,,702.40M,20.00M,,682.40M,156.50M,,849.60M,1.162B,,,,,,,,,,,,,,,,1.075B,,,,1.075B,1.084B,,,27.70M,,,4.20M,77.30M,,,
1994-09,,138.10M,,138.10M,24.10M,,24.10M,,162.20M,,,,,,,13.30M,,,,655.10M,25.00M,,630.10M,175.70M,,819.10M,981.30M,,,,,,,,,,,,,,,,898.70M,,,,898.70M,907.00M,,,24.70M,,,,74.30M,,,
1994-06,,131.40M,,131.40M,23.20M,,23.20M,,154.60M,,,,,,,2.50M,,,,587.50M,25.00M,,562.50M,190.00M,,770.00M,924.60M,,,,,,,,,,,,,,,,845.00M,,,,845.00M,853.00M,,,22.60M,,,,71.60M,,,
1994-03,,168.10M,,168.10M,18.90M,,18.90M,,187.00M,,,,,,,25.10M,,,,546.50M,25.00M,,521.50M,256.80M,,803.30M,990.30M,,,,,,,,,,,,,,,,911.90M,,,,911.90M,918.50M,,,20.40M,,,,71.80M,,,
1993-12,,155.00M,,155.00M,19.00M,,19.00M,,174.00M,,,,,,,30.60M,,,,550.70M,25.00M,,525.70M,262.00M,,818.30M,992.30M,,,,,,,,,,,,,,,,914.90M,,,,914.90M,922.00M,,,18.60M,,,,70.30M,,,
1993-09,,274.90M,,274.90M,19.20M,,19.20M,,294.10M,,,,,,,2.20M,,,,528.80M,24.00M,,504.80M,129.30M,,669.20M,963.30M,,,,,,,,,,,,,,,,890.80M,,,,890.80M,895.40M,,,18.50M,,,,67.90M,,,
1993-06,,223.30M,,223.30M,18.90M,,18.90M,,242.20M,,,,,,,1.80M,,,,547.30M,20.00M,,527.30M,120.10M,,683.80M,926.00M,,,,,,,,,,,,,,,,855.40M,,,,855.40M,858.50M,,,18.20M,,,,67.50M,,,
1993-03,,210.30M,,210.30M,16.00M,,16.00M,,226.30M,,,,,,,1.00M,,,,566.90M,20.00M,,546.90M,116.20M,,708.70M,935.00M,,,,,,,,,,,,,,,,862.80M,,,,862.80M,867.80M,,,18.00M,,,,67.20M,,,
1992-12,,184.00M,,184.00M,19.30M,,19.30M,,203.30M,,,,,,,1.00M,,,,603.60M,22.00M,,581.60M,135.30M,,756.00M,959.30M,,,,,,,,,,,,,,,,888.10M,,,,888.10M,893.30M,,,17.00M,,,,66.00M,,,
1992-09,,223.30M,,223.30M,,,,,223.30M,,,,,,,1.00M,,,,651.10M,27.80M,,623.30M,125.30M,,802.40M,1.026B,,,,,,,,,,,,,,,,955.30M,,,,955.30M,960.50M,,,16.70M,,,,65.20M,,,
1992-06,,118.70M,,118.70M,30.80M,,30.80M,,149.50M,,,,,,,1.10M,,,,647.20M,13.20M,,634.00M,131.30M,,766.40M,915.90M,,,,,,,,,,,,,,,,835.80M,,,,835.80M,841.30M,,,26.10M,,,,74.60M,,,
1992-03,,127.30M,,127.30M,23.20M,,23.20M,,150.50M,,,,,,,1.10M,,,,606.40M,12.00M,,594.40M,153.60M,,749.30M,899.80M,,,,,,,,,,,,,,,,819.10M,,,,819.10M,828.90M,,,27.00M,,,,70.90M,,,
1991-12,,128.20M,,128.20M,14.80M,,14.80M,,143.00M,,,,,,,1.20M,,,,593.30M,11.40M,,581.90M,143.40M,,726.50M,869.50M,,,,,,,,,,,,,,,,798.90M,,,,798.90M,803.10M,,,23.90M,,,,66.40M,,,
1991-09,,154.90M,,154.90M,14.10M,,14.10M,,169.00M,,,,,,,1.30M,,,,590.80M,10.50M,,580.30M,118.60M,,700.20M,869.20M,,,,,,,,,,,,,,,,791.00M,,,,791.00M,806.30M,,,20.50M,,,,62.90M,,,
