,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2003-03,12.51M,,12.51M,14.50M,,82.32M,96.82M,,109.33M,,,,,,5.615B,-588.63M,5.027B,,,,,,5.027B,5.381B,,1.241M,56.89M,13.85M,71.98M,23.20M,95.18M,,95.18M,2.182B,2.182B,117.87M,303.40M,,2.300B,2.481B,,442.22M,-183.25M,2.341B,440.87M,-3.271M,2.597B,,AOR,Restated
2002-12,,,,,,,,,,,,,,,5.018B,,5.018B,,,,,,5.018B,5.349B,,,,,,,,,,2.106B,2.106B,,307.48M,,2.106B,2.424B,,1.35M,-168.75M,2.346B,,,2.617B,,AOR,Restated
2002-09,43.04M,,43.04M,17.38M,,80.89M,98.27M,,141.31M,,,,,,5.452B,-521.22M,4.930B,,,,,,4.930B,5.299B,,0.16M,,45.14M,45.30M,136.65M,181.95M,,181.95M,1.864B,1.864B,,313.86M,,1.864B,2.186B,,592.24M,-124.13M,2.331B,590.89M,-0.048M,2.799B,,AOR,
2002-06,2.505M,,2.505M,17.54M,,72.50M,90.03M,,92.54M,,,,,,5.409B,-488.87M,4.920B,,,,,,4.920B,5.236B,,2.133M,,37.58M,39.72M,134.66M,174.37M,,174.37M,1.735B,1.735B,,351.96M,,1.735B,2.048B,,610.01M,-101.96M,2.328B,608.66M,-0.096M,2.836B,,AOR,
2002-03,13.51M,,13.51M,14.64M,,71.38M,86.02M,,99.53M,,,,,,5.408B,-458.57M,4.949B,,,,,,4.949B,5.243B,,2.388M,,40.67M,43.06M,122.96M,166.02M,,166.02M,1.738B,1.738B,,372.35M,,1.738B,2.060B,,610.00M,-90.04M,2.291B,608.66M,-0.144M,2.811B,,AOR,
2001-12,,,,,,,,,,,,,,,5.027B,,5.027B,,,,,,5.027B,5.330B,,,,,,,,,,1.815B,1.815B,,395.19M,,1.815B,2.150B,,1.314M,-76.02M,2.251B,,,2.785B,,AOR,Restated
2001-09,9.504M,,9.504M,16.87M,,87.40M,104.28M,,113.78M,,,,,,5.354B,-396.19M,4.958B,,,,,,4.958B,5.304B,,3.287M,,76.34M,79.63M,128.59M,208.22M,,208.22M,1.764B,1.764B,,415.49M,,1.764B,2.116B,,609.99M,-61.60M,2.225B,608.69M,-0.24M,2.773B,,AOR,
2001-06,103.03M,,103.03M,18.91M,,97.92M,116.83M,,219.86M,,,,,,5.438B,-390.62M,5.048B,,,,,,5.048B,10.98B,,2.358M,,72.57M,74.93M,128.86M,203.79M,,203.79M,1.904B,1.904B,,431.52M,,1.904B,7.728B,,685.05M,-79.57M,2.217B,683.75M,-0.836M,2.822B,,AOR,
2001-03,38.89M,,38.89M,17.71M,,77.19M,94.90M,,133.80M,,,,,,5.474B,-363.56M,5.110B,,,,,,5.110B,5.479B,,3.208M,,62.76M,65.97M,121.36M,187.33M,,187.33M,1.926B,1.926B,,434.45M,,1.926B,2.238B,,685.04M,-73.77M,2.196B,683.75M,-0.638M,2.807B,,AOR,
2000-12,39.19M,,39.19M,19.45M,,79.91M,99.36M,,138.55M,,,,,,5.413B,-338.43M,5.074B,,,,,,5.074B,5.460B,,4.312M,51.33M,70.10M,125.74M,,125.74M,,125.74M,1.973B,1.973B,141.45M,435.32M,,2.115B,2.312B,,610.15M,-77.38M,2.180B,608.87M,0.00,2.713B,,AOR,Restated
2000-09,41.29M,,41.29M,17.38M,,85.53M,102.90M,,144.19M,,,,,,5.613B,-340.95M,5.272B,,,,,,5.272B,5.626B,,3.378M,,89.61M,92.98M,142.92M,235.91M,,235.91M,2.201B,2.201B,,438.09M,,2.201B,2.502B,,610.39M,-95.96M,2.172B,609.12M,,2.686B,,AOR,
2000-06,41.72M,,41.72M,17.66M,,74.96M,92.63M,,134.34M,,,,,,5.611B,-308.84M,5.302B,,,,,,5.302B,5.730B,,5.005M,,63.87M,68.87M,121.04M,189.91M,,189.91M,2.350B,2.350B,,435.55M,,2.350B,2.612B,,610.99M,-86.52M,2.157B,609.72M,,2.682B,,AOR,
2000-03,37.91M,,37.91M,17.39M,,63.88M,81.27M,,119.19M,,,,,,5.522B,-278.16M,5.244B,,,,,,5.244B,5.646B,,2.608M,,73.17M,75.77M,105.47M,181.24M,,181.24M,2.276B,2.276B,,437.96M,,2.276B,2.528B,,611.15M,-82.67M,2.152B,609.88M,,2.680B,,AOR,
1999-12,18.76M,,18.76M,26.84M,,59.31M,86.15M,,104.92M,,,,,,5.447B,-254.57M,5.192B,,,,,,5.192B,5.486B,,3.179M,47.60M,89.98M,140.77M,,140.77M,,140.77M,2.113B,2.113B,110.56M,433.74M,,2.224B,2.384B,,611.26M,-82.43M,2.140B,610.00M,,2.669B,,AOR,Restated
1999-09,,,,,,,,,,,,,,,5.053B,,5.053B,,,,,,5.053B,5.335B,,,,,,14.60M,14.60M,,14.60M,1.965B,1.965B,,432.10M,,1.965B,2.238B,,2.153B,-74.80M,,,,2.665B,,,
1999-06,,,,,,,,,,,,,,,3.016B,,3.016B,,,,,,3.016B,3.428B,,,,,,14.20M,14.20M,,14.20M,1.391B,1.391B,,109.20M,,1.391B,1.570B,,,-70.50M,,,,1.749B,,,
1999-03,,,,,,,,,,,,,,,2.833B,,2.833B,,,,,,2.833B,3.069B,,,,,,9.40M,9.40M,,9.40M,1.114B,1.114B,,107.40M,,1.114B,1.282B,,,-70.00M,,,,1.680B,,,
1998-12,6.95M,,6.95M,9.641M,,49.49M,59.14M,,66.08M,,,,,,2.862B,-179.89M,2.682B,,,,,,2.682B,2.854B,,4.836M,36.08M,55.01M,95.92M,,95.92M,,95.92M,1.007B,1.007B,69.18M,106.73M,,1.077B,1.177B,,360.86M,-68.00M,1.277B,360.00M,,1.570B,,AOR,Restated
1998-09,,,,6.80M,,,6.80M,,6.80M,,,,,,2.481B,,2.481B,,,,,,2.481B,2.651B,,,,,,7.90M,7.90M,,7.90M,1.027B,1.027B,,108.70M,,1.027B,1.172B,,,-62.70M,,,,1.371B,,,
1998-06,,,,6.90M,,,6.90M,,6.90M,,,,,,2.390B,,2.390B,,,,,,2.390B,2.531B,,,,,,9.20M,9.20M,,9.20M,953.60M,953.60M,,109.20M,,953.60M,1.081B,,,-58.60M,,,,1.341B,,,
1998-03,,,,5.60M,,,5.60M,,5.60M,,,,,,2.162B,,2.162B,,,,,,2.162B,2.299B,,,,,,4.40M,4.40M,,4.40M,803.90M,803.90M,,107.80M,,803.90M,913.90M,,,-56.30M,,,,1.277B,,,
1997-12,,,,5.90M,,,5.90M,,5.90M,,,,,,2.060B,,2.060B,,,,,,2.060B,2.176B,,,,,,,,,,720.10M,720.10M,,107.40M,,720.10M,834.20M,,,-55.60M,,,,1.235B,,AOR,
1997-09,,,,21.10M,,,21.10M,,21.10M,,,,,,1.562B,,1.562B,,,,,,1.562B,1.926B,,,,,,4.00M,4.00M,,4.00M,596.20M,596.20M,,18.30M,,596.20M,691.90M,,,-52.50M,,,,1.216B,,,
1997-06,,,,13.80M,,,13.80M,,13.80M,,,,,,1.363B,,1.363B,,,,,,1.363B,1.551B,,,,,,5.10M,5.10M,,5.10M,614.90M,614.90M,,18.90M,,614.90M,696.80M,,,-50.70M,,,,835.20M,,,
1997-03,,,,15.80M,,,15.80M,,15.80M,,,,,,1.254B,,1.254B,,,,,,1.254B,1.418B,,,,,,3.10M,3.10M,,3.10M,506.10M,506.10M,,15.40M,,506.10M,573.10M,,,-49.30M,,,,829.10M,,,
1996-12,,,,29.20M,,,29.20M,,29.20M,,,,,,1.443B,-82.21M,1.361B,,,,,,1.361B,1.361B,,1.585M,,23.17M,24.75M,14.89M,39.64M,,39.64M,525.82M,525.82M,11.75M,13.08M,,537.56M,593.13M,,803.40M,-48.46M,,72.29M,,754.93M,,AOR,
1996-09,,,,4.40M,,,4.40M,,4.40M,,,,,,1.142B,,1.142B,,,,,,1.142B,1.294B,,,,,,1.10M,1.10M,,1.10M,465.90M,465.90M,,12.70M,,465.90M,528.90M,,,-48.60M,,,,752.70M,,,
1996-06,,,,4.20M,,,4.20M,,4.20M,,,,,,1.041B,,1.041B,,,,,,1.041B,1.178B,,,,,,3.40M,3.40M,,3.40M,431.90M,431.90M,,12.80M,,431.90M,487.20M,,,-48.00M,,,,677.80M,,,
1996-03,,,,5.30M,,,5.30M,,5.30M,,,,,,1.019B,,1.019B,,,,,,1.019B,1.164B,,,,,,1.30M,1.30M,,1.30M,450.40M,450.40M,,0.30M,,450.40M,499.70M,,,-11.80M,,,,663.70M,,,
1995-12,5.727M,,5.727M,5.184M,,9.462M,14.65M,,20.37M,,,,,,963.50M,-56.34M,907.16M,,,974.94M,,,1.882B,1.046B,,1.132M,,21.41M,22.54M,10.37M,32.92M,,32.92M,454.82M,454.82M,8.965M,4.736M,,463.78M,506.06M,,0.241M,-43.74M,578.29M,,,534.79M,,AOR,
1995-09,,,,5.00M,,,5.00M,,5.00M,,,,,,874.70M,,874.70M,,,,,,874.70M,1.003B,,,,,,,,,,412.60M,412.60M,,5.80M,,412.60M,461.40M,,,-41.90M,,,,536.20M,,,
1995-06,,,,3.70M,,,3.70M,,3.70M,,,,,,793.20M,,793.20M,,,,,,793.20M,886.90M,,,,,,,,,,300.20M,300.20M,,5.70M,,300.20M,342.60M,,,-39.40M,,,,538.60M,,,
1995-03,,,,4.30M,,,4.30M,,4.30M,,,,,,715.70M,,715.70M,,,,,,715.70M,773.00M,,,,,,,,,,298.50M,298.50M,,1.20M,,298.50M,328.60M,,,-38.10M,,,,443.20M,,,
1994-12,40.43M,,40.43M,4.257M,,7.478M,11.74M,,52.17M,,,,,,723.71M,-38.06M,685.66M,,,694.07M,,,1.380B,774.90M,,0.869M,,9.464M,10.33M,8.983M,19.32M,,19.32M,298.64M,298.64M,3.191M,1.334M,,301.83M,328.18M,,0.204M,-35.92M,481.10M,,,445.38M,,AOR,
1994-09,,,,4.60M,,,4.60M,,4.60M,,,,,,649.60M,,649.60M,,,,,,649.60M,754.80M,,,,,,,,,,287.70M,287.70M,,2.60M,,287.70M,325.90M,,,-34.40M,,,,426.30M,,,
1994-06,,,,4.40M,,,4.40M,,4.40M,,,,,,623.80M,,623.80M,,,,,,623.80M,692.50M,,,,,,,,,,302.90M,302.90M,,2.10M,,302.90M,346.90M,,,-34.10M,,,,343.50M,,,
1994-03,,,,3.80M,,,3.80M,,3.80M,,,,,,573.90M,,573.90M,,,,,,573.90M,637.20M,,,,,,,,,,260.00M,260.00M,,2.20M,,260.00M,289.90M,,,-32.50M,,,,345.10M,,,
1993-12,,,,1.20M,,,1.20M,,1.20M,,,,,,569.10M,,569.10M,,,,,,569.10M,632.90M,,,,,,8.20M,8.20M,,8.20M,249.80M,249.80M,,2.00M,,249.80M,283.90M,,,-30.60M,,,,347.00M,,,
1993-09,,,,0.30M,,,0.30M,,0.30M,,,,,,,,,,,,,,,125.40M,,,,,,0.30M,0.30M,,0.30M,89.20M,89.20M,,,,89.20M,92.80M,,,-35.70M,,,,32.60M,,,
