,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-06,447.39M,447.39M,363.70M,83.69M,,44.93M,-2.201M,,,,2.201M,47.13M,36.56M,,,-2.201M,,19.26M,7.669M,11.60M,,,,11.60M,12.92M,74.96M,38.40M,36.56M,,0.11,0.00,,0.1226,0.11,,0.11,0.00,,0.1223,0.11,,105.53M,107.81M,,,,
2002-03,414.71M,414.71M,340.29M,74.41M,,41.71M,0.47M,,,,-0.47M,41.24M,33.17M,,,0.47M,,15.98M,6.358M,9.626M,,,,9.626M,9.343M,71.18M,38.02M,33.17M,,0.09,0.00,,0.0873,0.09,,0.09,0.00,,0.0874,0.09,,105.48M,107.76M,,,,
2001-12,413.11M,413.11M,323.38M,89.74M,,40.10M,-1.059M,,,,,-220.26M,310.00M,,,-1.059M,,-25.44M,11.80M,19.00M,0.00,,,18.39M,19.63M,347.47M,37.48M,310.00M,,0.18,-0.01,0.00,0.1860,0.17,,0.18,-0.01,-0.0000,0.1859,0.17,,105.48M,107.86M,,,,
2001-09,455.21M,455.21M,346.37M,108.84M,,40.94M,-2.536M,,,,2.536M,43.48M,65.36M,,,-2.536M,,47.54M,18.39M,29.15M,,,,29.15M,30.71M,102.16M,36.80M,65.36M,,0.27,0.00,,0.2846,0.27,,0.27,0.00,,0.2842,0.27,,106.63M,109.32M,,,,
2001-06,466.96M,466.96M,354.78M,112.18M,,42.14M,-0.492M,,,,0.492M,42.63M,69.55M,,,-0.492M,,50.70M,19.44M,31.26M,,,,31.26M,31.56M,106.20M,36.65M,69.55M,,0.29,0.00,,0.2928,0.29,,0.29,0.00,,0.2928,0.29,,106.58M,109.12M,,,,
2001-03,454.67M,454.67M,347.49M,107.18M,,41.00M,-0.219M,,,,0.219M,41.22M,65.96M,,,-0.219M,,46.40M,18.28M,28.11M,-0.495M,,,27.62M,28.25M,101.40M,35.44M,65.96M,,0.26,0.00,0.00,0.2612,0.26,,0.25,0.00,-0.0047,0.2512,0.25,,106.41M,108.96M,,,,
2000-12,465.93M,465.93M,192.69M,273.24M,,38.13M,60.09M,,,,,-163.88M,437.12M,,,60.09M,,121.58M,47.16M,74.43M,,,0.00,63.37M,37.64M,473.79M,36.67M,437.12M,,0.61,0.00,,0.2592,0.61,,0.58,0.00,,0.2292,0.58,,104.88M,104.88M,,,,
2000-09,487.68M,487.68M,350.43M,137.24M,,38.51M,-2.165M,,,,2.165M,40.68M,96.57M,,,-2.165M,,66.68M,26.67M,40.01M,,,,40.01M,41.31M,133.75M,37.18M,96.57M,,0.38,0.00,,0.3923,0.38,,0.37,0.00,,0.3820,0.37,,105.96M,108.30M,,,,
2000-06,492.37M,492.37M,363.71M,128.66M,,39.33M,-0.80M,,,,0.80M,40.13M,88.54M,,,-0.80M,,56.39M,23.11M,33.28M,,,,33.28M,33.76M,125.40M,36.86M,88.54M,,0.31,0.00,,0.3145,0.31,,0.31,0.00,,0.3144,0.31,,105.85M,108.19M,,,,
2000-03,456.13M,456.13M,312.64M,143.48M,,36.11M,2.867M,,,,,73.61M,69.87M,,,2.867M,,42.50M,17.25M,25.25M,,,18.64M,25.25M,23.53M,107.38M,37.50M,69.87M,,0.07,0.00,,0.0531,0.07,,0.06,0.00,,0.0436,0.06,,101.58M,104.86M,,,,
1999-12,500.80M,500.80M,,,,,,,,,,,-635.40M,,,,,,,26.50M,,,,19.60M,26.50M,-635.40M,,-635.40M,,,,,0.2504,0.0973,,,,,0.2504,0.0973,,105.85M,105.85M,,,,
1999-09,272.20M,272.20M,,,,,,,,,,,272.20M,,,,,,,7.00M,,,,7.00M,7.00M,272.20M,,272.20M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,140.00M,140.00M,,,,
1999-06,272.20M,272.20M,,,,,,,,,,,272.20M,,,,,,,7.00M,,,,7.00M,7.00M,272.20M,,272.20M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,140.00M,140.00M,,,,
1999-03,272.20M,272.20M,,,,,,,,,,,272.20M,,,,,,,7.00M,,,,7.00M,7.00M,272.20M,,272.20M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,140.00M,140.00M,,,,
