,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-03,12.62M,,,1.095M,38.48M,-0.604M,37.87M,37.87M,1.438M,,,,,-10.81M,-5.139M,-6.698M,7.614M,,-26.10M,3.134M,-38.00M,15.02M,,-36.92M,0.008M,-36.91M,,,1.048M,-35.86M,,,-0.076M,3.845M,,3.845M,,-16.05M,,,-12.28M,,213.32M,-33.12M,180.20M,,3.845M,,,,,,
2004-12,36.27M,,,-24.33M,40.64M,0.172M,40.81M,40.81M,33.69M,,,,,6.842M,-3.478M,6.788M,11.97M,,3.563M,,25.68M,112.12M,,-32.16M,-2.00M,-34.16M,0.13M,,31.08M,-2.947M,,,0.061M,0.759M,,-62.97M,,47.69M,,,-15.22M,,119.37M,93.95M,213.32M,,0.759M,,,,,,
2004-09,26.71M,,,2.002M,40.03M,0.171M,40.20M,40.20M,9.359M,,,,,-19.67M,-11.33M,4.382M,-3.441M,,8.703M,,-21.36M,56.91M,,-21.06M,0.035M,-21.02M,-0.204M,,-0.49M,-21.72M,,,-0.078M,2.925M,,2.925M,,-15.94M,,,-13.10M,,97.27M,22.10M,119.37M,,2.925M,,,,,,
2004-06,12.33M,,,0.801M,39.47M,0.17M,39.64M,39.64M,7.381M,,,,,-17.82M,-0.107M,1.99M,-6.413M,,7.099M,,-15.25M,44.90M,,-26.24M,2.00M,-24.24M,-0.385M,,-0.396M,-25.02M,,,-0.007M,2.991M,,2.991M,,-15.91M,,,-12.93M,,90.31M,6.96M,97.27M,,2.991M,,,,,,
2004-03,-6.585M,,,6.22M,38.78M,0.171M,38.95M,38.95M,-7.016M,,,,,4.394M,5.846M,-10.47M,-3.12M,,-26.80M,,-30.16M,1.409M,,-29.16M,1.262M,-27.90M,-37.92M,,-1.317M,-67.13M,,,-3.875M,3.723M,,3.723M,,-15.84M,,,-15.99M,,172.02M,-81.72M,90.31M,,3.723M,,,,,,
2003-12,0.177M,,,11.69M,40.10M,0.215M,40.31M,40.31M,-12.04M,,,,,10.85M,0.103M,22.71M,14.02M,,8.105M,,55.78M,95.92M,,-35.07M,0.256M,-34.82M,-1.02M,3.564M,-1.91M,-34.18M,,,-4.458M,-22.02M,0.00,-22.02M,,,,,-6.365M,,116.65M,55.37M,172.02M,,-22.02M,,,0.00,,,
2003-09,-32.34M,,,81.15M,39.76M,0.233M,39.99M,39.99M,-26.67M,,,,,-8.712M,-1.927M,8.668M,5.484M,,7.268M,,10.78M,72.92M,,-26.79M,0.65M,-26.14M,0.765M,-1.036M,,-26.41M,,,-91.98M,30.67M,0.00,30.67M,,,,,-61.31M,,131.45M,-14.80M,116.65M,,30.67M,,,0.00,,,
2003-06,10.67M,,,2.987M,38.71M,0.852M,39.56M,39.56M,6.305M,,,,,-2.874M,-2.639M,-3.385M,-5.108M,,-8.174M,,-22.18M,37.35M,,-28.57M,0.008M,-28.56M,-3.564M,-2.528M,1.181M,-33.47M,,,0.00,1.438M,-13.88M,-12.44M,,,,,-12.44M,,140.02M,-8.564M,131.45M,,1.438M,,,-13.88M,,,
2003-03,7.127M,,,1.499M,38.11M,0.853M,38.96M,38.96M,11.15M,,,,,-14.36M,-1.044M,-13.24M,10.70M,,-2.089M,,-20.04M,38.70M,,-22.78M,0.102M,-22.68M,,,-1.181M,-23.86M,,,-4.024M,1.543M,-3.64M,-2.097M,,,,,-6.121M,,131.30M,8.71M,140.02M,,1.543M,,,-3.64M,,,
2002-12,12.36M,,,5.706M,38.26M,0.852M,39.12M,39.12M,12.09M,,,,-2.216M,25.82M,-2.849M,0.508M,-9.276M,,-13.60M,,0.605M,67.67M,,-35.04M,0.153M,-34.89M,,,-1.003M,-35.89M,,,-26.00M,0.981M,-5.143M,-4.162M,,,,,-30.16M,,129.69M,1.613M,131.30M,,0.981M,,,-5.143M,,,
2002-09,14.60M,,,1.412M,37.02M,0.853M,37.88M,37.88M,6.727M,,,,2.216M,3.925M,-4.903M,5.261M,-5.118M,,27.46M,,26.63M,89.46M,,-19.66M,0.03M,-19.63M,,,-2.542M,-22.17M,,,-9.07M,0.776M,-18.74M,-17.96M,,,,,-27.03M,,89.43M,40.26M,129.69M,,0.776M,,,-18.74M,,,
2002-06,11.60M,,,2.378M,37.24M,1.164M,38.40M,38.40M,8.639M,,,,,-17.07M,7.592M,-5.934M,3.968M,,-9.857M,,-21.30M,39.71M,,-26.55M,0.05M,-26.50M,,,-0.212M,-26.71M,,,0.00,1.366M,-2.355M,-0.989M,,,,,-0.989M,,77.42M,12.01M,89.43M,,1.366M,,,-2.355M,,,
2002-03,9.626M,,,2.923M,36.85M,1.164M,38.02M,38.02M,8.203M,,,,,-18.27M,9.784M,-6.029M,2.352M,,-3.427M,,-15.59M,43.18M,,-26.16M,2.573M,-23.58M,,,-1.27M,-24.86M,,,-17.98M,1.359M,-6.754M,-5.395M,,,,,-23.37M,,82.46M,-5.047M,77.42M,,1.359M,,,-6.754M,,,
2001-12,18.39M,,,10.39M,36.29M,1.189M,37.48M,37.48M,15.55M,,,,,52.48M,-12.82M,-1.57M,-20.11M,,-22.52M,,-4.549M,77.25M,,-35.16M,3.526M,-31.63M,0.00,,-1.814M,-33.44M,,,-21.00M,2.587M,-8.226M,-5.639M,,,,,-26.64M,,65.30M,17.17M,82.46M,,2.587M,,,-8.226M,,,
2001-09,29.15M,,,3.21M,35.58M,1.22M,36.80M,36.80M,8.202M,,,,,-14.06M,-5.166M,3.608M,12.27M,,37.17M,,33.82M,111.18M,,-37.62M,0.166M,-37.46M,-0.004M,,-0.146M,-37.61M,,,-0.07M,2.739M,-26.64M,-23.90M,,,,,-23.97M,,15.69M,49.61M,65.30M,,2.739M,,,-26.64M,,,
2001-06,31.26M,,,0.966M,35.43M,1.22M,36.65M,36.65M,6.372M,,,,,-3.351M,1.711M,-2.705M,-0.56M,,-12.90M,,-17.81M,57.44M,,-38.33M,0.00,-38.33M,-4.823M,,-0.338M,-43.49M,,,-42.00M,0.936M,-3.465M,-2.529M,,,,,-44.53M,,46.27M,-30.58M,15.69M,,0.936M,,,-3.465M,,,
2001-03,27.62M,,,0.326M,34.22M,1.222M,35.44M,35.44M,16.23M,,,,,12.02M,6.453M,-5.618M,-13.50M,,-10.54M,,-11.20M,68.42M,,-20.05M,0.878M,-19.17M,,,-1.169M,-20.34M,,,-11.17M,1.463M,,1.463M,,,,,-9.706M,,7.892M,38.38M,46.27M,,1.463M,,,,,,
2000-12,74.43M,,,-61.25M,,,36.67M,36.67M,40.22M,,,,,11.78M,0.904M,,4.126M,3.626M,-10.01M,,10.43M,100.50M,,-45.48M,249.09M,203.62M,,,2.774M,206.39M,,,-333.00M,0.899M,0.00,0.899M,,,,,-335.67M,,36.67M,-28.78M,7.892M,,0.899M,,,0.00,,,
2000-09,40.01M,,,1.893M,-70.89M,-3.479M,37.18M,37.18M,12.95M,,,,,2.217M,-4.311M,6.576M,-0.465M,-1.183M,33.26M,,36.09M,128.12M,,-31.24M,0.583M,-30.65M,,,3.063M,-27.59M,,,-68.83M,0.912M,-0.314M,0.598M,,,,,-68.23M,,4.377M,32.30M,36.67M,,0.912M,,,-0.314M,,,
2000-06,33.28M,,,0.329M,70.89M,3.479M,36.86M,36.86M,17.56M,,,,,-10.61M,5.102M,-6.576M,-4.424M,0.448M,-6.921M,,-22.98M,65.05M,,-37.42M,0.00,-37.42M,,,-2.74M,-40.16M,,,-44.63M,-0.164M,0.00,-0.164M,,,,,-44.80M,,24.28M,-19.91M,4.377M,,-0.164M,,,0.00,,,
2000-03,25.25M,,,-0.91M,,,37.50M,37.50M,12.55M,,,,,-10.33M,3.512M,,-12.90M,-0.448M,-8.835M,,-29.00M,45.38M,,-19.61M,1.508M,-18.10M,,,-1.642M,-19.74M,,,-13.76M,126.53M,-124.43M,2.096M,,,,,-11.66M,,10.30M,13.98M,24.28M,,126.53M,,,-124.43M,,,
