,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2006-09,-51.80M,,,,,-6.735M,,,5.934M,5.934M,,,,,,9.988M,-23.95M,,1.249M,-1.133M,,117.44M,144.12M,,101.50M,,2006-09,-6.997M,,-6.997M,,23.62M,4.09M,20.71M,,2006-09,,,,319.81M,,319.81M,,0.048M,319.85M,,41.43M,442.07M,-0.067M,483.43M,,2006-09,319.81M,,,,,,2006-09,,
2006-06,-77.66M,,,,,0.001M,,,6.809M,6.809M,,,,,,12.77M,5.111M,,0.23M,2.018M,,9.112M,-0.908M,,-58.98M,,2006-06,-10.78M,,-10.78M,,19.09M,0.518M,8.83M,,2006-06,,,,9.606M,,9.606M,,-0.057M,9.549M,,81.83M,-40.60M,0.206M,41.43M,,2006-06,9.606M,,,,,,2006-06,,
2006-03,-50.09M,,,,,-1.045M,,,6.25M,6.25M,,,,,,8.791M,-3.184M,,-3.507M,0.049M,,-9.112M,-24.62M,,-60.71M,,2006-03,-7.453M,,-7.453M,,50.26M,-0.518M,42.29M,,2006-03,,,,22.32M,,22.32M,,-0.161M,22.16M,,78.04M,3.74M,0.042M,81.83M,,2006-03,22.32M,,,,,,2006-03,,
2005-12,-38.13M,,,,,19.47M,,,6.889M,6.889M,,,,,,-5.277M,0.169M,,1.102M,-0.25M,,,10.05M,,-7.003M,,2005-12,-5.142M,,-5.142M,,-31.94M,5.015M,-32.06M,,2005-12,,,197.64M,-181.86M,,-181.86M,,,15.64M,,101.62M,-23.43M,-0.148M,78.04M,,2005-12,-181.86M,,,,,,2005-12,,
2005-09,-79.58M,,,,,32.70M,,,7.029M,7.029M,,,,,,5.277M,-6.823M,,0.358M,-2.969M,,,-21.74M,,-56.31M,,2005-09,-4.434M,,-4.434M,,-46.35M,2.403M,-48.38M,,2005-09,,,-0.045M,11.81M,,11.81M,,,11.77M,,194.70M,-92.93M,-0.149M,101.62M,,2005-09,11.81M,,,,,,2005-09,,
2005-06,-40.99M,,,,,3.764M,,,6.531M,6.531M,,,,,,-1.435M,-3.075M,,0.068M,0.955M,,12.15M,-21.78M,,-53.91M,,2005-06,-4.144M,,-4.144M,,46.02M,0.138M,42.01M,,2005-06,,,,169.47M,,169.47M,,,169.47M,,37.37M,157.58M,-0.252M,194.70M,,2005-06,169.47M,,,,,,2005-06,,
2005-03,-44.72M,,,,,0.212M,,,6.84M,6.84M,,,,,,1.435M,1.025M,,-2.33M,1.814M,,-12.15M,-18.60M,,-54.83M,,2005-03,-3.239M,,-3.239M,,39.19M,0.75M,36.70M,,2005-03,,,,0.572M,,0.572M,,,0.572M,,55.01M,-17.55M,-0.082M,37.37M,,2005-03,0.572M,,,,,,2005-03,,
2004-12,-42.77M,,,,,4.121M,,,8.023M,8.023M,,,,,,-3.00M,-3.411M,,3.424M,-2.844M,,,9.983M,,-23.64M,,2004-12,-3.804M,,-3.804M,,43.04M,-1.348M,37.89M,,2004-12,,,4.722M,3.561M,,3.561M,,,3.478M,,37.04M,17.73M,0.242M,55.01M,,2004-12,3.561M,,,,,,2004-12,,
2004-09,-38.77M,,,,,0.878M,,,7.208M,7.208M,,,,,,1.284M,1.459M,,-2.017M,1.689M,,,-14.27M,,-43.68M,,2004-09,-1.831M,,-1.831M,,16.24M,3.738M,18.14M,,2004-09,,,-1.801M,0.707M,,0.707M,,,-1.094M,,63.69M,-26.63M,-0.028M,37.04M,,2004-09,0.707M,,,,,,2004-09,,
2004-06,-44.27M,,,,,-0.871M,,,7.284M,7.284M,,,,,,1.716M,-2.002M,,1.019M,0.074M,,,13.17M,,-22.97M,,2004-06,-3.984M,,-3.984M,,66.10M,-17.36M,44.76M,,2004-06,,,-12.51M,1.561M,,1.561M,,,-10.95M,,53.01M,10.84M,-0.152M,63.69M,,2004-06,1.561M,,,,,,2004-06,,
2004-03,-40.44M,,,,,3.06M,,,7.125M,7.125M,,,,,,,-0.613M,,-1.609M,-4.565M,,,-21.62M,,-51.87M,,2004-03,-2.876M,,-2.876M,,18.46M,-8.95M,6.638M,,2004-03,,,-2.974M,2.913M,,2.913M,,,-0.061M,,98.16M,-45.30M,0.143M,53.01M,,2004-03,2.913M,,,,,,2004-03,,
2003-12,-41.01M,,,,,6.488M,,,6.124M,6.124M,,,,,,-6.965M,-0.684M,,0.103M,4.814M,-0.002M,,5.121M,1.537M,-28.70M,,2003-12,-4.121M,,-4.121M,,31.84M,0.344M,32.28M,,2003-12,,,13.67M,3.01M,,3.01M,,,16.68M,,77.45M,20.26M,0.447M,98.16M,,2003-12,3.01M,,,,,,2003-12,,
2003-09,-156.09M,,,,,63.93M,,,2.603M,2.603M,,,,,,6.965M,-2.894M,,0.733M,-0.235M,0.359M,,36.83M,-2.769M,-48.53M,,2003-09,1.652M,-448.95M,-447.30M,,337.58M,0.426M,-16.36M,,2003-09,,,4.557M,4.417M,,4.417M,,,8.974M,,133.41M,-55.92M,-0.044M,77.45M,,2003-09,4.417M,,,,,,2003-09,,
2003-06,-89.93M,,,,,5.336M,,,7.462M,7.462M,,,,,,,2.36M,,0.26M,-0.733M,-0.703M,,36.81M,,-40.32M,,2003-06,-7.943M,356.12M,348.18M,,-357.26M,0.899M,-8.176M,,2003-06,,,-0.551M,1.355M,,1.355M,,,0.804M,,180.77M,-47.69M,0.327M,133.41M,,2003-06,1.355M,,,,,,2003-06,,
2003-03,20.61M,,,,,-69.35M,,,7.249M,7.249M,,,,,,,2.792M,,-0.50M,-5.997M,0.344M,,-8.586M,,-50.07M,,2003-03,-6.939M,92.82M,85.88M,,25.99M,-0.036M,111.84M,,2003-03,,,7.833M,3.177M,,3.177M,,,11.01M,,108.10M,72.77M,-0.099M,180.77M,,2003-03,3.177M,,,,,,2003-03,,
2002-12,-60.42M,,,,,0.706M,,,6.77M,6.77M,,,,,,,-4.301M,,0.095M,4.227M,-0.331M,,25.83M,,-13.48M,,2002-12,-8.218M,,-8.218M,,20.72M,0.475M,11.20M,,2002-12,,,4.354M,2.793M,,2.793M,,,6.648M,,103.59M,4.374M,0.13M,108.10M,,2002-12,2.793M,,,,,,2002-12,,
2002-09,-33.45M,,,,,1.654M,,,6.572M,6.572M,,,,,,,5.155M,,0.295M,2.407M,1.459M,,6.94M,,-18.29M,,2002-09,-12.40M,,-12.40M,,8.177M,-0.159M,-4.381M,,2002-09,,,-0.984M,1.817M,,1.817M,,,0.833M,,125.27M,-21.83M,0.16M,103.59M,,2002-09,1.817M,,,,,,2002-09,,
2002-06,-21.02M,,,,,0.848M,,,6.281M,6.281M,,,,,,,-3.713M,,0.631M,-1.149M,0.074M,,-3.606M,,-17.50M,,2002-06,-8.446M,,-8.446M,,-30.30M,0.086M,-38.66M,,2002-06,,,-1.01M,5.788M,,5.788M,,,4.778M,,176.23M,-51.37M,0.413M,125.27M,,2002-06,5.788M,,,,,,2002-06,,
2002-03,-22.07M,,,,,-0.425M,,,5.282M,5.282M,,,,,,,5.923M,,1.458M,-0.715M,1.081M,,-13.07M,,-30.28M,,2002-03,-9.812M,,-9.812M,,25.99M,-0.305M,15.87M,,2002-03,,,-1.346M,2.929M,,2.929M,,,1.583M,,189.20M,-12.82M,-0.151M,176.23M,,2002-03,2.929M,,,,,,2002-03,,
2001-12,-3.26M,,,,,-7.208M,,,5.724M,5.724M,,,,,,,15.66M,,-3.274M,5.251M,1.276M,,47.00M,,42.26M,,2001-12,-11.73M,,-11.73M,,-20.74M,14.84M,-32.23M,,2001-12,,,-20.04M,3.424M,,3.424M,,,-16.62M,,195.95M,-6.589M,-0.157M,189.20M,,2001-12,3.424M,,,,,,2001-12,,
2001-09,-42.00M,,,,,7.899M,,,6.658M,6.658M,,,,,,,-5.867M,,-0.161M,-4.576M,-1.213M,,-10.59M,,-38.03M,,2001-09,-21.97M,,-21.97M,,60.30M,0.933M,39.27M,,2001-09,,,-2.552M,3.89M,,3.89M,,,1.338M,,168.53M,2.573M,0.282M,195.95M,,2001-09,3.89M,,,,,,2001-09,,
2001-06,-12.11M,,,,,-0.345M,-2.513M,-0.01M,3.059M,3.059M,,,,,,,-0.799M,,0.295M,3.766M,,,6.646M,,-2.747M,,2001-06,-10.16M,,-10.16M,,-44.43M,0.561M,-54.03M,,2001-06,,,-0.503M,3.183M,,3.183M,,,2.68M,,222.66M,-54.10M,-0.039M,168.53M,,2001-06,3.183M,,,,,,2001-06,,
2001-03,-8.87M,,,,,-0.214M,2.513M,0.01M,2.523M,2.523M,,,,,,,4.647M,,-0.002M,-1.251M,,,-1.963M,,-8.524M,,2001-03,-10.05M,,-10.05M,,-71.72M,-16.33M,-98.10M,,2001-03,,,-0.538M,8.129M,,8.129M,,,7.591M,,322.09M,-99.03M,-0.397M,222.66M,,2001-03,8.129M,,,,,,2001-03,,
2000-12,-6.336M,,,,,6.448M,,,6.393M,6.393M,,,,,,,-20.51M,,,-15.70M,-2.851M,,-16.39M,,-9.887M,,2000-12,-11.93M,,-11.93M,,-202.79M,-2.767M,-217.49M,,2000-12,,,-2.617M,88.51M,,88.51M,,,85.89M,,471.43M,-141.48M,0.246M,346.66M,,2000-12,88.51M,,,,,,2000-12,,
2000-09,-24.86M,,,,,0.349M,,,2.314M,2.314M,,,,,,,-1.653M,,,13.74M,-0.051M,,11.95M,,-10.25M,,2000-09,-1.67M,,-1.67M,,-44.81M,-0.30M,-46.78M,,2000-09,,,333.73M,11.76M,,11.76M,,,345.49M,,183.21M,288.46M,-0.242M,471.43M,,2000-09,11.76M,,,,,,2000-09,,
2000-06,12.61M,,,,,0.265M,,,2.11M,2.11M,,,,,,,-0.928M,,,3.878M,0.297M,,7.989M,,22.98M,,2000-06,-1.778M,,-1.778M,,-39.31M,0.056M,-41.03M,,2000-06,,,-5.944M,10.52M,,10.52M,,5.309M,9.884M,,191.75M,-8.17M,-0.372M,183.21M,,2000-06,10.52M,,,,,,2000-06,,
2000-03,-16.16M,,,,,0.128M,,,1.975M,1.975M,,,,,,,1.45M,,,-0.385M,-0.558M,,-1.493M,,-15.55M,,2000-03,-2.654M,,-2.654M,,0.368M,0.126M,-2.16M,,2000-03,,,174.37M,9.00M,,9.00M,,-5.309M,178.06M,,31.55M,160.35M,-0.148M,191.75M,,2000-03,9.00M,,,,,,2000-03,,
1999-12,1.70M,,,,,1.30M,,,2.00M,2.00M,,,,,,0.10M,-1.20M,,,-0.10M,-0.20M,,4.10M,,9.20M,,1999-12,-2.70M,,-2.70M,,10.80M,-8.80M,-0.70M,,1999-12,,,-0.60M,1.50M,,1.50M,,,0.90M,,22.40M,9.40M,-0.20M,31.50M,,1999-12,1.50M,,,,,,1999-12,,
1999-09,-14.30M,,,,,-0.162M,,,1.625M,1.625M,,,,,,-0.10M,-0.853M,,,-1.009M,1.239M,,-0.623M,,-13.56M,,1999-09,-5.669M,,-5.669M,,25.72M,3.403M,23.46M,,1999-09,,,-0.705M,1.702M,,1.702M,,,0.997M,,11.17M,10.89M,0.307M,22.40M,,1999-09,1.702M,,,,,,1999-09,,
1999-06,-10.80M,,,,,0.162M,,,1.475M,1.475M,,,,,,,-2.447M,,,0.509M,-1.439M,,-3.377M,,-12.54M,,1999-06,-5.331M,,-5.331M,,9.777M,-0.703M,3.743M,,1999-06,,,-0.695M,0.998M,,0.998M,,,0.303M,,0.00,-8.489M,-0.107M,11.17M,,1999-06,0.998M,,,,,,1999-06,,
1999-03,-17.60M,,,,,0.10M,,,1.20M,1.20M,,,,,,,,,,0.80M,0.60M,,1.40M,,-14.90M,,1999-03,-2.50M,,-2.50M,,16.60M,-4.20M,9.90M,,1999-03,,,-0.70M,1.30M,,1.30M,,,0.60M,,24.20M,-4.40M,,0.00,,1999-03,1.30M,,,,,,1999-03,,
1998-12,-12.60M,,,,,,,,1.50M,1.50M,,,,,,-0.20M,,,,0.90M,-1.10M,,1.00M,,-10.80M,,1998-12,-2.20M,,-2.20M,,-12.70M,0.10M,-14.80M,,1998-12,,,-0.70M,0.80M,,0.80M,,,0.10M,,0.00,-25.50M,,24.20M,,1998-12,0.80M,,,,,,1998-12,,
1998-09,-2.30M,,,,,,,,1.10M,1.10M,,,,,,0.10M,,,,2.30M,-0.20M,,2.10M,,1.00M,,1998-09,-1.20M,,-1.20M,,12.10M,0.00,10.90M,,1998-09,,,0.90M,0.50M,,0.50M,,0.10M,1.50M,,0.00,13.40M,,0.00,,1998-09,0.50M,,,,,,1998-09,,
1998-06,-9.80M,,,,,,,,1.10M,1.10M,,,,,,-0.20M,,,,-0.10M,-0.10M,,-0.20M,,-9.10M,,1998-06,-2.30M,,-2.30M,,-12.30M,0.20M,-14.40M,,1998-06,,,0.90M,0.60M,,0.60M,,-0.20M,1.30M,,0.00,-22.20M,,0.00,,1998-06,0.60M,,,,,,1998-06,,
