,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-12,355.66M,105.21M,460.87M,31.32M,,31.32M,,,,,4.66M,,,,496.85M,0.00,83.06M,130.24M,26.58M,,,239.89M,-173.38M,66.51M,,,,,,,601.48M,,2007-12,32.75M,,,32.75M,93.85M,126.60M,,,,20.00M,,20.00M,25.53M,25.53M,27.15M,199.28M,,,,,,,,,330.18M,,2007-12,1.312M,-1.588B,1.857B,0.881M,271.30M,,2007-12,,
2007-09,253.98M,248.57M,502.55M,34.66M,,34.66M,,,,,6.071M,,,,543.28M,,,,,,,220.88M,-151.98M,68.90M,,,,,,,655.15M,,2007-09,25.76M,,,25.76M,101.75M,127.51M,20.00M,,,20.00M,,20.00M,24.02M,24.02M,14.19M,185.71M,,,,,,,,,323.11M,,2007-09,1.304M,-1.502B,1.832B,0.309M,332.04M,,2007-09,,
2007-06,168.72M,424.25M,592.97M,37.19M,,37.19M,,,,,7.501M,,,,637.66M,,,,,,,219.76M,-151.98M,67.77M,,,,,,,761.07M,,2007-06,17.75M,,,17.75M,91.14M,108.89M,42.10M,,20.00M,62.10M,,62.10M,24.44M,24.44M,7.476M,202.90M,,,,,,,,,346.48M,,2007-06,1.297M,-1.395B,1.809B,-0.595M,414.58M,,2007-06,,
2007-03,354.33M,300.81M,655.14M,44.10M,,44.10M,,,,,7.301M,,,,706.54M,,,,,,,213.41M,-151.98M,61.42M,,,,,,,835.10M,,2007-03,9.141M,,,9.141M,86.12M,95.26M,42.10M,,3.127M,45.23M,,45.23M,34.10M,34.10M,,174.59M,20.00M,,20.00M,,,,,,333.80M,,2007-03,1.288M,-1.277B,1.778B,-0.506M,501.30M,,2007-03,,
2006-12,213.17M,491.46M,704.63M,62.92M,,62.92M,,,,,3.857M,,,,771.41M,0.00,74.88M,117.37M,21.27M,,,213.52M,-151.98M,61.54M,,,,,,,921.58M,,2006-12,15.37M,,,15.37M,93.36M,108.73M,101.75M,,2.008M,103.76M,,103.76M,33.89M,33.89M,4.635M,251.01M,20.00M,,20.00M,,,,,,415.64M,,2006-12,1.244M,-1.196B,1.702B,-0.962M,505.94M,,2006-12,,
2006-09,483.43M,211.32M,694.76M,42.61M,,42.61M,,,,,5.331M,,,,742.70M,,,,,,,208.96M,-147.83M,61.14M,,,,,,,902.11M,,2006-09,7.144M,,,7.144M,73.01M,80.15M,42.10M,,,42.10M,,42.10M,37.19M,37.19M,2.008M,161.46M,59.65M,,59.65M,,,,,,394.34M,,2006-09,1.234M,-1.169B,1.677B,-1.245M,507.77M,,2006-09,,
2006-06,41.43M,220.91M,262.34M,183.67M,,183.67M,,,,,6.58M,,,,452.59M,,,,,,,207.80M,-147.83M,59.97M,,,,,,,625.48M,,2006-06,8.277M,,,8.277M,57.53M,65.80M,,,,,,,42.93M,42.93M,,108.74M,180.09M,,180.09M,,,,,,450.48M,,2006-06,1.089M,-1.117B,1.283B,8.252M,175.00M,,2006-06,,
2006-03,81.83M,257.63M,339.46M,23.78M,,23.78M,,,,,6.81M,,,,370.05M,,,,,,,203.70M,-147.83M,55.87M,,,,,,,524.66M,,2006-03,6.259M,,,6.259M,49.34M,55.60M,,,,,,,23.66M,23.66M,2.988M,82.24M,180.10M,,180.10M,,,,,,291.75M,,2006-03,1.081M,-1.040B,1.261B,10.90M,232.91M,,2006-03,,
2005-12,78.04M,283.11M,361.16M,20.60M,,20.60M,,,,,3.303M,,,,385.06M,0.00,66.32M,117.36M,18.68M,,,202.36M,-147.83M,54.53M,,,,,,,549.00M,,2005-12,6.21M,,,6.21M,59.60M,65.81M,,,,,,,31.45M,31.45M,2.988M,100.24M,180.10M,,180.10M,,,,,,309.82M,,2005-12,1.081M,-989.58M,1.244B,-16.28M,239.18M,,2005-12,,
2005-09,101.62M,297.55M,399.16M,20.76M,,20.76M,,,,,4.405M,,,,424.33M,,,,,,,182.92M,-126.79M,56.13M,,,,,,,550.58M,,2005-09,6.46M,,,6.46M,79.86M,86.32M,,,,,,,32.51M,32.51M,2.975M,121.81M,294.55M,,294.55M,,,,,,417.26M,,2005-09,0.989M,-951.45M,1.101B,-17.40M,133.31M,,2005-09,,
2005-06,194.70M,251.91M,446.61M,13.94M,,13.94M,,,,,4.763M,,,,465.31M,,,,,,,185.29M,-126.79M,58.50M,,,,,,,596.90M,,2005-06,9.429M,,,9.429M,81.10M,90.53M,,,,,,,44.48M,44.48M,2.975M,137.99M,335.00M,,335.00M,,,,,,473.94M,,2005-06,0.953M,-871.88M,1.009B,-14.90M,122.96M,,2005-06,,
2005-03,37.37M,296.96M,334.33M,10.87M,,10.87M,,,,,4.831M,,,,350.03M,,,,,,,187.49M,-126.79M,60.70M,,,,,,,484.23M,,2005-03,8.474M,,,8.474M,84.05M,92.53M,,,,,,,50.89M,50.89M,4.75M,148.17M,335.00M,,335.00M,,,,,,492.72M,,2005-03,0.812M,-830.89M,838.53M,-16.95M,-8.491M,,2005-03,,
2004-12,55.01M,331.24M,386.25M,11.89M,,11.89M,,,,,2.501M,,,,400.64M,0.00,65.29M,109.31M,16.41M,,,191.02M,-126.79M,64.22M,,,,,,,545.45M,,2004-12,6.66M,,,6.66M,94.66M,101.32M,,,,,,,47.74M,47.74M,4.688M,153.74M,335.00M,,335.00M,,,,,,510.01M,,2004-12,0.807M,-786.17M,833.83M,-13.03M,35.44M,,2004-12,,
2004-09,37.04M,381.39M,418.43M,8.48M,,8.48M,,,,,5.925M,,,,432.83M,,,,,,,174.63M,-106.45M,68.18M,,,,,,,574.36M,,2004-09,9.504M,,,9.504M,79.24M,88.74M,,,,4.688M,,4.688M,41.02M,41.02M,,134.45M,315.00M,,315.00M,,,,,,500.04M,,2004-09,0.801M,-743.40M,828.21M,-11.29M,74.32M,,2004-09,,
2004-06,63.69M,396.68M,460.37M,9.939M,,9.939M,,,,,3.908M,,,,474.22M,,,,,,,179.68M,-106.45M,73.23M,,,,,,,624.05M,,2004-06,7.815M,,,7.815M,85.21M,93.02M,,,,4.688M,,4.688M,39.74M,39.74M,,137.45M,317.92M,,317.92M,,,,,,513.76M,,2004-06,0.799M,-704.63M,826.45M,-12.33M,110.29M,,2004-06,,
2004-03,53.01M,467.57M,520.57M,7.937M,,7.937M,,,,,4.927M,,,,533.44M,,,,,,,182.62M,-106.45M,76.17M,,,,,,,669.19M,,2004-03,7.741M,,,7.741M,85.16M,92.91M,,,,0.036M,,0.036M,9.351M,9.351M,18.55M,120.84M,315.00M,,315.00M,,,,,,512.09M,,2004-03,0.787M,-660.36M,815.86M,0.808M,157.10M,,2004-03,,
2003-12,98.16M,485.00M,583.16M,7.324M,,7.324M,,,,,3.318M,,,,593.81M,0.00,62.41M,108.79M,15.34M,,,186.53M,-106.45M,80.08M,,,,,,,724.41M,,2003-12,12.31M,,,12.31M,100.36M,112.66M,,,,,,,7.746M,7.746M,18.66M,139.07M,333.46M,,333.46M,,,,,,531.57M,,2003-12,0.78M,-619.92M,810.41M,1.578M,192.84M,,2003-12,,
2003-09,77.45M,518.16M,595.60M,7.85M,,7.85M,,,,,3.428M,,,3.393M,610.28M,,,,,,,168.03M,-86.00M,82.03M,,,,,,,742.68M,,2003-09,8.069M,,,8.069M,98.14M,106.21M,,,,4.837M,,4.837M,8.774M,8.774M,,119.82M,340.50M,,340.50M,,,,,,511.39M,,2003-09,0.775M,-578.89M,805.72M,3.683M,231.28M,,2003-09,,
2003-06,133.41M,499.99M,633.40M,9.72M,,9.72M,,,,,4.325M,,,1.801M,649.24M,,,,,,,172.08M,-86.00M,86.08M,,,,,,,787.46M,,2003-06,9.267M,,,9.267M,63.84M,73.11M,,,,3.49M,,3.49M,9.92M,9.92M,,86.52M,337.29M,,337.29M,,,,,,473.94M,,2003-06,0.769M,-492.47M,800.53M,4.684M,313.52M,,2003-06,,
2003-03,180.77M,499.32M,680.09M,11.92M,,11.92M,,,,,4.585M,,,1.376M,697.98M,,,,,,,173.35M,-86.00M,87.35M,,,,,,,840.31M,,2003-03,10.00M,,,10.00M,25.90M,35.90M,,,,1.374M,,1.374M,14.11M,14.11M,4.912M,56.29M,328.50M,0.023M,328.52M,,,,,,440.04M,,2003-03,0.767M,-402.54M,797.61M,4.435M,400.27M,,2003-03,,
2002-12,108.10M,526.89M,634.98M,13.20M,,13.20M,,,,,4.349M,,,4.039M,656.57M,0.00,62.31M,118.16M,,1.519M,,181.99M,-86.00M,95.99M,,,,,,,815.72M,,2002-12,16.74M,,,16.74M,33.77M,50.51M,,,,2.195M,,2.195M,11.89M,11.89M,,64.60M,315.00M,10.94M,325.94M,,,,,,437.14M,,2002-12,0.764M,-423.15M,794.21M,6.764M,378.58M,,2002-12,,
2002-09,103.59M,547.76M,651.35M,13.10M,,13.10M,,,,,4.253M,,,4.946M,673.65M,,,161.29M,,,,161.29M,-68.90M,92.39M,,,,,,,831.07M,,2002-09,12.17M,,,12.17M,24.62M,36.79M,,,,2.969M,,2.969M,19.03M,19.03M,,58.79M,315.00M,6.313M,321.31M,,,,,,422.86M,,2002-09,0.761M,-391.07M,790.63M,7.894M,408.21M,,2002-09,,
2002-06,125.27M,554.58M,679.84M,18.06M,,18.06M,,,,,4.548M,,,5.159M,707.61M,,,,,,,155.12M,-68.90M,86.22M,,,,,,,860.47M,,2002-06,9.764M,,,9.764M,22.76M,32.53M,,,,3.519M,,3.519M,21.78M,21.78M,4.464M,62.29M,315.00M,6.73M,321.73M,,,,,,423.79M,,2002-06,0.758M,-357.62M,786.89M,6.654M,436.68M,,2002-06,,
2002-03,176.23M,522.80M,699.03M,14.34M,,14.34M,,,,,5.178M,,,5.233M,723.78M,,,,,,,84.63M,,84.63M,,,,,,,875.51M,,2002-03,10.91M,,,10.91M,22.30M,33.21M,,,,3.928M,,3.928M,27.88M,27.88M,0.529M,65.55M,315.00M,7.331M,322.33M,,,,,,425.40M,,2002-03,0.753M,-336.60M,781.02M,4.932M,450.11M,,2002-03,,
2001-12,189.20M,554.00M,743.20M,20.26M,,20.26M,,,,,6.636M,,,5.989M,776.09M,0.00,54.09M,93.61M,,1.578M,,149.28M,-68.90M,80.38M,,,,,,,925.13M,,2001-12,11.63M,,,11.63M,35.85M,47.48M,,,,4.579M,,4.579M,39.50M,39.50M,,91.55M,315.00M,8.026M,323.03M,,,,,,449.78M,,2001-12,0.751M,-314.53M,778.02M,11.11M,475.35M,,2001-12,,
2001-09,195.95M,185.92M,381.87M,35.92M,,35.92M,,,,,3.362M,,,7.265M,428.42M,,,,,,,117.66M,-42.60M,75.06M,,,,,,,922.37M,,2001-09,6.377M,,,6.377M,24.05M,30.43M,,,,4.562M,,4.562M,53.75M,53.75M,3.158M,91.90M,345.00M,9.185M,354.18M,,,,,,446.08M,,2001-09,0.748M,-311.27M,774.52M,12.29M,476.29M,,2001-09,,
2001-06,168.53M,151.50M,320.03M,8.414M,,8.414M,,,,,2.032M,,,,330.47M,,,,,,,86.13M,-42.60M,43.53M,,,,,,,766.83M,,2001-06,6.362M,,,6.362M,19.31M,25.67M,,,,2.016M,,2.016M,11.16M,11.16M,,38.85M,345.00M,1.633M,346.63M,,,,,,385.48M,,2001-06,0.605M,-251.46M,624.49M,7.716M,381.35M,,2001-06,,
2001-03,222.66M,100.67M,323.34M,7.615M,,7.615M,,,,,2.327M,,,,333.28M,,,,,,,78.66M,-42.60M,36.06M,,,,,,,769.54M,,2001-03,2.596M,,,2.596M,15.36M,17.96M,,,,2.186M,,2.186M,11.17M,11.17M,0.557M,31.87M,345.00M,1.966M,346.97M,,,,,,378.84M,,2001-03,0.602M,-239.36M,621.30M,8.16M,390.71M,,2001-03,,
2000-12,346.66M,113.26M,459.92M,33.91M,,33.91M,,,,,3.494M,,,5.97M,503.29M,,,,,,,86.56M,-42.60M,43.96M,,,,,,,941.14M,,2000-12,8.438M,,,8.438M,20.82M,29.25M,,,,5.071M,,5.071M,28.33M,28.33M,7.203M,69.86M,345.00M,12.27M,357.27M,,,,,,427.12M,,2000-12,0.734M,-248.30M,757.52M,4.053M,514.01M,,2000-12,,
2000-09,471.43M,241.92M,713.35M,,,7.087M,,,,,,,,1.751M,722.18M,,,,,,,64.93M,-40.24M,24.69M,,,,,,,774.56M,,2000-09,31.39M,,,31.39M,,31.39M,,,,163.80M,,163.80M,,,4.65M,199.84M,348.12M,,348.12M,,,,,,547.96M,,2000-09,0.546M,-219.23M,444.91M,0.376M,226.60M,,2000-09,,
2000-06,183.21M,195.18M,378.38M,,,5.434M,,,,,,,,1.70M,385.52M,,,,,,,63.26M,-38.18M,25.08M,,,,,,,428.32M,,2000-06,17.64M,,,17.64M,,17.64M,,,,2.204M,,2.204M,,,4.742M,24.59M,178.62M,,178.62M,,,,,,203.21M,,2000-06,0.533M,-194.37M,420.20M,-1.245M,225.11M,,2000-06,,
2000-03,191.75M,155.50M,347.25M,,,4.506M,,,,,,,,1.997M,353.75M,,,,,,,61.40M,-36.20M,25.21M,,,,,,,396.93M,,2000-03,13.77M,,,13.77M,,13.77M,,,,2.272M,,2.272M,,,,16.04M,179.16M,,179.16M,,,,,,195.19M,,2000-03,0.262M,-206.99M,409.93M,-1.473M,201.74M,,2000-03,,
1999-12,31.55M,156.25M,187.80M,5.956M,,5.956M,,,,,,,,1.439M,195.20M,,,,,,,58.88M,-34.40M,24.48M,,,,,,,232.44M,,1999-12,14.15M,,,14.15M,,14.15M,,,,2.366M,,2.366M,,,2.00M,18.52M,4.693M,,4.693M,,,,,,23.21M,,1999-12,0.514M,-190.83M,400.63M,-1.084M,209.23M,,1999-12,,
1999-09,22.40M,165.70M,188.10M,,,4.80M,,,,,,,,1.20M,194.10M,,,,,,,56.10M,-32.50M,23.60M,,,,,,,224.80M,,1999-09,10.60M,,,10.60M,,10.60M,,,,2.50M,,2.50M,,,,13.10M,5.30M,,5.30M,,,,,,18.30M,,1999-09,0.30M,-192.50M,399.10M,-0.30M,206.50M,,1999-09,,
1999-06,11.20M,,11.20M,,,,,,,,,,,200.10M,211.30M,,,,,,,50.50M,-30.80M,19.70M,,,,,,,238.60M,,1999-06,11.70M,,,11.70M,,11.70M,,,,2.60M,,2.60M,,,-0.10M,14.20M,5.80M,,5.80M,,,,,,20.00M,,1999-06,,-178.30M,,,218.60M,,1999-06,,
1999-03,19.80M,,19.80M,,,,,,,,,,,206.90M,226.70M,,,,,,,45.10M,-29.40M,15.70M,,,,,,,249.70M,,1999-03,11.10M,,,11.10M,,11.10M,,,,2.70M,,2.70M,,,,13.80M,6.40M,,6.40M,,,,,,20.20M,,1999-03,,-167.40M,,,229.50M,,1999-03,,
1998-12,24.20M,,24.20M,,,,,,,,,,,224.50M,248.70M,,,,,,,42.60M,-28.10M,14.50M,,,,,,,266.30M,,1998-12,2.80M,,,2.80M,,2.80M,,,,2.80M,,2.80M,,,7.50M,13.10M,7.00M,,7.00M,,,,,,20.10M,,1998-12,,-149.90M,,,246.20M,,1998-12,,
1998-09,49.70M,,49.70M,,,,,,,,,,,211.20M,260.90M,,,,,,,40.40M,-26.70M,13.70M,,,,,,,277.90M,,1998-09,8.30M,,,8.30M,,8.30M,,,,2.80M,,2.80M,,,0.10M,11.20M,7.60M,,7.60M,,,,,,18.80M,,1998-09,,-137.30M,,,259.10M,,1998-09,,
1998-06,36.30M,,36.30M,,,,,,,,,,,221.60M,257.90M,,,,,,,39.20M,-25.60M,13.60M,,,,,,,274.90M,,1998-06,6.00M,,,6.00M,,6.00M,,,,2.70M,,2.70M,,,,8.70M,6.90M,,6.90M,,,,,,15.60M,,1998-06,,-135.00M,,,259.30M,,1998-06,,
