,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-05,91.53M,,,,33.10M,9.406M,42.51M,42.51M,-7.451M,,,0.218M,-29.97M,10.05M,-1.515M,11.54M,-15.44M,48.24M,0.40M,23.30M,150.10M,,-54.55M,,-54.55M,-18.38M,-1.61M,14.92M,-59.63M,,,,160.26M,2.998M,-209.24M,-206.24M,,,,5.193M,-99.61M,,48.04M,-9.129M,,38.91M,,2.998M,,,-209.24M,,,
2006-02,76.59M,,,,32.03M,8.452M,40.48M,40.48M,0.986M,,,1.462M,13.38M,8.888M,-1.50M,1.541M,-1.213M,-35.20M,-0.405M,-14.50M,105.02M,,-31.90M,,-31.90M,-240.90M,0.58M,-16.94M,-289.16M,,,,172.34M,4.252M,0.00,4.252M,,,,3.003M,179.59M,,52.60M,-4.553M,,48.04M,,4.252M,,,0.00,,,
2005-11,76.84M,,,,31.40M,7.904M,39.31M,39.31M,-10.82M,,,1.432M,-16.31M,8.706M,2.374M,-7.222M,-6.709M,71.72M,-0.301M,52.26M,159.02M,,-34.04M,,-34.04M,-66.11M,10.97M,-0.376M,-89.55M,,,,-52.17M,1.654M,-11.91M,-10.26M,,,,2.111M,-60.31M,,43.44M,9.159M,,52.60M,,1.654M,,,-11.91M,,,
2005-08,78.42M,,,,30.58M,7.774M,38.35M,38.35M,17.23M,,,1.613M,-11.26M,-5.61M,-1.664M,-3.529M,-3.318M,-63.36M,,-88.74M,46.88M,,-36.14M,,-36.14M,-20.97M,51.92M,3.487M,-1.703M,,,,45.76M,5.498M,-102.26M,-96.76M,,,,6.065M,-44.93M,,43.20M,0.241M,,43.44M,,5.498M,,,-102.26M,,,
2005-05,74.99M,,,,30.35M,7.636M,37.99M,37.99M,-2.98M,,,,-24.20M,0.822M,0.427M,12.25M,-6.916M,26.48M,,7.703M,125.67M,,-39.77M,,-39.77M,-26.89M,29.70M,0.214M,-36.75M,,,,-3.311M,6.149M,,-52.06M,,,,-7.254M,-117.59M,,71.86M,-28.66M,,43.20M,,6.149M,,,,,,
2005-02,71.33M,,,,29.94M,7.183M,37.12M,37.12M,-13.40M,,,,9.782M,-14.06M,0.276M,-8.742M,10.72M,-1.425M,,-3.456M,91.60M,,-27.09M,,-27.09M,-48.49M,-53.16M,-0.385M,-129.13M,,,,-0.604M,1.19M,,1.19M,,,,-4.589M,-4.003M,,113.40M,-41.54M,,71.86M,,1.19M,,,,,,
2004-11,73.56M,,,,29.82M,6.814M,36.64M,36.64M,-1.563M,,,,-17.12M,-11.53M,3.34M,10.34M,-7.402M,57.53M,,35.16M,143.79M,,-38.53M,,-38.53M,-19.12M,-60.74M,-2.675M,-121.06M,,,,-6.478M,1.14M,,1.14M,,,,14.06M,8.718M,,81.95M,31.45M,,113.40M,,1.14M,,,,,,
2004-08,72.67M,,,,29.70M,6.729M,36.43M,36.43M,21.82M,,,,-4.776M,-1.548M,-4.935M,1.875M,-3.567M,-65.12M,,-78.07M,52.84M,,-35.34M,,-35.34M,-14.57M,-15.06M,1.183M,-63.79M,,,,-0.182M,1.514M,,1.514M,,,,4.216M,5.548M,,87.36M,-5.408M,,81.95M,,1.514M,,,,,,
2004-05,72.73M,,,,29.48M,6.587M,36.06M,36.06M,-5.045M,,,,-4.639M,20.43M,0.722M,2.333M,-6.152M,32.83M,,45.53M,149.27M,,-27.87M,,-27.87M,-51.82M,-31.86M,2.587M,-108.96M,,,,-15.43M,-0.492M,,-0.492M,,,,-1.154M,-66.71M,,113.75M,-26.40M,,87.36M,,-0.492M,,,,,,
2004-02,66.49M,,,,29.35M,6.513M,35.86M,35.86M,12.56M,,,,5.129M,9.837M,-1.108M,-7.913M,6.681M,-16.64M,,-4.013M,110.91M,,-28.00M,,-28.00M,-36.24M,-37.59M,7.982M,-93.84M,,,,-2.061M,3.306M,,3.306M,,,,-3.151M,-1.906M,,98.60M,15.16M,,113.75M,,3.306M,,,,,,
2003-11,69.66M,,,,29.44M,6.456M,35.90M,35.90M,-7.274M,,,,-7.822M,12.07M,1.784M,7.432M,-2.143M,67.87M,,79.19M,177.47M,,-26.01M,,-26.01M,-7.115M,-60.15M,0.18M,-93.10M,,,,-49.48M,1.648M,,1.648M,,,,7.135M,-40.69M,,54.91M,43.68M,,98.60M,,1.648M,,,,,,
2003-08,63.33M,,,,29.02M,6.418M,35.44M,35.44M,15.59M,,,,6.844M,4.055M,-1.152M,-5.075M,5.995M,-52.96M,,-42.30M,72.06M,,-31.01M,,-31.01M,-6.48M,-11.95M,1.533M,-47.90M,,,,-1.797M,1.406M,,1.406M,,,,-1.087M,-1.478M,,32.24M,22.68M,,54.91M,,1.406M,,,,,,
2003-05,65.21M,,,,27.62M,6.447M,34.07M,34.07M,2.293M,,,,-6.691M,0.531M,0.477M,3.908M,-3.393M,-17.64M,,-22.81M,78.76M,,-34.57M,,-34.57M,-12.64M,9.604M,9.664M,-27.94M,,,,-22.80M,1.712M,,1.712M,,,,6.337M,-60.75M,,42.18M,-9.936M,,32.24M,,1.712M,,,,,,
2003-02,59.06M,,,,29.01M,6.674M,35.68M,35.68M,-1.661M,,,,14.09M,-10.12M,1.753M,-15.45M,-2.339M,-11.22M,,-23.30M,69.78M,,-29.06M,,-29.06M,-7.568M,3.291M,-3.09M,-36.43M,,,,-48.22M,0.761M,,0.761M,,,,5.377M,-42.08M,,50.91M,-8.734M,,42.18M,,0.761M,,,,,,
2002-11,63.34M,,,,28.26M,6.982M,35.25M,35.25M,-9.554M,,,,-5.09M,-10.40M,1.14M,-5.497M,-7.928M,50.92M,,23.14M,112.17M,,-29.74M,-0.204M,-29.94M,-1.036M,-2.562M,-9.642M,-43.18M,,,,-53.07M,1.155M,,1.155M,,,,0.431M,-51.49M,,33.41M,17.50M,,50.91M,,1.155M,,,,,,
2002-08,61.65M,,,,30.43M,7.638M,38.07M,38.07M,16.57M,,,,1.739M,-15.64M,-0.773M,10.39M,-11.12M,-30.90M,,-46.30M,69.98M,,-21.65M,0.204M,-21.44M,-15.93M,8.705M,,-28.67M,,,,-48.80M,2.071M,,2.071M,,,,-1.804M,-48.53M,,40.63M,-7.221M,,33.41M,,2.071M,,,,,,
2002-05,64.14M,,,,26.07M,4.60M,30.67M,30.67M,11.47M,,,,-6.052M,10.80M,2.563M,10.02M,-14.32M,-12.65M,,-9.638M,96.64M,,-22.31M,,-22.31M,-701.88M,108.43M,-2.462M,-618.22M,,,,516.90M,0.805M,,0.805M,,,,0.702M,475.95M,,86.26M,-45.63M,,40.63M,,0.805M,,,,,,
2002-02,55.58M,,,,25.57M,4.76M,30.33M,30.33M,-2.604M,,,,15.61M,5.805M,0.493M,-9.312M,-0.83M,4.953M,,16.72M,100.03M,,-23.94M,,-23.94M,-14.66M,-51.23M,0.599M,-89.23M,,,,-25.82M,0.802M,,0.802M,,,,-0.802M,-25.82M,,101.28M,-15.02M,,86.26M,,0.802M,,,,,,
2001-11,57.98M,,,,24.90M,4.718M,29.62M,29.62M,-0.244M,,,,-3.963M,4.404M,0.374M,3.172M,-5.465M,34.45M,,32.97M,120.33M,,-28.31M,,-28.31M,-5.846M,-65.68M,25.36M,-74.48M,,,,-8.179M,0.57M,,0.57M,,,,-1.713M,-9.322M,,64.75M,36.53M,,101.28M,,0.57M,,,,,,
2001-08,56.54M,,,,24.67M,4.732M,29.40M,29.40M,12.01M,,,,-2.435M,10.73M,-2.10M,-0.536M,-6.647M,-36.53M,,-37.52M,60.43M,,-32.73M,,-32.73M,-9.839M,0.537M,-25.38M,-67.41M,,,,-3.267M,1.07M,,1.07M,,,,0.204M,-1.993M,,73.72M,-8.973M,,64.75M,,1.07M,,,,,,
2001-05,60.16M,,,,,,29.14M,29.14M,-7.67M,,,,2.883M,9.651M,,-7.155M,-8.525M,22.08M,,17.78M,99.41M,,-33.64M,-1.40M,-35.04M,3.701M,-8.022M,17.38M,-21.97M,,,,-7.093M,1.392M,,1.392M,,,,-0.016M,-42.89M,,39.18M,34.54M,,73.72M,,1.392M,,,,,,
2001-02,54.91M,,,,,,28.61M,28.61M,0.957M,,,,6.85M,-22.57M,,-6.698M,-2.209M,8.397M,,-16.23M,68.25M,,-35.77M,1.40M,-34.37M,-19.19M,8.828M,-13.37M,-58.10M,,,,-7.162M,3.629M,,3.629M,,,,-1.612M,-5.145M,,34.18M,5.003M,,39.18M,,3.629M,,,,,,
2000-11,56.53M,,,,,,26.72M,26.72M,2.123M,,,,-13.51M,-24.89M,,8.332M,-12.24M,7.92M,,-34.39M,50.99M,,-35.77M,,-35.77M,-14.47M,10.44M,-0.59M,-40.39M,,,,-8.729M,0.284M,,0.284M,,,,1.513M,-6.932M,,30.51M,3.667M,,34.18M,,0.284M,,,,,,
2000-08,50.85M,,,,,,27.62M,27.62M,13.05M,,,,-12.70M,-10.88M,,-4.586M,-5.50M,-29.52M,,-63.20M,28.32M,,-42.27M,,-42.27M,-0.572M,9.886M,-7.992M,-40.95M,,,,-10.42M,0.687M,,0.687M,,,,0.693M,-9.04M,,52.18M,-21.67M,,30.51M,,0.687M,,,,,,
2000-05,52.82M,,,,,,25.81M,25.81M,-0.707M,,,,3.757M,-9.795M,,-3.235M,11.60M,1.43M,,3.761M,81.69M,,-37.20M,-21.58M,-58.78M,-3.228M,16.42M,15.51M,-30.06M,,,,-8.363M,0.413M,,0.413M,,,,-1.054M,-40.25M,,40.81M,11.37M,,52.18M,,0.413M,,,,,,
2000-02,49.06M,,,,,,24.10M,24.10M,6.286M,,,,0.884M,-15.68M,,2.835M,-0.742M,1.596M,,-11.11M,68.34M,,-35.03M,12.78M,-22.26M,-21.75M,-6.65M,0.187M,-50.47M,,,,-4.649M,0.586M,,0.586M,,,,0.601M,-3.462M,,26.40M,14.41M,,40.81M,,0.586M,,,,,,
1999-11,48.30M,,,,,,26.10M,26.10M,6.10M,,,0.10M,-22.10M,-0.80M,,-0.90M,-10.00M,1.60M,,-32.20M,48.40M,,-34.10M,8.80M,-25.30M,,-17.00M,-5.50M,-47.80M,,,,-6.80M,0.50M,,0.50M,,,,0.40M,-5.90M,,31.80M,-5.30M,,26.40M,,0.50M,,,,,,
1999-08,43.20M,,,,,,23.50M,23.50M,5.70M,,,-0.10M,-1.80M,3.30M,,0.70M,-1.80M,-13.10M,,-12.70M,59.60M,,-55.10M,,-55.10M,,21.90M,4.60M,-28.60M,,,,-17.10M,1.90M,,1.90M,,,,0.10M,-15.10M,,15.80M,15.90M,,31.80M,,1.90M,,,,,,
1999-05,19.60M,,,,,,25.90M,25.90M,-3.134M,,,0.234M,-4.80M,4.40M,,-3.90M,-1.30M,-7.30M,,-12.90M,43.00M,,-58.69M,0.00,-58.69M,9.50M,-4.20M,-7.609M,-61.00M,,,,23.50M,0.80M,,0.80M,,-23.20M,,2.60M,3.70M,,30.19M,-14.30M,,15.80M,,0.80M,,,,,,
1999-02,38.70M,,,,,,22.60M,22.60M,-4.266M,,,-0.134M,15.60M,-3.00M,,-2.80M,-3.10M,9.80M,,16.50M,73.40M,,-33.81M,-0.10M,-33.91M,-9.50M,1.10M,-1.591M,-43.90M,,,,-4.40M,0.10M,,0.10M,,-0.90M,,1.50M,-3.70M,,4.50M,25.80M,,30.19M,,0.10M,,,,,,
1998-11,44.30M,,,,,,19.20M,19.20M,1.40M,,,-0.10M,-19.30M,-2.20M,,-0.80M,-13.20M,3.80M,,-31.70M,33.10M,,-49.60M,20.00M,-29.60M,,5.90M,4.70M,-19.00M,,,,-28.00M,0.40M,,0.40M,,0.00,,-1.00M,-28.60M,,18.60M,-14.50M,,4.50M,,0.40M,,,,,,
1998-08,36.30M,,,,,,22.50M,22.50M,4.60M,,,0.10M,-6.00M,-5.10M,,-7.60M,-0.80M,9.60M,,-9.90M,53.60M,,-44.70M,,-44.70M,,7.40M,1.70M,-35.60M,,,,-10.80M,1.00M,,1.00M,,-0.80M,,-2.00M,-12.60M,,13.40M,5.40M,,18.60M,,1.00M,,,,,,
1998-05,42.40M,,,,,,32.10M,32.10M,7.50M,,,0.10M,-9.30M,-3.90M,,-10.80M,-15.00M,1.90M,,-37.10M,45.00M,,-53.40M,,-53.40M,,-12.40M,1.10M,-64.70M,,,,25.30M,0.30M,9.60M,9.90M,,-13.90M,,-6.90M,14.40M,,0.00,-5.30M,,13.40M,,0.30M,,,9.60M,,,
1998-02,30.30M,,,,,,15.70M,15.70M,-2.20M,,,,0.70M,-10.60M,,1.50M,-1.90M,10.50M,,0.20M,44.00M,,-53.20M,,-53.20M,,8.10M,-3.00M,-48.10M,,,,25.00M,0.30M,-9.60M,-9.30M,,-12.60M,,-0.30M,2.80M,,0.00,-1.30M,,0.00,,0.30M,,,-9.60M,,,
1997-11,34.30M,,,,,,13.60M,13.60M,3.90M,,,0.10M,-12.20M,-5.70M,,2.90M,-14.20M,3.00M,,-26.20M,25.70M,,-29.30M,,-29.30M,,8.40M,5.10M,-15.80M,,,,-0.50M,0.30M,,0.30M,,-5.00M,,-0.50M,-5.70M,,0.00,4.20M,,0.00,,0.30M,,,,,,
1997-08,26.70M,,,,,,13.90M,13.90M,4.20M,,,-0.10M,-3.40M,-3.30M,,1.30M,,-11.30M,,-16.70M,28.00M,,-20.10M,,-20.10M,,-3.60M,-4.10M,-27.80M,,,,-2.00M,0.20M,,0.20M,,,,-0.20M,-2.00M,,14.20M,-1.80M,,0.00,,0.20M,,,,,,
1997-05,53.80M,,,,,,31.60M,31.60M,6.30M,,,-0.20M,-9.30M,8.80M,,-4.90M,-11.40M,-1.30M,,-18.10M,73.40M,,-56.20M,-0.30M,-56.50M,,9.80M,12.00M,-34.70M,,,,-3.00M,1.30M,,1.30M,,,,-1.90M,-33.00M,,0.00,5.70M,,17.60M,,1.30M,,,,,,
1997-02,22.40M,,,,,,12.80M,12.80M,-1.50M,,,0.20M,3.00M,-3.70M,,-11.60M,-0.20M,12.10M,,-0.40M,33.50M,,-17.30M,0.10M,-17.20M,,-11.50M,-7.10M,-35.80M,,,,-0.60M,0.10M,,0.10M,,,,-0.10M,-0.60M,,0.00,-2.90M,,0.00,,0.10M,,,,,,
1996-11,22.70M,,,,,,10.70M,10.70M,0.80M,,,0.00,-8.90M,-6.30M,,9.80M,-0.10M,0.50M,,-5.00M,29.20M,,-17.30M,0.10M,-17.20M,,-5.20M,-4.00M,-26.40M,,,,-4.30M,0.70M,,0.70M,,,,0.20M,-3.40M,,0.00,-0.60M,,0.00,,0.70M,,,,,,
1996-08,19.70M,,,,,,11.30M,11.30M,4.30M,,,-0.10M,-1.10M,-4.50M,,2.50M,0.20M,-6.40M,,-9.30M,25.90M,,-14.40M,0.10M,-14.30M,,-8.30M,-0.60M,-23.20M,,,,-0.50M,0.20M,,0.20M,,,,0.10M,-0.20M,,9.10M,2.50M,,0.00,,0.20M,,,,,,
1996-05,34.00M,,,,,,14.20M,14.20M,3.40M,,,,-6.80M,3.90M,,9.10M,-11.20M,0.80M,,-4.20M,47.40M,,-20.60M,,-20.60M,,-7.50M,2.00M,-26.10M,,,,5.30M,0.10M,,0.10M,,,,-16.70M,-23.10M,,0.00,-1.80M,,0.00,,0.10M,,,,,,
1996-02,18.60M,,,-1.00M,,,10.40M,10.40M,-1.40M,,,-0.10M,1.70M,1.20M,,-3.50M,-0.60M,8.10M,,6.90M,33.40M,,-13.60M,,-13.60M,,-12.20M,-1.20M,-27.00M,,,,-2.60M,0.30M,,0.30M,,,,0.80M,-1.50M,,0.00,4.90M,,0.00,,0.30M,,,,,,
1995-11,18.80M,,,0.50M,,,10.20M,10.20M,-0.30M,,,0.00,-8.00M,-5.50M,,2.60M,1.00M,-3.10M,,-13.00M,16.20M,,-14.50M,,-14.50M,,-0.20M,-1.20M,-15.90M,,,,-1.30M,0.20M,,0.20M,,,,-0.10M,-1.20M,,0.00,-0.90M,,0.00,,0.20M,,,,,,
1995-08,16.30M,,,0.50M,,,10.10M,10.10M,4.60M,,,0.10M,-1.50M,-1.60M,,1.00M,-0.80M,2.10M,,-0.80M,30.80M,,-13.50M,,-13.50M,,-14.80M,-1.70M,-30.00M,,,,-0.20M,0.20M,,0.20M,,,,0.10M,0.10M,,6.70M,0.90M,,0.00,,0.20M,,,,,,
1995-05,17.90M,,,0.00,,,9.80M,9.80M,-1.00M,,,0.00,-3.80M,-5.90M,,-1.80M,-0.10M,6.20M,,-5.40M,21.30M,,-18.40M,,-16.10M,,-1.60M,-1.00M,-18.70M,,,,0.00,0.30M,0.00,0.30M,,,,0.10M,-9.00M,,0.00,-6.40M,,0.00,,0.30M,,,0.00,,,
1995-02,15.30M,,,0.30M,,,9.40M,9.40M,-1.10M,,,0.30M,1.90M,-3.50M,,0.00,0.10M,0.50M,,-1.00M,23.20M,,-15.20M,,-15.20M,,-1.70M,-41.60M,-58.50M,,,,39.10M,0.30M,-0.10M,0.20M,,,,-0.10M,39.20M,,0.00,3.90M,,0.00,,0.30M,,,-0.10M,,,
1994-11,15.70M,,,0.00,,,9.40M,9.40M,0.10M,,,-0.20M,-7.30M,-5.30M,,-2.20M,-0.40M,1.00M,,-14.20M,10.80M,,-13.60M,,-13.60M,,12.70M,-6.00M,-6.90M,,,,-1.50M,0.30M,-2.30M,-2.00M,,,,,-3.50M,,0.00,0.40M,,0.00,,0.30M,,,-2.30M,,,
1994-08,13.80M,,,0.40M,,,9.10M,9.10M,2.00M,,,,-2.10M,-6.70M,,1.80M,0.40M,1.30M,,-5.30M,20.00M,,-11.70M,,-11.70M,,4.10M,-0.30M,-7.90M,,,,-7.20M,0.20M,-4.70M,-4.50M,,,,,-11.70M,,8.40M,0.40M,,0.00,,0.20M,,,-4.70M,,,
1994-05,15.00M,,,-0.30M,,,9.00M,9.00M,,,,0.10M,-4.90M,-6.90M,,1.40M,0.70M,4.00M,,-5.70M,18.10M,,-9.70M,,-8.40M,,5.00M,-4.40M,-7.80M,,,,-0.60M,0.20M,,0.20M,,,,,-8.40M,,0.00,1.90M,,0.00,,0.20M,,,,,,
1994-02,13.10M,,,0.40M,,,8.80M,8.80M,,,,-0.20M,5.00M,-1.80M,,-9.10M,0.30M,8.30M,,2.70M,24.80M,,-11.90M,,-11.90M,,-6.10M,-4.60M,-22.60M,,,,-5.30M,0.70M,,0.70M,,,,-0.30M,-4.90M,,0.00,-2.70M,,0.00,,0.70M,,,,,,
1993-11,13.60M,,,0.30M,,,8.70M,8.70M,,,,,-5.10M,-5.10M,,2.30M,-0.40M,5.60M,,-2.70M,19.90M,,-8.10M,,-8.10M,,-1.70M,-5.30M,-15.10M,,,,-1.70M,-0.20M,,-0.20M,,,,0.30M,-1.60M,,0.00,3.20M,,0.00,,-0.20M,,,,,,
1993-08,10.50M,,,0.30M,,,8.60M,8.60M,,,,,-3.10M,-6.00M,,3.60M,-0.10M,-5.20M,,-10.80M,8.60M,,-7.50M,,-7.50M,,-8.70M,-0.20M,-16.40M,,,,-0.70M,0.40M,,0.40M,,,,,-0.30M,,14.20M,-8.10M,,0.00,,0.40M,,,,,,
1993-05,12.70M,,,0.00,,,7.10M,7.10M,4.40M,,,2.70M,-2.70M,-5.60M,,5.70M,0.00,-1.40M,,-4.00M,22.90M,,-10.30M,,-10.00M,,3.10M,-7.90M,-14.80M,,,,3.70M,0.10M,,0.10M,,,,0.00,-2.70M,,0.00,5.40M,,0.00,,0.10M,,,,,,
1993-02,11.00M,,,0.50M,,,5.40M,5.40M,-0.20M,,,2.60M,2.10M,-1.90M,,-5.90M,-0.50M,6.10M,,-0.10M,19.20M,,-6.20M,,-6.20M,,0.00,-31.90M,-38.10M,,,,18.00M,0.50M,,0.50M,,,,0.50M,19.00M,,0.00,0.10M,,0.00,,0.50M,,,,,,
1992-11,11.60M,,,0.30M,,,5.40M,5.40M,3.10M,,,1.90M,-5.50M,-0.70M,,2.50M,-0.10M,0.60M,,-3.20M,19.10M,,-8.10M,,-8.10M,,-19.40M,-2.90M,-30.40M,,,,-1.50M,0.10M,,0.10M,,,,-0.10M,-1.50M,,0.00,-12.80M,,0.00,,0.10M,,,,,,
1992-08,9.60M,,,0.50M,,,5.20M,5.20M,0.30M,,,1.90M,0.30M,1.00M,,3.50M,0.10M,-2.00M,,2.90M,20.40M,,-5.10M,,-5.10M,,-10.30M,-5.10M,-20.50M,,,,12.50M,,,,,,,0.30M,12.80M,,8.80M,12.70M,,0.00,,,,,,,,
1992-05,10.90M,,,-0.20M,,,5.40M,5.40M,1.40M,,,1.90M,-1.00M,1.20M,,0.50M,0.10M,2.00M,,2.80M,22.20M,,-10.70M,,-8.70M,,5.70M,-11.90M,-14.90M,,,,2.50M,0.00,,0.00,,,,-0.10M,-2.70M,,0.00,4.60M,,0.00,,0.00,,,,,,
1992-02,9.30M,,,0.20M,,,4.80M,4.80M,0.40M,,,1.40M,5.10M,-1.70M,,-2.20M,-0.20M,2.30M,,3.30M,19.40M,,-6.10M,,-6.10M,,-13.60M,-8.60M,-28.30M,,,,-0.40M,0.10M,,0.10M,,,,0.60M,0.30M,,0.00,-8.60M,,0.00,,0.10M,,,,,,
1991-11,9.90M,,,0.70M,,,5.20M,5.20M,0.70M,,,1.70M,-6.00M,0.10M,,0.80M,-0.20M,-1.20M,,-6.50M,11.70M,,-6.60M,,-6.60M,,2.10M,0.10M,-4.40M,,,,-4.30M,0.10M,,0.10M,,,,0.10M,-4.10M,,0.00,3.20M,,0.00,,0.10M,,,,,,
1991-08,6.40M,,,0.60M,,,4.00M,4.00M,-2.60M,,,4.40M,-0.80M,-5.10M,,2.90M,0.10M,,,-2.90M,9.90M,,-8.20M,,-8.20M,,3.70M,-0.10M,-4.60M,,,,-3.00M,0.10M,,0.10M,,,,0.10M,-2.80M,,5.50M,2.50M,,0.00,,0.10M,,,,,,
1991-05,9.20M,,,0.00,,,5.10M,5.10M,1.80M,,,1.60M,-1.60M,-4.90M,,-1.50M,0.00,-0.60M,,-8.60M,9.10M,,-11.40M,,-11.10M,,1.20M,3.40M,-6.50M,,,,0.50M,0.00,,0.00,,,,0.10M,-3.50M,,0.00,-0.90M,,0.00,,0.00,,,,,,
1991-02,7.50M,,,0.60M,,,4.50M,4.50M,0.00,,,1.60M,0.20M,-0.90M,,-1.90M,0.00,4.40M,,1.80M,16.00M,,-16.10M,,-16.10M,,6.70M,-2.00M,-11.40M,,,,-1.70M,0.00,,0.00,,,,0.10M,-1.60M,,0.00,3.00M,,0.00,,0.00,,,,,,
1990-11,7.60M,,,0.40M,,,3.40M,3.40M,1.10M,,,1.70M,-3.30M,-3.40M,,-1.00M,-0.50M,-0.40M,,-8.60M,5.60M,,-15.20M,,-15.20M,,5.20M,-13.30M,-23.30M,,,,15.90M,0.10M,,0.10M,,,,,16.00M,,0.00,-1.70M,,0.00,,0.10M,,,,,,
1990-08,7.10M,,,0.80M,,,3.40M,3.40M,0.10M,,,1.40M,0.60M,-0.60M,,3.70M,0.20M,-3.50M,,0.40M,13.20M,,-13.30M,,-13.30M,,-2.00M,-2.70M,-18.00M,,,,3.30M,0.10M,,0.10M,,,,,3.40M,,6.40M,-1.40M,,0.00,,0.10M,,,,,,
