,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2010-09,435.90M,500.40M,936.30M,523.30M,,523.30M,3.80M,0.50M,728.20M,732.50M,153.20M,,98.70M,,2.444B,,,,,,,,,,716.40M,999.70M,372.00M,1.372B,61.10M,,2.431B,4.875B,,2010-09,256.40M,,59.70M,316.10M,517.20M,833.30M,,,,,,,,,51.20M,51.20M,,,285.20M,,285.20M,,,,,532.80M,818.00M,1.702B,,2010-09,1.20M,3.222B,1.303B,1.545B,,,191.50M,3.172B,,2010-09,AOR,Restated
2010-06,345.80M,644.90M,990.70M,270.10M,,270.10M,7.00M,2.40M,620.20M,629.60M,168.90M,,101.70M,,2.161B,,,,,,,,,,675.20M,970.50M,355.40M,1.326B,71.90M,,2.338B,4.499B,,2010-06,220.60M,,69.50M,290.10M,393.00M,683.10M,,,,,,,,,51.00M,51.00M,,29.90M,261.70M,,261.70M,,,,,507.50M,769.20M,1.533B,,2010-06,1.20M,3.026B,1.266B,1.445B,,,116.50M,2.966B,,2010-06,AOR,Restated
2010-03,563.10M,584.10M,1.147B,381.90M,,383.20M,5.90M,1.30M,496.80M,504.00M,138.40M,,103.00M,,2.276B,0.00,9.90M,113.80M,854.30M,,102.50M,700.00M,1.780B,-1.083B,697.20M,986.60M,363.20M,1.350B,75.50M,,2.373B,4.649B,,2010-03,149.80M,,37.80M,187.60M,509.20M,696.80M,,,,,,,,,50.50M,50.50M,,,282.10M,38.20M,320.30M,279.80M,147.90M,,,37.00M,785.00M,1.532B,,2010-03,1.20M,2.915B,1.244B,1.198B,,,154.00M,3.117B,,2010-03,AOR,Restated
2009-12,973.80M,316.90M,1.291B,262.90M,,262.90M,4.60M,1.40M,539.10M,545.10M,139.10M,,112.60M,,2.350B,,,,,,,,,,644.00M,1.000B,342.90M,1.343B,43.30M,,2.301B,4.651B,,2009-12,154.70M,,72.90M,227.60M,527.40M,755.00M,,,,,,,,,,,,,298.30M,,298.30M,,,,,522.00M,820.30M,1.575B,,2009-12,1.10M,2.811B,1.197B,1.120B,,,187.40M,3.076B,,2009-12,AOR,Restated
2009-09,423.50M,502.20M,925.70M,482.40M,,482.40M,3.50M,1.00M,605.90M,610.40M,116.00M,,116.60M,,2.251B,,,,,,,,,,643.70M,989.00M,342.20M,1.331B,44.40M,,2.321B,4.572B,,2009-09,168.10M,,77.50M,245.60M,487.60M,733.20M,,,,,,,,,,,,,307.50M,,307.50M,,,,,535.70M,843.20M,1.576B,,2009-09,1.10M,2.710B,1.152B,1.041B,,,174.00M,2.996B,,2009-09,AOR,Restated
2009-06,620.80M,467.90M,1.089B,250.30M,,250.30M,5.30M,1.40M,605.70M,612.40M,137.20M,,117.50M,,2.206B,,,,,,,,,,631.70M,976.80M,345.70M,1.322B,,,2.295B,4.501B,,2009-06,166.80M,,58.20M,225.00M,537.20M,762.20M,,,,,,125.30M,,125.30M,,,,,292.50M,,292.50M,,,,,489.80M,782.30M,1.670B,,2009-06,1.10M,2.537B,1.128B,980.70M,,,144.80M,2.831B,,2009-06,AOR,Restated
2009-03,481.20M,338.70M,819.90M,474.90M,,474.90M,5.40M,1.70M,518.00M,525.10M,135.00M,,101.80M,,2.057B,0.00,9.90M,112.60M,796.10M,,49.60M,643.30M,1.612B,-959.90M,651.60M,966.40M,348.90M,1.315B,29.70M,,2.300B,4.356B,,2009-03,165.90M,,35.90M,201.80M,424.70M,626.50M,,,,,,,,,47.60M,47.60M,,,406.40M,38.40M,444.80M,,282.30M,,,220.20M,947.30M,1.621B,,2009-03,1.10M,2.466B,1.108B,966.70M,,,126.80M,2.735B,,2009-03,AOR,Restated
2008-12,574.30M,305.90M,880.20M,310.50M,,310.50M,4.60M,1.40M,579.10M,585.10M,145.40M,,83.00M,,2.004B,,,,,,,,1.493B,-799.60M,693.60M,976.20M,354.40M,1.331B,,,2.381B,4.385B,,2008-12,185.90M,,,185.90M,481.40M,667.30M,,,,,,,,,,,,54.00M,419.60M,,419.60M,,,,,550.00M,969.60M,1.691B,,2008-12,1.10M,2.426B,1.094B,966.70M,,,140.60M,2.694B,,2008-12,,Restated
2008-09,417.60M,92.30M,509.90M,531.10M,,531.10M,6.00M,0.40M,612.90M,619.30M,125.90M,,80.30M,,1.866B,,,,,,,,1.492B,-799.60M,692.40M,962.00M,350.80M,1.313B,,,2.410B,4.276B,,2008-09,221.30M,,,221.30M,467.40M,688.70M,,,,,,,,,,,,46.40M,439.20M,,439.20M,,,,,576.50M,1.016B,1.751B,,2008-09,1.10M,2.326B,1.066B,966.20M,,,98.70M,2.525B,,2008-09,,Restated
2008-06,553.80M,157.00M,710.80M,310.10M,,310.10M,9.30M,1.80M,557.00M,568.10M,132.50M,,77.30M,,1.799B,,,,,,,,1.506B,-799.60M,706.30M,977.20M,345.60M,1.323B,,,2.463B,4.262B,,2008-06,224.90M,,,224.90M,459.80M,684.70M,,,,,,,,,,,,29.50M,469.80M,,469.80M,,,,,593.20M,1.063B,1.777B,,2008-06,1.10M,2.170B,1.038B,847.90M,,,123.90M,2.484B,,2008-06,,Restated
2008-03,551.50M,74.30M,625.80M,508.40M,,508.40M,6.70M,1.70M,506.50M,514.90M,167.80M,,76.60M,,1.894B,0.00,9.90M,702.00M,740.90M,,56.70M,,1.510B,-799.60M,709.90M,975.10M,349.30M,1.324B,,,2.472B,4.366B,,2008-03,205.70M,,,205.70M,467.70M,673.40M,,,,,,206.40M,,206.40M,,,,28.80M,472.80M,73.20M,546.00M,,,,5.50M,515.70M,1.062B,1.970B,,2008-03,1.10M,2.079B,1.018B,820.90M,,,112.60M,2.390B,,2008-03,,
2007-12,804.40M,20.00M,824.40M,354.50M,,354.50M,5.60M,1.20M,574.40M,581.20M,108.10M,,57.50M,,1.926B,,,,,,,,1.506B,-828.20M,677.30M,951.80M,357.50M,1.309B,,,2.419B,4.345B,,2007-12,230.40M,,,230.40M,493.00M,723.40M,,,,,,179.80M,,179.80M,,,,6.70M,438.50M,,438.50M,,,,,596.20M,1.035B,1.945B,,2007-12,1.10M,1.981B,990.60M,662.50M,,,90.10M,2.400B,,2007-12,,
2007-09,473.00M,,473.00M,549.30M,,549.30M,5.60M,0.50M,629.60M,635.70M,96.70M,,57.40M,,1.812B,,,,,,,,1.475B,-828.20M,647.00M,940.90M,368.00M,1.309B,,,2.375B,4.188B,,2007-09,256.00M,,,256.00M,474.90M,730.90M,,,,,,178.20M,,178.20M,,,,,424.40M,,424.40M,,,,,611.20M,1.036B,1.945B,,2007-09,1.10M,1.873B,960.10M,662.00M,,,70.40M,2.243B,,2007-09,,
2007-06,643.20M,,643.20M,323.00M,,323.00M,6.80M,1.90M,596.00M,604.70M,99.20M,,36.10M,,1.706B,,,,,,,,1.450B,-828.20M,622.20M,922.50M,373.90M,1.296B,,,2.289B,3.995B,,2007-06,223.60M,,,223.60M,390.00M,613.60M,,,,,,166.50M,,166.50M,,,,12.60M,403.10M,,403.10M,,,,,571.50M,974.60M,1.767B,,2007-06,1.10M,1.763B,933.00M,509.30M,,,40.30M,2.228B,,2007-06,,
2007-03,563.90M,,563.90M,467.50M,,467.50M,8.40M,1.10M,517.40M,526.90M,83.20M,,44.40M,,1.686B,0.00,9.90M,627.20M,780.70M,,40.20M,,1.458B,-828.20M,629.80M,790.50M,297.70M,1.088B,,,2.072B,3.758B,,2007-03,174.70M,,,174.70M,351.00M,525.70M,,,,,,,,,40.00M,40.00M,,74.60M,398.80M,47.10M,445.90M,,,,4.00M,332.90M,778.80M,1.419B,,2007-03,1.10M,1.742B,872.50M,321.50M,115.30M,-74.80M,40.50M,2.335B,,2007-03,,
2006-12,751.80M,,751.80M,366.80M,,366.80M,8.20M,35.20M,440.50M,483.90M,74.50M,,37.80M,,1.715B,,,,,,,,1.282B,-724.30M,557.30M,710.00M,246.10M,956.10M,,,1.816B,3.531B,,2006-12,168.40M,,,168.40M,367.00M,535.40M,,,,,,,,,,,,69.50M,393.80M,,393.80M,20.50M,,,,205.40M,619.70M,1.225B,,2006-12,1.10M,1.691B,853.00M,281.50M,,,42.20M,2.306B,,2006-12,,
2006-09,321.00M,,321.00M,524.80M,,524.80M,8.20M,5.70M,572.50M,586.40M,69.00M,,32.40M,,1.534B,,,,,,,,1.273B,-724.30M,549.10M,705.50M,249.20M,954.70M,,,1.786B,3.320B,,2006-09,240.80M,,,240.80M,311.80M,552.60M,,,,,,289.10M,,289.10M,,,,70.90M,,,,20.10M,,,,188.50M,208.60M,1.121B,,2006-09,1.10M,1.586B,801.20M,219.30M,,,29.90M,2.199B,,2006-09,,
2006-06,429.20M,,429.20M,349.70M,,349.70M,9.50M,22.60M,493.50M,525.60M,102.30M,,33.60M,,1.440B,,,,,,,,1.266B,-724.30M,541.60M,705.40M,253.10M,958.50M,,,1.744B,3.185B,,2006-06,203.60M,,,203.60M,308.20M,511.80M,,,,,,291.00M,,291.00M,,,,86.00M,,,,20.50M,,,,183.50M,204.00M,1.093B,,2006-06,1.10M,1.454B,760.40M,156.10M,,,32.20M,2.092B,,2006-06,,
2006-03,285.70M,,285.70M,484.20M,,484.20M,6.00M,22.00M,457.50M,485.50M,90.70M,,32.40M,,1.378B,0.00,9.90M,534.50M,728.70M,,,,1.273B,-724.30M,548.80M,699.70M,258.50M,958.20M,,,1.710B,3.089B,,2006-03,202.20M,,,202.20M,314.30M,516.50M,,,,,,280.40M,,280.40M,,,,46.60M,,,,20.80M,,,,174.80M,195.60M,1.039B,,2006-03,1.10M,1.379B,783.60M,87.10M,,,-27.20M,2.050B,,2006-03,,
2005-12,643.87M,,643.87M,356.68M,,356.68M,5.53M,18.04M,419.69M,443.27M,79.30M,,70.39M,,1.594B,,,,,,,,1.083B,-565.07M,517.86M,,672.09M,672.09M,,,1.424B,3.017B,,2005-12,158.80M,,,158.80M,397.22M,556.01M,,,,,,260.78M,,260.78M,,,,55.37M,,,,,,,,,169.90M,1.042B,,2005-12,1.092M,1.317B,761.74M,83.28M,,,-21.61M,1.975B,,2005-12,,
2005-09,383.16M,,383.16M,458.65M,,458.65M,4.581M,24.05M,484.47M,513.10M,101.37M,,70.95M,,1.527B,,,,,,,,1.059B,-565.07M,494.14M,,675.41M,675.41M,,,1.386B,2.913B,,2005-09,192.87M,,,192.87M,384.76M,577.62M,,,,,,,,,,,,41.24M,267.66M,,267.66M,,,,,147.86M,415.52M,1.034B,,2005-09,1.091M,1.232B,747.35M,83.28M,,,-18.25M,1.879B,,2005-09,,
2005-06,522.33M,,522.33M,275.60M,,275.60M,8.478M,42.50M,416.63M,467.61M,111.22M,,70.73M,,1.447B,,,,,,,,1.054B,-565.07M,488.73M,,593.80M,593.80M,,,1.296B,2.744B,,2005-06,160.32M,,,160.32M,375.74M,536.07M,,,,,,,,,,,,55.69M,269.15M,,269.15M,,,,,139.78M,408.93M,1.001B,,2005-06,1.099M,1.133B,715.78M,81.63M,,,-25.18M,1.743B,,2005-06,,
2005-03,350.50M,,350.50M,455.70M,,455.70M,5.30M,8.30M,416.50M,430.10M,102.70M,,74.80M,,1.414B,0.00,9.90M,470.30M,619.20M,,,,1.099B,-611.50M,487.90M,558.90M,47.00M,605.90M,,,1.313B,2.727B,,2005-03,184.40M,,,184.40M,365.90M,550.30M,,,,,,,,,,,,72.10M,291.00M,,291.00M,,,,,137.60M,428.60M,1.051B,,2005-03,1.10M,1.090B,664.30M,80.00M,,,,1.676B,,2005-03,,
2004-12,362.93M,,362.93M,334.35M,,334.35M,5.53M,7.215M,412.33M,425.07M,105.77M,,36.01M,,1.264B,,,,,,,,947.27M,-479.93M,467.34M,,616.36M,616.36M,,,1.326B,2.590B,,2004-12,154.45M,,,154.45M,303.15M,457.60M,,,,,,,,,,,,71.66M,307.98M,,307.98M,,,,,99.60M,407.58M,936.84M,,2004-12,1.08M,1.079B,647.72M,80.03M,,,4.966M,1.653B,,2004-12,,
2004-09,145.98M,,145.98M,428.42M,,428.42M,4.825M,5.297M,434.05M,444.18M,71.23M,,22.27M,,1.112B,,,,,,,,923.49M,-479.93M,443.56M,,598.24M,598.24M,,,1.287B,2.400B,,2004-09,160.75M,,,160.75M,247.06M,407.81M,,,,,,,,,,,,80.20M,280.95M,,280.95M,,,,,90.25M,371.20M,859.21M,,2004-09,1.073M,1.010B,619.87M,80.03M,,,-10.29M,1.540B,,2004-09,,
2004-06,174.91M,,174.91M,262.33M,,262.33M,5.326M,7.416M,405.31M,418.05M,74.59M,,24.85M,,954.73M,,,,,,,,900.08M,-479.93M,420.15M,,597.29M,597.29M,,,1.262B,2.216B,,2004-06,129.33M,,,129.33M,246.32M,375.66M,,,,,,,,,,,,40.13M,278.98M,,278.98M,,,,,76.83M,355.81M,771.60M,,2004-06,1.065M,934.41M,599.28M,79.34M,,,-10.66M,1.445B,,2004-06,,
2004-03,352.34M,,352.34M,441.72M,,441.72M,5.516M,4.669M,362.98M,373.17M,98.36M,,21.56M,,1.287B,0.00,3.725M,370.95M,532.74M,,,,907.42M,-498.68M,408.74M,,359.24M,359.24M,,,1.010B,2.298B,,2004-03,188.92M,,,188.92M,236.72M,425.64M,,,,,,,,,,1.821M,1.821M,77.74M,277.34M,,277.34M,,,,,99.56M,376.90M,882.10M,,2004-03,1.053M,921.60M,563.46M,78.98M,,,8.31M,1.415B,,2004-03,,
2003-12,337.70M,,337.70M,292.25M,,292.25M,6.183M,7.279M,408.79M,422.25M,88.02M,,31.08M,,1.171B,,,,780.52M,,,,780.52M,-407.80M,372.72M,,353.60M,353.60M,,,959.86M,2.131B,,2003-12,167.32M,,,167.32M,256.84M,424.16M,,,,,,,,,,,,54.85M,284.75M,,284.75M,,,,,76.38M,361.13M,840.13M,,2003-12,1.044M,855.89M,538.09M,78.98M,,,-25.02M,1.291B,,2003-12,,
2003-09,210.64M,,210.64M,371.59M,,371.59M,5.417M,6.184M,389.14M,400.74M,106.11M,,23.43M,,1.113B,,,,765.73M,,,,765.73M,-407.80M,357.92M,,339.83M,339.83M,,,923.32M,2.036B,,2003-09,162.87M,,,162.87M,208.96M,371.83M,,,,,,,,,,,,58.62M,264.02M,,264.02M,,,,,69.97M,333.99M,764.44M,,2003-09,1.04M,825.51M,530.65M,78.74M,,,-7.084M,1.271B,,2003-09,,
2003-06,287.47M,,287.47M,250.00M,,250.00M,5.559M,6.442M,418.10M,430.10M,84.17M,,20.49M,,1.072B,,,,760.04M,,,,760.04M,-407.80M,352.23M,,341.61M,341.61M,,,901.19M,1.973B,,2003-06,188.22M,,,188.22M,147.49M,335.71M,,,,,,50.09M,,50.09M,,,,38.02M,265.07M,,265.07M,,,,,65.63M,330.70M,754.52M,,2003-06,1.035M,776.47M,521.50M,78.17M,,,-1.929M,1.219B,,2003-06,,
2003-03,343.61M,,343.61M,375.82M,,375.82M,4.214M,4.536M,355.02M,363.77M,67.07M,,15.74M,,1.166B,0.00,3.725M,316.94M,442.14M,,,,762.80M,-407.80M,355.00M,,326.96M,326.96M,,,872.82M,2.039B,,2003-03,181.39M,,,181.39M,162.51M,343.90M,,,,,,100.94M,,100.94M,,,,55.50M,248.49M,,248.49M,,,,,81.21M,329.71M,830.06M,,2003-03,1.028M,776.36M,504.70M,77.93M,,,4.608M,1.209B,,2003-03,,
2002-12,441.58M,,441.58M,262.56M,,262.56M,7.754M,5.44M,326.88M,340.08M,64.08M,,8.901M,,1.117B,,,,,,,,703.36M,-359.82M,343.54M,295.38M,,295.38M,,,786.63M,1.904B,,2002-12,144.95M,,,144.95M,150.93M,295.88M,,,,,,105.75M,,105.75M,,,,67.30M,238.13M,,238.13M,,,,,75.70M,313.83M,782.76M,,2002-12,1.028M,703.14M,503.00M,73.71M,,,-12.39M,1.121B,,2002-12,,
2002-09,355.48M,,355.48M,290.70M,,290.70M,8.745M,6.299M,386.48M,401.52M,58.99M,,18.99M,,1.126B,,,,,,,,703.85M,-359.82M,344.03M,284.62M,,284.62M,,,767.29M,1.893B,,2002-09,173.79M,,,173.79M,151.16M,324.94M,,120.44M,,,,120.44M,,120.44M,,,,83.56M,226.58M,,226.58M,,,,,79.45M,306.02M,834.97M,,2002-09,1.027M,660.33M,501.44M,73.56M,,,-31.25M,1.058B,,2002-09,,
2002-06,371.62M,,371.62M,208.36M,,208.36M,9.066M,8.541M,367.26M,384.86M,52.86M,,21.09M,,1.039B,,,,,,,,701.34M,-359.82M,341.52M,,289.43M,289.43M,,,763.82M,1.803B,,2002-06,159.95M,,,159.95M,148.39M,308.34M,,,,,,124.89M,,124.89M,,,,58.61M,225.48M,,225.48M,,,,,79.09M,304.56M,796.40M,,2002-06,1.023M,608.58M,494.40M,73.56M,,,-24.24M,1.006B,,2002-06,,
2002-03,238.77M,,238.77M,353.61M,,353.61M,3.874M,5.469M,340.48M,349.82M,47.96M,,17.90M,,1.008B,0.00,3.72M,335.98M,363.95M,,,,703.66M,-359.82M,343.84M,273.35M,,273.35M,,,741.44M,1.749B,,2002-03,177.47M,,,177.47M,128.49M,305.96M,,32.99M,,,,32.99M,,32.99M,,,,52.82M,285.41M,,285.41M,,,,,74.12M,359.53M,751.30M,,2002-03,1.021M,602.12M,490.34M,73.25M,,,-22.04M,998.20M,,2002-03,,
2001-12,294.57M,,294.57M,245.62M,,245.62M,2.826M,5.868M,346.46M,355.15M,43.01M,,34.28M,,972.62M,,,,,,,,610.82M,-276.00M,334.82M,,280.76M,280.76M,,,769.13M,1.742B,,2001-12,195.26M,,,195.26M,96.82M,292.07M,,,,,,73.92M,,73.92M,,,,36.94M,298.03M,,298.03M,,,,,93.39M,391.42M,794.36M,,2001-12,1.016M,554.49M,479.82M,73.25M,,,-14.69M,947.39M,,2001-12,,
2001-09,141.10M,30.65M,171.75M,279.62M,,279.62M,4.276M,7.366M,407.87M,419.51M,52.95M,,34.76M,,958.60M,,,,,,,,601.32M,-276.00M,325.33M,,246.05M,246.05M,,,723.85M,1.682B,,2001-09,176.93M,,,176.93M,111.67M,288.60M,,58.10M,,,,58.10M,,58.10M,,,,44.07M,305.55M,,305.55M,,,,,84.19M,389.74M,780.50M,,2001-09,1.014M,508.91M,475.68M,73.25M,,,-10.41M,901.94M,,2001-09,,
2001-06,76.66M,52.94M,129.60M,237.04M,,237.04M,5.853M,8.476M,433.79M,448.12M,55.41M,,28.61M,,898.78M,,,,,,,,600.35M,-276.00M,324.36M,,244.70M,244.70M,,,718.51M,1.617B,,2001-06,224.16M,,,224.16M,128.67M,352.83M,,36.37M,,,,36.37M,,36.37M,,,,,290.13M,,290.13M,,,,,80.20M,370.33M,759.53M,,2001-06,1.013M,461.10M,473.91M,71.18M,,,-7.076M,857.76M,,2001-06,,
2001-03,102.22M,,102.22M,269.01M,,269.01M,7.024M,6.251M,412.32M,425.59M,73.65M,,31.24M,,901.72M,0.00,3.408M,314.86M,286.66M,,,,604.92M,-276.00M,328.93M,249.39M,,249.39M,,,724.37M,1.626B,,2001-03,178.29M,,,178.29M,175.17M,353.46M,,86.11M,,,,86.11M,,86.11M,,,,,296.99M,,296.99M,,,,,80.22M,377.21M,816.78M,,2001-03,1.009M,430.05M,463.00M,71.18M,,,-13.57M,809.31M,,2001-03,,
2000-12,87.01M,70.31M,157.33M,,,211.67M,,,,401.86M,,,,105.12M,875.98M,,,,,,,,561.86M,-251.12M,310.74M,,253.26M,253.26M,,,694.36M,1.570B,,2000-12,145.80M,,,145.80M,,145.80M,,,,,,84.71M,,84.71M,,,,147.97M,328.93M,,328.93M,,,,,98.49M,427.42M,805.91M,,2000-12,1.005M,382.55M,452.48M,71.18M,,,-0.421M,764.44M,,2000-12,,
2000-09,79.43M,66.25M,145.68M,,,226.24M,,,,433.61M,,,,100.36M,905.89M,,,,,,,,557.25M,-251.12M,306.12M,,262.00M,262.00M,,,693.25M,1.599B,,2000-09,158.57M,,,158.57M,,158.57M,,,,,,126.25M,,126.25M,,,,164.46M,322.74M,,322.74M,,,,,100.25M,423.00M,872.27M,,2000-09,1.005M,331.95M,452.03M,67.82M,,,9.716M,726.87M,,2000-09,,
2000-06,139.91M,,139.91M,,,172.06M,,,,446.62M,,,,89.45M,848.04M,,,,,,,,608.00M,-232.93M,375.07M,,271.25M,271.25M,,,761.00M,1.609B,,2000-06,175.57M,,,175.57M,,175.57M,,,,,,67.42M,,67.42M,,,,127.87M,343.37M,,343.37M,,,,,111.66M,455.03M,825.88M,,2000-06,1.005M,394.77M,452.03M,65.34M,,,0.696M,783.15M,,2000-06,,
2000-03,164.57M,,164.57M,204.45M,,204.45M,,,,390.95M,,,,92.92M,852.89M,,,,,,,,605.90M,-232.93M,372.98M,,277.82M,277.82M,,,767.67M,1.621B,,2000-03,151.28M,,,151.28M,,151.28M,,,,,,86.13M,,86.13M,,,,168.82M,342.71M,,342.71M,,,,,99.19M,441.90M,848.12M,,2000-03,1.004M,370.78M,450.03M,57.35M,,,7.964M,772.44M,,2000-03,,
1999-12,345.30M,,345.30M,,,128.90M,,,,343.20M,,,,81.40M,898.80M,,,,,,,,547.70M,-212.80M,334.90M,,76.90M,76.90M,,,520.90M,1.420B,,1999-12,82.70M,,,82.70M,,82.70M,,,,,,25.00M,,25.00M,,,,128.20M,356.70M,,356.70M,,,,,73.30M,430.00M,665.90M,,1999-12,1.00M,339.00M,450.00M,36.80M,,,0.60M,753.80M,,1999-12,,
1999-09,42.40M,,42.40M,,,212.30M,,,,420.80M,,,,85.70M,761.20M,,,,,,,,519.00M,-192.90M,326.10M,,76.00M,76.00M,,,503.10M,1.264B,,1999-09,107.20M,,,107.20M,,107.20M,,,,,,154.80M,,154.80M,,,,125.60M,80.00M,,80.00M,,,,,71.70M,151.70M,539.30M,,1999-09,1.00M,306.70M,450.00M,30.10M,,,-2.70M,725.00M,,1999-09,,
1999-06,44.10M,,44.10M,,,148.70M,,,,426.50M,,,,85.90M,705.20M,,,,,,,,475.70M,-176.40M,299.30M,,77.20M,77.20M,,,473.50M,1.179B,,1999-06,99.70M,,,99.70M,,99.70M,,,,,,125.50M,,125.50M,,,,128.00M,80.00M,,80.00M,,,,,68.30M,148.30M,501.50M,,1999-06,,251.40M,,,,,,677.20M,,1999-06,,
1999-03,44.46M,,44.46M,,,157.20M,,,,376.86M,,,,100.93M,679.45M,,,,,,,,413.70M,-151.90M,261.80M,,27.46M,27.46M,,,425.13M,1.105B,,1999-03,88.90M,,,88.90M,,88.90M,,,,,,115.50M,,115.50M,,,,143.57M,44.22M,,44.22M,,,,,53.49M,97.71M,445.68M,,1999-03,1.004M,227.29M,450.03M,16.08M,,,-3.333M,658.90M,,1999-03,,
1998-12,21.10M,,21.10M,,,133.00M,,,,380.10M,,,,63.50M,597.70M,,,,,,,,404.40M,-156.80M,247.60M,,,,,,366.40M,964.10M,,1998-12,84.60M,,,84.60M,,84.60M,,,,,,40.00M,,40.00M,,,,121.30M,,,,,,,,,51.90M,297.80M,,1998-12,,234.70M,,,,,,666.30M,,1998-12,,
1998-09,46.50M,,46.50M,,,170.50M,,,,398.30M,,,,56.10M,671.40M,,,,,,,,376.00M,-146.20M,229.80M,,,,,,344.40M,1.016B,,1998-09,132.80M,,,132.80M,,132.80M,,,,,,79.70M,,79.70M,,,,116.40M,,,,,,,,,45.90M,374.80M,,1998-09,,209.40M,,,,,,641.00M,,1998-09,,
1998-06,35.20M,,35.20M,,,111.80M,,,,357.70M,,,,54.20M,558.90M,,,,,,,,318.40M,-133.10M,185.30M,,,,,,283.60M,842.50M,,1998-06,92.50M,,,92.50M,,92.50M,,,,,,3.00M,,3.00M,,,,106.10M,,,,,,,,,41.10M,242.70M,,1998-06,,159.40M,,,,,,599.80M,,1998-06,,
