,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-03,633.09M,633.09M,321.30M,311.79M,216.75M,,,-14.38M,,,,,216.75M,95.04M,,,,-14.38M,,76.84M,28.81M,48.02M,,,48.02M,20.68M,95.04M,,2002-03,0.49,0.5819,0.49,,2002-03,0.49,0.5810,0.49,,98.79M,,,2002-03,,
2001-12,617.10M,617.10M,330.09M,287.01M,212.56M,,,3.036M,,,,,212.56M,74.45M,,,,3.036M,,72.98M,27.37M,45.61M,,,45.61M,18.50M,74.45M,,2001-12,0.47,0.4505,0.47,,2001-12,0.46,0.4407,0.46,,98.50M,,,2001-12,,
2001-09,595.70M,595.70M,310.06M,285.64M,199.51M,,,-5.664M,,,,,199.51M,86.13M,,,,-5.664M,,75.69M,27.88M,47.81M,,,47.81M,23.81M,86.13M,,2001-09,0.49,0.5267,0.49,,2001-09,0.49,0.5263,0.49,,98.48M,,,2001-09,,
2001-06,517.83M,517.83M,255.47M,262.36M,208.77M,,,2.827M,,,,,208.77M,53.59M,,,,2.827M,,50.49M,19.44M,31.05M,,,31.05M,20.92M,53.59M,,2001-06,0.32,0.3021,0.32,,2001-06,0.3153,0.2976,0.3153,,98.49M,,,2001-06,,
2001-03,538.52M,538.52M,275.67M,262.85M,189.08M,,,10.86M,,,,,189.08M,73.76M,,,,10.86M,,78.51M,31.01M,47.50M,,,47.50M,18.52M,73.76M,,2001-03,0.47,0.4021,0.47,,2001-03,0.46,0.3930,0.46,,98.05M,,,2001-03,,
2000-12,613.74M,613.74M,316.22M,297.52M,208.17M,,,,,,,,208.17M,89.35M,,,,,,83.64M,33.04M,50.60M,,,50.60M,18.94M,89.35M,,2000-12,0.52,0.52,0.52,,2000-12,0.52,0.52,0.52,,97.35M,,,2000-12,,
2000-09,586.22M,586.22M,336.08M,250.13M,218.62M,,,-128.57M,,,,128.57M,347.19M,-97.06M,,,,-128.57M,,-103.84M,-41.02M,-62.82M,,,-62.82M,20.82M,-97.06M,,2000-09,-0.65,0.1543,-0.65,,2000-09,-0.65,0.1498,-0.65,,97.26M,,,2000-09,,
2000-06,487.30M,487.30M,234.75M,252.55M,206.40M,,,,,,,,206.40M,46.15M,,,,,,39.64M,15.66M,23.98M,,,23.98M,20.33M,46.15M,,2000-06,0.25,0.25,0.25,,2000-06,0.25,0.25,0.25,,97.35M,,,2000-06,,
2000-03,472.63M,472.63M,292.79M,179.84M,168.13M,,,,,,,,115.03M,64.81M,,,,,,53.59M,21.82M,31.76M,0.033M,,31.80M,13.18M,64.81M,,2000-03,0.32,0.32,0.32,,2000-03,0.32,0.32,0.32,,98.24M,,,2000-03,,
1999-12,508.80M,508.80M,249.90M,258.90M,181.70M,,,1.50M,,,,,202.50M,56.40M,,,,1.50M,,54.50M,22.20M,32.30M,,,32.30M,20.80M,56.40M,,1999-12,0.33,0.3209,0.33,,1999-12,0.3265,0.3174,0.3265,,98.94M,,,1999-12,,
1999-09,541.80M,541.80M,253.60M,288.20M,172.30M,,,2.00M,,,,,193.20M,95.00M,,,,2.00M,,93.40M,38.10M,55.30M,,,55.30M,20.90M,95.00M,,1999-09,0.56,0.5478,0.56,,1999-09,0.56,0.5478,0.56,,98.75M,,,1999-09,,
1999-06,432.35M,432.35M,206.00M,226.35M,167.10M,,,2.10M,,,,,178.50M,47.85M,,,,2.10M,,47.40M,19.30M,28.10M,-4.00M,,24.10M,11.40M,47.85M,,1999-06,0.28,0.2675,0.24,,1999-06,0.28,0.2675,0.24,,100.42M,,,1999-06,,
1999-03,248.85M,456.86M,233.57M,223.29M,151.33M,,,138.35M,,,,,118.03M,105.26M,,,,138.35M,,-12.57M,-5.124M,-7.45M,,,-7.45M,13.11M,105.26M,,1999-03,-0.07,-0.9063,-0.07,,1999-03,-0.07,-0.9010,-0.07,,99.89M,,,1999-03,,
1998-12,444.60M,444.60M,229.50M,215.10M,163.00M,,,2.90M,,,,,174.20M,40.90M,,,,2.90M,,42.80M,17.40M,25.40M,,,25.40M,11.20M,40.90M,,1998-12,0.25,0.2329,0.25,,1998-12,0.25,0.2329,0.25,,101.60M,,,1998-12,,
1998-09,471.00M,471.00M,229.80M,241.20M,148.80M,,,3.80M,,,,,160.10M,81.10M,,,,3.80M,,84.20M,34.30M,49.90M,,,49.90M,11.30M,81.10M,,1998-09,0.50,0.4772,0.50,,1998-09,0.50,0.4772,0.50,,99.80M,,,1998-09,,
1998-06,354.40M,354.40M,165.40M,189.00M,145.00M,,,4.30M,,,,,155.80M,33.20M,,,,4.30M,,38.30M,15.60M,22.70M,,,22.70M,10.80M,33.20M,,1998-06,0.23,0.2039,0.23,,1998-06,0.23,0.2039,0.23,,98.70M,,,1998-06,,
