,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-06,1.775B,1.775B,281.61M,1.493B,,52.00M,,-41.96M,86.59M,,,,,497.61M,995.32M,,,,-41.96M,,934.96M,346.93M,588.03M,,,,1.42M,588.03M,614.42M,1.354B,359.01M,995.32M,,1.79,0.00,,1.871,1.79,,1.76,0.00,,1.839,1.76,,327.72M,333.30M,0.08,,,
2005-03,1.662B,1.662B,256.95M,1.405B,,50.41M,,-26.32M,72.19M,,,,,462.01M,943.33M,,,,-26.32M,,898.58M,338.10M,560.48M,,,,1.42M,560.48M,576.90M,1.283B,339.41M,943.33M,,1.70,0.00,,1.750,1.70,,1.67,0.00,,1.719,1.67,,328.86M,334.77M,0.08,,,
2004-12,1.535B,1.535B,269.55M,1.265B,,49.37M,,-13.34M,16.06M,,,,,392.10M,873.25M,,,,-13.34M,,826.99M,317.25M,509.74M,,,,1.42M,508.43M,517.97M,1.202B,329.14M,873.25M,,1.55,0.00,,1.575,1.55,,1.53,-0.01,,1.555,1.52,,327.41M,334.43M,0.08,,,
2004-09,1.407B,1.407B,229.27M,1.178B,,38.58M,,-11.07M,47.15M,,,,,399.25M,778.48M,,,,-11.07M,,738.56M,308.08M,430.48M,,,,1.42M,430.48M,437.12M,1.092B,313.52M,778.48M,,1.31,0.00,,1.330,1.31,,1.30,0.00,,1.320,1.30,,327.52M,330.04M,0.06,,,
2004-06,1.241B,1.241B,219.94M,1.021B,,39.18M,,-153.32M,21.60M,,,,,357.11M,663.68M,,,,-153.32M,,554.60M,171.08M,383.53M,,,,1.42M,383.53M,489.55M,960.02M,295.74M,663.68M,,1.17,0.00,,1.495,1.17,,1.16,0.00,,1.482,1.16,,326.59M,329.40M,0.06,,,
2004-03,1.150B,1.150B,227.87M,922.07M,,46.06M,,-10.76M,8.948M,,,,,341.80M,580.27M,,,,-10.76M,,542.93M,196.60M,346.32M,,,,1.42M,346.32M,353.19M,867.06M,286.23M,580.27M,,1.06,0.00,,1.081,1.06,,1.05,0.00,,1.071,1.05,,325.38M,328.48M,0.06,,,
2003-12,1.065B,1.065B,201.19M,863.60M,,45.43M,,-46.95M,22.91M,,,,,362.57M,501.03M,,,,-46.95M,,451.74M,190.12M,261.61M,,0.00,,1.42M,261.61M,289.79M,796.89M,295.86M,501.03M,,0.805,-0.005,0.00,0.8917,0.80,,0.795,-0.005,-0.0002,0.8811,0.795,,324.98M,327.11M,0.06,,,
2003-09,1.105B,1.105B,211.52M,893.02M,,34.69M,,-22.68M,41.59M,,,,,369.72M,523.30M,,,,-22.68M,,476.66M,199.70M,276.96M,,,,1.42M,276.96M,290.57M,816.74M,292.88M,523.30M,,0.85,0.00,,0.8920,0.85,,0.845,0.00,,0.8867,0.845,,324.17M,326.08M,0.05,,,
2003-06,1.054B,1.054B,201.42M,852.94M,,30.57M,,-20.89M,32.74M,,,,,336.21M,516.73M,,,,-20.89M,,474.57M,230.19M,244.38M,,,,1.42M,244.38M,256.92M,789.62M,272.36M,516.73M,,0.75,0.00,,0.7887,0.75,,0.745,0.00,,0.7834,0.745,,323.95M,326.12M,0.05,,,
2003-03,966.61M,966.61M,146.00M,820.61M,,27.83M,,-10.63M,24.55M,,,,,267.26M,553.35M,,,,-10.63M,,519.28M,206.99M,312.30M,,26.63M,,1.42M,338.93M,318.69M,768.23M,214.35M,553.35M,,0.975,0.085,0.00,0.9951,1.06,,0.97,0.08,0.0829,0.9899,1.05,,318.40M,321.44M,0.0476,,,
2002-12,730.25M,730.25M,128.56M,601.69M,,25.76M,,-60.37M,17.70M,,,,,257.24M,344.45M,,,,-60.37M,,298.16M,117.34M,180.82M,,,,1.42M,180.82M,217.43M,558.24M,203.36M,344.45M,,0.5967,0.00,,0.7178,0.5967,,0.5857,0.00,,0.7045,0.5857,,302.32M,308.23M,0.0476,,,
2002-09,645.19M,645.19M,127.16M,518.02M,,25.46M,,10.03M,15.08M,,,,,249.86M,268.16M,,,,10.03M,,236.70M,90.17M,146.53M,,,,1.406M,146.53M,140.32M,479.16M,211.00M,268.16M,,0.4810,0.00,,0.4604,0.4810,,0.4762,0.00,,0.4558,0.4762,,301.74M,304.76M,0.0476,,,
2002-06,656.32M,656.32M,123.20M,533.12M,,28.02M,,,17.34M,,,,,256.62M,276.50M,,,,,,241.40M,95.10M,146.31M,,,,3.081M,146.31M,146.31M,487.76M,203.73M,276.50M,,0.4617,0.00,,0.4617,0.4617,,0.4522,0.00,,0.4522,0.4522,,310.53M,319.46M,0.0476,,,
2002-03,528.00M,528.00M,120.54M,407.46M,,25.35M,,-9.20M,14.20M,,,,,250.92M,156.54M,,,,-9.20M,,122.71M,42.04M,80.67M,,,,4.908M,80.67M,86.72M,367.91M,203.95M,156.54M,,0.2523,0.00,,0.2732,0.2523,,0.2475,0.00,,0.2683,0.2475,,288.43M,291.65M,0.0476,,,
2001-12,505.01M,505.01M,88.20M,416.81M,,22.35M,,-44.39M,11.63M,,,,,256.94M,159.87M,,,,-44.39M,,128.62M,50.00M,78.62M,,,,4.908M,78.62M,105.75M,382.83M,155.06M,159.87M,,0.1437,0.00,,0.2225,0.1437,,0.1437,0.00,,0.2224,0.1437,,344.57M,344.57M,0.0433,,,
2001-09,659.92M,659.92M,110.79M,549.12M,,22.79M,,15.52M,16.66M,,,,,257.56M,291.56M,,,,15.52M,,261.74M,104.91M,156.83M,,,,4.908M,156.83M,147.52M,509.67M,217.02M,291.56M,,0.5284,0.00,,0.4961,0.5284,,0.5141,0.00,,0.4833,0.5141,,288.21M,303.00M,0.00,,,
2001-06,800.44M,800.44M,101.42M,699.02M,,23.19M,,-130.00M,20.25M,,,,,252.62M,446.40M,,,,-130.00M,,347.30M,141.56M,205.74M,,,,4.877M,205.74M,283.74M,655.58M,208.65M,446.40M,,0.6926,0.00,,0.9616,0.6926,,0.6710,0.00,,0.9316,0.6710,,290.00M,299.36M,0.00,,,
2001-03,795.14M,795.14M,90.11M,705.04M,,20.38M,,15.08M,21.29M,,,,,214.70M,490.34M,,,,15.08M,,461.58M,179.38M,282.20M,,,,4.908M,282.20M,272.98M,663.37M,172.53M,490.34M,,0.9697,0.00,,0.9374,0.9697,,0.9307,0.00,,0.8998,0.9307,,285.96M,297.93M,0.00,,,
2000-12,725.15M,725.15M,32.68M,692.46M,,26.28M,,43.11M,,,,,,244.39M,448.07M,,,,43.11M,,413.26M,168.02M,245.24M,,,,4.908M,245.24M,219.37M,607.00M,158.94M,448.07M,,0.8517,0.00,,0.7615,0.8517,,0.8236,0.00,,0.7365,0.8236,,286.96M,296.92M,0.0606,,,
2000-09,625.06M,625.06M,82.53M,542.53M,,18.09M,,-0.446M,,,,,,172.48M,370.05M,,,,-0.446M,,342.39M,136.21M,206.18M,,,,4.908M,206.18M,206.45M,526.17M,156.12M,370.05M,,0.7229,0.00,,0.7239,0.7229,,0.6970,0.00,,0.6979,0.6970,,278.40M,288.78M,0.00,,,
2000-06,486.41M,486.41M,58.49M,427.92M,,16.59M,,,11.12M,,,,,164.50M,263.42M,,,,,,237.19M,92.96M,144.23M,,,,4.908M,144.23M,144.23M,400.21M,135.06M,263.42M,,0.5322,0.00,,0.5322,0.5322,,0.5149,0.00,,0.5149,0.5149,,263.35M,278.94M,0.00,,,
2000-03,446.12M,446.12M,70.43M,375.69M,,14.65M,,1.025M,,,,,,148.08M,227.61M,,,,1.025M,,201.63M,85.32M,116.30M,,,,5.264M,116.30M,115.69M,361.04M,133.43M,227.61M,,0.4242,0.00,,0.4219,0.4242,,0.4156,0.00,,0.4133,0.4156,,261.74M,267.19M,0.0303,,,
1999-12,291.85M,291.85M,-71.82M,363.68M,,16.09M,,,,,,,,175.04M,188.64M,,,,,,162.77M,65.32M,97.46M,,,,4.90M,97.46M,97.46M,315.18M,126.54M,188.64M,,0.3989,0.00,,0.3989,0.3989,,0.3985,0.00,,0.3985,0.3985,,191.11M,191.11M,0.0303,,,
1999-09,385.40M,385.40M,105.10M,280.30M,,15.20M,,,,,,,,135.50M,144.80M,,,,,,125.60M,52.80M,72.80M,,,,4.90M,72.80M,72.80M,265.10M,120.26M,144.80M,,0.2321,0.00,,0.2321,0.2321,,0.2321,0.00,,0.2321,0.2321,,292.61M,292.61M,0.0303,,,
1999-06,246.42M,246.42M,51.12M,195.30M,,12.13M,,,,,,,,118.63M,76.66M,,,,,,57.46M,24.69M,32.77M,,,,3.136M,32.77M,32.77M,183.20M,106.54M,76.66M,,0.1212,0.00,,0.1212,0.1212,,0.1212,0.00,,0.1212,0.1212,,243.98M,244.71M,0.0303,,,
1999-03,187.70M,187.70M,71.00M,116.70M,,10.30M,,0.40M,,,,,,99.80M,16.90M,,,,0.40M,,-1.30M,0.90M,-2.20M,,,,1.40M,-2.20M,-2.44M,106.40M,89.50M,16.90M,,-0.0173,0.00,,-0.0182,-0.0173,,-0.0173,0.00,,-0.0182,-0.0173,,263.46M,263.46M,0.0303,,,
1998-12,82.67M,82.67M,-62.96M,145.63M,,6.731M,,,,,,,,367.36M,-221.73M,,,,,,-241.56M,-82.38M,-159.19M,,,,1.40M,-159.19M,-159.19M,110.26M,331.98M,-221.73M,,-0.7096,0.00,,-0.7096,-0.7096,,-0.7096,0.00,,-0.7096,-0.7096,,231.58M,231.58M,0.0303,,,
1998-09,211.70M,211.70M,78.30M,133.40M,,13.90M,,,,,,,,109.80M,23.60M,,,,,,7.40M,4.20M,3.20M,,,,0.60M,3.20M,3.20M,119.50M,95.90M,23.60M,,0.0130,0.00,,0.0130,0.0130,,0.0130,0.00,,0.0130,0.0130,,200.29M,200.29M,0.0303,,,
1998-06,220.10M,220.10M,79.00M,141.10M,,10.20M,,1.60M,,,,,,108.60M,32.50M,,,,1.60M,,16.40M,7.20M,9.20M,,,,,9.20M,8.24M,130.90M,98.40M,32.50M,,0.0354,0.00,,0.0317,0.0354,,0.0354,0.00,,0.0317,0.0354,,259.90M,259.90M,0.0303,,,
1998-03,245.90M,245.90M,87.80M,158.10M,,10.00M,,0.80M,,,,,,109.70M,48.40M,,,,0.80M,,30.20M,12.80M,17.40M,,,,,17.40M,16.92M,148.10M,99.70M,48.40M,,0.0779,0.00,,0.0757,0.0779,,0.0779,0.00,,0.0757,0.0779,,223.41M,223.41M,0.0303,,,
1997-12,323.30M,323.30M,114.70M,208.60M,,11.40M,,-3.20M,,,,,,113.80M,94.80M,,,,-3.20M,,75.40M,29.90M,45.50M,,,,,45.50M,47.43M,197.20M,102.40M,94.80M,,0.2604,0.00,,0.2730,0.2604,,0.2541,0.00,,0.2666,0.2541,,153.02M,154.23M,0.0303,,,
1997-09,276.70M,276.70M,97.50M,179.20M,,8.70M,,0.40M,,,,,,108.80M,70.40M,,,,0.40M,,51.50M,20.70M,30.80M,,,,,30.80M,30.56M,170.50M,100.10M,70.40M,,0.1337,0.00,,0.1327,0.1337,,0.1298,0.00,,0.1288,0.1298,,230.32M,237.30M,0.0303,,,
1997-06,258.00M,258.00M,96.60M,161.40M,,8.90M,,1.60M,,,,,,103.60M,57.80M,,,,1.60M,,43.60M,17.90M,25.70M,,,,,25.70M,24.74M,152.60M,94.80M,57.80M,,0.1141,0.00,,0.1098,0.1141,,0.1101,0.00,,0.1060,0.1101,,225.32M,233.37M,0.0303,,,
1997-03,322.50M,322.50M,119.30M,203.20M,,9.10M,,-0.30M,,,,,,99.70M,103.50M,,,,-0.30M,,88.10M,35.20M,52.90M,,,,,52.90M,53.08M,194.10M,90.60M,103.50M,,0.2321,0.00,,0.2328,0.2321,,0.2203,0.00,,0.2210,0.2203,,227.97M,240.18M,0.0303,,,
1996-12,305.10M,305.10M,108.40M,196.70M,,9.90M,,0.50M,,,,,,97.00M,99.70M,,,,0.50M,,84.20M,33.00M,51.20M,,,,,51.20M,50.90M,186.80M,87.10M,99.70M,,0.2880,0.00,,0.2859,0.2880,,0.2785,0.00,,0.2765,0.2785,,145.22M,152.20M,0.0303,,,
1996-09,242.20M,242.20M,86.70M,155.50M,,8.90M,,0.30M,,,,,,91.50M,64.00M,,,,0.30M,,50.70M,20.60M,30.10M,,,,,30.10M,29.92M,146.60M,82.60M,64.00M,,0.1337,0.00,,0.1329,0.1337,,0.1298,0.00,,0.1290,0.1298,,225.09M,231.91M,0.0303,,,
1996-06,222.80M,222.80M,84.30M,138.50M,,8.20M,,1.60M,,,,,,85.70M,52.80M,,,,1.60M,,39.80M,15.40M,24.40M,,,,,24.40M,23.42M,130.30M,77.50M,52.80M,,0.1141,0.00,,0.1095,0.1141,,0.1101,0.00,,0.1057,0.1101,,213.92M,221.56M,0.0303,,,
1996-03,205.90M,205.90M,84.90M,121.00M,,8.90M,,1.30M,,,,,,81.90M,39.10M,,,,1.30M,,25.50M,9.80M,15.70M,,,,,15.70M,14.90M,112.10M,73.00M,39.10M,,0.0787,0.00,,0.0747,0.0787,,0.0787,0.00,,0.0747,0.0787,,199.59M,199.59M,0.0303,,,
1995-12,203.40M,203.40M,83.70M,119.70M,,8.80M,,-7.20M,,,,,,84.30M,35.40M,,,,-7.20M,,13.30M,4.80M,8.50M,,,,,8.50M,13.10M,110.90M,75.50M,35.40M,,0.0543,0.00,,0.0876,0.0543,,0.0543,0.00,,0.0806,0.0543,,138.40M,174.98M,0.0303,,,
1995-09,178.10M,178.10M,70.70M,107.40M,,7.70M,,3.90M,,,,,,83.40M,24.00M,,,,3.90M,,8.90M,1.90M,7.00M,,,,,7.00M,3.933M,99.70M,75.70M,24.00M,,0.0393,0.00,,0.0221,0.0393,,0.0393,0.00,,0.0221,0.0393,,177.98M,177.98M,0.0303,,,
1995-06,202.90M,202.90M,82.20M,120.70M,,10.40M,,-15.80M,,,,,,90.40M,30.30M,,,,-15.80M,,4.30M,3.80M,0.50M,,,,,0.50M,9.98M,117.40M,87.10M,30.30M,,0.0039,0.00,,0.0785,0.0039,,0.0039,0.00,,0.0785,0.0039,,127.13M,127.13M,0.0303,,,
1995-03,157.20M,157.20M,63.60M,93.60M,,9.10M,,2.10M,,,,,,73.00M,20.60M,,,,2.10M,,9.00M,3.00M,6.00M,,,,,6.00M,4.60M,84.50M,63.90M,20.60M,,0.0393,0.00,,0.0302,0.0393,,0.0393,0.00,,0.0302,0.0393,,152.55M,152.55M,0.0303,,,
1994-12,143.50M,143.50M,48.50M,95.00M,,8.80M,,4.90M,,,,,,72.10M,22.90M,,,,4.90M,,19.50M,6.90M,12.60M,,,,,12.60M,9.434M,86.20M,63.30M,22.90M,,0.1103,0.00,,0.0775,0.1103,,0.1103,0.00,,0.0901,0.1103,,96.46M,156.70M,0.0303,,,
1994-09,140.10M,140.10M,47.20M,92.90M,,8.20M,,0.70M,,,,,,70.30M,22.60M,,,,0.70M,,16.30M,5.70M,10.60M,,,,,10.60M,10.14M,84.70M,62.10M,22.60M,,0.0669,0.00,,0.0640,0.0669,,0.0669,0.00,,0.0640,0.0669,,158.53M,158.53M,0.0303,,,
1994-06,133.20M,133.20M,45.00M,88.20M,,9.30M,,1.90M,,,,,,68.40M,19.80M,,,,1.90M,,15.30M,5.10M,10.20M,,,,,10.20M,8.933M,78.90M,59.00M,19.80M,,0.0669,0.00,,0.0586,0.0669,,0.0669,0.00,,0.0586,0.0669,,152.55M,152.55M,0.0303,,,
1994-03,121.00M,121.00M,42.20M,78.80M,,8.60M,,0.70M,,,,,,60.70M,18.10M,,,,0.70M,,13.30M,3.90M,9.40M,,,,,9.40M,8.905M,70.20M,52.10M,18.10M,,0.0590,0.00,,0.0559,0.0590,,0.0590,0.00,,0.0559,0.0590,,159.33M,159.33M,0.0303,,,
1993-12,124.40M,124.40M,61.90M,62.50M,,8.00M,,0.40M,,,,,,41.80M,20.70M,,,,0.40M,,16.50M,3.40M,13.10M,,,,,13.10M,12.78M,54.50M,33.80M,20.70M,,0.0787,0.00,,0.0768,0.0787,,0.0787,0.00,,0.0768,0.0787,,173.45M,173.45M,0.0303,,,
1993-09,119.90M,119.90M,41.10M,78.80M,,8.30M,,2.30M,,,,,,66.60M,12.20M,,,,2.30M,,7.30M,6.20M,1.10M,,,-0.30M,,1.10M,-0.28M,70.60M,58.40M,12.20M,,0.0079,0.00,,-0.0020,0.0079,,0.0079,0.00,,-0.0020,0.0079,,139.84M,139.84M,0.0303,,,
1993-06,111.10M,111.10M,35.60M,75.50M,,8.10M,,0.20M,,,,,,52.70M,22.80M,,,,0.20M,,17.80M,6.30M,11.50M,,,,,11.50M,11.37M,67.40M,44.60M,22.80M,,0.0865,0.00,,0.0856,0.0865,,0.0865,0.00,,0.0856,0.0865,,132.90M,132.90M,0.0303,,,
1993-03,107.80M,107.80M,33.60M,74.20M,,8.80M,,0.90M,,,,,,52.20M,22.00M,,,,0.90M,,16.40M,4.80M,11.60M,,,,,11.60M,10.96M,65.40M,43.40M,22.00M,,0.0944,0.00,,0.0892,0.0944,,0.0944,0.00,,0.0892,0.0944,,122.89M,122.89M,0.0303,,,
1992-12,119.50M,119.50M,37.30M,82.20M,,9.30M,,0.50M,,,,,,58.70M,23.50M,,,,0.50M,,16.90M,5.70M,11.20M,,,,,11.20M,10.87M,72.90M,49.40M,23.50M,,0.0944,0.00,,0.0916,0.0944,,0.0944,0.00,,0.0916,0.0944,,118.69M,118.69M,0.0303,,,
1992-09,111.20M,111.20M,40.00M,71.20M,,8.60M,,0.10M,,,,,,52.00M,19.20M,,,,0.10M,,12.80M,4.30M,8.50M,,,,,8.50M,8.434M,62.60M,43.40M,19.20M,,0.0708,0.00,,0.0702,0.0708,,0.0708,0.00,,0.0702,0.0708,,120.06M,120.06M,0.0303,,,
1992-06,102.10M,102.10M,36.00M,66.10M,,8.90M,,29.20M,,,,,,51.60M,14.50M,,,,29.20M,,36.00M,12.00M,24.00M,,,,,24.00M,4.533M,57.20M,42.70M,14.50M,,0.2006,0.00,,0.0379,0.2006,,0.2006,0.00,,0.0379,0.2006,,119.65M,119.65M,0.0303,,,
1992-03,90.30M,90.30M,33.50M,56.80M,,8.10M,,2.00M,,,,,,46.00M,10.80M,,,,2.00M,,4.70M,0.70M,4.00M,,,,,4.00M,2.298M,48.70M,37.90M,10.80M,,0.0354,0.00,,0.0203,0.0354,,0.0354,0.00,,0.0203,0.0354,,113.00M,113.00M,0.0303,,,
1991-12,116.40M,116.40M,37.50M,78.90M,,11.30M,,3.20M,,,,,,54.00M,24.90M,,,,3.20M,,18.40M,3.60M,14.80M,,,,,14.80M,12.23M,67.60M,42.70M,24.90M,,0.1259,0.00,,0.1044,0.1259,,0.1259,0.00,,0.1044,0.1259,,119.76M,119.76M,0.0303,,,
1991-09,111.90M,111.90M,41.10M,70.80M,,19.30M,,1.60M,,,,,,58.90M,11.90M,,,,1.60M,,0.60M,-0.50M,1.10M,,,,,1.10M,0.14M,51.50M,39.20M,11.90M,,0.0079,0.00,,0.0010,0.0079,,0.0079,0.00,,0.0010,0.0079,,139.84M,139.84M,0.0303,,,
1991-06,60.50M,60.50M,17.00M,43.50M,,6.70M,,1.30M,,,,,,32.60M,10.90M,,,,1.30M,,8.40M,1.80M,6.60M,,,,,6.60M,5.579M,36.80M,25.90M,10.90M,,0.0590,0.00,,0.0499,0.0590,,0.0590,0.00,,0.0499,0.0590,,111.87M,111.87M,0.0303,,,
1991-03,68.00M,68.00M,14.80M,53.20M,,5.90M,,1.70M,,,,,,33.90M,19.30M,,,,1.70M,,16.70M,4.60M,12.10M,,,,,12.10M,10.87M,47.30M,28.00M,19.30M,,0.1062,0.00,,0.0954,0.1062,,0.1062,0.00,,0.0954,0.1062,,113.94M,113.94M,0.0303,,,
1990-12,80.90M,80.90M,29.30M,51.60M,,6.50M,,,,,,,,42.90M,8.70M,,,,,,16.50M,4.80M,11.70M,,,,,11.70M,11.70M,45.10M,36.40M,8.70M,,0.1023,0.00,,0.1023,0.1023,,0.1023,0.00,,0.1023,0.1023,,114.54M,114.54M,0.0303,,,
1990-09,65.00M,65.00M,14.70M,50.30M,,5.50M,,0.80M,,,,,,33.80M,16.50M,,,,0.80M,,13.70M,4.20M,9.50M,,,,,9.50M,8.945M,44.80M,28.30M,16.50M,,0.0826,0.00,,0.0778,0.0826,,0.0826,0.00,,0.0778,0.0826,,115.02M,115.02M,0.0303,,,
1990-06,58.50M,58.50M,15.60M,42.90M,,5.20M,,0.90M,,,,,,30.00M,12.90M,,,,0.90M,,10.50M,2.80M,7.70M,,,,,7.70M,7.04M,37.70M,24.80M,12.90M,,0.0669,0.00,,0.0611,0.0669,,0.0669,0.00,,0.0611,0.0669,,115.16M,115.16M,0.0303,,,
1990-03,69.00M,69.00M,18.00M,51.00M,,4.30M,,0.90M,,,,,,31.60M,19.40M,,,,0.90M,,16.90M,5.40M,11.50M,,,,,11.50M,10.89M,46.70M,27.30M,19.40M,,0.1023,0.00,,0.0968,0.1023,,0.1023,0.00,,0.0968,0.1023,,112.46M,112.46M,0.0303,,,
1989-12,65.70M,65.70M,,,,,,,,,,,,,-149.20M,,,,,,,,7.10M,,,,,7.10M,,-149.20M,,-149.20M,,,,,,,,,,,,,,111.74M,111.74M,0.0303,,,
1989-09,60.50M,60.50M,,,,,,,,,,,,,60.50M,,,,,,,,5.10M,,,,,5.10M,,60.50M,,60.50M,,0.0590,0.00,,0.0590,0.0590,,0.0590,0.00,,0.0590,0.0590,,99.63M,99.63M,0.0303,,,
1989-06,58.80M,58.80M,,,,,,,,,,,,,58.80M,,,,,,,,4.50M,,,,,4.50M,,58.80M,,58.80M,,0.0551,0.00,,0.0551,0.0551,,0.0551,0.00,,0.0551,0.0551,,83.84M,83.84M,0.0303,,,
1989-03,60.40M,60.40M,,,,,,,,,,,,,60.40M,,,,,,,,5.40M,,,,,5.40M,,60.40M,,60.40M,,0.0629,0.00,,0.0629,0.0629,,0.0629,0.00,,0.0629,0.0629,,83.84M,83.84M,0.0303,,,
1988-12,54.00M,54.00M,,,,,,,,,,,,,-66.10M,,,,,,,,2.10M,0.00,,,,2.10M,,-66.10M,,-66.10M,,,0.00,,,0.00,,,0.00,,,0.00,,83.80M,83.80M,0.0303,,,
1988-09,28.90M,28.90M,,,,,,,,,,,,,28.90M,,,,,,,,1.20M,2.90M,,,,4.10M,,28.90M,,28.90M,,0.0236,0.0551,,0.0236,0.0787,,0.0236,0.0551,,0.0236,0.0787,,53.40M,53.40M,0.0303,,,
1988-06,28.80M,28.80M,,,,,,,,,,,,,28.80M,,,,,,,,0.60M,-0.20M,,,,0.40M,,28.80M,,28.80M,,0.0118,-0.0039,,0.0118,0.0079,,0.0118,-0.0039,,0.0118,0.0079,,53.50M,53.50M,0.0303,,,
1988-03,29.80M,29.80M,,,,,,,,,,,,,29.80M,,,,,,,,1.50M,-0.10M,,,,1.40M,,29.80M,,29.80M,,0.0275,0.00,,0.0275,0.0275,,0.0275,0.00,,0.0275,0.0275,,53.27M,53.27M,0.0303,,,
1987-12,22.60M,22.60M,,,,,,,,,,,,,-206.40M,,,,,,,,-80.50M,-1.00M,,,,-81.50M,,-206.40M,,-206.40M,,,-0.0196,,,-0.0196,,,-0.0196,,,-0.0196,,51.01M,51.01M,0.0303,,,
1987-09,25.30M,25.30M,,,,,,,,,,,,,25.30M,,,,,,,,-0.60M,0.70M,,,,0.10M,,25.30M,,25.30M,,-0.0118,0.0118,,-0.0118,0.00,,-0.0118,0.0118,,-0.0118,0.00,,51.73M,51.73M,0.0303,,,
1987-06,27.50M,27.50M,,,,,,,,,,,,,27.50M,,,,,,,,0.50M,0.20M,,,,0.70M,,27.50M,,27.50M,,0.0118,0.0039,,0.0118,0.0157,,0.0118,0.0039,,0.0118,0.0157,,51.69M,51.69M,0.0303,,,
1987-03,25.00M,25.00M,,,,,,,,,,,,,25.00M,,,,,,,,-0.90M,0.70M,,,,-0.20M,,25.00M,,25.00M,,-0.0197,0.0157,,-0.0197,-0.0039,,-0.0197,0.0157,,-0.0197,-0.0039,,51.69M,51.69M,0.0303,,,
1986-12,73.10M,73.10M,,,,,,,,,,,,,-103.70M,,,,,,,,-16.00M,-0.70M,,,,-16.70M,,-103.70M,,-103.70M,,,-0.0136,,,-0.0136,,,-0.0136,,,-0.0136,,51.66M,51.66M,0.0303,,,
1986-09,44.50M,44.50M,,,,,,,,,,,,,44.50M,,,,,,,,1.80M,-0.10M,,,,1.70M,,44.50M,,44.50M,,0.0354,-0.0039,,0.0354,0.0315,,0.0354,-0.0039,,0.0354,0.0315,,51.96M,51.96M,0.0303,,,
1986-06,21.50M,21.50M,,,,,,,,,,,,,21.50M,,,,,,,,1.40M,,,,,1.40M,,21.50M,,21.50M,,0.0275,0.00,,0.0275,0.0275,,0.0275,0.00,,0.0275,0.0275,,51.96M,51.96M,0.0303,,,
1986-03,32.60M,32.60M,,,,,,,,,,,,,32.60M,,,,,,,,2.80M,,,,,2.80M,,32.60M,,32.60M,,0.0511,0.00,,0.0511,0.0511,,0.0511,0.00,,0.0511,0.0511,,52.58M,52.58M,0.0303,,,
1985-12,34.10M,34.10M,,,,,,,,,,,,,-79.30M,,,,,,,,-7.00M,-1.20M,,,,-8.20M,,-79.30M,,-79.30M,,,-0.0230,,,-0.0230,,,-0.0230,,,-0.0230,,52.15M,52.15M,0.0303,,,
1985-09,28.40M,28.40M,,,,,,,,,,,,,28.40M,,,,,,,,4.80M,-0.30M,,,,4.50M,,28.40M,,28.40M,,0.0905,-0.0039,,0.0905,0.0865,,0.0905,-0.0039,,0.0905,0.0865,,52.58M,52.58M,0.0303,,,
1985-06,32.30M,32.30M,,,,,,,,,,,,,32.30M,,,,,,,,5.30M,,,,,5.30M,,32.30M,,32.30M,,0.1023,0.00,,0.1023,0.1023,,0.1023,0.00,,0.1023,0.1023,,52.81M,52.81M,0.0303,,,
1985-03,33.70M,33.70M,,,,,,,,,,,,,33.70M,,,,,,,,6.30M,,,,,6.30M,,33.70M,,33.70M,,0.1180,0.00,,0.1180,0.1180,,0.1180,0.00,,0.1180,0.1180,,53.40M,53.40M,0.0303,,,
1984-12,31.90M,31.90M,,,,,,,,,,,,,-42.90M,,,,,,,,5.70M,-0.20M,,,,5.50M,,-42.90M,,-42.90M,,,-0.0038,,,-0.0038,,,-0.0038,,,-0.0038,,53.01M,53.01M,0.0303,,,
1984-09,26.40M,26.40M,,,,,,,,,,,,,26.40M,,,,,,,,5.00M,,,,,5.00M,,26.40M,,26.40M,,0.0944,0.00,,0.0944,0.0944,,0.0944,0.00,,0.0944,0.0944,,53.40M,53.40M,,,,
1984-06,29.00M,29.00M,,,,,,,,,,,,,29.00M,,,,,,,,4.90M,,,,,4.90M,,29.00M,,29.00M,,0.0905,0.00,,0.0905,0.0905,,0.0905,0.00,,0.0905,0.0905,,53.40M,53.40M,,,,
