,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2006-12,90.05M,,,,-1.38M,29.05M,29.05M,,,,,72.90M,-17.06M,-25.79M,-10.27M,,28.71M,-16.56M,-40.98M,,149.64M,2006-12,-19.49M,,-19.49M,-390.16M,-57.94M,,-467.60M,,,,0.00,,0.00,,-23.97M,0.00,-23.97M,,2006-12,1.200B,5.34M,863.38M,,2006-12,,,,,,,2006-12,
2006-09,135.92M,,,,1.356M,14.80M,14.80M,,,,,36.47M,20.63M,-43.10M,12.21M,,-72.30M,0.991M,-81.58M,,106.97M,2006-09,-12.31M,,-12.31M,,-21.85M,,-34.17M,,,,18.60M,,18.60M,,-24.16M,1.045M,-4.515M,,2006-09,1.129B,2.492M,1.200B,,2006-09,,,,,,,2006-09,
2006-06,131.68M,,,,3.573M,17.24M,17.24M,,,,,37.84M,21.25M,-9.415M,-2.558M,,80.21M,-15.08M,74.41M,,130.35M,2006-06,-14.69M,,-14.69M,0.00,120.17M,,105.48M,,,,32.35M,-78.28M,-45.94M,,-23.89M,1.173M,-68.65M,,2006-06,962.00M,0.014M,1.129B,,2006-06,,,-78.28M,,,,2006-06,
2006-03,96.68M,,,,1.304M,16.63M,16.63M,,,,,53.64M,-83.10M,-26.89M,17.78M,,49.41M,-13.78M,-56.58M,,111.67M,2006-03,-20.34M,,-20.34M,0.00,-38.92M,,-59.26M,,,,43.97M,-58.77M,-14.80M,,-24.01M,7.748M,-31.07M,,2006-03,937.19M,3.457M,962.00M,,2006-03,,,-58.77M,,,,2006-03,
2005-12,76.60M,,,,0.381M,17.75M,17.75M,,,,,48.13M,-74.06M,-13.40M,21.12M,,-21.42M,5.549M,-82.22M,,60.66M,2005-12,-20.74M,,-20.74M,-7.664M,137.64M,,109.24M,,,,80.20M,-48.87M,31.32M,,-23.74M,4.162M,11.74M,,2005-12,748.52M,7.033M,937.19M,,2005-12,,,-48.87M,,,,2005-12,
2005-09,75.49M,,,,-1.186M,17.81M,17.81M,,,,,42.59M,20.98M,-37.97M,-9.288M,,-82.92M,-13.03M,-122.22M,,12.49M,2005-09,-18.05M,,-18.05M,,87.66M,,69.61M,,,,56.14M,-35.49M,20.65M,,-23.71M,6.07M,3.015M,,2005-09,663.16M,0.244M,748.52M,,2005-09,,,-35.49M,,,,2005-09,
2005-06,83.40M,,,,-3.127M,16.76M,16.76M,,,,,,105.54M,-4.31M,2.766M,39.56M,-52.30M,,58.00M,,153.68M,2005-06,-5.344M,,-5.344M,0.00,13.36M,,8.019M,,,,30.30M,-68.22M,-37.92M,,,2.631M,-58.93M,,2005-06,806.16M,-0.947M,663.16M,,2005-06,,,-68.22M,,,,2005-06,
2005-03,123.16M,,,,1.13M,16.74M,16.74M,,,,,,-8.871M,-2.631M,20.75M,-12.78M,44.07M,,40.54M,,181.58M,2005-03,-7.245M,,-7.245M,0.00,66.15M,,58.90M,,,-70.88M,103.30M,-24.32M,78.98M,,,0.00,8.107M,,2005-03,553.62M,3.958M,806.16M,,2005-03,,,-24.32M,,,,2005-03,
2004-12,122.08M,,,,1.287M,18.07M,18.07M,,,,,,-64.03M,24.10M,-9.992M,-19.19M,8.371M,,-60.74M,,80.69M,2004-12,-29.29M,,-29.29M,-40.58M,-98.33M,,-168.20M,,,145.09M,-11.97M,-111.12M,-123.10M,,,10.00M,31.99M,,2004-12,605.97M,3.159M,553.62M,,2004-12,,,-111.12M,,,,2004-12,
2004-09,116.40M,,,,0.536M,18.59M,18.59M,,,,,,4.012M,-35.46M,-10.78M,-7.599M,5.075M,,-44.74M,,90.79M,2004-09,-17.80M,,-17.80M,-4.05M,-1.478M,,-23.32M,,,-74.21M,11.97M,,11.97M,,,,-62.24M,,2004-09,598.70M,2.043M,605.97M,,2004-09,,,,,,,2004-09,
2004-06,96.17M,,,,57.07M,21.26M,21.26M,,,,,,-10.48M,-27.09M,-3.48M,2.907M,84.84M,,46.70M,,196.62M,2004-06,-17.63M,,-17.63M,,-188.88M,,-206.51M,,,,27.55M,-36.65M,-9.095M,,,,-9.095M,,2004-06,620.00M,-2.321M,598.70M,,2004-06,,,-36.65M,,,,2004-06,
2004-03,66.18M,,,,-1.617M,20.27M,20.27M,,,,,,-116.45M,-21.97M,15.75M,-13.80M,141.46M,,4.975M,,89.81M,2004-03,-14.70M,,-14.70M,,21.33M,,6.626M,,,,29.69M,-10.68M,19.02M,,,,19.02M,,2004-03,660.81M,1.027M,620.00M,,2004-03,,,-10.68M,,,,2004-03,
2003-12,44.52M,,,,-2.564M,21.45M,21.45M,,,,,,-37.23M,-14.45M,2.31M,-4.165M,23.64M,,-29.89M,,33.51M,2003-12,-13.28M,,-13.28M,,-53.21M,,-66.49M,,,,51.67M,-6.78M,44.89M,,,,44.89M,,2003-12,644.19M,4.714M,660.81M,,2003-12,,,-6.78M,,,,2003-12,
2003-09,36.84M,,,,-4.949M,19.94M,19.94M,,,,,,14.93M,-15.11M,15.52M,-11.23M,-26.21M,,-22.10M,,29.73M,2003-09,-9.918M,,-9.918M,,-44.27M,,-54.19M,,,,59.90M,-1.701M,58.19M,,,,58.19M,,2003-09,606.90M,3.548M,644.19M,,2003-09,,,-1.701M,,,,2003-09,
2003-06,29.36M,,,,12.07M,16.27M,16.27M,,,,,,8.274M,9.722M,3.749M,0.169M,-9.865M,,12.05M,,59.12M,2003-06,-7.844M,,-4.647M,,-155.56M,,-160.21M,,,,41.54M,-3.163M,38.38M,,,,38.38M,,2003-06,568.02M,2.001M,449.60M,,2003-06,,,-3.163M,,,,2003-06,
2003-03,27.34M,,,,-7.55M,19.75M,19.75M,,,,,,25.75M,21.44M,7.197M,-6.213M,1.528M,,49.70M,,89.23M,2003-03,0.233M,,0.233M,,-54.27M,,-54.03M,,,,17.13M,-14.39M,2.738M,,,,2.738M,,2003-03,530.60M,-0.515M,568.02M,,2003-03,,,-14.39M,,,,2003-03,
2002-12,29.23M,,,,-16.17M,17.80M,17.80M,,,,,,-1.384M,28.94M,-13.96M,-5.047M,-6.268M,,2.279M,,33.13M,2002-12,-119.34M,,-119.34M,,149.23M,,29.89M,,,,29.68M,-0.862M,28.81M,,,,28.81M,,2002-12,435.65M,3.114M,530.60M,,2002-12,,,-0.862M,,,,2002-12,
2002-09,51.26M,,,,-1.911M,17.64M,17.64M,,,,,,20.83M,4.115M,-16.08M,-6.092M,-4.996M,,-2.218M,,64.78M,2002-09,-6.815M,,-6.815M,,-6.941M,,-13.76M,,,,4.151M,-47.50M,-43.35M,,,,-43.35M,,2002-09,429.82M,-1.847M,435.65M,,2002-09,,,-47.50M,,,,2002-09,
2002-06,46.50M,,,,49.08M,18.05M,18.05M,38.68M,,,,,-2.452M,-3.374M,20.19M,12.35M,-92.65M,,-65.94M,,86.37M,2002-06,-2.775M,,-2.775M,-4.035M,16.49M,,9.683M,,,0.051M,27.86M,-5.381M,22.48M,,,,22.54M,,2002-06,306.46M,4.77M,429.82M,,2002-06,,,-5.381M,,,,2002-06,
2002-03,34.15M,,,,1.972M,18.20M,18.20M,-0.001M,,,,,90.87M,15.83M,-9.746M,-3.003M,-19.79M,,74.15M,,128.47M,2002-03,-15.11M,,-15.11M,4.035M,-159.15M,,-170.23M,,,0.00,53.11M,-7.027M,46.08M,,,,46.08M,,2002-03,303.02M,-0.881M,306.46M,,2002-03,,,-7.027M,,,,2002-03,
2001-12,49.05M,,,,1.719M,15.46M,15.46M,0.00,,,,,3.127M,25.66M,-12.27M,-22.40M,-24.39M,,-30.27M,,35.95M,2001-12,-19.61M,,-19.61M,-4.035M,-17.58M,,-41.23M,,,-0.908M,32.00M,-57.33M,-25.33M,,,,-26.24M,,2001-12,339.17M,-4.641M,303.02M,,2001-12,,,-57.33M,,,,2001-12,
2001-09,86.46M,,,,-0.642M,17.89M,17.89M,-2.645M,,,,,33.46M,33.31M,-5.928M,8.084M,-150.60M,,-81.67M,,19.39M,2001-09,-31.17M,,-31.17M,,-129.40M,,-160.57M,,,0.409M,2.162M,-53.48M,-51.32M,,,,-50.91M,,2001-09,529.67M,1.582M,339.17M,,2001-09,,,-53.48M,,,,2001-09,
2001-06,129.95M,,,,-5.229M,10.68M,10.68M,-34.65M,,,,,162.33M,37.74M,1.079M,1.702M,-67.85M,,135.01M,,235.76M,2001-06,-56.27M,,-56.27M,,-97.86M,,-174.95M,,,0.574M,53.49M,-0.003M,53.49M,,,,54.06M,,2001-06,437.38M,-22.58M,529.67M,,2001-06,,,-0.003M,,,,2001-06,
2001-03,136.34M,,,,-2.193M,15.74M,15.74M,17.47M,,,,,55.05M,-31.70M,-2.065M,-3.089M,-58.62M,,-40.43M,,126.93M,2001-03,-30.02M,,-30.02M,,19.68M,,-10.33M,,,0.026M,9.571M,-4.068M,5.503M,,,,5.529M,,2001-03,302.00M,13.26M,437.38M,,2001-03,,,-4.068M,,,,2001-03,
2000-12,-305.42M,,,,302.06M,14.91M,14.91M,-42.14M,,,,,-64.84M,-61.16M,2.317M,3.169M,172.72M,,52.20M,,21.62M,2000-12,-34.54M,,-34.54M,,44.48M,,9.941M,,,-1.545M,24.22M,-130.82M,-106.60M,,,,-108.14M,,2000-12,377.35M,1.23M,302.00M,,2000-12,,,-130.82M,,,,2000-12,
2000-09,105.82M,,,,0.432M,14.31M,14.31M,2.378M,,,,,-68.78M,-46.62M,4.392M,-16.30M,27.99M,,-99.33M,,23.61M,2000-09,-41.36M,,-41.36M,,-78.40M,,-119.76M,,,2.615M,6.474M,-18.74M,-12.27M,,,,-9.656M,,2000-09,478.21M,4.947M,377.35M,,2000-09,,,-18.74M,,,,2000-09,
2000-06,91.70M,,,,7.243M,17.91M,17.91M,-60.06M,,,,,-78.80M,-30.82M,7.637M,52.92M,144.14M,,95.09M,,151.88M,2000-06,-29.06M,,-29.06M,0.00,-13.10M,,-42.16M,,,-15.10M,15.71M,-11.57M,4.141M,,,,-10.96M,,2000-06,379.66M,-0.206M,478.21M,,2000-06,,,-11.57M,,,,2000-06,
2000-03,73.30M,,,,2.625M,16.93M,16.93M,-0.157M,,,,0.10M,-90.67M,-38.86M,9.532M,-5.073M,70.31M,,-54.76M,,38.04M,2000-03,-24.04M,,-24.04M,-13.02M,-347.13M,337.20M,-46.99M,,,-0.517M,36.59M,-8.806M,27.78M,,,,27.26M,,2000-03,354.90M,6.462M,379.66M,,2000-03,,,-8.806M,,,,2000-03,
1999-12,49.30M,,,,0.70M,15.60M,15.60M,-0.30M,,,,0.00,20.50M,-18.10M,8.50M,-49.80M,30.20M,,-8.70M,,56.60M,1999-12,-13.80M,,-13.80M,-6.90M,315.00M,-337.10M,-42.80M,,,-1.90M,35.30M,-5.40M,29.90M,,,0.10M,28.10M,,1999-12,316.90M,-3.80M,354.90M,,1999-12,,,-5.40M,,,,1999-12,
1999-09,39.50M,,,,-9.90M,12.90M,12.90M,,,,,-0.10M,-36.30M,-8.00M,-6.70M,-11.60M,26.20M,,-36.40M,,6.00M,1999-09,-11.80M,,-11.80M,,47.40M,-0.10M,35.50M,,,-0.80M,19.40M,-2.20M,17.20M,,,-0.10M,16.30M,,1999-09,271.50M,-12.50M,316.90M,,1999-09,,,-2.20M,,,,1999-09,
1999-06,25.80M,,,,-18.80M,13.10M,13.10M,,,,,-0.20M,15.90M,7.90M,5.30M,-14.10M,17.60M,,32.60M,,24.60M,1999-06,-35.50M,,-35.50M,,35.40M,12.40M,2.30M,,,-0.90M,14.60M,-15.40M,-0.80M,,,0.10M,-1.60M,,1999-06,245.20M,0.90M,271.50M,,1999-06,,,-15.40M,,,,1999-06,
1999-03,20.80M,,,,35.00M,13.40M,13.40M,,,,,0.20M,-15.40M,0.90M,6.30M,-0.70M,-26.10M,,-35.00M,,34.40M,1999-03,-2.50M,,-2.50M,,52.00M,-12.50M,37.00M,,,-3.30M,8.00M,-12.80M,-4.80M,,,-0.10M,-8.20M,,1999-03,177.60M,4.40M,245.20M,,1999-03,,,-12.80M,,,,1999-03,
1998-12,-17.60M,,,,7.70M,10.10M,10.10M,,,,,-0.20M,-9.00M,20.20M,-8.20M,-0.80M,6.80M,,9.00M,,9.00M,1998-12,-13.00M,,-13.00M,,-33.00M,-0.10M,-46.10M,,,-2.60M,16.70M,-18.00M,-1.30M,,,,-3.90M,,1998-12,231.80M,-13.30M,177.60M,,1998-12,,,-18.00M,,,,1998-12,
1998-09,10.20M,,,,,11.60M,11.60M,,,,,0.10M,49.40M,1.80M,-15.50M,0.20M,-3.50M,,32.40M,,54.30M,1998-09,-9.70M,,-9.70M,,-21.40M,0.10M,-31.00M,,,-1.90M,2.00M,-2.60M,-0.60M,,,,-2.50M,,1998-09,216.00M,-4.90M,231.80M,,1998-09,,,-2.60M,,,,1998-09,
1998-06,3.30M,,,,,11.00M,11.00M,,,,,,21.50M,-16.90M,-4.90M,-1.30M,50.60M,,49.00M,,37.70M,1998-06,-32.30M,,-32.30M,,16.70M,,-15.50M,,,1.90M,-2.10M,-4.80M,-6.90M,,,0.10M,-4.90M,,1998-06,191.70M,7.10M,216.00M,,1998-06,,,-4.80M,,,,1998-06,
