,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2007-09,1.702B,,1.702B,3.08B,,3.08B,619.00M,1.372B,39.00M,2.03B,516.00M,156.00M,7.505B,,,,,24.54B,-14.70B,9.842B,3.652B,,3.652B,608.00M,1.373B,735.00M,16.21B,23.72B,2.07B,2.07B,1.368B,3.438B,,586.00M,586.00M,5.00M,4.029B,6.191B,,6.191B,2.751B,2.751B,,221.00M,,2.567B,11.51B,15.54B,494.00M,4.154B,6.718B,2.38B,,,-1.03B,7.956B
2007-06,1.681B,,1.681B,3.00B,,3.00B,589.00M,1.387B,37.00M,2.013B,508.00M,184.00M,7.424B,,,,,24.08B,-14.40B,9.678B,3.526B,,3.526B,616.00M,1.183B,725.00M,15.73B,23.15B,1.99B,1.99B,1.361B,3.351B,,525.00M,525.00M,13.00M,3.889B,6.219B,,6.219B,2.805B,2.805B,,242.00M,,2.393B,11.42B,15.31B,493.00M,4.044B,6.682B,2.374B,,,-1.241B,7.604B
2007-03,2.39B,,2.39B,2.924B,,2.924B,580.00M,1.398B,31.00M,2.009B,491.00M,163.00M,8.077B,,,,,24.29B,-14.30B,9.992B,3.251B,,3.251B,631.00M,1.278B,637.00M,15.79B,23.87B,1.911B,1.911B,1.423B,3.334B,,542.00M,542.00M,31.00M,3.907B,6.358B,,6.358B,3.277B,3.277B,,236.00M,,2.163B,11.80B,15.70B,493.00M,3.963B,6.66B,1.739B,,,-1.452B,7.925B
2006-12,1.624B,,1.624B,2.704B,,2.704B,536.00M,1.341B,32.00M,1.909B,490.00M,132.00M,8.637B,,,21.76B,1.285B,23.04B,-14.05B,8.993B,2.929B,,2.929B,641.00M,1.251B,1.583B,15.40B,24.03B,1.907B,1.907B,1.709B,3.616B,,692.00M,692.00M,333.00M,4.641B,6.531B,,6.531B,2.233B,2.233B,,213.00M,,2.453B,11.22B,15.86B,493.00M,3.737B,6.735B,1.438B,,,-1.564B,7.963B
2006-09,736.00M,,736.00M,3.048B,,3.048B,699.00M,1.536B,71.00M,2.306B,288.00M,136.00M,6.784B,,,,,27.89B,-17.90B,9.992B,3.661B,,3.661B,648.00M,1.672B,1.932B,17.90B,24.69B,2.00B,2.00B,1.538B,3.538B,,1.399B,1.399B,98.00M,5.035B,9.051B,,9.051B,754.00M,754.00M,,185.00M,,3.79B,13.60B,18.63B,494.00M,1.879B,6.71B,1.392B,,,-1.817B,5.874B
2006-06,274.00M,,274.00M,2.987B,,2.987B,716.00M,1.556B,62.00M,2.334B,307.00M,158.00M,7.721B,,,,,28.05B,-17.80B,10.25B,3.862B,,3.862B,618.00M,1.555B,2.15B,18.43B,26.15B,1.998B,1.998B,1.597B,3.595B,,1.774B,1.774B,216.00M,5.585B,9.038B,,9.038B,377.00M,377.00M,,200.00M,,3.853B,13.27B,18.85B,493.00M,1.803B,6.642B,0.00,,,-1.837B,7.101B
2006-03,709.00M,,709.00M,2.923B,,2.923B,723.00M,1.533B,59.00M,2.315B,282.00M,171.00M,8.096B,,,,,27.84B,-17.60B,10.24B,3.84B,,3.84B,620.00M,1.616B,2.22B,18.54B,26.64B,1.951B,1.951B,1.744B,3.695B,,894.00M,894.00M,203.00M,4.792B,10.56B,,10.56B,252.00M,252.00M,,214.00M,,3.768B,14.58B,19.37B,493.00M,1.812B,6.599B,1.00M,,,-1.855B,7.048B
2005-12,1.641B,,1.641B,2.416B,,2.416B,508.00M,1.383B,41.00M,1.932B,278.00M,110.00M,11.76B,,,21.04B,1.45B,22.49B,-13.41B,9.073B,3.621B,,3.621B,616.00M,1.575B,2.127B,17.01B,28.77B,1.771B,1.771B,1.385B,3.156B,,1.178B,1.178B,621.00M,4.955B,11.02B,,11.02B,684.00M,684.00M,,185.00M,,3.577B,15.28B,20.24B,491.00M,3.172B,6.627B,4.00M,,,-1.935B,8.351B
2005-09,1.092B,,1.092B,2.918B,,2.918B,687.00M,1.667B,73.00M,2.427B,389.00M,180.00M,7.063B,,,,,29.35B,-17.50B,11.85B,5.043B,,5.043B,597.00M,1.691B,2.207B,21.39B,28.45B,2.038B,2.038B,1.478B,3.516B,,796.00M,796.00M,51.00M,4.363B,10.77B,,10.77B,1.287B,1.287B,,203.00M,,2.959B,15.02B,19.38B,490.00M,3.371B,6.604B,3.00M,,,-1.595B,8.867B
2005-06,1.251B,,1.251B,3.195B,,3.195B,806.00M,1.978B,46.00M,2.83B,422.00M,272.00M,8.031B,,,,,31.45B,-18.30B,13.15B,5.012B,,5.012B,644.00M,1.782B,3.927B,24.52B,32.55B,2.197B,2.197B,1.783B,3.98B,,571.00M,571.00M,50.00M,4.601B,12.81B,,12.81B,1.769B,1.769B,,1.497B,,3.771B,18.35B,22.95B,490.00M,2.47B,6.593B,5.00M,,,-1.452B,8.096B
2005-03,1.529B,,1.529B,3.18B,,3.18B,,,,2.83B,471.00M,341.00M,8.689B,,,,,32.00B,-18.80B,13.20B,4.998B,,4.998B,655.00M,1.768B,3.989B,24.61B,33.30B,2.174B,2.174B,1.895B,4.069B,,342.00M,342.00M,118.00M,4.529B,13.53B,,13.53B,1.704B,1.704B,,1.544B,,3.75B,18.98B,23.51B,490.00M,2.516B,6.579B,2.00M,,,-1.333B,8.25B
2004-12,2.18B,,2.18B,2.743B,,2.743B,619.00M,1.688B,64.00M,2.371B,410.00M,153.00M,12.59B,,,27.50B,1.824B,29.33B,-17.11B,12.22B,4.994B,331.00M,5.325B,655.00M,1.278B,2.157B,21.63B,34.22B,2.026B,2.026B,1.921B,3.947B,,222.00M,222.00M,3.165B,7.334B,13.63B,,13.63B,1.118B,1.118B,,188.00M,,3.691B,18.44B,25.78B,487.00M,2.562B,6.562B,0.00,,,-1.357B,8.254B
2004-09,1.828B,,1.828B,3.239B,,3.239B,631.00M,2.025B,31.00M,2.687B,,867.00M,9.912B,,,,,31.38B,-18.20B,13.18B,5.03B,,5.03B,671.00M,1.863B,3.906B,24.65B,34.56B,2.208B,2.208B,2.292B,4.50B,,615.00M,615.00M,838.00M,5.953B,14.43B,,14.43B,1.251B,1.251B,,1.599B,,3.553B,19.24B,25.19B,486.00M,2.435B,6.501B,0.00,,,-1.648B,7.774B
2004-06,1.862B,,1.862B,3.056B,,3.056B,778.00M,1.932B,29.00M,2.739B,,915.00M,8.572B,,,,,31.65B,-17.90B,13.75B,5.335B,,5.335B,731.00M,1.797B,3.962B,25.57B,34.14B,2.304B,2.304B,2.234B,4.538B,,848.00M,848.00M,,5.386B,13.71B,,13.71B,1.444B,1.444B,,1.728B,,3.608B,18.76B,24.15B,486.00M,3.106B,6.487B,0.00,,,-1.812B,8.267B
2004-03,2.224B,,2.224B,2.996B,,2.996B,736.00M,2.042B,35.00M,2.813B,,968.00M,9.415B,,,,,31.83B,-18.00B,13.83B,5.34B,,5.34B,733.00M,1.889B,4.032B,25.83B,35.24B,2.284B,2.284B,2.222B,4.506B,,1.757B,1.757B,255.00M,6.518B,13.81B,,13.81B,1.425B,1.425B,,1.624B,,3.623B,18.85B,25.37B,486.00M,3.034B,6.464B,15.00M,,,-1.722B,8.247B
2003-12,2.363B,,2.363B,2.765B,,2.765B,912.00M,1.789B,66.00M,2.767B,581.00M,516.00M,11.10B,,,28.29B,2.091B,30.38B,-17.12B,13.26B,4.793B,300.00M,5.093B,678.00M,1.419B,3.979B,24.43B,35.52B,2.188B,2.188B,2.35B,4.538B,,2.087B,2.087B,645.00M,7.27B,13.45B,,13.45B,1.387B,1.387B,,1.622B,,3.559B,18.40B,25.67B,485.00M,3.082B,6.50B,140.00M,,,-1.69B,8.237B
2003-09,1.564B,,1.564B,2.948B,,2.948B,967.00M,1.935B,40.00M,2.942B,,911.00M,8.513B,,,,,32.63B,-18.60B,14.03B,5.332B,,5.332B,287.00M,2.545B,3.932B,26.12B,34.64B,2.185B,2.185B,2.29B,4.475B,,637.00M,637.00M,41.00M,5.153B,14.51B,,14.51B,1.663B,1.663B,,1.736B,,3.783B,19.95B,25.11B,485.00M,3.156B,6.493B,174.00M,,,-2.165B,7.795B
2003-06,1.43B,,1.43B,2.995B,,2.995B,955.00M,2.002B,55.00M,3.012B,,972.00M,8.569B,,,,,32.75B,-18.50B,14.25B,5.336B,,5.336B,241.00M,2.715B,3.967B,26.51B,35.08B,2.151B,2.151B,2.414B,4.565B,,498.00M,498.00M,45.00M,5.108B,14.75B,,14.75B,1.781B,1.781B,,1.737B,,3.842B,20.37B,25.48B,485.00M,3.153B,6.486B,214.00M,,,-2.053B,7.857B
2003-03,2.218B,,2.218B,2.959B,,2.959B,954.00M,1.983B,56.00M,2.993B,,891.00M,9.199B,,,,,32.31B,-18.20B,14.11B,5.328B,,5.328B,234.00M,2.547B,3.925B,26.14B,35.34B,2.061B,2.061B,2.287B,4.348B,,270.00M,270.00M,41.00M,4.659B,15.92B,,15.92B,1.812B,1.812B,,1.662B,,3.812B,21.54B,26.20B,485.00M,3.184B,6.479B,224.00M,,,-2.442B,7.482B
2002-12,1.074B,,1.074B,2.78B,,2.78B,986.00M,1.852B,41.00M,2.879B,,1.005B,7.738B,,,30.13B,2.135B,32.26B,-18.10B,14.17B,5.307B,180.00M,5.487B,227.00M,2.327B,3.846B,26.05B,33.79B,2.014B,2.014B,2.565B,4.579B,,,,,4.579B,14.85B,,14.85B,1.765B,1.765B,,1.449B,,3.778B,20.39B,24.97B,485.00M,3.26B,6.493B,219.00M,,,-2.645B,7.374B
2002-09,994.00M,,994.00M,2.882B,,2.882B,941.00M,1.867B,38.00M,2.846B,,1.162B,8.015B,,,,,31.32B,-17.30B,14.02B,6.584B,,6.584B,204.00M,3.66B,3.792B,28.26B,36.28B,2.023B,2.023B,2.337B,4.36B,,732.00M,732.00M,41.00M,5.133B,13.73B,,13.73B,3.937B,3.937B,,1.396B,,1.919B,19.59B,24.72B,485.00M,4.685B,6.478B,182.00M,,,-1.307B,10.16B
2002-06,838.00M,,838.00M,2.993B,,2.993B,926.00M,1.906B,53.00M,2.885B,,1.18B,8.129B,,,,,31.50B,-17.30B,14.20B,6.593B,,6.593B,218.00M,3.72B,3.928B,28.66B,36.79B,2.034B,2.034B,2.343B,4.377B,,,,54.00M,4.431B,14.47B,,14.47B,3.992B,3.992B,,1.429B,,2.019B,20.48B,24.91B,485.00M,4.661B,6.473B,100.00M,,,-1.069B,10.45B
2002-03,967.00M,,967.00M,2.829B,,2.829B,890.00M,1.788B,62.00M,2.74B,,1.11B,8.521B,,,,,31.23B,-17.10B,14.13B,6.56B,,6.56B,240.00M,3.411B,4.014B,28.36B,36.88B,1.808B,1.808B,2.277B,4.085B,,709.00M,709.00M,184.00M,4.978B,14.23B,,14.23B,3.99B,3.99B,,1.301B,,2.023B,20.24B,25.22B,485.00M,4.566B,6.471B,73.00M,,,-1.091B,10.36B
2001-12,1.224B,,1.224B,2.778B,,2.778B,992.00M,1.855B,30.00M,2.877B,,1.057B,8.155B,,,29.29B,1.694B,30.98B,-16.36B,14.62B,6.543B,1.00M,6.544B,239.00M,3.426B,4.197B,29.02B,37.18B,1.793B,1.793B,2.514B,4.307B,,957.00M,957.00M,77.00M,5.341B,14.26B,,14.26B,3.339B,3.339B,,1.275B,,2.669B,20.27B,25.61B,484.00M,4.622B,6.465B,105.00M,,,-1.175B,10.29B
2001-09,2.019B,,2.019B,3.083B,,3.083B,829.00M,1.848B,63.00M,2.74B,,1.092B,9.933B,,,,,31.33B,-16.50B,14.83B,6.536B,,6.536B,256.00M,3.395B,4.389B,29.41B,39.34B,1.71B,1.71B,2.675B,4.385B,,1.203B,1.203B,231.00M,5.819B,15.17B,,15.17B,4.186B,4.186B,,1.35B,,1.978B,21.33B,27.15B,484.00M,5.315B,6.459B,88.00M,,,-1.33B,10.84B
2001-06,743.00M,,743.00M,3.185B,,3.185B,832.00M,1.977B,116.00M,2.925B,,995.00M,9.466B,,,,,31.72B,-16.60B,15.12B,6.607B,,6.607B,276.00M,3.395B,4.463B,29.86B,39.32B,1.83B,1.83B,2.35B,4.18B,,1.271B,1.271B,363.00M,5.814B,14.59B,,14.59B,4.221B,4.221B,,1.341B,,2.128B,20.94B,26.76B,484.00M,5.711B,6.443B,51.00M,,,-1.358B,11.23B
2001-03,1.119B,,1.119B,3.315B,,3.315B,890.00M,1.983B,133.00M,3.006B,,808.00M,10.15B,,,,,31.61B,-16.20B,15.41B,6.474B,,6.474B,296.00M,3.058B,5.127B,30.37B,40.52B,1.994B,1.994B,2.304B,4.298B,,2.005B,2.005B,397.00M,6.70B,13.92B,,13.92B,4.66B,4.66B,,1.332B,,2.093B,20.67B,27.37B,484.00M,6.144B,6.505B,52.00M,,,-1.268B,11.81B
2000-12,1.198B,,1.198B,3.456B,,3.456B,936.00M,2.253B,105.00M,3.294B,,752.00M,10.27B,,,28.15B,2.028B,30.18B,-14.04B,16.13B,6.31B,3.00M,6.313B,269.00M,3.163B,5.966B,31.84B,42.11B,2.145B,2.145B,2.651B,4.796B,,2.115B,2.115B,475.00M,7.386B,14.45B,,14.45B,4.699B,4.699B,,1.355B,,2.182B,21.33B,28.72B,484.00M,6.308B,6.501B,117.00M,,,-1.142B,12.03B
2000-09,1.171B,,1.171B,3.729B,,3.729B,968.00M,2.283B,147.00M,3.398B,,1.866B,10.16B,,,,,33.07B,-15.70B,17.37B,6.438B,,6.438B,316.00M,2.619B,6.056B,32.80B,42.96B,1.829B,1.829B,2.845B,4.674B,,2.912B,2.912B,,7.586B,14.50B,,14.50B,4.647B,4.647B,,1.426B,,2.239B,21.38B,28.97B,484.00M,6.799B,6.473B,120.00M,,,-1.064B,12.57B
2000-06,1.145B,,1.145B,4.07B,,4.07B,1.096B,2.452B,195.00M,3.743B,,576.00M,9.534B,,,,,34.23B,-15.50B,18.73B,6.701B,,6.701B,503.00M,2.872B,6.115B,34.92B,44.46B,1.978B,1.978B,2.687B,4.665B,,3.147B,3.147B,,7.812B,14.74B,,14.74B,5.023B,5.023B,,1.702B,,2.14B,21.90B,29.71B,484.00M,7.054B,6.437B,72.00M,,,-862.00M,13.04B
2000-03,1.574B,,1.574B,3.409B,,3.409B,969.00M,2.152B,185.00M,3.306B,,384.00M,8.673B,,,,,29.69B,-15.30B,14.39B,3.207B,,3.207B,169.00M,2.216B,2.895B,22.88B,31.55B,1.874B,1.874B,1.902B,3.776B,,1.699B,1.699B,,5.475B,9.055B,,9.055B,3.442B,3.442B,,1.699B,,1.349B,13.85B,19.32B,415.00M,6.887B,4.076B,50.00M,,,-799.00M,10.53B
1999-12,453.00M,,453.00M,3.227B,,3.227B,970.00M,2.047B,186.00M,3.203B,,358.00M,7.241B,,,26.64B,2.889B,29.53B,-15.15B,14.38B,2.596B,6.00M,2.602B,1.044B,2.079B,2.921B,23.03B,30.27B,1.87B,1.87B,1.592B,3.462B,,920.00M,920.00M,,4.382B,9.325B,,9.325B,3.344B,3.344B,,1.581B,,1.332B,14.00B,18.38B,415.00M,6.613B,4.078B,63.00M,,,-739.00M,10.30B
1999-09,353.00M,,353.00M,,,3.294B,,,,3.188B,,367.00M,7.202B,,,,,32.49B,-14.87B,17.62B,,2.637B,2.637B,,,3.024B,23.28B,30.49B,1.611B,1.611B,,1.611B,,1.126B,1.126B,1.658B,4.395B,7.584B,,7.584B,3.325B,3.325B,,3.48B,,1.289B,12.20B,16.59B,414.00M,6.657B,3.987B,30.00M,,-614.00M,-614.00M,10.41B
1999-06,624.00M,,624.00M,,,3.119B,,,,3.078B,,380.00M,7.201B,,,,,32.50B,-14.67B,17.83B,,2.658B,2.658B,,,3.127B,23.61B,30.81B,1.605B,1.605B,,1.605B,,1.526B,1.526B,1.496B,4.627B,7.615B,,7.615B,3.396B,3.396B,,3.488B,,1.288B,12.30B,16.93B,,6.617B,,,,,,10.40B
1999-03,403.00M,,403.00M,,,2.562B,,,,2.651B,,343.00M,5.959B,,,,,25.33B,-10.72B,14.61B,,2.593B,2.593B,,,2.977B,20.18B,26.14B,1.386B,1.386B,,1.386B,,1.097B,1.097B,1.225B,3.708B,6.38B,,6.38B,2.849B,2.849B,,3.402B,,1.124B,10.35B,14.06B,,5.083B,,,,,,8.677B
1998-12,533.00M,,533.00M,3.018B,,3.018B,1.065B,1.983B,163.00M,3.211B,,399.00M,7.161B,,,26.58B,2.987B,29.57B,-14.25B,15.32B,2.699B,19.00M,2.718B,1.147B,2.027B,3.093B,24.30B,31.47B,1.808B,1.808B,1.26B,3.068B,,1.418B,1.418B,,4.486B,9.502B,,9.502B,3.673B,3.673B,,1.72B,,1.347B,14.52B,19.01B,413.00M,6.848B,3.896B,24.00M,,,-395.00M,10.74B
1998-09,857.00M,,857.00M,,,2.516B,,,,2.729B,,447.00M,6.549B,,,,,25.27B,-10.41B,14.86B,,2.537B,2.537B,,,3.138B,20.53B,27.08B,1.23B,1.23B,,1.23B,,1.33B,1.33B,1.369B,3.929B,6.908B,,6.908B,2.672B,2.672B,,3.437B,,1.165B,10.74B,14.67B,,5.139B,,,,,,8.969B
1998-06,578.00M,,578.00M,,,2.316B,,,,2.67B,,491.00M,6.055B,,,,,25.12B,-10.20B,14.93B,,2.517B,2.517B,,,3.04B,20.49B,26.54B,1.084B,1.084B,,1.084B,,1.791B,1.791B,1.15B,4.025B,7.045B,,7.045B,2.687B,2.687B,,2.571B,,1.20B,10.93B,14.96B,,5.195B,,,,,,9.013B
