,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-09,17.73B,17.73B,14.36B,3.37B,,807.00M,901.00M,49.00M,121.00M,-121.00M,-52.00M,1.656B,1.714B,121.00M,-121.00M,49.00M,-121.00M,1.642B,548.00M,1.094B,4.00M,,,1.098B,1.061B,2.184B,421.00M,1.763B,1.47,0.0,,1.426,1.47,1.46,0.0,,1.4169999999999998,1.46,748.00M,753.90M,0.42
2011-06,16.54B,16.54B,13.20B,3.343B,,870.00M,1.047B,34.00M,123.00M,-123.00M,-88.00M,1.829B,1.514B,123.00M,-123.00M,34.00M,-123.00M,1.425B,483.00M,942.00M,-1.00M,,,941.00M,919.53M,1.98B,432.00M,1.548B,1.27,0.0,,1.24,1.27,1.25,0.0,,1.22,1.25,745.50M,752.60M,0.42
2011-03,14.91B,14.91B,12.05B,2.861B,,866.00M,1.057B,13.00M,130.00M,-130.00M,-62.00M,1.861B,1.00B,130.00M,-130.00M,13.00M,-130.00M,883.00M,295.00M,588.00M,-2.00M,,,586.00M,579.34M,1.397B,384.00M,1.013B,0.79,0.0,,0.7783,0.79,0.78,0.0,,0.7684,0.78,742.90M,749.00M,0.42
2010-12,16.55B,16.55B,13.41B,3.137B,,977.00M,1.134B,-23.00M,132.00M,-132.00M,,2.298B,839.00M,132.00M,-132.00M,296.00M,-132.00M,1.003B,-163.00M,1.166B,-2.00M,,,1.164B,1.181B,1.611B,476.00M,1.135B,1.59,-0.01,,1.611,1.58,1.57,-0.01,,1.59,1.56,729.00M,735.80M,0.42
2010-09,16.97B,16.97B,13.75B,3.221B,,936.00M,986.00M,1.00M,130.00M,-130.00M,-74.00M,1.848B,1.373B,130.00M,-130.00M,1.00M,-130.00M,1.244B,407.00M,837.00M,0.00,,,837.00M,836.33M,1.79B,416.00M,1.374B,1.13,0.0,,1.129,1.13,1.12,0.0,,1.119,1.12,739.10M,744.60M,0.42
2010-06,15.57B,15.57B,12.54B,3.033B,,778.00M,1.001B,34.00M,132.00M,-132.00M,-54.00M,1.725B,1.308B,132.00M,-132.00M,34.00M,-132.00M,1.21B,421.00M,789.00M,-2.00M,,,787.00M,766.83M,1.791B,449.00M,1.342B,1.07,0.0,,1.04,1.07,1.06,0.0,,1.03,1.06,737.20M,742.90M,0.42
2010-03,15.22B,15.22B,12.14B,3.072B,,953.00M,1.00B,-2.00M,122.00M,-122.00M,-55.00M,1.898B,1.174B,122.00M,-122.00M,-2.00M,-122.00M,1.05B,531.00M,519.00M,0.00,,,519.00M,520.30M,1.577B,405.00M,1.172B,0.71,0.0,,0.7118,0.71,0.7,0.0,,0.7018,0.7,734.80M,740.10M,0.42
2009-12,17.94B,17.94B,14.51B,3.429B,,780.00M,1.002B,-57.00M,110.00M,-110.00M,-70.00M,1.712B,1.717B,110.00M,-110.00M,-57.00M,-110.00M,1.55B,267.00M,1.283B,-15.00M,,,1.268B,1.330B,2.127B,467.00M,1.66B,1.81,-0.02,,1.875,1.79,1.8,-0.02,,1.865,1.78,722.80M,729.30M,0.42
2009-09,16.69B,16.69B,14.48B,2.208B,,868.00M,3.574B,-4.00M,92.00M,-92.00M,-83.00M,4.359B,-2.151B,92.00M,-92.00M,-4.00M,-92.00M,-2.247B,-687.00M,-1.56B,-4.00M,,,-1.564B,-1.557B,-1.721B,434.00M,-2.155B,-2.22,-0.01,,-2.2159999999999997,-2.23,-2.22,-0.01,,-2.2159999999999997,-2.23,701.30M,701.30M,0.42
2009-06,17.15B,17.15B,13.81B,3.347B,,925.00M,960.00M,47.00M,80.00M,-80.00M,-67.00M,1.818B,1.529B,80.00M,-80.00M,47.00M,-80.00M,1.496B,499.00M,997.00M,1.00M,,,998.00M,965.68M,1.957B,381.00M,1.576B,1.42,0.0,,1.376,1.42,1.41,0.0,,1.3659999999999999,1.41,705.10M,707.40M,0.42
2009-03,16.50B,16.50B,13.74B,2.757B,,791.00M,970.00M,-36.00M,57.00M,-57.00M,-29.00M,1.732B,1.025B,57.00M,-57.00M,-36.00M,-57.00M,932.00M,317.00M,615.00M,-5.00M,,,610.00M,638.76M,1.373B,384.00M,989.00M,0.88,-0.01,,0.9137,0.87,0.87,-0.01,,0.9036,0.86,705.30M,707.40M,0.42
2008-12,12.66B,12.66B,11.26B,1.40B,,734.00M,957.00M,-6.00M,57.00M,-57.00M,-239.00M,1.452B,-52.00M,57.00M,-57.00M,-6.00M,-57.00M,-310.00M,-224.00M,-86.00M,0.00,,,-86.00M,-82.10M,164.00M,417.00M,-253.00M,-0.1,0.0,,-0.0945,-0.1,-0.1,0.0,,-0.0945,-0.1,709.00M,713.40M,0.4
2008-09,15.29B,15.29B,12.54B,2.752B,,740.00M,937.00M,55.00M,49.00M,-49.00M,,1.677B,1.075B,49.00M,-49.00M,55.00M,-49.00M,1.153B,470.00M,683.00M,12.00M,,,695.00M,647.25M,1.552B,350.00M,1.202B,0.95,0.02,,0.9002,0.97,0.94,0.02,,0.8905,0.96,717.70M,721.90M,0.4
2008-06,16.96B,16.96B,13.94B,3.02B,,835.00M,1.005B,102.00M,50.00M,-50.00M,-2.00M,1.838B,1.182B,50.00M,-50.00M,102.00M,-50.00M,1.299B,448.00M,851.00M,1.00M,,,852.00M,784.18M,1.711B,362.00M,1.349B,1.18,0.0,,1.088,1.18,1.16,0.0,,1.069,1.16,725.70M,732.80M,0.4
2008-03,15.99B,15.99B,12.60B,3.385B,,775.00M,869.00M,100.00M,46.00M,-46.00M,-58.00M,1.586B,1.799B,46.00M,-46.00M,100.00M,-46.00M,1.853B,647.00M,1.206B,5.00M,,,1.211B,1.141B,2.261B,362.00M,1.899B,1.63,0.01,,1.5419999999999998,1.64,1.61,0.01,,1.5230000000000001,1.62,738.20M,747.40M,0.4
2007-12,17.48B,17.48B,14.54B,2.932B,,796.00M,993.00M,189.00M,-168.00M,168.00M,-88.00M,1.701B,1.231B,-168.00M,168.00M,189.00M,168.00M,1.588B,561.00M,1.027B,6.00M,,,1.033B,904.77M,1.815B,395.00M,1.42B,1.38,0.0,,1.217,1.38,1.35,0.0,,1.189,1.36,749.40M,761.40M,0.35
2007-09,16.52B,16.52B,13.13B,3.383B,,931.00M,869.00M,117.00M,120.00M,-120.00M,-11.00M,1.789B,1.594B,120.00M,-120.00M,117.00M,-120.00M,1.591B,482.00M,1.109B,5.00M,,,1.114B,1.027B,2.043B,332.00M,1.711B,1.46,0.01,,1.3530000000000002,1.47,1.43,0.01,,1.325,1.44,759.30M,773.40M,0.35
2007-06,17.03B,17.03B,13.54B,3.492B,,976.00M,989.00M,177.00M,,,23.00M,1.988B,1.504B,,,177.00M,,1.585B,536.00M,1.049B,1.00M,,,1.05B,931.86M,1.904B,400.00M,1.504B,1.38,0.0,,1.227,1.38,1.35,0.0,,1.199,1.35,763.50M,777.00M,0.35
2007-03,15.36B,15.36B,12.19B,3.178B,,828.00M,999.00M,128.00M,,,40.00M,1.867B,1.311B,,,128.00M,,1.354B,481.00M,873.00M,4.00M,,,877.00M,790.47M,1.67B,359.00M,1.311B,1.14,0.01,,1.032,1.15,1.12,0.01,,1.014,1.13,765.40M,777.40M,0.35
2006-12,17.54B,17.54B,14.72B,2.823B,,1.094B,937.00M,642.00M,,,-318.00M,1.713B,1.11B,,,642.00M,,1.239B,259.00M,980.00M,,,,989.00M,472.20M,1.714B,410.00M,1.304B,1.28,0.01,,0.6188,1.29,1.27,0.01,,0.6211,1.28,768.00M,782.50M,0.3
2006-09,14.74B,14.74B,11.80B,2.936B,,834.00M,833.00M,-126.00M,,,46.00M,1.713B,1.223B,,,-126.00M,,988.00M,294.00M,694.00M,,,,694.00M,782.51M,1.594B,371.00M,1.223B,0.9,0.0,,1.014,0.9,0.89,0.0,,1.003,0.89,773.00M,784.00M,0.3
2006-06,14.99B,14.99B,12.51B,2.474B,,1.162B,739.00M,-426.00M,,,627.00M,2.528B,-54.00M,,,-426.00M,,-9.00M,151.00M,-160.00M,,,,-160.00M,95.60M,338.00M,392.00M,-54.00M,-0.21,0.0,,0.1257,-0.21,-0.21,0.0,,0.1257,-0.21,761.30M,761.30M,0.3
