,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2008-12,3.268B,11.00M,3.279B,5.602B,,5.602B,4.34B,14.05B,,19.31B,15.61B,1.046B,425.00M,25.96B,0.0,540.00M,9.133B,9.99B,1.379B,21.04B,-12.28B,8.762B,3.647B,2.685B,6.332B,1.328B,,9.971B,1.406B,27.82B,53.78B,5.871B,,41.00M,5.912B,11.56B,17.48B,12.74B,,,560.00M,,560.00M,,,,,30.77B,6.952B,,6.952B,1.154B,,1.154B,15.70B,,152.00M,337.00M,24.15B,54.92B,5.061B,22.68B,3.456B,17.76B,-13.52B,-1.294B
2008-09,4.186B,591.00M,4.777B,5.814B,,5.814B,,,,,11.15B,2.408B,193.00M,24.34B,,,,,,,,8.686B,3.53B,2.208B,5.738B,3.717B,,183.00M,7.357B,32.18B,56.52B,16.43B,,752.00M,17.18B,,17.18B,11.79B,,,390.00M,,390.00M,,,,,29.36B,7.217B,,7.217B,1.435B,,1.435B,8.267B,,,392.00M,18.44B,47.80B,5.061B,23.36B,3.792B,19.03B,-4.466B,8.714B
2008-06,5.619B,1.752B,7.371B,5.809B,,5.809B,,14.38B,,16.45B,10.14B,2.414B,198.00M,25.94B,,,,,,20.90B,-12.31B,8.585B,3.232B,2.223B,5.455B,,,276.00M,18.26B,32.57B,58.51B,30.11B,,,30.11B,,30.11B,,,,916.00M,,916.00M,,,,416.00M,31.44B,7.24B,,7.24B,1.433B,,1.433B,,,,9.798B,18.47B,49.92B,5.061B,22.67B,4.093B,16.83B,-6.395B,8.594B
2008-03,7.707B,1.881B,9.588B,5.784B,,5.784B,,13.64B,,16.54B,10.16B,2.447B,226.00M,28.20B,,,,,,20.51B,-12.13B,8.376B,3.135B,2.236B,5.371B,,,247.00M,18.16B,32.16B,60.36B,31.30B,,,31.30B,,31.30B,,,,802.00M,,802.00M,,,,587.00M,32.69B,7.428B,,7.428B,1.47B,,1.47B,,,,9.71B,18.61B,51.29B,5.061B,22.41B,4.357B,16.01B,-6.755B,9.066B
2007-12,7.042B,2.266B,9.308B,5.74B,,5.74B,3.401B,13.16B,,11.71B,9.563B,2.341B,328.00M,27.28B,0.0,544.00M,8.868B,9.308B,1.46B,20.18B,-11.92B,8.265B,3.081B,2.093B,5.174B,4.111B,,6.974B,1.258B,31.71B,58.99B,16.68B,,253.00M,16.93B,,16.93B,13.85B,,,762.00M,,762.00M,,,,,31.54B,7.455B,,7.455B,1.19B,,1.19B,8.162B,,,516.00M,18.44B,49.98B,5.061B,21.38B,4.757B,14.84B,-4.596B,9.004B
2007-09,8.948B,516.00M,9.464B,5.634B,,5.634B,,12.67B,,14.26B,8.194B,2.94B,396.00M,26.63B,,,,,,20.29B,-12.11B,8.182B,3.096B,1.75B,4.846B,,,823.00M,14.31B,28.16B,54.79B,28.76B,,,28.76B,,28.76B,,,,1.025B,,1.025B,,,,1.08B,30.87B,7.555B,,7.555B,,,,,,,9.959B,17.51B,48.38B,5.061B,20.92B,5.242B,13.96B,-10.85B,6.406B
2007-06,7.156B,475.00M,7.631B,6.038B,,6.038B,,12.65B,,13.50B,8.48B,2.924B,450.00M,25.52B,,,,,,19.79B,-11.80B,7.985B,3.092B,1.754B,4.846B,,,918.00M,14.61B,28.36B,53.89B,28.72B,,,28.72B,,28.72B,,,,561.00M,,561.00M,,,,846.00M,30.13B,8.094B,,8.094B,,,,,,,9.808B,17.90B,48.03B,5.061B,19.81B,4.899B,13.13B,-10.78B,5.857B
2007-03,4.836B,441.00M,5.277B,5.505B,,5.505B,,12.50B,,12.67B,8.40B,2.868B,460.00M,22.51B,,,,,,19.54B,-11.71B,7.837B,3.091B,1.72B,4.811B,,,980.00M,15.42B,29.05B,51.56B,27.06B,,,27.06B,,27.06B,,,,598.00M,,598.00M,,,,776.00M,28.43B,8.149B,,8.149B,,,,,,,9.367B,17.52B,45.94B,5.061B,19.32B,4.691B,12.67B,-10.79B,5.611B
2006-12,6.118B,268.00M,6.386B,5.285B,,5.285B,2.888B,12.33B,,8.743B,8.105B,2.837B,370.00M,22.98B,0.0,524.00M,8.571B,8.614B,1.601B,19.31B,-11.64B,7.675B,3.047B,1.698B,4.745B,4.085B,,9.571B,929.00M,28.81B,51.79B,16.20B,,670.00M,16.87B,,16.87B,11.45B,,,1.381B,,1.381B,,,,,29.70B,8.157B,,8.157B,0.00,,0.00,8.806B,,,391.00M,17.35B,47.06B,5.061B,18.45B,4.655B,12.46B,-8.217B,4.739B
2006-09,5.198B,423.00M,5.621B,5.256B,,5.256B,,14.52B,,11.31B,8.173B,2.962B,364.00M,22.38B,,,,,,20.53B,-11.86B,8.67B,3.208B,1.471B,4.679B,,,148.00M,25.58B,39.08B,61.46B,27.26B,,,27.26B,,27.26B,,,,1.582B,,1.582B,,,,813.00M,29.66B,8.549B,,8.549B,2.93B,,2.93B,,,,9.293B,20.77B,50.43B,5.061B,17.99B,4.313B,12.13B,-4.203B,11.03B
2006-06,7.567B,567.00M,8.134B,4.577B,,4.577B,,14.40B,,10.31B,7.562B,2.545B,353.00M,23.17B,,,,,,20.85B,-11.80B,9.042B,2.037B,841.00M,2.878B,,,161.00M,26.02B,38.10B,61.27B,28.12B,,,28.12B,,28.12B,,,,1.499B,,1.499B,,,,743.00M,30.36B,8.962B,,8.962B,2.315B,,2.315B,,,,9.266B,20.54B,50.90B,5.061B,17.29B,4.564B,11.54B,-5.012B,10.37B
2006-03,6.781B,576.00M,7.357B,5.019B,,5.019B,,16.97B,,7.708B,7.627B,2.406B,354.00M,22.76B,,,,,,20.47B,-11.58B,8.891B,,2.772B,2.772B,,,161.00M,26.82B,38.64B,61.41B,16.72B,,,16.72B,,16.72B,,,,1.967B,,1.967B,,,,10.70B,29.39B,9.057B,,9.057B,2.219B,,2.219B,,,,9.227B,20.50B,49.89B,5.061B,17.95B,4.643B,11.22B,-4.923B,11.52B
2005-12,5.412B,554.00M,5.966B,5.246B,,5.246B,2.235B,14.19B,,7.745B,7.878B,2.449B,367.00M,21.91B,0.0,481.00M,9.287B,8.75B,1.174B,19.69B,-11.27B,8.42B,1.924B,875.00M,2.799B,2.852B,,9.779B,989.00M,38.09B,60.00B,16.51B,,556.00M,17.07B,,17.07B,9.868B,,,1.189B,,1.189B,,,,,28.13B,9.538B,,9.538B,2.067B,,2.067B,8.937B,,,269.00M,20.81B,48.94B,5.061B,17.28B,4.371B,11.08B,-1.778B,11.06B
2005-09,4.547B,527.00M,5.074B,4.997B,,4.997B,,14.79B,,9.55B,6.877B,1.757B,454.00M,19.16B,,,,,,19.73B,-11.46B,8.268B,,2.811B,2.811B,,,335.00M,27.74B,39.16B,58.32B,16.91B,,,16.91B,,16.91B,,,,726.00M,,726.00M,,,,8.478B,26.12B,10.14B,,10.14B,367.00M,,367.00M,,,,12.28B,22.78B,48.90B,5.061B,17.26B,3.84B,10.36B,-6.377B,9.423B
2005-06,4.961B,207.00M,5.168B,5.066B,,5.066B,,14.18B,,8.083B,5.508B,2.037B,464.00M,18.24B,,,,,,19.54B,-11.42B,8.121B,,2.825B,2.825B,,,247.00M,27.06B,38.25B,56.49B,15.94B,,,15.94B,,15.94B,,,,809.00M,,809.00M,,,,7.676B,24.42B,10.22B,,10.22B,1.222B,,1.222B,,,,9.493B,20.94B,45.36B,5.059B,16.25B,4.009B,9.637B,-4.55B,11.13B
2005-03,3.33B,167.00M,3.497B,5.316B,,5.316B,,14.25B,,8.93B,6.079B,1.988B,565.00M,17.44B,,,,,,21.44B,-12.97B,8.467B,,2.86B,2.86B,,,308.00M,27.63B,39.27B,56.71B,15.34B,,,15.34B,,15.34B,,,,998.00M,,998.00M,,,,7.065B,23.40B,10.78B,,10.78B,1.186B,,1.186B,,,,9.867B,21.84B,45.24B,5.059B,16.10B,3.696B,9.154B,-4.224B,11.48B
2004-12,3.204B,319.00M,3.523B,4.653B,,4.653B,1.89B,13.00B,,6.072B,6.508B,1.991B,616.00M,17.36B,0.0,470.00M,9.677B,10.32B,940.00M,21.40B,-12.96B,8.443B,1.948B,955.00M,2.903B,3.05B,,10.54B,1.34B,38.86B,56.22B,14.87B,,522.00M,15.39B,,15.39B,6.384B,,,1.321B,,1.321B,,,,,23.10B,10.88B,,10.88B,1.09B,745.00M,1.835B,9.128B,,,,21.84B,44.94B,5.059B,15.56B,3.42B,8.81B,-1.925B,11.29B
2004-09,4.312B,96.00M,4.408B,5.204B,,5.204B,,10.50B,,8.558B,4.28B,1.67B,922.00M,16.48B,0.0,465.00M,9.555B,10.37B,1.001B,21.39B,-13.06B,8.333B,,2.928B,2.928B,,,1.334B,26.31B,38.90B,55.39B,4.781B,,,4.781B,3.467B,8.248B,,,,1.32B,,1.32B,,,,11.91B,21.48B,11.05B,,11.05B,,,,,,,13.31B,24.36B,45.85B,5.059B,15.76B,3.272B,8.411B,-6.134B,9.542B
2004-06,6.184B,,6.184B,4.598B,,4.598B,,10.53B,,8.28B,4.255B,1.729B,1.303B,18.07B,0.0,451.00M,9.41B,10.58B,1.026B,21.47B,-13.22B,8.252B,,2.929B,2.929B,,,1.352B,23.68B,36.21B,54.28B,4.289B,,,4.289B,3.068B,7.357B,,,,2.575B,,2.575B,,,,11.04B,20.97B,11.08B,,11.08B,,,,,,,13.28B,24.36B,45.33B,5.059B,15.30B,3.212B,8.359B,-6.263B,8.949B
2004-03,3.95B,,3.95B,4.844B,,4.844B,,10.19B,,8.987B,5.324B,1.716B,847.00M,16.68B,0.0,455.00M,9.284B,10.72B,1.059B,21.52B,-13.14B,8.383B,,2.927B,2.927B,,,1.182B,24.63B,37.12B,53.80B,4.246B,,,4.246B,2.935B,7.181B,,,,916.00M,,916.00M,,,,10.48B,18.57B,13.11B,,13.11B,,,,,,,13.26B,26.37B,44.94B,5.059B,15.03B,2.846B,8.244B,-5.832B,8.859B
2003-12,4.633B,0.00,4.633B,4.466B,,4.665B,2.596B,10.23B,,6.448B,5.338B,1.716B,857.00M,19.29B,0.0,457.00M,9.381B,10.77B,943.00M,21.55B,-12.95B,8.597B,1.913B,1.035B,2.948B,646.00M,,11.30B,1.663B,33.70B,52.99B,13.51B,,277.00M,13.79B,,13.79B,3.464B,,,1.144B,,1.144B,,,,,18.40B,13.30B,,13.30B,0.00,775.00M,775.00M,12.37B,,,,26.45B,44.85B,5.059B,14.41B,2.88B,8.322B,-4.145B,8.139B
2003-09,1.733B,,1.733B,4.422B,,4.422B,3.831B,9.332B,,6.715B,6.63B,2.042B,788.00M,15.62B,0.0,455.00M,9.087B,10.96B,1.008B,21.51B,-13.06B,8.451B,,2.968B,2.968B,,,2.045B,23.18B,36.64B,52.26B,4.044B,,,4.044B,2.803B,6.847B,,,,1.55B,,1.55B,,,,10.55B,18.94B,13.32B,,13.32B,713.00M,,713.00M,,,,11.93B,25.96B,44.90B,5.059B,13.56B,2.45B,8.34B,-5.38B,7.35B
2003-06,1.879B,,1.879B,5.235B,,5.235B,3.886B,9.928B,,6.455B,6.384B,2.042B,909.00M,16.45B,0.0,446.00M,9.006B,10.95B,1.014B,21.42B,-12.90B,8.521B,,2.991B,2.991B,,,2.196B,21.49B,35.20B,51.65B,4.175B,,,4.175B,2.899B,7.074B,,,,1.505B,,1.505B,,,,10.67B,19.25B,13.08B,,13.08B,,,,,,,12.36B,25.44B,44.68B,5.059B,13.31B,2.341B,8.35B,-5.39B,6.966B
2003-03,1.993B,,1.993B,4.929B,,4.929B,2.939B,9.578B,,7.466B,6.426B,2.042B,1.324B,16.71B,0.0,452.00M,8.992B,11.00B,958.00M,21.40B,-12.79B,8.614B,,3.015B,3.015B,,,2.247B,20.64B,34.51B,51.23B,4.127B,,,4.127B,2.66B,6.787B,,,,1.801B,,1.801B,,,,9.846B,18.43B,13.21B,,13.21B,,,,,,,12.30B,25.51B,43.94B,5.059B,13.78B,1.85B,8.361B,-5.048B,7.284B
2002-12,2.333B,,2.333B,5.007B,,5.007B,2.713B,9.79B,,7.379B,6.184B,2.042B,1.289B,16.86B,0.0,461.00M,9.081B,11.10B,837.00M,21.48B,-12.72B,8.765B,2.76B,1.128B,3.888B,,,13.19B,2.969B,35.49B,52.34B,13.74B,,1.134B,14.87B,,14.87B,3.123B,,,1.814B,,1.814B,,,,,19.81B,12.59B,,12.59B,,542.00M,542.00M,11.70B,,,,24.84B,44.65B,5.059B,14.26B,2.141B,8.397B,-4.045B,7.696B
2002-09,1.702B,,1.702B,5.207B,,5.207B,2.727B,9.317B,,7.704B,5.902B,2.544B,1.256B,16.61B,0.0,479.00M,8.939B,10.63B,968.00M,21.02B,-12.69B,8.325B,,3.852B,3.852B,,,,19.53B,31.71B,48.32B,4.535B,,,4.535B,3.832B,8.367B,,,,1.617B,,1.617B,,,,9.04B,19.02B,11.99B,,11.99B,349.00M,,349.00M,,,,6.056B,18.39B,37.42B,5.059B,13.96B,2.092B,8.431B,-1.774B,10.90B
2002-06,816.00M,,816.00M,5.713B,,5.713B,2.646B,8.879B,7.913B,,5.446B,2.544B,1.241B,15.76B,0.0,482.00M,8.995B,10.60B,916.00M,20.99B,-12.57B,8.415B,,3.874B,3.874B,,,,19.18B,31.47B,47.23B,4.714B,,,4.714B,3.986B,8.70B,,,,1.844B,,1.844B,,,,8.595B,19.14B,11.31B,,11.31B,333.00M,,333.00M,,,,6.042B,17.69B,36.83B,5.059B,13.58B,2.403B,8.446B,-2.199B,10.40B
2002-03,643.00M,,643.00M,5.696B,,5.696B,2.546B,8.467B,,8.902B,6.084B,2.543B,1.107B,16.07B,,,,,,20.96B,-12.51B,8.444B,,3.895B,3.895B,,,,18.14B,30.48B,46.55B,5.006B,,,5.006B,3.653B,8.659B,,,,1.551B,,1.551B,,,,9.005B,19.22B,11.32B,,11.32B,236.00M,,236.00M,,,,6.022B,17.58B,36.80B,5.059B,13.09B,2.421B,8.454B,-2.364B,9.753B
2001-12,633.00M,,633.00M,5.156B,,5.156B,2.629B,7.307B,,11.08B,7.559B,2.444B,1.053B,16.84B,0.0,489.00M,8.598B,10.64B,1.099B,20.83B,-12.37B,8.459B,5.127B,1.32B,6.447B,,,9.345B,2.044B,32.13B,48.98B,14.24B,,909.00M,15.15B,,15.15B,4.021B,,,1.399B,,1.399B,,,,,20.57B,10.87B,,10.87B,177.00M,622.00M,799.00M,5.922B,,,,17.59B,38.15B,5.059B,14.34B,1.975B,8.509B,-485.00M,10.82B
2001-09,1.572B,,1.572B,4.804B,,4.804B,2.018B,,,20.36B,7.776B,2.176B,1.605B,17.93B,,,,,,20.85B,-12.16B,8.695B,,6.536B,6.536B,,,,14.74B,29.97B,47.90B,5.285B,,,5.285B,3.043B,8.328B,,,,2.347B,,2.347B,,,,10.66B,21.34B,9.306B,,9.306B,52.00M,,52.00M,,,16.00M,5.887B,15.24B,36.58B,5.059B,14.53B,1.657B,8.516B,-1.422B,11.30B
2001-06,1.502B,,1.502B,4.71B,,4.71B,1.973B,,,19.72B,7.407B,2.161B,1.409B,17.19B,,,,,,20.86B,-12.16B,8.701B,,5.223B,5.223B,,,,13.58B,27.51B,44.70B,5.216B,,,5.216B,3.157B,8.373B,,,,780.00M,,780.00M,,,,8.62B,17.77B,9.81B,,9.81B,84.00M,,84.00M,,,14.00M,5.521B,15.42B,33.19B,5.059B,13.87B,2.468B,7.658B,-2.247B,11.50B
2001-03,1.552B,,1.552B,4.524B,,4.524B,2.02B,,,20.33B,8.016B,2.153B,926.00M,17.17B,,,,,,20.87B,-12.16B,8.712B,,5.247B,5.247B,,,,12.67B,26.63B,43.80B,5.421B,,,5.421B,2.83B,8.251B,,,,658.00M,,658.00M,,,,9.197B,18.11B,8.238B,,8.238B,38.00M,,38.00M,,,16.00M,5.182B,13.46B,31.56B,5.059B,13.33B,2.381B,6.307B,-2.242B,12.22B
2000-12,1.01B,,1.01B,5.519B,,5.519B,2.075B,8.456B,,10.90B,6.852B,2.137B,995.00M,16.51B,0.0,460.00M,9.241B,10.38B,891.00M,20.97B,-12.16B,8.814B,,,5.214B,,,6.024B,1.267B,26.16B,42.68B,12.31B,,1.866B,14.18B,,14.18B,3.517B,,,1.232B,,1.232B,,,,,18.93B,7.567B,,7.567B,0.00,0.00,0.00,5.163B,,,,12.73B,31.66B,5.059B,12.09B,2.693B,6.221B,-2.00M,11.02B
2000-09,6.162B,100.00M,6.262B,3.693B,,3.693B,1.951B,,,19.35B,6.071B,1.757B,314.00M,18.10B,,,,,,19.95B,-12.02B,7.93B,,2.434B,2.434B,,,,10.99B,21.35B,39.45B,5.155B,,,5.155B,2.668B,7.823B,,,,692.00M,,692.00M,,,,6.503B,15.02B,7.081B,,7.081B,178.00M,,178.00M,,,,5.017B,12.28B,27.29B,5.059B,11.88B,2.557B,4.902B,-2.443B,12.15B
2000-06,4.772B,100.00M,4.872B,3.552B,,3.552B,1.912B,,,19.17B,6.193B,1.906B,319.00M,16.84B,,,,,,20.09B,-12.02B,8.07B,,2.191B,2.191B,,,,10.37B,20.64B,37.48B,5.042B,,,5.042B,2.559B,7.601B,,,,933.00M,,933.00M,,,,6.128B,14.66B,5.657B,,5.657B,141.00M,,141.00M,,,,4.968B,10.77B,25.43B,5.059B,11.27B,1.814B,4.468B,-1.628B,12.05B
2000-03,2.628B,99.00M,2.727B,3.422B,,3.422B,1.979B,,,21.19B,7.974B,1.708B,351.00M,16.18B,,,,,,20.16B,-12.02B,8.142B,,2.212B,2.212B,,,,10.02B,20.38B,36.56B,4.689B,,,4.689B,2.401B,7.09B,,,,1.044B,,1.044B,,,,5.744B,13.88B,5.709B,,5.709B,196.00M,,196.00M,,,,4.922B,10.83B,24.70B,5.059B,10.90B,1.621B,4.24B,-1.49B,11.86B
1999-12,3.354B,100.00M,3.454B,3.453B,,3.453B,2.042B,,,19.54B,6.539B,1.467B,799.00M,15.71B,0.0,430.00M,8.148B,10.41B,1.13B,20.12B,-11.87B,8.245B,,2.233B,2.233B,,,,9.957B,20.44B,36.15B,4.909B,,,4.909B,2.421B,7.33B,,,,752.00M,,752.00M,,,,5.574B,13.66B,5.98B,,5.98B,172.00M,,172.00M,,,,4.877B,11.03B,24.68B,5.059B,10.49B,1.684B,4.161B,-1.607B,11.46B
1999-09,2.673B,100.00M,2.773B,3.20B,,3.20B,2.191B,,,22.57B,8.729B,1.423B,595.00M,16.72B,,,,,,20.36B,-11.93B,8.435B,,2.25B,2.25B,,,415.00M,9.374B,20.47B,37.19B,5.465B,,,5.465B,2.608B,8.073B,,,,744.00M,,744.00M,,,,5.354B,14.17B,5.909B,,5.909B,,,,,,,4.894B,10.80B,24.97B,5.059B,10.08B,1.686B,2.922B,-1.686B,12.22B
1999-06,2.777B,225.00M,3.002B,3.698B,,3.698B,2.158B,,,22.50B,8.631B,1.503B,609.00M,17.44B,,,,,,20.48B,-11.88B,8.601B,,2.27B,2.27B,,,397.00M,9.35B,20.62B,38.06B,5.419B,,,5.419B,2.478B,7.897B,,,,810.00M,,810.00M,,,,5.708B,14.42B,6.097B,,6.097B,,,,,,,4.873B,10.97B,25.38B,5.059B,9.605B,1.653B,1.938B,-1.703B,12.68B
1999-03,2.398B,276.00M,2.674B,3.491B,,3.491B,2.204B,,,23.98B,8.997B,1.488B,630.00M,17.28B,,,,,,20.38B,-11.79B,8.584B,,2.291B,2.291B,,,405.00M,9.136B,20.42B,37.70B,5.588B,,,5.588B,2.604B,8.192B,,,,821.00M,,821.00M,,,,4.922B,13.94B,6.162B,,6.162B,,,,,,,4.852B,11.01B,24.95B,5.059B,9.175B,1.263B,1.397B,-1.353B,12.75B
1998-12,2.183B,279.00M,2.462B,3.288B,,3.288B,2.162B,,,21.81B,8.584B,1.495B,781.00M,16.61B,0.0,499.00M,8.244B,10.52B,977.00M,20.24B,-11.65B,8.589B,2.312B,,2.312B,,,411.00M,9.102B,20.41B,37.02B,5.263B,,,5.263B,2.326B,7.589B,,,,869.00M,,869.00M,,,,5.316B,13.77B,6.103B,,6.103B,,,,,,,4.831B,10.93B,24.71B,5.059B,8.706B,1.147B,1.321B,-1.275B,12.32B
1998-09,2.435B,279.00M,2.714B,3.255B,,3.255B,2.283B,,,28.06B,10.53B,1.674B,126.00M,18.30B,,,,,,20.09B,-11.54B,8.552B,2.333B,,2.333B,,,232.00M,8.206B,19.32B,37.62B,5.59B,,,5.59B,2.46B,8.05B,,,,534.00M,,534.00M,,,,5.017B,13.60B,6.261B,,6.261B,,,,,,,4.789B,11.05B,24.65B,5.059B,8.518B,1.171B,417.00M,-1.359B,12.97B
1998-06,3.154B,302.00M,3.456B,3.235B,,3.235B,2.414B,,,26.87B,10.19B,1.715B,227.00M,18.82B,,,,,,19.86B,-11.34B,8.528B,2.353B,,2.353B,,,145.00M,8.091B,19.12B,37.94B,5.644B,,,5.644B,2.432B,8.076B,,,,365.00M,,365.00M,,,,5.316B,13.76B,6.438B,,6.438B,,,,,,,4.792B,11.23B,24.99B,5.059B,8.17B,1.498B,69.00M,-1.703B,12.96B
1998-03,4.092B,454.00M,4.546B,3.299B,,3.299B,1.836B,,,27.05B,9.155B,1.974B,212.00M,19.19B,,,,,,19.61B,-11.08B,8.528B,2.374B,,2.374B,,,53.00M,8.093B,19.05B,38.23B,5.734B,,,5.734B,2.551B,8.285B,,,,419.00M,,419.00M,,,,5.278B,13.98B,6.43B,,6.43B,,,,,,,4.795B,11.22B,25.21B,5.059B,8.197B,1.744B,17.00M,-1.956B,13.03B
