,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-09,452.53M,,452.53M,1.506B,1.506B,,7.347M,355.34M,16.83M,379.52M,106.69M,,247.32M,,2.692B,,,,,,1.540B,-930.75M,609.40M,1.698B,652.29M,2.350B,,872.96M,3.833B,6.525B,360.78M,,360.78M,631.40M,992.18M,1.331B,,,,1.331B,,1.331B,1.005B,1.005B,607.72M,3.936B,0.292M,,0.292M,84.30M,,84.30M,,,,774.32M,858.92M,4.795B,411.71M,5.478B,144.75M,4.215B,,,,-89.78M,1.730B
2007-06,358.08M,,358.08M,1.296B,1.296B,,8.637M,401.25M,20.31M,430.19M,115.49M,,246.40M,,2.446B,,,,,,1.476B,-906.23M,569.71M,1.669B,637.49M,2.307B,,916.74M,3.793B,6.239B,362.37M,,362.37M,617.60M,979.98M,994.19M,,,,994.19M,,994.19M,1.026B,1.026B,502.39M,3.502B,0.30M,,0.30M,91.60M,,91.60M,,,,753.76M,845.66M,4.348B,411.71M,5.093B,118.50M,3.625B,,,,-106.83M,1.892B
2007-03,429.63M,,429.63M,966.83M,966.83M,,7.209M,358.00M,19.95M,385.16M,114.46M,,245.60M,,2.142B,,,,,,1.410B,-874.96M,535.04M,1.630B,638.94M,2.269B,,932.29M,3.736B,5.878B,326.45M,,326.45M,387.92M,714.37M,607.15M,,,,607.15M,,607.15M,977.99M,977.99M,725.10M,3.025B,0.307M,,0.307M,111.10M,,111.10M,,,,766.20M,877.61M,3.902B,411.71M,4.887B,129.76M,3.339B,,,,-113.76M,1.976B
2006-12,353.50M,,353.50M,1.237B,1.237B,,8.047M,292.93M,21.19M,322.17M,100.27M,,244.67M,,2.258B,0.00,13.88M,444.31M,939.35M,,1.398B,-855.32M,542.22M,1.671B,653.45M,2.325B,,917.80M,3.785B,6.043B,372.47M,,372.47M,657.23M,1.030B,2.367M,,,,2.367M,,2.367M,983.21M,983.21M,452.74M,2.468B,0.314M,,0.314M,150.71M,,150.71M,,,,744.23M,895.26M,3.363B,411.71M,4.821B,114.60M,2.553B,,,,-115.21M,2.680B
2006-09,309.71M,,309.71M,1.315B,1.315B,,8.239M,318.08M,20.13M,346.46M,109.39M,,299.85M,,2.380B,,,,,,1.331B,-830.82M,500.30M,1.661B,668.91M,2.330B,,921.96M,3.752B,6.132B,303.03M,,303.03M,570.87M,873.90M,235.08M,,,,235.08M,,235.08M,883.59M,883.59M,550.78M,2.543B,0.318M,,0.318M,278.44M,,278.44M,,,,703.96M,982.71M,3.526B,411.71M,4.681B,81.49M,2.501B,,,,-66.72M,2.606B
2006-06,211.05M,,211.05M,1.117B,1.117B,,6.843M,362.23M,20.35M,389.42M,120.69M,,298.57M,,2.137B,,,,,,1.318B,-816.46M,501.74M,1.655B,675.83M,2.330B,,966.03M,3.798B,5.935B,294.27M,,294.27M,413.27M,707.54M,681.26M,,,,681.26M,,681.26M,892.51M,892.51M,508.13M,2.789B,0.327M,,0.327M,289.25M,,289.25M,,,,697.33M,986.90M,3.776B,411.71M,4.363B,52.12M,2.595B,,,,-72.68M,2.159B
2006-03,179.74M,,179.74M,879.84M,879.84M,,6.253M,341.67M,22.61M,370.53M,131.39M,,287.47M,,1.849B,,,,,,1.298B,-790.76M,506.83M,,2.337B,2.337B,,960.46M,3.805B,5.653B,279.96M,,279.96M,330.69M,610.65M,2.881M,,,,2.881M,,2.881M,866.22M,866.22M,863.93M,2.344B,0.333M,,0.333M,293.40M,,293.40M,,,,686.73M,980.46M,3.324B,411.71M,4.207B,70.12M,2.281B,,,,-79.07M,2.329B
2005-12,748.79M,,748.79M,1.114B,1.114B,,8.286M,309.51M,17.48M,335.28M,105.18M,,287.40M,,2.591B,0.00,13.61M,397.53M,888.37M,,1.300B,-772.76M,526.75M,,2.352B,2.352B,,926.15M,3.805B,6.396B,336.28M,,336.28M,614.91M,951.19M,2.947M,,,,2.947M,,2.947M,853.25M,853.25M,417.44M,2.225B,0.339M,,0.339M,318.02M,,318.02M,,,,739.48M,1.058B,3.283B,411.71M,4.199B,1.02M,1.402B,,,,-96.82M,3.113B
2005-09,466.64M,,466.64M,1.362B,1.362B,,15.82M,337.20M,16.21M,369.23M,116.82M,,267.87M,,2.582B,,,,,,1.266B,-752.92M,513.33M,,2.360B,2.360B,,901.63M,3.775B,6.357B,263.07M,,263.07M,531.18M,794.25M,4.106M,,,,4.106M,,4.106M,816.79M,816.79M,560.77M,2.176B,0.345M,,0.345M,321.57M,,321.57M,,,,695.74M,1.018B,3.194B,411.71M,4.072B,0.002M,1.245B,,,,-75.16M,3.164B
2005-06,245.90M,,245.90M,1.121B,1.121B,,16.19M,395.77M,21.92M,433.88M,148.92M,,267.06M,,2.217B,,,,,,1.245B,-729.96M,514.64M,,2.458B,2.458B,,975.36M,3.948B,6.165B,285.52M,,285.52M,366.01M,651.53M,389.20M,,,,389.20M,,389.20M,796.92M,796.92M,508.11M,2.346B,0.35M,,0.35M,321.74M,,321.74M,,,,685.10M,1.007B,3.353B,411.71M,3.751B,3.831M,1.272B,,,,-83.48M,2.812B
2005-03,361.10M,,361.10M,868.39M,868.39M,,17.66M,336.50M,24.31M,378.46M,150.22M,,257.88M,,2.016B,,,,,,1.203B,-699.57M,503.92M,,1.959B,1.959B,,975.26M,3.439B,5.455B,273.54M,,273.54M,302.72M,576.27M,3.064M,,,,3.064M,,3.064M,750.81M,750.81M,481.11M,1.811B,0.357M,,0.357M,233.52M,,233.52M,,,,666.29M,900.17M,2.711B,205.86M,3.697B,127.58M,1.237B,,,,-50.63M,2.743B
2004-12,680.62M,,680.62M,1.002B,1.002B,,15.26M,292.69M,19.83M,327.78M,157.15M,,258.16M,,2.426B,0.00,13.51M,369.36M,812.93M,,1.196B,-682.73M,513.07M,,1.953B,1.953B,,948.61M,3.415B,5.841B,318.30M,,318.30M,515.17M,833.48M,4.613M,,,,4.613M,,4.613M,719.95M,719.95M,388.92M,1.947B,0.513M,,0.513M,232.08M,,232.08M,,,,677.22M,909.81M,2.857B,205.86M,3.681B,113.84M,963.75M,,,,-52.29M,2.985B
2004-09,423.76M,,423.76M,1.232B,1.232B,,7.792M,282.72M,20.13M,310.64M,115.50M,,241.27M,,2.324B,,,,,,1.165B,-677.73M,486.92M,,1.959B,1.959B,,912.92M,3.359B,5.682B,266.98M,,266.98M,485.62M,752.60M,5.278M,,,,5.278M,,5.278M,659.41M,659.41M,561.11M,1.978B,0.375M,,0.375M,181.36M,,181.36M,,,,651.94M,833.68M,2.812B,205.85M,3.493B,113.61M,917.79M,,,,-25.16M,2.870B
2004-06,383.58M,,383.58M,947.93M,947.93M,,11.85M,324.90M,20.60M,357.35M,114.64M,,235.22M,,2.039B,,,,,,1.110B,-657.08M,452.48M,,1.655B,1.655B,,969.71M,3.077B,5.116B,276.02M,,276.02M,329.63M,605.66M,4.398M,,,,4.398M,,4.398M,654.08M,654.08M,436.72M,1.701B,0.38M,,0.38M,170.32M,,170.32M,,,,638.41M,809.11M,2.510B,205.85M,3.280B,112.64M,899.66M,,,,-93.26M,2.606B
2004-03,403.95M,,403.95M,722.52M,722.52M,,11.47M,285.11M,19.45M,316.03M,135.80M,,230.38M,,1.809B,,,,,,1.112B,-654.60M,457.61M,,1.661B,1.661B,,975.11M,3.093B,4.902B,257.30M,,257.30M,265.65M,522.95M,5.523M,,,,5.523M,,5.523M,641.54M,641.54M,381.06M,1.551B,0.385M,,0.385M,170.06M,,170.06M,,,,637.88M,808.32M,2.359B,205.85M,3.171B,99.28M,858.06M,,,,-75.98M,2.543B
2003-12,695.59M,,695.59M,956.44M,956.44M,,12.94M,273.10M,15.15M,301.19M,76.87M,,226.07M,,2.256B,0.00,13.66M,379.78M,737.99M,,1.131B,-664.10M,467.33M,,1.674B,1.674B,,967.61M,3.109B,5.365B,306.16M,,306.16M,473.11M,779.26M,25.96M,,,,25.96M,,25.96M,,,1.189B,1.994B,0.389M,,0.389M,171.19M,,171.19M,,,,642.41M,813.98M,2.808B,205.85M,3.153B,86.50M,801.06M,,,,-87.44M,2.557B
2003-09,199.11M,,199.11M,1.138B,1.138B,,15.90M,315.82M,22.75M,354.46M,114.60M,,166.95M,,1.973B,,,,,,1.076B,-643.33M,433.07M,,1.772B,1.772B,,1.074B,3.279B,5.253B,276.99M,,276.99M,427.11M,704.10M,46.37M,,,,46.37M,,46.37M,,,1.181B,1.932B,168.55M,,168.55M,195.46M,,195.46M,,,,443.22M,807.23M,2.739B,205.85M,3.045B,84.45M,716.96M,,,,-104.32M,2.514B
2003-06,94.82M,,94.82M,931.10M,931.10M,,14.99M,385.78M,26.33M,427.10M,114.07M,,167.04M,,1.734B,,,,,,1.066B,-633.98M,431.89M,,1.780B,1.780B,,1.145B,3.358B,5.092B,309.17M,,309.17M,300.69M,609.86M,112.18M,,,,112.18M,,112.18M,,,1.063B,1.785B,421.28M,,421.28M,195.39M,,195.39M,,,,430.86M,1.048B,2.833B,205.85M,2.806B,84.74M,727.97M,,,,-109.62M,2.259B
2003-03,96.05M,,96.05M,716.94M,716.94M,,13.91M,340.57M,23.61M,378.09M,126.92M,,167.35M,,1.485B,,,,,,1.056B,-635.06M,420.75M,,1.780B,1.780B,,1.148B,3.348B,4.833B,247.68M,,247.68M,249.54M,497.22M,121.81M,,,,121.81M,,121.81M,,,1.010B,1.629B,469.84M,,469.84M,194.95M,,194.95M,,,,418.04M,1.083B,2.712B,205.85M,2.716B,81.53M,765.76M,,,,-116.16M,2.121B
2002-12,58.19M,,58.19M,991.81M,991.81M,,18.13M,314.42M,28.21M,360.76M,93.73M,,169.83M,,1.674B,0.00,13.25M,330.48M,728.22M,,1.072B,-640.49M,431.46M,,1.806B,1.806B,,1.121B,3.358B,5.032B,303.35M,,303.35M,437.46M,740.82M,119.41M,,,,119.41M,,119.41M,,,915.06M,1.775B,458.92M,,458.92M,200.11M,,200.11M,,,,432.03M,1.091B,2.866B,205.85M,2.672B,79.41M,669.50M,,,,-122.03M,2.166B
2002-09,108.14M,,108.14M,1.150B,1.150B,,21.06M,352.13M,23.18M,396.36M,95.01M,,220.64M,,1.970B,,,,,,1.065B,-645.21M,419.73M,557.80M,1.250B,1.808B,,1.098B,3.325B,5.296B,279.74M,,279.74M,383.64M,663.38M,167.83M,,,,167.83M,,167.83M,,,1.073B,1.904B,622.24M,,622.24M,182.33M,,182.33M,,,,417.19M,1.222B,3.126B,205.85M,2.586B,74.32M,564.02M,,,,-132.25M,2.170B
2002-06,50.52M,,50.52M,1.010B,1.010B,,20.24M,409.03M,26.36M,455.63M,108.47M,,218.96M,,1.844B,,,,,,1.078B,-648.07M,430.25M,,1.812B,1.812B,,1.139B,3.381B,5.225B,296.87M,,296.87M,277.58M,574.46M,244.09M,,,,244.09M,,244.09M,,,969.12M,1.788B,919.37M,,919.37M,183.19M,,183.19M,,,,408.93M,1.511B,3.299B,205.85M,2.359B,73.45M,576.96M,,,,-136.31M,1.925B
2002-03,20.78M,,20.78M,826.06M,826.06M,,21.15M,392.52M,30.32M,443.98M,134.22M,,218.80M,,1.644B,,,,,,1.078B,-639.66M,438.66M,,1.801B,1.801B,,1.117B,3.357B,5.001B,289.43M,,289.43M,245.84M,535.27M,228.89M,,,,228.89M,,228.89M,,,941.83M,1.706B,856.41M,,856.41M,182.95M,,182.95M,,,,397.17M,1.437B,3.143B,205.85M,2.272B,66.84M,541.95M,,,,-144.66M,1.858B
2001-12,53.54M,,53.54M,1.038B,1.038B,,30.60M,340.49M,31.56M,402.65M,99.78M,,218.68M,,1.813B,0.00,13.24M,335.31M,730.18M,,1.079B,-623.79M,454.94M,,1.818B,1.818B,,1.075B,3.348B,5.161B,339.54M,,339.54M,273.29M,612.83M,222.95M,,,,222.95M,,222.95M,,,1.041B,1.876B,833.57M,,833.57M,190.33M,,190.33M,,,,407.01M,1.431B,3.307B,205.85M,2.292B,64.64M,566.78M,0.013M,,,-142.17M,1.854B
2001-09,1.773M,,1.773M,1.336B,1.336B,42.48M,29.97M,365.04M,,437.49M,,,196.27M,109.15M,2.080B,,,,,,1.056B,-623.29M,432.68M,,1.900B,1.900B,,1.060B,3.392B,5.472B,280.31M,,280.31M,345.31M,625.62M,268.48M,,,,268.48M,,268.48M,,,1.065B,1.959B,970.62M,,970.62M,169.83M,,169.83M,,,,415.38M,1.556B,3.515B,205.85M,2.342B,64.80M,508.16M,,,,-147.37M,1.958B
2001-06,11.43M,,11.43M,1.094B,1.094B,42.47M,37.71M,404.39M,,484.57M,132.97M,,196.39M,,1.920B,,,,,,1.034B,-614.37M,420.08M,,2.290B,2.290B,,529.40M,3.239B,5.159B,303.26M,,303.26M,248.59M,551.85M,283.53M,,,,283.53M,,283.53M,,,947.15M,1.783B,1.013B,,1.013B,169.87M,,169.87M,,,,408.50M,1.591B,3.374B,205.85M,2.150B,64.90M,477.71M,,,,-158.11M,1.785B
2001-03,22.72M,,22.72M,,866.08M,,,,,435.77M,,,,348.14M,1.673B,,,,,,1.043B,-618.77M,424.34M,,1.759B,1.759B,,1.023B,3.206B,4.879B,278.58M,,278.58M,,278.58M,,,,,244.48M,,244.48M,,,1.155B,1.678B,876.32M,,876.32M,170.13M,,170.13M,,,,405.52M,1.452B,3.130B,205.85M,2.078B,54.70M,441.81M,,,,-148.05M,1.749B
2000-12,3.171M,,3.171M,1.095B,1.095B,,,,,388.95M,,,,314.45M,1.802B,,,,,,1.046B,-614.46M,431.90M,,1.697B,1.697B,,1.000B,3.130B,4.931B,313.29M,,313.29M,,313.29M,,,,,227.85M,,227.85M,,,1.240B,1.781B,817.53M,,817.53M,163.23M,,163.23M,,,,408.86M,1.390B,3.170B,205.85M,2.105B,44.18M,470.90M,0.013M,,,-123.23M,1.761B
2000-09,36.76M,,36.76M,1.328B,1.328B,,,,,441.74M,,,,230.34M,2.036B,,,,,,1.019B,-607.24M,411.28M,,1.708B,1.708B,,915.15M,3.034B,5.070B,244.56M,,244.56M,,244.56M,,,,,265.14M,,265.14M,,,1.139B,1.649B,954.79M,,954.79M,178.95M,,178.95M,,,,398.78M,1.533B,3.182B,205.85M,2.173B,42.64M,404.11M,,,,-128.59M,1.889B
2000-06,8.726M,,8.726M,,970.40M,,,,,410.61M,,,,207.20M,1.597B,,,,,,953.74M,-548.77M,404.97M,,1.196B,1.196B,,896.04M,2.497B,4.094B,258.46M,,258.46M,,258.46M,,,,,341.20M,,341.20M,,,934.26M,1.534B,353.12M,,353.12M,123.14M,,123.14M,,,,389.58M,865.84M,2.400B,205.85M,2.001B,37.59M,425.67M,,,,-124.45M,1.694B
2000-03,6.812M,,6.812M,,798.97M,,,,,356.30M,,,,221.54M,1.384B,,,,,,949.21M,-539.03M,410.18M,,1.201B,1.201B,,872.06M,2.484B,3.867B,218.78M,,218.78M,,218.78M,,,,,235.02M,,235.02M,,,916.53M,1.370B,353.18M,,353.18M,123.16M,,123.16M,,,,381.72M,858.06M,2.228B,205.85M,1.939B,36.81M,440.09M,,,,-102.54M,1.639B
1999-12,6.50M,,6.50M,1.053B,1.053B,,,,,295.30M,,,,199.30M,1.554B,,,,,,993.70M,-563.30M,430.40M,,1.253B,1.253B,,851.60M,2.535B,4.089B,340.20M,,340.20M,,340.20M,,,,,181.70M,,181.70M,,,1.004B,1.526B,354.80M,,354.80M,135.40M,,135.40M,,,,381.60M,871.80M,2.397B,205.80M,1.927B,24.30M,363.70M,,,,-101.80M,1.692B
1999-09,15.40M,,15.40M,,1.277B,,,,,313.40M,,,,167.50M,1.774B,,,,,,976.50M,-553.00M,423.50M,,1.250B,1.250B,,794.60M,2.468B,4.242B,282.70M,,282.70M,,282.70M,,,,,378.70M,,378.70M,,,1.034B,1.695B,406.60M,,406.60M,123.30M,,123.30M,,,,371.70M,901.60M,2.597B,205.90M,1.848B,25.20M,331.70M,,,,-102.50M,1.645B
1999-06,23.00M,,23.00M,,931.40M,,,,,337.80M,,,,167.60M,1.460B,,,,,,996.70M,-575.50M,421.20M,,1.259B,1.259B,,803.90M,2.484B,3.944B,296.90M,,296.90M,,296.90M,,,,,280.30M,,280.30M,,,856.10M,1.433B,451.70M,,451.70M,123.30M,,123.30M,,,,358.60M,933.60M,2.367B,,1.700B,,,,,,,1.577B
1999-03,36.00M,,36.00M,,781.00M,,,,,300.30M,,,,200.10M,1.317B,,,,,,962.50M,-568.10M,394.40M,,1.239B,1.239B,,750.50M,2.384B,3.701B,226.30M,,226.30M,,226.30M,,,,,189.10M,,189.10M,,,800.00M,1.215B,451.80M,,451.80M,123.20M,,123.20M,,,,351.70M,926.70M,2.142B,,1.652B,,,,,,,1.559B
1998-12,10.50M,,10.50M,,954.90M,,,,,284.70M,,,,178.70M,1.429B,,,,,,914.80M,-550.80M,364.00M,,1.260B,1.260B,,735.80M,2.359B,3.788B,318.60M,,318.60M,,318.60M,,,,,75.50M,,75.50M,,,897.40M,1.292B,452.10M,,452.10M,129.30M,,129.30M,,,,363.40M,944.80M,2.236B,,1.670B,,,,,,,1.552B
1998-09,55.90M,,55.90M,,1.104B,,,,,326.70M,,,,174.80M,1.661B,,,,,,902.80M,-583.90M,318.90M,,1.268B,1.268B,,677.80M,2.264B,3.926B,261.90M,,261.90M,,261.90M,,,,,99.50M,,99.50M,,,984.70M,1.346B,606.90M,,606.90M,107.40M,,107.40M,,,,373.90M,1.088B,2.434B,,1.685B,,,,,,,1.491B
1998-06,32.60M,,32.60M,,931.00M,,,,,362.50M,,,,176.20M,1.502B,,,,,,882.90M,-590.20M,292.70M,,1.268B,1.268B,,703.70M,2.264B,3.767B,255.30M,,255.30M,,255.30M,,,,,128.20M,,128.20M,,,860.20M,1.244B,606.90M,,606.90M,107.50M,,107.50M,,,,362.70M,1.077B,2.321B,,1.561B,,,,,,,1.446B
1998-03,1.70M,,1.70M,,815.40M,,,,,323.60M,,,,191.70M,1.332B,,,,,,847.00M,-579.60M,267.40M,,1.289B,1.289B,,692.10M,2.249B,3.581B,231.70M,,231.70M,,231.70M,,,,,84.40M,,84.40M,,,765.40M,1.082B,606.90M,,606.90M,107.70M,,107.70M,,,,356.30M,1.071B,2.152B,,1.524B,,,,,,,1.429B
