,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2011-02,20.88B,20.88B,18.24B,2.64B,2.038B,,27.00M,9.00M,-18.00M,6.00M,2.044B,596.00M,9.00M,27.00M,-18.00M,-5.00M,-18.00M,573.00M,204.00M,369.00M,,-21.00M,348.00M,353.15M,795.00M,195.00M,600.00M,,0.80,,,,0.8118,0.80,,0.79,,,,0.8016,0.79,,436.68M,443.19M,0.205,,AOR,Restated
2010-11,19.24B,19.24B,16.76B,2.482B,1.941B,,26.00M,7.00M,-19.00M,16.00M,1.957B,525.00M,7.00M,26.00M,-19.00M,-2.00M,-19.00M,504.00M,172.00M,332.00M,,-20.00M,312.00M,313.32M,721.00M,191.00M,530.00M,,0.72,,,,0.7230,0.72,,0.71,,,,0.7130,0.71,,434.10M,441.36M,0.205,,AOR,Restated
2010-08,24.12B,24.12B,21.02B,3.101B,2.409B,,34.00M,8.00M,-26.00M,4.00M,2.413B,688.00M,8.00M,34.00M,-26.00M,22.00M,-26.00M,684.00M,247.00M,437.00M,,-5.00M,432.00M,432.00M,964.00M,246.00M,718.00M,,0.99,,,,0.99,0.99,,0.97,,,,0.97,0.97,,436.53M,443.75M,0.205,,AOR,Restated
2010-05,17.78B,17.78B,15.49B,2.286B,1.789B,,27.00M,4.00M,-23.00M,6.00M,1.795B,491.00M,4.00M,27.00M,-23.00M,6.00M,-23.00M,474.00M,163.00M,311.00M,,-5.00M,306.00M,306.00M,681.00M,180.00M,501.00M,,0.69,,,,0.69,0.69,,0.68,,,,0.68,0.68,,440.97M,448.39M,0.205,,AOR,Restated
2010-02,18.74B,18.74B,16.40B,2.346B,1.873B,,26.00M,4.00M,-22.00M,3.00M,1.876B,470.00M,4.00M,26.00M,-22.00M,26.00M,-22.00M,474.00M,169.00M,305.00M,,-6.00M,299.00M,299.00M,685.00M,185.00M,500.00M,,0.68,,,,0.68,0.68,,0.67,,,,0.67,0.67,,439.79M,446.92M,0.18,,AOR,Restated
2009-11,17.30B,17.30B,15.08B,2.218B,1.777B,,24.00M,7.00M,-17.00M,13.00M,1.79B,428.00M,7.00M,24.00M,-17.00M,11.00M,-17.00M,422.00M,152.00M,270.00M,,-4.00M,266.00M,266.00M,630.00M,184.00M,446.00M,,0.61,,,,0.61,0.61,,0.60,,,,0.60,0.60,,437.17M,444.85M,0.18,,AOR,Restated
2009-08,22.38B,22.38B,19.51B,2.866B,2.254B,,33.00M,10.00M,-23.00M,14.00M,2.268B,598.00M,10.00M,33.00M,-23.00M,9.00M,-23.00M,584.00M,206.00M,378.00M,,-4.00M,374.00M,374.00M,858.00M,241.00M,617.00M,,0.86,,,,0.86,0.86,,0.85,,,,0.85,0.85,,435.67M,441.83M,0.18,,AOR,Restated
2009-05,15.81B,15.81B,13.78B,2.03B,1.655B,,25.00M,3.00M,-22.00M,16.00M,1.671B,359.00M,3.00M,25.00M,-22.00M,3.00M,-22.00M,340.00M,128.00M,212.00M,,-2.00M,210.00M,210.00M,536.00M,171.00M,365.00M,,0.48,,,,0.48,0.48,,0.48,,,,0.48,0.48,,434.35M,440.00M,0.18,,AOR,Restated
2009-02,16.84B,16.84B,14.77B,2.072B,1.666B,,25.00M,8.00M,-17.00M,8.00M,1.674B,398.00M,8.00M,25.00M,-17.00M,4.00M,-17.00M,385.00M,142.00M,243.00M,,-4.00M,239.00M,239.00M,571.00M,161.00M,410.00M,,0.55,,,,0.55,0.55,,0.55,,,,0.55,0.55,,433.48M,439.69M,0.16,,,Restated
2008-11,16.40B,16.40B,14.28B,2.119B,1.677B,,25.00M,6.00M,-19.00M,20.00M,1.697B,422.00M,6.00M,25.00M,-19.00M,15.00M,-19.00M,418.00M,152.00M,266.00M,,-3.00M,263.00M,263.00M,598.00M,155.00M,443.00M,,0.61,,,,0.61,0.61,,0.60,,,,0.60,0.60,,432.45M,440.53M,0.16,,,Restated
2008-08,23.10B,23.10B,20.30B,2.802B,2.147B,,32.00M,25.00M,-7.00M,,2.204B,598.00M,25.00M,32.00M,-7.00M,28.00M,-7.00M,619.00M,209.00M,410.00M,,,398.00M,398.00M,868.00M,217.00M,651.00M,,0.91,,,,0.91,0.91,,0.90,,,,0.90,0.90,,434.22M,443.82M,0.16,,,Restated
2008-05,16.61B,16.61B,14.55B,2.066B,1.591B,-4.00M,25.00M,19.00M,-6.00M,,1.591B,475.00M,19.00M,25.00M,-6.00M,-4.00M,-6.00M,465.00M,170.00M,295.00M,,,295.00M,297.54M,639.46M,149.46M,490.00M,,0.68,0.00,,,0.6859,0.68,,0.67,0.00,,,0.6757,0.67,,433.68M,443.28M,0.16,,,Restated
2008-02,16.96B,16.96B,14.83B,2.127B,1.625B,2.865M,,,,-2.865M,1.622B,504.33M,,,,16.41M,,521.46M,193.62M,327.85M,,0.712M,327.85M,326.05M,649.87M,145.54M,504.33M,,0.75,0.00,,,0.7459,0.75,,0.74,0.00,,,0.7360,0.74,,434.78M,444.92M,0.145,,,
2007-11,15.81B,15.81B,13.82B,1.986B,1.591B,,,,,,1.591B,395.00M,,,,7.00M,,405.00M,143.00M,262.00M,,,262.00M,262.00M,536.00M,141.00M,395.00M,,0.60,0.00,,,0.60,0.60,,0.59,0.00,,,0.59,0.59,,435.09M,445.72M,0.145,,,
2007-08,20.48B,20.48B,17.93B,2.546B,1.986B,-4.886M,,,,,2.000B,546.33M,,,,5.033M,,581.76M,209.34M,372.42M,,,372.42M,375.55M,724.29M,177.96M,546.33M,,0.85,0.00,,,0.8572,0.85,,0.83,0.00,,,0.8370,0.83,,435.40M,445.46M,0.145,,,
2007-05,14.66B,14.66B,12.88B,1.782B,1.442B,-0.931M,,,,,1.442B,340.00M,,,,5.002M,,355.89M,131.90M,223.99M,,,223.99M,224.57M,469.83M,129.83M,340.00M,,0.50,0.00,,,0.5013,0.50,,0.49,0.00,,,0.4913,0.49,,445.47M,455.89M,0.145,,,
2007-02,15.11B,15.11B,13.25B,1.860B,1.495B,-3.459M,,,,,1.495B,364.79M,,,,8.718M,,394.23M,144.76M,249.48M,,,249.48M,251.67M,496.41M,131.62M,364.79M,,0.55,0.00,,,0.5549,0.55,,0.54,0.00,,,0.5447,0.54,,450.90M,461.58M,0.13,,,
2006-11,14.15B,14.15B,12.39B,1.763B,1.405B,-4.332M,,,,,1.405B,357.47M,,,,2.171M,,378.11M,141.22M,236.89M,,,236.89M,239.60M,484.45M,126.98M,357.47M,,0.52,0.00,,,0.5259,0.52,,0.51,0.00,,,0.5158,0.51,,458.87M,467.84M,0.13,,,
2006-08,19.88B,19.88B,17.48B,2.399B,1.883B,-1.632M,,,,,1.883B,515.75M,,,,23.01M,,554.71M,199.11M,355.60M,,,355.60M,356.65M,678.61M,162.86M,515.75M,,0.77,0.00,,,0.7723,0.77,,0.74,0.00,,,0.7422,0.74,,463.78M,472.56M,0.13,,,
2006-05,13.28B,13.28B,11.64B,1.649B,1.293B,-1.182M,,,,,1.293B,355.89M,,,,-1.182M,,385.78M,150.18M,235.60M,,,235.60M,236.32M,483.92M,128.03M,355.89M,,0.50,0.00,,,0.5015,0.50,,0.49,0.00,,,0.4915,0.49,,470.52M,480.53M,0.13,,,
2006-02,14.06B,14.06B,12.30B,1.755B,1.322B,-1.428M,,,,,1.322B,432.74M,,,,6.61M,,463.62M,167.42M,296.20M,,,296.20M,297.12M,543.00M,110.26M,432.74M,,0.63,0.00,,,0.6319,0.63,,0.62,0.00,,,0.6219,0.62,,471.89M,482.13M,0.115,,,
2005-11,12.93B,12.93B,11.33B,1.603B,1.276B,-1.211M,,,,1.211M,1.278B,325.50M,,,,2.353M,,347.31M,131.49M,215.82M,,,215.82M,216.57M,439.63M,114.14M,325.50M,,0.46,0.00,,,0.4616,0.46,,0.45,0.00,,,0.4515,0.45,,472.72M,486.37M,0.115,,,
2005-08,16.72B,16.72B,14.65B,2.064B,1.590B,-6.593M,,,,,1.580B,484.02M,,,,20.59M,,498.85M,144.15M,354.70M,,,354.70M,359.39M,636.27M,152.25M,484.02M,,0.74,0.00,,,0.7498,0.74,,0.73,0.00,,,0.7395,0.73,,477.48M,491.40M,0.115,,,
2005-05,12.00B,12.00B,10.50B,1.493B,1.174B,-3.00M,,,,3.00M,1.177B,316.14M,,,,-3.00M,,337.82M,128.03M,209.79M,,,209.79M,211.65M,427.55M,111.41M,316.14M,,0.44,0.00,,,0.4439,0.44,,0.43,0.00,,,0.4338,0.43,,478.25M,493.28M,0.115,,,
