,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-09,2.401B,2.401B,1.562B,839.49M,437.53M,5.028M,-6.524M,,,,442.55M,396.94M,,,-6.524M,,375.76M,131.50M,244.26M,1.276M,,245.54M,248.50M,473.97M,77.03M,396.94M,,0.40,0.00,,0.4069,0.40,,0.395,0.00,,0.4019,0.40,,612.82M,615.79M,0.115,,,
2002-06,2.435B,2.435B,1.576B,858.62M,424.37M,5.246M,2.058M,,,,429.61M,429.01M,,,2.058M,,412.64M,147.40M,265.24M,2.266M,,267.51M,263.92M,503.72M,74.71M,429.01M,,0.435,0.00,,0.4328,0.435,,0.43,0.00,,0.4279,0.435,,612.61M,616.88M,0.11,,,
2002-03,2.205B,2.205B,1.475B,729.54M,414.76M,4.872M,2.076M,,,,419.64M,309.90M,,,2.076M,,294.47M,100.10M,194.37M,4.075M,-221.89M,-23.44M,193.00M,386.26M,76.36M,309.90M,,0.32,-0.36,0.00,0.3177,-0.04,,0.315,-0.36,-0.3786,0.3127,-0.04,,586.08M,586.08M,0.11,,,
2001-12,2.278B,2.188B,1.531B,657.50M,414.82M,27.37M,-4.723M,,,,352.20M,305.31M,,,-4.723M,,285.85M,98.14M,187.71M,3.361M,,191.07M,190.81M,383.32M,78.01M,305.31M,,0.3075,0.0055,,0.3126,0.3131,,0.3075,0.0055,,0.3126,0.3131,,610.34M,610.34M,0.11,,,
2001-09,2.301B,2.301B,1.528B,773.31M,420.83M,27.82M,-2.915M,,,,448.66M,324.65M,,,-2.915M,,303.95M,106.07M,197.88M,1.174M,,199.06M,199.78M,426.39M,101.74M,324.65M,,0.1625,0.00,,0.1641,0.1625,,0.1625,0.00,,0.1640,0.1625,,1.218B,1.226B,0.11,,,
2001-06,2.418B,2.418B,1.595B,822.25M,416.90M,25.48M,-1.858M,,,,442.38M,379.87M,,,-1.858M,,360.68M,126.22M,234.46M,-1.682M,,232.78M,235.67M,484.39M,104.52M,379.87M,,0.1925,-0.0025,,0.1935,0.19,,0.19,-0.0025,,0.1910,0.1875,,1.217B,1.226B,0.10,,,
2001-03,2.397B,2.397B,1.613B,783.79M,461.77M,24.54M,2.39M,,,,486.31M,297.48M,,,2.39M,,281.16M,98.40M,182.76M,,,182.76M,181.20M,399.52M,102.04M,297.48M,,0.30,0.00,,0.2974,0.30,,0.30,0.00,,0.2975,0.30,,606.30M,611.46M,0.10,,,
2000-12,2.529B,2.529B,1.590B,938.86M,486.43M,,-8.172M,,,,614.49M,324.37M,,,-8.172M,,296.19M,94.70M,201.49M,,,201.49M,207.05M,452.42M,128.06M,324.37M,,0.335,0.00,,0.3442,0.335,,0.33,0.00,,0.3392,0.33,,601.82M,607.08M,0.10,,,
2000-09,2.472B,2.472B,1.524B,948.52M,416.95M,,-3.111M,,,,514.26M,434.26M,,,-3.111M,,412.58M,148.50M,264.08M,,,264.08M,266.08M,531.58M,97.15M,434.26M,,0.435,0.00,,0.4383,0.435,,0.435,0.00,,0.4383,0.435,,603.71M,608.95M,0.10,,,
2000-06,2.577B,2.577B,1.576B,1.001B,455.90M,,-1.806M,,,,554.88M,446.50M,,,-1.806M,,426.97M,153.70M,273.27M,,,273.27M,274.43M,545.48M,98.98M,446.50M,,0.455,0.00,,0.4569,0.455,,0.45,0.00,,0.4519,0.45,,603.03M,608.97M,0.09,,,
2000-03,2.405B,2.405B,1.503B,901.66M,454.17M,,0.209M,,,,543.36M,358.30M,,,0.209M,,342.43M,123.30M,219.13M,,,219.13M,219.00M,447.49M,89.19M,358.30M,,0.365,0.00,,0.3648,0.365,,0.36,0.00,,0.3598,0.36,,601.49M,608.04M,0.09,,,
1999-12,2.487B,2.487B,1.536B,951.00M,461.00M,,-77.30M,,,,545.20M,405.80M,,,-77.30M,,310.90M,130.90M,180.00M,,,180.00M,226.38M,490.00M,84.20M,405.80M,,0.29,0.01,,0.3669,0.30,,0.285,0.01,,0.3611,0.295,,602.87M,609.64M,0.09,,,
1999-09,2.326B,2.326B,1.466B,859.90M,413.00M,,0.167M,,,,477.90M,382.00M,,,0.167M,,364.23M,131.33M,232.90M,,,232.90M,232.79M,470.26M,88.26M,382.00M,,0.39,0.00,,0.3898,0.39,,0.38,0.00,,0.3798,0.38,,600.29M,609.68M,0.09,,,
1999-06,2.363B,2.363B,1.473B,890.00M,432.20M,,3.581M,,,,495.90M,394.09M,,,3.581M,,379.85M,140.13M,239.72M,,,239.72M,237.46M,481.54M,87.44M,394.09M,,0.40,0.00,,0.3962,0.40,,0.395,0.00,,0.3913,0.395,,599.94M,609.41M,0.075,,,
1999-03,2.157B,2.157B,1.345B,811.66M,423.77M,,7.479M,,,,507.16M,304.50M,,,7.479M,,297.72M,109.29M,188.43M,,,188.43M,183.70M,387.89M,83.40M,304.50M,,0.1575,0.00,,0.1480,0.1575,,0.155,0.00,,0.1456,0.155,,500.93M,500.93M,0.075,,,
1998-12,4.248B,4.248B,2.688B,1.560B,896.90M,,5.40M,,,,1.034B,526.20M,,,5.40M,,511.20M,190.00M,321.20M,,,321.20M,317.81M,663.60M,137.40M,526.20M,,0.6421,,,0.6353,0.6421,,0.6421,,,0.6353,0.6421,,500.26M,500.26M,0.075,,,
1998-09,1.377B,1.377B,849.80M,527.40M,211.00M,,-2.80M,,,,262.80M,264.60M,,,-2.80M,,258.10M,94.20M,163.90M,,,163.90M,165.68M,316.40M,51.80M,264.60M,,0.165,0.00,,0.1686,0.165,,0.1625,0.00,,0.1661,0.1625,,500.13M,500.13M,0.075,,,
1998-06,1.420B,1.420B,869.20M,551.30M,213.70M,,-4.30M,,,,267.60M,283.70M,,,-4.30M,,277.10M,101.10M,176.00M,,,176.00M,178.73M,337.60M,53.90M,283.70M,,0.175,0.00,,0.1805,0.175,,0.175,0.00,,0.1805,0.175,,499.93M,499.93M,0.06,,,
1998-03,1.341B,1.341B,832.10M,508.90M,221.10M,,2.80M,,,,274.60M,234.30M,,,2.80M,,234.20M,85.50M,148.70M,,,148.70M,146.92M,287.80M,53.50M,234.30M,,0.15,0.00,,0.1464,0.15,,0.1475,0.00,,0.1439,0.1475,,499.77M,499.77M,0.06,,,
1997-12,3.756B,3.756B,2.389B,1.367B,827.80M,,16.60M,,,,939.30M,427.40M,,,16.60M,,428.30M,163.50M,264.80M,,,264.80M,254.54M,538.90M,111.50M,427.40M,,0.5305,,,0.5099,0.5305,,0.5305,,,0.5099,0.5305,,499.20M,499.20M,0.06,,,
1997-09,1.315B,1.315B,819.60M,495.80M,210.70M,,3.40M,,,,260.00M,235.80M,,,3.40M,,234.80M,85.70M,149.10M,,,149.10M,146.94M,285.10M,49.30M,235.80M,,0.15,0.00,,0.1457,0.15,,0.1475,0.00,,0.1432,0.1475,,498.91M,498.91M,0.06,,,
1997-06,1.326B,1.326B,816.60M,509.70M,215.90M,,3.10M,,,,264.00M,245.70M,,,3.10M,,243.30M,88.90M,154.40M,,,154.40M,152.43M,293.80M,48.10M,245.70M,,0.155,0.00,,0.1511,0.155,,0.1525,0.00,,0.1486,0.1525,,498.82M,498.82M,0.06,,,
1997-03,1.230B,1.230B,768.40M,461.40M,215.70M,,3.60M,,,,264.90M,196.50M,,,3.60M,,194.10M,70.80M,123.30M,,,123.30M,121.01M,245.70M,49.20M,196.50M,,0.0612,0.00,,0.0567,0.0612,,0.0612,0.00,,0.0567,0.0612,,498.42M,498.42M,0.0475,,,
1996-12,1.297B,1.297B,805.90M,490.80M,222.40M,,-6.30M,,,,265.40M,225.40M,,,-6.30M,,211.50M,77.20M,134.30M,,,134.30M,138.30M,268.40M,43.00M,225.40M,,0.2707,,,0.2788,0.2707,,0.2707,,,0.2788,0.2707,,496.08M,496.08M,0.0475,,,
1996-09,1.238B,1.238B,782.50M,455.80M,212.50M,,1.60M,,,,256.90M,198.90M,,,1.60M,,195.00M,72.20M,122.80M,,,122.80M,121.79M,243.30M,44.40M,198.90M,,0.0625,0.00,,0.0605,0.0625,,0.0612,0.00,,0.0592,0.0612,,495.42M,495.42M,0.0475,,,
1996-06,1.325B,1.325B,833.40M,491.40M,229.40M,,0.10M,,,,276.40M,215.00M,,,0.10M,,207.00M,76.60M,130.40M,,,130.40M,130.34M,262.00M,47.00M,215.00M,,0.0662,0.00,,0.0661,0.0662,,0.065,0.00,,0.0649,0.065,,495.14M,495.14M,0.0425,,,
1996-03,1.137B,1.137B,720.50M,416.40M,211.10M,,2.10M,,,,254.90M,161.50M,,,2.10M,,156.80M,58.00M,98.80M,,,98.80M,97.48M,205.30M,43.80M,161.50M,,0.05,0.00,,0.0473,0.05,,0.05,0.00,,0.0473,0.05,,489.78M,489.78M,0.0425,,,
1995-12,1.113B,1.113B,681.90M,431.30M,221.10M,,6.50M,,,,260.30M,171.00M,,,6.50M,,170.00M,63.70M,106.30M,,,106.30M,102.24M,210.20M,39.20M,171.00M,,0.2245,,,0.2159,0.2245,,0.2245,,,0.2159,0.2245,,473.48M,473.48M,0.0425,,,
1995-09,1.045B,1.045B,663.00M,382.10M,184.20M,,5.70M,,,,218.00M,164.10M,,,5.70M,,161.30M,61.30M,100.00M,,,100.00M,96.47M,197.90M,33.80M,164.10M,,0.0538,0.00,,0.0462,0.0538,,0.0538,0.00,,0.0462,0.0538,,470.22M,470.22M,0.0425,,,
1995-06,1.091B,1.091B,673.70M,417.00M,196.90M,,-0.40M,,,,237.40M,179.60M,,,-0.40M,,171.30M,65.10M,106.20M,,,106.20M,106.45M,220.10M,40.50M,179.60M,,0.0575,0.00,,0.0580,0.0575,,0.0575,0.00,,0.0580,0.0575,,469.33M,469.33M,0.0375,,,
1995-03,929.10M,929.10M,585.40M,343.70M,173.90M,,-4.10M,,,,212.30M,131.40M,,,-4.10M,,121.00M,46.00M,75.00M,,,75.00M,77.54M,169.80M,38.40M,131.40M,,0.0412,0.00,,0.0468,0.0412,,0.0412,0.00,,0.0468,0.0412,,456.62M,456.62M,0.0375,,,
1994-12,937.90M,937.90M,606.30M,331.60M,159.60M,,-0.80M,,,,188.60M,143.00M,,,-0.80M,,136.50M,51.70M,84.80M,,,84.80M,85.30M,172.00M,29.00M,143.00M,,0.1860,,,0.1871,0.1860,,0.1860,,,0.1871,0.1860,,455.83M,455.83M,0.0375,,,
1994-09,870.90M,870.90M,545.50M,325.40M,164.60M,,-3.70M,,,,199.00M,126.40M,,,-3.70M,,116.10M,44.70M,71.40M,,,71.40M,73.68M,160.80M,32.90M,126.40M,,0.04,0.00,,0.0450,0.04,,0.04,0.00,,0.0450,0.04,,455.20M,455.20M,0.07,,,
1994-06,881.00M,881.00M,547.40M,333.60M,167.70M,,-7.30M,,,,204.20M,129.40M,,,-7.30M,,114.90M,44.20M,70.70M,,,70.70M,75.19M,165.90M,36.50M,129.40M,,0.0388,0.00,,0.0487,0.0388,,0.0388,0.00,,0.0487,0.0388,,453.13M,453.13M,0.0325,,,
1994-03,771.40M,771.40M,486.60M,284.80M,161.60M,,0.80M,,,,195.30M,89.50M,,,0.80M,,82.80M,31.90M,50.90M,,,50.90M,50.41M,123.20M,33.70M,89.50M,,0.0288,0.00,,0.0277,0.0288,,0.0288,0.00,,0.0277,0.0288,,453.02M,453.02M,0.0325,,,
1993-12,800.30M,800.30M,496.00M,304.30M,182.40M,,6.20M,,,,207.30M,97.00M,,,6.20M,,95.60M,36.80M,58.80M,,,58.80M,54.99M,121.90M,24.90M,97.00M,,0.1298,,,0.1213,0.1298,,0.1298,,,0.1213,0.1298,,453.17M,453.17M,0.0325,,,
1993-09,779.50M,779.50M,491.50M,288.00M,152.50M,,-3.30M,,,,191.40M,96.60M,,,-3.30M,,84.10M,33.20M,50.90M,,,50.90M,52.90M,135.50M,38.90M,96.60M,,0.0288,0.00,,0.0332,0.0288,,0.0288,0.00,,0.0332,0.0288,,451.31M,451.31M,0.03,,,
1993-06,829.30M,829.30M,522.00M,307.30M,165.00M,,-6.40M,,,,200.80M,106.50M,,,-6.40M,,88.30M,33.50M,54.80M,,,54.80M,58.77M,142.30M,35.80M,106.50M,,0.0312,0.00,,0.0401,0.0312,,0.0312,0.00,,0.0401,0.0312,,451.01M,451.01M,0.03,,,
1993-03,750.00M,750.00M,477.60M,272.40M,160.20M,,-4.30M,,,,192.30M,80.10M,,,-4.30M,,67.80M,25.80M,42.00M,,,42.00M,44.66M,112.20M,32.10M,80.10M,,0.0119,0.00,,0.0178,0.0119,,0.0119,0.00,,0.0178,0.0119,,450.92M,450.92M,0.03,,,
1992-12,714.40M,714.40M,442.70M,271.70M,146.40M,,-3.90M,,,,176.90M,94.80M,,,-3.90M,,83.30M,31.70M,51.60M,,,51.60M,54.02M,125.30M,30.50M,94.80M,,0.1150,,,0.1204,0.1150,,0.1150,,,0.1204,0.1150,,448.62M,448.62M,0.03,,,
1992-09,710.60M,710.60M,438.60M,272.00M,148.60M,,-1.20M,,,,181.30M,90.70M,,,-1.20M,,79.10M,30.00M,49.10M,,,49.10M,49.84M,123.40M,32.70M,90.70M,,0.0138,0.00,,0.0154,0.0138,,0.0138,0.00,,0.0154,0.0138,,447.34M,447.34M,0.0275,,,
1992-06,717.10M,717.10M,442.30M,274.80M,146.60M,,-2.60M,,,,177.20M,97.60M,,,-2.60M,,82.50M,31.30M,51.20M,,,51.20M,52.81M,128.20M,30.60M,97.60M,,0.0144,0.00,,0.0180,0.0144,,0.0144,0.00,,0.0180,0.0144,,447.02M,447.02M,0.0275,,,
1992-03,669.50M,669.50M,413.50M,256.00M,145.20M,,-2.00M,,,,176.70M,79.30M,,,-2.00M,,64.90M,24.70M,40.20M,,,40.20M,41.44M,110.80M,31.50M,79.30M,,0.0112,0.00,,0.0140,0.0112,,0.0112,0.00,,0.0140,0.0112,,446.83M,446.83M,0.0275,,,
1991-12,704.20M,704.20M,435.00M,269.20M,150.00M,,-0.40M,,,,184.80M,84.40M,,,-0.40M,,72.00M,24.90M,47.10M,,,47.10M,47.36M,119.20M,34.80M,84.40M,,0.1057,,,0.1063,0.1057,,0.1057,,,0.1063,0.1057,,445.74M,445.74M,0.0275,,,
1991-09,654.20M,654.20M,413.60M,240.60M,133.30M,,2.50M,,,,160.40M,80.20M,,,2.50M,,71.90M,26.90M,45.00M,,,45.00M,43.44M,107.30M,27.10M,80.20M,,0.0131,0.00,,0.0096,0.0131,,0.0131,0.00,,0.0096,0.0131,,443.06M,443.06M,0.0275,,,
1991-06,673.10M,673.10M,418.00M,255.10M,141.40M,,0.60M,,,,168.80M,86.30M,,,0.60M,,76.30M,29.00M,47.30M,,,47.30M,46.93M,113.70M,27.40M,86.30M,,0.0138,0.00,,0.0129,0.0138,,0.0138,0.00,,0.0129,0.0138,,441.85M,441.85M,0.0225,,,
1991-03,608.20M,608.20M,381.90M,226.30M,128.20M,,6.50M,,,,154.30M,72.00M,,,6.50M,,67.60M,26.40M,41.20M,,,41.20M,37.24M,98.10M,26.10M,72.00M,,0.0119,0.00,,0.0029,0.0119,,0.0119,0.00,,0.0029,0.0119,,439.40M,439.40M,0.0225,,,
1990-12,676.60M,676.60M,422.30M,254.30M,136.80M,,-4.80M,,,,165.00M,89.30M,,,-4.80M,,73.40M,27.70M,45.70M,,,45.70M,48.69M,117.50M,28.20M,89.30M,,0.1042,,,0.1111,0.1042,,0.1042,,,0.1111,0.1042,,438.44M,438.44M,0.0225,,,
1990-09,647.30M,647.30M,405.50M,241.80M,127.40M,,-2.30M,,,,153.40M,88.40M,,,-2.30M,,76.40M,30.20M,46.20M,,,46.20M,47.59M,114.50M,26.10M,88.40M,,0.0131,0.00,,0.0163,0.0131,,0.0131,0.00,,0.0163,0.0131,,438.29M,438.29M,0.0225,,,
1990-06,652.60M,652.60M,409.00M,243.60M,129.50M,,2.60M,,,,153.40M,90.20M,,,2.60M,,82.40M,32.50M,49.90M,,,49.90M,48.33M,114.50M,24.30M,90.20M,,0.0144,0.00,,0.0107,0.0144,,0.0144,0.00,,0.0107,0.0144,,432.86M,432.86M,0.0188,,,
1990-03,567.70M,567.70M,350.70M,217.00M,116.60M,,-1.20M,,,,140.10M,76.90M,,,-1.20M,,67.70M,27.10M,40.60M,,,40.60M,41.32M,100.40M,23.50M,76.90M,,0.0119,0.00,,0.0136,0.0119,,0.0119,0.00,,0.0136,0.0119,,422.35M,422.35M,0.0188,,,
1989-12,559.20M,559.20M,355.10M,204.10M,109.50M,,-0.80M,,,,129.70M,74.40M,,,-0.80M,,65.60M,24.10M,41.50M,,,41.50M,42.01M,94.60M,20.20M,74.40M,,0.0967,,,0.0978,0.0967,,0.0967,,,0.0978,0.0967,,429.33M,429.33M,0.0188,,,
1989-09,546.90M,546.90M,344.10M,202.80M,104.70M,,-0.30M,,,,126.60M,76.20M,,,-0.30M,,67.40M,26.50M,40.90M,,,40.90M,41.08M,98.10M,21.90M,76.20M,,0.0119,0.00,,0.0123,0.0119,,0.0119,0.00,,0.0123,0.0119,,428.97M,428.97M,0.0188,,,
1989-06,572.80M,572.80M,,,,,,,,,,572.80M,,,,,,,44.40M,,,44.40M,,572.80M,,572.80M,,0.0131,0.00,,0.0131,0.0131,,0.0131,0.00,,0.0131,0.0131,,422.35M,422.35M,0.015,,,
1989-03,493.80M,493.80M,,,,,,,,,,493.80M,,,,,,,37.00M,,,37.00M,,493.80M,,493.80M,,0.0112,0.00,,0.0112,0.0112,,0.0112,0.00,,0.0112,0.0112,,414.24M,414.24M,0.015,,,
1988-12,500.40M,500.40M,,,,,,,,,,-1.157B,,,,,,,35.60M,,,35.60M,,-1.157B,,-1.157B,,,,,,,,,,,,,,422.78M,422.78M,0.015,,,
1988-09,480.70M,480.70M,,,,,,,,,,480.70M,,,,,,,34.50M,,,34.50M,,480.70M,,480.70M,,0.0106,0.00,,0.0106,0.0106,,0.0106,0.00,,0.0106,0.0106,,414.24M,414.24M,0.015,,,
1988-06,500.90M,500.90M,,,,,,,,,,500.90M,,,,,,,38.90M,,,38.90M,,500.90M,,500.90M,,0.0119,0.00,,0.0119,0.0119,,0.0119,0.00,,0.0119,0.0119,,414.24M,414.24M,0.0125,,,
1988-03,447.80M,447.80M,,,,,,,,,,447.80M,,,,,,,30.90M,,,30.90M,,447.80M,,447.80M,,0.0094,0.00,,0.0094,0.0094,,0.0094,0.00,,0.0094,0.0094,,410.03M,410.03M,0.0125,,,
1987-12,452.10M,452.10M,,,,,,,,,,-1.007B,,,,,,,26.70M,,,26.70M,,-1.007B,,-1.007B,,,,,,,,,,,,,,414.58M,414.58M,0.0125,,,
1987-09,419.80M,419.80M,,,,,,,,,,419.80M,,,,,,,26.40M,,,26.40M,,419.80M,,419.80M,,0.0081,0.00,,0.0081,0.0081,,0.0081,0.00,,0.0081,0.0081,,410.03M,410.03M,0.0125,,,
1987-06,425.10M,425.10M,,,,,,,,,,425.10M,,,,,,,28.70M,,,28.70M,,425.10M,,425.10M,,0.0088,0.00,,0.0088,0.0088,,0.0088,0.00,,0.0088,0.0088,,410.03M,410.03M,0.0125,,,
1987-03,401.40M,401.40M,,,,,,,,,,401.40M,,,,,,,24.40M,,,24.40M,,401.40M,,401.40M,,0.0038,0.00,,0.0038,0.0038,,0.0038,0.00,,0.0038,0.0038,,410.03M,410.03M,0.0113,,,
1986-12,389.50M,389.50M,,,,,,,,,,-457.60M,,,,,,,27.30M,,,27.30M,,-457.60M,,-457.60M,,,,,,,,,,,,,,410.03M,410.03M,0.0113,,,
1986-09,192.00M,192.00M,,,,,,,,,,192.00M,,,,,,,17.50M,,,17.50M,,192.00M,,192.00M,,0.0028,0.00,,0.0028,0.0028,,0.0028,0.00,,0.0028,0.0028,,403.18M,403.18M,0.0113,,,
1986-06,203.00M,203.00M,,,,,,,,,,203.00M,,,,,,,19.50M,,,19.50M,,203.00M,,203.00M,,0.0031,0.00,,0.0031,0.0031,,0.0031,0.00,,0.0031,0.0031,,403.18M,403.18M,0.0113,,,
1986-03,174.70M,174.70M,,,,,,,,,,174.70M,,,,,,,15.20M,,,15.20M,,174.70M,,174.70M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,402.90M,402.90M,0.0113,,,
1985-12,148.60M,148.60M,,,,,,,,,,-365.50M,,,,,,,-10.80M,,,-10.80M,,-365.50M,,-365.50M,,,,,,,,,,,,,,403.26M,403.26M,,,,
1985-09,144.10M,144.10M,,,,,,,,,,144.10M,,,,,,,12.70M,,,12.70M,,144.10M,,144.10M,,0.0022,0.00,,0.0022,0.0022,,0.0022,0.00,,0.0022,0.0022,,401.90M,401.90M,,,,
1985-06,155.70M,155.70M,,,,,,,,,,155.70M,,,,,,,15.60M,,,15.60M,,155.70M,,155.70M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,401.90M,401.90M,,,,
1985-03,147.70M,147.70M,,,,,,,,,,147.70M,,,,,,,13.90M,,,13.90M,,147.70M,,147.70M,,0.0022,0.00,,0.0022,0.0022,,0.0022,0.00,,0.0022,0.0022,,401.22M,401.22M,,,,
1984-12,149.40M,149.40M,,,,,,,,,,-349.00M,,,,,,,15.10M,,,15.10M,,-349.00M,,-349.00M,,,,,,,,,,,,,,401.22M,401.22M,,,,
1984-09,149.10M,149.10M,,,,,,,,,,149.10M,,,,,,,15.90M,,,15.90M,,149.10M,,149.10M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,400.83M,400.83M,,,,
1984-06,155.90M,155.90M,,,,,,,,,,155.90M,,,,,,,16.10M,,,16.10M,,155.90M,,155.90M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,400.32M,400.32M,,,,
1984-03,137.90M,137.90M,,,,,,,,,,137.90M,,,,,,,12.90M,,,12.90M,,137.90M,,137.90M,,0.0011,0.00,,0.0011,0.0011,,0.0011,0.00,,0.0011,0.0011,,400.32M,400.32M,,,,
