,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2000-12,750.92M,750.92M,727.37M,23.55M,118.87M,1.04M,,,,-103.98M,127.52M,,,1.04M,,62.18M,25.80M,36.37M,,,,,36.37M,35.75M,232.81M,105.28M,127.52M,0.52,0.0,,,0.5111,0.52,0.4,0.0,,,0.3932,0.4,70.19M,91.64M
2000-09,859.03M,859.03M,430.83M,428.21M,124.49M,0.484M,,,,233.88M,194.32M,,,0.484M,,128.87M,53.48M,75.39M,,,-4.875M,,75.39M,75.10M,303.71M,109.39M,194.32M,1.07,0.0,,,1.0659999999999998,1.07,0.79,0.0,,,0.7868,0.79,70.46M,91.64M
2000-06,729.95M,729.95M,372.62M,357.33M,109.12M,0.108M,,,,215.35M,141.98M,,,0.108M,,80.68M,33.48M,47.20M,,,-4.875M,,47.20M,47.13M,248.21M,106.24M,141.98M,0.66,0.0,,,0.6591,0.66,0.51,0.0,,,0.5093,0.51,71.51M,91.64M
2000-03,578.96M,578.96M,299.48M,279.49M,101.85M,0.204M,,,,195.37M,84.12M,,,0.204M,,29.76M,12.35M,17.41M,,,-4.875M,,17.41M,17.29M,177.64M,93.52M,84.12M,0.24,0.0,,,0.2383,0.24,0.19,0.0,,,0.1887,0.19,72.55M,91.64M
1999-12,669.03M,669.03M,623.01M,46.02M,104.40M,0.479M,,,,-79.84M,125.86M,,,0.479M,,75.21M,30.84M,44.37M,,,,,44.37M,44.08M,222.26M,96.41M,125.86M,0.61,0.0,,,0.6061,0.61,0.47,0.0,,,0.467,0.47,72.77M,95.65M
1999-09,668.60M,668.60M,333.70M,334.90M,98.30M,0.40M,,,,192.90M,142.00M,,,0.40M,,95.30M,39.10M,56.20M,,,-4.90M,,56.20M,55.96M,236.60M,94.60M,142.00M,0.78,0.0,,,0.7767,0.78,0.6,0.0,,,0.5976,0.6,71.94M,99.00M
1999-06,503.66M,503.66M,253.70M,249.96M,84.60M,-9.40M,,,,164.90M,85.06M,,,-9.40M,,43.90M,18.00M,25.90M,,,-4.90M,,25.90M,31.54M,165.36M,80.30M,85.06M,0.36,0.0,,,0.4384,0.36,0.28,0.0,,,0.341,0.28,71.94M,92.50M
1999-03,392.31M,392.31M,198.30M,194.01M,65.30M,0.20M,,,,137.50M,56.51M,,,0.20M,,27.50M,11.30M,16.20M,,,-4.90M,,16.20M,16.08M,128.71M,72.20M,56.51M,0.24,0.0,,,0.2382,0.24,0.18,0.0,,,0.1787,0.18,67.50M,90.00M
1998-12,416.00M,416.00M,209.90M,206.10M,66.80M,-4.60M,,,,134.90M,71.20M,,,-4.60M,,36.60M,18.30M,18.30M,,,,,18.30M,21.06M,139.30M,68.10M,71.20M,0.27,0.0,,-0.0049,0.3129,0.27,0.25,0.0,,-0.0049,0.2793,0.25,64.29M,94.29M
1998-09,379.10M,379.10M,125.80M,253.30M,60.40M,-41.90M,,,,186.20M,67.10M,,,-41.90M,,-1.80M,8.40M,-10.20M,,,,,-31.50M,14.94M,192.90M,64.70M,67.10M,-0.15,-0.31,,-0.311,0.2171,-0.46,-0.15,-0.31,,-0.311,0.1772,-0.46,68.48M,76.83M
1998-06,254.00M,254.00M,160.80M,93.20M,42.20M,3.40M,,,,54.90M,38.30M,,,3.40M,,32.20M,11.90M,20.30M,,,,,20.30M,18.16M,83.00M,44.70M,38.30M,0.31,0.0,,,0.2276,0.31,0.28,0.0,,,0.2058,0.28,26.00M,28.89M
