,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2004-12,2.454B,,2.454B,,,2.454B,,,,,,,,,603.00M,,,1.446B,67.72B,1.138B,,66.59B,10.42B,88.29B,90.75B,,,,,,,2.515B,2.515B,2.515B,4.66B,14.85B,,14.85B,57.84B,,,72.69B,83.63B,,492.00M,7.284B,1.491B,2.128B,,-22.00M,7.117B,,,
2004-09,2.984B,,2.984B,,,2.984B,,,,,,,,,599.00M,,,1.211B,64.98B,1.251B,,63.73B,11.35B,85.47B,88.46B,,,,,,,2.853B,2.853B,2.853B,6.175B,13.44B,,13.44B,55.84B,,,69.28B,81.51B,,492.00M,7.197B,1.477B,2.172B,,-48.00M,6.946B,,,
2004-06,2.313B,,2.313B,,,2.313B,,,,,,,,,600.00M,,,1.181B,64.02B,1.276B,,62.74B,10.97B,83.91B,86.22B,,,,,,,2.598B,2.598B,2.598B,6.392B,14.61B,,14.61B,52.42B,,,67.03B,79.39B,,492.00M,7.072B,1.469B,2.121B,,-83.00M,6.829B,,,
2004-03,2.113B,,2.113B,,,2.113B,,,,,,,,,604.00M,,,1.184B,62.51B,1.306B,,61.21B,10.76B,82.34B,84.45B,,,,,,,2.588B,2.588B,2.588B,6.172B,15.33B,,15.33B,49.93B,,,65.26B,77.45B,,492.00M,6.96B,1.459B,1.966B,,54.00M,6.999B,,,
2003-12,2.712B,,2.712B,,,2.712B,,,,,,,,,606.00M,,,1.187B,62.71B,1.406B,,61.30B,10.43B,81.78B,84.49B,,,,,,,2.947B,2.947B,2.947B,5.614B,15.29B,,15.29B,50.86B,,,66.15B,77.52B,,492.00M,6.838B,1.448B,1.801B,,-8.00M,6.969B,,,
2003-09,2.398B,,2.398B,,,2.398B,,,,,,,,,614.00M,,,1.195B,64.65B,1.405B,-1.928B,61.32B,10.54B,82.06B,84.46B,,,,,,,2.707B,2.707B,2.707B,7.511B,15.34B,,15.34B,48.74B,,,64.08B,77.48B,,492.00M,6.732B,1.454B,1.718B,,17.00M,6.977B,,,
2003-06,3.249B,,3.249B,,,3.249B,,,,,,,,,606.00M,,,1.173B,63.21B,1.405B,,61.81B,10.50B,82.23B,85.48B,,,,,,,3.403B,3.403B,3.403B,7.169B,14.43B,,14.43B,49.87B,,1.258B,64.30B,77.23B,,492.00M,6.633B,1.452B,1.667B,,79.00M,6.989B,,,
2003-03,3.074B,,3.074B,,,3.074B,,,,,,,,,623.00M,,,1.176B,64.53B,1.421B,-1.813B,61.30B,12.39B,83.42B,86.49B,,,,,,,2.551B,2.551B,2.551B,6.272B,16.27B,,16.27B,50.46B,,,66.72B,79.59B,,492.00M,6.536B,1.449B,1.621B,,42.00M,6.898B,,,
2002-12,3.364B,,3.364B,,,3.364B,,,,,,,,,644.00M,,,1.177B,64.23B,1.452B,-1.776B,61.00B,11.18B,81.84B,85.20B,,,,,,,2.823B,2.823B,2.823B,6.685B,16.86B,,16.86B,49.35B,,,66.21B,78.37B,,492.00M,6.448B,1.449B,1.593B,,39.00M,6.835B,,,
2002-09,3.039B,,3.039B,,,3.039B,,,,,,,,,651.00M,,,1.105B,64.76B,1.489B,-1.808B,61.46B,9.597B,80.48B,83.52B,,,,,,,2.908B,2.908B,2.908B,9.258B,17.56B,,17.56B,44.61B,,,62.17B,76.86B,,492.00M,6.33B,1.382B,1.569B,,19.00M,6.654B,,,
2002-06,2.929B,,2.929B,,,2.929B,,,,,,,,,659.00M,,,1.105B,65.63B,1.539B,-1.746B,62.34B,8.939B,79.85B,82.78B,,,,,,,3.39B,3.39B,3.39B,8.50B,18.14B,,18.14B,44.80B,,,62.94B,76.19B,,492.00M,6.214B,1.383B,1.53B,,33.00M,6.592B,,,
2002-03,2.483B,,2.483B,,,2.483B,,,,,,,,,663.00M,,,1.101B,65.76B,1.607B,-1.803B,62.35B,8.426B,78.88B,81.36B,,,,,,,3.174B,3.174B,3.174B,10.51B,16.53B,,16.53B,43.23B,,,59.76B,74.96B,,492.00M,6.096B,1.385B,1.551B,,-20.00M,6.402B,,,
2001-12,2.891B,,2.891B,,,2.891B,,,,,,,,,687.00M,,,1.132B,65.09B,1.677B,-1.778B,61.63B,8.363B,78.05B,80.94B,,,,,,,5.549B,5.549B,5.549B,9.284B,15.84B,,15.84B,44.80B,,,60.64B,74.78B,,492.00M,5.856B,1.39B,1.585B,,2.00M,6.155B,,,
2001-09,2.803B,,2.803B,,,2.803B,,,,,,,,,682.00M,,,1.155B,64.51B,1.174B,,63.33B,9.437B,81.62B,84.42B,,,,,,,6.04B,6.04B,6.04B,10.41B,15.11B,,15.11B,45.37B,,1.329B,60.49B,76.52B,,492.00M,6.282B,1.393B,1.599B,,7.00M,6.575B,,,
2001-06,2.781B,,2.781B,,,2.781B,,,,,,,,,694.00M,,,1.177B,66.69B,1.231B,,65.46B,9.838B,83.06B,85.84B,,,,,,,7.128B,7.128B,7.128B,13.05B,14.68B,,14.68B,45.74B,,1.279B,60.42B,78.09B,,492.00M,6.159B,1.395B,1.56B,,-19.00M,6.467B,,,
2001-03,2.484B,,2.484B,,,2.484B,,,,,,,,,703.00M,,,1.351B,68.81B,1.001B,-1.783B,66.03B,10.00B,83.97B,86.46B,,,,,,,8.721B,8.721B,8.721B,13.18B,14.50B,,14.50B,45.96B,,1.308B,60.46B,78.45B,,492.00M,6.444B,1.399B,1.573B,,-60.00M,6.702B,,,
2000-12,3.189B,,3.189B,,,3.189B,,,,,,,,,717.00M,,,1.368B,66.90B,1.001B,,65.90B,10.41B,84.08B,87.27B,,,,,,,6.957B,6.957B,6.957B,11.89B,14.16B,,14.16B,48.65B,,1.243B,62.81B,79.40B,,492.00M,6.352B,1.402B,1.60B,,-23.00M,6.623B,,,
2000-09,2.691B,,2.691B,,,2.691B,,,,,,,,,711.00M,,,1.387B,66.30B,1.001B,,65.30B,9.487B,82.81B,85.50B,,,,,,,6.407B,6.407B,6.407B,11.73B,13.80B,,13.80B,47.81B,,1.243B,61.61B,77.74B,,492.00M,6.205B,1.402B,1.502B,,-77.00M,6.52B,,,
2000-06,3.178B,,3.178B,,,3.178B,,,,,,,,,726.00M,,,1.409B,65.61B,979.00M,,64.63B,9.136B,81.54B,84.72B,,,,,,,5.998B,5.998B,5.998B,9.509B,14.10B,,14.10B,49.08B,,1.243B,63.17B,76.97B,,492.00M,6.203B,1.405B,1.421B,,-172.00M,6.507B,,,
2000-03,2.757B,,2.757B,,,2.757B,,,,,,,,,761.00M,,,1.434B,64.06B,979.00M,,63.08B,9.889B,80.75B,83.50B,,,,,,,8.015B,8.015B,8.015B,10.64B,14.78B,,14.78B,46.04B,,1.243B,60.82B,75.77B,,492.00M,6.077B,1.406B,1.301B,,-181.00M,6.493B,,,
1999-12,2.816B,,2.816B,,,2.816B,,,,,,,,,797.00M,,,1.449B,64.22B,930.00M,,63.29B,9.511B,80.58B,83.40B,,,,,,,8.439B,8.439B,8.439B,12.62B,15.88B,,15.88B,43.23B,,1.243B,59.11B,75.76B,,492.00M,5.833B,1.412B,1.197B,,-151.00M,6.389B,,,
1999-09,3.018B,,3.018B,,,3.018B,,,,,,,,,818.00M,,,1.486B,63.18B,930.00M,,62.25B,9.65B,79.56B,82.58B,,,,,,,8.551B,8.551B,8.551B,12.06B,15.82B,,15.82B,43.47B,,1.243B,59.28B,74.94B,,,5.686B,,,,-111.00M,6.397B,,,
1999-06,3.06B,,3.06B,,,3.06B,,,,,,,,,846.00M,,,1.514B,61.97B,930.00M,,61.04B,9.126B,77.83B,80.89B,,,,,,,7.344B,7.344B,7.344B,12.07B,15.17B,,15.17B,43.02B,,994.00M,58.18B,73.66B,,,5.533B,,,,,6.235B,,,
1999-03,2.981B,,2.981B,,,2.981B,,,,,,,,,863.00M,,,1.507B,62.52B,930.00M,-1.479B,60.12B,9.413B,77.01B,79.99B,,,,,,,8.242B,8.242B,8.242B,12.58B,15.46B,,15.46B,41.32B,,1.244B,56.78B,72.64B,,,5.369B,,,,,6.105B,,,
1998-12,3.296B,,3.296B,,,3.296B,,,,,,,,,902.00M,,,1.509B,62.01B,900.00M,,61.11B,8.228B,76.72B,80.02B,,,,,,,9.728B,9.728B,9.728B,14.20B,12.97B,,12.97B,42.58B,,997.00M,55.55B,72.86B,,,5.192B,,,,,6.167B,,,
1998-09,2.75B,,2.75B,,,2.75B,,,,,,,,,876.00M,,,1.121B,60.85B,900.00M,-1.404B,58.54B,9.124B,74.94B,77.69B,,,,,,,7.576B,7.576B,7.576B,14.23B,11.35B,,11.35B,42.60B,,997.00M,53.95B,71.14B,,,5.038B,,,,41.00M,5.553B,,,
1998-06,3.05B,,3.05B,,,3.05B,,,,,,,,,894.00M,,,1.116B,59.08B,900.00M,-1.313B,56.87B,9.172B,72.73B,75.78B,,,,,,,7.855B,7.855B,7.855B,14.68B,10.20B,,10.20B,41.79B,,997.00M,51.99B,69.26B,,,4.889B,,,,28.00M,5.525B,,,
1998-03,3.287B,,3.287B,,,3.287B,,,,,,,,,924.00M,,,1.151B,56.14B,900.00M,-1.235B,54.00B,9.468B,69.91B,73.20B,,,,,,,7.442B,7.442B,7.442B,13.91B,9.791B,,9.791B,41.66B,,,51.45B,67.86B,,,4.743B,,,,8.00M,5.338B,,,
1997-12,3.651B,,3.651B,,,3.651B,,,,,,,,,985.00M,,,1.176B,54.58B,900.00M,-1.197B,52.48B,10.87B,70.05B,73.70B,,,,,,,5.967B,5.967B,5.967B,12.95B,8.196B,,8.196B,45.07B,,,53.27B,68.52B,,,4.611B,,,,11.00M,5.181B,,,
1997-09,2.94B,,2.94B,,,2.94B,,,,,,,,,993.00M,,,1.095B,53.68B,900.00M,,52.78B,10.12B,69.14B,72.08B,,,,,,,6.053B,6.053B,6.053B,12.72B,8.317B,,8.317B,43.87B,,,52.19B,67.00B,,,4.455B,,,,8.00M,5.076B,,,
1997-06,2.911B,,2.911B,,,2.911B,,,,,,,,,1.025B,,,918.00M,51.64B,880.00M,,50.76B,9.864B,66.76B,69.67B,,,,,,,5.447B,5.447B,5.447B,12.28B,5.932B,,5.932B,44.63B,,,50.56B,64.86B,,,4.311B,,,,-36.00M,4.814B,,,
1997-03,3.242B,,3.242B,,,3.242B,,,,,,,,,1.057B,,,941.00M,49.72B,870.00M,,48.85B,10.10B,64.65B,67.89B,,,,,,,4.261B,4.261B,4.261B,11.77B,5.274B,,5.274B,44.24B,,,49.51B,63.22B,,,4.18B,,,,-117.00M,4.674B,,,
1996-12,3.444B,,3.444B,,,3.444B,,,,,,,,,1.084B,,,961.00M,49.24B,870.00M,,48.36B,10.02B,64.18B,67.62B,,,,,,,3.969B,3.969B,3.969B,10.89B,4.713B,,4.713B,45.32B,,,50.03B,62.74B,,,4.06B,,,,-6.00M,4.881B,,,
1996-09,3.11B,,3.11B,,,3.11B,,,,,,,,,1.052B,,,982.00M,48.37B,870.00M,,47.50B,9.267B,62.25B,65.36B,,,,,,,3.861B,3.861B,3.861B,9.453B,4.664B,,4.664B,44.52B,,,49.19B,60.38B,,,3.994B,,,,-37.00M,4.976B,,,
1996-06,3.061B,,3.061B,,,3.061B,,,,,,,,,1.032B,,,998.00M,47.93B,870.00M,,47.06B,9.476B,61.70B,64.76B,,,,,,,3.408B,3.408B,3.408B,9.579B,4.174B,,4.174B,44.42B,,,48.59B,59.77B,,,3.874B,,,,-70.00M,4.996B,,,
1996-03,2.975B,,2.975B,,,2.975B,,,,,,,,,1.032B,,,1.041B,48.27B,875.00M,,47.40B,9.668B,62.08B,65.05B,,,,,,,2.952B,2.952B,2.952B,8.772B,4.266B,,4.266B,45.40B,,,49.67B,59.93B,,160.00M,3.749B,,,160.00M,-15.00M,5.124B,,,
1995-12,3.444B,,3.444B,,,3.444B,,,,,,,,,1.03B,,,1.07B,47.69B,876.00M,,46.82B,10.43B,62.90B,66.34B,,,,,,,2.88B,2.88B,2.88B,8.424B,4.004B,,4.004B,47.28B,,,51.29B,61.19B,,160.00M,3.633B,,,160.00M,48.00M,5.153B,,,
1995-09,3.344B,,3.344B,,,3.344B,,,,,,,,,1.023B,,,1.081B,49.07B,879.20M,,48.19B,11.78B,64.62B,67.97B,,,,,,,3.632B,3.632B,3.632B,9.541B,4.048B,,4.048B,47.90B,,,51.95B,62.88B,,160.00M,3.514B,,,160.00M,-25.20M,5.083B,,,
1995-06,3.197B,,3.197B,,,3.197B,,,,,,,,,1.018B,,,841.00M,48.09B,867.50M,,47.23B,12.85B,64.28B,67.48B,,,,,,,4.067B,4.067B,4.067B,8.861B,4.020B,,4.020B,48.67B,,,52.69B,62.81B,,160.00M,3.390B,,,160.00M,-25.30M,4.674B,,,
1995-03,3.303B,,3.303B,,,3.303B,,,,,,,,,1.016B,,,794.70M,48.19B,867.10M,,47.32B,12.98B,64.41B,67.71B,,,,,,,3.927B,3.927B,3.927B,8.908B,3.725B,,3.725B,48.81B,,,52.54B,62.89B,,160.00M,3.280B,,,160.00M,-44.40M,4.818B,,,
1994-12,3.511B,,3.511B,,,3.511B,,,,,,,,,987.20M,,,793.60M,46.22B,830.30M,,45.39B,13.82B,63.29B,66.80B,,,,,,,3.278B,3.278B,3.278B,8.777B,3.570B,,3.570B,48.56B,,,52.13B,62.10B,,160.00M,3.169B,,,160.00M,-115.30M,4.698B,,,
1994-09,3.007B,,3.007B,,,3.007B,,,,,,,,,947.30M,,,576.50M,44.61B,820.20M,,43.79B,13.61B,61.49B,64.50B,,,,,,,3.173B,3.173B,3.173B,8.688B,2.178B,,2.178B,47.82B,,,49.99B,59.80B,,160.00M,3.056B,,,160.00M,,4.702B,,,
1994-06,3.133B,,3.133B,,,3.133B,,,,,,,,,933.30M,,,566.70M,43.16B,816.40M,,42.34B,14.19B,60.22B,63.36B,,,,,,,2.326B,2.326B,2.326B,7.836B,2.124B,,2.124B,47.80B,,,49.92B,58.76B,,160.00M,2.909B,,,160.00M,,4.599B,,,
1994-03,2.831B,,2.831B,,,2.831B,,,,,,,,,910.90M,,,542.90M,41.38B,812.60M,,40.57B,13.57B,58.65B,61.48B,,,,,,,1.560B,1.560B,1.560B,7.235B,1.744B,,1.744B,46.88B,,,48.63B,56.94B,,160.00M,2.769B,,,160.00M,,4.536B,,,
1993-12,1.376B,,1.376B,,,1.376B,,,,,,,,,421.80M,,,214.10M,17.90B,480.60M,,17.42B,6.391B,25.63B,27.01B,,,,,,,1.176B,1.176B,1.176B,3.530B,952.70M,,952.70M,19.88B,,,20.83B,24.97B,,,1.369B,,,,,2.039B,,,
1993-09,1.232B,,1.232B,,,1.758B,,,,,,,,,430.30M,,,,17.02B,485.00M,,16.53B,5.657B,23.99B,25.76B,,,,,,,1.161B,1.161B,1.161B,4.292B,1.078B,,1.078B,17.76B,,,18.84B,23.75B,,,1.344B,,,,,2.008B,,,
1993-06,2.147B,,2.147B,,,2.425B,,,,,,,,,433.40M,,,,17.04B,489.00M,,16.55B,5.373B,23.47B,25.92B,,,,,,,1.083B,1.083B,1.083B,4.271B,1.092B,,1.092B,18.15B,,,19.24B,23.98B,,,1.279B,,,,,1.940B,,,
1993-03,2.160B,,2.160B,,,2.410B,,,,,,,,,428.30M,,,,17.17B,495.10M,,16.67B,5.366B,23.52B,25.96B,,,,,,,558.90M,558.90M,558.90M,3.764B,996.80M,,996.80M,18.78B,,,19.78B,24.09B,,,1.214B,,,,,1.871B,,,
1992-12,2.023B,,2.023B,,,2.121B,,,,,,,,,406.60M,,,,16.20B,502.70M,,15.70B,5.610B,22.83B,24.98B,,,,,,,276.40M,276.40M,276.40M,3.110B,886.10M,,886.10M,18.66B,,,19.54B,23.11B,,60.00M,1.153B,,,60.00M,,1.868B,,,
1992-09,1.970B,,1.970B,,,2.074B,,,,,,,,,406.60M,,,,15.74B,512.70M,,15.23B,5.500B,22.24B,24.39B,,,,,,,441.60M,441.60M,441.60M,3.817B,687.10M,,687.10M,17.33B,,,18.01B,22.59B,,60.00M,1.097B,,,60.00M,,1.799B,,,
1992-06,1.762B,,1.762B,,,2.052B,,,,,,,,,391.70M,,,,15.88B,523.10M,,15.36B,4.632B,21.37B,23.53B,,,,,,,1.969B,1.969B,1.969B,2.805B,689.30M,,689.30M,17.72B,,,18.41B,21.79B,,60.00M,1.044B,,,60.00M,,1.742B,,,
1992-03,1.632B,,1.632B,,,2.283B,,,,,,,,,350.00M,,,,16.58B,515.80M,,16.06B,4.481B,22.08B,24.46B,,,,,,,266.40M,266.40M,266.40M,2.592B,463.00M,,463.00M,19.13B,,,19.59B,22.78B,,60.00M,985.50M,,,60.00M,,1.680B,,,
1991-12,1.529B,,1.529B,,,1.61B,,,,,,,,,213.60M,,,,9.585B,167.40M,,9.417B,3.565B,13.73B,15.40B,,,,,,,283.70M,283.70M,283.70M,1.560B,177.10M,,177.10M,11.54B,,,11.71B,14.29B,,,611.40M,,,,,1.117B,,,
1991-09,1.255B,,1.255B,,,1.255B,,,,,,,,,377.50M,,,308.80M,15.69B,208.60M,-341.80M,15.14B,4.842B,22.10B,23.36B,,220.60M,220.60M,,220.60M,,459.40M,459.40M,459.40M,1.851B,517.70M,,517.70M,19.16B,,,19.68B,21.91B,,184.00M,693.60M,,,184.00M,,1.450B,,,
1991-06,1.326B,,1.326B,,,1.326B,,,,,,,,,353.90M,,,323.70M,16.21B,203.30M,-359.00M,15.65B,6.502B,23.82B,25.15B,,224.10M,224.10M,,224.10M,,2.378B,2.378B,2.378B,3.825B,515.30M,,515.30M,19.19B,,,19.71B,23.74B,,174.00M,663.20M,,,174.00M,,1.408B,,,
1991-03,987.80M,,987.80M,,,987.80M,,,,,,,,,236.20M,,,307.60M,13.46B,160.50M,-396.80M,12.91B,4.070B,18.30B,19.28B,,154.60M,154.60M,,154.60M,,108.00M,108.00M,108.00M,1.566B,388.30M,,388.30M,15.93B,,,16.32B,18.05B,,24.00M,636.80M,,,24.00M,,1.233B,,,
1990-12,1.298B,,1.298B,,,1.321B,,,,,,,,,215.20M,,,,10.07B,178.70M,,9.895B,3.190B,13.74B,15.11B,,,,,,,57.50M,57.50M,57.50M,1.545B,183.20M,,183.20M,12.12B,,,12.30B,14.10B,,,508.90M,,,,,1.005B,,,
1990-09,1.394B,,1.394B,,,1.486B,,,,,,,,,219.40M,,,,10.26B,171.50M,,10.09B,3.256B,14.07B,15.62B,,,,,,,116.50M,116.50M,116.50M,1.716B,193.50M,,193.50M,12.42B,,,12.62B,14.63B,,,485.70M,,,,,987.70M,,,
1990-06,1.38B,,1.38B,,,1.394B,,,,,,,,,205.90M,,,,10.36B,167.30M,,10.19B,3.092B,14.02B,15.48B,,,,,,,131.10M,131.10M,131.10M,1.462B,193.70M,,193.70M,12.53B,,,12.72B,14.51B,,,460.30M,,,,,964.50M,,,
1990-03,1.560B,,1.560B,,,1.576B,,,,,,,,,201.30M,,,,10.42B,166.00M,,10.25B,2.879B,13.84B,15.44B,,,,,,,96.80M,96.80M,96.80M,1.680B,194.20M,,194.20M,12.35B,,,12.54B,14.49B,,,434.90M,,,,,953.20M,,,
1989-12,1.581B,,1.581B,,,1.591B,,,,,,,,,110.90M,,,,6.809B,88.80M,,6.720B,1.906B,9.280B,10.90B,,,,,,,19.50M,19.50M,19.50M,1.396B,122.20M,,122.20M,8.424B,,,8.547B,10.16B,,25.00M,508.40M,,,25.00M,,746.20M,,,
