,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-03,67.44M,,-33.59M,,,,137.05M,20.03M,,,,-19.52M,31.59M,118.83M,-31.82M,22.69M,14.59M,136.37M,327.30M,-148.62M,,-148.62M,,,6.087M,-142.53M,,,-66.43M,2.522M,,2.522M,,,-19.18M,-1.153M,-84.24M,43.37M,100.53M,143.90M,2.522M,,,
2003-12,-8.51M,,158.11M,,,,143.38M,-74.00M,,,,-121.47M,6.325M,-41.67M,15.24M,66.02M,-10.77M,-86.32M,132.66M,-181.74M,,-181.74M,,,-14.99M,-196.73M,,,177.36M,3.714M,2.672M,6.386M,,,-20.52M,-169.58M,-6.35M,118.14M,-70.42M,43.37M,3.714M,,,2.672M
2003-09,45.37M,,2.389M,,,,157.46M,-45.35M,,,,-12.81M,-36.34M,134.04M,-56.92M,24.12M,37.14M,89.23M,249.10M,-155.37M,,-155.37M,,,2.032M,-153.33M,,,-98.76M,2.477M,0.00,2.477M,,,-20.46M,82.09M,-34.65M,57.03M,61.11M,118.14M,2.477M,,,0.00
2003-06,28.26M,,-32.08M,,,,96.29M,12.08M,,,,99.03M,-12.83M,-34.75M,51.54M,-68.55M,-53.08M,-18.64M,85.91M,-134.71M,,-134.71M,,,-17.47M,-152.18M,,,147.05M,0.484M,0.00,0.484M,,,-18.81M,-86.45M,42.28M,81.02M,-24.00M,57.03M,0.484M,,,0.00
2003-03,61.59M,,10.02M,,,,152.24M,-22.47M,,,,74.56M,8.622M,-88.48M,-82.78M,69.34M,-56.91M,-75.64M,125.75M,-91.81M,,-91.81M,,,1.587M,-90.22M,,,26.11M,6.979M,-23.21M,-16.23M,,,-18.86M,-0.204M,-9.18M,54.68M,26.34M,81.02M,6.979M,,,-23.21M
2002-12,57.42M,,174.74M,,,,-171.80M,-95.12M,,,,-131.40M,-4.305M,216.39M,36.76M,-49.57M,89.54M,157.41M,122.65M,-157.65M,,-157.65M,15.30M,,343.68M,201.33M,,,75.67M,0.013M,30.14M,30.15M,,,-19.02M,-411.53M,-324.73M,70.73M,-0.745M,50.33M,0.013M,,,30.14M
2002-09,49.96M,,-69.05M,,,,165.04M,-1.118M,,,,22.11M,-11.07M,-85.10M,-7.482M,49.57M,7.003M,-24.97M,119.87M,-114.83M,,-114.83M,-15.30M,,59.10M,-71.03M,,,-42.37M,1.48M,-11.89M,-10.41M,,,-19.18M,-0.19M,-72.14M,94.02M,-23.30M,70.73M,1.48M,,,-11.89M
2002-06,30.25M,,24.79M,,,,71.73M,-30.29M,,,,-95.12M,-11.85M,152.38M,7.482M,3.967M,-27.09M,29.77M,126.24M,-115.12M,,-115.12M,,,-7.993M,-123.12M,,,-2.972M,4.835M,0.00,4.835M,,,-17.60M,-0.181M,-15.92M,106.81M,-12.79M,94.02M,4.835M,,,0.00
2002-03,20.03M,,48.78M,,,,140.67M,-22.80M,,,,102.24M,-0.368M,-120.12M,,-3.967M,56.52M,34.30M,220.98M,-97.36M,,-97.36M,,,-44.15M,-141.52M,,,-34.45M,1.13M,-18.25M,-17.12M,,,-17.56M,-0.177M,-69.31M,96.66M,10.15M,106.81M,1.13M,,,-18.25M
2001-12,51.09M,,-59.28M,,,,129.51M,24.76M,,,,-172.80M,-4.95M,34.72M,,-62.55M,-34.22M,-239.80M,-93.72M,-124.54M,13.45M,-111.09M,,,123.98M,-12.93M,,,-678.76M,0.00,341.59M,341.59M,,,-17.51M,427.08M,72.40M,130.91M,-34.26M,96.66M,0.00,,,341.59M
2001-09,35.64M,,36.25M,,,,138.07M,-20.96M,,,,91.94M,-0.983M,-50.66M,-57.55M,62.55M,20.84M,66.15M,255.14M,-102.73M,0.05M,-102.68M,,,-170.00M,-272.68M,,,-25.97M,0.026M,-22.25M,-22.23M,,,-0.998M,,-49.20M,197.65M,-66.73M,130.91M,0.026M,,,-22.25M
2001-06,49.17M,,64.42M,,,,135.99M,105.95M,,,,-48.46M,-8.388M,32.21M,57.55M,,-405.39M,-372.48M,-16.96M,-114.16M,-0.05M,-114.21M,,,-198.70M,-312.91M,,,868.32M,1.314M,-343.60M,-342.29M,,,-32.57M,-1.438B,-944.94M,1.472B,-1.275B,197.65M,1.314M,,,-343.60M
2001-03,137.30M,,-786.14M,,,,780.48M,-226.45M,,,,-227.55M,69.52M,114.29M,,,370.82M,327.08M,232.28M,-101.16M,1.035B,934.03M,,,-1.104B,-170.25M,,,-174.80M,0.411M,-36.50M,-36.09M,,,-17.09M,1.438B,1.210B,200.02M,1.272B,1.472B,0.411M,,,-36.50M
2000-12,55.70M,,-108.41M,,,,155.44M,12.21M,,,,-41.99M,7.542M,57.57M,107.28M,,-83.39M,47.01M,161.96M,-157.03M,,-157.03M,0.00,,7.213M,-149.82M,,,-33.82M,1.57M,-0.732M,0.838M,,,-17.11M,,-50.09M,237.97M,-37.96M,200.02M,1.57M,,,-0.732M
2000-09,68.30M,,-19.74M,,,,129.14M,-10.29M,,,,24.38M,0.313M,-66.10M,-97.81M,-41.69M,162.72M,-18.18M,149.22M,-90.86M,,-90.86M,-260.35M,,243.71M,-107.50M,,,-88.53M,0.243M,0.00,0.243M,,,-17.10M,,-105.39M,301.64M,-63.66M,237.97M,0.243M,,,0.00
2000-06,16.12M,,59.79M,,,,113.77M,-7.64M,,,,-39.07M,2.876M,110.02M,,14.81M,-117.58M,-28.94M,153.10M,-98.07M,,-98.07M,,,-25.61M,-123.68M,,,42.93M,2.332M,-124.54M,-122.21M,,,-18.24M,,-97.52M,369.74M,-68.10M,301.64M,2.332M,,,-124.54M
2000-03,79.34M,,-32.88M,,,,117.58M,-10.40M,,,,-48.19M,1.719M,69.66M,,26.88M,-89.61M,-39.54M,114.11M,-68.06M,,-68.06M,,,-293.34M,-361.40M,,,382.32M,0.124M,-1.50M,-1.376M,,,-19.07M,,361.88M,255.15M,114.58M,369.74M,0.124M,,,-1.50M
1999-12,-10.40M,,-358.50M,,,,943.30M,-152.80M,,,-489.70M,87.80M,29.70M,11.90M,76.50M,-185.60M,51.90M,72.20M,4.10M,-103.60M,517.00M,413.40M,,,-6.00M,407.40M,,,-459.70M,2.30M,-16.00M,-13.70M,,,-18.50M,,-491.70M,335.40M,-80.20M,255.20M,2.30M,,,-16.00M
1999-09,36.85M,,-48.05M,,,,-283.05M,-26.64M,,,489.70M,-55.42M,-4.323M,-145.02M,-2.00M,72.14M,106.16M,-28.47M,140.34M,-60.91M,48.40M,-12.51M,,,4.246M,-8.266M,,,-7.655M,0.038M,-3.80M,-3.762M,,,-5.619M,,-17.04M,220.32M,115.04M,335.40M,0.038M,,,-3.80M
1999-06,6.153M,,44.15M,,,,283.05M,13.54M,,,-193.90M,-94.68M,4.323M,161.12M,-2.90M,9.358M,-70.36M,6.868M,159.86M,-78.69M,,-78.69M,,,-56.35M,-135.03M,,,-110.74M,1.662M,-25.00M,-23.34M,,,-5.981M,,-140.06M,335.70M,-115.24M,220.32M,1.662M,,,-25.00M
1999-03,24.40M,,45.30M,,,,,-17.50M,,,193.90M,-44.30M,,-19.30M,2.90M,104.10M,20.40M,63.80M,309.90M,-86.40M,,-86.40M,,,-26.50M,-112.90M,,,8.50M,1.30M,-1.50M,-0.20M,,,-5.90M,,2.40M,136.20M,199.40M,335.70M,1.30M,,,-1.50M
1998-12,-133.90M,,34.40M,,,,,-21.40M,,,-343.00M,-50.70M,,81.70M,6.70M,-84.90M,10.50M,-36.70M,115.80M,-72.50M,,-72.50M,,,-29.40M,-101.90M,,,-21.20M,2.30M,-13.50M,-11.20M,,,-6.10M,-0.20M,-38.70M,160.90M,-24.80M,136.20M,2.30M,,,-13.50M
1998-09,11.10M,,110.50M,,,,,37.20M,,,96.00M,141.60M,,-15.80M,1.40M,-191.30M,-20.30M,-84.40M,170.40M,-66.40M,,-66.40M,,,-27.40M,-93.80M,,,-40.70M,0.00,0.00,0.00,,,-6.20M,0.10M,-46.80M,131.10M,29.80M,160.90M,0.00,,,0.00
1998-06,13.10M,,10.00M,,,,,17.90M,,,106.60M,10.50M,,-42.50M,-2.00M,49.70M,-59.20M,-43.50M,104.10M,-37.60M,,-37.60M,,,3.60M,-34.00M,,,-175.90M,0.20M,-25.00M,-24.80M,,,-6.80M,-0.10M,-207.60M,268.70M,-137.50M,131.10M,0.20M,,,-25.00M
