,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2005-03,2.233B,2.233B,1.669B,563.80M,,,5.906M,74.19M,,,,491.83M,690.04M,-126.24M,,,,5.906M,,-176.68M,-64.77M,-111.91M,-4.423M,,,1.39M,-116.33M,-115.65M,1.738M,127.98M,-126.24M,-0.88,-0.03,,-0.9089,-0.91,-0.88,-0.03,,-0.9089,-0.91,129.28M,129.28M,0.1625
2004-12,1.633B,1.633B,1.204B,428.87M,,,15.15M,42.76M,,,,274.41M,444.00M,-15.13M,,,,15.15M,,-31.32M,-18.54M,-12.78M,47.24M,,,1.39M,34.45M,-21.87M,151.60M,166.73M,-15.13M,-0.1,0.36,,-0.1706,0.26,-0.1,0.36,,-0.1705,0.26,128.79M,128.89M,0.1625
2004-09,1.624B,1.624B,1.107B,517.37M,,,5.977M,55.20M,,,,285.73M,483.92M,33.45M,,,,5.977M,,-22.03M,-14.12M,-7.907M,1.389M,,,1.39M,-6.518M,-11.49M,176.45M,88.32M,33.45M,-0.07,0.01,,-0.098,-0.06,-0.07,0.01,,-0.098,-0.06,128.28M,128.28M,0.1625
2004-06,1.525B,1.525B,912.42M,612.25M,,,2.862M,55.70M,,,,338.41M,516.05M,96.20M,,,,2.862M,,35.92M,10.54M,25.38M,,,,1.389M,25.38M,23.36M,232.15M,135.95M,96.20M,0.19,0.0,,0.1742,0.19,0.1872,0.0,,0.1714,0.1872,128.03M,128.18M,0.15
2004-03,1.838B,1.838B,1.176B,662.07M,,,1.687M,77.59M,,,,284.83M,489.28M,172.79M,,,,1.687M,,111.70M,42.86M,68.83M,,,,1.39M,68.83M,67.79M,309.84M,137.05M,172.79M,0.53,0.0,,0.5219,0.53,0.5266,0.0,,0.5185,0.5266,127.88M,128.06M,0.15
2003-12,1.515B,1.515B,968.89M,545.93M,,,-6.443M,54.07M,,,,316.18M,513.63M,32.30M,,,,-6.443M,,-34.08M,-25.57M,-8.51M,,0.00,,1.39M,-8.51M,-4.644M,175.68M,143.38M,32.30M,-0.42,0.38,0.0,-0.3897,-0.08,-0.42,0.38,0.0,-0.3897,-0.08,127.53M,127.70M,0.15
2003-09,1.640B,1.640B,1.034B,606.45M,,,4.678M,53.17M,,,,277.96M,479.14M,127.32M,,,,4.678M,,68.65M,23.28M,45.37M,,-4.741M,,1.39M,40.63M,42.28M,284.77M,157.46M,127.32M,0.35,-0.04,0.0,0.3257,0.31,0.3455,-0.04,-0.0373,0.3212,0.3082,127.17M,127.30M,0.15
2003-06,1.330B,1.330B,767.00M,563.04M,,,0.754M,51.46M,,,,298.99M,459.33M,103.70M,,,,0.754M,,44.93M,16.67M,28.26M,,,,1.389M,28.26M,27.78M,212.59M,96.29M,103.70M,0.21,0.0,,0.2063,0.21,0.21,0.0,,0.2063,0.21,126.75M,126.86M,0.1375
2003-03,1.584B,1.584B,965.04M,619.14M,,,0.576M,73.97M,,,,235.16M,455.11M,164.03M,,,,0.576M,,101.06M,39.47M,61.59M,,,,1.39M,61.59M,61.24M,316.27M,152.24M,164.03M,0.47,0.0,,0.4672,0.47,0.47,0.0,,0.4672,0.47,127.01M,127.11M,0.1375
2002-12,1.467B,1.467B,914.98M,551.93M,,,24.11M,50.48M,,,,51.93M,419.16M,132.77M,,,,24.11M,,89.98M,32.55M,57.42M,,,,1.39M,57.42M,42.04M,449.53M,-171.80M,132.77M,0.16,0.28,,0.0398,0.44,0.16,0.28,,0.0398,0.44,128.08M,128.08M,0.1375
2002-09,1.361B,1.361B,797.50M,563.55M,,,32.06M,47.58M,,,,252.38M,445.45M,118.10M,,,,32.06M,,82.44M,32.48M,49.96M,,,,1.39M,49.96M,30.54M,283.14M,165.04M,118.10M,0.38,0.0,,0.2298,0.38,0.3751,0.0,,0.225,0.3751,129.34M,129.51M,0.1375
2002-06,1.673B,1.673B,1.158B,514.87M,,,1.653M,54.86M,,,,272.17M,420.82M,94.05M,,,,1.653M,,26.70M,-3.55M,30.25M,,,,1.389M,30.25M,29.25M,187.83M,71.73M,94.05M,0.22,0.0,,0.2124,0.22,0.22,0.0,,0.2124,0.22,129.68M,129.99M,0.125
