,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-03,2.188B,199.00M,2.387B,4.67B,,4.601B,1.25B,232.00M,1.098B,2.58B,1.291B,,,10.86B,,,,,,,22.17B,-10.87B,11.31B,4.988B,1.792B,6.78B,3.782B,,,2.293B,24.16B,35.02B,,7.556B,,180.00M,,7.736B,,7.736B,,,255.00M,,255.00M,,7.991B,9.241B,9.241B,234.00M,234.00M,395.00M,,5.475B,14.95B,22.94B,,71.00M,31.11B,233.00M,14.03B,41.00M,,,-5.698B,11.68B,,AOR,Restated
2008-12,2.064B,213.00M,2.277B,3.784B,969.00M,4.683B,1.228B,169.00M,1.125B,2.522B,1.324B,,,10.81B,0.00,868.00M,4.738B,15.17B,,1.773B,22.55B,-10.89B,11.66B,5.124B,1.86B,6.984B,3.883B,,,2.658B,25.19B,35.99B,,8.273B,,145.00M,,8.418B,,8.418B,,,369.00M,,369.00M,,8.787B,7.858B,7.858B,226.00M,226.00M,476.00M,,6.541B,14.62B,23.41B,,71.00M,30.64B,351.00M,14.26B,41.00M,,,-4.694B,12.11B,,AOR,Restated
2008-09,1.517B,342.00M,1.859B,5.752B,,5.752B,1.314B,269.00M,1.221B,2.804B,939.00M,,,11.35B,,,,,,,23.31B,-11.31B,11.99B,5.37B,2.116B,7.486B,,,,7.626B,27.10B,38.46B,,8.011B,,,,8.011B,,8.011B,,,1.203B,,1.203B,507.00M,9.721B,6.537B,6.537B,716.00M,716.00M,,-95.00M,5.432B,12.59B,22.31B,,30.00M,30.58B,342.00M,13.86B,,,,-945.00M,16.15B,,,Restated
2008-06,1.768B,305.00M,2.073B,5.617B,,5.617B,1.275B,331.00M,1.329B,2.935B,1.026B,,,11.65B,,,,,,,22.76B,-11.16B,11.60B,5.511B,2.222B,7.733B,,,,5.795B,25.13B,36.78B,,7.986B,,,,7.986B,,7.986B,,,,,,353.00M,8.339B,6.053B,6.053B,752.00M,752.00M,,-94.00M,4.982B,11.69B,20.03B,,30.00M,29.67B,345.00M,12.82B,,,,-473.00M,16.75B,,,Restated
2008-03,1.604B,993.00M,2.597B,4.813B,,4.813B,1.096B,225.00M,1.171B,2.492B,1.163B,,,11.06B,,,,,,,22.10B,-10.84B,11.26B,5.209B,2.048B,7.257B,,,,6.114B,24.63B,35.70B,,7.386B,,,,7.386B,,7.386B,,,1.103B,,1.103B,98.00M,8.587B,4.884B,4.884B,681.00M,681.00M,,-92.00M,4.833B,10.31B,18.89B,,30.00M,28.64B,336.00M,11.49B,,,,-711.00M,16.81B,,,Restated
2007-12,910.00M,1.571B,2.481B,3.67B,788.00M,4.389B,1.056B,157.00M,1.077B,2.29B,991.00M,,,10.15B,0.00,864.00M,4.577B,14.47B,,1.984B,21.90B,-10.67B,11.23B,5.169B,2.044B,7.213B,4.354B,,,1.682B,24.48B,34.63B,,7.602B,,151.00M,,7.753B,,7.753B,,,,,,,7.753B,4.203B,4.203B,646.00M,646.00M,,,4.792B,9.641B,17.39B,,71.00M,28.18B,450.00M,10.52B,41.00M,,,-952.00M,17.23B,,,Restated
2007-09,1.035B,1.203B,2.238B,4.764B,,4.764B,1.086B,209.00M,988.00M,2.283B,662.00M,,,9.947B,,,,,,,20.64B,-10.24B,10.40B,4.814B,1.889B,6.703B,,,,5.361B,22.46B,32.41B,,7.291B,,,,7.291B,,7.291B,,,27.00M,,27.00M,785.00M,8.103B,2.954B,2.954B,326.00M,326.00M,,-87.00M,4.781B,7.974B,16.08B,,30.00M,27.53B,461.00M,9.849B,,,,-1.837B,16.33B,,,
2007-06,998.00M,864.00M,1.862B,4.669B,,4.669B,1.101B,302.00M,1.107B,2.51B,747.00M,,,9.788B,,,,,,,19.94B,-9.866B,10.08B,4.789B,1.905B,6.694B,,,,5.366B,22.14B,31.92B,,6.87B,,,,6.87B,,6.87B,,,364.00M,,364.00M,355.00M,7.589B,3.261B,3.261B,326.00M,326.00M,,-83.00M,4.876B,8.38B,15.97B,,30.00M,26.39B,470.00M,9.047B,,,,-1.888B,15.96B,,,
2007-03,967.00M,770.00M,1.737B,4.123B,,4.123B,893.00M,168.00M,1.013B,2.074B,757.00M,,,8.691B,,,,,,,19.20B,-9.469B,9.731B,4.596B,1.84B,6.436B,,,,4.972B,21.14B,29.83B,,6.207B,,,,6.207B,,6.207B,,,1.002B,,1.002B,313.00M,7.522B,1.807B,1.807B,348.00M,348.00M,,-81.00M,4.805B,6.879B,14.40B,,30.00M,25.45B,479.00M,8.288B,,,,-2.238B,15.43B,,,
2006-12,1.651B,1.171B,2.822B,3.725B,,3.725B,860.00M,140.00M,926.00M,1.926B,657.00M,,,9.13B,0.00,756.00M,4.095B,12.77B,,1.439B,19.06B,-9.371B,9.687B,4.594B,1.849B,6.443B,,,,4.67B,20.80B,29.93B,,2.102B,,,,2.102B,2.587B,4.689B,,,274.00M,,274.00M,1.897B,6.86B,2.55B,2.55B,528.00M,528.00M,,-79.00M,4.624B,7.623B,14.48B,,30.00M,24.84B,584.00M,7.758B,,-506.00M,-1.74B,-2.246B,15.45B,,,Restated
2006-09,1.325B,2.075B,3.40B,4.154B,,4.154B,855.00M,172.00M,935.00M,1.962B,623.00M,,,10.14B,,,,,,,18.22B,-9.109B,9.111B,4.473B,1.777B,6.25B,,,,6.766B,22.13B,32.27B,,6.498B,,,,6.498B,,6.498B,,,568.00M,,568.00M,668.00M,7.734B,2.528B,2.528B,1.462B,1.462B,,-76.00M,4.534B,8.448B,16.18B,,30.00M,23.55B,527.00M,7.208B,,,,-811.00M,16.08B,,,
2006-06,419.00M,2.259B,2.678B,4.104B,,4.104B,865.00M,228.00M,1.007B,2.10B,648.00M,,,9.53B,,,,,,,17.82B,-8.884B,8.937B,4.271B,1.704B,5.975B,,,,6.984B,21.90B,31.43B,,6.184B,,,,6.184B,,6.184B,,,1.161B,,1.161B,449.00M,7.794B,2.542B,2.542B,1.427B,1.427B,,-73.00M,4.43B,8.326B,16.12B,,30.00M,22.56B,552.00M,6.937B,,,,-902.00M,15.31B,,,
2006-03,956.00M,2.373B,3.329B,3.634B,,3.634B,764.00M,159.00M,958.00M,1.881B,658.00M,,,9.502B,,,,,,,17.39B,-8.632B,8.754B,,5.701B,5.701B,,,,7.037B,21.49B,30.99B,,5.587B,,,,5.587B,,5.587B,,,2.214B,,2.214B,359.00M,8.16B,2.288B,2.288B,1.378B,1.378B,,-71.00M,4.427B,8.022B,16.18B,,30.00M,21.70B,567.00M,6.498B,,,,-989.00M,14.81B,,,
2005-12,1.716B,3.166B,4.882B,3.261B,,3.261B,738.00M,112.00M,843.00M,1.693B,618.00M,,,10.45B,0.00,685.00M,3.736B,11.66B,,1.066B,17.14B,-8.464B,8.681B,4.088B,1.616B,5.704B,,,,6.888B,21.27B,31.73B,,5.971B,,,,5.971B,,5.971B,,,2.889B,,2.889B,546.00M,9.406B,2.313B,2.313B,1.434B,1.434B,,-69.00M,4.323B,8.001B,17.41B,,30.00M,21.12B,614.00M,6.387B,,,,-1.053B,14.32B,,,
2005-09,844.00M,4.028B,4.872B,3.757B,,3.757B,716.00M,180.00M,768.00M,1.664B,498.00M,,,10.79B,,,,,,,16.43B,-8.264B,8.163B,,5.321B,5.321B,,,,6.623B,20.11B,30.90B,,5.86B,,,,5.86B,,5.86B,,,2.266B,,2.266B,890.00M,9.016B,2.30B,2.30B,1.338B,1.338B,,-63.00M,4.144B,7.719B,16.74B,,30.00M,20.44B,641.00M,6.028B,,,,-921.00M,14.16B,,,
2005-06,595.00M,3.328B,3.923B,3.504B,,3.504B,749.00M,239.00M,834.00M,1.822B,661.00M,,,9.91B,,,,,,,16.12B,-8.063B,8.056B,,5.324B,5.324B,,,,6.394B,19.77B,29.68B,,5.422B,,,,5.422B,,5.422B,,,2.00B,,2.00B,546.00M,7.968B,2.331B,2.331B,1.171B,1.171B,,-60.00M,4.024B,7.466B,15.43B,,30.00M,20.01B,609.00M,5.37B,,,,-1.03B,14.25B,,,
2005-03,681.00M,2.692B,3.373B,3.217B,,3.217B,660.00M,159.00M,819.00M,1.638B,648.00M,,,8.876B,,,,,,,16.04B,-7.951B,8.093B,,5.455B,5.455B,,,,6.247B,19.80B,28.67B,,5.093B,,,,5.093B,,5.093B,,,1.804B,,1.804B,297.00M,7.194B,2.39B,2.39B,1.212B,1.212B,,-55.00M,3.962B,7.509B,14.70B,,30.00M,19.26B,627.00M,5.091B,,,,-853.00M,13.97B,,,
2004-12,1.28B,2.165B,3.445B,2.999B,,2.999B,665.00M,156.00M,720.00M,1.541B,654.00M,,,8.639B,0.00,646.00M,3.605B,10.95B,,729.00M,15.93B,-7.781B,8.149B,3.909B,1.531B,5.44B,,,,5.759B,19.35B,27.99B,,5.599B,,,,5.599B,,5.599B,,,1.054B,,1.054B,99.00M,6.752B,2.397B,2.397B,1.216B,1.216B,,-49.00M,4.099B,7.663B,14.42B,,30.00M,18.73B,618.00M,4.92B,,,,-886.00M,13.57B,,,
2004-09,1.481B,1.272B,2.753B,3.372B,,3.372B,647.00M,243.00M,708.00M,1.598B,621.00M,,,8.344B,,,,,,,15.20B,-7.474B,7.723B,,5.267B,5.267B,,,,5.27B,18.26B,26.60B,,5.515B,,,,5.515B,,5.515B,,,253.00M,,253.00M,205.00M,5.973B,2.409B,2.409B,1.313B,1.313B,,-42.00M,4.124B,7.804B,13.78B,,30.00M,18.13B,532.00M,4.541B,,,,-1.327B,12.83B,,,
2004-06,840.00M,1.239B,2.079B,3.36B,,3.36B,681.00M,282.00M,727.00M,1.69B,660.00M,,,7.789B,,,,,,,15.00B,-7.266B,7.737B,,5.316B,5.316B,,,,5.163B,18.22B,26.00B,,5.327B,,,,5.327B,,5.327B,,,424.00M,,424.00M,91.00M,5.842B,2.445B,2.445B,1.191B,1.191B,,-39.00M,4.202B,7.799B,13.64B,,30.00M,17.16B,486.00M,3.974B,,,,-1.335B,12.36B,,,
2004-03,773.00M,1.131B,1.904B,3.059B,,3.059B,621.00M,213.00M,655.00M,1.489B,700.00M,,,7.152B,,,,,,,14.91B,-7.123B,7.789B,,5.401B,5.401B,,,,5.161B,18.35B,25.50B,,4.859B,,,,4.859B,,4.859B,,,460.00M,,460.00M,639.00M,5.958B,1.648B,1.648B,1.226B,1.226B,,-32.00M,4.185B,7.027B,12.98B,,30.00M,16.49B,503.00M,3.30B,,,,-1.206B,12.52B,,,
2003-12,820.00M,1.181B,2.001B,2.83B,,2.83B,618.00M,160.00M,634.00M,1.412B,687.00M,,,6.93B,0.00,557.00M,3.449B,10.17B,,579.00M,14.76B,-6.927B,7.828B,,5.383B,5.383B,,,,5.186B,18.40B,25.33B,,5.213B,,,,5.213B,,5.213B,,,591.00M,,591.00M,611.00M,6.415B,1.702B,1.702B,1.261B,1.261B,,-22.00M,4.075B,7.016B,13.43B,,30.00M,15.96B,548.00M,3.376B,,,,-1.267B,11.90B,,,
2003-09,2.251B,387.00M,2.638B,3.176B,,3.176B,601.00M,229.00M,610.00M,1.44B,667.00M,,,7.921B,,,,,,,14.22B,-6.622B,7.60B,,5.193B,5.193B,,,,4.567B,17.36B,25.28B,,4.878B,,,,4.878B,,4.878B,,,197.00M,,197.00M,891.00M,5.966B,2.08B,2.08B,1.911B,1.911B,,-17.00M,4.421B,8.395B,14.36B,,30.00M,15.28B,,2.794B,,,,-1.601B,10.92B,,,
2003-06,838.00M,971.00M,1.809B,3.084B,,3.084B,602.00M,288.00M,750.00M,1.64B,701.00M,,,7.234B,,,,,,,14.14B,-6.496B,7.646B,,5.308B,5.308B,,,,4.558B,17.51B,24.75B,,4.87B,,,,4.87B,,4.87B,,,262.00M,,262.00M,907.00M,6.039B,2.049B,2.049B,1.688B,1.688B,,-14.00M,4.347B,8.07B,14.11B,,30.00M,14.56B,,2.532B,,,,-1.426B,10.64B,,,
2003-03,926.00M,292.00M,1.218B,2.823B,,2.823B,547.00M,237.00M,662.00M,1.446B,700.00M,,,6.187B,,,,,,,13.62B,-6.178B,7.443B,,809.00M,809.00M,,,,8.799B,17.05B,23.24B,,4.587B,,,,4.587B,,4.587B,,,241.00M,,241.00M,689.00M,5.517B,2.202B,2.202B,1.71B,1.71B,,-10.00M,4.283B,8.185B,13.70B,,30.00M,13.93B,,2.68B,,,,-1.747B,9.536B,,,
2002-12,1.638B,207.00M,1.845B,2.531B,,2.531B,525.00M,214.00M,603.00M,1.342B,695.00M,,,6.413B,0.00,504.00M,3.119B,9.005B,,767.00M,13.40B,-6.005B,7.39B,,5.219B,5.219B,,,,4.452B,17.06B,23.47B,,4.998B,,,,4.998B,,4.998B,,,562.00M,,562.00M,492.00M,6.052B,2.187B,2.187B,1.718B,1.718B,,-7.00M,4.226B,8.124B,14.18B,,30.00M,13.46B,,2.524B,,,,-1.672B,9.298B,,,
2002-09,1.817B,462.00M,2.279B,2.856B,,2.856B,524.00M,276.00M,663.00M,1.463B,681.00M,,,7.279B,,,,,,,12.98B,-5.814B,7.167B,,4.978B,4.978B,,,,4.369B,16.51B,23.79B,,5.00B,,,,5.00B,,5.00B,,,760.00M,,760.00M,476.00M,6.236B,2.271B,2.271B,1.617B,1.617B,,,4.148B,8.036B,14.27B,,30.00M,12.94B,,1.723B,,,,-1.729B,9.521B,,,
2002-06,1.557B,1.389B,2.946B,2.75B,,2.75B,577.00M,343.00M,679.00M,1.599B,786.00M,,,8.081B,,,,,,,12.85B,-5.714B,7.137B,,4.966B,4.966B,,,,4.016B,16.12B,24.20B,,5.028B,,,,5.028B,,5.028B,,,846.00M,,846.00M,437.00M,6.311B,2.257B,2.257B,1.461B,1.461B,,4.00M,4.133B,7.855B,14.17B,,30.00M,12.28B,,552.00M,,,,-1.726B,10.03B,,,
2002-03,1.008B,1.054B,2.062B,2.447B,,2.447B,508.00M,299.00M,600.00M,1.407B,844.00M,,,6.76B,,,,,,,12.59B,-5.56B,7.026B,,4.921B,4.921B,,,,3.904B,15.85B,22.61B,,4.531B,,,,4.531B,,4.531B,,,779.00M,,779.00M,280.00M,5.59B,2.276B,2.276B,1.462B,1.462B,,,4.063B,7.801B,13.39B,,42.00M,-1.78B,11.77B,813.00M,12.00M,,,,9.22B,,,
2001-12,683.00M,966.00M,1.649B,2.142B,,2.142B,535.00M,205.00M,570.00M,1.31B,752.00M,,,5.853B,0.00,464.00M,2.846B,8.135B,,735.00M,12.18B,-5.304B,6.876B,,4.841B,4.841B,,,,4.125B,15.84B,21.70B,,4.461B,,,,4.461B,,4.461B,,,354.00M,,354.00M,183.00M,4.998B,2.651B,2.651B,1.496B,1.496B,,26.00M,3.876B,8.049B,13.05B,,30.00M,11.52B,13.00M,1.268B,,,,-1.646B,8.648B,,,
2001-09,460.00M,2.17B,2.63B,2.598B,,2.598B,563.00M,236.00M,584.00M,1.383B,846.00M,,,7.457B,,,,,,,11.91B,-5.224B,6.686B,,4.994B,4.994B,,,,3.899B,15.58B,23.04B,,4.582B,,,,4.582B,,4.582B,,,252.00M,,252.00M,370.00M,5.204B,2.559B,2.559B,1.349B,1.349B,,33.00M,4.154B,8.095B,13.30B,,30.00M,11.11B,84.00M,,,,,-1.485B,9.737B,,,
2001-06,344.00M,1.013B,1.357B,2.162B,,2.162B,505.00M,299.00M,374.00M,1.178B,727.00M,,,5.424B,,,,9.888B,,,9.888B,-4.338B,5.55B,,4.778B,4.778B,,,,3.751B,14.08B,19.50B,,3.66B,,,,3.66B,,3.66B,,,198.00M,,198.00M,127.00M,3.985B,1.933B,1.933B,1.344B,1.344B,,,3.603B,6.88B,10.86B,,29.00M,16.18B,1.104B,7.343B,,,,-1.334B,8.638B,,,
2001-03,403.00M,560.00M,963.00M,1.888B,,1.888B,,,,1.003B,,,706.00M,4.56B,,,,,,,9.624B,-4.20B,5.424B,,4.827B,4.827B,,,,3.849B,14.10B,18.66B,,3.45B,,,,3.45B,,3.45B,,,126.00M,,126.00M,131.00M,3.707B,2.492B,2.492B,1.345B,1.345B,,,3.559B,7.396B,11.10B,,29.00M,15.74B,958.00M,7.812B,,,,-1.361B,7.557B,,,
2000-12,1.038B,467.00M,1.505B,2.129B,,2.129B,503.00M,160.00M,529.00M,1.192B,791.00M,,,5.617B,,,,,,,11.46B,-4.901B,6.558B,,4.714B,4.714B,,,,3.868B,15.14B,20.76B,,4.529B,,,,4.529B,,4.529B,,,202.00M,,202.00M,64.00M,4.795B,3.009B,3.009B,1.367B,1.367B,,22.00M,3.96B,8.358B,13.15B,,34.00M,16.51B,375.00M,7.92B,,,,-1.395B,7.604B,,,
2000-09,705.00M,97.00M,802.00M,,,1.835B,,,,975.00M,,,588.00M,4.20B,,,,,,,9.209B,-3.928B,5.281B,,4.531B,4.531B,,,,3.647B,13.46B,17.66B,,3.337B,,,,3.337B,,3.337B,,,116.00M,,116.00M,168.00M,3.621B,2.737B,2.737B,1.38B,1.38B,,,3.033B,7.15B,10.77B,,29.00M,15.04B,963.00M,7.925B,,,,-1.219B,6.888B,,,
2000-06,528.00M,79.00M,607.00M,,,1.878B,,,,1.051B,,,615.00M,4.151B,,,,,,,9.015B,-3.782B,5.233B,,4.572B,4.572B,,,,3.536B,13.34B,17.49B,,3.287B,,,,3.287B,,3.287B,,,242.00M,,242.00M,225.00M,3.754B,2.742B,2.742B,1.306B,1.306B,,,2.943B,6.991B,10.74B,,29.00M,14.66B,993.00M,7.725B,,,,-1.205B,6.747B,,,
2000-03,424.00M,96.00M,520.00M,,,1.734B,,,,929.00M,,,594.00M,3.777B,,,,,,,8.895B,-3.665B,5.23B,,4.666B,4.666B,,,,3.344B,13.24B,17.02B,,3.007B,,,,3.007B,,3.007B,,,278.00M,,278.00M,189.00M,3.474B,2.901B,2.901B,1.222B,1.222B,,,2.913B,7.036B,10.51B,,29.00M,14.29B,1.04B,7.809B,,,,-1.047B,6.507B,,,
1999-12,964.00M,92.00M,1.056B,1.704B,,1.704B,,,,899.00M,,,514.00M,4.173B,,,,,,,11.06B,-5.792B,5.266B,,4.735B,4.735B,,,,3.377B,13.38B,17.55B,,3.399B,,,,3.399B,,3.399B,,,233.00M,,233.00M,156.00M,3.788B,2.812B,2.812B,1.209B,1.209B,,,2.861B,6.882B,10.67B,,29.00M,14.07B,1.081B,7.306B,,,,-989.00M,6.881B,,,
1999-09,478.00M,72.00M,550.00M,,,1.663B,,,,845.00M,,,539.00M,3.597B,,,,,,,8.371B,-3.413B,4.958B,,4.693B,4.693B,,,,3.473B,13.12B,16.72B,,790.00M,,,,790.00M,,790.00M,,,94.00M,,94.00M,2.518B,3.402B,2.641B,2.641B,1.317B,1.317B,,,2.479B,6.437B,9.839B,,29.00M,13.77B,1.136B,7.106B,,-951.00M,,-951.00M,6.882B,,,
1999-06,1.747B,,1.747B,,,1.948B,,,,970.00M,,,1.733B,6.398B,,,,,,,8.328B,-3.339B,4.989B,,4.795B,4.795B,,,,3.306B,13.09B,19.49B,,856.00M,,,,856.00M,,856.00M,,,2.931B,,2.931B,2.439B,6.226B,2.625B,2.625B,1.285B,1.285B,,,2.414B,6.324B,12.55B,,,13.49B,,,,,,,6.938B,,,
1999-03,2.124B,,2.124B,,,2.38B,,,,1.096B,,,3.272B,8.872B,,,,,,,13.06B,-5.868B,7.193B,,8.981B,8.981B,,,,2.059B,18.23B,27.10B,,3.571B,,,,3.571B,,3.571B,,,7.086B,,7.086B,235.00M,10.89B,5.378B,5.378B,1.963B,1.963B,,,2.32B,9.661B,20.55B,,,12.94B,,,,,,,6.552B,,,
1998-12,311.00M,,311.00M,,,2.453B,,,,1.016B,,,582.00M,4.362B,,,,,,,13.11B,-5.792B,7.318B,,8.996B,8.996B,,,,1.984B,18.30B,22.66B,,3.87B,,,,3.87B,,3.87B,,,3.921B,,3.921B,123.00M,7.914B,4.028B,4.028B,2.003B,2.003B,,,2.314B,8.345B,16.26B,,,12.80B,,,,,,,6.401B,,,
1998-09,326.00M,,326.00M,,,2.476B,,,,805.00M,,,664.00M,4.271B,,,,,,,12.07B,-5.498B,6.57B,,8.744B,8.744B,,,,2.79B,18.10B,22.38B,,3.911B,,,,3.911B,,3.911B,,,,,,3.906B,7.817B,4.231B,4.231B,1.818B,1.818B,,,2.294B,8.343B,16.16B,,,12.63B,,,,,,,6.215B,,,
1998-06,375.00M,,375.00M,,,2.507B,,,,881.00M,,,795.00M,4.558B,,,,,,,11.94B,-5.387B,6.553B,,5.99B,5.99B,,,,1.792B,14.34B,18.89B,,3.183B,,,,3.183B,,3.183B,,,200.00M,,200.00M,683.00M,4.066B,4.679B,4.679B,1.749B,1.749B,,,2.324B,8.752B,12.82B,,,12.06B,,,,,,,6.075B,,,
1998-03,1.398B,,1.398B,,,2.132B,,,,805.00M,,,728.00M,5.063B,,,,,,,11.49B,-5.189B,6.304B,,5.889B,5.889B,,,,1.929B,14.12B,19.18B,,3.065B,,,,3.065B,,3.065B,,,,,,756.00M,3.821B,4.715B,4.715B,1.724B,1.724B,,,2.406B,8.845B,12.67B,,,11.76B,,,,,,,6.519B,,,
1997-12,1.928B,,1.928B,,,2.15B,,,,732.00M,,,1.441B,6.251B,,,,,,,11.29B,-5.033B,6.261B,,5.855B,5.855B,,,,1.734B,13.85B,20.10B,,3.617B,,,,3.617B,,3.617B,,,,,,640.00M,4.257B,4.946B,4.946B,1.697B,1.697B,,,2.265B,8.908B,13.16B,,,11.57B,,,,,,,6.936B,,,
1997-09,502.00M,,502.00M,,,2.331B,,,,775.00M,,,2.613B,6.221B,,,,,,,10.89B,-4.885B,6.007B,,5.799B,5.799B,,,,5.014B,16.82B,23.04B,,3.503B,,,,3.503B,,3.503B,,,5.35B,,5.35B,490.00M,9.343B,3.584B,3.584B,1.649B,1.649B,,,2.12B,7.353B,16.70B,,,10.37B,,,,,,,6.345B,,,
1997-06,732.00M,,732.00M,,,3.275B,,,,942.00M,,,1.361B,6.31B,,,,,,,17.34B,-7.554B,9.783B,,6.865B,6.865B,,,,1.946B,18.59B,24.90B,,4.783B,,,,4.783B,,4.783B,,,1.004B,,1.004B,602.00M,6.389B,7.519B,7.519B,1.782B,1.782B,,,2.594B,11.90B,18.28B,,,9.899B,,,,,,,6.62B,,,
1997-03,440.00M,,440.00M,,,2.344B,,,,1.009B,,,1.259B,5.052B,,,,,,,17.87B,-7.747B,10.12B,,6.996B,6.996B,,,,1.99B,19.11B,24.16B,,4.279B,,,,4.279B,,4.279B,,,486.00M,,486.00M,606.00M,5.371B,7.951B,7.951B,1.778B,1.778B,,,2.568B,12.30B,17.67B,,,9.434B,,,,,,,6.492B,,,
1996-12,307.00M,,307.00M,,,2.276B,,,,853.00M,,,514.00M,3.95B,,,,,,,10.91B,-4.822B,6.086B,,6.036B,6.036B,,,,6.088B,18.21B,22.16B,,3.378B,,,,3.378B,,3.378B,,,,,,413.00M,3.791B,8.174B,8.174B,1.575B,1.575B,,,1.997B,11.75B,15.54B,,,9.184B,,,,,,,6.623B,,,
1996-09,414.00M,,414.00M,,,2.826B,,,,1.105B,,,1.814B,6.159B,,,,,,,17.80B,-7.472B,10.33B,,7.445B,7.445B,,,,2.056B,19.83B,25.99B,,1.433B,,,,1.433B,,1.433B,,,577.00M,,577.00M,3.33B,5.34B,8.985B,8.985B,1.903B,1.903B,,,2.552B,13.44B,18.78B,,,9.334B,,,,,,,7.206B,,,
1996-06,350.00M,,350.00M,,,2.855B,,,,1.183B,,,1.75B,6.138B,,,,,,,17.42B,-7.251B,10.17B,,7.481B,7.481B,,,,2.348B,20.00B,26.13B,,1.412B,,,,1.412B,,1.412B,,,1.228B,,1.228B,3.042B,5.682B,8.581B,8.581B,1.905B,1.905B,,,2.513B,13.00B,18.68B,,,-830.00M,,,,,,,7.453B,,,
1996-03,427.00M,,427.00M,,,2.405B,,,,1.058B,,,1.725B,5.615B,,,,,,,16.89B,-7.037B,9.849B,,7.50B,7.50B,,,,2.449B,19.80B,25.41B,,1.384B,,,,1.384B,,1.384B,,,1.25B,,1.25B,2.932B,5.566B,8.208B,8.208B,1.891B,1.891B,,,2.385B,12.48B,18.05B,,,8.967B,,,,,,,7.363B,,,
1995-12,382.00M,,382.00M,,,2.407B,,,,1.051B,,,1.706B,5.546B,,,,,,,16.75B,-6.881B,9.87B,,7.584B,7.584B,,,,2.432B,19.89B,25.43B,,1.556B,,,,1.556B,,1.556B,,,706.00M,,706.00M,2.968B,5.23B,8.509B,8.509B,1.885B,1.885B,,,2.495B,12.89B,18.12B,,,8.73B,,,,,,,7.313B,,,
1995-09,294.60M,,294.60M,,,2.768B,,,,1.000B,,,1.484B,5.547B,,,,,,,17.07B,-6.951B,10.12B,,7.750B,7.750B,,,,2.249B,20.12B,25.66B,,1.370B,,,,1.370B,,1.370B,,,826.60M,,826.60M,3.262B,5.459B,8.691B,8.691B,1.961B,1.961B,,,2.059B,12.71B,18.17B,,,8.707B,,,,,,,7.493B,,,
1995-06,339.30M,,339.30M,,,2.649B,,,,1.058B,,,1.640B,5.686B,,,,,,,16.79B,-6.758B,10.03B,,7.798B,7.798B,,,,2.196B,20.02B,25.71B,,1.428B,,,,1.428B,,1.428B,,,1.045B,,1.045B,2.909B,5.382B,9.100B,9.100B,1.952B,1.952B,,,2.041B,13.09B,18.48B,,,8.248B,,,,,,,7.234B,,,
1995-03,289.00M,,289.00M,,,2.087B,,,,958.80M,,,1.682B,5.017B,,,,,,,16.35B,-6.495B,9.858B,,7.783B,7.783B,,,,2.078B,19.72B,24.74B,,1.202B,,,,1.202B,,1.202B,,,1.772B,,1.772B,2.883B,5.857B,8.216B,8.216B,1.955B,1.955B,,,1.932B,12.10B,17.96B,,,7.918B,,,,,,,6.775B,,,
1994-12,330.70M,,330.70M,,,2.051B,,,,970.00M,,,1.721B,5.072B,,,,,,,16.13B,-6.247B,9.883B,,7.842B,7.842B,,,,1.995B,19.72B,24.79B,,1.452B,,,,1.452B,,1.452B,,,678.50M,,678.50M,3.140B,5.270B,8.840B,8.840B,1.973B,1.973B,,,1.852B,12.67B,17.94B,,,7.739B,,,,,,,6.856B,,,
1994-09,304.90M,,304.90M,,,3.589B,,,,985.20M,,,448.50M,5.328B,,,,,,,15.61B,-6.033B,9.579B,,7.788B,7.788B,,,,2.023B,19.39B,24.72B,,1.252B,,,,1.252B,,1.252B,,,2.895B,,2.895B,3.227B,7.374B,6.840B,6.840B,2.023B,2.023B,,,1.611B,10.47B,17.85B,,,7.368B,,,,,,,6.870B,,,
