,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-09,6.83B,6.83B,3.116B,3.714B,2.218B,34.00M,,-9.00M,,,,2.252B,1.462B,,,,127.00M,,1.559B,482.00M,1.077B,,,,1.00M,1.077B,1.083B,1.742B,280.00M,1.462B,,0.63,0.00,,0.6336,0.63,,0.62,0.00,,0.6236,0.62,,1.708B,1.735B,0.16,,,
2003-06,6.538B,6.538B,2.992B,3.546B,2.209B,35.00M,,-11.00M,,,,2.244B,1.302B,,,,84.00M,,1.364B,420.00M,944.00M,,,,1.00M,944.00M,951.61M,1.582B,280.00M,1.302B,,0.55,0.00,,0.5544,0.55,,0.54,0.00,,0.5444,0.54,,1.715B,1.746B,0.16,,,
2003-03,5.53B,5.53B,2.534B,2.996B,1.819B,30.00M,,-11.00M,,,,1.849B,1.147B,,,,4.00M,,1.121B,344.00M,777.00M,,,,1.00M,777.00M,784.62M,1.403B,256.00M,1.147B,,0.45,0.00,,0.4544,0.45,,0.45,0.00,,0.4544,0.45,,1.724B,1.724B,0.15,,,
2002-12,7.382B,7.382B,3.418B,3.964B,3.062B,41.00M,,-90.00M,,,,3.103B,861.00M,,,,-61.00M,,751.00M,268.00M,483.00M,,,,1.00M,483.00M,540.88M,1.221B,360.00M,861.00M,,0.26,,,0.2919,0.26,,0.26,,,0.2919,0.26,,1.817B,1.817B,0.15,,,
2002-09,6.30B,6.30B,2.873B,3.427B,2.062B,35.00M,,-33.00M,,,,2.097B,1.33B,,,,97.00M,,1.391B,438.00M,953.00M,,,,1.00M,953.00M,975.61M,1.593B,263.00M,1.33B,,0.54,0.00,,0.5528,0.54,,0.53,0.00,,0.5426,0.53,,1.763B,1.796B,0.15,,,
2002-06,6.119B,6.119B,2.776B,3.343B,2.018B,34.00M,,-65.00M,,,,2.052B,1.291B,,,,29.00M,,1.282B,407.00M,875.00M,,,,1.00M,875.00M,919.36M,1.55B,259.00M,1.291B,,0.49,0.00,,0.5149,0.49,,0.48,0.00,,0.5044,0.48,,1.784B,1.821B,0.15,,,
2002-03,5.311B,5.311B,2.43B,2.881B,1.816B,28.00M,,-36.00M,,,,1.844B,1.037B,,,,-9.00M,,1.009B,320.00M,689.00M,,,,1.00M,689.00M,713.58M,1.267B,230.00M,1.037B,,0.39,0.00,,0.4039,0.39,,0.38,0.00,,0.3936,0.38,,1.764B,1.811B,0.145,,,
2001-12,6.966B,6.966B,3.211B,3.755B,2.927B,52.00M,,-131.00M,,,,2.979B,776.00M,,,,-124.00M,,608.00M,203.00M,405.00M,,,,1.00M,405.00M,492.26M,1.121B,345.00M,776.00M,,0.22,,,0.2682,0.22,,0.22,,,0.2682,0.22,,1.811B,1.811B,0.145,,,
2001-09,5.981B,5.981B,2.727B,3.254B,1.992B,39.00M,,-248.00M,,,,2.031B,1.223B,,,,-163.00M,,1.025B,398.00M,627.00M,,,,,627.00M,778.70M,1.535B,312.00M,1.223B,,0.35,0.00,,0.4347,0.35,,0.34,0.00,,0.4223,0.34,,1.791B,1.844B,0.145,,,
2001-06,5.281B,5.281B,2.031B,3.25B,2.305B,36.00M,,63.00M,,,,2.341B,909.00M,,,,63.00M,,945.00M,293.00M,652.00M,,,,,652.00M,608.53M,1.126B,217.00M,909.00M,,0.45,0.00,,0.42,0.45,,0.44,0.00,,0.4107,0.44,,1.449B,1.482B,0.145,,,
2001-03,4.70B,4.70B,2.144B,2.556B,1.651B,36.00M,,1.00M,,,,1.687B,869.00M,,,,1.00M,,838.00M,268.00M,570.00M,,,,1.00M,570.00M,569.32M,1.077B,208.00M,869.00M,,0.33,0.00,,0.3296,0.33,,0.32,0.00,,0.3196,0.32,,1.724B,1.778B,0.14,,,
2000-12,7.867B,7.867B,3.183B,4.684B,3.544B,45.00M,,-141.00M,,,,3.589B,1.095B,,,,-11.00M,,1.037B,339.00M,698.00M,,,,,698.00M,792.91M,1.477B,382.00M,1.095B,,0.40,0.00,,0.4552,0.40,,0.39,0.00,,0.4430,0.39,,1.721B,1.790B,0.14,,,
2000-09,6.421B,6.421B,2.539B,3.882B,2.75B,34.00M,,70.00M,,,,2.784B,1.098B,,,,70.00M,,1.122B,367.00M,755.00M,,,,,755.00M,707.90M,1.391B,293.00M,1.098B,,0.43,0.00,,0.4032,0.43,,0.42,0.00,,0.3938,0.42,,1.756B,1.798B,0.14,,,
2000-06,4.928B,4.928B,1.707B,3.221B,2.196B,,,54.00M,,,,2.412B,809.00M,,,,54.00M,,828.00M,265.00M,563.00M,,,,,563.00M,526.28M,1.025B,216.00M,809.00M,,0.39,0.00,,0.3646,0.39,,0.38,0.00,,0.3550,0.38,,1.443B,1.468B,0.14,,,
2000-03,4.191B,4.191B,1.507B,2.684B,1.827B,,,5.00M,,,,2.029B,655.00M,,,,5.00M,,620.00M,198.00M,422.00M,,,,,422.00M,418.60M,857.00M,202.00M,655.00M,,0.29,0.00,,0.2877,0.29,,0.29,0.00,,0.2877,0.29,,1.45B,1.472B,0.135,,,
1999-12,10.41B,10.41B,4.967B,5.439B,4.535B,,,-1.091B,,,,4.002B,1.437B,,,,-8.00M,,1.342B,397.00M,945.00M,,,,,945.00M,1.713B,1.867B,430.00M,1.437B,,0.34,0.00,,0.8702,0.34,,0.33,0.00,,0.8477,0.33,,1.449B,1.484B,0.135,,,
1999-09,4.591B,4.591B,1.634B,2.957B,2.025B,,,58.00M,,,,2.219B,738.00M,,,,58.00M,,750.00M,266.00M,484.00M,,,,,484.00M,446.57M,932.00M,194.00M,738.00M,,0.33,0.00,,0.3045,0.33,,0.32,0.00,,0.2953,0.32,,1.467B,1.512B,0.135,,,
1999-06,4.982B,4.982B,1.822B,3.16B,2.208B,,,1.075B,,,,2.439B,721.00M,,,,1.075B,,1.692B,949.00M,743.00M,,,,,743.00M,98.00M,952.00M,231.00M,721.00M,,0.50,0.00,,0.0659,0.50,,0.49,0.00,,0.0646,0.49,,1.486B,1.516B,0.135,,,
1999-03,5.114B,5.114B,1.903B,3.211B,2.25B,,,-45.00M,,,,2.551B,660.00M,,,,-45.00M,,491.00M,158.00M,333.00M,,,,,333.00M,363.52M,961.00M,301.00M,660.00M,,0.23,0.00,,0.2511,0.23,,0.22,0.00,,0.2402,0.22,,1.448B,1.514B,0.13,,,
1998-12,7.193B,7.193B,2.793B,4.40B,3.343B,,,-273.00M,,,,3.785B,615.00M,,,,-273.00M,,188.00M,-173.00M,361.00M,,,,,361.00M,524.80M,1.057B,442.00M,615.00M,,0.25,0.00,,0.3615,0.25,,0.24,0.00,,0.3492,0.24,,1.469B,1.500B,0.13,,,
1998-09,5.544B,5.544B,2.06B,3.484B,2.326B,,,12.00M,,,,2.595B,889.00M,,,,12.00M,,812.00M,51.00M,761.00M,,,,,761.00M,749.75M,1.158B,269.00M,889.00M,,0.52,0.00,,0.5123,0.52,,0.50,0.00,,0.4926,0.50,,1.463B,1.522B,0.13,,,
1998-06,5.258B,5.258B,1.917B,3.341B,2.286B,,,15.00M,,,,2.563B,778.00M,,,,15.00M,,717.00M,223.00M,494.00M,,,,,494.00M,483.67M,1.055B,277.00M,778.00M,,0.33,0.00,,0.3231,0.33,,0.33,0.00,,0.3231,0.33,,1.497B,1.497B,0.13,,,
1998-03,4.353B,4.353B,1.548B,2.805B,1.969B,,,32.00M,,,,2.215B,590.00M,,,,32.00M,,546.00M,169.00M,377.00M,,,,,377.00M,354.90M,836.00M,246.00M,590.00M,,0.25,0.00,,0.2353,0.25,,0.24,0.00,,0.2259,0.24,,1.508B,1.571B,0.125,,,
1997-12,6.256B,6.256B,2.256B,4.00B,2.634B,,,-219.00M,,,,2.994B,1.006B,,,,-219.00M,,667.00M,221.00M,446.00M,-45.00M,,,,401.00M,592.44M,1.366B,360.00M,1.006B,,0.30,-0.03,,0.3983,0.27,,0.29,-0.04,,0.383,0.25,,1.490B,1.575B,0.125,,,
1997-09,5.362B,5.362B,2.226B,3.136B,2.209B,,,31.00M,,,,2.207B,929.00M,,,,31.00M,,837.00M,286.00M,551.00M,107.00M,,,,658.00M,530.59M,927.00M,-2.00M,929.00M,,0.36,0.07,,0.3467,0.43,,0.35,0.07,,0.3370,0.42,,1.530B,1.567B,0.125,,,
1997-06,7.707B,7.707B,3.322B,4.385B,2.94B,,,149.00M,,,,3.326B,1.059B,,,,149.00M,,1.079B,423.00M,656.00M,,,,,656.00M,565.41M,1.576B,517.00M,1.059B,,0.11,0.31,,0.0520,0.42,,0.11,0.31,,0.0520,0.42,,1.562B,1.562B,0.125,,,
1997-03,4.213B,4.213B,1.534B,2.679B,1.867B,,,12.00M,,,,2.098B,581.00M,,,,12.00M,,478.00M,160.00M,318.00M,109.00M,,,,427.00M,310.02M,812.00M,231.00M,581.00M,,0.21,0.07,,0.2048,0.28,,0.20,0.07,,0.1950,0.27,,1.525B,1.581B,0.115,,,
1996-12,-1.775B,-1.775B,-2.165B,390.00M,130.00M,,,-558.00M,,,,26.00M,364.00M,,,,-558.00M,,-334.00M,-155.00M,-179.00M,,,,,28.00M,155.80M,260.00M,-104.00M,364.00M,,0.13,-0.11,,0.3504,0.02,,0.13,-0.11,,0.3460,0.02,,1.519B,1.550B,0.115,,,
1996-09,7.867B,7.867B,3.478B,4.389B,3.419B,,,25.00M,,,,3.829B,560.00M,,,,25.00M,,442.00M,298.00M,144.00M,,,,,144.00M,129.00M,970.00M,410.00M,560.00M,,0.01,0.08,,0.0006,0.09,,0.01,0.08,,0.0006,0.09,,1.60B,1.60B,0.115,,,
1996-06,7.691B,7.691B,3.373B,4.318B,2.939B,,,25.00M,,,,3.332B,986.00M,,,,25.00M,,870.00M,287.00M,583.00M,,,,,583.00M,566.25M,1.379B,393.00M,986.00M,,0.27,0.10,,0.2594,0.37,,0.27,0.09,,0.2597,0.36,,1.576B,1.619B,0.115,,,
1996-03,6.554B,6.554B,2.899B,3.655B,2.575B,,,23.00M,,,,2.949B,706.00M,,,,23.00M,,588.00M,194.00M,394.00M,,,,,394.00M,378.59M,1.08B,374.00M,706.00M,,0.19,0.06,,0.1802,0.25,,0.18,0.06,,0.1706,0.24,,1.576B,1.642B,0.10,,,
1995-12,-2.103B,-2.103B,-2.108B,5.60M,30.70M,,,-37.30M,,,,-137.40M,143.00M,,,,-37.30M,,-41.80M,-38.70M,-3.10M,,,,,180.90M,19.28M,-25.10M,-168.10M,143.00M,,0.11,0.00,,0.1237,0.11,,0.11,0.00,,0.1237,0.11,,1.628B,1.628B,0.10,,,
1995-09,7.693B,7.693B,3.465B,4.228B,2.840B,,,29.00M,,,,3.197B,1.031B,,,,29.00M,,900.70M,283.90M,616.80M,,,,,616.80M,596.94M,1.443B,412.10M,1.031B,,0.39,0.00,,0.3774,0.39,,0.39,0.00,,0.3774,0.39,,1.582B,1.582B,0.10,,,
1995-06,7.286B,7.286B,3.223B,4.062B,2.792B,,,29.10M,,,,3.193B,869.30M,,,,29.10M,,735.80M,248.60M,487.20M,,,,,487.20M,467.93M,1.270B,346.50M,869.30M,,0.31,0.00,,0.2977,0.31,,0.31,0.00,,0.2977,0.31,,1.572B,1.572B,0.10,,,
1995-03,6.191B,6.191B,2.636B,3.555B,2.470B,,,27.20M,,,,2.926B,629.10M,,,,27.20M,,496.30M,175.20M,321.10M,,,,,321.10M,303.50M,1.085B,455.50M,629.10M,,0.20,0.00,,0.1890,0.20,,0.20,0.00,,0.1890,0.20,,1.606B,1.606B,0.09,,,
1994-12,9.122B,9.122B,4.001B,5.121B,3.707B,,,30.60M,,,,4.217B,904.00M,,,,30.60M,,723.50M,210.20M,513.30M,,0.00,,,513.30M,491.59M,1.414B,510.00M,904.00M,,0.32,0.00,0.00,0.3065,0.32,,0.32,0.00,-0.0000,0.3065,0.32,,1.603B,1.609B,0.09,,,
1994-09,7.064B,7.064B,3.084B,3.980B,2.648B,,,19.80M,,,,3.018B,961.70M,,,,19.80M,,830.30M,288.90M,541.40M,,,,,541.40M,528.49M,1.332B,368.00M,961.70M,,0.34,0.00,,0.3319,0.34,,0.34,0.00,,0.3319,0.34,,1.592B,1.592B,0.09,,,
1994-06,6.557B,6.557B,2.861B,3.696B,2.561B,,,37.30M,,,,2.911B,785.00M,,,,37.30M,,672.20M,225.70M,446.50M,,,,,446.50M,421.72M,1.136B,351.40M,785.00M,,0.28,0.00,,0.2645,0.28,,0.28,0.00,,0.2645,0.28,,1.595B,1.595B,0.09,,,
1994-03,5.729B,5.729B,2.505B,3.224B,2.327B,,,20.50M,,,,2.674B,550.50M,,,,20.50M,,438.40M,155.60M,282.80M,,-32.00M,,,250.80M,269.58M,897.60M,347.10M,550.50M,,0.18,-0.02,0.00,0.1718,0.16,,0.18,-0.02,-0.0198,0.1718,0.16,,1.62B,1.621B,0.08,,,
1993-12,7.722B,7.722B,3.311B,4.412B,3.105B,,,29.40M,,,,3.613B,798.50M,,,,29.40M,,658.70M,216.20M,442.50M,,,,,442.50M,422.75M,1.306B,508.00M,798.50M,,0.00,0.00,,-0.0122,0.00,,0.00,0.00,,-0.0122,0.00,,1.613B,1.613B,0.08,,,
1993-09,6.316B,6.316B,2.751B,3.565B,2.402B,,,18.20M,,,,2.714B,851.60M,,,,18.20M,,736.50M,278.30M,458.20M,,,,,458.20M,446.88M,1.178B,325.90M,851.60M,,0.28,0.00,,0.2731,0.28,,0.28,0.00,,0.2731,0.28,,1.636B,1.636B,0.08,,,
1993-06,5.890B,5.890B,2.548B,3.342B,2.287B,,,19.30M,,,,2.592B,750.40M,,,,19.30M,,635.70M,208.90M,426.80M,,,,,426.80M,413.84M,1.062B,311.70M,750.40M,,0.27,0.00,,0.2618,0.27,,0.27,0.00,,0.2618,0.27,,1.581B,1.581B,0.08,,,
1993-03,5.092B,5.092B,2.216B,2.876B,2.071B,,,21.80M,,,,2.370B,506.00M,,,,21.80M,,391.60M,131.20M,260.40M,,,,,260.40M,245.90M,804.60M,298.60M,506.00M,,0.16,0.00,,0.1511,0.16,,0.16,0.00,,0.1511,0.16,,1.628B,1.628B,0.065,,,
1992-12,6.542B,6.542B,2.76B,3.782B,2.832B,,,-66.90M,,,,3.234B,548.70M,,,,-66.90M,,307.60M,56.10M,251.50M,,,,,-675.90M,306.20M,950.90M,402.20M,548.70M,,0.15,-0.58,,0.1815,-0.43,,0.15,-0.58,,0.1815,-0.43,,1.736B,1.736B,0.065,,,
1992-09,5.64B,5.64B,1.872B,3.768B,2.150B,,,-33.00M,,,,2.962B,805.40M,,,,-33.00M,,637.80M,212.10M,425.70M,,,,,425.70M,447.73M,1.618B,291.30M,805.40M,,0.27,0.00,,0.2840,0.27,,0.27,0.00,,0.2840,0.27,,1.577B,1.577B,0.065,,,
1992-06,5.211B,5.211B,2.245B,2.966B,2.006B,,,27.40M,,,,2.268B,698.00M,,,,27.40M,,584.80M,201.80M,383.00M,,,,,383.00M,365.06M,959.50M,261.50M,698.00M,,0.24,0.00,,0.2288,0.24,,0.24,0.00,,0.2288,0.24,,1.596B,1.596B,0.065,,,
1992-03,4.577B,4.577B,1.936B,2.641B,1.853B,,,-22.60M,,,,2.113B,527.90M,,,,-22.60M,,368.60M,127.10M,241.50M,,,,,241.50M,256.31M,787.80M,259.90M,527.90M,,0.15,0.00,,0.1592,0.15,,0.15,0.00,,0.1592,0.15,,1.61B,1.61B,0.06,,,
1991-12,5.930B,5.930B,2.495B,3.435B,2.444B,,,-20.80M,,,,2.796B,638.50M,,,,-20.80M,,431.20M,160.10M,271.10M,,,,,271.10M,284.18M,991.00M,352.50M,638.50M,,0.17,0.00,,0.1782,0.17,,0.17,0.00,,0.1782,0.17,,1.595B,1.595B,0.06,,,
1991-09,4.881B,4.881B,2.122B,2.759B,1.949B,,,-12.10M,,,,2.176B,582.90M,,,,-12.10M,,433.40M,148.00M,285.40M,,,,,285.40M,293.37M,814.90M,232.00M,582.90M,,0.18,0.00,,0.1850,0.18,,0.18,0.00,,0.1850,0.18,,1.586B,1.586B,0.06,,,
1991-06,4.680B,4.680B,2.010B,2.670B,1.807B,,,-8.90M,,,,2.032B,637.90M,,,,-8.90M,,489.70M,171.40M,318.30M,,,,,318.30M,324.08M,869.30M,231.40M,637.90M,,0.20,0.00,,0.2036,0.20,,0.20,0.00,,0.2036,0.20,,1.592B,1.592B,0.06,,,
1991-03,4.117B,4.117B,1.745B,2.372B,1.681B,,,-3.60M,,,,1.899B,472.30M,,,,-3.60M,,316.00M,110.60M,205.40M,,,,,205.40M,207.74M,690.90M,218.60M,472.30M,,0.13,0.00,,0.1315,0.13,,0.13,0.00,,0.1315,0.13,,1.58B,1.58B,0.05,,,
1990-12,5.445B,5.445B,2.355B,3.089B,2.082B,,,-129.50M,,,,2.361B,728.00M,,,,-129.50M,,386.90M,121.00M,265.90M,0.00,,,,265.90M,354.90M,1.008B,279.60M,728.00M,,0.17,0.00,,0.2269,0.17,,0.17,0.00,,0.2269,0.17,,1.564B,1.564B,0.05,,,
1990-09,4.476B,4.476B,1.966B,2.509B,1.744B,,,161.30M,,,,1.946B,563.60M,,,,161.30M,,566.00M,215.70M,350.30M,-13.70M,,,,336.60M,250.47M,770.90M,207.30M,563.60M,,0.22,-0.01,,0.1577,0.21,,0.22,-0.01,,0.1577,0.21,,1.603B,1.603B,0.05,,,
1990-06,4.205B,4.205B,1.806B,2.399B,1.642B,,,41.20M,,,,1.840B,559.10M,,,,41.20M,,438.90M,146.40M,292.50M,,,,,292.50M,265.04M,759.00M,199.90M,559.10M,,0.18,0.00,,0.1631,0.18,,0.18,0.00,,0.1631,0.18,,1.625B,1.625B,0.0500,,,
1990-03,3.678B,3.678B,1.606B,2.072B,1.481B,,,38.20M,,,,1.678B,394.00M,,,,38.20M,,275.60M,93.70M,181.90M,,,,,181.90M,156.69M,591.20M,197.20M,394.00M,,0.12,0.00,,0.1034,0.12,,0.12,0.00,,0.1034,0.12,,1.516B,1.516B,0.0417,,,
1989-12,4.790B,4.790B,2.113B,2.677B,1.967B,,,52.60M,,,,2.230B,447.40M,,,,52.60M,,295.70M,93.60M,202.10M,,,,,202.10M,166.15M,710.20M,262.80M,447.40M,,0.13,0.00,,0.1069,0.13,,0.13,0.00,,0.1069,0.13,,1.558B,1.558B,0.0417,,,
1989-09,3.902B,3.902B,1.738B,2.163B,1.446B,,,38.40M,,,,1.633B,530.00M,,,,38.40M,,406.20M,136.90M,269.30M,,,,,269.30M,243.84M,717.10M,187.10M,530.00M,,0.17,0.00,,0.1539,0.17,,0.17,0.00,,0.1539,0.17,,1.584B,1.584B,0.0417,,,
1989-06,3.593B,3.593B,1.577B,2.016B,1.358B,,,41.50M,,,,1.519B,497.30M,,,,41.50M,,396.50M,131.60M,264.90M,,,,,264.90M,237.17M,658.40M,161.10M,497.30M,,0.17,0.00,,0.1522,0.17,,0.17,0.00,,0.1522,0.17,,1.558B,1.558B,0.0417,,,
1989-03,2.958B,2.958B,,,,,,,,,,,2.958B,,,,,,,,165.10M,,,,,165.10M,,2.958B,,2.958B,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,1.574B,1.574B,0.0350,,,
1988-12,4.184B,4.184B,,,,,,,,,,,-7.463B,,,,,,,,187.70M,,,,,187.70M,187.70M,-7.463B,,-7.463B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,1.564B,1.564B,0.0350,,,
1988-09,3.241B,3.241B,,,,,,,,,,,3.241B,,,,,,,,241.60M,,,,,241.60M,241.60M,3.241B,,3.241B,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,1.611B,1.611B,0.0350,,,
1988-06,3.012B,3.012B,,,,,,,,,,,3.012B,,,,,,,,219.60M,,,,,219.60M,,3.012B,,3.012B,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,1.564B,1.564B,0.0350,,,
1988-03,2.570B,2.570B,,,,,,,,,,,2.570B,,,,,,,,113.30M,,,,,113.30M,,2.570B,,2.570B,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,1.567B,1.567B,0.0283,,,
1987-12,3.466B,3.466B,,,,,,,,,,,-6.876B,,,,,,,,144.50M,2.50M,,,,147.00M,,-6.876B,,-6.876B,,,0.0016,,,0.0016,,,0.0016,,,0.0016,,1.564B,1.564B,0.0283,,,
1987-09,2.939B,2.939B,,,,,,,,,,,2.939B,,,,,,,,189.90M,,,,,189.90M,,2.939B,,2.939B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,1.566B,1.566B,0.0283,,,
1987-06,2.788B,2.788B,,,,,,,,,,,2.788B,,,,,,,,189.00M,-12.80M,,,,176.20M,,2.788B,,2.788B,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,1.563B,1.563B,0.0283,,,
1987-03,2.292B,2.292B,,,,,,,,,,,2.292B,,,,,,,,81.70M,-12.80M,,,,68.90M,,2.292B,,2.292B,,0.05,-0.01,,0.05,0.04,,0.05,-0.01,,0.05,0.04,,1.562B,1.562B,0.0267,,,
1986-12,3.12B,3.12B,,,,,,,,,,,-5.350B,,,,,,,,116.60M,,,,,116.60M,,-5.350B,,-5.350B,,,,,,,,,,,,,,1.563B,1.563B,0.0267,,,
1986-09,2.399B,2.399B,,,,,,,,,,,2.399B,,,,,,,,151.70M,,,,,151.70M,,2.399B,,2.399B,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,1.550B,1.550B,0.0267,,,
1986-06,2.051B,2.051B,,,,,,,,,,,2.051B,,,,,,,,120.70M,,,,,120.70M,,2.051B,,2.051B,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,1.580B,1.580B,0.0267,,,
1986-03,1.720B,1.720B,,,,,,,,,,,1.720B,,,,,,,,68.70M,,,,,68.70M,,1.720B,,1.720B,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,1.629B,1.629B,0.0247,,,
1985-12,2.420B,2.420B,,,,,,,,,,,-4.899B,,,,,,,,105.00M,-15.70M,,,,89.30M,,-4.899B,,-4.899B,,,-0.0099,,,-0.0099,,,-0.0099,,,-0.0099,,1.582B,1.582B,0.0247,,,
1985-09,2.072B,2.072B,,,,,,,,,,,2.072B,,,,,,,,135.30M,,,,,135.30M,,2.072B,,2.072B,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,1.648B,1.648B,,,,
1985-06,1.938B,1.938B,,,,,,,,,,,1.938B,,,,,,,,119.30M,137.00M,,,,256.30M,,1.938B,,1.938B,,0.07,0.08,,0.07,0.15,,0.07,0.08,,0.07,0.15,,1.696B,1.696B,,,,
1985-03,1.684B,1.684B,,,,,,,,,,,1.684B,,,,,,,,58.70M,4.10M,,,,62.80M,,1.684B,,1.684B,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,1.732B,1.732B,,,,
1984-12,2.273B,2.273B,,,,,,,,,,,-4.731B,,,,,,,,80.10M,9.50M,,,,89.60M,,-4.731B,,-4.731B,,,0.0056,,,0.0056,,,0.0056,,,0.0056,,1.694B,1.694B,,,,
1984-09,1.934B,1.934B,,,,,,,,,,,1.934B,,,,,,,,108.50M,9.80M,,,,118.30M,,1.934B,,1.934B,,0.07,0.01,,0.07,0.08,,0.07,0.01,,0.07,0.08,,1.691B,1.691B,,,,
1984-06,1.886B,1.886B,,,,,,,,,,,1.886B,,,,,,,,92.80M,0.70M,,,,93.50M,,1.886B,,1.886B,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,1.691B,1.691B,,,,
1984-03,1.605B,1.605B,,,,,,,,,,,1.605B,,,,,,,,46.30M,0.90M,,,,47.20M,,1.605B,,1.605B,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,1.691B,1.691B,,,,
