,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-10,455.01M,,,,101.68M,87.85M,0.275M,88.12M,88.12M,-135.12M,,,,,-142.75M,11.68M,114.24M,-7.351M,21.57M,,-2.616M,507.07M,-40.30M,,-40.30M,0.00,264.79M,,224.49M,,,-102.02M,105.35M,-500.00M,-394.65M,,,,-496.67M,2.047B,234.89M,-0.484M,2.282B,105.35M,,,-500.00M,,
2004-07,440.57M,,,,6.453M,87.85M,0.39M,88.24M,88.24M,135.95M,,,,,-122.33M,-41.14M,223.25M,-73.94M,25.58M,,11.42M,682.64M,-37.39M,,-37.39M,-7.40M,-83.03M,,-127.82M,,,-0.602M,34.70M,0.00,34.70M,,,,34.09M,1.448B,588.91M,10.45M,2.047B,34.70M,,,0.00,,
2004-04,373.35M,,,,92.80M,91.08M,0.39M,91.47M,91.47M,-3.175M,,,,,-323.78M,-111.24M,97.34M,-59.90M,63.40M,,-334.18M,220.27M,-36.73M,,-36.73M,,-237.15M,,-273.88M,,,-2.185M,129.93M,-75.00M,54.93M,,,,52.74M,1.470B,-0.873M,-21.52M,1.448B,129.93M,,,-75.00M,,
2004-01,82.38M,,,,,88.76M,0.392M,89.15M,89.15M,81.28M,,,,,-167.33M,-47.23M,151.41M,5.654M,21.98M,,-35.51M,217.29M,-76.15M,,-76.15M,,-99.40M,,-175.55M,,,-0.607M,126.64M,-75.00M,51.64M,,,,51.03M,1.365B,92.78M,12.84M,1.470B,126.64M,,,-75.00M,,
2003-10,15.45M,,,,210.06M,86.80M,1.36M,88.16M,88.16M,-159.39M,,,,,-170.41M,47.17M,69.05M,1.303M,217.18M,,164.30M,318.57M,-71.97M,,-71.97M,0.00,-190.47M,-39.27M,-301.71M,,,-0.294M,137.96M,-75.00M,62.96M,,,,62.67M,1.285B,79.53M,0.283M,1.365B,137.96M,,,-75.00M,,
2003-07,-36.80M,,,,25.52M,294.86M,1.376M,94.48M,94.48M,-51.42M,,,,,0.169M,117.64M,-1.787M,-17.18M,5.015M,,103.86M,135.64M,-92.19M,,-92.19M,-13.50M,-184.62M,39.27M,-251.03M,,,-17.97M,165.74M,-174.94M,-9.194M,,,,-27.16M,1.428B,-142.55M,-0.024M,1.285B,165.74M,,,-174.94M,,
2003-04,-62.13M,,,,30.84M,,,97.95M,97.95M,-18.08M,,,,,150.86M,103.88M,28.32M,16.78M,-35.01M,,264.82M,313.41M,-24.24M,,-24.24M,,-97.94M,,-122.18M,,,-43.67M,-9.314M,,-9.314M,,,,-52.99M,1.293B,138.25M,-3.573M,1.428B,-9.314M,,,,,
2003-01,-65.67M,,,,,,,103.80M,103.80M,20.32M,,,,,163.75M,62.48M,-155.51M,13.34M,-55.07M,,29.00M,87.45M,-76.88M,,-76.88M,,-32.79M,,-109.67M,,,-2.471M,28.33M,,28.33M,,,,25.86M,1.285B,3.637M,4.52M,1.293B,28.33M,,,,,
2002-10,147.24M,,,,162.24M,,,99.13M,99.13M,-2.174M,,,,-27.60M,28.52M,-26.14M,-81.56M,-3.522M,-48.42M,,-131.11M,247.71M,-118.34M,,-118.34M,0.00,31.17M,,-87.17M,,,-2.445M,89.86M,,-35.13M,,,,-37.58M,1.165B,122.97M,-2.79M,1.285B,89.86M,,,,,
2002-07,115.23M,,,,-27.60M,,,99.70M,99.70M,-5.60M,,,,27.60M,-100.89M,-49.71M,128.54M,-23.50M,18.54M,,-27.03M,182.29M,-158.71M,,-158.71M,0.00,91.06M,,-67.65M,,,-5.279M,6.531M,,6.531M,,,,1.252M,1.042B,115.89M,6.265M,1.165B,6.531M,,,,,
2002-04,52.03M,,,,27.60M,,,96.84M,96.84M,3.272M,,,,-27.60M,-187.09M,73.94M,-16.99M,-0.212M,-1.387M,,-131.74M,20.40M,-112.83M,,-112.83M,-25.50M,34.98M,,-103.35M,,,-0.003M,23.76M,,23.76M,,,,23.76M,1.101B,-59.19M,0.206M,1.042B,23.76M,,,,,
2002-01,-45.50M,,,,8.00M,,,91.86M,91.86M,4.341M,,,,27.60M,-18.92M,148.93M,-168.54M,-27.02M,80.36M,,14.80M,101.11M,-86.59M,,-86.59M,-81.96M,-325.24M,,-493.79M,,,64.08M,79.33M,,79.33M,,,,143.40M,1.356B,-249.28M,-5.592M,1.101B,79.33M,,,,,
2001-10,-305.53M,,,,439.78M,,,104.24M,104.24M,88.61M,,,,,-96.64M,314.45M,-48.53M,45.14M,-89.54M,,124.88M,451.98M,-172.95M,,-172.95M,,-116.22M,,-310.19M,,,-103.81M,202.38M,-256.64M,-54.26M,,,,-158.07M,1.365B,-16.29M,7.554M,1.356B,202.38M,,,-256.64M,,
2001-07,338.16M,,,,-267.40M,,,97.72M,97.72M,15.42M,,,,,159.13M,254.80M,-277.64M,19.31M,-45.48M,,110.12M,294.02M,-184.34M,,-184.34M,,-752.81M,,-937.15M,,,-21.49M,8.052M,47.39M,55.44M,,,,33.95M,1.977B,-609.18M,-3.091M,1.365B,8.052M,,,47.39M,,
2001-04,-82.90M,,,,285.82M,,,93.17M,93.17M,-16.64M,,,,,964.73M,-15.22M,-202.30M,5.569M,-193.60M,,559.19M,838.63M,-189.53M,,-189.53M,,-278.04M,,-467.57M,,,-26.10M,-8.052M,11.24M,3.186M,,,,-22.91M,1.649B,348.15M,-19.80M,1.977B,-8.052M,,,11.24M,,
2001-01,558.11M,,,,,,,91.83M,91.83M,0.847M,,,,,-181.73M,-232.87M,-158.66M,-99.86M,18.01M,,-655.11M,-4.326M,-163.80M,,-163.80M,,295.40M,,131.60M,,,59.80M,,-173.39M,-173.39M,,,,-113.59M,1.648B,13.69M,-12.32M,1.649B,,,,-173.39M,,
2000-10,663.80M,,,,387.48M,,,92.37M,92.37M,-246.74M,,,,,-180.31M,-373.02M,360.46M,-0.344M,-10.46M,,-203.67M,693.22M,-157.72M,,-157.72M,,-175.94M,,-333.66M,,,21.79M,105.29M,,-71.87M,,,,-50.08M,1.343B,309.48M,-4.711M,1.648B,105.29M,,,,,
2000-07,603.78M,,,,0.00,,,85.56M,85.56M,-0.392M,,,,,-521.36M,-157.73M,276.16M,-29.65M,148.99M,,-283.59M,405.35M,-112.14M,,-112.14M,,-217.38M,,-329.52M,,,39.54M,41.86M,,41.86M,,,,81.40M,1.187B,157.24M,-1.213M,1.343B,41.86M,,,,,
2000-04,468.87M,,,,0.00,,,96.51M,96.51M,3.19M,,,,,-269.96M,-202.04M,250.92M,-12.15M,41.12M,,-192.10M,376.46M,-83.52M,,-83.52M,,30.97M,,-52.55M,,,-3.778M,27.37M,,27.37M,,,,23.59M,841.58M,347.50M,-2.268M,1.187B,27.37M,,,,,
2000-01,327.10M,,,,-0.708M,,,87.54M,87.54M,6.685M,,,,,-114.64M,-55.80M,-51.88M,3.922M,-25.46M,,-243.84M,176.77M,-29.87M,,-29.87M,,-266.83M,,-296.70M,,,-7.614M,101.84M,,101.84M,,,,94.23M,868.12M,-25.70M,-0.846M,841.58M,101.84M,,,,,
1999-10,274.98M,,,,,,,79.81M,79.81M,8.098M,,,,,-17.16M,-30.61M,98.57M,11.86M,-48.10M,,14.56M,561.14M,-73.86M,,-73.86M,,-234.01M,0.10M,-344.24M,,,-11.23M,77.47M,,15.55M,,,,4.322M,578.00M,221.23M,5.389M,868.12M,77.47M,,,,,
1999-07,233.25M,,,,,,,60.13M,60.13M,1.383M,,,,,-200.46M,11.09M,117.98M,-30.92M,79.64M,,-22.66M,272.10M,-45.62M,,-45.62M,,-193.85M,-0.10M,-239.57M,,,-8.651M,57.24M,,57.24M,,,,48.59M,561.57M,81.12M,-1.192M,578.00M,57.24M,,,,,
1999-04,152.85M,,,,,,,77.67M,77.67M,1.017M,,,,-0.10M,-249.74M,-40.49M,138.52M,-29.18M,44.66M,,-136.24M,95.20M,-60.88M,,-60.88M,,-124.75M,-0.10M,-185.73M,,,8.251M,19.06M,,19.06M,,,,27.31M,562.40M,-63.22M,-1.208M,561.57M,19.06M,,,,,
1999-01,52.80M,,,,,,,70.80M,70.80M,0.10M,,,,0.10M,104.50M,3.70M,-171.90M,1.30M,90.80M,,28.40M,152.20M,-39.30M,,-39.30M,,-173.60M,0.10M,-212.80M,,,-4.90M,52.10M,,52.10M,,,,47.20M,575.20M,-13.40M,0.60M,562.40M,52.10M,,,,,
1998-10,-139.93M,,,,156.47M,,,82.40M,82.40M,-41.94M,,,,-0.10M,59.12M,71.26M,27.63M,81.94M,-41.35M,,198.62M,255.51M,-88.97M,,-88.97M,,24.93M,0.073M,-63.96M,,,-1.933M,,-77.32M,-2.781M,,,0.10M,-4.614M,387.00M,186.93M,8.957M,638.80M,,,,-77.32M,,
1998-07,47.50M,,,,0.00,,,74.50M,74.50M,-1.50M,,,,0.10M,384.60M,76.10M,-88.50M,-10.60M,-10.80M,,350.80M,471.40M,-81.80M,,-81.80M,,-308.90M,-0.10M,-390.80M,,,-34.60M,,33.40M,33.40M,,,-0.10M,-1.30M,309.40M,79.30M,-1.70M,387.00M,,,,33.40M,,
