,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2003-06,776.17M,776.17M,555.64M,220.53M,164.50M,0.242M,,,,,164.50M,56.03M,,,,0.58M,,53.06M,20.21M,32.86M,,,-0.874M,32.86M,32.71M,64.60M,8.571M,56.03M,,0.19,0.00,,0.1891,0.19,,0.185,0.00,,0.1842,0.185,,174.00M,178.20M,,,
2003-03,738.00M,738.00M,536.58M,201.42M,159.21M,0.685M,,,,,159.21M,42.20M,,,,0.845M,,39.97M,15.21M,24.77M,,,-0.737M,24.77M,24.34M,50.75M,8.544M,42.20M,,0.07,0.00,,0.0688,0.07,,0.0688,0.00,,0.0676,0.0688,,352.06M,360.55M,,,
2002-12,747.40M,747.40M,539.76M,207.65M,157.12M,-0.077M,,,,,157.12M,50.53M,,,,0.155M,,50.88M,17.98M,30.96M,,,-0.753M,30.96M,31.01M,58.72M,8.186M,50.53M,,0.1760,,,0.1763,0.1760,,0.1760,,,0.1763,0.1760,,175.92M,175.92M,,,
2002-09,759.07M,759.07M,542.60M,216.47M,152.19M,0.877M,,,,,152.19M,64.28M,,,,0.999M,,62.70M,23.47M,39.23M,,,-0.337M,39.23M,38.68M,71.36M,7.077M,64.28M,,0.225,0.00,,0.2219,0.225,,0.2175,0.00,,0.2145,0.2175,,175.23M,180.00M,,,
2002-06,671.43M,671.43M,479.04M,192.40M,145.41M,0.706M,,,,,145.41M,46.99M,,,,0.891M,,45.06M,17.00M,28.07M,,,-0.932M,28.07M,27.63M,54.20M,7.211M,46.99M,,0.1625,0.00,,0.1600,0.1625,,0.1575,0.00,,0.1550,0.1575,,173.56M,178.99M,,,
2002-03,647.09M,647.09M,468.70M,178.39M,143.19M,-0.566M,,,,,143.19M,35.20M,,,,-0.446M,,31.79M,12.06M,19.73M,,,-0.569M,19.73M,20.08M,41.00M,5.798M,35.20M,,0.0575,0.00,,0.0585,0.0575,,0.0562,0.00,,0.0572,0.0562,,342.33M,352.55M,,,
2001-12,698.29M,698.29M,504.07M,194.22M,151.20M,-0.537M,,,,,151.20M,43.02M,,,,-0.462M,,43.97M,15.78M,27.14M,,,0.185M,27.14M,27.48M,52.41M,9.393M,43.02M,,0.1589,,,0.1610,0.1589,,0.1589,,,0.1610,0.1589,,170.73M,170.73M,,,
2001-09,659.77M,659.77M,480.92M,178.86M,136.98M,0.087M,,,,,136.98M,41.88M,,,,0.161M,,40.14M,14.94M,25.20M,,,-0.322M,25.20M,25.14M,51.07M,9.193M,41.88M,,0.1475,0.00,,0.1472,0.1475,,0.145,0.00,,0.1447,0.145,,169.95M,174.07M,,,
2001-06,606.28M,606.28M,439.39M,166.89M,131.62M,0.651M,,,,,131.62M,35.27M,,,,0.807M,,33.57M,12.66M,20.91M,,,-0.794M,20.91M,20.50M,42.86M,7.59M,35.27M,,0.1225,0.00,,0.1201,0.1225,,0.12,0.00,,0.1177,0.12,,169.45M,174.17M,,,
2001-03,593.90M,593.90M,434.54M,159.36M,131.77M,-0.354M,,,,26.34M,158.12M,1.241M,,,,-0.245M,,22.68M,8.548M,14.13M,,,-0.531M,14.13M,14.35M,10.71M,9.466M,1.241M,,0.085,0.00,,0.0863,0.085,,0.0825,0.00,,0.0838,0.0825,,167.90M,172.58M,,,
2000-12,656.70M,656.70M,536.08M,120.62M,72.62M,-12.22M,,,,,82.38M,38.24M,,,,-12.22M,,22.71M,9.975M,12.73M,,,-0.382M,12.73M,20.06M,48.00M,9.76M,38.24M,,0.0775,0.00,,0.1214,0.0775,,0.0725,0.00,,0.1148,0.0725,,167.16M,173.30M,,,
2000-09,603.04M,603.04M,409.88M,193.16M,150.78M,-5.613M,,,,,158.83M,34.33M,,,,-5.613M,,25.86M,9.623M,16.24M,,,-0.338M,16.24M,19.76M,42.38M,8.052M,34.33M,,0.0975,0.00,,0.1189,0.0975,,0.0975,0.00,,0.1185,0.0975,,165.00M,167.44M,,,
2000-06,568.63M,568.63M,409.82M,158.82M,127.25M,-1.08M,,,,0.585M,127.83M,30.98M,,,,-0.94M,,26.16M,9.774M,16.38M,,,-0.549M,16.38M,17.06M,39.01M,8.024M,30.98M,,0.05,0.00,,0.0521,0.05,,0.0488,0.00,,0.0508,0.0488,,329.63M,333.62M,,,
2000-03,554.14M,554.14M,397.10M,157.04M,125.64M,-0.151M,,,,14.46M,148.02M,9.022M,,,,-0.057M,,18.18M,6.778M,11.40M,,,-0.488M,11.40M,11.49M,16.95M,7.926M,9.022M,,0.035,0.00,,0.0353,0.035,,0.035,0.00,,0.0353,0.035,,325.72M,328.67M,,,
1999-12,610.10M,610.10M,507.18M,102.92M,66.16M,-1.125M,,,,,71.94M,30.99M,,,,-1.125M,,24.90M,9.389M,15.51M,,,-0.39M,15.51M,16.21M,36.76M,5.773M,30.99M,,0.0953,,,0.0996,0.0953,,0.0953,,,0.0996,0.0953,,162.82M,162.82M,,,
1999-09,578.80M,578.80M,397.00M,181.80M,141.50M,-6.40M,,,,,149.30M,32.50M,,,,-6.40M,,21.60M,10.10M,11.50M,,,-0.40M,11.50M,15.34M,40.30M,7.80M,32.50M,,0.035,0.00,,0.0586,0.035,,0.035,0.00,,0.0586,0.035,,162.80M,162.80M,,,
1999-06,559.31M,559.31M,377.50M,181.81M,142.00M,-4.10M,,,,,149.80M,32.01M,,,,-4.10M,,22.30M,9.00M,13.30M,,,-0.30M,13.30M,15.76M,39.81M,7.70M,32.01M,,0.0412,0.00,,0.0564,0.0412,,0.04,0.00,,0.0552,0.04,,162.06M,162.06M,,,
1999-03,536.30M,536.30M,365.90M,170.40M,139.80M,-0.30M,,,,,146.80M,23.60M,,,,-0.30M,,17.00M,7.10M,9.90M,,,-0.60M,9.90M,10.08M,30.60M,7.00M,23.60M,,0.0312,0.00,,0.0324,0.0312,,0.03,0.00,,0.0311,0.03,,161.75M,161.75M,,,
1998-12,503.85M,503.85M,414.04M,89.82M,50.34M,-28.81M,,,,,56.32M,33.50M,,,,-28.81M,,7.952M,7.825M,0.127M,,,-0.245M,0.127M,17.41M,39.48M,5.984M,33.50M,,0.0008,,,0.1083,0.0008,,0.0008,,,0.1083,0.0008,,160.75M,160.75M,,,
1998-09,492.60M,492.60M,332.30M,160.30M,128.60M,-17.50M,,,,,135.20M,25.10M,,,,-17.50M,,4.90M,2.60M,2.30M,,,-0.10M,2.30M,12.80M,31.70M,5.50M,25.10M,,0.0075,0.00,,0.0736,0.0075,,0.0075,0.00,,0.0736,0.0075,,158.78M,158.78M,,,
1998-06,476.00M,476.00M,321.90M,154.10M,126.70M,-6.40M,,,,,131.10M,23.00M,,,,-6.40M,,13.40M,5.60M,7.80M,,,0.10M,7.80M,11.64M,27.40M,4.40M,23.00M,,0.025,0.00,,0.0516,0.025,,0.0238,0.00,,0.0504,0.0238,,144.33M,144.33M,,,
1998-03,450.30M,450.30M,309.50M,140.80M,121.90M,-1.70M,,,,,126.00M,14.80M,,,,-1.70M,,10.40M,4.30M,6.10M,,,,6.10M,7.12M,18.90M,4.10M,14.80M,,0.02,0.00,,0.0272,0.02,,0.0188,0.00,,0.0260,0.0188,,141.40M,141.40M,,,
1997-12,458.10M,458.10M,312.40M,145.70M,119.40M,-24.50M,,,,,123.30M,22.40M,,,,-24.50M,,-4.70M,1.40M,-6.10M,,,0.00,-6.10M,8.60M,26.30M,3.90M,22.40M,,-0.0162,0.00,,0.1062,-0.0162,,-0.0162,0.00,,0.1062,-0.0162,,120.00M,120.00M,,,
1997-09,439.30M,439.30M,306.20M,133.10M,113.70M,-14.80M,,,,,117.90M,15.20M,,,,-14.80M,,-1.40M,6.20M,-7.60M,,,0.30M,-7.60M,1.28M,20.30M,5.10M,15.20M,,-0.0238,0.00,,0.0502,-0.0238,,-0.0238,0.00,,0.0502,-0.0238,,120.00M,120.00M,,,
1997-06,373.40M,373.40M,259.10M,114.30M,95.50M,0.10M,,,,,98.90M,15.40M,,,,0.10M,,14.50M,6.00M,8.50M,,,0.10M,8.50M,8.44M,18.80M,3.40M,15.40M,,0.0312,0.00,,0.0308,0.0312,,0.03,0.00,,0.0295,0.03,,120.00M,120.00M,,,
1997-03,339.00M,339.00M,235.70M,103.30M,90.40M,-1.20M,,,,,93.70M,9.60M,,,,-1.20M,,7.50M,4.00M,3.50M,,,,3.50M,4.22M,12.90M,3.30M,9.60M,,0.0125,0.00,,0.0202,0.0125,,0.0125,0.00,,0.0202,0.0125,,93.30M,93.30M,,,
1996-12,664.30M,664.30M,449.20M,215.10M,188.40M,5.50M,,,,,194.40M,20.70M,,,,5.50M,,24.40M,10.90M,13.50M,,,,13.50M,10.20M,26.70M,6.00M,20.70M,,0.1519,,,0.1148,0.1519,,0.1519,,,0.1148,0.1519,,88.85M,88.85M,,,
1996-09,259.20M,259.20M,183.90M,75.30M,63.60M,2.10M,,,,,65.60M,9.70M,,,,2.10M,,10.80M,3.70M,7.10M,,,,7.10M,5.719M,12.80M,3.10M,9.70M,,0.0312,0.00,,0.0156,0.0312,,0.0312,0.00,,0.0156,0.0312,,88.39M,88.39M,,,
1996-06,194.70M,194.70M,135.00M,59.70M,51.50M,1.20M,,,,,53.30M,6.40M,,,,1.20M,,6.20M,2.00M,4.20M,,,-0.10M,4.20M,3.387M,8.20M,1.80M,6.40M,,0.0312,0.00,,0.0220,0.0312,,0.03,0.00,,0.0208,0.03,,88.15M,88.15M,,,
1996-03,187.30M,187.30M,129.10M,58.20M,51.40M,0.40M,,,,,53.10M,5.10M,,,,0.40M,,4.70M,2.00M,2.70M,,,0.10M,2.70M,2.46M,6.80M,1.70M,5.10M,,0.0175,0.00,,0.0142,0.0175,,0.0175,0.00,,0.0142,0.0175,,73.23M,73.23M,,,
1995-12,526.20M,526.20M,,,,,,,,,,-398.30M,,,,,,,,10.80M,,,,10.80M,10.80M,-398.30M,,-398.30M,,0.1475,,,0.1475,0.1475,,0.1475,,,0.1475,0.1475,,73.23M,73.23M,,,
1995-09,156.70M,156.70M,,,,,,,,,,156.70M,,,,,,,,1.20M,,,,1.20M,1.20M,156.70M,,156.70M,,0.0288,0.00,,0.0288,0.0288,,0.0288,0.00,,0.0288,0.0288,,73.23M,73.23M,,,
1995-06,139.80M,139.80M,,,,,,,,,,139.80M,,,,,,,,-6.20M,,,,-6.20M,-6.20M,139.80M,,139.80M,,0.0162,0.00,,0.0162,0.0162,,0.0162,0.00,,0.0162,0.0162,,2.18B,2.18B,,,
1995-03,136.00M,136.00M,,,,,,,,,,136.00M,,,,,,,,-6.20M,,,,-6.20M,-6.20M,136.00M,,136.00M,,0.0162,0.00,,0.0162,0.0162,,0.0162,0.00,,0.0162,0.0162,,2.18B,2.18B,,,
1994-12,139.70M,139.70M,,,,,,,,,,-356.40M,,,,,,,,-2.80M,,,,-2.80M,-2.80M,-356.40M,,-356.40M,,,,,-0.0013,-0.0013,,,,,-0.0013,-0.0013,,2.18B,2.18B,,,
1994-09,122.70M,122.70M,,,,,,,,,,122.70M,,,,,,,,-2.70M,,,,-2.70M,-2.70M,122.70M,,122.70M,,0.0188,0.00,,0.0188,0.0188,,0.0188,0.00,,0.0188,0.0188,,2.18B,2.18B,,,
1994-06,115.80M,115.80M,,,,,,,,,,115.80M,,,,,,,,-2.70M,,,,-2.70M,-2.70M,115.80M,,115.80M,,0.0188,0.00,,0.0188,0.0188,,0.0188,0.00,,0.0188,0.0188,,2.18B,2.18B,,,
1994-03,108.40M,108.40M,,,,,,,,,,108.40M,,,,,,,,-2.70M,,,,-2.70M,-2.70M,108.40M,,108.40M,,0.0188,0.00,,0.0188,0.0188,,0.0188,0.00,,0.0188,0.0188,,2.18B,2.18B,,,
