,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-06,36.96M,,,-2.44M,15.11M,15.11M,-0.153M,,,,8.536M,-19.50M,12.65M,35.52M,-1.351M,27.32M,,85.33M,,-13.90M,,-13.90M,-15.71M,,20.41M,-9.193M,,,,-4.118M,8.109M,-4.699M,3.41M,,,2.418M,1.71M,,114.74M,77.85M,-5.484M,187.11M,,8.109M,,,-4.699M,,,
2005-03,30.87M,,,4.479M,13.24M,13.24M,1.638M,,,,,14.43M,8.61M,-121.36M,29.91M,-68.40M,,-18.18M,,-8.138M,,-8.138M,-39.05M,,-6.78M,-53.96M,,,,-0.513M,10.94M,-16.31M,-5.366M,,,2.481M,-3.398M,,186.62M,-75.54M,3.659M,114.74M,,10.94M,,,-16.31M,,,
2004-12,18.21M,,,-7.699M,18.10M,18.10M,3.411M,,,,,-2.023M,-18.34M,114.63M,-26.78M,67.48M,,124.15M,,-13.15M,,-13.15M,15.70M,0.00,5.704M,8.258M,,,,-1.553M,2.172M,-11.55M,-9.375M,,,7.895M,-3.033M,,72.97M,129.38M,-15.73M,186.62M,,2.172M,,,-11.55M,,,
2004-09,31.50M,,,6.568M,13.25M,13.25M,-0.197M,,,,,-18.12M,10.87M,-40.90M,-5.251M,-53.40M,,-2.274M,,-10.90M,,-10.90M,-29.71M,0.00,57.50M,16.90M,,,,-20.07M,1.375M,-24.70M,-23.33M,,,-5.437M,-48.83M,,106.34M,-34.21M,0.846M,72.97M,,1.375M,,,-24.70M,,,
2004-06,38.74M,,,1.642M,10.34M,10.34M,2.831M,,,,,-8.118M,1.959M,42.25M,-8.60M,27.49M,,81.04M,,-8.135M,,-8.135M,-45.38M,0.00,-55.60M,-109.11M,,,,91.05M,5.195M,-34.91M,-29.72M,,,-0.16M,61.18M,,73.09M,33.11M,0.141M,106.34M,,5.195M,,,-34.91M,,,
2004-03,28.39M,,,0.793M,9.642M,9.642M,0.565M,,,,,-6.815M,-23.11M,-48.11M,18.34M,-59.70M,,-20.30M,,-5.654M,,-5.654M,-90.43M,14.47M,-6.257M,-87.87M,,,,24.16M,12.68M,-11.05M,1.629M,,,-0.346M,25.44M,,157.35M,-82.74M,-1.53M,73.09M,,12.68M,,,-11.05M,,,
2003-12,35.54M,,,4.78M,10.89M,10.89M,-0.988M,,,,,48.32M,2.125M,35.05M,-21.29M,64.20M,,114.42M,,-9.933M,,-9.933M,-50.38M,20.89M,-9.822M,-48.58M,,,,-2.343M,3.97M,-4.027M,-0.057M,,,-0.004M,-2.404M,,92.86M,63.44M,1.059M,157.35M,,3.97M,,,-4.027M,,,
2003-09,44.35M,,,4.525M,8.841M,8.841M,3.069M,,,,,-81.42M,-31.94M,37.27M,-7.634M,-83.72M,,-22.94M,,-7.724M,,-7.724M,-1.043M,11.76M,-1.861M,0.461M,,,,-0.61M,7.05M,-11.58M,-4.525M,,,-0.026M,-5.161M,,121.16M,-27.64M,-0.664M,92.86M,,7.05M,,,-11.58M,,,
2003-06,32.86M,,,3.33M,8.571M,8.571M,1.825M,,,,,-21.71M,13.30M,15.25M,1.69M,8.535M,,55.12M,,-7.813M,,-7.813M,-64.47M,-14.99M,3.348M,-83.93M,,,,-3.965M,6.728M,-39.67M,-32.94M,,,-0.157M,-37.06M,,187.00M,-65.88M,0.045M,121.16M,,6.728M,,,-39.67M,,,
2003-03,24.77M,,,2.027M,8.544M,8.544M,2.068M,,,,,-12.54M,-8.824M,-40.97M,10.84M,-51.49M,,-14.08M,,-13.51M,,-13.51M,-2.281M,22.33M,-1.487M,5.053M,,,,-1.929M,4.60M,-6.483M,-1.883M,,,0.065M,-3.747M,,200.65M,-12.78M,-0.877M,187.00M,,4.60M,,,-6.483M,,,
2002-12,30.96M,,,8.50M,8.186M,8.186M,2.373M,,,,,42.29M,-4.939M,-8.57M,-9.783M,19.00M,,69.02M,,-11.28M,,-11.28M,-1.337M,-4.918M,-0.733M,-18.27M,,,,-1.902M,1.369M,,1.369M,,,1.865M,1.332M,,149.30M,52.08M,-0.728M,200.65M,,1.369M,,,,,,
2002-09,39.23M,,,1.587M,7.077M,7.077M,-1.854M,,,,,-53.07M,-0.376M,63.64M,-3.955M,6.231M,,52.27M,,-8.14M,,-8.14M,0.00,-29.65M,-2.473M,-40.27M,,,,1.394M,6.263M,,6.263M,,,-2.331M,5.326M,,132.51M,17.33M,-0.537M,149.30M,,6.263M,,,,,,
2002-06,28.07M,,,0.579M,7.211M,7.211M,1.423M,,,,,-0.542M,-13.96M,33.91M,-4.512M,14.89M,,52.17M,,-10.53M,,-10.53M,-6.737M,-10.18M,-0.272M,-27.72M,,,,-2.113M,19.31M,,19.31M,,,-0.003M,17.19M,,93.42M,41.64M,-2.548M,132.51M,,19.31M,,,,,,
2002-03,19.73M,,,1.713M,5.798M,5.798M,-1.716M,,,,,4.613M,-3.796M,-64.93M,-0.195M,-64.31M,,-38.79M,,-17.59M,,-17.59M,-28.15M,-10.46M,-0.302M,-56.50M,,,,-11.93M,7.183M,,7.183M,,,-0.423M,-5.166M,,193.37M,-100.45M,0.503M,93.42M,,7.183M,,,,,,
2001-12,27.14M,,,4.41M,9.393M,9.393M,4.235M,,,,,50.64M,-42.57M,64.44M,-5.893M,66.61M,,111.79M,,-16.12M,,-16.12M,-8.252M,,2.232M,-22.14M,,,,-5.998M,1.781M,,1.781M,,,0.24M,-3.977M,,107.85M,85.67M,-0.161M,193.37M,,1.781M,,,,,,
2001-09,25.20M,,,11.82M,9.193M,9.193M,-2.362M,,,,,-47.07M,11.69M,40.44M,0.927M,5.993M,,49.84M,,-17.02M,,-17.02M,-0.336M,,-1.556M,-18.92M,,,,1.787M,1.993M,,1.993M,,,-0.221M,3.559M,,75.85M,34.49M,-2.48M,107.85M,,1.993M,,,,,,
2001-06,20.91M,,,1.073M,7.59M,7.59M,-0.916M,,,,,-9.117M,13.36M,1.883M,6.584M,12.71M,,41.37M,,-6.829M,,-6.829M,,,-0.009M,-6.838M,,,,-0.664M,3.539M,,3.539M,,,0.158M,3.033M,,38.11M,37.56M,0.17M,75.85M,,3.539M,,,,,,
2001-03,14.13M,,,1.02M,9.466M,9.466M,-0.665M,,,,,8.742M,-0.331M,-51.64M,7.19M,-36.04M,,-12.09M,,-6.157M,,-6.157M,,,-1.022M,-7.179M,,,,-8.753M,6.842M,,6.842M,,,-0.333M,-2.244M,,58.36M,-21.51M,1.264M,38.11M,,6.842M,,,,,,
2000-12,12.73M,,,6.356M,9.76M,9.76M,0.675M,,,,,14.36M,-13.28M,35.32M,1.963M,38.37M,,67.89M,,-10.23M,,-10.23M,0.00,,-7.255M,-17.48M,,,,-33.73M,5.444M,,5.444M,,,-0.703M,-28.99M,,37.24M,21.42M,-0.299M,58.36M,,5.444M,,,,,,
2000-09,16.24M,,,5.241M,8.052M,8.052M,-1.356M,,,,,-35.36M,10.58M,23.78M,-7.406M,-8.415M,,19.76M,,-7.943M,,-7.943M,-5.667M,,-3.525M,-17.14M,,,,-13.67M,0.294M,,0.294M,,,0.089M,-13.28M,,45.90M,-10.66M,2.002M,37.24M,,0.294M,,,,,,
2000-06,16.38M,,,0.939M,8.024M,8.024M,-0.17M,,,,,-0.867M,16.62M,11.35M,4.218M,31.32M,,56.49M,,-5.532M,,-5.532M,-0.701M,,1.592M,-4.641M,,,,-25.03M,0.11M,,0.11M,,,0.902M,-24.02M,,17.40M,27.83M,0.663M,45.90M,,0.11M,,,,,,
2000-03,11.40M,,,1.158M,7.926M,7.926M,-0.484M,,,,,27.06M,-9.287M,-25.51M,-3.403M,-11.14M,,8.855M,,-6.041M,,-6.041M,-0.47M,,-0.457M,-6.968M,,,,-12.05M,0.435M,,0.435M,,,0.058M,-11.56M,,26.02M,-9.674M,1.06M,17.40M,,0.435M,,,,,,
1999-12,15.51M,,,3.00M,5.773M,5.773M,-3.10M,,,,0.215M,-0.20M,-18.10M,7.40M,-6.10M,-17.00M,,4.40M,,-18.30M,0.00,-18.30M,,,-8.10M,-26.40M,,,,152.40M,5.00M,,5.00M,,,6.50M,17.00M,,39.10M,-5.00M,,26.00M,,5.00M,,,,,,
1999-09,11.50M,,,2.10M,7.80M,7.80M,2.20M,,,,-0.30M,-25.00M,11.00M,26.20M,2.80M,15.00M,,38.30M,,-9.70M,2.20M,-7.50M,,,0.30M,-7.20M,,,,-19.30M,2.40M,,2.40M,,,-0.30M,-17.20M,,25.10M,13.90M,,39.10M,,2.40M,,,,,,
1999-06,13.40M,,,2.10M,7.70M,7.70M,2.30M,,,,0.10M,-7.30M,18.20M,-18.50M,0.50M,-7.10M,,18.50M,,-10.30M,0.00,-10.30M,,,2.20M,-8.10M,,,,2.70M,1.50M,,1.50M,,,-2.90M,1.30M,,0.00,11.70M,,25.10M,,1.50M,,,,,,
1999-03,9.90M,,,-1.00M,7.00M,7.00M,-1.40M,,,,,10.20M,1.00M,-48.50M,9.60M,-27.70M,,-13.20M,,-128.80M,6.40M,-122.40M,,,,-122.40M,,,,120.40M,3.60M,,3.60M,,,-3.20M,120.80M,,28.20M,-14.80M,,0.00,,3.60M,,,,,,
1998-12,0.127M,,,20.50M,5.984M,5.984M,2.10M,,,,-0.011M,10.50M,-6.70M,-11.10M,-18.10M,-25.40M,,3.30M,,-7.80M,,0.30M,,,2.50M,2.80M,,,,2.20M,3.70M,,3.70M,0.00,,0.20M,6.10M,,0.00,12.20M,,28.20M,,3.70M,,,,,,
1998-09,2.30M,,,-1.10M,5.50M,5.50M,-2.70M,,,,-0.20M,-36.50M,-5.20M,19.90M,11.70M,-10.10M,,-6.30M,,-17.40M,,-17.40M,,,-4.40M,-21.80M,,,,27.20M,1.20M,,1.20M,-2.00M,,0.00,26.40M,,0.00,-1.70M,,0.00,,1.20M,,,,,,
1998-06,7.80M,,,-0.20M,4.40M,4.40M,0.90M,,,,0.00,-28.40M,-12.90M,52.80M,-4.30M,7.20M,,20.10M,,-10.60M,,-10.60M,,,-5.00M,-15.60M,,,,-1.80M,2.30M,,2.30M,,,0.20M,0.70M,,0.00,5.20M,,0.00,,2.30M,,,,,,
1998-03,6.10M,,,-0.50M,4.10M,4.10M,-0.10M,,,,0.10M,5.50M,-9.70M,-18.50M,-1.40M,-24.10M,,-14.40M,,-11.60M,,-11.60M,,,-2.50M,-14.10M,,,,25.70M,3.80M,,3.80M,,,-0.30M,29.20M,,11.80M,0.70M,,0.00,,3.80M,,,,,,
1997-12,-6.10M,,,1.90M,3.90M,3.90M,-4.30M,,,,-0.20M,0.90M,-15.60M,4.10M,-2.50M,-13.10M,,-17.90M,,-1.50M,,-1.50M,,,2.00M,0.50M,,,,10.70M,2.90M,0.00,2.90M,-0.90M,,-0.50M,12.20M,,0.00,-5.20M,,11.80M,,2.90M,,,0.00,,,
1997-09,-8.10M,,,5.70M,5.10M,5.10M,-0.50M,,,,,-29.60M,-11.70M,29.90M,-0.30M,-11.70M,,-9.50M,,-42.50M,,-42.50M,,,-7.30M,-49.80M,,,,53.80M,1.20M,0.00,1.20M,-0.50M,,1.00M,55.50M,,0.00,-3.80M,,0.00,,1.20M,,,0.00,,,
1997-06,8.50M,,,3.30M,3.40M,3.40M,1.10M,,,,-0.10M,-23.30M,0.70M,7.10M,-3.00M,-18.50M,,-2.30M,,-17.40M,,-17.40M,,,4.50M,-12.90M,,,,14.80M,0.90M,-0.30M,0.60M,-0.50M,,0.10M,15.00M,,0.00,-0.20M,,0.00,,0.90M,,,-0.30M,,,
1997-03,3.50M,,,0.50M,3.30M,3.30M,-0.20M,,,,0.10M,1.30M,6.70M,-28.00M,0.60M,-19.40M,,-12.20M,,-2.80M,,-2.80M,,,-5.30M,-8.10M,,,,-2.70M,0.30M,-0.30M,0.00,-0.50M,,-1.30M,-4.50M,,45.80M,-24.80M,,0.00,,0.30M,,,-0.30M,,,
1996-12,13.50M,,,1.50M,6.00M,6.00M,2.90M,,,,0.10M,-11.00M,-13.10M,14.40M,-3.10M,-12.80M,,11.20M,,-38.40M,,-38.40M,,,29.80M,-8.60M,,,,-9.60M,6.60M,-0.40M,6.20M,,,-4.20M,-12.20M,,0.00,-9.60M,,45.80M,,6.60M,,,-0.40M,,,
1996-09,8.50M,,,0.10M,3.10M,3.10M,0.40M,,,,0.10M,-23.20M,-6.50M,13.60M,-5.00M,-21.10M,,-8.90M,,-4.40M,,-4.40M,,,-27.80M,-32.20M,,,,-4.80M,0.00,-0.10M,-0.10M,,,4.40M,-0.50M,,0.00,-41.60M,,0.00,,0.00,,,-0.10M,,,
1996-06,4.00M,,,0.00,1.80M,1.80M,-0.60M,,,,-0.20M,-6.70M,-8.90M,10.40M,-1.20M,-6.40M,,-1.40M,,-3.30M,,-3.30M,,,-6.80M,-10.10M,,,,-27.20M,124.10M,-0.10M,124.00M,,,-0.30M,96.50M,,0.00,85.00M,,0.00,,124.10M,,,-0.10M,,,
1996-03,2.70M,,,-0.60M,1.70M,1.70M,0.20M,,,,0.10M,-11.80M,9.90M,-19.60M,1.50M,-20.00M,,-15.90M,,-2.00M,,-2.00M,,,-1.60M,-3.60M,,,,20.20M,,,,,,-0.50M,19.70M,,8.90M,0.20M,,0.00,,,,,,,,
