,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,,SECFilingLinks,AsOriginallyReported,Restated
2006-12,127.00M,,127.00M,1.017B,1.468B,,399.00M,,1.001B,2.995B,,,12.57B,-3.363B,9.204B,,,1.709B,,,,,3.725B,14.64B,17.63B,,2006-12,1.01B,,,2.836B,,1.385B,1.385B,,,,,4.221B,7.802B,7.802B,2.362B,39.00M,,,,,,7.841B,16.08B,,2006-12,2.977B,,,,,,2006-12,,
2006-09,285.00M,,285.00M,716.00M,942.00M,,382.00M,,957.00M,2.566B,,,12.11B,-3.264B,8.842B,,,1.754B,,,,,3.811B,14.41B,16.97B,,2006-09,547.00M,,,2.136B,,1.24B,1.24B,,,,,3.376B,7.905B,7.905B,2.444B,41.00M,,,,,,7.946B,15.41B,,2006-09,2.959B,,,,,,2006-09,,
2006-06,397.00M,,397.00M,765.00M,982.00M,,298.00M,,720.00M,2.397B,,,11.86B,-3.187B,8.675B,,,1.764B,,,,,3.873B,14.31B,16.71B,,2006-06,466.00M,,,1.931B,,645.00M,645.00M,,,,,2.576B,8.555B,8.555B,2.442B,42.00M,,,,,,8.597B,15.20B,,2006-06,2.949B,,,,,,2006-06,,
2006-03,113.00M,,113.00M,924.00M,1.253B,,194.00M,,628.00M,2.188B,,,11.66B,-3.093B,8.571B,,,1.765B,,,,,3.892B,14.23B,16.42B,,2006-03,606.00M,,,2.02B,,645.00M,645.00M,,,,,2.665B,8.231B,8.231B,2.484B,44.00M,,,,,,8.275B,15.07B,,2006-03,2.944B,,,,,,2006-03,,
2005-12,74.00M,,74.00M,1.098B,1.706B,,382.00M,,729.00M,2.891B,,,11.56B,-3.066B,8.492B,,,1.709B,,,,,4.024B,14.22B,17.12B,,2005-12,1.161B,,,2.675B,,339.00M,339.00M,,,,,3.014B,8.568B,8.568B,2.52B,46.00M,,,,,,8.614B,15.82B,,2005-12,2.931B,,,,,,2005-12,,
2005-09,162.00M,,162.00M,745.00M,1.058B,,397.00M,,845.00M,2.462B,,,11.32B,-2.962B,8.361B,,,1.80B,,,,,3.889B,14.05B,16.51B,,2005-09,845.00M,,,2.616B,,2.058B,2.058B,,,,,4.674B,6.494B,6.494B,2.528B,48.00M,,,,,,6.542B,15.29B,,2005-09,2.917B,,,,,,2005-09,,
2005-06,408.16M,,408.16M,511.85M,783.62M,,245.19M,,547.82M,1.985B,,,11.18B,-2.909B,8.273B,,,1.801B,,,,,3.830B,13.90B,15.89B,,2005-06,546.26M,,,1.840B,,1.797B,1.797B,,,,,3.638B,7.051B,7.051B,2.523B,49.94M,,,,,,7.101B,14.71B,,2005-06,2.907B,,,,,,2005-06,,
2005-03,305.29M,,305.29M,732.98M,1.114B,,151.17M,,664.95M,2.235B,,,11.04B,-2.836B,8.201B,,,1.798B,,,,,5.321B,15.32B,17.56B,,2005-03,696.71M,,,2.368B,,1.834B,1.834B,,,,,4.202B,7.643B,7.643B,2.491B,51.81M,,,,,,7.695B,16.42B,,2005-03,2.901B,,,,,,2005-03,,
2004-12,165.00M,,165.00M,742.00M,1.318B,,252.00M,,1.102B,2.837B,,,10.96B,-2.777B,8.186B,,,1.799B,,,,,5.341B,15.33B,18.16B,,2004-12,868.00M,,,3.351B,,1.836B,1.836B,,,,,5.187B,7.193B,7.193B,2.469B,54.00M,,,,,,7.247B,17.06B,,2004-12,2.891B,,,,,,2004-12,,
2004-09,20.20M,,20.20M,600.52M,788.77M,,318.31M,,1.387B,2.514B,,,10.83B,-2.708B,8.123B,,,1.799B,,,,,7.150B,17.07B,19.59B,,2004-09,445.18M,,,2.235B,,537.22M,537.22M,,,,,2.773B,10.46B,10.46B,1.907B,55.57M,,,215.95M,,,10.51B,18.73B,,2004-09,2.888B,,,,,,2004-09,,
2004-06,280.91M,,280.91M,508.69M,701.28M,,377.91M,,670.02M,2.030B,,,20.21B,-8.417B,11.80B,,,1.819B,,,,,5.507B,19.12B,21.15B,,2004-06,606.45M,,,2.167B,,207.77M,207.77M,,,,,2.375B,10.60B,10.60B,3.272B,202.21M,,,198.13M,,,10.80B,19.09B,,2004-06,2.886B,,,,,,2004-06,,
2004-03,206.47M,,206.47M,566.44M,809.02M,,318.37M,,616.47M,1.950B,,,20.10B,-8.307B,11.79B,,,1.820B,,,,,5.500B,19.11B,21.06B,,2004-03,624.78M,,,2.039B,,165.21M,165.21M,,,,,2.205B,10.71B,10.71B,3.250B,206.97M,,,186.69M,,,10.91B,19.04B,,2004-03,2.882B,,,,,,2004-03,,
2003-12,86.92M,,86.92M,566.26M,961.61M,,243.24M,,1.065B,2.357B,,,10.57B,-2.485B,8.085B,,,1.800B,,,,,9.220B,19.10B,21.46B,,2003-12,588.88M,,,2.313B,,223.93M,223.93M,,,,,2.537B,10.78B,10.78B,2.292B,61.20M,,,178.67M,,,10.84B,19.52B,,2003-12,2.868B,,,,,,2003-12,,
2003-09,34.78M,,34.78M,497.75M,722.52M,,444.50M,,560.59M,1.762B,,,19.86B,-8.726B,11.14B,,,1.821B,,,,,5.338B,18.30B,20.06B,,2003-09,470.20M,,,1.855B,,223.84M,223.84M,,,,,2.079B,10.89B,10.89B,3.006B,217.01M,,,185.31M,,,11.11B,18.26B,,2003-09,2.868B,,,,,,2003-09,,
2003-06,50.16M,,50.16M,659.13M,879.44M,,367.36M,,534.19M,1.831B,,,19.76B,-8.617B,11.14B,,,1.806B,,,,,5.112B,18.06B,19.89B,,2003-06,558.73M,,,1.949B,,295.54M,295.54M,,,,,2.244B,10.09B,10.09B,2.886B,221.35M,,,169.62M,706.36M,,11.01B,18.27B,,2003-06,2.870B,,,,,,2003-06,,
2003-03,305.29M,,305.29M,868.37M,1.207B,,292.34M,,412.56M,2.217B,,,19.73B,-8.540B,11.19B,,,1.806B,,,,,5.029B,18.02B,20.24B,,2003-03,838.45M,,,1.923B,,402.15M,402.15M,,,,,2.326B,10.22B,10.22B,2.831B,225.70M,,,163.33M,706.25M,,11.16B,18.66B,,2003-03,2.887B,,,,,,2003-03,,
2002-12,304.28M,,304.28M,558.33M,912.82M,,351.82M,,466.43M,2.035B,,,19.85B,-7.738B,12.12B,,,1.806B,,,,,4.500B,18.42B,20.46B,,2002-12,621.53M,,,2.054B,,1.157B,1.157B,,,,,3.211B,9.194B,9.194B,2.675B,230.04M,,,0.292M,706.14M,,10.13B,19.03B,,2002-12,3.046B,,,,,,2002-12,,
2002-09,123.78M,,123.78M,578.24M,703.79M,,366.59M,,362.20M,1.556B,,,19.72B,-8.366B,11.36B,,,1.804B,,,,,4.270B,17.43B,18.99B,,2002-09,502.92M,,,1.730B,,3.979B,3.979B,,,,,5.709B,5.882B,5.882B,2.887B,233.56M,,,,706.03M,,6.822B,17.08B,,2002-09,3.046B,,,,,,2002-09,,
2002-06,721.07M,,721.07M,2.478B,3.087B,,315.62M,,3.373B,7.497B,,,28.80B,-8.601B,20.20B,,,4.593B,,,,,5.912B,30.71B,38.20B,,2002-06,2.032B,0.376M,,5.681B,,10.96B,10.96B,,,,,16.64B,5.843B,5.843B,2.888B,238.18M,,,1.112B,705.96M,,6.787B,29.82B,,2002-06,,,,,,,2002-06,,
2002-03,296.00M,,296.00M,2.245B,2.722B,,534.30M,,3.242B,6.794B,,,28.31B,-8.391B,19.91B,,,4.285B,,,,,5.998B,30.20B,36.99B,,2002-03,1.693B,0.366M,,5.612B,,9.774B,9.774B,,,,,15.39B,5.986B,5.986B,2.813B,242.79M,,,1.075B,705.85M,,6.935B,28.75B,,2002-03,,,,,,,2002-03,,
2001-12,35.50M,,35.50M,523.17M,826.05M,,405.64M,,5.525B,6.793B,,,19.33B,-8.126B,11.20B,,,1.803B,,,,,11.47B,24.47B,31.27B,,2001-12,526.76M,,,6.289B,,4.166B,4.166B,,,,,10.46B,4.920B,4.920B,2.601B,247.41M,,,,705.74M,,5.873B,24.53B,,2001-12,3.894B,,,,,,2001-12,,
2001-09,294.82M,,294.82M,1.841B,2.105B,,592.03M,,4.930B,7.922B,,,23.73B,-7.390B,16.34B,,,2.987B,,,,,4.257B,23.59B,31.51B,,2001-09,1.518B,112.06M,,8.091B,,3.587B,3.587B,,,,,11.68B,5.401B,5.401B,2.749B,251.99M,,,1.227B,705.68M,,6.359B,23.57B,,2001-09,,113.34M,9.74M,,,,2001-09,,
2001-06,107.70M,,107.70M,2.623B,2.897B,,589.22M,,6.393B,9.987B,,,23.14B,-7.310B,15.83B,,,2.998B,,,,,4.428B,23.25B,33.24B,,2001-06,2.366B,111.95M,,9.732B,,3.517B,3.517B,,,,,13.25B,5.449B,5.449B,2.951B,256.57M,,,1.221B,705.57M,,6.411B,25.28B,,2001-06,,113.34M,9.74M,,,,2001-06,,
2001-03,63.57M,,63.57M,2.654B,3.059B,,431.30M,,5.586B,9.140B,,,22.71B,-7.226B,15.48B,,,2.998B,,,,,4.849B,23.33B,32.47B,,2001-03,2.300B,111.59M,,8.799B,,5.458B,5.458B,,,,,14.26B,5.539B,5.539B,2.881B,261.15M,,,,705.46M,,6.506B,26.82B,,2001-03,,113.34M,9.74M,,,,2001-03,,
2000-12,175.97M,,175.97M,2.623B,3.216B,,483.21M,,5.962B,9.837B,,,22.39B,-7.128B,15.26B,,,3.077B,,,,,3.521B,21.86B,31.70B,,2000-12,3.058B,110.89M,,8.942B,,6.628B,6.628B,,,,,15.57B,4.996B,4.996B,2.815B,265.74M,,,9.345M,705.36M,,5.967B,26.21B,,2000-12,,120.86M,9.74M,,,,2000-12,,
2000-09,246.19M,,246.19M,1.742B,1.960B,,517.31M,,3.532B,6.256B,,,21.95B,-7.129B,14.82B,,,3.127B,,,,,4.432B,22.38B,28.64B,,2000-09,1.647B,110.68M,,5.215B,,6.744B,6.744B,,,,,11.96B,5.461B,5.461B,2.517B,270.32M,,,,705.24M,,6.437B,22.87B,,2000-09,,120.86M,9.74M,,,,2000-09,,
2000-06,105.31M,,105.31M,1.675B,1.803B,,421.78M,,4.863B,7.193B,,,22.75B,-7.056B,15.70B,,,3.126B,,,,829.22M,3.413B,23.06B,30.26B,,2000-06,1.590B,110.38M,,3.583B,,10.67B,10.67B,,,,,14.25B,5.167B,5.167B,2.667B,274.90M,,,,705.17M,,6.147B,24.79B,,2000-06,,120.60M,9.74M,,,,2000-06,,
2000-03,95.03M,,95.03M,1.115B,1.266B,,303.30M,,6.105B,7.769B,,,20.39B,-6.961B,13.43B,,,2.983B,,,,,3.878B,20.29B,28.06B,,2000-03,1.034B,110.13M,,2.806B,,9.198B,9.198B,,,,,12.00B,6.220B,6.220B,2.739B,269.48M,,,,,,6.490B,22.71B,,2000-03,,120.60M,9.74M,,,,2000-03,,
1999-12,80.77M,,80.77M,1.079B,1.251B,,340.46M,,4.864B,6.536B,,,19.99B,-6.855B,13.13B,,,3.042B,,,,,3.745B,19.92B,26.46B,,1999-12,1.025B,110.81M,,3.384B,,7.231B,7.231B,,,,,10.61B,4.869B,4.869B,2.811B,270.24M,,,,705.27M,,5.844B,21.15B,,1999-12,,93.30M,9.74M,,,,1999-12,,
1999-09,489.90M,,489.90M,880.20M,993.20M,,395.80M,,3.984B,5.863B,,,17.73B,-6.772B,10.96B,,,2.062B,,,,,3.721B,16.74B,22.60B,,1999-09,899.40M,,,2.389B,,5.675B,5.675B,,,,,8.064B,4.768B,4.768B,3.143B,274.40M,,,,,,5.043B,17.10B,,1999-09,,41.20M,9.70M,,,,1999-09,,
1999-06,66.60M,,66.60M,755.90M,826.50M,,393.90M,,604.10M,1.891B,,,17.46B,-6.642B,10.82B,,,2.090B,,,,,4.664B,17.57B,19.46B,,1999-06,774.80M,,,1.822B,,2.46B,2.46B,,,,0.10M,4.282B,7.651B,7.651B,2.342B,278.00M,,,,,,7.929B,15.50B,,1999-06,,2.40M,9.70M,,,,1999-06,,
1999-03,83.80M,,83.80M,778.40M,882.70M,,266.90M,,325.20M,1.559B,,,17.21B,-5.662B,11.55B,,,2.105B,,,,955.50M,2.718B,17.33B,18.89B,,1999-03,715.40M,111.10M,,1.678B,,2.114B,2.114B,,,,,3.791B,7.691B,7.691B,2.473B,323.90M,,,,,,8.015B,14.92B,,1999-03,,2.40M,9.70M,,,,1999-03,,
1998-12,29.70M,,29.70M,726.40M,901.90M,,383.80M,,353.80M,1.669B,,,17.00B,-5.499B,11.50B,,,2.099B,,,,491.00M,3.376B,17.47B,19.14B,,1998-12,808.00M,,,1.861B,,2.210B,2.210B,,,,-0.10M,4.071B,6.801B,6.801B,2.693B,328.90M,,,,342.20M,,7.472B,14.82B,,1998-12,,2.40M,9.70M,,,,1998-12,,
1998-09,56.30M,,56.30M,1.470B,1.630B,,379.80M,,148.50M,2.214B,16.49B,243.30M,16.73B,-5.341B,11.39B,,,2.110B,,,,1.062B,2.771B,17.34B,19.55B,,1998-09,1.424B,111.00M,,2.262B,,2.530B,2.530B,,,,,4.792B,5.949B,5.949B,2.971B,334.00M,,,,,,6.283B,14.69B,,1998-09,,2.30M,9.70M,-6.00M,-236.40M,,1998-09,,
1998-06,89.60M,,89.60M,743.60M,859.30M,,267.60M,,48.50M,1.265B,16.32B,189.40M,16.51B,-5.115B,11.39B,,,2.079B,,,,349.70M,3.319B,17.14B,18.41B,,1998-06,799.00M,111.00M,,1.523B,,2.180B,2.180B,,,,,3.703B,6.128B,6.128B,2.988B,339.00M,,,,,,6.467B,13.69B,,1998-06,,2.30M,9.70M,-5.90M,-233.70M,,1998-06,,
1998-03,139.10M,,139.10M,708.60M,845.00M,,214.80M,,315.50M,1.514B,15.97B,172.90M,16.15B,-4.907B,11.24B,,,2.014B,,,,1.059B,2.524B,16.84B,18.35B,,1998-03,725.50M,113.60M,,1.354B,,2.446B,2.446B,,,,,3.801B,5.890B,5.890B,3.082B,344.00M,,,,,,6.234B,13.58B,,1998-03,,2.20M,9.70M,-0.70M,-230.40M,,1998-03,,
