,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-12,108.00M,,,,0.00,,,,177.00M,-21.00M,,,,-3.00M,-540.00M,58.00M,275.00M,42.00M,29.00M,157.00M,21.00M,282.00M,,2007-12,-263.00M,,-263.00M,,,-104.00M,,2007-12,,,218.00M,2.00M,,2.00M,,,,,-54.00M,-6.00M,160.00M,,54.00M,75.00M,,129.00M,,2007-12,2.00M,,,10.00M,125.00M,,2007-12,,
2007-09,91.00M,,,,12.00M,,,,214.00M,13.00M,,,,-38.00M,136.00M,-172.00M,-166.00M,14.00M,28.00M,-67.00M,-227.00M,65.00M,,2007-09,-187.00M,,-187.00M,,,-37.00M,,2007-09,,,153.00M,1.00M,,1.00M,,,,,-55.00M,2.00M,101.00M,,112.00M,-58.00M,,54.00M,,2007-09,1.00M,,,17.00M,162.00M,,2007-09,,
2007-06,70.00M,,,,-17.00M,,,,141.00M,27.00M,,,,46.00M,388.00M,-205.00M,-72.00M,-68.00M,8.00M,-155.00M,-104.00M,163.00M,,2007-06,-265.00M,,-265.00M,,,-41.00M,,2007-06,,,241.00M,6.00M,,6.00M,,,,,-55.00M,3.00M,195.00M,,60.00M,52.00M,,112.00M,,2007-06,6.00M,,,144.00M,108.00M,,2007-06,,
2007-03,130.00M,,,,17.00M,,,,164.00M,-11.00M,,,,1.00M,16.00M,217.00M,-222.00M,25.00M,-85.00M,12.00M,-37.00M,264.00M,,2007-03,-399.00M,,-399.00M,,,-4.00M,,2007-03,,,116.00M,13.00M,,13.00M,,,,,-54.00M,-3.00M,72.00M,,127.00M,-67.00M,,60.00M,,2007-03,13.00M,,,34.00M,177.00M,,2007-03,,
2006-12,67.00M,,,,,,,,166.00M,-153.00M,,,,4.00M,-526.00M,-30.00M,371.00M,11.00M,66.00M,287.00M,179.00M,263.00M,,2006-12,-366.00M,,-366.00M,,,-64.00M,,2006-12,,,41.00M,15.00M,,15.00M,,,,,-47.00M,0.00,9.00M,,285.00M,-158.00M,,127.00M,,2006-12,15.00M,,,45.00M,109.00M,,2006-12,,
2006-09,83.00M,,,,,,,,168.00M,24.00M,,,,8.00M,45.00M,-114.00M,57.00M,-1.00M,-14.00M,-45.00M,-72.00M,211.00M,,2006-09,-260.00M,,-260.00M,,,30.00M,,2006-09,,,-55.00M,6.00M,,6.00M,,,,,-47.00M,3.00M,-93.00M,,397.00M,-112.00M,,285.00M,,2006-09,6.00M,,,38.00M,197.00M,,2006-09,,
2006-06,194.00M,,,,-2.00M,,,,167.00M,-111.00M,,,,-74.00M,271.00M,-67.00M,-163.00M,-93.00M,13.00M,67.00M,28.00M,202.00M,,2006-06,-195.00M,,-195.00M,,,0.00,,2006-06,,,323.00M,3.00M,,3.00M,,,,,-46.00M,-3.00M,277.00M,,113.00M,284.00M,,397.00M,,2006-06,3.00M,,,111.00M,101.00M,,2006-06,,
2006-03,88.00M,,,,2.00M,,,,154.00M,6.00M,,,,,525.00M,129.00M,-534.00M,7.00M,-47.00M,-15.00M,65.00M,315.00M,,2006-03,-186.00M,,-186.00M,,,-15.00M,,2006-03,,,-30.00M,3.00M,,3.00M,,,,,-47.00M,-1.00M,-75.00M,,74.00M,39.00M,,113.00M,,2006-03,3.00M,,,1.00M,125.00M,,2006-03,,
2005-12,81.00M,,,,-5.00M,,,,148.00M,70.00M,,,,-1.00M,-825.00M,25.00M,349.00M,25.00M,61.00M,-140.00M,-505.00M,-212.00M,,2005-12,-187.00M,,513.00M,-700.00M,,-14.00M,,2005-12,,,356.00M,3.00M,,3.00M,,,,,-19.00M,-15.00M,325.00M,,162.00M,-88.00M,,74.00M,,2005-12,3.00M,,,-113.00M,152.00M,,2005-12,,
2005-09,77.00M,,,,,,,,164.00M,114.00M,,,,-34.00M,-237.00M,-149.00M,277.00M,-44.00M,26.00M,62.00M,-65.00M,259.00M,,2005-09,-196.00M,,-196.00M,383.00M,,-381.00M,,2005-09,,,-296.00M,6.00M,,6.00M,,,,,-22.00M,1.00M,-311.00M,,408.00M,-246.00M,,162.00M,,2005-09,6.00M,,,7.00M,186.00M,,2005-09,,
2005-06,27.00M,,,,1.00M,,,,156.00M,-2.00M,,,,-3.00M,338.00M,-92.00M,-128.00M,-38.00M,39.00M,-64.00M,55.00M,218.00M,,2005-06,-179.00M,,-179.00M,317.00M,,392.00M,,2005-06,,,-629.00M,4.00M,,4.00M,,,,,-21.00M,1.00M,-645.00M,,305.00M,103.00M,,408.00M,,2005-06,4.00M,,,22.00M,146.00M,,2005-06,,
2005-03,67.00M,,,,-1.00M,,,,150.00M,50.00M,,,,,215.00M,101.00M,-177.00M,43.00M,-57.00M,-571.00M,-446.00M,-202.00M,,2005-03,-131.00M,,-131.00M,,,13.00M,,2005-03,,,524.00M,4.00M,,4.00M,,,,,-62.00M,-6.00M,460.00M,,165.00M,140.00M,,305.00M,,2005-03,4.00M,,,435.00M,183.00M,,2005-03,,
2004-12,163.00M,,,,-10.00M,,,,157.00M,160.00M,,,,85.00M,-526.00M,66.00M,428.00M,-12.00M,203.00M,-687.00M,-528.00M,15.00M,,2004-12,-171.00M,,2.06B,,,-3.00M,,2004-12,,,-1.962B,2.00M,,2.00M,,,,,-31.00M,62.00M,-1.929B,,20.00M,143.00M,,165.00M,,2004-12,2.00M,,,107.00M,187.00M,,2004-12,,
2004-09,-88.24M,,,,100.07M,,,,145.04M,48.30M,,,,-2.045M,-70.39M,-108.21M,-22.72M,-10.55M,-30.66M,-82.24M,-324.77M,-14.64M,,2004-09,-149.23M,,-149.23M,,,-10.82M,,2004-09,,,189.38M,3.121M,,3.121M,,,,,-30.63M,-61.61M,100.25M,,96.35M,-74.43M,,20.00M,,2004-09,3.121M,,,-17.16M,206.20M,,2004-09,,
2004-06,102.34M,,,,-104.63M,,,,141.98M,36.29M,,,,-2.629M,130.40M,-60.50M,-53.96M,-117.34M,91.22M,-83.62M,-93.81M,79.54M,,2004-06,-110.98M,,-110.98M,,,11.38M,,2004-06,,,-61.89M,3.221M,,3.221M,,,,,-30.71M,-0.374M,-89.75M,,206.16M,-109.81M,,96.35M,,2004-06,3.221M,,,32.16M,163.54M,,2004-06,,
2004-03,28.90M,,,,-4.438M,,,,137.98M,20.40M,,,,23.67M,231.99M,93.72M,-67.32M,121.89M,-62.56M,-128.13M,189.58M,396.10M,,2004-03,-98.79M,,-98.79M,,,10.44M,,2004-03,,,-148.49M,3.658M,,3.658M,,,,,-30.66M,-13.02M,-188.50M,,86.92M,119.24M,,206.16M,,2004-03,3.658M,,,1.997M,202.26M,,2004-03,,
2003-12,47.01M,,,,-7.872M,,,,211.26M,191.68M,,,,-6.66M,-368.20M,28.96M,262.38M,-6.161M,18.45M,10.41M,-54.16M,410.04M,,2003-12,-144.21M,,-144.21M,,,-9.259M,,2003-12,,,-144.98M,2.452M,,2.452M,,,,,-30.60M,-30.92M,-204.05M,,34.40M,52.52M,,86.92M,,2003-12,2.452M,,,162.42M,153.71M,,2003-12,,
2003-09,197.32M,,,,4.704M,,,,4.805M,160.80M,,,,4.975M,94.47M,-61.01M,-122.26M,-27.51M,-7.653M,-222.19M,-346.16M,56.09M,,2003-09,-50.97M,,-50.97M,,,-0.715M,,2003-09,,,7.448M,2.393M,,2.393M,,,,,-22.95M,-6.485M,-19.60M,,50.16M,-15.19M,,34.40M,,2003-09,2.393M,,,-0.243M,215.07M,,2003-09,,
2003-06,82.96M,,,,-12.97M,,,,192.49M,54.33M,,,,17.83M,316.25M,-75.02M,-279.14M,3.439M,44.70M,-108.39M,-98.16M,230.77M,,2003-06,-157.84M,,-157.84M,,,4.861M,,2003-06,,,-240.68M,3.69M,,3.69M,,,,,-34.34M,-60.76M,-332.10M,,304.47M,-254.30M,,50.16M,,2003-06,3.69M,,,-3.518M,158.96M,,2003-06,,
2003-03,81.48M,,,,-0.637M,,,,197.66M,101.94M,,,,-0.296M,-313.47M,59.47M,216.34M,18.56M,-79.14M,-276.22M,-374.45M,25.02M,,2003-03,-143.37M,,-143.37M,,,-2.924M,,2003-03,,,279.69M,0.814M,,0.814M,,,,,-34.32M,-124.72M,121.46M,,304.28M,0.188M,,304.47M,,2003-03,0.814M,,,39.26M,234.87M,,2003-03,,
2002-12,-24.07M,,,,-5.265M,,,,276.79M,128.07M,,,,10.33M,-285.87M,14.77M,119.79M,67.13M,20.67M,-177.36M,-240.86M,139.20M,,2002-12,-214.80M,,-214.80M,,,14.71M,,2002-12,,,484.20M,7.881M,,7.881M,,,,,-48.67M,-193.41M,250.00M,,115.16M,189.12M,,304.28M,,2002-12,7.881M,,,-53.79M,150.73M,,2002-12,,
2002-09,161.89M,,,,-9.04M,,,,167.00M,101.26M,,,,-10.08M,51.37M,-22.07M,43.03M,-33.54M,33.78M,-388.84M,-316.26M,99.24M,,2002-09,-180.46M,,-180.46M,,,39.92M,,2002-09,,,21.50M,-1.69M,,-1.69M,,,,,-53.47M,-65.21M,-98.87M,,255.34M,-140.18M,,115.16M,,2002-09,-1.69M,,,3.708M,231.60M,,2002-09,,
2002-06,86.38M,,,,7.114M,,,,157.41M,55.05M,,,,6.451M,198.18M,-34.44M,9.789M,75.14M,72.19M,-362.39M,-41.53M,269.43M,,2002-06,-237.25M,,-237.25M,,,3.982M,,2002-06,,,296.82M,2.727M,,2.727M,,,,,-111.60M,-2.414M,185.54M,,34.48M,221.70M,,255.34M,,2002-06,2.727M,,,77.89M,121.50M,,2002-06,,
2002-03,144.64M,,,,9.509M,,,,155.47M,35.24M,,,,29.72M,-288.65M,95.56M,-68.72M,102.32M,-160.65M,-242.60M,-562.74M,-178.41M,,2002-03,-213.73M,,-213.73M,,,22.08M,,2002-03,,,490.36M,4.076M,,4.076M,,,,,-110.94M,2.59M,386.09M,,18.44M,16.04M,,34.48M,,2002-03,4.076M,,,0.166M,129.16M,,2002-03,,
2001-12,18.86M,,,,77.32M,,,,168.97M,-53.71M,,,,-10.45M,-587.70M,33.77M,40.16M,225.56M,5.339M,-167.76M,-450.62M,136.24M,,2001-12,-387.84M,,-387.84M,,,8.857M,,2001-12,,,300.91M,8.632M,,-1.595M,,,,,-108.96M,44.97M,235.32M,,42.92M,-7.418M,,35.50M,,2001-12,8.632M,,,318.29M,119.25M,,2001-12,,
2001-09,-92.95M,,,,-95.92M,,,,108.80M,-134.56M,,,,-24.53M,1.340B,50.24M,-473.06M,-273.04M,290.53M,236.06M,1.170B,910.52M,,2001-09,197.92M,,197.92M,,,77.91M,,2001-09,,,655.06M,-1.688B,,-1.688B,,,,,-108.79M,-43.61M,-1.186B,,127.07M,0.756M,4.845M,42.92M,,2001-09,-1.688B,,,-108.23M,101.43M,,2001-09,,
2001-06,316.22M,,,,18.15M,,,,227.94M,1.75M,,,,97.81M,226.74M,-160.82M,85.30M,390.02M,-483.33M,252.81M,310.73M,972.59M,,2001-06,-545.70M,,-545.70M,,,-12.06M,,2001-06,,,-1.997B,1.743B,,1.743B,,,,,-108.57M,-8.529M,-370.58M,,63.57M,44.25M,3.395M,127.07M,,2001-06,1.743B,,,58.11M,133.04M,,2001-06,,
2001-03,262.50M,,,,11.09M,,,,195.05M,53.81M,,,,,148.15M,61.26M,-775.17M,63.92M,87.80M,,-414.04M,108.41M,,2001-03,-491.56M,,-491.56M,,,1.853M,,2001-03,,,349.17M,36.90M,,36.90M,,,,,-107.60M,-1.338M,277.13M,,175.97M,-104.16M,-8.24M,63.57M,,2001-03,36.90M,,,53.76M,181.09M,,2001-03,,
2000-12,-291.59M,,,,502.27M,,,,193.67M,89.79M,,,,496.69M,-1.278B,27.13M,1.420B,-189.14M,-229.22M,-348.71M,-598.51M,392.32M,,2000-12,-1.580B,0.00,-1.580B,979.98M,-123.43M,615.20M,,2000-12,,,-94.92M,53.81M,0.255M,54.06M,,,,,-107.39M,-193.04M,-341.29M,,246.19M,-57.31M,-4.593M,175.97M,,2000-12,53.81M,,0.255M,259.76M,225.74M,,2000-12,,
2000-09,381.81M,,,,-128.47M,,,,299.91M,-118.98M,,,,-749.46M,-144.76M,-93.06M,62.20M,-3.278M,542.65M,217.16M,580.91M,265.72M,,2000-09,-426.83M,1.00B,573.17M,-981.14M,123.43M,1.042B,,2000-09,,,-760.01M,-18.39M,-0.255M,-18.64M,,,,,-107.04M,-0.564M,-886.26M,,98.38M,136.50M,2.988M,246.19M,,2000-09,-18.39M,,-0.255M,194.65M,186.91M,,2000-09,,
2000-06,223.74M,,,,119.07M,,,,231.23M,-19.03M,,,,65.08M,-518.72M,-63.25M,540.93M,-59.50M,-313.43M,29.89M,-384.07M,236.02M,,2000-06,-413.66M,,-413.66M,-1.134B,,-1.027B,,2000-06,,,2.407B,18.39M,0.00,18.39M,,,,,-106.53M,26.73M,2.346B,,95.03M,7.218M,4.446M,98.38M,,2000-06,18.39M,,0.00,72.10M,262.71M,,2000-06,,
2000-03,133.15M,,,,22.68M,,,,181.50M,6.334M,,,,-9.003M,8.838M,54.58M,-0.951M,,,52.82M,115.28M,449.95M,,2000-03,-403.61M,,-403.61M,-986.54M,,29.55M,,2000-03,,,1.032B,,-27.31M,-27.31M,,,,,-105.89M,15.56M,914.35M,,89.08M,3.707M,2.247M,95.03M,,2000-03,,,-27.31M,0.094M,111.31M,,2000-03,,
1999-12,110.53M,,,,-93.43M,,,,200.00M,18.41M,,,,102.35M,-234.48M,63.48M,115.01M,-58.87M,-284.68M,44.80M,-354.73M,-16.86M,,1999-12,-457.14M,,-457.14M,,,485.58M,,1999-12,,,881.74M,,-51.91M,-21.46M,,,,,-106.76M,428.29M,1.182B,,489.90M,-403.66M,,80.77M,,1999-12,,,-51.91M,124.00M,139.72M,,1999-12,,
1999-09,1.690B,,,,-2.226B,,,,288.80M,758.20M,,,,-79.70M,-162.20M,-3.30M,124.50M,19.80M,195.00M,-35.10M,138.70M,570.40M,,1999-09,-267.20M,,-267.20M,,,-586.30M,,1999-09,,,1.066B,,-38.80M,-38.80M,,,,,-106.90M,-213.50M,706.40M,,66.60M,423.30M,,489.90M,,1999-09,,,-38.80M,96.50M,121.60M,,1999-09,,
1999-06,74.80M,,,,-10.90M,,,,220.10M,-28.20M,,,,150.30M,45.90M,-126.20M,59.40M,-66.80M,0.70M,34.70M,-52.30M,353.80M,,1999-06,-262.30M,,-262.30M,,,-30.10M,,1999-06,,,251.20M,,,,,,,,-106.80M,-223.00M,-78.60M,,83.80M,-17.20M,,66.60M,,1999-06,,,,152.90M,121.00M,,1999-06,,
1999-03,-209.70M,,,,424.30M,,,,196.40M,-123.20M,,,,-65.90M,25.00M,117.50M,-92.50M,46.40M,-71.70M,-44.40M,-19.70M,202.20M,,1999-03,-179.00M,,-179.00M,,,17.60M,,1999-03,,,-251.30M,,,,,,,,-106.80M,371.40M,13.30M,,29.70M,54.10M,,83.80M,,1999-03,,,,28.30M,122.50M,,1999-03,,
1998-12,-404.49M,,,,664.10M,,,,,-269.80M,,,,-814.71M,717.60M,7.60M,-621.30M,117.00M,25.00M,-51.80M,194.10M,251.30M,,1998-12,-348.40M,,-348.40M,275.10M,-242.70M,-111.20M,,1998-12,,,174.40M,,,,,,,,-109.30M,84.20M,149.30M,,56.30M,-26.60M,,29.70M,,1998-12,,,,181.90M,110.80M,,1998-12,,
1998-09,251.80M,,,,19.10M,,,,,-31.70M,,,,317.10M,-770.60M,-111.10M,631.00M,-31.10M,-5.10M,90.60M,-196.30M,360.00M,,1998-09,-418.90M,-242.70M,-661.60M,-44.60M,242.70M,112.80M,,1998-09,,,133.70M,,,,,,,,-106.60M,-69.60M,-42.50M,,89.60M,-33.20M,,56.30M,,1998-09,,,,137.80M,123.70M,,1998-09,,
1998-06,41.60M,,,,280.30M,,,,,-68.30M,,,,127.40M,-14.20M,-49.70M,51.70M,-63.90M,41.20M,43.90M,9.00M,390.00M,,1998-06,-155.20M,242.70M,87.50M,-230.50M,,-186.30M,,1998-06,,,-274.50M,,,,,,,,-104.00M,268.20M,-110.30M,,139.10M,-49.60M,,89.60M,,1998-06,,,,149.50M,131.40M,,1998-06,,
