,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-06,1.798B,1.798B,866.32M,932.11M,-3.827M,119.13M,,,,372.50M,642.71M,289.40M,,,,-3.827M,,131.87M,45.74M,86.12M,149.52M,,-0.007M,,235.64M,157.41M,289.40M,,2002-06,0.29,,0.2984,0.79,,2002-06,,,0.2984,2002-06,297.70M,298.47M,0.375,,2002-06,,
2002-03,2.079B,2.079B,1.091B,988.11M,-7.229M,98.50M,,,,389.84M,637.11M,350.99M,,,,-7.229M,,212.35M,67.72M,144.64M,-113.16M,,0.241M,,31.48M,155.47M,350.99M,,2002-03,0.49,,0.5066,0.11,,2002-03,,,0.5066,2002-03,296.22M,297.17M,0.375,,2002-03,,
2001-12,2.008B,2.008B,1.071B,936.68M,3.817M,98.41M,,,,554.50M,792.47M,144.21M,,,,3.817M,,4.966M,-14.46M,19.43M,27.15M,0.00,,0.566M,46.58M,168.97M,144.21M,,2001-12,-0.25,,-0.2578,0.15,,2001-12,-0.0005,,-0.2578,2001-12,291.98M,294.30M,0.375,,2001-12,,
2001-09,2.300B,2.300B,1.062B,1.238B,2.012M,142.42M,,,,444.67M,803.38M,434.79M,,,,2.012M,,281.63M,98.56M,183.07M,172.00M,,-13.90M,0.097M,355.07M,108.80M,434.79M,,2001-09,0.63,,0.6255,1.22,,2001-09,,,0.6255,2001-09,290.32M,292.21M,0.375,,2001-09,,
2001-06,10.29B,10.29B,8.683B,1.610B,87.28M,142.73M,,,,630.26M,999.33M,610.47M,,,,87.28M,,499.41M,183.04M,316.36M,,-0.047M,-48.00M,0.098M,316.31M,227.94M,610.47M,,2001-06,1.09,,0.8992,1.09,,2001-06,-0.0002,,0.8911,2001-06,289.74M,292.74M,0.375,,2001-06,,
2001-03,13.28B,13.28B,11.77B,1.510B,50.42M,139.69M,,,,715.01M,1.050B,459.80M,,,,50.42M,,318.37M,110.15M,208.22M,-7.294M,61.67M,,0.097M,262.59M,195.05M,459.80M,,2001-03,0.72,,0.6052,0.91,,2001-03,0.2125,,0.6064,2001-03,287.34M,290.17M,0.375,,2001-03,,
2000-12,-9.096B,-9.096B,-9.121B,25.38M,-84.74M,120.43M,,,,464.20M,604.94M,-579.56M,,,,-84.74M,,-696.24M,-152.77M,-543.47M,,,,0.097M,-325.46M,193.67M,-579.56M,,2000-12,-2.44,,-2.209,-1.08,,2000-12,,,-2.209,2000-12,286.63M,286.63M,0.375,,2000-12,,
2000-09,9.502B,9.502B,7.703B,1.799B,27.46M,144.32M,,,,585.17M,1.023B,776.26M,,,,27.46M,,617.57M,221.81M,395.77M,-6.704M,,0.161M,0.097M,389.06M,299.91M,776.26M,,2000-09,1.38,,1.318,1.36,,2000-09,,,1.299,2000-09,285.18M,289.60M,0.375,,2000-09,,
2000-06,5.755B,5.755B,4.328B,1.427B,31.92M,115.04M,,,,564.19M,913.36M,513.95M,,,,31.92M,,346.55M,110.62M,235.93M,-19.45M,,-12.60M,0.098M,223.93M,231.23M,513.95M,,2000-06,0.83,0.0262,0.7535,0.79,,2000-06,,0.0260,0.7442,2000-06,284.24M,286.57M,0.375,,2000-06,,
2000-03,4.234B,4.234B,3.125B,1.109B,-1.504B,111.50M,,,,-1.054B,-760.80M,1.870B,,,,-1.504B,,189.09M,55.94M,133.15M,,,,0.097M,133.15M,181.50M,1.870B,,2000-03,0.47,,4.079,0.47,,2000-03,,,4.079,2000-03,293.42M,293.42M,0.375,,2000-03,,
1999-12,3.963B,3.963B,2.896B,1.067B,1.818B,100.44M,,,,2.304B,2.605B,-1.537B,,,,1.818B,,137.35M,26.82M,110.53M,,,,0.089M,-72.73M,200.00M,-1.537B,,1999-12,0.39,,-4.757,-0.25,,1999-12,,,-4.743,1999-12,284.25M,285.02M,0.375,,1999-12,,
1999-09,4.947B,4.947B,3.626B,1.321B,12.70M,113.60M,,,,-1.767B,-1.365B,2.686B,,,,12.70M,,2.568B,877.40M,1.690B,,,,0.10M,1.690B,288.80M,2.686B,,1999-09,5.92,,5.891,5.92,,1999-09,,,5.871,1999-09,285.47M,286.44M,0.375,,1999-09,,
1999-06,3.658B,3.658B,2.546B,1.112B,11.80M,126.20M,,,,511.10M,857.40M,254.73M,,,,11.80M,,126.30M,51.50M,74.80M,,,,0.10M,74.80M,220.10M,254.73M,,1999-06,0.26,,0.2354,0.26,,1999-06,,,0.2354,1999-06,287.31M,287.31M,0.375,,1999-06,,
1999-03,2.643B,2.643B,1.746B,897.00M,11.00M,117.30M,,,,724.50M,1.038B,-141.20M,,,,11.00M,,-266.20M,-56.50M,-209.70M,,,,0.10M,-209.70M,196.40M,-141.20M,,1999-03,-0.74,,-0.7706,-0.74,,1999-03,,,-0.7706,1999-03,283.51M,283.51M,0.375,,1999-03,,
1998-12,2.396B,2.396B,1.671B,725.12M,-1.165B,101.23M,,,,-85.38M,204.32M,520.80M,,,,-1.165B,,-778.53M,-236.76M,-541.77M,,,,0.09M,-404.49M,,520.80M,,1998-12,-1.42,,1.540,-1.42,,1998-12,,,1.540,1998-12,273.92M,273.92M,0.375,,1998-12,,
1998-09,3.466B,3.466B,2.113B,1.352B,19.00M,148.00M,,,,470.30M,885.50M,466.80M,,,,19.00M,,358.40M,106.60M,251.80M,,,,0.10M,251.80M,,466.80M,,1998-09,0.87,,0.8239,0.87,,1998-09,,,0.8239,1998-09,289.31M,289.31M,0.375,,1998-09,,
1998-06,2.737B,2.737B,1.540B,1.197B,16.60M,119.40M,,,,647.40M,995.10M,201.50M,,,,16.60M,,84.90M,43.30M,41.60M,,,,0.10M,41.60M,,201.50M,,1998-06,0.16,,0.1216,0.16,,1998-06,,,0.1216,1998-06,259.38M,259.38M,0.375,,1998-06,,
