,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDiluted,,SharesData(Quarterly),,SECFilingLinks,AsOriginallyReported,Restated
2001-06,181.95M,181.95M,89.03M,92.92M,,,64.02M,90.80M,6.475M,,,,,,161.30M,-68.38M,,,,,,-65.66M,-20.36M,-45.25M,0.052M,-41.02M,27.36M,-68.38M,,2001-06,-0.145,-0.145,,2001-06,-0.165,-0.165,,2001-06,,2001-06,,
2001-03,307.26M,307.26M,115.97M,191.29M,,,73.55M,107.46M,,,,,,,152.77M,38.52M,,,,,,-25.60M,-7.717M,-17.88M,-0.702M,77.23M,19.40M,38.52M,,2001-03,-0.125,-0.125,,2001-03,-0.125,-0.125,,2001-03,,2001-03,,
2000-12,640.32M,640.32M,292.14M,348.18M,,,93.87M,110.25M,,,,,,,222.81M,125.37M,,,,,,127.68M,39.70M,87.98M,-0.382M,144.06M,18.69M,125.37M,,2000-12,0.36,0.36,,2000-12,0.315,0.315,,2000-12,,2000-12,,
2000-09,219.90M,219.90M,106.93M,112.97M,,,64.56M,92.01M,,,,,,,173.12M,-60.15M,,,,,,-56.28M,-17.38M,-38.91M,-0.233M,-43.60M,16.56M,-60.15M,,2000-09,-0.135,-0.135,,2000-09,-0.15,-0.15,,2000-09,,2000-09,,
2000-06,154.80M,154.80M,67.54M,87.26M,,,57.40M,79.21M,,,,,,,151.64M,-64.38M,,,,,,-61.04M,-18.77M,-42.27M,-0.498M,-49.35M,15.02M,-64.38M,,2000-06,-0.1635,-0.1635,,2000-06,-0.1635,-0.1635,,2000-06,,2000-06,,
2000-03,294.31M,294.31M,131.87M,162.44M,,,65.43M,73.76M,,,,,,,154.51M,7.927M,,,,,,5.193M,1.742M,3.451M,-0.521M,23.25M,15.32M,7.927M,,2000-03,0.01,0.01,,2000-03,0.01,0.01,,2000-03,,2000-03,,
1999-12,600.70M,600.70M,291.30M,309.40M,,,95.70M,73.40M,,,,,,,179.80M,129.60M,,,,,,134.10M,41.20M,92.90M,0.20M,140.30M,10.70M,129.60M,,1999-12,0.37,0.37,,1999-12,0.345,0.345,,1999-12,,1999-12,,
1999-09,338.90M,338.90M,167.90M,171.00M,,,68.10M,68.40M,,,,,,,147.30M,23.70M,,,,,,26.70M,8.60M,18.10M,-0.10M,34.50M,10.80M,23.70M,,1999-09,0.075,0.075,,1999-09,0.07,0.07,,1999-09,,1999-09,,
1999-06,186.12M,186.12M,78.20M,107.92M,,,51.40M,47.50M,,,,,,,108.80M,-0.88M,,,,,,3.40M,1.10M,2.30M,0.10M,9.02M,9.90M,-0.88M,,1999-06,0.01,0.01,,1999-06,0.01,0.01,,1999-06,,1999-06,,
1999-03,277.80M,277.80M,122.90M,154.90M,,,60.40M,55.70M,,2.70M,,,,,125.50M,29.40M,,,,2.70M,,32.10M,10.20M,21.90M,0.10M,38.80M,9.40M,29.40M,,1999-03,0.0824,0.09,,1999-03,0.0825,0.0825,,1999-03,,1999-03,,
1998-12,520.20M,520.20M,260.90M,259.30M,,,79.60M,61.80M,,3.90M,,,,,156.80M,102.50M,,,,3.90M,,106.30M,33.80M,72.50M,-0.10M,117.90M,15.40M,102.50M,,1998-12,0.2890,0.30,,1998-12,0.29,0.29,,1998-12,,1998-12,,
1998-09,245.80M,245.80M,126.90M,118.90M,,,49.90M,48.30M,,-38.00M,,,,,106.50M,12.40M,,,,-38.00M,,-25.90M,-0.60M,-25.30M,-0.10M,20.70M,8.30M,12.40M,,1998-09,0.0491,-0.105,,1998-09,-0.105,-0.105,,1998-09,,1998-09,,
1998-06,178.20M,178.20M,80.20M,98.00M,,,49.10M,36.20M,,0.50M,,,,,92.70M,5.30M,,,,0.50M,,5.60M,1.90M,3.70M,-0.20M,12.70M,7.40M,5.30M,,1998-06,0.0137,0.015,,1998-06,0.015,0.015,,1998-06,,1998-06,,
