,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2004-06,24.22M,,,10.19M,,,16.21M,16.21M,,,,,36.82M,0.956M,-47.56M,-0.075M,-106.60M,,-116.46M,-65.84M,,-26.11M,15.43M,-10.68M,-0.012M,-985.30M,,-995.99M,,2004-06,,44.28M,,44.28M,,,,44.28M,,2004-06,2.150B,-1.018B,1.133B,,2004-06,44.28M,,,,,,2004-06,
2004-03,89.75M,,,29.13M,,,18.08M,18.08M,,,,,592.60M,3.057M,-31.12M,-61.66M,-82.92M,,419.95M,561.91M,,-34.06M,0.887M,-33.18M,-2.042M,991.38M,0.396M,956.56M,,2004-03,-0.128M,61.74M,0.225M,61.96M,-3.00M,,2.587M,61.42M,,2004-03,573.01M,1.580B,2.15B,,2004-03,61.74M,,0.225M,,,,2004-03,
2003-12,392.30M,,,2.755M,,,29.07M,29.07M,,,,,-653.56M,-25.65M,28.82M,-18.51M,323.63M,,-345.27M,78.84M,,-27.25M,0.025M,-27.22M,-0.958M,105.41M,-2.863M,74.36M,,2003-12,0.128M,26.38M,0.00,26.38M,5.10M,,-2.715M,28.90M,,2003-12,376.12M,182.11M,573.01M,,2003-12,26.38M,,0.00,,,,2003-12,
2003-09,76.59M,,,21.45M,,,17.62M,17.62M,,,,,-189.55M,-8.542M,71.37M,11.54M,62.08M,,-53.10M,62.56M,,-16.50M,0.05M,-16.45M,,-549.36M,5.10M,-560.71M,,2003-09,-0.135M,67.01M,-0.225M,66.78M,-5.10M,,0.128M,61.68M,,2003-09,810.70M,-436.47M,376.12M,,2003-09,67.01M,,-0.225M,,,,2003-09,
2003-06,18.37M,,,19.67M,,,13.22M,13.22M,,,,,56.52M,8.136M,-46.06M,1.625M,-105.79M,,-85.58M,-34.31M,,-12.19M,0.038M,-12.15M,,-173.43M,3.367M,-182.21M,,2003-06,0.135M,72.86M,,72.86M,,,,73.00M,,2003-06,950.00M,-143.52M,810.70M,,2003-06,72.86M,,,,,,2003-06,
2003-03,9.143M,,,111.01M,,,17.67M,17.67M,-29.00M,,,,519.76M,18.09M,-40.22M,-37.57M,-229.39M,,323.67M,430.49M,,-24.53M,0.321M,-24.21M,-0.132M,-238.16M,-9.469M,-271.97M,,2003-03,,22.12M,,22.12M,,,0.751M,22.87M,,2003-03,766.07M,181.39M,950.00M,,2003-03,22.12M,,,,,,2003-03,
2002-12,250.22M,,,18.85M,,,24.96M,24.96M,-8.689M,,,,-465.02M,-6.039M,26.50M,88.98M,265.19M,,-90.40M,194.94M,,-11.08M,0.268M,-10.82M,0.00,-100.62M,2.874M,-108.57M,,2002-12,,48.60M,,48.60M,,,0.00,48.60M,,2002-12,627.47M,134.97M,766.07M,,2002-12,48.60M,,,,,,2002-12,
2002-09,50.23M,,,19.70M,,,25.07M,25.07M,8.379M,,,,-22.23M,-12.75M,33.96M,-51.30M,30.87M,,-21.45M,81.93M,,-14.98M,0.032M,-14.94M,-12.87M,-54.00M,-0.251M,-82.06M,,2002-09,,41.39M,,41.39M,,,-0.751M,40.64M,,2002-09,588.54M,40.50M,627.47M,,2002-09,41.39M,,,,,,2002-09,
2002-06,7.404M,,,7.442M,,,24.31M,24.31M,0.31M,,,,70.49M,-0.294M,-2.237M,-34.11M,-66.67M,,-32.82M,6.643M,,-8.409M,0.379M,-8.03M,,7.787M,-0.154M,-0.397M,,2002-06,,19.89M,,19.89M,,,,19.89M,,2002-06,552.83M,26.14M,588.54M,,2002-06,19.89M,,,,,,2002-06,
2002-03,47.30M,,,15.01M,,,27.35M,27.35M,-41.56M,,,,270.67M,1.138M,-65.14M,45.17M,-4.368M,,247.48M,295.58M,,-11.46M,-0.529M,-11.99M,,-125.72M,-1.91M,-139.62M,,2002-03,11.92M,23.02M,-11.92M,11.10M,,,,23.02M,,2002-03,374.54M,178.98M,552.83M,,2002-03,23.02M,,-11.92M,,,,2002-03,
2001-12,132.29M,,,9.28M,-46.36M,-8.932M,28.26M,28.26M,0.084M,,,,-364.66M,-4.099M,74.01M,23.22M,172.09M,,-99.44M,70.47M,,-10.34M,0.033M,-10.31M,,16.48M,-0.10M,6.068M,,2001-12,-11.92M,25.66M,6.824M,32.48M,,,,20.56M,,2001-12,278.80M,97.10M,374.54M,,2001-12,25.66M,,6.824M,,,,2001-12,
2001-09,-32.82M,,,3.201M,23.47M,4.466M,27.94M,27.94M,-0.642M,,,,-27.73M,-4.799M,20.52M,-40.84M,4.28M,,-48.57M,-50.89M,,-14.68M,0.06M,-14.62M,,-64.73M,-0.003M,-79.35M,,2001-09,,16.20M,-6.824M,9.38M,,,,9.38M,,2001-09,397.22M,-120.87M,278.80M,,2001-09,16.20M,,-6.824M,,,,2001-09,
2001-06,-45.25M,,,15.84M,22.89M,4.466M,27.36M,27.36M,0.061M,,,,96.31M,-0.334M,-13.89M,-29.28M,-81.00M,,-28.19M,-30.18M,,-15.03M,0.735M,-14.30M,,-16.38M,3.021M,-27.65M,,2001-06,,33.96M,,33.96M,,,,33.96M,,2001-06,419.81M,-23.87M,397.22M,,2001-06,33.96M,,,,,,2001-06,
2001-03,-17.88M,,,23.40M,,,19.40M,19.40M,-34.05M,,,,182.26M,4.166M,2.035M,5.576M,7.704M,,201.74M,192.61M,,-15.49M,0.176M,-15.31M,,24.46M,1.00M,-32.42M,,2001-03,,41.77M,,41.77M,,,,41.77M,,2001-03,224.29M,201.96M,419.81M,,2001-03,41.77M,,,,,,2001-03,
2000-12,87.98M,,,19.95M,,,18.69M,18.69M,-0.03M,,,,-211.46M,-0.567M,-6.497M,26.52M,109.70M,,-82.31M,44.28M,,-18.00M,0.00,-18.00M,,2.797M,-0.06M,-15.26M,,2000-12,,13.43M,,13.43M,,,,13.43M,,2000-12,253.82M,42.44M,224.29M,,2000-12,13.43M,,,,,,2000-12,
2000-09,-38.91M,,,2.431M,,,16.56M,16.56M,0.912M,,,,-65.41M,6.42M,27.12M,-33.95M,39.59M,,-26.23M,-45.24M,,-36.19M,3.641M,-32.55M,,16.16M,-1.499M,-17.89M,,2000-09,,40.86M,,40.86M,,,,40.86M,,2000-09,204.46M,-22.27M,253.82M,,2000-09,40.86M,,,,,,2000-09,
2000-06,-42.27M,,,1.931M,,,15.02M,15.02M,0.084M,,,,148.39M,-2.719M,-50.13M,-2.382M,-65.64M,,27.52M,2.285M,,-50.67M,0.317M,-50.35M,,1.006M,2.221M,-47.12M,,2000-06,,6.577M,,6.577M,,,,6.577M,,2000-06,246.26M,-38.26M,204.46M,,2000-06,6.577M,,,,,,2000-06,
2000-03,3.451M,,,5.097M,,,15.32M,15.32M,3.494M,,,-0.10M,157.12M,-0.079M,3.573M,1.473M,-59.92M,,102.17M,129.44M,,-49.88M,0.386M,-49.50M,-44.00M,8.338M,-1.199M,-86.36M,,2000-03,,37.09M,,37.09M,,,7.763M,44.85M,,2000-03,157.40M,87.93M,246.26M,,2000-03,37.09M,,,,,,2000-03,
1999-12,92.80M,,,-10.60M,,,10.70M,10.70M,-0.60M,,,0.20M,-116.50M,1.00M,-5.90M,-18.80M,57.60M,,-82.60M,9.90M,,-37.70M,0.10M,-37.60M,0.00,4.30M,0.00,-33.30M,,1999-12,,25.50M,,25.50M,,,24.80M,50.30M,,1999-12,224.40M,26.90M,157.40M,,1999-12,25.50M,,,,,,1999-12,
1999-09,18.20M,,,10.60M,,,10.80M,10.80M,0.60M,,,-0.10M,-193.90M,-7.90M,51.80M,-15.40M,34.00M,,-131.40M,-91.30M,,-28.50M,-0.10M,-28.60M,-0.60M,28.40M,-2.80M,-3.60M,,1999-09,,29.30M,,29.30M,,,-5.00M,24.30M,,1999-09,201.90M,-70.60M,224.40M,,1999-09,29.30M,,,,,,1999-09,
1999-06,2.30M,,,-0.90M,,,9.90M,9.90M,-0.50M,,,,75.50M,6.40M,-19.80M,-37.00M,-38.60M,,-13.50M,-2.70M,,-18.80M,8.90M,-9.90M,,-46.30M,-0.10M,-56.30M,,1999-06,,13.70M,,13.70M,,,5.00M,18.70M,,1999-06,242.20M,-40.30M,201.90M,,1999-06,13.70M,,,,,,1999-06,
1999-03,21.90M,,,5.10M,,,9.40M,9.40M,,,,,164.80M,7.90M,-6.70M,-10.90M,-51.40M,,103.70M,128.10M,,-154.60M,0.10M,-154.50M,,93.80M,-0.50M,-61.20M,,1999-03,,14.80M,,5.80M,,,-4.00M,1.80M,,1999-03,0.00,68.70M,242.20M,,1999-03,14.80M,,,,,,1999-03,
1998-12,72.60M,,,-0.50M,,,15.40M,15.40M,,,,-0.20M,-115.80M,-4.10M,-7.50M,6.60M,86.80M,,-34.00M,53.30M,,106.70M,8.20M,114.90M,,-122.10M,2.00M,-5.20M,,1998-12,,5.20M,,5.20M,,,1.20M,6.40M,,1998-12,0.00,54.50M,0.00,,1998-12,5.20M,,,,,,1998-12,
1998-09,-25.30M,,,40.90M,,,8.30M,8.30M,,,,0.20M,-98.90M,-3.10M,30.50M,-18.20M,39.20M,,-50.50M,-26.40M,,-188.70M,,-188.70M,,127.10M,-4.30M,-65.90M,,1998-09,,9.40M,,9.40M,,,1.10M,10.50M,,1998-09,0.00,-81.80M,0.00,,1998-09,9.40M,,,,,,1998-09,
1998-06,3.70M,,,4.20M,,,7.40M,7.40M,,,,,38.20M,0.60M,-14.70M,-1.80M,-41.80M,,-19.50M,-4.20M,,-13.70M,,-13.70M,,-2.90M,-2.70M,-19.30M,,1998-06,,6.80M,,6.80M,,,3.80M,10.60M,,1998-06,216.00M,-12.90M,0.00,,1998-06,6.80M,,,,,,1998-06,
