,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-09,1.825B,640.00M,2.465B,547.00M,547.00M,7.00M,,293.00M,28.00M,328.00M,246.00M,249.00M,3.835B,0.00,20.00M,301.00M,768.00M,,14.00M,,1.103B,-686.00M,417.00M,1.182B,240.00M,1.422B,179.00M,109.00M,2.127B,5.962B,309.00M,,309.00M,801.00M,1.11B,,,,,,424.00M,424.00M,,1.534B,,,,,,,,400.00M,2008-09,3.00M,1.483B,2.034B,,508.00M,4.028B,,2008-09,,Restated
2008-06,1.199B,1.48B,2.679B,269.00M,269.00M,7.00M,,194.00M,22.00M,223.00M,154.00M,292.00M,3.617B,0.00,11.00M,282.00M,754.00M,,13.00M,,1.06B,-668.00M,392.00M,1.183B,259.00M,1.442B,177.00M,146.00M,2.157B,5.774B,167.00M,,167.00M,677.00M,844.00M,,,,,,192.00M,192.00M,,1.036B,,,,,,,,412.00M,2008-06,3.00M,1.793B,1.943B,,587.00M,4.326B,,2008-06,,Restated
2008-03,1.553B,1.463B,3.016B,306.00M,306.00M,4.00M,,121.00M,43.00M,168.00M,145.00M,290.00M,3.925B,0.00,11.00M,282.00M,731.00M,,14.00M,,1.038B,-642.00M,396.00M,1.152B,265.00M,1.417B,164.00M,157.00M,2.134B,6.059B,229.00M,,229.00M,610.00M,839.00M,,,,,,460.00M,460.00M,,1.299B,,,5.00M,5.00M,,,416.00M,421.00M,2008-03,3.00M,1.888B,1.864B,,584.00M,4.339B,,2008-03,,
2007-12,1.878B,1.542B,3.42B,830.00M,830.00M,11.00M,,131.00M,36.00M,178.00M,122.00M,347.00M,4.897B,0.00,11.00M,280.00M,710.00M,,10.00M,,1.011B,-618.00M,393.00M,737.00M,170.00M,907.00M,89.00M,159.00M,1.548B,6.445B,371.00M,,371.00M,714.00M,1.085B,,,,,,663.00M,663.00M,,1.748B,,,8.00M,8.00M,,,386.00M,394.00M,2007-12,3.00M,1.981B,1.726B,,593.00M,4.303B,,2007-12,,
2007-09,1.074B,1.818B,2.892B,424.00M,424.00M,7.00M,,96.00M,,103.00M,174.00M,260.00M,3.853B,0.00,67.00M,343.00M,688.00M,,17.00M,,1.115B,-608.00M,507.00M,737.00M,182.00M,919.00M,77.00M,164.00M,1.667B,5.52B,224.00M,,224.00M,410.00M,634.00M,,,,,,426.00M,426.00M,,1.06B,,,6.00M,6.00M,,,383.00M,389.00M,2007-09,3.00M,2.014B,1.602B,,452.00M,4.071B,,2007-09,,
2007-06,663.00M,2.186B,2.849B,123.00M,123.00M,10.00M,,64.00M,,74.00M,97.00M,252.00M,3.395B,0.00,66.00M,320.00M,657.00M,,19.00M,,1.062B,-568.00M,494.00M,736.00M,196.00M,932.00M,66.00M,138.00M,1.63B,5.025B,119.00M,,119.00M,358.00M,477.00M,,,,,,125.00M,125.00M,,602.00M,,,7.00M,7.00M,,,363.00M,370.00M,2007-06,3.00M,2.209B,1.48B,,361.00M,4.053B,,2007-06,,
2007-03,1.371B,1.605B,2.976B,256.00M,256.00M,1.00M,,61.00M,,62.00M,84.00M,219.00M,3.597B,0.00,65.00M,304.00M,635.00M,,10.00M,,1.014B,-530.00M,484.00M,734.00M,210.00M,944.00M,25.00M,96.00M,1.549B,5.146B,180.00M,,180.00M,756.00M,936.00M,,,,,,90.00M,90.00M,,1.026B,,,8.00M,8.00M,,,80.00M,88.00M,2007-03,3.00M,2.323B,1.412B,,294.00M,4.032B,,2007-03,,
2006-12,1.199B,1.447B,2.646B,551.00M,551.00M,1.00M,,71.00M,,72.00M,92.00M,170.00M,3.531B,0.00,64.00M,284.00M,569.00M,,19.00M,,936.00M,-485.00M,451.00M,730.00M,221.00M,951.00M,,110.00M,1.512B,5.043B,170.00M,,170.00M,851.00M,1.021B,,,,,,75.00M,75.00M,,1.096B,,,6.00M,6.00M,,,63.00M,69.00M,2006-12,3.00M,2.342B,1.345B,,188.00M,3.878B,,2006-12,,
2006-09,1.212B,1.164B,2.376B,267.00M,267.00M,7.00M,,60.00M,,67.00M,89.00M,210.00M,3.009B,0.00,62.00M,283.00M,556.00M,,8.00M,,909.00M,-461.00M,448.00M,709.00M,231.00M,940.00M,,114.00M,1.502B,4.511B,199.00M,,199.00M,580.00M,779.00M,,,,,,54.00M,54.00M,,833.00M,,,13.00M,13.00M,,13.00M,61.00M,74.00M,2006-09,3.00M,2.182B,1.249B,,157.00M,3.591B,,2006-09,,
2006-06,1.248B,1.149B,2.397B,41.00M,41.00M,6.00M,,53.00M,,59.00M,86.00M,231.00M,2.814B,0.00,59.00M,275.00M,507.00M,,14.00M,,855.00M,-437.00M,418.00M,646.00M,220.00M,866.00M,,95.00M,1.379B,4.193B,114.00M,,114.00M,506.00M,620.00M,,,,,,55.00M,55.00M,,675.00M,,,18.00M,18.00M,,13.00M,58.00M,76.00M,2006-06,3.00M,2.16B,1.159B,,107.00M,3.429B,,2006-06,,
2006-03,1.242B,1.19B,2.432B,199.00M,199.00M,1.00M,,60.00M,,61.00M,86.00M,234.00M,3.012B,0.00,57.00M,205.00M,486.00M,,59.00M,,807.00M,-415.00M,392.00M,647.00M,232.00M,879.00M,,103.00M,1.374B,4.386B,163.00M,,163.00M,654.00M,817.00M,,,,,,52.00M,52.00M,,869.00M,,,29.00M,29.00M,,12.00M,68.00M,97.00M,2006-03,3.00M,2.241B,1.081B,,83.00M,3.408B,,2006-03,,
2005-12,1.462B,1.261B,2.723B,567.00M,567.00M,1.00M,,75.00M,,76.00M,88.00M,208.00M,3.662B,0.00,57.00M,204.00M,497.00M,,45.00M,,803.00M,-428.00M,375.00M,,182.00M,182.00M,15.00M,97.00M,669.00M,4.331B,187.00M,,187.00M,760.00M,947.00M,,,,,,,,,947.00M,,,,,,13.00M,30.00M,30.00M,2005-12,3.00M,2.257B,994.00M,,87.00M,3.341B,,2005-12,,
2005-09,575.00M,1.837B,2.412B,328.00M,328.00M,,,,,74.00M,85.00M,208.00M,3.107B,0.00,58.00M,202.00M,472.00M,,42.00M,,774.00M,-410.00M,364.00M,,185.00M,185.00M,16.00M,82.00M,647.00M,3.754B,171.00M,,171.00M,558.00M,729.00M,,,,,,,,,729.00M,,,,,,12.00M,29.00M,29.00M,2005-09,3.00M,1.998B,877.00M,,106.00M,2.984B,,2005-09,,
2005-06,874.00M,1.875B,2.749B,167.00M,167.00M,2.00M,,64.00M,,66.00M,87.00M,194.00M,3.263B,0.00,59.00M,191.00M,464.00M,,36.00M,,750.00M,-391.00M,359.00M,,188.00M,188.00M,17.00M,91.00M,655.00M,3.918B,113.00M,,113.00M,597.00M,710.00M,,,,,,,,,710.00M,,,,,,10.00M,31.00M,31.00M,2005-06,3.00M,1.947B,1.121B,,96.00M,3.167B,,2005-06,,
2005-03,1.27B,1.828B,3.098B,296.00M,296.00M,2.00M,,60.00M,,62.00M,86.00M,164.00M,3.706B,0.00,60.00M,179.00M,446.00M,,43.00M,,728.00M,-375.00M,353.00M,,189.00M,189.00M,19.00M,103.00M,664.00M,4.37B,134.00M,,134.00M,694.00M,828.00M,,,,,,,,,828.00M,,,,,,11.00M,33.00M,33.00M,2005-03,3.00M,2.005B,1.434B,,56.00M,3.498B,,2005-03,,
2004-12,963.24M,1.606B,2.569B,892.13M,892.13M,1.601M,,82.82M,,84.42M,86.45M,183.23M,3.815B,0.00,61.22M,182.19M,440.99M,,,,684.40M,-355.39M,329.01M,,159.73M,159.73M,46.67M,85.29M,620.70M,4.436B,196.41M,,196.41M,867.81M,1.064B,,,,,,,,,1.064B,,,,,,,,37.00M,2004-12,3.07M,1.998B,1.310B,,23.72M,3.335B,,2004-12,,
2004-09,1.386B,1.104B,2.490B,379.39M,379.39M,7.544M,,71.73M,,79.27M,80.80M,140.88M,3.170B,0.00,57.49M,155.43M,419.90M,,,,632.82M,-335.34M,297.48M,,109.86M,109.86M,43.64M,81.40M,532.39M,3.703B,172.02M,,172.02M,587.28M,759.29M,,,,,,,,,759.29M,,,,,,,,36.62M,2004-09,3.051M,1.623B,1.265B,,16.47M,2.907B,,2004-09,,
2004-06,1.133B,1.238B,2.371B,169.62M,169.62M,6.611M,,46.42M,,53.03M,84.56M,163.22M,2.842B,0.00,57.70M,146.72M,420.52M,,,,624.94M,-332.07M,292.87M,,109.77M,109.77M,42.65M,83.16M,528.44M,3.370B,65.56M,,65.56M,520.43M,585.99M,,,,,,,,,585.99M,,,,,,,,37.65M,2004-06,3.035M,1.525B,1.211B,,7.212M,2.747B,,2004-06,,
2004-03,2.15B,266.00M,2.416B,212.00M,212.00M,2.00M,,53.00M,,55.00M,84.00M,162.00M,2.929B,0.00,60.00M,156.00M,385.00M,,28.00M,,629.00M,-331.00M,298.00M,,110.00M,110.00M,41.00M,86.00M,535.00M,3.464B,114.00M,,114.00M,630.00M,744.00M,,,,,,,,,744.00M,,,,,,,,42.00M,2004-03,3.00M,1.501B,1.154B,,20.00M,2.678B,,2004-03,,
2003-12,573.01M,1.254B,1.827B,837.02M,837.02M,6.368M,,58.40M,,64.77M,61.75M,117.94M,2.908B,,,,,,,,587.00M,-306.97M,280.03M,,109.01M,109.01M,13.61M,27.54M,430.19M,3.338B,158.74M,,158.74M,682.76M,841.51M,,,,,,,,,841.51M,,,,,,,,,2003-12,2.986M,1.411B,1.065B,,17.79M,2.497B,,2003-12,,
2003-09,376.12M,1.359B,1.735B,202.80M,202.80M,3.632M,,35.58M,,39.21M,117.68M,98.40M,2.193B,,,,,,,,580.27M,-306.97M,273.30M,,108.43M,108.43M,13.84M,28.41M,423.99M,2.617B,129.35M,,129.35M,416.25M,545.60M,,,,,,,,,545.60M,,,,,,,,,2003-09,2.972M,1.019B,1.037B,,12.90M,2.071B,,2003-09,,
2003-06,810.70M,812.59M,1.623B,37.21M,37.21M,1.827M,,15.21M,,17.03M,116.87M,122.10M,1.917B,,,,,,,,580.23M,-306.97M,273.26M,,109.20M,109.20M,13.82M,35.42M,431.69M,2.348B,67.38M,,67.38M,372.38M,439.76M,,,,,,,,,439.76M,,,,,,,,,2003-06,1.468M,942.26M,951.18M,,13.54M,1.908B,,2003-06,,
2003-03,950.00M,639.00M,1.589B,82.00M,82.00M,3.00M,,37.00M,,40.00M,117.00M,83.00M,1.911B,0.00,49.00M,129.00M,391.00M,,,,569.00M,-307.00M,262.00M,,88.00M,88.00M,14.00M,85.00M,449.00M,2.36B,106.00M,,106.00M,465.00M,571.00M,,,,,,,,,571.00M,,,,,,4.00M,,0.00,2003-03,1.00M,924.00M,858.00M,,2.00M,1.785B,,2003-03,,
2002-12,1.165B,1.341M,1.167B,609.03M,609.03M,2.612M,,30.60M,,33.22M,37.73M,82.64M,1.929B,,,,,,,,508.92M,-206.69M,302.23M,,119.41M,119.41M,55.63M,54.48M,531.74M,2.461B,146.82M,,146.82M,599.78M,746.60M,,,,,,,,,746.60M,,,,,,2.876M,,0.00,2002-12,1.471M,914.65M,796.95M,,-1.524M,1.712B,,2002-12,,
2002-09,920.77M,6.525M,927.29M,139.37M,139.37M,7.196M,,29.63M,,36.83M,36.41M,159.29M,1.299B,,,,,,,,513.75M,-206.69M,307.06M,,121.48M,121.48M,55.65M,63.71M,547.90M,1.847B,120.32M,,120.32M,317.18M,437.50M,,,,,,16.37M,16.37M,,453.88M,,,,,,1.42M,,0.00,2002-09,1.45M,664.43M,729.77M,,-3.87M,1.392B,,2002-09,,
2002-06,826.87M,5.403M,832.27M,118.35M,118.35M,1.757M,,22.32M,,24.07M,37.71M,117.87M,1.130B,,,,,,,,516.58M,-206.69M,309.89M,,108.21M,108.21M,,125.49M,543.59M,1.674B,86.33M,,86.33M,298.96M,385.29M,,,,,,,,,385.29M,,,,,,2.462M,,0.00,2002-06,1.453M,614.20M,675.96M,,-5.499M,1.286B,,2002-06,,
2002-03,796.94M,6.869M,803.80M,190.50M,190.50M,1.025M,,22.76M,,23.78M,,134.46M,1.153B,0.00,60.37M,97.94M,357.20M,,,,515.52M,-206.69M,308.83M,,110.51M,110.51M,,127.49M,546.83M,1.699B,88.56M,,88.56M,364.42M,452.98M,,,,,,,,,452.98M,,,,,,3.098M,,0.00,2002-03,1.446M,606.80M,649.78M,,-14.72M,1.243B,,2002-03,,
2001-12,486.84M,7.282M,494.12M,463.38M,463.38M,3.216M,,21.70M,,24.92M,57.13M,129.54M,1.169B,,,,,,,,485.61M,-162.82M,322.79M,116.16M,,116.16M,2.945M,84.39M,526.28M,1.695B,153.70M,,153.70M,367.54M,521.24M,,,,,,,,,521.24M,,,,,,3.592M,,0.00,2001-12,1.442M,559.50M,632.93M,11.92M,-11.40M,1.171B,,2001-12,,
2001-09,407.94M,4.581M,412.53M,103.54M,103.54M,1.879M,,18.94M,,20.82M,57.67M,148.26M,742.81M,,,,,,,,499.95M,-162.82M,337.13M,,124.23M,124.23M,2.841M,87.14M,551.34M,1.294B,79.69M,,79.69M,193.99M,273.68M,,,,,,,,,273.68M,,,,,,3.918M,,0.00,2001-09,1.432M,427.21M,607.28M,6.824M,-12.55M,1.017B,,2001-09,,
2001-06,460.19M,8.768M,468.96M,76.99M,76.99M,1.276M,,14.74M,,16.02M,56.81M,114.83M,733.61M,,,,,,,,500.18M,-162.82M,337.36M,,130.28M,130.28M,2.875M,84.86M,555.37M,1.289B,59.17M,,59.17M,187.84M,247.00M,,,,,,,,,247.00M,,,,,,4.31M,,0.00,2001-06,1.427M,460.03M,588.74M,,-12.53M,1.038B,,2001-06,,
2001-03,466.49M,10.02M,476.51M,174.45M,174.45M,0.976M,,14.71M,,15.69M,,152.08M,818.73M,0.00,58.20M,94.78M,347.04M,,,,500.02M,-162.82M,337.20M,,136.76M,136.76M,,86.23M,560.19M,1.379B,73.06M,,73.06M,241.93M,314.99M,,,,,,16.97M,16.97M,8.07M,340.03M,,,,,,4.545M,,0.00,2001-03,1.41M,505.29M,540.35M,,-12.70M,1.034B,,2001-03,,
2000-12,295.38M,17.25M,312.63M,,356.48M,,,,,19.85M,,120.45M,809.41M,,,,,,,,478.08M,-137.89M,340.19M,,103.89M,103.89M,,83.79M,527.87M,1.337B,68.19M,,68.19M,,68.19M,,,,,,,,251.86M,320.05M,,,,,,4.307M,,0.00,2000-12,1.39M,523.17M,488.19M,,0.17M,1.013B,,2000-12,,
2000-09,253.82M,17.15M,270.96M,,148.10M,,,,,19.28M,,143.76M,582.10M,,,,,,,,473.85M,-137.89M,335.96M,,108.59M,108.59M,,88.45M,533.00M,1.115B,74.69M,,74.69M,,74.69M,,,,,,,,142.22M,216.91M,,,,,,4.194M,,0.00,2000-09,1.383M,435.19M,459.44M,,-2.01M,894.00M,,2000-09,,
2000-06,296.94M,2.26M,299.20M,,84.97M,,,,,25.70M,,115.79M,525.67M,,,,,,,,448.27M,-129.83M,318.45M,,113.14M,113.14M,,79.73M,511.32M,1.037B,47.57M,,47.57M,,47.57M,,,,,,,,101.92M,149.50M,,,,,,4.138M,,0.00,2000-06,0.71M,474.10M,419.25M,,-10.70M,883.36M,,2000-06,,
2000-03,339.80M,0.236M,340.04M,234.09M,234.09M,,,,,22.99M,,108.21M,705.32M,,,,,,,,406.60M,-121.14M,285.47M,,117.24M,117.24M,,84.29M,486.99M,1.192B,97.70M,,97.70M,,97.70M,,,,,,,,167.60M,265.30M,,,,,,3.617M,,0.00,2000-03,0.704M,516.37M,412.68M,,-6.361M,923.39M,,2000-03,,
1999-12,157.40M,91.20M,248.60M,,377.90M,,,,,22.80M,,114.80M,764.10M,,,,,,,,356.30M,-112.50M,243.80M,,83.50M,83.50M,,89.40M,416.70M,1.181B,90.00M,,90.00M,,90.00M,,,,,,,,222.40M,312.40M,,,,,,3.10M,,0.00,1999-12,0.60M,512.90M,358.50M,,-6.80M,865.30M,,1999-12,,
1999-09,135.30M,95.20M,230.50M,,265.70M,,,,,23.90M,,115.30M,635.40M,,,,,,,,320.80M,-105.10M,215.70M,,86.10M,86.10M,,66.40M,368.20M,1.004B,95.90M,,95.90M,,95.90M,,,,,,,,164.80M,260.70M,,,,,,3.20M,,0.00,1999-09,0.60M,420.10M,318.10M,,0.90M,739.70M,,1999-09,,
1999-06,202.00M,122.10M,324.10M,,73.30M,,,,,16.00M,,101.90M,515.30M,,,,,,,,289.80M,-97.20M,192.60M,,88.10M,88.10M,,67.10M,347.80M,863.10M,44.10M,,44.10M,,44.10M,,,,,,,,133.30M,177.40M,,,,,,2.60M,,0.00,1999-06,,401.90M,,,,683.10M,,1999-06,,
1999-03,242.20M,,242.20M,149.50M,149.50M,,,,,22.40M,,155.40M,569.50M,,,,,,,,271.20M,-89.90M,181.30M,,90.70M,90.70M,,60.40M,332.40M,901.90M,63.90M,,63.90M,,63.90M,,,,,,,,172.30M,236.20M,,,,,,2.70M,0.10M,0.10M,1999-03,,402.10M,,,,662.90M,,1999-03,,
1998-12,177.50M,,177.50M,,314.70M,,,,,30.20M,,93.70M,616.10M,,,,,,,,195.80M,-26.60M,169.20M,,101.40M,101.40M,,49.80M,320.40M,936.50M,70.60M,,70.60M,,70.60M,,,,,,,,221.70M,292.30M,,,,,,2.90M,,0.00,1998-12,,381.50M,,,,641.30M,,1998-12,,
1998-09,124.10M,,124.10M,,202.30M,,,,,26.10M,,115.90M,468.40M,,,,,,,,172.00M,-14.30M,157.70M,,101.30M,101.30M,,51.90M,310.90M,779.30M,78.10M,,78.10M,,78.10M,,,,,,,,134.90M,213.00M,,,,,,2.50M,,0.00,1998-09,,309.00M,,,,563.80M,,1998-09,,
1998-06,201.70M,,201.70M,,100.00M,,,,,19.00M,,220.10M,540.80M,,,,,,,,190.10M,-81.40M,108.70M,,,,,53.60M,162.30M,703.10M,41.60M,,41.60M,,41.60M,,,,,,,,83.70M,125.30M,,,,,,2.30M,-0.10M,-0.10M,1998-06,,334.20M,,,,575.60M,,1998-06,,
