,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-06,,864.50M,,864.50M,853.30M,853.30M,375.60M,43.80M,375.60M,,795.00M,399.70M,,2.912B,0.00,14.50M,183.20M,1.166B,,1.113B,2.477B,-1.450B,1.027B,759.90M,150.10M,910.00M,12.70M,,314.70M,2.264B,5.177B,,329.80M,,329.80M,1.096B,1.425B,,,,,33.80M,,33.80M,,,,1.459B,1.388B,,1.388B,259.10M,24.00M,,406.70M,2.053B,3.513B,,2.60M,3.195B,1.146B,2.586B,,,-117.10M,1.64B,,AOR,Restated
2009-03,,640.60M,,640.60M,1.032B,1.032B,381.00M,34.40M,404.90M,,820.30M,403.50M,,2.896B,0.00,14.20M,177.30M,1.126B,,1.092B,2.410B,-1.400B,1.010B,735.50M,172.90M,908.40M,20.60M,,283.70M,2.223B,5.119B,,276.40M,,276.40M,1.025B,1.302B,,,,,140.70M,,140.70M,,,,1.442B,1.403B,,1.403B,,25.60M,,596.10M,1.999B,3.442B,,2.60M,3.213B,1.137B,2.586B,,,-114.70M,1.651B,,AOR,Restated
2008-12,,728.90M,,728.90M,1.034B,1.034B,208.30M,40.20M,447.50M,200.60M,896.60M,420.70M,,3.080B,0.00,14.40M,1.273B,1.116B,,,2.403B,-1.372B,1.031B,746.90M,180.50M,927.40M,,,283.90M,2.242B,5.322B,,310.30M,,310.30M,1.122B,1.433B,,,,,248.70M,,248.70M,,,,1.682B,1.406B,,1.406B,,25.60M,,554.90M,1.961B,3.643B,,2.60M,3.186B,1.126B,2.586B,,,-74.80M,1.654B,,,Restated
2008-09,,328.80M,,328.80M,1.165B,1.165B,212.70M,47.70M,561.40M,226.60M,1.048B,364.10M,,2.906B,0.00,14.60M,1.276B,1.111B,,,2.402B,-1.359B,1.043B,944.50M,,944.50M,,,288.40M,2.276B,5.182B,,331.50M,,331.50M,1.143B,1.474B,,,,,349.90M,,349.90M,,,,1.824B,1.082B,,1.082B,,23.10M,,536.10M,1.618B,3.442B,,2.60M,3.136B,1.118B,2.581B,,,40.30M,1.716B,,,Restated
2008-06,,401.70M,,401.70M,1.039B,1.039B,435.70M,56.80M,494.70M,,987.20M,359.50M,,2.787B,0.00,14.90M,183.50M,1.104B,,1.091B,2.394B,-1.350B,1.043B,708.90M,191.90M,900.80M,24.10M,,256.00M,2.224B,5.011B,,361.70M,,361.70M,1.219B,1.580B,,,,,118.70M,,118.70M,,,,1.699B,1.078B,,1.078B,147.80M,26.60M,,406.20M,1.632B,3.331B,,2.60M,3.085B,979.00M,2.524B,,,110.80M,1.653B,,,Restated
2008-03,,410.00M,,410.00M,1.138B,1.138B,193.80M,44.00M,493.30M,196.80M,927.90M,336.00M,,2.812B,0.00,14.90M,1.233B,1.077B,,,2.324B,-1.333B,991.10M,901.70M,,901.70M,,,347.70M,2.240B,5.052B,,339.00M,,339.00M,1.235B,1.574B,,,,,191.70M,,191.70M,,,,1.766B,1.086B,,1.086B,,30.30M,,613.00M,1.699B,3.465B,,2.60M,2.965B,922.30M,2.488B,,,155.70M,1.557B,,,Restated
2007-12,,319.50M,,319.50M,1.099B,1.099B,134.90M,55.20M,510.40M,198.50M,899.00M,296.10M,,2.614B,0.00,14.50M,1.172B,1.038B,,,2.224B,-1.281B,943.70M,901.00M,,901.00M,,,278.50M,2.123B,4.737B,,341.40M,,341.40M,1.174B,1.516B,,,,,198.90M,,198.90M,,,,1.715B,1.073B,,1.073B,,26.90M,,548.30M,1.622B,3.336B,,2.60M,2.875B,866.70M,2.475B,,,104.60M,1.374B,,,
2007-09,,211.40M,,211.40M,1.062B,1.062B,173.40M,44.00M,540.10M,211.00M,968.50M,285.50M,,2.528B,0.00,14.50M,1.136B,1.054B,,,2.205B,-1.288B,917.40M,901.10M,,901.10M,,,266.60M,2.085B,4.613B,,314.50M,,314.50M,1.061B,1.375B,,,,,396.30M,,396.30M,,,,1.772B,1.062B,,1.062B,,21.50M,,534.10M,1.596B,3.368B,,2.60M,2.758B,827.70M,2.45B,,,85.60M,1.223B,,,
2007-06,,253.70M,,253.70M,860.50M,860.50M,179.50M,49.20M,431.30M,195.80M,855.80M,269.40M,,2.239B,0.00,14.40M,1.085B,1.013B,,,2.112B,-1.232B,880.80M,651.30M,113.40M,764.70M,,,240.80M,1.886B,4.126B,,314.70M,,314.70M,1.126B,1.440B,,,,,60.40M,,60.40M,,,,1.501B,1.028B,,1.028B,,21.30M,,376.60M,1.405B,2.905B,,2.60M,2.732B,801.70M,2.392B,,,54.70M,1.199B,,,
2007-03,,202.00M,,202.00M,964.90M,964.90M,161.80M,40.70M,443.90M,159.90M,806.30M,292.70M,,2.266B,0.00,13.80M,1.044B,1.009B,,,2.067B,-1.236B,830.50M,684.10M,78.00M,762.10M,,,155.70M,1.748B,4.014B,,273.00M,,273.00M,1.234B,1.507B,,,,,141.20M,,141.20M,,,,1.648B,1.033B,,1.033B,,20.40M,,248.10M,1.281B,2.929B,,2.50M,2.619B,753.80M,2.392B,,,81.50M,1.065B,,,
2006-12,,251.80M,,251.80M,1.005B,1.005B,159.50M,40.10M,413.30M,170.10M,783.00M,287.10M,,2.327B,0.00,13.80M,1.020B,987.40M,,,2.021B,-1.214B,807.50M,683.90M,79.40M,763.30M,,,144.10M,1.715B,4.042B,,287.40M,,287.40M,1.240B,1.528B,,,,,189.90M,,189.90M,,,,1.718B,439.30M,,439.30M,,18.60M,,251.00M,690.30M,2.408B,,2.50M,2.525B,649.50M,1.642B,,,80.60M,1.616B,,,
2006-09,,180.70M,,180.70M,980.10M,980.10M,157.70M,41.30M,456.80M,178.20M,834.00M,276.60M,,2.271B,0.00,13.70M,977.70M,945.60M,,,1.937B,-1.161B,775.80M,682.60M,80.20M,762.80M,,,136.00M,1.675B,3.946B,,303.90M,,303.90M,1.132B,1.436B,,,,,204.40M,,204.40M,,,,1.640B,438.60M,,438.60M,,22.50M,,255.80M,694.40M,2.335B,,2.50M,2.420B,600.70M,1.498B,,,63.60M,1.589B,,,
2006-06,,368.60M,,368.60M,771.20M,771.20M,151.00M,44.20M,407.10M,164.00M,766.30M,270.80M,,2.177B,0.00,13.70M,952.50M,911.20M,,,1.877B,-1.119B,758.00M,635.80M,77.00M,712.80M,,,136.40M,1.607B,3.784B,,264.50M,,264.50M,1.084B,1.348B,,,,,89.70M,,89.70M,,,,1.438B,431.80M,,431.80M,,25.40M,,266.40M,698.20M,2.136B,,2.50M,2.362B,581.00M,1.388B,,,64.70M,1.622B,,,
2006-03,,268.30M,,268.30M,900.10M,900.10M,129.60M,30.40M,407.80M,150.30M,718.10M,256.70M,27.30M,2.170B,0.00,13.60M,911.20M,881.50M,,,1.806B,-1.097B,709.00M,635.90M,72.40M,708.30M,,,109.20M,1.526B,3.697B,,239.50M,,239.50M,1.090B,1.329B,,,,,119.10M,,119.10M,,,12.20M,1.460B,436.30M,,436.30M,,22.00M,,239.90M,676.20M,2.137B,,2.50M,2.317B,549.00M,1.340B,,,9.30M,1.538B,,,
2005-12,,370.30M,,370.30M,832.30M,832.30M,133.30M,35.70M,388.60M,169.00M,726.60M,227.60M,44.80M,2.202B,0.00,13.60M,900.20M,870.00M,,,1.784B,-1.091B,693.20M,,706.20M,706.20M,,,100.00M,1.499B,3.701B,,244.60M,,244.60M,1.072B,1.316B,,,,,209.60M,,209.60M,,,4.80M,1.531B,441.60M,,441.60M,,18.90M,,222.20M,663.80M,2.194B,,2.50M,2.258B,523.90M,1.293B,,,-3.60M,1.488B,,,
2005-09,,389.50M,,389.50M,915.20M,915.20M,130.00M,38.20M,458.40M,188.20M,814.80M,232.10M,127.80M,2.479B,0.00,13.70M,874.30M,855.90M,,,1.744B,-1.053B,690.80M,,700.10M,700.10M,,,97.40M,1.488B,3.968B,,255.10M,,255.10M,1.025B,1.280B,,,,,253.60M,,253.60M,,,6.40M,1.540B,444.90M,,444.90M,,16.80M,,232.00M,676.90M,2.217B,,2.50M,2.262B,510.00M,1.058B,,,17.90M,1.734B,,,
2005-06,,553.30M,,553.30M,776.60M,776.60M,149.90M,43.20M,403.40M,171.80M,768.30M,204.40M,,2.303B,0.00,13.60M,864.70M,830.30M,,,1.709B,-1.014B,694.20M,720.60M,71.80M,792.40M,,,96.60M,1.583B,3.886B,,249.40M,,249.40M,984.70M,1.234B,,,,,263.60M,,263.60M,,,,1.498B,451.10M,,451.10M,,15.80M,,228.40M,679.50M,2.177B,,2.50M,2.203B,465.20M,987.50M,,,9.40M,1.693B,,,
2005-03,,518.00M,,518.00M,921.50M,921.50M,141.40M,31.40M,404.60M,145.90M,723.30M,267.10M,,2.430B,0.00,13.90M,876.60M,858.00M,,,1.748B,-1.058B,690.40M,,756.60M,756.60M,,,107.30M,1.554B,3.984B,,251.00M,,251.00M,1.039B,1.290B,,,,,113.80M,,113.80M,,,,1.404B,441.80M,,441.80M,,18.50M,,206.40M,648.20M,2.052B,,2.50M,2.137B,465.30M,766.00M,,,75.40M,1.914B,,,
2004-12,,577.90M,,577.90M,844.40M,844.40M,163.10M,35.60M,345.20M,155.20M,699.10M,283.10M,,2.404B,0.00,13.90M,854.40M,837.00M,,,1.705B,-1.022B,683.10M,,757.30M,757.30M,,,109.90M,1.550B,3.955B,,293.60M,,293.60M,1.092B,1.385B,,,,,80.40M,,80.40M,,,,1.466B,472.80M,,472.80M,,16.70M,,198.40M,671.20M,2.137B,,2.50M,2.030B,424.90M,736.60M,,,80.10M,1.801B,,,
2004-09,,387.10M,,387.10M,902.20M,902.20M,131.40M,37.60M,395.80M,148.00M,712.80M,265.70M,,2.268B,0.00,13.70M,811.70M,782.10M,,,1.608B,-966.30M,641.20M,,752.60M,752.60M,,,112.70M,1.506B,3.774B,,260.70M,,260.70M,1.027B,1.288B,,,,,77.50M,,77.50M,,,,1.365B,472.60M,,472.60M,,12.30M,,187.70M,660.30M,2.026B,,2.40M,1.982B,371.60M,637.20M,,,17.40M,1.736B,,,
2004-06,,611.60M,,611.60M,664.90M,664.90M,148.10M,36.50M,317.70M,151.20M,653.50M,269.20M,,2.199B,0.00,13.60M,791.20M,763.00M,,,1.568B,-920.80M,647.00M,,744.20M,744.20M,,,117.70M,1.509B,3.708B,,267.30M,,267.30M,980.90M,1.248B,,,,,73.80M,,73.80M,,,,1.322B,461.50M,,461.50M,,15.50M,,175.60M,637.10M,1.959B,,2.40M,1.887B,382.30M,548.90M,,,10.50M,1.734B,,,
2004-03,,867.80M,,867.80M,786.70M,786.70M,96.90M,28.60M,328.60M,120.40M,574.50M,243.40M,,2.472B,0.00,13.70M,761.40M,770.30M,,,1.545B,-925.00M,620.40M,,737.10M,737.10M,,24.30M,87.90M,1.470B,3.942B,,226.10M,,226.10M,1.051B,1.277B,,,,,5.30M,,5.30M,,,,1.282B,836.30M,,836.30M,,18.00M,,164.30M,1.001B,2.283B,,2.40M,1.816B,356.90M,531.30M,,,-3.10M,1.641B,,,
2003-12,,869.90M,,869.90M,767.80M,767.80M,104.00M,27.70M,306.90M,135.70M,574.30M,242.50M,4.20M,2.459B,0.00,13.70M,746.30M,822.40M,,,1.582B,-960.70M,621.70M,,741.00M,741.00M,,33.40M,115.40M,1.512B,3.970B,,232.90M,,232.90M,1.074B,1.307B,,,,,4.90M,,4.90M,,,3.20M,1.315B,828.40M,,828.40M,,16.40M,,222.20M,1.051B,2.366B,,2.40M,1.718B,330.70M,452.60M,,,-10.10M,1.588B,,,
2003-09,,482.70M,,482.70M,841.00M,841.00M,109.10M,31.40M,349.20M,138.20M,627.90M,238.50M,,2.190B,0.00,13.40M,706.70M,790.60M,,,1.511B,-906.30M,604.40M,,762.00M,762.00M,,33.40M,110.30M,1.510B,3.700B,,242.90M,,242.90M,895.30M,1.138B,,,,,8.60M,,8.60M,,,,1.147B,833.50M,,833.50M,,13.10M,,203.20M,1.037B,2.184B,,2.40M,1.691B,315.80M,445.20M,,,-60.00M,1.504B,,,
2003-06,,364.10M,,364.10M,634.20M,634.20M,137.70M,34.10M,296.60M,130.60M,599.00M,247.60M,,1.845B,0.00,13.50M,152.70M,772.00M,538.60M,,1.477B,-869.10M,607.70M,,760.70M,760.70M,,38.70M,97.90M,1.505B,3.350B,,229.90M,,229.90M,815.90M,1.046B,,,,,7.80M,,7.80M,,,,1.054B,283.60M,,283.60M,,12.30M,360.00M,216.80M,860.40M,1.914B,,2.40M,1.614B,293.70M,433.00M,,,-53.10M,1.424B,,,
2003-03,,528.00M,,528.00M,733.10M,733.10M,119.10M,28.50M,292.70M,92.10M,532.40M,200.40M,,1.994B,0.00,13.20M,657.30M,733.10M,,,1.404B,-822.40M,581.20M,,699.10M,699.10M,,64.60M,129.20M,1.474B,3.468B,,185.50M,,185.50M,865.60M,1.051B,,,,,94.40M,,94.40M,,,,1.146B,274.20M,,274.20M,,,360.00M,212.00M,846.20M,1.992B,,2.40M,1.566B,270.20M,296.00M,,,-66.80M,1.476B,,,
2002-12,,654.80M,,654.80M,694.80M,694.80M,121.60M,27.80M,273.20M,112.00M,534.60M,201.00M,,2.085B,,,,1.302B,,,1.302B,-721.30M,581.20M,676.10M,17.60M,693.70M,,73.40M,132.10M,1.480B,3.566B,,202.50M,,202.50M,907.60M,1.110B,,,,,84.00M,,84.00M,,,,1.194B,323.70M,,323.70M,,,360.00M,255.10M,938.80M,2.133B,,2.40M,1.488B,267.60M,246.50M,,,-79.30M,1.433B,,,
2002-09,,357.20M,,357.20M,778.70M,778.70M,109.90M,26.00M,327.40M,117.30M,580.60M,214.40M,,1.931B,0.00,13.00M,144.50M,711.70M,465.60M,,1.335B,-755.10M,579.70M,,694.50M,694.50M,,73.30M,131.50M,1.479B,3.410B,,237.60M,,237.60M,773.40M,1.011B,,,,,6.50M,,6.50M,,,,1.018B,403.60M,,403.60M,,,360.00M,243.30M,1.007B,2.024B,,2.40M,1.431B,267.40M,218.60M,,,-96.90M,1.386B,,,
2002-06,,546.90M,,546.90M,624.80M,624.80M,117.50M,27.00M,272.20M,127.80M,544.50M,211.40M,,1.928B,0.00,13.00M,591.20M,697.80M,,,1.302B,-721.30M,580.70M,,694.00M,694.00M,,72.70M,141.50M,1.489B,3.416B,,216.40M,,216.40M,,216.40M,,,,,6.60M,,6.60M,,,736.60M,959.60M,403.90M,,403.90M,,,360.00M,231.10M,995.00M,1.955B,,2.40M,1.364B,268.80M,80.50M,,,-92.50M,1.462B,,,
2002-03,,469.00M,,469.00M,677.10M,677.10M,128.70M,18.70M,296.10M,71.40M,514.90M,192.60M,,1.854B,0.00,12.80M,541.00M,687.00M,,,1.241B,-670.80M,570.00M,687.40M,18.50M,705.90M,,67.10M,152.90M,1.496B,3.350B,,191.60M,,191.60M,666.10M,857.70M,,,,,5.30M,,5.30M,,,,863.00M,404.40M,,404.40M,,,360.00M,248.60M,1.013B,1.876B,,2.40M,1.407B,263.70M,80.50M,,,-118.90M,1.474B,,,
2001-12,,442.40M,,442.40M,663.80M,663.80M,117.80M,22.90M,307.10M,113.00M,560.80M,198.90M,,1.866B,0.00,12.90M,519.00M,673.50M,,,1.205B,-641.40M,564.00M,,707.00M,707.00M,,70.00M,150.00M,1.491B,3.357B,,153.40M,,153.40M,564.30M,717.70M,,,,,5.50M,,5.50M,,,145.60M,868.80M,407.20M,,407.20M,,,360.00M,257.50M,1.025B,1.894B,,2.40M,1.374B,260.30M,65.00M,,,-108.10M,1.463B,,,
2001-09,,157.40M,,157.40M,794.10M,794.10M,155.20M,20.20M,369.10M,103.40M,647.90M,196.20M,,1.796B,0.00,12.90M,481.50M,663.90M,,,1.158B,-606.40M,551.90M,708.00M,20.50M,728.50M,,71.70M,152.80M,1.505B,3.300B,,228.70M,,228.70M,624.00M,852.70M,,,,,17.30M,,17.30M,,,,870.00M,413.60M,,413.60M,,,360.00M,241.20M,1.015B,1.885B,,2.40M,1.322B,258.10M,65.00M,,,-101.80M,1.416B,,,
2001-06,,346.70M,,346.70M,580.60M,580.60M,172.90M,24.40M,308.00M,125.00M,630.30M,,181.30M,1.739B,0.00,12.70M,446.90M,640.70M,,,1.100B,-571.60M,528.70M,699.70M,21.00M,720.70M,,70.10M,160.40M,1.480B,3.219B,,239.80M,,239.80M,611.10M,850.90M,,,,,5.80M,,5.80M,,,,856.70M,410.90M,,410.90M,,,360.00M,239.10M,1.01B,1.867B,,2.40M,1.243B,258.30M,30.80M,,,-120.50M,1.352B,,,
2001-03,,383.50M,,383.50M,681.70M,681.70M,108.40M,26.40M,269.20M,84.60M,488.60M,213.50M,,1.767B,0.00,12.80M,427.00M,649.10M,,,1.089B,-561.30M,527.60M,699.70M,22.40M,722.10M,,57.50M,148.00M,1.455B,3.222B,,187.80M,,187.80M,667.20M,855.00M,,,,,6.10M,,6.10M,,,,861.10M,414.00M,,414.00M,,,360.00M,215.90M,989.90M,1.851B,,2.40M,1.240B,247.70M,30.80M,,,-87.90M,1.372B,,,
2000-12,,424.00M,,424.00M,663.10M,663.10M,115.70M,23.90M,262.00M,96.80M,498.40M,215.70M,,1.801B,0.00,13.00M,410.40M,627.50M,,,1.051B,-539.40M,511.50M,705.10M,23.20M,728.30M,,55.20M,149.00M,1.444B,3.245B,,223.00M,,223.00M,687.60M,910.60M,,,,,6.90M,,6.90M,,,,917.50M,414.30M,,414.30M,,,360.00M,224.90M,999.20M,1.917B,,2.40M,1.193B,242.90M,30.80M,,,-78.70M,1.328B,,,
2000-09,,233.80M,,233.80M,725.70M,725.70M,119.80M,25.40M,285.40M,90.90M,521.50M,220.70M,,1.702B,0.00,13.00M,393.40M,595.10M,,,1.002B,-512.60M,488.90M,706.30M,26.00M,732.30M,,49.30M,165.70M,1.436B,3.138B,,222.30M,,222.30M,700.90M,923.20M,,,,,6.60M,,6.60M,,,,929.80M,418.10M,,418.10M,,,360.00M,208.80M,986.90M,1.917B,,2.40M,1.083B,237.20M,30.70M,,,-70.90M,1.221B,,,
2000-06,,320.30M,,320.30M,550.20M,550.20M,,,,,546.30M,,201.70M,1.618B,,,,,,,974.20M,-493.90M,480.30M,,739.20M,739.20M,,,205.30M,1.425B,3.043B,,236.50M,,236.50M,,236.50M,,,,,7.00M,,7.00M,,,658.30M,901.80M,418.40M,,418.40M,,,,202.80M,621.20M,1.523B,,362.40M,1.009B,237.10M,30.70M,360.00M,,-57.10M,1.520B,,,
2000-03,,367.60M,,367.60M,606.90M,606.90M,,,,,444.90M,,188.80M,1.608B,,,,,,,909.70M,-471.60M,438.10M,,664.20M,664.20M,,,246.20M,1.348B,2.957B,,189.00M,,189.00M,,189.00M,,,,,7.00M,,7.00M,,,657.20M,853.20M,421.50M,,421.50M,,,,198.00M,619.50M,1.473B,,362.40M,969.10M,232.90M,30.70M,360.00M,,-49.70M,1.484B,,,
1999-12,,347.70M,,347.70M,686.90M,686.90M,,,,,463.50M,,197.00M,1.695B,,,,,,,875.60M,-456.20M,419.40M,,705.70M,705.70M,,,200.40M,1.326B,3.021B,,228.10M,,228.10M,,228.10M,,,,,6.80M,,6.80M,,,716.80M,951.70M,422.10M,,422.10M,,,,196.50M,618.60M,1.570B,,362.40M,927.30M,220.90M,21.20M,360.00M,,-39.10M,1.450B,,,
1999-09,,250.20M,,250.20M,699.00M,699.00M,,,,,510.40M,,189.00M,1.649B,,,,,,,837.60M,-438.20M,399.40M,,693.30M,693.30M,,,185.30M,1.278B,2.927B,,214.80M,,214.80M,,214.80M,,,,,111.70M,,111.70M,,,641.70M,968.20M,425.10M,,425.10M,,,,184.30M,609.40M,1.578B,,362.40M,831.10M,208.90M,20.10M,360.00M,-33.30M,-33.30M,1.349B,,,
1999-06,,347.50M,,347.50M,,533.70M,,,,,513.00M,,176.00M,1.570B,,,,,,,658.30M,-274.70M,383.60M,,608.50M,608.50M,,,184.40M,1.176B,2.747B,,223.10M,,223.10M,,223.10M,,,,,6.60M,,6.60M,,,632.50M,862.20M,422.50M,,422.50M,,,,177.50M,600.00M,1.462B,,362.40M,766.20M,211.60M,11.40M,360.00M,,-44.30M,1.284B,,,
1999-03,,370.10M,,370.10M,612.90M,612.90M,,,,,412.60M,,176.30M,1.572B,,,,,,,781.30M,-414.90M,366.40M,,615.20M,615.20M,,,163.50M,1.145B,2.717B,,157.00M,,157.00M,,157.00M,,,,,5.90M,,5.90M,,,675.10M,838.00M,425.60M,,425.60M,,,,204.20M,629.80M,1.468B,,360.00M,733.70M,,,360.00M,,,1.249B,,,
1998-12,,402.70M,,402.70M,649.00M,649.00M,,,,,449.90M,,181.20M,1.683B,,,,,,,757.20M,-402.90M,354.30M,,547.70M,547.70M,,,166.50M,1.068B,2.751B,,182.50M,,182.50M,,182.50M,,,,,6.10M,,6.10M,,,715.80M,904.40M,426.10M,,426.10M,,,,213.70M,639.80M,1.544B,,360.00M,695.90M,,,360.00M,,,1.207B,,,
1998-09,,204.40M,,204.40M,685.70M,685.70M,,,,,497.50M,,159.50M,1.547B,,,,,,,724.50M,-383.50M,341.00M,,555.20M,555.20M,,,160.50M,1.057B,2.604B,,165.50M,,165.50M,,165.50M,,,,,29.00M,,29.00M,,,686.30M,880.80M,425.50M,,425.50M,,,,172.30M,597.80M,1.479B,,360.00M,615.10M,,,360.00M,,,1.125B,,,
1998-06,,277.50M,,277.50M,,497.80M,,,,,513.20M,,166.10M,1.455B,,,,,,,700.70M,-364.90M,335.80M,,563.30M,563.30M,,,159.10M,1.058B,2.513B,,209.10M,,209.10M,,209.10M,,,,,11.50M,,11.50M,,,616.80M,837.40M,425.00M,,425.00M,,,,194.00M,619.00M,1.456B,,362.40M,559.60M,168.60M,,360.00M,,-34.20M,1.056B,,,
1998-03,,283.40M,,283.40M,557.00M,557.00M,,,,,423.70M,,172.70M,1.437B,,,,,,,712.30M,-390.10M,322.20M,,571.00M,571.00M,,,153.90M,1.047B,2.484B,,151.80M,,151.80M,,151.80M,,,,,7.30M,,7.30M,,,699.80M,858.90M,405.00M,,405.00M,,,,186.20M,591.20M,1.450B,,360.00M,531.40M,,,360.00M,,,1.034B,,,
1997-12,,292.60M,,292.60M,569.70M,569.70M,,,,,421.90M,,164.60M,1.449B,,,,,,,643.40M,-344.70M,298.70M,,494.30M,494.30M,,,148.10M,941.10M,2.390B,,160.90M,,160.90M,,160.90M,,,,,310.20M,,310.20M,,,694.40M,1.166B,,,,,,,,212.50M,1.378B,,360.00M,501.70M,,,360.00M,,,1.012B,,,
1997-09,,197.50M,,197.50M,567.90M,567.90M,,,,,426.60M,,155.90M,1.348B,,,,,,,615.20M,-344.70M,270.50M,,156.20M,156.20M,,,136.80M,563.50M,1.911B,,145.80M,,145.80M,,145.80M,,,,,45.70M,,45.70M,,,579.90M,771.40M,,,,,,,,200.00M,971.40M,,360.00M,432.30M,,,360.00M,,,940.00M,,,
1997-06,,255.60M,,255.60M,471.70M,471.70M,,,,,440.60M,,143.20M,1.311B,,,,,,,603.00M,-338.00M,265.00M,,161.30M,161.30M,,,135.70M,562.00M,1.873B,,165.80M,,165.80M,,165.80M,,,,,31.10M,,31.10M,,,562.60M,759.50M,,,,,,,,205.90M,965.40M,,360.00M,386.40M,,,360.00M,,,907.70M,,,
1997-03,,265.20M,,265.20M,571.40M,571.40M,,,,,358.40M,,161.20M,1.356B,,,,,,,573.00M,-323.30M,249.70M,,179.80M,179.80M,,,118.20M,547.70M,1.904B,,133.50M,,133.50M,,133.50M,,,,,53.80M,,53.80M,,,632.90M,820.20M,,,,,,,,192.90M,1.013B,,360.00M,378.40M,,,360.00M,,,890.80M,,,
1996-12,,288.50M,,288.50M,604.40M,604.40M,,,,,391.40M,,158.20M,1.442B,,,,,,,565.00M,-323.30M,241.70M,,138.30M,138.30M,,,116.80M,496.80M,1.939B,,148.40M,,148.40M,,148.40M,,,,,56.10M,,56.10M,,,688.90M,893.40M,,,,,,,,200.10M,1.094B,,360.00M,343.20M,,,360.00M,,,845.80M,,,
1996-09,,202.90M,,202.90M,621.20M,621.20M,,,,,467.50M,,159.90M,1.452B,,,,,,,552.60M,-314.00M,238.60M,,141.70M,141.70M,,,110.30M,490.60M,1.942B,,147.90M,,147.90M,,147.90M,,,,,154.00M,,154.00M,,,645.20M,947.10M,20.30M,,20.30M,,,,179.30M,199.60M,1.147B,,360.00M,289.10M,,,360.00M,,,795.40M,,,
1996-06,,254.80M,,254.80M,476.20M,476.20M,,,,,452.80M,,148.80M,1.333B,,,,,,,529.60M,-300.30M,229.30M,,146.60M,146.60M,,,113.10M,489.00M,1.822B,,175.30M,,175.30M,,175.30M,,,,,105.60M,,105.60M,,,584.20M,865.10M,21.90M,,21.90M,,,,180.40M,202.30M,1.067B,,360.00M,252.20M,,,360.00M,,,754.20M,,,
1996-03,,243.80M,,243.80M,537.80M,537.80M,,,,,402.90M,,122.70M,1.307B,,,,,,,508.40M,-289.60M,218.80M,,150.30M,150.30M,,,97.40M,466.50M,1.774B,,147.50M,,147.50M,,147.50M,,,,,56.90M,,56.90M,,,603.40M,807.80M,42.10M,,42.10M,,,,170.10M,212.20M,1.02B,,360.00M,240.80M,,,360.00M,,,753.70M,,,
1995-12,,312.70M,,312.70M,495.20M,495.20M,,,,,410.60M,,127.90M,1.346B,,,,,,,498.60M,-282.40M,216.20M,,152.70M,152.70M,,,110.90M,479.80M,1.826B,,154.10M,,154.10M,,154.10M,,,,,82.80M,,82.80M,,,630.60M,867.50M,43.60M,,43.60M,,,,171.20M,214.80M,1.082B,,360.00M,228.50M,,,360.00M,,,743.90M,,,
1995-09,,224.20M,,224.20M,568.10M,568.10M,,,,,425.60M,,179.50M,1.397B,,,,,,,477.50M,-275.20M,202.30M,,42.40M,42.40M,,,203.90M,448.60M,1.846B,,156.40M,,156.40M,,156.40M,,,,,162.20M,,162.20M,,,583.50M,902.10M,63.90M,,63.90M,,,,161.10M,225.00M,1.127B,,360.00M,273.00M,,,360.00M,,,718.90M,,,
1995-06,,267.90M,,267.90M,447.50M,447.50M,,,,,392.50M,,174.90M,1.283B,,,,,,,468.20M,-269.20M,199.00M,,42.00M,42.00M,,,197.90M,438.90M,1.722B,,166.80M,,166.80M,,166.80M,,,,,128.50M,,128.50M,,,517.90M,813.20M,65.50M,,65.50M,,,,147.90M,213.40M,1.027B,,360.00M,242.20M,,,360.00M,,,695.10M,,,
