,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-06,1.219B,1.219B,287.30M,932.00M,802.10M,,,,,,844.40M,87.60M,,,,,,90.40M,27.30M,56.40M,-3.40M,,-2.80M,5.80M,53.00M,56.40M,134.60M,47.00M,87.60M,,0.095,0.005,,0.095,0.10,,0.095,0.005,,0.095,0.10,,459.80M,464.60M,0.00,,,
2003-03,1.234B,1.234B,313.80M,919.70M,790.40M,,,,,,790.40M,129.30M,,,,,,126.30M,41.30M,85.00M,-1.20M,,-1.10M,5.90M,83.80M,85.00M,172.00M,42.70M,129.30M,,0.17,0.00,,0.17,0.17,,0.17,-0.005,,0.17,0.165,,464.20M,468.00M,0.00,,,
2002-12,1.407B,1.407B,368.90M,1.038B,867.30M,,,,,,867.30M,171.20M,,,,,,169.00M,56.70M,110.20M,-0.60M,,-2.10M,5.80M,109.60M,110.20M,214.60M,43.40M,171.20M,,0.225,0.00,,0.225,0.225,,0.22,0.00,,0.22,0.22,,466.20M,470.00M,0.10,,,
2002-09,1.242B,1.242B,357.10M,885.40M,771.00M,,,,,,771.00M,114.40M,,,,,,111.50M,37.40M,73.40M,,,-0.70M,5.90M,73.40M,73.40M,156.10M,41.70M,114.40M,,0.145,0.00,,0.145,0.145,,0.14,0.00,,0.14,0.14,,470.40M,474.80M,0.00,,,
2002-06,1.097B,1.097B,253.60M,843.20M,752.50M,,,,,,769.00M,74.20M,,,,,,-33.00M,-12.70M,-25.00M,,0.00,-0.80M,5.80M,-46.00M,-25.00M,118.60M,44.40M,74.20M,,-0.06,-0.005,0.00,-0.06,-0.065,,-0.06,-0.005,-0.0000,-0.06,-0.065,,475.80M,482.20M,0.025,,,
2002-03,1.122B,1.122B,318.30M,803.40M,722.30M,,,,,,722.30M,81.10M,,,,,,77.80M,27.10M,50.70M,,,-0.70M,5.90M,50.70M,50.70M,121.30M,40.20M,81.10M,,0.095,0.00,,0.095,0.095,,0.095,0.00,,0.095,0.095,,475.80M,480.80M,0.025,,,
2001-12,1.298B,1.298B,343.30M,954.90M,811.40M,,,,,,811.40M,143.50M,,,,,,141.60M,48.90M,90.10M,,,-2.60M,5.80M,90.10M,90.10M,183.20M,39.70M,143.50M,,0.175,0.00,,0.175,0.175,,0.175,0.00,,0.175,0.175,,476.20M,481.40M,0.025,,,
2001-09,1.195B,1.195B,345.30M,849.50M,696.60M,,,,,,696.60M,152.90M,,,,,,149.10M,51.40M,97.10M,,-20.60M,-0.60M,5.90M,76.50M,97.10M,190.60M,37.70M,152.90M,,0.19,-0.04,0.00,0.19,0.15,,0.19,-0.04,-0.0431,0.19,0.15,,477.80M,484.60M,0.025,,,
2001-06,1.097B,1.097B,459.00M,637.70M,550.30M,,,,,,566.60M,71.10M,,,,,,32.10M,11.70M,20.40M,,0.00,-0.50M,5.80M,20.40M,20.40M,114.40M,43.30M,71.10M,,0.03,0.00,0.00,0.03,0.03,,0.03,0.00,0.0000,0.03,0.03,,477.40M,484.40M,0.025,,,
2001-03,1.102B,1.102B,226.10M,875.60M,770.30M,,,,,,770.30M,105.30M,,,,,,102.30M,37.20M,65.10M,,,-1.00M,5.90M,65.10M,65.10M,144.10M,38.80M,105.30M,,0.125,0.00,,0.125,0.125,,0.12,0.00,,0.12,0.12,,476.80M,484.00M,0.025,,,
2000-12,1.292B,1.292B,278.00M,1.014B,810.10M,,,,,,810.10M,203.50M,,,,,,199.00M,71.70M,127.30M,,,-0.20M,5.80M,127.30M,127.30M,244.20M,40.70M,203.50M,,0.255,0.00,,0.255,0.255,,0.25,0.00,,0.25,0.25,,476.40M,484.40M,0.025,,,
2000-09,1.178B,1.178B,263.30M,914.40M,761.10M,,,,,,761.10M,153.30M,,,,,,148.00M,53.40M,94.60M,,-2.20M,-0.20M,5.90M,92.40M,94.60M,193.40M,40.10M,153.30M,,0.185,-0.005,0.00,0.185,0.18,,0.185,-0.005,-0.0046,0.185,0.18,,476.20M,484.40M,0.025,,,
2000-06,1.072B,1.072B,580.20M,492.20M,506.20M,,,,,,398.40M,93.80M,,,,,,90.60M,33.40M,57.20M,,,,5.80M,57.20M,57.20M,132.80M,39.00M,93.80M,,0.105,0.00,,0.105,0.105,,0.105,0.00,,0.105,0.105,,475.40M,485.00M,0.025,,,
2000-03,1.039B,1.039B,193.20M,845.90M,709.00M,,,,,,746.50M,99.40M,,,,,,96.10M,35.70M,60.40M,,,,5.90M,60.40M,60.40M,136.90M,37.50M,99.40M,,0.115,0.00,,0.115,0.115,,0.11,0.00,,0.11,0.11,,476.00M,485.60M,0.025,,,
1999-12,1.235B,1.235B,283.10M,952.00M,765.90M,,,,,,765.90M,186.10M,,,,,,180.90M,67.00M,113.90M,,,,5.80M,113.90M,113.90M,222.40M,36.30M,186.10M,,0.23,0.00,,0.23,0.23,,0.225,0.00,,0.225,0.225,,475.00M,484.40M,0.025,,,
1999-09,1.094B,1.094B,217.80M,875.90M,705.40M,,,,,,739.40M,136.50M,,,,,,131.10M,48.50M,82.60M,,,,5.90M,82.60M,82.60M,170.50M,34.00M,136.50M,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,479.38M,479.38M,0.025,,,
1999-06,908.70M,908.70M,175.80M,732.90M,621.10M,,,,,,649.70M,83.20M,,,,,,80.80M,30.40M,50.40M,,,,5.80M,50.40M,50.40M,111.80M,28.60M,83.20M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,487.85M,491.51M,0.025,,,
1999-03,964.80M,964.80M,186.30M,778.50M,658.40M,,,,,,688.20M,90.30M,,,,,,86.90M,33.30M,53.60M,,,,5.90M,53.60M,53.60M,120.30M,30.00M,90.30M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,477.00M,477.00M,0.0212,,,
1998-12,1.091B,1.091B,220.80M,870.20M,679.40M,,,,,,708.40M,161.80M,,,,,,157.00M,59.70M,97.30M,,,,5.80M,97.30M,97.30M,190.80M,29.00M,161.80M,,0.195,0.00,,0.195,0.195,,0.19,0.00,,0.19,0.19,,469.23M,481.58M,0.0212,,,
1998-09,997.00M,997.00M,199.90M,797.10M,645.80M,,,,,,675.50M,121.60M,,,,,,115.50M,43.90M,71.60M,,,,5.90M,71.60M,71.60M,151.30M,29.70M,121.60M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,469.29M,469.29M,0.0212,,,
1998-06,845.00M,845.00M,163.80M,681.20M,576.90M,,,,,,603.80M,77.40M,,,,,,73.30M,29.30M,44.00M,,,0.00,5.80M,44.00M,44.00M,104.30M,26.90M,77.40M,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,473.86M,476.00M,0.0212,,,
1998-03,871.50M,871.50M,168.00M,703.50M,595.60M,,,,,,622.70M,80.80M,,,,,,76.80M,31.10M,45.70M,,,-0.90M,5.90M,45.70M,45.70M,107.90M,27.10M,80.80M,,0.085,0.00,,0.085,0.085,,0.085,0.00,,0.085,0.085,,468.24M,468.24M,0.0212,,,
1997-12,1.001B,1.001B,205.60M,795.30M,626.70M,,,,,,650.40M,144.90M,,,,,,143.20M,57.90M,85.30M,,,-1.60M,5.80M,85.30M,85.30M,168.60M,23.70M,144.90M,,0.17,0.00,,0.17,0.17,,0.165,0.00,,0.165,0.165,,467.65M,481.82M,0.0212,,,
1997-09,900.60M,900.60M,184.60M,716.00M,590.20M,1.00M,,,,,610.00M,106.00M,,,,1.00M,,104.60M,42.80M,61.80M,,,-2.40M,5.90M,61.80M,61.20M,125.80M,19.80M,106.00M,,0.12,0.00,,0.1187,0.12,,0.12,0.00,,0.1187,0.12,,465.83M,465.83M,0.0212,,,
1997-06,775.90M,775.90M,160.00M,615.90M,532.50M,,,,,,552.90M,63.00M,,,,,,64.20M,27.50M,36.70M,,,-1.40M,5.80M,36.70M,36.70M,83.40M,20.40M,63.00M,,0.065,0.00,,0.065,0.065,,0.06,0.00,,0.06,0.06,,473.74M,499.53M,0.0212,,,
1997-03,791.40M,791.40M,148.10M,643.30M,555.20M,2.30M,,,,,574.40M,68.90M,,,,2.30M,,68.20M,29.90M,38.30M,,,-3.00M,5.90M,38.30M,36.92M,88.10M,19.20M,68.90M,,0.07,0.00,,0.0670,0.07,,0.07,0.00,,0.0670,0.07,,462.86M,462.86M,0.0212,,,
1996-12,941.50M,941.50M,198.60M,742.90M,598.00M,,,,,,617.00M,125.90M,,,,,,120.40M,50.50M,69.90M,,,-5.60M,5.80M,69.90M,69.90M,144.90M,19.00M,125.90M,,0.135,0.00,,0.135,0.135,,0.135,0.00,,0.135,0.135,,474.81M,474.81M,0.0212,,,
1996-09,872.80M,872.80M,182.40M,690.40M,571.70M,,,,,,589.10M,101.30M,,,,,,97.20M,44.50M,52.70M,,,-2.90M,5.90M,52.70M,52.70M,118.70M,17.40M,101.30M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,468.00M,468.00M,0.0212,,,
1996-06,736.70M,736.70M,147.00M,589.70M,522.70M,0.00,,,,,539.60M,50.10M,,,,0.00,,47.80M,20.50M,27.30M,,,-3.30M,5.80M,27.30M,27.30M,67.00M,16.90M,50.10M,,0.045,0.00,,0.045,0.045,,0.045,0.00,,0.045,0.045,,368.59M,368.59M,0.0212,,,
1996-03,763.90M,763.90M,144.20M,619.70M,542.20M,0.40M,,,,,561.40M,58.30M,,,,0.40M,,54.60M,26.40M,28.20M,,,-4.10M,5.90M,28.20M,27.96M,77.50M,17.60M,58.30M,,0.05,0.00,,0.0495,0.05,,0.05,0.00,,0.0495,0.05,,446.00M,446.00M,0.02,,,
1995-12,860.80M,860.80M,198.20M,662.60M,541.40M,1.10M,,,,,553.60M,109.00M,,,,1.10M,,105.80M,47.30M,58.50M,,,-4.30M,30.20M,58.50M,57.84M,122.80M,13.80M,109.00M,,0.115,0.00,,0.1131,0.115,,0.115,0.00,,0.1131,0.115,,342.22M,342.22M,,,,
1995-09,833.10M,833.10M,182.80M,650.30M,546.90M,1.60M,,,,,557.40M,92.90M,,,,1.60M,,90.50M,44.10M,46.40M,,,-2.60M,15.60M,46.40M,45.44M,103.40M,10.50M,92.90M,,0.09,0.00,,0.0872,0.09,,0.09,0.00,,0.0872,0.09,,342.22M,342.22M,,,,
1995-06,698.20M,698.20M,,,,,,,,,,-1.97B,,,,,,,,15.80M,,,,,15.80M,15.80M,-1.97B,,-1.97B,,-0.0202,,,-0.0202,-0.0202,,-0.0202,,,-0.0202,-0.0202,,469.20M,469.20M,,,,
1995-03,702.80M,702.80M,,,,,,,,,,702.80M,,,,,,,,20.50M,,,,,20.50M,20.50M,702.80M,,702.80M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,410.00M,410.00M,,,,
1994-12,759.10M,759.10M,,,,,,,,,,759.10M,,,,,,,,51.30M,,,,,51.30M,51.30M,759.10M,,759.10M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,469.20M,469.20M,,,,
1994-09,739.00M,739.00M,,,,,,,,,,739.00M,,,,,,,,33.60M,,,,,33.60M,33.60M,739.00M,,739.00M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,469.20M,469.20M,,,,
