,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-03,50.80M,,1.00M,20.90M,20.90M,9.30M,,,,,-0.10M,-15.30M,,,,-13.00M,-6.90M,-15.70M,-50.90M,1.20M,32.20M,-3.30M,,-3.30M,-5.60M,,-6.50M,-15.40M,,,4.90M,12.60M,-30.00M,-17.40M,,-2.80M,,-2.40M,-17.70M,38.10M,-0.90M,-1.00M,36.20M,12.60M,,,-30.00M
2003-12,28.00M,,50.70M,21.60M,21.60M,5.30M,,,,,,18.80M,,,,-33.30M,-9.40M,28.30M,4.40M,-9.00M,101.00M,-2.80M,,-2.80M,0.00,,-17.20M,-20.00M,,,-46.50M,2.80M,-29.60M,-26.80M,,-2.90M,,-3.60M,-80.30M,33.50M,0.70M,5.00M,38.10M,2.80M,,,-29.60M
2003-09,51.20M,,-8.70M,25.20M,25.20M,8.00M,,,,,,8.00M,,,,23.70M,1.70M,-27.50M,5.90M,10.00M,91.60M,-3.10M,,-3.10M,-0.10M,,-9.90M,-13.10M,,,-43.10M,4.40M,-35.50M,-31.10M,,-2.70M,,0.30M,-76.10M,30.80M,2.40M,0.30M,33.50M,4.40M,,,-35.50M
2003-06,41.90M,,7.40M,24.10M,24.10M,-0.50M,,,,,,1.60M,,,,4.10M,-4.90M,,0.80M,-0.60M,73.10M,-4.50M,,-4.50M,-27.90M,,-7.30M,-39.70M,,,-26.70M,9.60M,-10.40M,-0.80M,,-2.80M,,-0.40M,-30.70M,25.80M,2.70M,2.30M,30.80M,9.60M,,,-10.40M
2003-03,43.80M,,1.30M,23.20M,23.20M,3.00M,,,,,,-10.60M,,,,-26.10M,-6.20M,,-42.90M,0.40M,28.80M,-3.80M,,-3.80M,-12.70M,,-9.50M,-26.00M,,,11.10M,2.70M,-19.40M,-16.70M,,-2.90M,,0.30M,-8.20M,30.50M,-5.40M,0.70M,25.80M,2.70M,,,-19.40M
2002-12,38.40M,,20.30M,21.60M,21.60M,8.10M,,,,,,14.40M,,,,-32.90M,-8.70M,38.40M,11.20M,-2.50M,97.10M,22.90M,,63.90M,-103.10M,,-83.90M,-123.10M,,,26.00M,2.60M,-1.10M,1.50M,,-2.80M,,0.30M,25.00M,30.10M,-1.00M,0.50M,29.40M,2.60M,,,-1.10M
2002-09,50.50M,,-0.70M,19.40M,19.40M,3.30M,,,,,,-3.10M,,,,18.90M,7.90M,-38.40M,-14.70M,0.80M,58.60M,-32.10M,,-32.10M,-130.40M,,49.60M,-112.90M,,,85.30M,2.10M,-26.70M,-24.60M,,-2.80M,,0.20M,58.10M,28.10M,3.80M,-1.80M,30.10M,2.10M,,,-26.70M
2002-06,47.40M,,0.40M,19.40M,19.40M,3.30M,,,,,,7.20M,,,,-4.20M,-19.10M,,-16.10M,-0.50M,53.90M,-2.40M,,-2.40M,-65.20M,,-6.00M,-73.60M,,,37.50M,6.40M,-21.90M,-15.50M,,-2.90M,,0.20M,19.30M,29.60M,-0.40M,-1.10M,28.10M,6.40M,,,-21.90M
2002-03,41.70M,,0.30M,19.30M,19.30M,3.20M,,,,,,9.00M,,,,-13.10M,-22.60M,,-26.70M,-0.20M,37.60M,-0.90M,,-0.90M,-22.50M,,-7.60M,-31.00M,,,-0.10M,23.10M,-30.10M,-7.00M,,-2.90M,,0.20M,-9.80M,33.20M,-3.20M,-0.40M,29.60M,23.10M,,,-30.10M
2001-12,14.30M,,59.70M,26.30M,26.30M,1.00M,,,,,,13.60M,,,,-13.50M,-29.70M,18.40M,-11.20M,-3.70M,86.40M,24.30M,5.40M,29.70M,-7.80M,,-54.30M,-32.40M,,,-20.70M,6.70M,-28.00M,-21.30M,,-2.90M,,0.30M,-44.60M,26.70M,9.40M,-2.90M,33.20M,6.70M,,,-28.00M
2001-09,30.60M,,10.99M,26.93M,26.93M,1.957M,,,,,,3.905M,,,,6.927M,7.815M,-18.40M,0.247M,241.76M,312.48M,-32.23M,7.00M,-25.23M,-3.761M,,22.20M,-6.798M,,,-310.12M,13.64M,-14.30M,-0.658M,,-2.879M,,0.30M,-313.36M,35.34M,-7.676M,-0.944M,26.70M,13.64M,,,-14.30M
2001-06,29.50M,,8.812M,26.17M,26.17M,2.743M,,,,,,2.795M,,,,0.573M,-6.315M,,-2.947M,-73.16M,-8.878M,-2.267M,,-2.267M,-10.34M,,-10.90M,-23.50M,,,44.12M,11.66M,,11.66M,,-13.32M,,0.80M,43.26M,25.40M,10.88M,-0.956M,35.34M,11.66M,,,
2001-03,48.10M,,-14.00M,26.80M,26.80M,2.50M,,,,,,-4.20M,,,,-8.70M,-20.50M,,-33.40M,-8.80M,21.20M,-2.80M,,-2.80M,-21.60M,,-19.40M,-43.80M,,,-2.90M,4.40M,,4.40M,,-13.20M,,0.90M,-10.80M,59.60M,-33.40M,-0.80M,25.40M,4.40M,,,
2000-12,68.38M,,-78.73M,25.69M,25.69M,13.05M,,,,,,-6.862M,,,,-9.261M,8.276M,,-7.847M,39.29M,59.82M,-13.23M,,144.27M,-47.17M,,-19.91M,77.19M,,,-168.72M,14.17M,0.017M,14.19M,,-13.10M,,0.651M,-166.98M,92.32M,-29.97M,-2.767M,59.60M,14.17M,,,0.017M
2000-09,64.32M,,36.37M,28.50M,28.50M,2.279M,,,,,,-10.62M,,,,1.496M,-10.22M,,-19.34M,-52.85M,59.27M,-6.688M,,-6.688M,-3.965M,,-13.45M,-24.10M,,,-16.61M,4.101M,0.00,4.101M,,-13.10M,,0.836M,-24.77M,82.33M,10.40M,-0.412M,92.32M,4.101M,,,0.00
2000-06,53.08M,,-34.74M,16.78M,16.78M,1.865M,,,,,,-16.53M,,,,-16.34M,-3.466M,,-36.34M,29.26M,29.91M,-0.527M,,-0.527M,-249.51M,,-4.75M,-254.79M,,,245.51M,1.343M,0.00,1.343M,,-13.06M,,1.095M,234.89M,108.54M,10.01M,-2.61M,82.33M,1.343M,,,0.00
2000-03,42.23M,,,35.23M,35.23M,2.406M,,,,,,0.608M,,,,-6.09M,-14.89M,,-20.37M,,59.49M,-5.558M,,-5.558M,-35.95M,,-19.79M,-61.30M,,,-11.48M,3.586M,-6.517M,-2.931M,,-13.04M,,0.718M,-26.74M,136.60M,-28.54M,0.489M,108.54M,3.586M,,,-6.517M
1999-12,61.80M,,0.00,32.20M,32.20M,9.10M,,,,,-0.10M,-62.70M,,,,5.40M,21.30M,,-36.00M,,67.00M,-25.50M,0.00,-25.50M,,,-19.20M,-44.70M,,,30.40M,0.60M,-44.60M,-44.00M,,-13.10M,,2.90M,-23.80M,137.10M,-1.50M,1.10M,136.60M,0.60M,,,-44.60M
1999-09,58.09M,,-0.005M,33.10M,33.10M,7.952M,,,,,,4.17M,,,,0.124M,-4.194M,,0.10M,,99.24M,-17.78M,0.043M,-17.74M,10.93M,,-23.41M,-30.22M,,,-0.862M,1.26M,-71.60M,-70.34M,,-12.90M,,0.759M,-83.34M,152.34M,-14.31M,-1.019M,137.10M,1.26M,,,-71.60M
1999-06,52.11M,,-7.095M,30.30M,30.30M,1.648M,,,,,0.10M,18.53M,,,,-6.824M,0.194M,,11.90M,,88.96M,-3.817M,25.96M,22.14M,-10.93M,,-19.99M,-8.785M,,,-0.438M,3.24M,-33.20M,-29.96M,,-13.00M,,0.841M,-42.56M,0.00,37.61M,-2.781M,152.34M,3.24M,,,-33.20M
1999-03,43.90M,,,29.70M,29.70M,2.20M,,,,,-0.10M,-5.10M,,,,4.80M,-5.90M,,-6.20M,,69.50M,-14.10M,,-14.10M,,,-20.00M,-34.10M,,,68.00M,1.90M,-60.80M,-58.90M,,-13.00M,,0.60M,-3.30M,90.60M,32.10M,-5.20M,0.00,1.90M,,,-60.80M
1998-12,44.50M,,,31.50M,31.50M,23.60M,,,,,0.10M,-13.10M,,,,4.00M,-8.00M,,-17.10M,,82.60M,-13.70M,,-0.80M,,,-29.30M,-30.10M,,,18.00M,3.20M,-64.40M,-61.20M,,-13.20M,,9.20M,-47.20M,0.00,5.30M,-0.60M,90.70M,3.20M,,,-64.40M
1998-09,53.50M,,13.60M,26.80M,26.80M,4.00M,,,,,-0.10M,1.60M,,,,-7.40M,0.60M,,-5.20M,,92.60M,-397.70M,,-397.70M,,,-35.60M,-433.30M,,,330.10M,2.40M,-34.10M,-31.70M,,-13.00M,,1.50M,286.90M,0.00,-53.80M,-1.90M,0.00,2.40M,,,-34.10M
1998-06,50.70M,,-13.60M,23.30M,23.30M,3.60M,,,,,0.10M,-27.80M,,,,-18.70M,31.00M,,-15.50M,,48.60M,-74.40M,,-74.40M,,,-17.70M,-92.10M,,,119.60M,1.90M,0.00,1.90M,,-13.00M,,0.50M,109.00M,0.00,65.50M,0.10M,0.00,1.90M,,,0.00
