,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-03,285.20M,285.20M,116.50M,168.70M,92.00M,,6.40M,1.50M,,,,98.40M,70.30M,,,1.50M,,58.00M,23.90M,34.10M,14.00M,-0.90M,48.10M,33.20M,97.10M,26.80M,70.30M,0.25,0.1,0.2434,0.35,0.25,0.1,0.2435,0.35,136.00M,137.60M,0.0925
2000-12,285.89M,285.89M,74.46M,211.44M,16.25M,,,0.869M,,,,122.45M,88.99M,,,0.869M,,74.59M,32.40M,42.19M,26.18M,-2.404M,68.38M,41.67M,114.67M,25.69M,88.99M,0.31,0.2,0.3061,0.51,0.31,0.19,0.3062,0.5,135.24M,137.38M,0.0925
2000-09,323.94M,323.94M,154.19M,169.75M,84.04M,,,0.024M,,,,84.04M,85.71M,,,0.024M,,67.77M,29.42M,38.34M,25.98M,-1.833M,64.32M,38.33M,114.21M,28.50M,85.71M,0.29,0.19,0.2899,0.48,0.28,0.19,0.2799,0.47,134.36M,135.80M,0.0925
2000-06,498.21M,498.21M,238.62M,259.59M,112.24M,,,1.621M,,,,150.62M,108.97M,,,1.621M,,90.73M,37.65M,53.08M,,,53.08M,52.11M,147.34M,16.78M,108.97M,0.4,0.0,0.3927,0.4,0.39,0.0,0.3828,0.39,134.09M,135.78M,0.0925
2000-03,451.08M,451.08M,234.86M,216.22M,93.39M,,,0.953M,,,,128.62M,87.60M,,,0.953M,,72.18M,29.96M,42.23M,,,42.23M,41.66M,122.83M,35.23M,87.60M,0.32,0.0,0.3157,0.32,0.31,0.0,0.3058,0.31,133.92M,135.15M,0.0925
1999-12,464.20M,464.20M,242.60M,221.60M,72.80M,,,2.30M,,,,105.00M,116.60M,,,2.30M,,103.50M,41.70M,61.80M,,,61.80M,60.42M,148.80M,32.20M,116.60M,-0.05,0.5,-0.0601,0.45,-0.05,0.49,-0.06,0.45,137.23M,138.13M,0.0925
1999-09,444.40M,444.40M,219.00M,225.40M,80.10M,,,1.10M,,,,113.20M,112.20M,,,1.10M,,98.10M,40.00M,58.10M,,,58.10M,57.44M,145.30M,33.10M,112.20M,0.42,0.0,0.4152,0.42,0.42,0.0,0.4152,0.42,138.33M,138.33M,0.09
1999-06,442.59M,442.59M,226.41M,216.18M,88.98M,,,8.54M,,,,119.30M,96.88M,,,8.54M,,90.13M,38.02M,52.11M,,,52.11M,46.98M,127.20M,30.30M,96.88M,0.38,0.0,0.3429,0.38,0.37,0.0,0.3335,0.37,138.11M,140.53M,0.09
1999-03,421.50M,421.50M,219.10M,202.40M,83.90M,,,0.50M,,,,113.60M,88.80M,,,0.50M,,74.20M,30.30M,43.90M,,,43.90M,43.60M,118.50M,29.70M,88.80M,0.32,0.0,0.3178,0.32,0.31,0.0,0.3079,0.31,137.19M,141.61M,0.09
1998-12,449.00M,449.00M,231.80M,217.20M,92.90M,,,-0.50M,,,,124.40M,92.80M,,,-0.50M,,77.60M,33.10M,44.50M,,,44.50M,44.80M,124.30M,31.50M,92.80M,0.32,0.0,0.3221,0.32,0.31,0.0,0.3121,0.31,140.16M,143.92M,0.09
1998-09,425.40M,425.40M,219.70M,205.70M,79.30M,,,3.40M,,,,106.10M,99.60M,,,3.40M,,90.30M,36.80M,53.50M,,,53.50M,51.46M,126.40M,26.80M,99.60M,0.38,0.0,0.3655,0.38,0.37,0.0,0.3559,0.37,140.79M,144.59M,0.0875
1998-06,393.50M,393.50M,200.20M,193.30M,77.80M,,,0.60M,,,,101.10M,92.20M,,,0.60M,,84.60M,34.00M,50.60M,,,50.60M,50.24M,115.50M,23.30M,92.20M,0.36,0.0,0.3574,0.36,0.35,0.0,0.3475,0.35,140.56M,144.57M,0.0875
