,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-12,80.60M,189.25M,269.84M,86.23M,,86.23M,13.25M,,5.348M,,374.67M,0.0,7.243M,216.89M,77.62M,,301.76M,-215.14M,86.62M,239.58M,58.68M,298.26M,,319.50M,168.87M,873.26M,1.248B,22.63M,,22.63M,59.90M,82.53M,,,,,,6.731M,6.731M,,89.26M,200.00M,,200.00M,,,,3.975M,203.98M,293.24M,1.603M,-3.194B,4.146B,,,1.693M,-0.397M,1.296M,954.69M
2006-09,99.12M,178.58M,277.71M,67.38M,,67.38M,14.39M,,,,359.47M,,,,,,271.22M,-199.30M,71.92M,97.18M,31.83M,129.01M,,324.35M,142.94M,668.23M,1.028B,19.93M,,19.93M,54.64M,74.57M,,,,,,7.049M,7.049M,,81.62M,200.00M,,200.00M,,,,4.381M,204.38M,286.00M,1.562M,-3.214B,3.953B,,,1.268M,-0.156M,1.112M,741.70M
2006-06,73.50M,185.76M,259.26M,63.96M,,63.96M,13.86M,,,,337.09M,,,,,,262.54M,-199.30M,63.24M,98.30M,33.77M,132.07M,,324.06M,113.01M,632.39M,969.48M,17.08M,,17.08M,45.60M,62.68M,,,,,,8.079M,8.079M,,70.76M,200.00M,,200.00M,,,,4.614M,204.61M,275.37M,1.553M,-3.228B,3.920B,,,,,0.62M,694.11M
2006-03,65.02M,219.92M,284.94M,55.80M,,55.80M,13.45M,,,,354.19M,,,,,,254.24M,-199.30M,54.94M,98.35M,35.97M,134.32M,,326.61M,61.21M,577.07M,931.27M,18.41M,,18.41M,42.89M,61.30M,,,,,,8.82M,8.82M,1.533M,71.66M,200.00M,,200.00M,,,,4.605M,204.60M,276.26M,1.542M,-3.240B,3.893B,,,,,0.524M,655.01M
2005-12,91.79M,200.62M,292.41M,52.16M,,52.16M,10.43M,,,,355.00M,0.0,5.569M,180.55M,58.07M,,244.18M,-199.30M,44.88M,,136.79M,136.79M,,328.31M,26.52M,536.50M,891.50M,16.02M,,16.02M,38.45M,54.47M,,,1.749M,,1.749M,5.656M,5.656M,,61.88M,200.00M,,200.00M,,,,5.409M,205.41M,267.28M,1.529M,-3.251B,3.881B,,,,,-7.066M,624.21M
2005-09,34.08M,32.96M,67.05M,43.94M,,43.94M,9.148M,,,,120.13M,,,,,,233.97M,-191.44M,42.53M,,139.50M,139.50M,,320.41M,24.46M,526.91M,647.04M,12.86M,,12.86M,39.91M,52.77M,,,0.42M,,0.42M,4.709M,4.709M,,57.90M,200.00M,,200.00M,,,,11.55M,211.55M,269.45M,1.396M,-3.277B,3.662B,,,,,-8.549M,377.59M
2005-06,51.03M,52.86M,103.89M,40.37M,,40.37M,8.697M,,,,152.96M,,,,,,230.75M,-191.44M,39.31M,,140.02M,140.02M,,,32.44M,211.78M,364.73M,18.12M,,18.12M,38.97M,57.09M,,,0.59M,,0.59M,3.408M,3.408M,,61.09M,256.61M,,256.61M,,,,6.113M,262.73M,323.81M,1.388M,-3.549B,3.599B,,,,,-9.799M,40.92M
2005-03,39.88M,44.53M,84.42M,34.28M,,34.28M,6.337M,,,,125.04M,,,,,,222.45M,-191.44M,31.01M,,5.116M,5.116M,,,40.45M,76.57M,201.61M,13.20M,,13.20M,34.28M,47.48M,,,0.098M,,0.098M,2.816M,2.816M,,50.40M,256.61M,,256.61M,,,,5.10M,261.71M,312.11M,1.274M,-3.565B,3.453B,,,,,0.156M,-110.50M
2004-12,35.32M,35.31M,70.63M,30.33M,,30.33M,7.706M,,,,108.67M,0.0,4.832M,163.75M,48.10M,,216.68M,-191.44M,25.24M,,5.128M,5.128M,,,43.70M,74.07M,182.74M,10.35M,,10.35M,33.49M,43.84M,,,0.232M,,0.232M,2.695M,2.695M,,46.77M,256.61M,,256.61M,,,,5.294M,261.91M,308.67M,1.268M,-3.579B,3.452B,,,,,0.455M,-125.93M
2004-09,45.94M,26.63M,72.57M,28.52M,,28.52M,7.189M,,,,108.29M,,,,,,210.66M,-188.84M,21.81M,,5.14M,5.14M,,,53.75M,80.70M,188.99M,9.517M,,9.517M,33.94M,43.45M,,,0.372M,,0.372M,1.844M,1.844M,,45.67M,281.49M,,281.49M,,,,5.441M,286.93M,332.60M,1.259M,-3.593B,3.448B,,,,,0.038M,-143.61M
2004-06,44.08M,23.37M,67.45M,26.15M,,26.15M,9.383M,,,,102.99M,,,,,,209.44M,-188.84M,20.60M,,5.152M,5.152M,,,61.69M,87.44M,190.42M,13.84M,,13.84M,27.88M,41.72M,,,0.51M,,0.51M,3.873M,3.873M,1.422M,47.52M,294.60M,,294.60M,,,,5.00M,299.60M,347.12M,1.255M,-3.604B,3.447B,,,,,-0.695M,-156.70M
2004-03,132.85M,7.493M,140.35M,24.50M,,24.50M,9.206M,,,,174.06M,,,,,,209.72M,-188.84M,20.88M,,5.164M,5.164M,,,45.06M,71.11M,245.16M,12.84M,,12.84M,27.17M,40.01M,,,0.50M,,0.50M,4.299M,4.299M,1.538M,46.35M,363.13M,0.144M,363.27M,,,,5.281M,368.55M,414.90M,1.229M,-3.611B,3.439B,,,,,0.318M,-169.74M
2003-12,160.07M,4.91M,164.98M,20.73M,,20.73M,11.70M,5.00M,,,202.42M,0.0,4.423M,208.30M,,,212.72M,-188.84M,23.88M,,5.176M,5.176M,,,47.47M,76.52M,278.94M,11.77M,,11.77M,30.46M,42.23M,,,0.775M,,0.775M,3.016M,3.016M,16.64M,62.66M,386.00M,,386.00M,,,,5.635M,391.64M,454.30M,1.222M,-3.614B,3.437B,,,,,-0.166M,-175.35M
2003-09,83.90M,2.127M,86.02M,25.35M,,25.35M,5.966M,,,,117.34M,,,,,,191.46M,-162.17M,29.29M,,5.188M,5.188M,,,18.59M,53.07M,170.41M,13.33M,,13.33M,27.12M,40.46M,,,3.975M,,3.975M,2.953M,2.953M,,47.39M,300.00M,,300.00M,,,,5.596M,305.60M,352.98M,1.194M,-3.612B,3.431B,,,,,-2.764M,-182.58M
2003-06,90.72M,,90.72M,22.00M,,22.00M,9.284M,1.608M,,,123.62M,,,,,,200.31M,-162.17M,38.14M,,5.20M,5.20M,,,10.06M,53.41M,177.02M,13.63M,,13.63M,30.34M,43.97M,,,1.054M,,1.054M,2.424M,2.424M,4.598M,52.04M,300.00M,,300.00M,,,,5.724M,305.72M,357.77M,1.188M,-3.608B,3.430B,,,,,-4.058M,-180.75M
2003-03,98.63M,8.099M,106.73M,20.90M,0.165M,21.07M,6.933M,,,,134.73M,,,,,,212.14M,-162.17M,49.96M,,5.212M,5.212M,,,9.617M,64.79M,199.52M,15.22M,,15.22M,25.75M,40.96M,,,1.896M,,1.896M,2.59M,2.59M,20.72M,66.17M,300.00M,0.01M,300.01M,,,,6.898M,306.91M,373.08M,1.178M,-3.593B,3.428B,,,,,-9.828M,-173.55M
2002-12,111.26M,,111.26M,16.29M,1.284M,17.57M,9.183M,3.664M,,,141.68M,0.0,4.54M,184.39M,36.40M,,225.33M,-162.17M,63.16M,,7.41M,7.41M,,,17.61M,88.18M,229.86M,16.85M,,16.85M,37.06M,53.91M,,,1.207M,,1.207M,2.361M,2.361M,23.62M,81.10M,300.00M,1.006M,301.01M,,,,15.85M,316.85M,397.95M,1.177M,-3.584B,3.428B,,,,,-13.39M,-168.09M
2002-09,123.49M,13.42M,136.91M,16.06M,,16.06M,9.406M,,,,162.38M,,,,,,194.64M,-113.37M,81.27M,,9.641M,9.641M,,,13.10M,104.01M,266.38M,25.41M,,25.41M,25.04M,50.45M,,,1.199M,,1.199M,3.079M,3.079M,17.48M,72.20M,300.00M,1.303M,301.30M,,,,5.689M,306.99M,379.20M,1.166M,-3.529B,3.437B,,,,,-22.23M,-112.81M
2002-06,88.14M,62.79M,150.93M,17.03M,,17.03M,13.14M,,,,181.11M,,,,,,210.83M,-113.37M,97.46M,4.937M,6.935M,11.87M,,,21.77M,131.10M,312.20M,22.18M,,22.18M,33.32M,55.50M,,,1.313M,,1.313M,4.181M,4.181M,13.27M,74.26M,300.00M,1.569M,301.57M,,,,7.061M,308.63M,382.89M,1.164M,-3.481B,3.437B,,,,,-27.59M,-70.69M
2002-03,63.81M,100.31M,164.12M,17.29M,,17.29M,16.54M,,,,197.96M,,,,,,228.08M,-113.37M,114.72M,,14.10M,14.10M,,,24.02M,152.85M,350.80M,28.21M,,28.21M,28.88M,57.09M,,,0.172M,,0.172M,5.335M,5.335M,15.89M,78.49M,300.00M,0.079M,300.08M,,,,7.121M,307.20M,385.69M,1.157M,-3.439B,3.438B,,,,,-34.97M,-34.88M
2001-12,78.77M,113.91M,192.68M,19.07M,1.00M,20.07M,15.25M,,,,228.00M,0.0,12.74M,202.00M,29.63M,,244.36M,-112.12M,132.24M,,19.35M,19.35M,,,41.89M,193.48M,421.48M,32.08M,,32.08M,36.24M,68.31M,,,0.405M,,0.405M,4.948M,4.948M,17.63M,91.30M,300.00M,0.113M,300.11M,,,,12.83M,312.95M,404.24M,1.151M,-3.380B,3.439B,,,,,-42.74M,17.23M
2001-09,100.65M,138.95M,239.61M,19.61M,,19.61M,13.98M,,,,273.20M,,,,,,185.34M,-38.96M,146.38M,,23.37M,23.37M,,,25.76M,195.51M,468.71M,40.11M,,40.11M,37.97M,78.08M,,,0.68M,,0.68M,5.294M,5.294M,4.125M,88.18M,300.00M,0.12M,300.12M,,,,10.57M,310.69M,398.86M,1.153M,-3.315B,3.444B,,,,,-60.20M,69.85M
2001-06,120.25M,146.85M,267.10M,25.23M,,25.23M,18.50M,,,,310.82M,,,189.78M,,,189.78M,-38.96M,150.82M,,30.81M,30.81M,,,27.14M,208.77M,519.60M,38.11M,,38.11M,41.65M,79.76M,,,0.915M,,0.915M,5.334M,5.334M,,86.01M,300.00M,0.171M,300.17M,,,,16.37M,316.54M,402.55M,1.151M,-3.260B,3.444B,,,,,-68.65M,117.04M
2001-03,134.15M,178.97M,313.11M,23.86M,,23.86M,23.05M,,,,360.03M,,,190.04M,,,190.04M,-38.96M,151.09M,,35.90M,35.90M,,,29.63M,216.62M,576.65M,49.04M,,49.04M,6.205M,55.24M,,,1.111M,,1.111M,6.001M,6.001M,17.24M,79.60M,300.00M,0.229M,300.23M,,,,1.268M,301.50M,381.09M,1.092M,-3.167B,3.388B,,,,,-26.33M,195.56M
2000-12,150.13M,159.52M,309.65M,22.67M,,22.67M,23.02M,,,,355.34M,0.0,12.16M,154.94M,14.89M,,182.00M,-38.96M,143.04M,,2.186B,2.186B,,,106.24M,2.435B,2.791B,52.21M,,52.21M,4.327M,56.54M,,,1.08M,,1.08M,4.335M,4.335M,22.99M,84.95M,300.00M,0.421M,300.42M,,,,1.009M,301.43M,386.38M,1.082M,-944.37M,3.383B,,,,,-34.90M,2.404B
2000-09,371.20M,67.55M,438.74M,15.59M,,15.59M,19.56M,,,,473.90M,,,,,,146.81M,-25.00M,121.81M,,2.425B,2.425B,,,37.41M,2.584B,3.058B,28.88M,,28.88M,7.995M,36.88M,,,1.067M,,1.067M,5.073M,5.073M,11.54M,54.56M,300.00M,0.689M,300.69M,,,,0.78M,301.47M,356.03M,1.073M,-641.29M,3.373B,,,,,-30.96M,2.702B
2000-06,354.54M,161.13M,515.67M,11.65M,,11.65M,10.47M,,,,537.80M,,,,,,106.35M,-13.79M,92.56M,,2.656B,2.656B,,,49.38M,2.798B,3.336B,29.21M,,29.21M,6.031M,35.24M,,,1.023M,,1.023M,4.437M,4.437M,8.973M,49.68M,300.00M,0.901M,300.90M,,,,0.523M,301.42M,351.10M,1.058M,-337.21M,3.353B,,,,,-32.14M,2.985B
2000-03,26.61M,198.55M,225.17M,3.136M,,3.136M,8.778M,,,,237.08M,,,,,,49.96M,-6.486M,43.48M,,186.87M,186.87M,,,4.384M,234.73M,471.81M,17.07M,,17.07M,7.026M,24.10M,,,0.652M,,0.652M,3.586M,3.586M,3.831M,32.17M,,0.682M,0.682M,,,,,0.682M,32.85M,0.938M,-93.98M,559.05M,,,,,-27.05M,438.96M
1999-12,269.55M,,269.55M,1.588M,,1.588M,2.521M,,,,273.66M,0.0,0.972M,25.07M,1.256M,,27.30M,-3.422M,23.88M,,0.434M,0.434M,,,2.843M,27.15M,300.82M,8.987M,,8.987M,1.814M,10.80M,,,3.255M,,3.255M,0.698M,0.698M,3.883M,18.64M,,0.733M,0.733M,,,,,0.733M,19.37M,0.925M,-58.58M,374.74M,,,,,-35.64M,281.44M
1999-09,91.80M,0.20M,92.00M,,,0.60M,,,,1.00M,93.60M,,,,,,14.40M,-1.60M,12.80M,,0.40M,0.40M,,,3.10M,16.30M,109.90M,6.20M,,6.20M,,6.20M,,,0.50M,,0.50M,,,3.00M,9.70M,12.30M,,12.30M,,,,,12.30M,22.00M,106.60M,-29.30M,48.10M,,106.20M,,,-37.50M,87.90M
