,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,3.869B,3.869B,,,,,,,,,283.00M,,,,,15.85B,-8.662B,,,,283.00M,,-586.00M,-223.00M,-363.00M,,-26.00M,-363.00M,-538.31M,-8.662B,,-8.662B,-2.98,0.0,,-4.401,-2.98,-2.98,,,-4.4,-2.98,123.33M,123.42M,
2002-09,3.42B,3.42B,1.135B,2.285B,72.00M,-319.00M,-247.00M,289.00M,388.00M,,-211.00M,,,,-229.00M,-187.00M,2.472B,,,,-211.00M,,-527.00M,-201.00M,-326.00M,,4.00M,-326.00M,-195.48M,2.761B,289.00M,2.472B,-2.67,0.0,,-1.611,-2.67,-2.67,0.0,,-1.611,-2.67,123.29M,123.29M,
2002-06,3.474B,3.474B,1.105B,2.369B,89.00M,-339.00M,-250.00M,291.00M,390.00M,,-28.00M,,,,-282.00M,-241.00M,2.61B,,,,-28.00M,,-287.00M,-101.00M,-186.00M,,3.00M,-186.00M,-167.85M,2.901B,291.00M,2.61B,-1.54,0.0,,-1.393,-1.54,-1.54,0.0,,-1.393,-1.54,123.24M,123.24M,
2002-03,3.103B,3.103B,1.083B,2.02B,107.00M,-343.00M,-236.00M,281.00M,381.00M,,-66.00M,,,,-296.00M,-251.00M,2.271B,,,,-66.00M,,-602.00M,-205.00M,-397.00M,,4.00M,-397.00M,-353.48M,2.552B,281.00M,2.271B,-3.25,0.0,,-2.897,-3.25,-3.25,0.0,,-2.897,-3.25,123.24M,123.24M,
2001-12,2.863B,2.863B,,,194.00M,9.531B,9.725B,,,,243.00M,,,,5.95B,15.98B,-9.491B,,,,243.00M,,-1.135B,-401.00M,-734.00M,,4.00M,-734.00M,-891.15M,-9.181B,310.00M,-9.491B,-5.99,0.0,,-7.265,-5.99,-5.99,0.0,,-7.265,-5.99,123.26M,123.26M,
2001-09,3.398B,3.398B,1.059B,2.339B,137.00M,-366.00M,-229.00M,318.00M,381.00M,,-120.00M,,,,-123.00M,-34.00M,2.373B,,,,-120.00M,,-408.00M,-149.00M,-259.00M,,3.00M,-259.00M,-182.82M,2.691B,318.00M,2.373B,-2.13,0.0,,-1.511,-2.13,-2.13,0.0,,-1.511,-2.13,123.14M,123.14M,
2001-06,3.776B,3.776B,1.252B,2.524B,144.00M,-357.00M,-213.00M,331.00M,378.00M,,46.00M,,,,-343.00M,-225.00M,2.749B,,,,46.00M,,-99.00M,-9.00M,-90.00M,,4.00M,-90.00M,-131.82M,3.08B,331.00M,2.749B,-0.76,0.0,,-1.1,-0.76,-0.76,0.0,,-1.1,-0.76,123.05M,123.05M,
2001-03,3.842B,3.842B,1.32B,2.522B,141.00M,-348.00M,-207.00M,324.00M,386.00M,,-21.00M,,,,-362.00M,-245.00M,2.767B,,,,-21.00M,,-222.00M,-89.00M,-133.00M,,3.00M,-133.00M,-120.40M,3.091B,324.00M,2.767B,-1.11,0.0,,-1.008,-1.11,-1.11,0.0,,-1.008,-1.11,123.03M,123.03M,
2000-09,3.911B,3.911B,1.14B,2.771B,169.00M,-381.00M,-212.00M,297.00M,373.00M,,-56.00M,,,,-307.00M,-222.00M,2.993B,,,,-56.00M,,364.00M,147.00M,217.00M,,3.00M,217.00M,250.60M,3.29B,297.00M,2.993B,1.86,-0.81,,2.133,1.05,1.77,-0.81,,2.0269999999999997,1.01,122.93M,130.53M,
2000-06,3.333B,3.333B,822.00M,2.511B,239.00M,-477.00M,-238.00M,212.00M,290.00M,,-56.00M,,,,-666.00M,-692.00M,3.203B,,,,-56.00M,,554.00M,219.00M,335.00M,,4.00M,281.00M,368.86M,3.415B,212.00M,3.203B,2.13,-0.39,,2.35,1.74,1.93,-0.39,,2.15,1.56,153.88M,153.88M,
2000-03,3.96B,3.96B,1.14B,2.82B,169.00M,-344.00M,-175.00M,297.00M,373.00M,,90.00M,,,,-205.00M,-83.00M,2.903B,,,,90.00M,,376.00M,153.00M,223.00M,,3.00M,223.00M,169.00M,3.20B,297.00M,2.903B,1.74,0.0,,1.314,1.74,1.67,0.0,,1.266,1.67,126.88M,133.59M,
1999-12,3.713B,3.713B,1.049B,2.664B,174.00M,-341.00M,-167.00M,285.00M,348.00M,,-377.00M,,,,-178.00M,-60.00M,2.724B,,,,-377.00M,,580.00M,228.00M,352.00M,,3.00M,352.00M,580.80M,3.009B,-285.00M,2.724B,2.62,0.0,,4.338,2.62,2.5,0.0,,4.138999999999999,2.5,133.21M,139.60M,
1999-09,3.829B,3.829B,1.078B,2.751B,203.00M,-377.00M,-174.00M,263.00M,334.00M,,117.00M,,,,-332.00M,-243.00M,2.994B,,,,117.00M,,569.00M,225.00M,344.00M,-66.00M,3.00M,278.00M,273.27M,3.257B,-263.00M,2.994B,2.47,-0.48,0.0,1.959,1.99,2.33,-0.48,-0.4772,1.85,1.88,138.30M,147.36M,
1999-06,3.843B,3.843B,,,-9.00M,8.379B,8.37B,,,,5.00M,,,,4.368B,13.01B,-6.225B,,,,5.00M,,610.00M,246.00M,364.00M,,3.00M,364.00M,361.00M,-4.572B,1.653B,-6.225B,2.57,0.0,,2.548,2.57,2.4,0.0,,2.38,2.4,139.22M,149.93M,
1999-03,3.504B,3.504B,934.00M,2.57B,191.00M,-321.00M,-130.00M,241.00M,322.00M,,29.00M,,,,-181.00M,-70.00M,2.64B,,,,29.00M,,358.00M,142.00M,216.00M,,2.00M,216.00M,198.50M,2.881B,-241.00M,2.64B,1.51,0.0,,1.3869999999999998,1.51,1.42,0.0,,1.304,1.42,141.72M,150.70M,
1998-12,3.448B,3.448B,981.00M,2.467B,208.00M,-339.00M,-131.00M,233.00M,310.00M,,19.00M,,,,-175.00M,-73.00M,2.54B,,,,19.00M,,320.00M,126.00M,194.00M,,3.00M,194.00M,182.48M,2.773B,-233.00M,2.54B,1.34,0.0,,1.2590000000000001,1.34,1.29,0.0,,1.212,1.29,142.54M,148.06M,
1998-09,3.802B,3.802B,1.214B,2.588B,,,1.818B,218.00M,,,3.00M,,,,,2.036B,552.00M,,,,3.00M,,538.00M,211.00M,327.00M,,3.00M,327.00M,325.18M,770.00M,-218.00M,552.00M,2.19,0.0,,2.165,2.19,2.08,0.0,,2.055,2.08,73.48M,73.48M,
1998-06,3.761B,3.761B,,,-48.00M,8.288B,8.24B,,,,51.00M,,,,4.261B,12.74B,-6.071B,,,,51.00M,,595.00M,233.00M,362.00M,,3.00M,362.00M,330.97M,-4.586B,1.485B,-6.071B,2.39,0.0,,2.181,2.39,2.28,0.0,,2.08,2.28,148.47M,155.42M,
1998-03,3.39B,3.39B,930.00M,2.46B,229.00M,-352.00M,-123.00M,216.00M,296.00M,,2.00M,,,,-182.00M,-89.00M,2.549B,,,,2.00M,,322.00M,127.00M,195.00M,,2.00M,195.00M,193.79M,2.765B,-216.00M,2.549B,1.29,0.0,,1.2819999999999998,1.29,1.23,0.0,,1.222,1.23,149.61M,156.91M,
