,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,1.013B,1.013B,830.40M,182.20M,94.70M,2.30M,-0.60M,,,,,97.00M,85.20M,,,,-0.60M,,75.70M,26.80M,48.90M,,,48.90M,49.29M,127.80M,42.60M,85.20M,0.25,0.0,,0.2519,0.25,0.25,0.0,,0.2519,0.25,199.02M,199.02M,0.13
2002-09,1.121B,1.121B,909.90M,211.30M,98.50M,2.50M,-10.00M,,,,,101.00M,110.30M,,,,-10.00M,,91.00M,33.30M,57.70M,,,57.70M,64.04M,155.30M,45.00M,110.30M,0.29,0.0,,0.3219,0.29,0.29,0.0,,0.3218,0.29,199.00M,199.50M,0.13
2002-06,1.115B,1.115B,886.20M,229.10M,103.40M,2.80M,-4.60M,,,,,106.20M,122.90M,,,,-4.60M,,109.40M,39.10M,70.30M,,,70.30M,73.26M,161.60M,38.70M,122.90M,0.35,0.0,,0.3648,0.35,0.35,0.0,,0.3647,0.35,199.30M,200.50M,0.12
2002-03,1.023B,1.023B,823.60M,199.10M,97.60M,2.60M,-1.50M,,,,,100.20M,98.90M,,,,-1.50M,,87.40M,31.20M,56.20M,,,56.20M,57.16M,137.20M,38.30M,98.90M,0.28,0.0,,0.2848,0.28,0.28,0.0,,0.2848,0.28,199.50M,200.70M,0.12
2001-12,968.50M,968.50M,736.90M,231.60M,144.70M,10.00M,-10.00M,,,,,154.70M,76.90M,,,,-10.00M,,56.10M,20.70M,35.40M,,,35.40M,41.71M,129.00M,52.10M,76.90M,0.18,0.0,,0.2115,0.18,0.18,0.0,,0.2115,0.18,200.10M,200.10M,0.12
2001-09,1.057B,1.057B,799.00M,257.80M,149.30M,9.20M,-0.10M,,,,,158.50M,99.30M,,,,-0.10M,,87.60M,32.30M,55.30M,,,55.30M,55.36M,147.50M,48.20M,99.30M,0.28,0.0,,0.2803,0.28,0.28,0.0,,0.2803,0.28,199.70M,200.70M,0.12
2001-06,1.035B,1.035B,783.70M,251.50M,146.60M,11.90M,2.50M,,,,,158.50M,93.00M,,,,2.50M,,80.70M,29.80M,50.90M,,,50.90M,49.32M,143.50M,50.50M,93.00M,0.26,0.0,,0.2521,0.26,0.25,0.0,,0.2421,0.25,199.40M,200.20M,0.12
2001-03,1.053B,1.053B,802.20M,251.10M,149.70M,8.80M,-3.00M,,,,,158.50M,92.60M,,,,-3.00M,,72.90M,26.90M,46.00M,,,46.00M,47.89M,138.40M,45.80M,92.60M,0.23,0.0,,0.2395,0.23,0.23,0.0,,0.2394,0.23,199.20M,200.40M,0.12
2000-12,1.008B,1.008B,751.40M,256.10M,144.90M,,22.60M,,,,,191.40M,64.70M,,,,22.60M,,71.50M,26.40M,45.10M,,,45.10M,30.84M,111.20M,46.50M,64.70M,0.23,0.0,,0.1577,0.23,0.23,0.0,,0.1583,0.23,197.29M,198.80M,0.11
2000-09,1.130B,1.130B,800.20M,329.40M,145.10M,,-12.90M,,,,,190.40M,139.00M,,,,-12.90M,,109.20M,40.30M,68.90M,,,68.90M,77.04M,184.30M,45.30M,139.00M,0.35,0.0,,0.3908,0.35,0.34,0.0,,0.3806,0.34,199.30M,200.70M,0.11
2000-06,1.096B,1.096B,764.50M,331.10M,143.10M,,-8.40M,,,,,185.70M,145.40M,,,,-8.40M,,120.60M,44.30M,76.30M,,,76.30M,81.61M,188.00M,42.60M,145.40M,0.38,0.0,,0.4067,0.38,0.38,0.0,,0.4065,0.38,199.00M,200.60M,0.1
2000-03,1.044B,1.044B,733.20M,310.40M,134.00M,,-7.10M,,,,,172.90M,137.50M,,,,-7.10M,,117.30M,43.50M,73.80M,,,73.80M,78.27M,176.40M,38.90M,137.50M,0.37,0.0,,0.3925,0.37,0.37,0.0,,0.3923,0.37,198.80M,200.30M,0.1
1999-12,965.10M,965.10M,689.90M,275.20M,128.80M,,22.60M,,,,,168.20M,107.00M,,,,22.60M,,118.40M,44.10M,74.30M,,,74.30M,60.12M,146.40M,39.40M,107.00M,0.37,0.0,,0.2992,0.37,0.37,0.0,,0.2992,0.37,200.39M,200.39M,0.09
1999-09,991.10M,991.10M,685.50M,305.60M,128.90M,,-6.30M,,,,,164.60M,141.00M,,,,-6.30M,,124.00M,46.30M,77.70M,,,77.70M,81.65M,176.70M,35.70M,141.00M,0.39,0.0,,0.4099,0.39,0.39,0.0,,0.4096,0.39,198.20M,200.90M,0.09
1999-06,935.20M,935.20M,644.60M,290.60M,120.80M,,-7.50M,,,,,158.00M,132.60M,,,,-7.50M,,115.10M,42.70M,72.40M,,,72.40M,77.12M,169.80M,37.20M,132.60M,0.37,0.0,,0.3938,0.37,0.36,0.0,,0.3835,0.36,198.10M,200.90M,0.09
1999-03,887.60M,887.60M,618.20M,269.40M,112.70M,,-5.20M,,,,,149.70M,119.70M,,,,-5.20M,,105.10M,39.00M,66.10M,,,66.10M,69.37M,156.70M,37.00M,119.70M,0.33,0.0,,0.3464,0.33,0.33,0.0,,0.3462,0.33,199.10M,201.40M,0.09
1998-12,837.70M,837.70M,602.90M,234.80M,109.30M,,17.50M,,,,,144.80M,90.00M,,,,17.50M,,97.70M,36.20M,61.50M,,,61.50M,50.48M,125.50M,35.50M,90.00M,0.31,0.0,,0.2549,0.31,0.31,0.0,,0.2549,0.31,199.90M,199.90M,0.08
1998-09,884.10M,884.10M,623.90M,260.20M,109.90M,,-4.60M,,,,,141.30M,118.90M,,,,-4.60M,,104.40M,39.20M,65.20M,,,65.20M,68.07M,150.30M,31.40M,118.90M,0.33,0.0,,0.3445,0.33,0.32,0.0,,0.3343,0.32,198.30M,201.10M,0.08
1998-06,855.40M,855.40M,605.20M,250.20M,105.00M,,-3.50M,,,,,135.90M,114.30M,,,,-3.50M,,100.80M,37.40M,63.40M,,,63.40M,65.60M,145.20M,30.90M,114.30M,0.32,0.0,,0.3311,0.32,0.32,0.0,,0.331,0.32,197.60M,200.90M,0.08
