,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2011-03,90.44M,,,-0.61M,-0.61M,19.85M,19.85M,2.869M,4.332M,4.332M,,,,-13.24M,,103.64M,,-10.37M,,-10.37M,0.494M,,-3.66M,-13.54M,,-0.627M,-94.50M,-95.13M,,,,,-9.559M,,3.286M,-101.40M,,163.21M,-11.30M,3.097M,155.01M,,,,-0.627M,,,AOR,Restated
2010-12,81.24M,,,2.055M,2.055M,20.78M,20.78M,-0.662M,4.249M,-14.84M,,,,23.17M,,128.34M,,-16.74M,,-16.74M,-164.93M,,7.179M,-174.49M,,0.00,65.30M,65.30M,,0.00,0.00,,-9.551M,13.23M,5.441M,74.43M,,135.02M,28.28M,-0.084M,163.21M,,,0.00,0.00,0.00,,AOR,Restated
2010-09,77.36M,,,-0.544M,-0.544M,18.45M,18.45M,1.214M,4.351M,4.351M,,,,13.46M,,114.29M,,-9.758M,,-9.758M,-281.00M,,-0.254M,-291.01M,,46.92M,30.01M,76.93M,,0.00,0.00,,-6.331M,8.287M,-3.971M,74.91M,,230.79M,-101.81M,6.031M,135.02M,,,125.12M,-78.20M,0.00,,AOR,
2010-06,67.39M,,,-1.126M,-1.126M,16.87M,16.87M,-0.64M,4.395M,4.395M,,,,1.626M,,88.52M,,-6.877M,,-6.877M,-89.43M,,4.02M,-92.28M,,0.00,-2.152M,-2.152M,,-11.26M,-11.26M,,-6.324M,,3.45M,-16.29M,,255.63M,-20.06M,-4.783M,230.79M,,,,0.00,-11.26M,,AOR,Restated
2010-03,57.94M,,,-0.385M,-0.385M,16.79M,16.79M,3.862M,3.601M,3.601M,,,,10.05M,,91.86M,,-5.811M,,-5.811M,-3.225M,,,-9.036M,,0.00,-0.797M,-0.797M,,-67.34M,-67.34M,,-6.348M,,4.07M,-70.42M,,246.36M,12.41M,-3.131M,255.63M,,,,0.00,-67.34M,,AOR,Restated
2009-12,51.88M,,,-1.237M,-1.237M,17.18M,17.18M,5.732M,3.695M,12.34M,,,,19.13M,,108.72M,,-11.59M,,-11.59M,-31.72M,,1.825M,-42.13M,,-16.85M,0.343M,-16.51M,,0.00,0.00,,-6.417M,11.33M,-9.148M,-20.75M,,200.96M,45.85M,-0.453M,246.36M,,,0.00,-16.85M,0.00,,AOR,Restated
2009-09,43.02M,,,-19.89M,-19.89M,16.64M,16.64M,-0.161M,3.534M,19.24M,,,,9.318M,,71.70M,,-6.282M,,-6.282M,-2.785M,,-0.256M,-9.323M,,1.466M,-1.353M,0.113M,,,,,-6.398M,-5.655M,11.52M,-0.423M,,137.40M,61.95M,1.608M,200.96M,,,1.466M,12.00M,,,AOR,Restated
2009-06,51.81M,,,0.343M,0.343M,15.04M,15.04M,2.661M,3.558M,-21.52M,,,,19.26M,,73.86M,,-9.081M,,-9.081M,-0.196M,,-1.294M,-10.57M,,-62.02M,-4.671M,-66.69M,,0.00,0.00,,-6.358M,4.265M,1.483M,-67.30M,,135.75M,-4.01M,5.66M,137.40M,,,,-66.69M,0.00,,AOR,Restated
2009-03,59.06M,,,-0.343M,-0.343M,16.64M,16.64M,-2.464M,2.715M,2.715M,,,,34.79M,,110.39M,,-6.106M,,-6.106M,-38.21M,,,-44.32M,,-1.948M,-7.332M,-9.28M,,0.00,0.00,,-6.406M,1.39M,0.244M,-14.05M,,86.98M,52.02M,-3.247M,135.75M,,,,-9.28M,0.00,,AOR,Restated
2008-12,43.83M,,,-77.33M,-77.33M,16.98M,16.98M,25.23M,2.865M,-2.855M,,,-1.907M,33.96M,,42.68M,,-13.18M,,-13.18M,-64.01M,,-6.293M,-77.16M,,78.38M,-112.69M,-34.31M,,0.00,0.00,,-6.636M,-1.238M,0.955M,-41.23M,,166.50M,-75.71M,-3.805M,86.98M,,,-12.69M,-21.62M,0.00,,AOR,Restated
2008-09,70.92M,,,-2.573M,-2.573M,16.21M,16.21M,6.701M,17.32M,-12.56M,,,28.02M,-33.23M,,62.79M,,-11.12M,,-11.12M,-120.69M,,5.355M,-126.46M,,97.40M,182.38M,102.14M,-6.347M,0.00,-6.347M,,-6.33M,7.476M,-0.98M,95.96M,,141.61M,32.28M,-7.395M,166.50M,,-6.347M,512.38M,-232.60M,0.00,,,Restated
2008-06,65.84M,,,,1.482M,15.91M,15.91M,-0.142M,,6.575M,,,-24.37M,-24.37M,,65.30M,,-10.94M,,-10.94M,-205.81M,,5.22M,-211.53M,,,,184.49M,4.552M,-13.91M,-9.355M,,-6.40M,,4.176M,172.91M,,114.71M,26.69M,0.214M,141.61M,,4.552M,,,-13.91M,,,
2008-03,66.36M,,,,-1.482M,14.16M,14.16M,-2.045M,,3.163M,,,-3.654M,-3.654M,,76.50M,,-8.975M,,-8.975M,-72.50M,,,-81.47M,,,,-6.859M,1.795M,-43.54M,-41.74M,,-6.319M,,0.739M,-54.18M,,170.14M,-59.15M,3.721M,114.71M,,1.795M,,,-43.54M,,,
2007-12,61.86M,,,,-0.35M,15.04M,15.04M,0.099M,,-9.162M,,,26.95M,13.62M,,96.64M,,-13.13M,,-13.13M,-111.04M,,,-120.64M,,,,123.58M,-14.70M,0.00,-14.70M,,-6.54M,,4.17M,121.47M,,72.56M,97.46M,0.12M,170.14M,,-14.70M,,,0.00,,,Restated
2007-09,57.24M,,,,-6.723M,13.27M,13.27M,10.67M,,5.575M,,,-18.08M,-18.08M,,61.96M,,-7.337M,,-7.337M,-89.17M,,,-96.50M,,,,35.87M,3.034M,-2.556M,0.478M,,-6.417M,,-0.943M,28.99M,,76.32M,-5.555M,1.796M,72.56M,,3.034M,,,-2.556M,,,
2007-06,58.01M,,,,3.038M,12.20M,12.20M,-4.692M,,2.134M,,,-5.615M,-5.615M,,65.08M,,-8.654M,,-8.654M,-100.44M,,,-109.10M,,,,56.86M,7.394M,0.00,7.394M,,-6.409M,,4.316M,62.16M,,57.40M,18.15M,0.763M,76.32M,,7.394M,,,0.00,,,
2007-03,50.90M,,,,-1.127M,12.15M,12.15M,-1.31M,,4.636M,,,-10.40M,-10.40M,,54.85M,,-8.496M,,-8.496M,0.079M,,,-8.417M,,,,-35.46M,4.271M,-2.881M,1.39M,,-6.382M,,1.921M,-38.53M,,49.09M,7.904M,0.409M,57.40M,,4.271M,,,-2.881M,,,
2006-12,47.84M,,,,12.90M,11.56M,11.56M,-0.91M,,-7.247M,,,3.719M,1.203M,,65.34M,,-10.94M,,-10.94M,-53.53M,,-1.127M,-65.60M,,,,-1.26M,2.937M,0.00,2.937M,,-6.23M,,1.502M,-3.051M,,51.11M,-3.316M,1.299M,49.09M,,2.937M,,,0.00,,,
2006-09,47.37M,,,,1.344M,11.97M,11.97M,0.267M,,2.446M,,,-4.487M,-4.487M,,58.91M,,-5.411M,,-5.411M,-10.03M,,2.014M,-13.43M,,,,-20.15M,0.809M,-15.61M,-14.80M,,-4.174M,,0.184M,-38.94M,,44.51M,6.536M,0.061M,51.11M,,0.809M,,,-15.61M,,,
2006-06,46.47M,,,,2.208M,11.40M,11.40M,1.09M,,0.595M,,,1.272M,1.272M,,63.03M,,-7.335M,,-7.335M,-99.79M,,-0.117M,-107.24M,,,,53.84M,2.312M,-5.467M,-3.155M,,-4.241M,,1.543M,47.99M,,38.99M,3.783M,1.735M,44.51M,,2.312M,,,-5.467M,,,
2006-03,40.26M,,,,-12.21M,11.00M,11.00M,-0.971M,,2.926M,,,-2.323M,-2.323M,,38.69M,,-5.465M,,-5.465M,-14.28M,,,-19.75M,,,,-17.06M,3.82M,,3.82M,,-4.187M,,1.477M,-15.95M,,35.54M,2.985M,0.463M,38.99M,,3.82M,,,,,,
2005-12,36.90M,,,,2.739M,11.17M,11.17M,5.184M,,-2.501M,,,27.06M,-8.101M,,45.39M,,-8.187M,,-8.187M,-165.46M,,-1.477M,-175.12M,,,,120.32M,5.47M,,5.47M,,-4.405M,,4.379M,125.77M,,40.08M,-3.967M,-0.57M,35.54M,,5.47M,,,,,,
2005-09,34.37M,,,,5.00M,9.551M,9.551M,1.844M,,2.133M,,,-6.198M,-6.198M,,46.70M,,-5.522M,,-5.522M,-77.25M,,0.933M,-81.84M,,,,22.47M,2.647M,,2.647M,,-4.148M,,1.01M,21.98M,,53.35M,-13.17M,-0.101M,40.08M,,2.647M,,,,,,
2005-06,34.12M,,,,18.14M,9.451M,9.451M,1.062M,,-0.359M,,,-16.97M,-16.97M,,45.45M,,-5.064M,,-5.064M,-97.96M,,-1.313M,-104.34M,,,,75.38M,2.822M,,2.822M,,-4.136M,,1.158M,75.23M,,38.81M,16.34M,-1.793M,53.35M,,2.822M,,,,,,
2005-03,30.97M,,,,-23.14M,9.257M,9.257M,1.043M,,,,,,,,18.13M,,-4.488M,,-4.488M,,,3.999M,-0.489M,,,,-20.70M,5.219M,,5.219M,,-4.125M,,3.656M,-15.95M,,37.58M,1.684M,-0.459M,38.81M,,5.219M,,,,,,
