,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-09,257.00M,257.00M,184.55M,72.44M,26.12M,,-0.591M,,,,34.38M,38.06M,,,-0.591M,,31.29M,9.913M,21.38M,,,21.38M,21.78M,46.33M,8.274M,38.06M,,0.0963,0.00,,,0.0981,0.0963,,0.0948,0.00,,,0.0966,0.0948,,222.25M,226.57M,0.0089,,,
2002-06,267.43M,267.43M,194.42M,73.01M,27.01M,,0.086M,,,,35.30M,37.70M,,,0.086M,,31.41M,10.08M,21.32M,,,21.32M,21.27M,46.04M,8.336M,37.70M,,0.0963,0.00,,,0.0960,0.0963,,0.0933,0.00,,,0.0931,0.0933,,222.69M,228.13M,0.0089,,,
2002-03,263.56M,263.56M,191.79M,71.77M,27.78M,,-0.196M,,,,35.34M,36.43M,,,-0.196M,,29.34M,9.679M,19.66M,,,19.66M,19.80M,44.37M,7.932M,36.43M,,0.0889,0.00,,,0.0895,0.0889,,0.0874,0.00,,,0.0880,0.0874,,221.39M,226.17M,0.0089,,,
2001-12,237.26M,237.26M,195.29M,41.98M,27.59M,,1.944M,,,,36.67M,5.307M,,,1.944M,,0.612M,-10.85M,11.46M,,,11.46M,10.29M,18.46M,13.15M,5.307M,,0.0519,0.00,,,0.0466,0.0519,,0.0519,0.00,,,0.0467,0.0519,,220.95M,224.40M,0.0089,,,
2001-09,256.53M,256.53M,191.76M,64.77M,23.74M,,0.422M,,,,31.81M,32.97M,,,0.422M,,26.93M,9.205M,17.73M,,,17.73M,17.45M,44.24M,11.28M,32.97M,,0.08,0.00,,,0.0788,0.08,,0.0785,0.00,,,0.0773,0.0785,,223.18M,227.48M,0.0089,,,
2001-06,261.42M,261.42M,194.95M,66.47M,23.18M,,0.104M,,,,30.90M,35.57M,,,0.104M,,28.52M,9.867M,18.65M,,,18.65M,18.58M,46.34M,10.77M,35.57M,,0.0844,0.00,,,0.0841,0.0844,,0.0830,0.00,,,0.0827,0.0830,,222.30M,226.14M,0.0089,,,
2001-03,264.07M,264.07M,195.92M,68.15M,24.14M,,0.255M,,,,32.44M,35.70M,,,0.255M,,28.30M,10.03M,18.27M,,,18.27M,18.11M,46.96M,11.26M,35.70M,,0.0830,0.00,,,0.0822,0.0830,,0.0815,0.00,,,0.0807,0.0815,,220.21M,224.39M,0.0089,,,
2000-12,258.25M,258.25M,188.34M,69.91M,23.61M,,-0.05M,,,,35.78M,34.13M,,,-0.05M,,26.41M,9.17M,17.24M,,,17.24M,17.27M,46.30M,12.17M,34.13M,,0.0785,0.00,,,0.0787,0.0785,,0.0785,0.00,,,0.0787,0.0785,,218.04M,220.90M,0.0089,,,
2000-09,255.10M,255.10M,186.76M,68.34M,24.24M,,0.249M,,,,34.23M,34.11M,,,0.249M,,26.52M,9.198M,17.32M,,,17.32M,17.16M,44.10M,9.989M,34.11M,,0.08,0.00,,,0.0792,0.08,,0.0785,0.00,,,0.0778,0.0785,,216.93M,219.57M,0.0089,,,
2000-06,255.50M,255.50M,187.97M,67.53M,23.47M,,-0.069M,,,,33.76M,33.77M,,,-0.069M,,27.04M,9.813M,17.22M,,,17.22M,17.27M,44.06M,10.29M,33.77M,,0.08,0.00,,,0.0802,0.08,,0.0785,0.00,,,0.0787,0.0785,,216.53M,219.05M,0.0089,,,
2000-03,255.81M,255.81M,189.97M,65.84M,23.83M,,-0.679M,,,,31.96M,33.89M,,,-0.679M,,26.18M,9.425M,16.75M,,,16.75M,17.19M,44.69M,10.80M,33.89M,,0.0770,0.00,,,0.0790,0.0770,,0.0770,0.00,,,0.0790,0.0770,,216.03M,218.89M,0.0089,,,
1999-12,236.02M,236.02M,169.35M,66.67M,19.52M,,-0.145M,,,,37.12M,29.55M,,,-0.145M,,23.10M,8.056M,15.05M,,,15.05M,15.14M,47.15M,11.28M,29.55M,,0.0680,0.00,,,0.0685,0.0680,,0.0666,0.00,,,0.0670,0.0666,,217.89M,221.90M,0.0089,,,
1999-09,226.26M,226.26M,167.15M,59.11M,21.45M,,0.182M,,,,28.59M,30.52M,,,0.182M,,24.19M,8.594M,15.59M,,,15.59M,15.48M,40.11M,9.591M,30.52M,,0.0711,0.00,,,0.0706,0.0711,,0.0697,0.00,,,0.0691,0.0697,,219.04M,223.74M,0.0089,,,
1999-06,231.64M,231.64M,174.92M,56.72M,19.78M,,0.683M,,,,27.13M,29.58M,,,0.683M,,24.41M,8.842M,15.56M,,,15.56M,15.13M,39.02M,9.438M,29.58M,,0.0711,0.00,,,0.0692,0.0711,,0.0697,0.00,,,0.0677,0.0697,,218.11M,223.34M,0.0089,,,
1999-03,230.88M,230.88M,175.57M,55.31M,18.65M,,-0.32M,,,,26.16M,29.15M,,,-0.32M,,22.80M,8.207M,14.60M,,,14.60M,14.80M,38.44M,9.286M,29.15M,,0.0667,0.00,,,0.0676,0.0667,,0.0667,0.00,,,0.0676,0.0667,,217.07M,220.69M,0.0089,,,
1998-12,206.83M,206.83M,150.25M,56.57M,20.78M,,-7.159M,,,,36.53M,20.05M,,,-7.159M,,7.733M,1.656M,6.077M,,,6.087M,11.70M,35.80M,9.296M,20.05M,,0.0310,0.0385,,-0.0002,0.0569,0.0296,,0.0281,0.0385,,-0.0002,0.0534,0.0281,,217.25M,221.90M,0.0089,,,
1998-09,232.59M,232.59M,178.38M,54.21M,19.83M,,0.982M,,,,27.24M,26.98M,,,0.982M,,21.81M,7.756M,14.05M,,,5.34M,13.42M,36.48M,9.504M,26.98M,,0.0637,-0.0400,,-0.0394,0.0609,0.0237,,0.0623,-0.0400,,-0.0394,0.0595,0.0237,,221.27M,227.63M,0.0089,,,
1998-06,246.10M,246.10M,186.50M,59.60M,21.10M,,1.90M,,,,30.80M,28.80M,,,1.90M,,24.10M,8.70M,15.40M,,,15.40M,14.19M,38.50M,9.70M,28.80M,,0.0697,0.00,,,0.0642,0.0697,,0.0667,0.00,,,0.0614,0.0667,,221.06M,230.88M,0.0089,,,
1998-03,242.00M,242.00M,183.10M,58.90M,20.30M,,0.90M,,,,30.20M,28.70M,,,0.90M,,23.70M,8.80M,14.90M,,,14.90M,14.33M,38.60M,9.90M,28.70M,,0.0667,0.00,,,0.0642,0.0667,,0.0652,0.00,,,0.0627,0.0652,,223.39M,228.47M,0.0089,,,
1997-12,217.10M,217.10M,167.00M,50.10M,17.30M,,1.00M,,,,25.80M,24.30M,,,1.00M,,21.00M,7.40M,13.60M,0.00,,13.60M,12.95M,32.80M,8.50M,24.30M,,0.0608,0.00,,,0.0579,0.0608,,0.0593,0.00,,,0.0565,0.0593,,223.94M,229.50M,0.0089,,,
1997-09,212.10M,212.10M,164.70M,47.40M,16.10M,,1.60M,,,,24.30M,23.10M,,,1.60M,,20.00M,7.10M,12.90M,-4.50M,,8.40M,11.87M,31.30M,8.20M,23.10M,,0.0578,-0.0208,,,0.0533,0.0371,,0.0563,-0.0208,,,0.0520,0.0356,,226.69M,236.13M,0.0089,,,
1997-06,216.00M,216.00M,169.00M,47.00M,17.20M,,0.80M,,,,24.40M,22.60M,,,0.80M,,18.80M,6.60M,12.20M,2.60M,,14.80M,11.68M,30.40M,7.80M,22.60M,,0.0548,0.0119,,,0.0525,0.0667,,0.0534,0.0119,,,0.0511,0.0652,,221.89M,226.93M,0.0089,,,
1997-03,202.50M,202.50M,155.80M,46.70M,16.50M,,1.10M,,,,24.90M,21.80M,,,1.10M,,18.40M,6.80M,11.60M,2.10M,,13.70M,10.91M,30.20M,8.40M,21.80M,,0.0534,0.0089,,,0.0502,0.0623,,0.0519,0.0089,,,0.0488,0.0608,,220.07M,225.44M,0.0089,,,
1996-12,190.00M,190.00M,146.40M,43.60M,14.00M,,0.60M,,,,21.80M,21.80M,,,0.60M,,18.00M,6.20M,11.80M,1.30M,,13.10M,11.41M,29.60M,7.80M,21.80M,,0.0534,0.0059,,,0.0516,0.0593,,0.0504,0.0044,,,0.0487,0.0548,,220.98M,238.12M,0.0089,,,
1996-09,194.90M,194.90M,150.70M,44.20M,15.80M,,0.70M,,,,23.60M,20.60M,,,0.70M,,16.60M,5.70M,10.90M,2.10M,,13.00M,10.44M,28.40M,6.80M,20.60M,,0.0489,0.0104,,,0.0468,0.0593,,0.0489,0.0104,,,0.0468,0.0593,,219.27M,219.27M,0.0089,,,
1996-06,224.00M,224.00M,171.40M,52.60M,19.40M,,0.80M,,,,28.40M,24.20M,,,0.80M,,20.00M,7.00M,13.00M,,,13.00M,12.48M,33.20M,9.00M,24.20M,,0.0474,0.0119,,,0.0451,0.0593,,0.0474,0.0119,,,0.0451,0.0593,,219.27M,219.27M,0.0089,,,
1996-03,227.60M,227.60M,175.10M,52.50M,19.90M,,0.50M,,,,29.00M,23.50M,,,0.50M,,19.20M,7.00M,12.20M,,,12.20M,11.88M,32.60M,9.10M,23.50M,,0.0445,0.0104,,,0.0430,0.0548,,0.0445,0.0104,,,0.0430,0.0548,,222.46M,222.46M,0.0089,,,
1995-12,146.20M,146.20M,118.90M,27.30M,9.00M,,-0.70M,,,,16.20M,11.10M,,,-0.70M,,5.60M,1.60M,4.00M,6.90M,,10.90M,4.50M,18.30M,7.20M,11.10M,,0.0178,0.0311,,-0.0000,0.0200,0.0489,,0.0148,0.0311,,-0.0000,0.0169,0.0459,,223.50M,235.25M,0.0089,,,
1995-09,204.90M,204.90M,156.90M,48.00M,18.50M,,0.20M,,,,26.60M,21.40M,,,0.20M,,16.70M,5.90M,10.80M,,,8.10M,10.67M,29.50M,8.10M,21.40M,,0.0489,-0.0119,,-0.0124,0.0483,0.0371,,0.0489,-0.0119,,-0.0124,0.0483,0.0371,,218.59M,218.59M,0.0089,,,
1995-06,219.10M,219.10M,166.80M,52.30M,19.60M,,0.10M,,,,27.80M,24.50M,,,0.10M,,19.20M,7.30M,11.90M,10.70M,,22.60M,11.84M,32.70M,8.20M,24.50M,,0.0534,0.0474,,,0.0531,0.1008,,0.0534,0.0474,,,0.0531,0.1008,,224.23M,224.23M,0.0089,,,
1995-03,219.60M,219.60M,165.80M,53.80M,22.10M,,0.50M,,,,31.40M,22.40M,,,0.50M,,17.90M,7.20M,10.70M,,,10.70M,10.40M,31.70M,9.30M,22.40M,,0.0459,0.00,,,0.0447,0.0459,,0.0459,0.00,,,0.0447,0.0459,,232.87M,232.87M,0.0089,,,
1994-12,200.30M,200.30M,150.20M,50.10M,18.90M,,0.80M,,,,29.90M,20.20M,,,0.80M,,15.60M,5.30M,10.30M,,0.00,10.30M,9.772M,31.20M,11.00M,20.20M,,0.0193,0.0385,0.00,0.0056,0.0179,0.0267,,0.0178,0.0385,-0.0020,0.0056,0.0165,0.0252,,382.36M,397.85M,0.0089,,,
1994-09,198.70M,198.70M,150.30M,48.40M,19.30M,,1.70M,,,,28.10M,20.30M,,,1.70M,,15.80M,5.60M,10.20M,,,10.20M,9.103M,29.10M,8.80M,20.30M,,0.0430,0.00,,,0.0384,0.0430,,0.0430,0.00,,,0.0384,0.0430,,237.30M,237.30M,0.0089,,,
1994-06,209.70M,209.70M,158.80M,50.90M,20.70M,,-0.10M,,,,29.50M,21.40M,,,-0.10M,,16.20M,6.50M,9.70M,,,9.70M,9.76M,30.20M,8.80M,21.40M,,0.0400,0.00,,,0.0403,0.0400,,0.0400,0.00,,,0.0403,0.0400,,242.38M,242.38M,0.0089,,,
1994-03,199.30M,199.30M,152.90M,46.40M,20.30M,,1.80M,,,,29.00M,17.40M,,,1.80M,,14.20M,5.40M,8.80M,,3.80M,0.80M,7.685M,26.10M,8.70M,17.40M,,0.0311,-0.0282,0.00,-0.0437,0.0270,0.0030,,0.0311,-0.0282,0.0141,-0.0437,0.0270,0.0030,,269.87M,269.87M,0.0089,,,
1993-12,183.30M,183.30M,151.20M,32.10M,62.50M,,8.70M,,,,71.60M,-39.50M,,,8.70M,,-35.00M,-13.40M,-21.60M,,,-21.60M,-26.97M,-30.40M,9.10M,-39.50M,,-0.0934,0.0193,,,-0.1124,-0.0741,,-0.0934,0.0193,,,-0.1124,-0.0741,,281.77M,281.77M,0.0089,,,
1993-09,175.00M,175.00M,134.50M,40.50M,19.10M,,-2.40M,,,,29.60M,10.90M,,,-2.40M,,4.10M,2.10M,2.00M,,,2.00M,3.44M,21.40M,8.80M,10.90M,,0.0074,0.00,,,0.0127,0.0074,,0.0074,0.00,,,0.0127,0.0074,,269.87M,269.87M,0.0252,,,
1993-06,186.80M,186.80M,144.80M,42.00M,20.40M,,1.90M,,,,29.40M,12.60M,,,1.90M,,10.00M,3.80M,6.20M,,,6.20M,5.022M,23.30M,10.70M,12.60M,,0.0208,0.00,,,0.0168,0.0208,,0.0208,0.00,,,0.0168,0.0208,,298.78M,298.78M,0.0252,,,
1993-03,187.10M,187.10M,147.50M,39.60M,19.80M,,1.70M,,,,27.10M,12.50M,,,1.70M,,9.70M,3.60M,6.10M,,,6.10M,5.031M,19.80M,7.30M,12.50M,,0.0208,0.00,,,0.0171,0.0208,,0.0208,0.00,,,0.0171,0.0208,,293.96M,293.96M,0.0252,,,
1992-12,191.50M,191.50M,138.30M,53.20M,18.80M,,1.70M,,,,34.10M,19.10M,,,1.70M,,16.20M,5.60M,10.60M,,,10.60M,9.488M,34.40M,15.30M,19.10M,,0.0356,0.00,,,0.0318,0.0356,,0.0356,0.00,,,0.0318,0.0356,,297.89M,297.89M,0.0252,,,
1992-09,186.00M,186.00M,141.70M,44.30M,19.00M,,2.40M,,,,26.30M,18.00M,,,2.40M,,15.50M,4.80M,10.70M,,,10.70M,9.043M,25.40M,7.40M,18.00M,,0.0371,0.00,,,0.0313,0.0371,,0.0371,0.00,,,0.0313,0.0371,,288.76M,288.76M,0.0252,,,
1992-06,195.30M,195.30M,147.70M,47.60M,19.70M,,1.80M,,,,27.00M,20.60M,,,1.80M,,17.30M,5.50M,11.80M,,,11.80M,10.57M,27.90M,7.30M,20.60M,,0.0385,0.00,,,0.0345,0.0385,,0.0385,0.00,,,0.0345,0.0385,,306.19M,306.19M,0.0252,,,
1992-03,196.80M,196.80M,147.80M,49.00M,20.20M,,1.50M,,,,27.50M,21.50M,,,1.50M,,17.80M,6.50M,11.30M,,,11.30M,10.35M,28.80M,7.30M,21.50M,,0.0385,0.00,,,0.0353,0.0385,,0.0385,0.00,,,0.0353,0.0385,,293.22M,293.22M,0.0252,,,
1991-12,183.40M,183.40M,132.50M,50.90M,17.50M,,-0.30M,,,,32.80M,18.10M,,,-0.30M,,12.30M,1.90M,10.40M,,,10.40M,10.65M,33.40M,15.30M,18.10M,,0.0356,0.00,,,0.0364,0.0356,,0.0356,0.00,,,0.0364,0.0356,,292.02M,292.02M,0.0252,,,
1991-09,170.50M,170.50M,130.20M,40.30M,17.60M,,2.50M,,,,24.70M,15.60M,,,2.50M,,12.70M,3.20M,9.50M,,,9.50M,7.630M,22.70M,7.00M,15.60M,,0.0326,0.00,,,0.0262,0.0326,,0.0326,0.00,,,0.0262,0.0326,,291.33M,291.33M,0.0252,,,
1991-06,182.10M,182.10M,139.60M,42.50M,20.20M,,4.10M,,,,27.30M,15.20M,,,4.10M,,13.70M,4.20M,9.50M,,,9.50M,6.657M,22.40M,7.20M,15.20M,,0.0311,0.00,,,0.0218,0.0311,,0.0311,0.00,,,0.0218,0.0311,,305.20M,305.20M,0.0237,,,
1991-03,179.20M,179.20M,136.00M,43.20M,18.70M,,-3.80M,,,,25.70M,17.50M,,,-3.80M,,13.60M,5.00M,8.60M,,,8.60M,11.00M,24.50M,7.00M,17.50M,,0.0296,0.00,,,0.0379,0.0296,,0.0296,0.00,,,0.0379,0.0296,,290.10M,290.10M,0.0237,,,
1990-12,169.00M,169.00M,118.00M,51.00M,18.90M,,,,,,35.80M,15.20M,,,,,11.40M,3.20M,8.20M,,,8.20M,8.20M,32.10M,16.90M,15.20M,,0.0282,0.00,,,0.0282,0.0282,,0.0282,0.00,,,0.0282,0.0282,,291.84M,291.84M,0.0237,,,
1990-09,165.20M,165.20M,125.00M,40.20M,17.20M,,,,,,23.40M,16.80M,,,,,13.00M,4.20M,8.80M,,,8.80M,8.80M,23.00M,6.20M,16.80M,,0.0296,0.00,,,0.0296,0.0296,,0.0296,0.00,,,0.0296,0.0296,,296.85M,296.85M,0.0237,,,
1990-06,157.60M,157.60M,118.80M,38.80M,16.20M,,,,,,21.20M,17.60M,,,,,16.30M,5.80M,10.50M,,,10.50M,10.50M,22.60M,5.00M,17.60M,,0.0356,0.00,,,0.0356,0.0356,,0.0356,0.00,,,0.0356,0.0356,,295.16M,295.16M,0.0237,,,
1990-03,168.90M,168.90M,127.50M,41.40M,17.20M,,,,,,22.60M,18.80M,,,,,16.00M,6.20M,9.80M,,,9.80M,9.80M,24.20M,5.40M,18.80M,,0.0326,0.00,,,0.0326,0.0326,,0.0326,0.00,,,0.0326,0.0326,,300.53M,300.53M,0.0237,,,
1989-12,152.00M,152.00M,111.30M,40.70M,15.60M,,13.70M,,,,27.80M,12.90M,,,13.70M,,11.50M,4.20M,7.30M,,,7.30M,-1.397M,25.10M,12.20M,12.90M,,0.0252,0.00,,,-0.0046,0.0252,,0.0252,0.00,,,-0.0046,0.0252,,291.69M,291.69M,0.0237,,,
1989-09,146.60M,146.60M,113.10M,33.50M,16.70M,,1.30M,,,,21.30M,12.20M,,,1.30M,,13.50M,4.70M,8.80M,,,8.80M,7.953M,16.80M,4.60M,12.20M,,0.0296,0.00,,,0.0268,0.0296,,0.0296,0.00,,,0.0268,0.0296,,296.85M,296.85M,0.0237,,,
1989-06,145.20M,145.20M,106.20M,39.00M,17.60M,,0.70M,,,,21.90M,17.10M,,,0.70M,,17.70M,6.80M,10.90M,,,10.90M,10.47M,21.40M,4.30M,17.10M,,0.0356,0.00,,,0.0342,0.0356,,0.0356,0.00,,,0.0342,0.0356,,306.41M,306.41M,0.0222,,,
1989-03,144.10M,144.10M,,,,,,,,,,144.10M,,,,,,,11.30M,,,11.30M,,144.10M,,144.10M,,0.0385,0.00,,,0.0385,0.0385,,0.0385,0.00,,,0.0385,0.0385,,297.36M,297.36M,0.0222,,,
1988-12,126.40M,126.40M,,,,,,,,,,-340.50M,,,,,,,4.70M,-2.20M,,2.50M,,-340.50M,,-340.50M,,,-0.0074,,,,-0.0074,,,-0.0074,,,,-0.0074,,296.99M,296.99M,0.0222,,,
1988-09,131.70M,131.70M,,,,,,,,,,131.70M,,,,,,,9.40M,0.10M,,9.50M,,131.70M,,131.70M,,0.0311,0.00,,,0.0311,0.0311,,0.0311,0.00,,,0.0311,0.0311,,296.90M,296.90M,0.0222,,,
1988-06,133.40M,133.40M,,,,,,,,,,133.40M,,,,,,,10.00M,-2.10M,,7.90M,,133.40M,,133.40M,,0.0341,-0.0059,,,0.0341,0.0282,,0.0341,-0.0059,,,0.0341,0.0282,,296.72M,296.72M,0.0222,,,
1988-03,128.90M,128.90M,,,,,,,,,,128.90M,,,,,,,11.00M,-0.40M,,10.60M,,128.90M,,128.90M,,0.0371,-0.0015,,,0.0371,0.0356,,0.0371,-0.0015,,,0.0371,0.0356,,296.55M,296.55M,0.0222,,,
1987-12,164.40M,164.40M,,,,,,,,,,-389.80M,,,,,,,10.60M,,,10.60M,,-389.80M,,-389.80M,,,,,,,,,,,,,,,,296.34M,296.34M,0.0222,,,
1987-09,156.60M,156.60M,,,,,,,,,,156.60M,,,,,,,9.80M,,,9.80M,,156.60M,,156.60M,,0.0326,0.00,,,0.0326,0.0326,,0.0326,0.00,,,0.0326,0.0326,,296.87M,296.87M,0.0185,,,
1987-06,155.30M,155.30M,,,,,,,,,,155.30M,,,,,,,10.90M,,,10.90M,,155.30M,,155.30M,,0.0371,0.00,,,0.0371,0.0371,,0.0371,0.00,,,0.0371,0.0371,,296.49M,296.49M,0.0185,,,
1987-03,143.90M,143.90M,,,,,,,,,,143.90M,,,,,,,9.80M,,,9.80M,,143.90M,,143.90M,,0.0326,0.00,,,0.0326,0.0326,,0.0326,0.00,,,0.0326,0.0326,,294.81M,294.81M,0.0185,,,
1986-12,142.00M,142.00M,,,,,,,,,,-383.50M,,,,,,,9.90M,,,9.90M,,-383.50M,,-383.50M,,,,,,,,,,,,,,,,295.57M,295.57M,0.0185,,,
1986-09,138.90M,138.90M,,,,,,,,,,138.90M,,,,,,,7.60M,,,7.60M,,138.90M,,138.90M,,0.0267,0.00,,,0.0267,0.0267,,0.0267,0.00,,,0.0267,0.0267,,294.81M,294.81M,0.0185,,,
1986-06,146.20M,146.20M,,,,,,,,,,146.20M,,,,,,,9.90M,,,9.90M,,146.20M,,146.20M,,0.0326,0.00,,,0.0326,0.0326,,0.0326,0.00,,,0.0326,0.0326,,297.51M,297.51M,0.0185,,,
1986-03,141.30M,141.30M,,,,,,,,,,141.30M,,,,,,,9.20M,,,9.20M,,141.30M,,141.30M,,0.0311,0.00,,,0.0311,0.0311,,0.0311,0.00,,,0.0311,0.0311,,297.00M,297.00M,0.0185,,,
1985-12,138.60M,138.60M,,,,,,,,,,-307.50M,,,,,,,8.40M,,,8.40M,,-307.50M,,-307.50M,,,,,,,,,,,,,,,,297.07M,297.07M,0.0185,,,
1985-09,122.80M,122.80M,,,,,,,,,,122.80M,,,,,,,8.80M,,,8.80M,,122.80M,,122.80M,,0.0296,0.00,,,0.0296,0.0296,,0.0296,0.00,,,0.0296,0.0296,,296.81M,296.81M,0.0148,,,
1985-06,121.50M,121.50M,,,,,,,,,,121.50M,,,,,,,8.80M,,,8.80M,,121.50M,,121.50M,,0.0296,0.00,,,0.0296,0.0296,,0.0296,0.00,,,0.0296,0.0296,,296.01M,296.01M,0.0148,,,
1985-03,119.90M,119.90M,,,,,,,,,,119.90M,,,,,,,8.90M,,,8.90M,,119.90M,,119.90M,,0.0311,0.00,,,0.0311,0.0311,,0.0311,0.00,,,0.0311,0.0311,,295.03M,295.03M,0.0148,,,
1984-12,121.00M,121.00M,,,,,,,,,,-321.10M,,,,,,,8.10M,,,8.10M,,-321.10M,,-321.10M,,,,,,,,,,,,,,,,295.16M,295.16M,,,,
1984-09,128.60M,128.60M,,,,,,,,,,128.60M,,,,,,,14.30M,,,14.30M,,128.60M,,128.60M,,0.0489,0.00,,,0.0489,0.0489,,0.0489,0.00,,,0.0489,0.0489,,294.00M,294.00M,,,,
1984-06,130.30M,130.30M,,,,,,,,,,130.30M,,,,,,,10.40M,,,10.40M,,130.30M,,130.30M,,0.0356,0.00,,,0.0356,0.0356,,0.0356,0.00,,,0.0356,0.0356,,294.36M,294.36M,,,,
1984-03,123.90M,123.90M,,,,,,,,,,123.90M,,,,,,,9.90M,,,9.90M,,123.90M,,123.90M,,0.0341,0.00,,,0.0341,0.0341,,0.0341,0.00,,,0.0341,0.0341,,294.36M,294.36M,,,,
