,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-09,1.414B,1.414B,832.00M,582.00M,,191.00M,18.00M,,,,,,342.00M,240.00M,,,,3.00M,,199.00M,49.00M,150.00M,,,-6.00M,150.00M,150.00M,373.00M,133.00M,240.00M,,0.46,0.00,,0.46,0.46,,0.455,0.00,,0.455,0.455,,326.43M,330.99M,0.1075,,,
2003-06,1.401B,1.401B,833.00M,568.00M,,192.00M,19.00M,-7.00M,,,,7.00M,345.00M,223.00M,,,,-4.00M,,188.00M,35.00M,150.00M,,,-6.00M,150.00M,155.70M,350.00M,127.00M,223.00M,,0.46,0.00,,0.4774,0.46,,0.455,0.00,,0.4722,0.455,,326.69M,330.85M,0.1075,,,
2003-03,1.337B,1.337B,804.00M,533.00M,,185.00M,17.00M,6.00M,,,,-6.00M,318.00M,215.00M,,,,9.00M,,173.00M,41.00M,130.00M,,,-5.00M,130.00M,125.42M,337.00M,122.00M,215.00M,,0.40,0.00,,0.3859,0.40,,0.395,0.00,,0.3811,0.395,,325.76M,329.27M,0.1075,,,
2002-12,1.297B,1.297B,747.00M,550.00M,,189.00M,20.00M,11.00M,,,,-8.00M,323.00M,227.00M,,,,11.00M,,182.00M,40.00M,140.00M,,0.00,-5.00M,140.00M,131.42M,349.00M,122.00M,227.00M,,0.43,0.00,0.00,0.4036,0.43,,0.43,0.00,-0.0002,0.4039,0.425,,325.11M,328.60M,0.095,,,
2002-09,1.292B,1.292B,749.00M,543.00M,,187.00M,16.00M,17.00M,,,,-15.00M,308.00M,235.00M,,,,17.00M,,172.00M,38.00M,131.00M,,,-5.00M,131.00M,117.76M,355.00M,120.00M,235.00M,,0.405,0.00,,0.3642,0.405,,0.40,0.00,,0.3596,0.40,,324.59M,327.91M,0.095,,,
2002-06,1.307B,1.307B,755.00M,552.00M,,191.00M,16.00M,21.00M,,,,-19.00M,308.00M,244.00M,,,,21.00M,,197.00M,43.00M,150.00M,,,-6.00M,150.00M,133.58M,364.00M,120.00M,244.00M,,0.46,0.00,,0.4096,0.46,,0.455,0.00,,0.4052,0.455,,325.39M,329.67M,0.095,,,
2002-03,1.232B,1.232B,699.00M,533.00M,,184.00M,17.00M,8.00M,,,,-6.00M,316.00M,217.00M,,,,8.00M,,166.00M,37.00M,127.00M,,,-4.00M,127.00M,120.78M,338.00M,121.00M,217.00M,,0.39,0.00,,0.3710,0.39,,0.385,0.00,,0.3663,0.385,,327.05M,331.87M,0.095,,,
2001-12,1.238B,1.238B,715.00M,523.00M,,175.00M,18.00M,3.00M,,,,-3.00M,315.00M,208.00M,,,,6.00M,,154.00M,35.00M,118.00M,,0.00,-4.00M,118.00M,115.68M,333.00M,125.00M,208.00M,,0.365,-0.005,0.00,0.3578,0.36,,0.36,-0.005,0.0000,0.3529,0.355,,323.98M,328.65M,0.085,,,
2001-09,1.271B,1.271B,752.00M,519.00M,,180.00M,16.00M,-48.00M,,,,48.00M,371.00M,148.00M,,,,-46.00M,,89.00M,24.00M,62.00M,,,-5.00M,62.00M,97.06M,275.00M,127.00M,148.00M,,0.19,0.00,,0.2984,0.19,,0.19,0.00,,0.2974,0.19,,323.47M,326.55M,0.085,,,
2001-06,1.314B,1.314B,784.00M,530.00M,,176.00M,16.00M,7.00M,,,,-7.00M,310.00M,220.00M,,,,9.00M,,165.00M,37.00M,126.00M,,,-4.00M,126.00M,120.57M,345.00M,125.00M,220.00M,,0.39,0.00,,0.3732,0.39,,0.385,0.00,,0.3684,0.385,,323.09M,327.60M,0.085,,,
2001-03,1.335B,1.335B,809.00M,526.00M,,168.00M,16.00M,4.00M,,,,-4.00M,302.00M,224.00M,,,,6.00M,,168.00M,39.00M,126.00M,,-2.00M,-5.00M,124.00M,122.93M,346.00M,122.00M,224.00M,,0.385,0.00,0.00,0.3754,0.385,,0.38,0.00,-0.0062,0.3706,0.38,,321.55M,325.32M,0.085,,,
2000-12,1.273B,1.273B,816.00M,457.00M,,193.00M,16.00M,-73.00M,,,,73.00M,400.00M,57.00M,,,,-71.00M,,0.00,-8.00M,5.00M,,,-5.00M,5.00M,78.00M,175.00M,118.00M,57.00M,,0.015,0.00,,0.2436,0.015,,0.015,0.00,,0.2413,0.015,,319.27M,322.52M,0.0775,,,
2000-09,1.275B,1.275B,776.00M,499.00M,,161.00M,17.00M,14.00M,,,,-14.00M,281.00M,218.00M,,,,17.00M,,160.00M,37.00M,122.00M,,,-4.00M,122.00M,111.24M,335.00M,117.00M,218.00M,,0.385,0.00,,0.3511,0.385,,0.38,0.00,,0.3465,0.38,,317.82M,321.71M,0.0775,,,
2000-06,1.265B,1.265B,761.00M,504.00M,,162.00M,16.00M,14.00M,,,,,296.00M,208.00M,,,,14.00M,,159.00M,37.00M,122.00M,,,-6.00M,122.00M,111.26M,326.00M,118.00M,208.00M,,0.385,0.00,,0.3511,0.385,,0.38,0.00,,0.3468,0.38,,317.03M,323.26M,0.0775,,,
2000-03,1.23B,1.23B,722.00M,508.00M,,167.00M,16.00M,6.00M,,,,-6.00M,295.00M,213.00M,,,,8.00M,,161.00M,37.00M,114.00M,,,-12.00M,114.00M,109.38M,331.00M,118.00M,213.00M,,0.36,0.00,,0.3455,0.36,,0.355,0.00,,0.3407,0.355,,318.87M,323.15M,0.0775,,,
1999-12,1.203B,1.203B,716.00M,487.00M,,161.00M,18.00M,24.00M,,,,,353.00M,134.00M,,,,17.00M,,127.00M,40.00M,114.00M,,0.00,-11.00M,114.00M,97.56M,244.00M,110.00M,134.00M,,0.36,0.00,0.00,0.3086,0.36,,0.35,0.00,0.0000,0.2994,0.35,,319.83M,325.18M,0.07,,,
1999-09,1.169B,1.169B,691.00M,478.00M,,155.00M,16.00M,12.00M,,,,-12.00M,270.00M,208.00M,,,,14.00M,,161.00M,40.00M,112.00M,,,-11.00M,112.00M,102.98M,319.00M,111.00M,208.00M,,0.35,0.00,,0.3218,0.35,,0.345,0.00,,0.3173,0.345,,319.41M,325.13M,0.07,,,
1999-06,1.149B,1.149B,673.00M,476.00M,,170.00M,17.00M,23.00M,,,,-23.00M,275.00M,201.00M,,,,26.00M,,151.00M,37.00M,107.00M,,,-10.00M,107.00M,89.64M,312.00M,111.00M,201.00M,,0.335,0.00,,0.2805,0.335,,0.33,0.00,,0.2766,0.33,,318.73M,325.28M,0.07,,,
1999-03,1.118B,1.118B,652.00M,466.00M,,155.00M,16.00M,31.00M,,,,,284.00M,182.00M,,,,31.00M,,143.00M,35.00M,108.00M,,-10.00M,-13.00M,98.00M,84.59M,295.00M,113.00M,182.00M,,0.34,-0.03,0.00,0.2660,0.31,,0.335,-0.03,-0.0316,0.2627,0.305,,316.28M,323.64M,0.07,,,
1998-12,1.197B,1.197B,702.00M,495.00M,,159.00M,17.00M,-3.00M,,,,,318.00M,177.00M,,,,-10.00M,,82.00M,9.00M,107.00M,,,-14.00M,107.00M,109.67M,292.00M,115.00M,177.00M,,0.335,0.00,,0.3434,0.335,,0.33,0.00,,0.3382,0.33,,316.59M,325.55M,0.0625,,,
1998-09,1.201B,1.201B,697.00M,504.00M,,153.00M,18.00M,10.00M,,,,-10.00M,279.00M,225.00M,,,,12.00M,,161.00M,40.00M,108.00M,,,-15.00M,108.00M,100.48M,343.00M,118.00M,225.00M,,0.34,0.00,,0.3164,0.34,,0.33,0.00,,0.3070,0.33,,317.79M,326.83M,0.0625,,,
1998-06,1.234B,1.234B,711.00M,523.00M,,165.00M,18.00M,6.00M,,,,-6.00M,296.00M,227.00M,,,,7.00M,,160.00M,40.00M,108.00M,,,-13.00M,108.00M,103.50M,346.00M,119.00M,227.00M,,0.34,0.00,,0.3258,0.34,,0.33,0.00,,0.3163,0.33,,317.25M,328.11M,0.0625,,,
1998-03,1.201B,1.201B,697.00M,504.00M,,167.00M,19.00M,11.00M,,,,-11.00M,290.00M,214.00M,,,,15.00M,,149.00M,38.00M,102.00M,,,-13.00M,102.00M,93.81M,329.00M,115.00M,214.00M,,0.325,0.00,,0.2991,0.325,,0.31,0.00,,0.2849,0.31,,316.12M,326.47M,0.0625,,,
1997-12,1.209B,1.209B,719.00M,490.00M,,168.00M,21.00M,10.00M,,,,,250.00M,240.00M,,,,21.00M,,188.00M,33.00M,100.00M,,,-17.00M,89.00M,91.76M,353.00M,113.00M,240.00M,,0.31,-0.035,,0.2844,0.275,,0.305,-0.035,,0.2796,0.27,,321.48M,324.92M,0.055,,,
1997-09,1.19B,1.19B,699.00M,491.00M,,162.00M,19.00M,16.00M,,,,,292.00M,199.00M,,,,16.00M,,146.00M,39.00M,107.00M,,,-15.00M,107.00M,95.27M,310.00M,111.00M,199.00M,,0.34,0.00,,0.3027,0.34,,0.325,0.00,,0.2894,0.325,,314.71M,329.23M,0.055,,,
1997-06,1.178B,1.178B,681.00M,497.00M,,165.00M,20.00M,14.00M,,,,-11.00M,284.00M,213.00M,,,,14.00M,,161.00M,40.00M,107.00M,,,-17.00M,107.00M,96.48M,323.00M,110.00M,213.00M,,0.34,0.00,,0.3068,0.34,,0.325,0.00,,0.2930,0.325,,316.55M,329.08M,0.055,,,
1997-03,1.158B,1.158B,665.00M,493.00M,,167.00M,19.00M,12.00M,,,,-10.00M,286.00M,207.00M,,,,12.00M,,156.00M,39.00M,102.00M,,,-17.00M,102.00M,93.00M,317.00M,110.00M,207.00M,,0.325,0.00,,0.2965,0.325,,0.31,0.00,,0.2826,0.31,,315.34M,328.66M,0.055,,,
1996-12,1.151B,1.151B,667.00M,484.00M,,170.00M,19.00M,11.00M,,,,,296.00M,188.00M,,,,11.00M,,133.00M,37.00M,96.00M,,,-17.00M,96.00M,88.06M,295.00M,107.00M,188.00M,,0.325,0.00,,0.2997,0.325,,0.31,0.00,,0.2857,0.31,,314.13M,327.30M,0.0475,,,
1996-09,1.115B,1.115B,637.00M,478.00M,,170.00M,18.00M,10.00M,,,,,295.00M,183.00M,,,,10.00M,,124.00M,36.00M,88.00M,,,-22.00M,88.00M,80.90M,290.00M,107.00M,183.00M,,0.28,0.00,,0.2573,0.28,,0.27,0.00,,0.2481,0.27,,312.17M,324.63M,0.0475,,,
1996-06,1.093B,1.093B,631.00M,462.00M,,168.00M,18.00M,8.00M,,,,,291.00M,171.00M,,,,8.00M,,116.00M,35.00M,81.00M,,,-14.00M,81.00M,75.41M,276.00M,105.00M,171.00M,,0.25,0.00,,0.2328,0.25,,0.25,0.00,,0.2328,0.25,,324.00M,324.00M,0.0475,,,
1996-03,1.09B,1.09B,629.00M,461.00M,,180.00M,17.00M,-79.00M,,,,,298.00M,163.00M,,,,-79.00M,,19.00M,2.00M,17.00M,,,-15.00M,17.00M,87.68M,264.00M,101.00M,163.00M,,0.06,0.00,,0.3086,0.06,,0.055,0.00,,0.2931,0.055,,284.32M,296.88M,0.0475,,,
1995-12,807.00M,807.00M,460.00M,347.00M,,136.00M,17.00M,12.00M,,,,,221.00M,126.00M,,,,12.00M,,100.00M,34.00M,66.00M,,,-10.00M,66.00M,58.08M,194.00M,68.00M,126.00M,,0.26,0.00,,0.2330,0.26,,0.225,0.00,,0.1980,0.225,,293.78M,293.78M,0.08,,,
1995-09,795.00M,795.00M,456.00M,339.00M,,121.00M,15.00M,4.00M,,,,,206.00M,133.00M,,,,4.00M,,93.00M,29.00M,64.00M,,,-15.00M,64.00M,61.25M,203.00M,70.00M,133.00M,,0.22,0.00,,0.2105,0.22,,0.22,0.00,,0.2105,0.22,,289.66M,289.66M,0.04,,,
1995-06,788.00M,788.00M,439.00M,349.00M,,123.00M,15.00M,1.00M,,,,,209.00M,140.00M,,,,1.00M,,97.00M,30.00M,67.00M,,,-12.00M,67.00M,66.31M,211.00M,71.00M,140.00M,,0.235,0.00,,0.2326,0.235,,0.235,0.00,,0.2326,0.235,,285.03M,285.03M,0.04,,,
1995-03,756.00M,756.00M,422.00M,334.00M,,116.00M,14.00M,,,,,,200.00M,134.00M,,,,,,94.00M,29.00M,65.00M,,,-13.00M,65.00M,65.00M,204.00M,70.00M,134.00M,,0.23,0.00,,0.23,0.23,,0.23,0.00,,0.23,0.23,,283.88M,283.88M,0.04,,,
1994-12,722.00M,722.00M,401.00M,321.00M,,121.00M,16.00M,6.00M,,,,,205.00M,116.00M,,,,6.00M,,77.00M,22.00M,55.00M,,,-16.00M,55.00M,50.71M,184.00M,68.00M,116.00M,,0.215,0.00,,0.1999,0.215,,0.195,0.00,,0.1799,0.195,,283.07M,283.07M,0.035,,,
1994-09,733.00M,733.00M,400.00M,333.00M,,105.00M,16.00M,-15.00M,,,,,191.00M,142.00M,,,,-15.00M,,75.00M,24.00M,51.00M,,,-20.00M,51.00M,61.20M,212.00M,70.00M,142.00M,,0.18,0.00,,0.2162,0.18,,0.18,0.00,,0.2162,0.18,,281.96M,281.96M,0.035,,,
1994-06,645.00M,645.00M,364.00M,281.00M,,93.00M,13.00M,1.00M,,,,,174.00M,107.00M,,,,1.00M,,69.00M,14.00M,55.00M,,,-15.00M,55.00M,54.20M,175.00M,68.00M,107.00M,,0.195,0.00,,0.1921,0.195,,0.195,0.00,,0.1921,0.195,,278.46M,278.46M,0.035,,,
1994-03,611.00M,611.00M,342.00M,269.00M,,90.00M,13.00M,-2.00M,,,,,170.00M,99.00M,,,,-2.00M,,64.00M,22.00M,42.00M,,,-10.00M,42.00M,43.31M,166.00M,67.00M,99.00M,,0.15,0.00,,0.1548,0.15,,0.15,0.00,,0.1548,0.15,,275.92M,275.92M,0.035,,,
1993-12,613.00M,613.00M,348.00M,265.00M,,115.00M,,,,,,,181.00M,84.00M,,,,,,53.00M,13.00M,40.00M,,,-12.00M,15.00M,40.00M,150.00M,66.00M,84.00M,,0.155,-0.095,,0.155,0.06,,0.15,-0.095,,0.15,0.055,,259.57M,271.90M,0.0313,,,
1993-09,608.00M,608.00M,351.00M,257.00M,,108.00M,,1.00M,,,,,173.00M,84.00M,,,,1.00M,,45.00M,13.00M,32.00M,,,-14.00M,32.00M,31.29M,149.00M,65.00M,84.00M,,0.12,0.00,,0.1173,0.12,,0.12,0.00,,0.1173,0.12,,266.67M,266.67M,0.0313,,,
1993-06,623.00M,623.00M,351.00M,272.00M,,116.00M,,,,,,,181.00M,91.00M,,,,,,50.00M,12.00M,38.00M,,,-13.00M,38.00M,38.00M,156.00M,65.00M,91.00M,,0.14,0.00,,0.14,0.14,,0.14,0.00,,0.14,0.14,,271.43M,271.43M,0.0313,,,
1993-03,594.00M,594.00M,337.00M,257.00M,,111.00M,,-1.00M,,,,,177.00M,80.00M,,,,-1.00M,,43.00M,10.00M,33.00M,,,-10.00M,33.00M,33.77M,146.00M,66.00M,80.00M,,0.125,0.00,,0.1279,0.125,,0.125,0.00,,0.1279,0.125,,264.00M,264.00M,0.0313,,,
1992-12,637.00M,637.00M,371.00M,266.00M,,128.00M,,-70.00M,,,,,195.00M,71.00M,,,,-70.00M,,-32.00M,-15.00M,-17.00M,,,-9.00M,-161.00M,25.00M,138.00M,67.00M,71.00M,,-0.065,-0.55,,0.0988,-0.615,,-0.065,-0.55,,0.0988,-0.615,,256.47M,256.47M,0.0313,,,
1992-09,652.00M,652.00M,367.00M,285.00M,,115.00M,,-20.00M,,,,,178.00M,107.00M,,,,-20.00M,,43.00M,9.00M,34.00M,,,-11.00M,34.00M,49.81M,170.00M,63.00M,107.00M,,0.13,0.00,,0.1905,0.13,,0.13,0.00,,0.1905,0.13,,261.54M,261.54M,0.0313,,,
1992-06,662.00M,662.00M,361.00M,301.00M,,114.00M,,-29.00M,,,,,178.00M,123.00M,,,,-29.00M,,53.00M,19.00M,34.00M,,,-14.00M,34.00M,52.60M,187.00M,64.00M,123.00M,,0.13,0.00,,0.2011,0.13,,0.13,0.00,,0.2011,0.13,,261.54M,261.54M,,,,
1992-03,653.00M,653.00M,,,,,,,,,,,,653.00M,,,,,,,,33.00M,,,,33.00M,33.00M,653.00M,,653.00M,,0.13,0.00,,0.13,0.13,,0.115,0.00,,0.115,0.115,,253.85M,286.96M,,,,
1991-12,617.00M,617.00M,,,,,,,,,,,,-1.476B,,,,,,,,29.00M,,,,29.00M,29.00M,-1.476B,,-1.476B,,0.105,0.00,,0.105,0.105,,0.105,0.00,,0.105,0.105,,276.19M,276.19M,,,,
1991-09,625.00M,625.00M,,,,,,,,,,,,625.00M,,,,,,,,23.00M,,,,23.00M,23.00M,625.00M,,625.00M,,0.09,0.00,,0.09,0.09,,0.09,0.00,,0.09,0.09,,255.56M,255.56M,,,,
1991-06,614.00M,614.00M,,,,,,,,,,,,614.00M,,,,,,,,28.00M,,,,28.00M,28.00M,614.00M,,614.00M,,0.115,0.00,,0.115,0.115,,0.115,0.00,,0.115,0.115,,243.48M,243.48M,,,,
1991-03,613.00M,613.00M,,,,,,,,,,,,613.00M,,,,,,,,27.00M,,,,27.00M,27.00M,613.00M,,613.00M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,245.45M,245.45M,,,,
