,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-03,54.00M,54.00M,1.513B,,1.513B,145.00M,50.00M,229.00M,424.00M,193.00M,,,2.184B,,,,,,,16.23B,-8.359B,7.872B,1.873B,118.00M,1.991B,,,,,810.00M,10.67B,12.86B,,687.00M,,687.00M,,687.00M,,,,,1.275B,,1.275B,,,703.00M,2.665B,,3.77B,,3.77B,,,,,302.00M,,2.047B,5.817B,8.482B,,4.00M,6.235B,3.35B,3.615B,,,,-1.901B,4.073B,,AOR,Restated
2008-12,32.00M,32.00M,1.604B,,1.604B,141.00M,54.00M,250.00M,445.00M,220.00M,,,2.301B,0.00,292.00M,836.00M,13.78B,,1.357B,16.26B,-8.341B,7.922B,1.909B,121.00M,2.03B,,,,,801.00M,10.75B,13.05B,,820.00M,,820.00M,150.00M,970.00M,,,,,1.316B,,1.316B,,,693.00M,2.979B,,3.709B,,3.709B,,,,,302.00M,,2.055B,5.764B,8.743B,,4.00M,6.068B,3.328B,3.623B,,-1.308B,-460.00M,-1.768B,4.009B,,,
2008-09,24.00M,24.00M,1.832B,,1.832B,152.00M,72.00M,271.00M,495.00M,237.00M,,,2.588B,,,,,,,16.81B,-8.605B,8.201B,1.995B,143.00M,2.138B,,,,,951.00M,11.29B,13.88B,,844.00M,,844.00M,,844.00M,,,,,1.302B,,1.302B,,,947.00M,3.093B,,3.642B,,3.642B,,,,,307.00M,,1.945B,5.587B,8.68B,,,,,,,,,4.891B,4.891B,,,Restated
2008-06,27.00M,27.00M,1.982B,,1.982B,159.00M,63.00M,285.00M,507.00M,230.00M,,,2.746B,,,,,,,17.26B,-8.806B,8.459B,2.072B,144.00M,2.216B,,,,,1.007B,11.68B,14.43B,,911.00M,,911.00M,,911.00M,,,,,922.00M,,922.00M,,,885.00M,2.718B,,3.674B,,3.674B,,,,,317.00M,,2.048B,5.722B,8.44B,,4.00M,5.745B,3.264B,2.908B,,,,-434.00M,5.671B,,,Restated
2008-03,21.00M,21.00M,1.907B,,1.907B,153.00M,61.00M,269.00M,483.00M,221.00M,,,2.632B,,,,,,,16.73B,-8.509B,8.221B,2.04B,140.00M,2.18B,,,,,967.00M,11.37B,14.00B,,888.00M,,888.00M,,888.00M,,,,,992.00M,,992.00M,,,995.00M,2.875B,,3.582B,,3.582B,,,,,344.00M,,1.99B,5.572B,8.447B,,4.00M,5.515B,3.132B,2.86B,,,,-582.00M,5.209B,,,Restated
2007-12,17.00M,17.00M,1.723B,,1.723B,129.00M,61.00M,284.00M,474.00M,54.00M,86.00M,54.00M,2.408B,0.00,288.00M,898.00M,13.83B,,1.156B,16.18B,-8.213B,7.963B,1.967B,134.00M,2.101B,,,,,910.00M,10.97B,13.38B,,818.00M,,818.00M,547.00M,1.365B,,,,,828.00M,,828.00M,,,457.00M,2.65B,,3.364B,,3.364B,,,,,321.00M,,1.905B,5.269B,7.919B,,4.00M,5.325B,3.074B,2.589B,,-437.00M,-235.00M,-672.00M,5.142B,,,
2007-09,26.00M,26.00M,1.707B,,1.707B,122.00M,64.00M,262.00M,448.00M,227.00M,,,2.408B,,,,,,,15.58B,-7.983B,7.598B,1.877B,116.00M,1.993B,,,,,752.00M,10.34B,12.75B,,777.00M,,777.00M,,777.00M,,,,,661.00M,,661.00M,,,1.087B,2.525B,,3.342B,,3.342B,,,,,255.00M,,1.767B,5.109B,7.634B,,4.00M,5.103B,3.014B,2.481B,,-544.00M,-234.00M,-778.00M,4.862B,,,
2007-06,22.00M,22.00M,1.641B,,1.641B,115.00M,60.00M,254.00M,429.00M,222.00M,,,2.314B,,,,,,,14.95B,-7.687B,7.265B,1.829B,114.00M,1.943B,,,,,729.00M,9.937B,12.25B,,749.00M,,749.00M,,749.00M,,,,,293.00M,,293.00M,,,867.00M,1.909B,,3.407B,,3.407B,,,,,234.00M,,1.851B,5.258B,7.167B,,4.00M,4.893B,2.914B,2.049B,,-667.00M,-245.00M,-912.00M,4.85B,,,
2007-03,26.00M,26.00M,1.548B,,1.548B,109.00M,55.00M,243.00M,407.00M,220.00M,,,2.201B,,,,,,,14.38B,-7.414B,6.964B,1.786B,116.00M,1.902B,,,,,681.00M,9.547B,11.75B,,664.00M,,664.00M,,664.00M,,,,,337.00M,,337.00M,,,855.00M,1.856B,,3.399B,,3.399B,,,,,230.00M,,1.796B,5.195B,7.051B,,4.00M,4.698B,2.818B,1.988B,,-815.00M,-250.00M,-1.065B,4.467B,,,
2006-12,36.00M,36.00M,1.456B,,1.456B,104.00M,50.00M,227.00M,381.00M,49.00M,87.00M,50.00M,2.059B,0.00,267.00M,783.00M,11.99B,,858.00M,13.90B,-7.203B,6.694B,1.613B,71.00M,1.684B,,,,,665.00M,9.043B,11.10B,,682.00M,,682.00M,485.00M,1.167B,,,,,186.00M,,186.00M,,,405.00M,1.758B,,2.981B,,2.981B,598.00M,598.00M,,,222.00M,,989.00M,4.568B,6.326B,,4.00M,4.687B,2.729B,1.739B,,-875.00M,-252.00M,-1.127B,4.554B,,,
2006-09,22.00M,22.00M,1.469B,,1.469B,108.00M,54.00M,238.00M,400.00M,213.00M,,,2.104B,,,,,,,13.62B,-7.107B,6.516B,1.598B,71.00M,1.669B,,,,,636.00M,8.821B,10.92B,,603.00M,,603.00M,,603.00M,,,,,350.00M,,350.00M,,,940.00M,1.893B,,2.824B,,2.824B,,,,,209.00M,,1.505B,4.329B,6.222B,,4.00M,4.499B,2.666B,1.537B,,,,-1.138B,4.494B,,,
2006-06,21.00M,21.00M,1.453B,,1.453B,111.00M,54.00M,231.00M,396.00M,216.00M,,,2.086B,,,,,,,13.38B,-6.965B,6.417B,1.59B,74.00M,1.664B,,,,,672.00M,8.753B,10.84B,,576.00M,,576.00M,,576.00M,,,,,875.00M,,875.00M,,,882.00M,2.333B,,2.579B,,2.579B,,,,,203.00M,,1.455B,4.034B,6.367B,,4.00M,4.333B,2.612B,1.506B,,,,-1.174B,4.269B,,,
2006-03,32.00M,32.00M,1.405B,,1.405B,102.00M,58.00M,231.00M,391.00M,225.00M,,,2.053B,,,,,,,13.04B,-6.771B,6.271B,,1.645B,1.645B,,,,,647.00M,8.563B,10.62B,,581.00M,,581.00M,,581.00M,,285.00M,,346.00M,631.00M,,631.00M,,,862.00M,2.074B,,2.777B,,2.777B,,,,,207.00M,,1.433B,4.21B,6.284B,,4.00M,4.166B,2.562B,1.412B,,,,-1.195B,4.125B,,,
2005-12,173.00M,173.00M,1.386B,,1.386B,90.00M,67.00M,216.00M,373.00M,201.00M,,,2.133B,0.00,244.00M,734.00M,11.13B,,550.00M,12.66B,-6.553B,6.108B,1.545B,81.00M,1.626B,,,,,624.00M,8.358B,10.49B,,639.00M,,639.00M,,639.00M,,,,,521.00M,,521.00M,,,841.00M,2.001B,,2.926B,,2.926B,,,,,202.00M,,1.46B,4.386B,6.387B,,4.00M,4.022B,2.489B,1.356B,,,,-1.257B,3.902B,,,
2005-09,19.00M,19.00M,1.334B,,1.334B,89.00M,63.00M,217.00M,369.00M,161.00M,,,1.883B,,,,,,,12.56B,-6.50B,6.062B,,1.62B,1.62B,,,,,617.00M,8.299B,10.18B,,530.00M,,530.00M,,530.00M,,,,,457.00M,,457.00M,,,854.00M,1.841B,,2.815B,,2.815B,,,,,225.00M,,1.428B,4.243B,6.084B,,4.00M,3.867B,2.451B,1.312B,,,,-1.137B,3.873B,,,
2005-06,28.00M,28.00M,1.285B,,1.285B,89.00M,49.00M,213.00M,351.00M,168.00M,,,1.832B,,,,,,,12.25B,-6.318B,5.933B,,1.606B,1.606B,,,,,566.00M,8.105B,9.937B,,504.00M,,504.00M,,504.00M,,,,,517.00M,,517.00M,,,705.00M,1.726B,,2.81B,,2.81B,,,,,225.00M,,1.355B,4.165B,5.891B,,4.00M,3.817B,2.403B,1.199B,,,,-1.204B,3.821B,,,
2005-03,26.00M,26.00M,1.264B,,1.264B,87.00M,50.00M,203.00M,340.00M,143.00M,,,1.773B,,,,,,,11.97B,-6.088B,5.886B,,1.614B,1.614B,,,,,559.00M,8.059B,9.832B,,541.00M,,541.00M,,541.00M,,,,,608.00M,,608.00M,,,678.00M,1.827B,,2.841B,,2.841B,,,,,221.00M,,1.292B,4.133B,5.96B,,4.00M,3.666B,2.362B,1.131B,,,,-1.25B,3.651B,,,
2004-12,25.00M,25.00M,1.231B,,1.231B,87.00M,37.00M,204.00M,328.00M,34.00M,85.00M,41.00M,1.744B,0.00,239.00M,718.00M,10.67B,,403.00M,12.03B,-6.088B,5.946B,,1.639B,1.639B,,,,,549.00M,8.134B,9.878B,,502.00M,,502.00M,,502.00M,,,,,649.00M,,649.00M,,,724.00M,1.875B,,2.876B,,2.876B,,,,,225.00M,,1.294B,4.17B,6.045B,,4.00M,3.529B,2.314B,1.059B,,,,-1.18B,3.608B,,,
2004-09,22.00M,22.00M,1.136B,,1.136B,81.00M,42.00M,185.00M,308.00M,111.00M,,,1.577B,,,,,,,10.83B,-5.543B,5.283B,,1.312B,1.312B,,,,,507.00M,7.102B,8.679B,,418.00M,,418.00M,,418.00M,,,,,629.00M,,629.00M,,,578.00M,1.625B,,2.258B,,2.258B,,,,,206.00M,,1.221B,3.479B,5.104B,,4.00M,3.397B,2.273B,959.00M,,,,-1.346B,3.369B,,,
2004-06,23.00M,23.00M,1.104B,,1.104B,81.00M,42.00M,199.00M,322.00M,115.00M,,,1.564B,,,,,,,10.73B,-5.543B,5.188B,,1.293B,1.293B,,,,,493.00M,6.974B,8.538B,,407.00M,,407.00M,,407.00M,,,,,164.00M,,164.00M,,,521.00M,1.092B,,2.857B,,2.857B,,,,,203.00M,,1.205B,4.062B,5.154B,,4.00M,3.269B,2.237B,900.00M,,,,-1.429B,3.181B,,,
2004-03,37.00M,37.00M,1.013B,,1.013B,84.00M,40.00M,184.00M,308.00M,125.00M,,,1.483B,,,,,,,10.77B,-5.543B,5.224B,,1.128B,1.128B,,,,,492.00M,6.844B,8.327B,,401.00M,,401.00M,,401.00M,,,,,150.00M,,150.00M,,,515.00M,1.066B,,2.693B,,2.693B,,,,,198.00M,,1.234B,3.927B,4.993B,,4.00M,3.142B,2.196B,842.00M,,,,-1.364B,3.136B,,,
2003-12,50.00M,50.00M,962.00M,,962.00M,83.00M,33.00M,186.00M,302.00M,135.00M,,,1.449B,0.00,227.00M,643.00M,9.504B,,421.00M,10.80B,-5.543B,5.252B,,1.131B,1.131B,,,,,473.00M,6.856B,8.305B,,413.00M,,413.00M,104.00M,517.00M,,,,,155.00M,,155.00M,,,445.00M,1.117B,,2.661B,,2.661B,,,,,195.00M,,1.244B,3.905B,5.022B,,4.00M,3.027B,2.148B,739.00M,,,,-1.352B,3.088B,,,
2003-09,46.00M,46.00M,965.00M,,965.00M,84.00M,35.00M,183.00M,302.00M,113.00M,,,1.426B,,,,9.884B,,,9.884B,-4.761B,5.123B,,1.097B,1.097B,,,,,421.00M,6.641B,8.067B,,393.00M,,393.00M,,393.00M,,23.00M,,144.00M,167.00M,,167.00M,,,499.00M,1.059B,,2.791B,,2.791B,,,,,181.00M,,1.162B,3.953B,5.012B,,2.00M,2.918B,2.09B,712.00M,,,,-1.424B,2.874B,,,
2003-06,54.00M,54.00M,965.00M,,965.00M,82.00M,32.00M,180.00M,294.00M,123.00M,,,1.436B,,,,9.829B,,,9.829B,-4.761B,5.068B,,1.094B,1.094B,,,,,425.00M,6.587B,8.023B,,369.00M,,369.00M,,369.00M,,22.00M,,154.00M,176.00M,,176.00M,,,494.00M,1.039B,,2.776B,,2.776B,,,,,168.00M,,1.16B,3.936B,4.975B,,2.00M,2.803B,2.048B,570.00M,,,,-1.403B,2.88B,,,
2003-03,58.00M,58.00M,937.00M,,937.00M,81.00M,32.00M,172.00M,285.00M,132.00M,,,1.412B,,,,,,,9.445B,-4.761B,4.684B,,1.065B,1.065B,,,,,400.00M,6.149B,7.561B,,360.00M,,360.00M,,360.00M,,,,,214.00M,,214.00M,,,515.00M,1.089B,,2.528B,,2.528B,,,,,160.00M,,1.307B,3.835B,4.924B,,2.00M,2.688B,1.992B,588.00M,,,,-1.617B,2.477B,,,
2002-12,39.00M,39.00M,860.00M,,860.00M,78.00M,31.00M,168.00M,277.00M,110.00M,,,1.286B,0.00,241.00M,575.00M,8.273B,,338.00M,9.427B,-4.761B,4.666B,,1.035B,1.035B,,,,,414.00M,6.115B,7.401B,,378.00M,,378.00M,74.00M,452.00M,,,,,238.00M,,238.00M,,,410.00M,1.10B,,2.51B,,2.51B,,,,,164.00M,,1.287B,3.797B,4.897B,,2.00M,2.593B,1.965B,547.00M,,,,-1.673B,2.34B,,,
2002-09,44.00M,44.00M,869.00M,,869.00M,81.00M,34.00M,173.00M,288.00M,120.00M,,,1.321B,,,,,,,8.976B,-4.425B,4.551B,,997.00M,997.00M,,,,,389.00M,5.937B,7.258B,,328.00M,,328.00M,,328.00M,,,,,248.00M,,248.00M,,,532.00M,1.108B,,2.627B,,2.627B,,,,,152.00M,,1.167B,3.794B,4.902B,,2.00M,2.483B,1.94B,547.00M,,,,-1.674B,2.204B,,,
2002-06,32.00M,32.00M,923.00M,,923.00M,88.00M,40.00M,179.00M,307.00M,131.00M,,,1.393B,,,,,,,9.151B,-4.425B,4.726B,,1.054B,1.054B,,,,,453.00M,6.233B,7.626B,,363.00M,,363.00M,,363.00M,,,,,305.00M,,305.00M,,,557.00M,1.225B,,2.717B,,2.717B,,,,,155.00M,20.00M,1.18B,3.917B,5.142B,,2.00M,2.383B,1.919B,540.00M,,,,-1.435B,2.329B,,,
2002-03,38.00M,38.00M,899.00M,,899.00M,86.00M,40.00M,166.00M,292.00M,127.00M,,,1.356B,,,,,,,9.225B,-4.425B,4.80B,,1.218B,1.218B,,,,,413.00M,6.431B,7.787B,,364.00M,,364.00M,,364.00M,,,,,298.00M,,298.00M,,,509.00M,1.171B,,2.711B,,2.711B,,,,,148.00M,20.00M,1.17B,3.901B,5.072B,,2.00M,2.403B,1.903B,409.00M,,,,-1.332B,2.567B,,,
2001-12,39.00M,39.00M,857.00M,,857.00M,87.00M,36.00M,164.00M,287.00M,93.00M,,,1.276B,0.00,233.00M,579.00M,8.047B,,383.00M,9.242B,-4.425B,4.817B,,,,,,,,1.622B,6.439B,7.715B,,413.00M,,413.00M,80.00M,493.00M,,,,,264.00M,,264.00M,,,437.00M,1.194B,,2.725B,,2.725B,,,,,141.00M,20.00M,1.158B,3.903B,5.097B,,2.00M,2.307B,1.795B,330.00M,,,,-1.297B,2.477B,,,
2001-09,30.00M,30.00M,918.00M,,918.00M,92.00M,49.00M,167.00M,308.00M,109.00M,,,1.365B,,,,,,,8.848B,-4.122B,4.726B,,,,,,,,1.605B,6.331B,7.696B,,393.00M,,393.00M,,393.00M,,,,,263.00M,,263.00M,,,520.00M,1.176B,,2.912B,,2.912B,,,,,147.00M,,1.14B,4.052B,5.228B,,22.00M,2.216B,1.739B,333.00M,20.00M,,,-1.323B,2.321B,,,
2001-06,46.00M,46.00M,932.00M,,932.00M,95.00M,57.00M,167.00M,319.00M,145.00M,,,1.442B,,,,,,,8.814B,-4.122B,4.692B,,,,,,,,1.706B,6.398B,7.84B,,405.00M,,405.00M,,405.00M,,,,,270.00M,,270.00M,,,503.00M,1.178B,,2.916B,,2.916B,,,,,139.00M,,1.173B,4.089B,5.267B,,22.00M,2.182B,1.73B,292.00M,20.00M,,,-1.208B,2.434B,,,
2001-03,43.00M,43.00M,933.00M,,933.00M,98.00M,54.00M,164.00M,316.00M,163.00M,,,1.455B,,,,,,,8.81B,-4.122B,4.688B,,,,,,,,1.685B,6.373B,7.828B,,413.00M,,413.00M,,413.00M,,333.00M,,175.00M,508.00M,,508.00M,,,512.00M,1.433B,,2.714B,,2.714B,,,,,139.00M,,1.179B,3.893B,5.326B,,22.00M,2.084B,1.685B,279.00M,20.00M,,,-1.149B,2.363B,,,
2000-12,31.00M,31.00M,876.00M,,876.00M,98.00M,38.00M,161.00M,297.00M,157.00M,,,1.361B,0.00,199.00M,566.00M,7.589B,,539.00M,8.893B,-4.122B,4.771B,,,,,,,,1.63B,6.401B,7.762B,,409.00M,,409.00M,,409.00M,,,,,500.00M,,500.00M,,,530.00M,1.439B,,2.641B,,2.641B,,,,,138.00M,,1.167B,3.808B,5.247B,,22.00M,1.987B,1.658B,279.00M,20.00M,,,-1.011B,2.377B,,,
2000-09,31.00M,31.00M,905.00M,,905.00M,104.00M,65.00M,144.00M,313.00M,126.00M,,,1.375B,,,,,,,8.809B,-4.059B,4.75B,,,,,,,,1.685B,6.435B,7.81B,,380.00M,,380.00M,,380.00M,,,,,514.00M,,514.00M,,,465.00M,1.359B,,2.729B,,2.729B,,,,,143.00M,,1.156B,3.885B,5.244B,,22.00M,2.007B,1.643B,292.00M,20.00M,,,-957.00M,2.423B,,,
2000-06,25.00M,25.00M,917.00M,,917.00M,108.00M,56.00M,145.00M,309.00M,118.00M,,,1.369B,,,,,,,8.816B,-4.02B,4.796B,,,,,,,,1.707B,6.503B,7.872B,,332.00M,,332.00M,,332.00M,,,,,518.00M,,518.00M,,,461.00M,1.311B,,2.883B,,2.883B,,,,,164.00M,,1.145B,4.028B,5.339B,,22.00M,1.909B,1.636B,303.00M,20.00M,,,-895.00M,2.369B,,,
2000-03,25.00M,25.00M,891.00M,,891.00M,108.00M,55.00M,153.00M,316.00M,103.00M,,,1.335B,,,,,,,8.746B,-3.966B,4.78B,,,,,,,,1.684B,6.464B,7.799B,,353.00M,,353.00M,,353.00M,,,,,969.00M,,969.00M,,,459.00M,1.781B,,2.107B,,2.107B,,,,,371.00M,,1.149B,3.256B,5.037B,,77.00M,1.812B,1.624B,310.00M,75.00M,,,-812.00M,2.391B,,,
1999-12,76.00M,76.00M,848.00M,,848.00M,,,,310.00M,,,101.00M,1.335B,,,,,,,8.581B,-3.861B,4.72B,,,,,,,,1.667B,6.387B,7.722B,,361.00M,,361.00M,,361.00M,,,,,884.00M,,884.00M,,,480.00M,1.725B,,2.111B,,2.111B,,,,,359.00M,,1.162B,3.273B,4.998B,,77.00M,1.722B,1.613B,219.00M,75.00M,-828.00M,,-828.00M,2.365B,,,
1999-09,35.00M,35.00M,865.00M,,865.00M,100.00M,41.00M,145.00M,286.00M,97.00M,,,1.283B,,,,,,,8.339B,-3.776B,4.563B,,,,,,,,1.562B,6.125B,7.408B,,305.00M,,305.00M,,305.00M,,,,,209.00M,,209.00M,,,487.00M,1.001B,,2.745B,,2.745B,,,,,337.00M,,1.095B,3.84B,4.841B,,77.00M,1.63B,1.602B,209.00M,75.00M,,,-870.00M,2.23B,,,
1999-06,45.00M,45.00M,869.00M,,869.00M,105.00M,39.00M,144.00M,288.00M,106.00M,,,1.308B,,,,,,,8.236B,-3.684B,4.552B,,,,,,,,1.577B,6.129B,7.437B,,315.00M,,315.00M,,315.00M,,,,,258.00M,,258.00M,,,488.00M,1.061B,,2.709B,,2.709B,,,,,345.00M,,1.084B,3.793B,4.854B,,77.00M,1.541B,1.593B,173.00M,75.00M,,,-800.00M,2.238B,,,
1999-03,28.00M,28.00M,918.00M,,918.00M,110.00M,31.00M,148.00M,289.00M,107.00M,,,1.342B,,,,,,,8.152B,-3.617B,4.535B,,,,,,,,1.574B,6.109B,7.451B,,337.00M,,337.00M,,337.00M,,,,,328.00M,,328.00M,,,480.00M,1.145B,,2.764B,,2.764B,,,,,351.00M,,1.064B,3.828B,4.973B,,77.00M,1.456B,1.541B,184.00M,75.00M,,,-763.00M,2.127B,,,
1998-12,34.00M,34.00M,919.00M,,919.00M,,,,319.00M,,,122.00M,1.394B,,,,,,,8.678B,-3.803B,4.875B,,1.272B,1.272B,,,,,555.00M,6.702B,8.096B,,378.00M,,378.00M,,378.00M,,,,,379.00M,,379.00M,,,532.00M,1.289B,,2.895B,,2.895B,357.00M,357.00M,,,487.00M,,661.00M,3.913B,5.202B,,75.00M,1.38B,,,75.00M,,,,2.407B,,,
1998-09,40.00M,40.00M,940.00M,,940.00M,112.00M,39.00M,164.00M,315.00M,145.00M,,,1.44B,,,,,,,8.491B,-3.742B,4.749B,,,,,,,,1.848B,6.597B,8.037B,,328.00M,,328.00M,,328.00M,,,,,369.00M,,369.00M,,,454.00M,1.151B,,2.983B,,2.983B,,,,,486.00M,,1.083B,4.066B,5.217B,,77.00M,1.293B,1.514B,149.00M,75.00M,,,-401.00M,2.334B,,,
1998-06,31.00M,31.00M,985.00M,,985.00M,114.00M,32.00M,173.00M,319.00M,164.00M,,,1.499B,,,,,,,8.507B,-3.752B,4.755B,,,,,,,,1.825B,6.58B,8.079B,,376.00M,,376.00M,,376.00M,,,,,362.00M,,362.00M,,,506.00M,1.244B,,3.151B,,3.151B,,,,,482.00M,,928.00M,4.079B,5.323B,,77.00M,1.204B,1.51B,129.00M,75.00M,,,-388.00M,2.274B,,,
1998-03,36.00M,36.00M,993.00M,,993.00M,109.00M,43.00M,169.00M,321.00M,169.00M,,,1.519B,,,,,,,8.356B,-3.67B,4.686B,,,,,,,,1.788B,6.474B,7.993B,,376.00M,,376.00M,,376.00M,,,,,436.00M,,436.00M,,,531.00M,1.343B,,3.013B,,3.013B,,,,,483.00M,,936.00M,3.949B,5.292B,,77.00M,1.116B,1.492B,125.00M,75.00M,,,-342.00M,2.218B,,,
1997-12,43.00M,43.00M,971.00M,,971.00M,120.00M,48.00M,161.00M,329.00M,154.00M,,,1.497B,0.00,206.00M,489.00M,6.629B,,850.00M,8.174B,-3.567B,4.607B,,1.213B,1.213B,,,,,493.00M,6.313B,7.81B,,383.00M,,383.00M,,383.00M,,,,,431.00M,,431.00M,,,552.00M,1.366B,,2.874B,,2.874B,,,,,521.00M,,852.00M,3.726B,5.092B,,77.00M,1.034B,1.471B,129.00M,75.00M,-256.00M,,-256.00M,2.197B,,,
1997-09,53.00M,53.00M,988.00M,,988.00M,122.00M,33.00M,151.00M,306.00M,174.00M,,,1.521B,,,,,,,8.066B,-3.535B,4.531B,,,,,,,,1.688B,6.219B,7.74B,,358.00M,,358.00M,,358.00M,,,,,1.271B,,1.271B,,,528.00M,2.157B,,2.024B,,2.024B,,,,,508.00M,,882.00M,2.906B,5.063B,,77.00M,962.00M,1.43B,104.00M,75.00M,-196.00M,,-196.00M,2.169B,,,
1997-06,48.00M,48.00M,913.00M,,913.00M,126.00M,33.00M,149.00M,308.00M,203.00M,,,1.472B,,,,,,,7.797B,-3.379B,4.418B,,,,,,,,1.649B,6.067B,7.539B,,327.00M,,327.00M,,327.00M,,,,,1.381B,,1.381B,,,502.00M,2.21B,,1.755B,,1.755B,,,,,598.00M,,846.00M,2.601B,4.811B,,77.00M,872.00M,1.421B,62.00M,75.00M,-178.00M,,-178.00M,2.13B,,,
1997-03,70.00M,70.00M,912.00M,,912.00M,119.00M,30.00M,152.00M,301.00M,129.00M,,277.00M,1.689B,,,,,,,7.641B,-3.324B,4.317B,,,,,,,,1.632B,5.949B,7.638B,,335.00M,,335.00M,,335.00M,,,,,1.69B,,1.69B,,,508.00M,2.533B,,1.685B,,1.685B,,,,,583.00M,,802.00M,2.487B,5.02B,,77.00M,782.00M,1.39B,39.00M,75.00M,-175.00M,,-175.00M,2.035B,,,
1996-12,63.00M,63.00M,914.00M,,914.00M,118.00M,40.00M,154.00M,312.00M,377.00M,,,1.666B,,,,,,,7.508B,-3.239B,4.269B,,1.173B,1.173B,,,,,430.00M,5.872B,7.538B,,408.00M,,408.00M,,408.00M,,,,,1.562B,,1.562B,,,580.00M,2.55B,,1.703B,,1.703B,,,,,493.00M,,793.00M,2.496B,5.046B,,77.00M,698.00M,1.35B,,75.00M,-126.00M,,-126.00M,1.999B,,,
1996-09,82.00M,82.00M,,,891.00M,,,,298.00M,,,591.00M,1.862B,,,,,,,7.04B,-2.921B,4.119B,,,,,,,,1.478B,5.597B,7.459B,,340.00M,,340.00M,,340.00M,,,,,1.74B,,1.74B,,,574.00M,2.654B,,1.671B,,1.671B,,,,,573.00M,,766.00M,2.437B,5.091B,,,617.00M,,,,,,,1.795B,,,
1996-06,56.00M,56.00M,,,847.00M,,,,320.00M,,,583.00M,1.806B,,,,,,,6.934B,-2.921B,4.013B,,,,,,,,1.406B,5.419B,7.225B,,315.00M,,315.00M,,315.00M,,,,,1.899B,,1.899B,,,595.00M,2.809B,,1.395B,,1.395B,,,,,577.00M,,753.00M,2.148B,4.957B,,,543.00M,,,,,,,1.691B,,,
1996-03,48.00M,48.00M,,,812.00M,,,,302.00M,,,661.00M,1.823B,,,,,,,6.793B,-2.921B,3.872B,,,,,,,,1.404B,5.276B,7.099B,,325.00M,,325.00M,,325.00M,,,,,1.786B,,1.786B,,,547.00M,2.658B,,1.469B,,1.469B,,,,,568.00M,,798.00M,2.267B,4.925B,,,478.00M,,,,,,,1.606B,,,
1995-12,15.00M,15.00M,,,617.00M,,,,228.00M,,,70.00M,930.00M,,,,,,,5.658B,-2.921B,2.737B,,174.00M,174.00M,,,,,293.00M,3.204B,4.134B,,272.00M,,272.00M,,272.00M,,,,,385.00M,,385.00M,,,372.00M,1.029B,,933.00M,,933.00M,,,,,408.00M,,643.00M,1.576B,2.605B,,,474.00M,,,,,,,1.121B,,,
1995-09,12.00M,12.00M,,,610.00M,,,,202.00M,,,66.00M,890.00M,,,,,,,5.288B,-2.683B,2.605B,,,,,,,,434.00M,3.039B,3.929B,,221.00M,,221.00M,,221.00M,,,,,477.00M,,477.00M,,,318.00M,1.016B,,936.00M,,936.00M,,,,,381.00M,,548.00M,1.484B,2.50B,,,420.00M,,,,,,,1.048B,,,
1995-06,35.00M,35.00M,,,613.00M,,,,193.00M,,,70.00M,911.00M,,,,,,,5.204B,-2.683B,2.521B,,,,,,,,418.00M,2.939B,3.85B,,222.00M,,222.00M,,222.00M,,,,,415.00M,,415.00M,,,307.00M,944.00M,,1.014B,,1.014B,,,,,374.00M,,541.00M,1.555B,2.499B,,,367.00M,,,,,,,977.00M,,,
