,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-12,1.676B,1.676B,1.146B,530.00M,,,129.00M,,-122.00M,,,-1.763B,1.422B,-892.00M,,,-122.00M,,62.00M,10.00M,52.00M,0.00,0.00,,52.00M,154.32M,-759.00M,133.00M,-892.00M,,0.13,0.00,0.00,,0.3900,0.13,,0.13,0.00,-0.0007,,0.3900,0.13,,393.50M,393.50M,0.08,,AOR,Restated
2003-09,1.598B,1.598B,537.00M,1.061B,,,128.00M,,12.00M,,,622.00M,750.00M,311.00M,,,12.00M,,200.00M,63.00M,137.00M,0.00,0.00,,137.00M,128.78M,443.00M,132.00M,311.00M,,0.35,0.00,0.00,,0.329,0.35,,0.35,0.00,0.00,,0.329,0.35,,391.43M,391.43M,0.08,,AOR,Restated
2003-06,1.633B,1.633B,,,,,129.00M,,24.00M,,,1.206B,1.335B,298.00M,,,24.00M,,199.00M,62.00M,137.00M,0.00,0.00,,137.00M,120.48M,430.00M,132.00M,298.00M,,0.35,0.00,0.00,,0.3078,0.35,,0.35,0.00,0.00,,0.3078,0.35,,391.43M,391.43M,0.07,,AOR,Restated
2003-03,1.561B,1.561B,,,,,127.00M,,21.00M,,,1.203B,1.33B,231.00M,,,21.00M,,125.00M,40.00M,85.00M,10.00M,114.00M,,209.00M,70.72M,362.00M,131.00M,231.00M,,0.22,0.03,0.00,,0.1831,0.54,,0.22,0.03,0.2945,,0.1831,0.54,,387.04M,387.04M,0.07,,AOR,Restated
2002-12,1.581B,1.581B,,,,,130.00M,,45.00M,,,-3.241B,-335.00M,-1.071B,,,45.00M,,186.00M,57.00M,129.00M,0.00,0.00,,129.00M,97.79M,-937.00M,134.00M,-1.071B,,0.33,0.00,0.00,,0.2502,0.33,,0.33,0.00,0.00,,0.2502,0.33,,391.09M,391.09M,0.07,,AOR,Restated
2002-09,1.598B,1.598B,,,,,129.00M,,4.00M,,,1.158B,1.287B,311.00M,,,4.00M,,189.00M,63.00M,126.00M,0.00,0.00,,126.00M,123.33M,444.00M,133.00M,311.00M,,0.32,0.00,0.00,,0.3132,0.32,,0.32,0.00,0.00,,0.3132,0.32,,393.75M,393.75M,0.07,,AOR,Restated
2002-06,1.593B,1.593B,748.00M,845.00M,674.00M,674.00M,129.00M,-103.00M,2.00M,,,608.00M,1.411B,-566.00M,,,2.00M,,194.00M,75.00M,119.00M,0.00,,,119.00M,117.77M,-177.00M,389.00M,-566.00M,,0.31,0.00,,,0.3068,0.31,,0.31,0.00,,,0.3068,0.31,,383.87M,383.87M,0.06,,AOR,
2002-03,1.498B,1.498B,724.00M,774.00M,706.00M,706.00M,127.00M,-113.00M,34.00M,,,43.00M,876.00M,-102.00M,,,34.00M,,137.00M,51.00M,86.00M,,,,86.00M,64.66M,25.00M,-127.00M,-102.00M,,0.22,0.00,,,0.1649,0.22,,0.22,0.00,,,0.1652,0.22,,387.20M,389.70M,0.06,,AOR,
2001-12,1.53B,1.53B,492.00M,1.038B,680.00M,680.00M,130.00M,-97.00M,32.00M,,,-1.701B,-891.00M,1.929B,,,32.00M,,171.00M,56.00M,115.00M,0.00,,,115.00M,93.48M,2.061B,132.00M,1.929B,,0.30,0.00,,,0.2437,0.30,,0.2981,0.00,,,0.2423,0.2981,,382.21M,385.83M,0.06,,AOR,Restated
2001-09,1.508B,1.508B,769.00M,739.00M,655.00M,655.00M,129.00M,-113.00M,16.00M,,,624.00M,1.408B,-669.00M,,,16.00M,,124.00M,45.00M,79.00M,,,,79.00M,68.81M,-536.00M,133.00M,-669.00M,,0.20,0.00,,,0.1742,0.20,,0.20,0.00,,,0.1742,0.20,,395.00M,395.00M,0.06,,AOR,
2001-06,1.592B,1.592B,786.00M,806.00M,688.00M,688.00M,128.00M,-106.00M,24.00M,,,640.00M,1.456B,-650.00M,,,24.00M,,167.00M,60.00M,107.00M,,,,107.00M,91.62M,-261.00M,389.00M,-650.00M,,0.28,0.00,,,0.2398,0.28,,0.28,0.00,,,0.2398,0.28,,382.14M,382.14M,0.06,,AOR,
2001-03,1.54B,1.54B,794.00M,746.00M,698.00M,698.00M,127.00M,-105.00M,27.00M,,,58.00M,883.00M,-137.00M,,,27.00M,,91.00M,30.00M,61.00M,13.00M,,,74.00M,42.90M,-10.00M,-127.00M,-137.00M,,0.16,0.03,,,0.1129,0.19,,0.16,0.03,,,0.1130,0.19,,384.50M,384.80M,0.06,,AOR,
2000-12,1.569B,1.569B,161.00M,1.408B,278.00M,278.00M,126.00M,,14.00M,,,-1.673B,-1.269B,2.677B,,,14.00M,,-6.00M,-11.00M,5.00M,,,,5.00M,-3.40M,2.807B,130.00M,2.677B,,0.01,0.00,,,-0.0115,0.01,,0.01,,,,-0.0115,0.01,,390.25M,390.25M,0.20,,AOR,Restated
2000-09,1.517B,1.517B,799.00M,718.00M,692.00M,692.00M,126.00M,-119.00M,81.00M,,,640.00M,1.458B,-740.00M,,,81.00M,,156.00M,57.00M,99.00M,,,,99.00M,47.60M,-102.00M,638.00M,-740.00M,,0.26,0.00,,,0.125,0.26,,0.26,0.00,,,0.125,0.26,,380.77M,380.77M,0.20,,AOR,
2000-06,1.592B,1.592B,796.00M,796.00M,708.00M,708.00M,126.00M,-124.00M,45.00M,,,61.00M,895.00M,-99.00M,,,45.00M,,184.00M,68.00M,116.00M,,,,116.00M,87.63M,27.00M,-380.00M,-99.00M,,0.30,0.00,,,0.2260,0.30,,0.30,0.00,,,0.2260,0.30,,383.20M,383.60M,0.20,,AOR,
2000-03,1.495B,1.495B,683.00M,812.00M,719.00M,719.00M,125.00M,,28.00M,,,655.00M,1.499B,-687.00M,,,28.00M,,-84.00M,-36.00M,-48.00M,,,,-48.00M,-64.80M,-558.00M,129.00M,-687.00M,,-0.12,0.00,,,-0.162,-0.12,,-0.12,0.00,,,-0.162,-0.12,,400.00M,400.00M,0.20,,AOR,
1999-12,1.518B,1.518B,361.00M,1.157B,384.00M,384.00M,112.00M,,-6.00M,,,79.00M,575.00M,582.00M,,,-6.00M,,42.00M,11.00M,31.00M,,,,31.00M,35.43M,1.434B,852.00M,582.00M,,0.08,0.00,,,0.0916,0.08,,0.08,0.00,,,0.0916,0.08,,382.91M,382.91M,0.20,,AOR,Restated
1999-09,1.50B,1.50B,797.00M,703.00M,787.00M,787.00M,124.00M,-141.00M,24.00M,,,51.00M,962.00M,-259.00M,,,24.00M,,36.00M,17.00M,19.00M,,,,19.00M,4.60M,-135.00M,-124.00M,-259.00M,,0.05,0.00,,,0.0121,0.05,,0.05,0.00,,,0.0121,0.05,,380.00M,380.00M,0.20,,,
1999-06,1.194B,1.194B,513.00M,681.00M,522.00M,522.00M,121.00M,-51.00M,48.00M,,,47.00M,690.00M,-9.00M,,,48.00M,,115.00M,38.00M,77.00M,,,,77.00M,44.86M,112.00M,-121.00M,-9.00M,,0.20,0.00,,,0.1155,0.20,,0.20,0.00,,,0.1160,0.20,,380.20M,382.70M,0.20,,,
1999-03,1.03B,1.03B,307.00M,723.00M,438.00M,438.00M,118.00M,,49.00M,,,39.00M,595.00M,128.00M,,,49.00M,,158.00M,46.00M,112.00M,,,,112.00M,77.27M,246.00M,-118.00M,128.00M,,0.30,0.00,,,0.2070,0.30,,0.30,0.00,,,0.2070,0.30,,373.33M,373.33M,0.20,,,
1998-12,1.061B,1.028B,152.00M,876.00M,,551.00M,100.00M,,-111.00M,,,,816.00M,60.00M,,,-111.00M,,201.00M,41.00M,160.00M,105.00M,,,160.00M,143.36M,847.00M,787.00M,60.00M,,0.42,0.00,,-0.0005,0.6522,0.42,,0.42,0.00,,-0.0005,0.6520,0.42,,380.51M,380.85M,0.20,,AOR,Restated
1998-09,1.048B,1.048B,284.00M,764.00M,,391.00M,115.00M,,72.00M,,,,506.00M,258.00M,,,72.00M,,201.00M,50.00M,151.00M,,,,158.00M,96.91M,373.00M,-115.00M,258.00M,,0.40,0.02,,0.0186,0.2562,0.42,,0.40,0.02,,0.0186,0.2562,0.42,,376.19M,376.19M,0.20,,,
1998-06,1.079B,1.079B,309.00M,770.00M,409.00M,409.00M,112.00M,,89.00M,,,36.00M,557.00M,213.00M,,,89.00M,,255.00M,68.00M,187.00M,,,,187.00M,121.73M,325.00M,-112.00M,213.00M,,0.48,0.00,,,0.3125,0.48,,0.48,0.00,,,0.3125,0.48,,389.58M,389.58M,0.20,,,
1998-03,1.066B,1.066B,309.00M,757.00M,456.00M,456.00M,110.00M,,65.00M,,,41.00M,607.00M,150.00M,,,65.00M,,188.00M,56.00M,132.00M,-1.00M,,,229.00M,86.36M,260.00M,-110.00M,150.00M,,0.35,0.26,,0.2610,0.2284,0.61,,0.35,0.26,,0.2610,0.2284,0.61,,375.41M,375.41M,0.20,,,
1997-12,1.062B,1.062B,-648.00M,1.71B,,463.00M,99.00M,,-12.00M,,,,1.319B,391.00M,,,-12.00M,,290.00M,71.00M,219.00M,5.00M,,,224.00M,228.06M,1.145B,754.00M,391.00M,,0.58,0.01,,,0.6038,0.59,,0.58,0.01,,,0.6038,0.59,,380.40M,380.40M,0.20,,AOR,Restated
1997-09,1.048B,1.048B,289.00M,759.00M,,351.00M,111.00M,,67.00M,,,,462.00M,297.00M,,,67.00M,,232.00M,63.00M,169.00M,1.00M,,,170.00M,120.19M,408.00M,-104.60M,297.00M,,0.44,0.03,,,0.3051,0.47,,0.44,0.03,,,0.3051,0.47,,361.70M,361.70M,0.20,,,
1997-06,1.304B,1.304B,285.10M,1.019B,401.80M,401.80M,109.60M,,-195.50M,,,29.00M,540.40M,478.50M,,,-195.50M,,288.40M,98.30M,190.10M,,,,190.10M,318.96M,588.10M,-111.40M,478.50M,,1.52,0.00,,,1.862,1.52,,1.52,0.00,,,1.862,1.52,,376.96M,376.96M,0.20,,,
1997-03,1.046B,1.046B,630.00M,416.00M,,29.00M,106.00M,,-48.00M,,,,135.00M,281.00M,,,-48.00M,,195.00M,70.00M,125.00M,3.00M,,,128.00M,155.77M,387.00M,-106.00M,281.00M,,0.33,0.00,,,0.4093,0.33,,0.33,0.00,,,0.4093,0.33,,387.88M,387.88M,0.20,,,
1996-12,1.180B,510.90M,-465.70M,976.60M,388.00M,388.00M,87.50M,,-97.50M,,,38.50M,514.00M,462.60M,,,-97.50M,,279.40M,96.30M,183.10M,,,,200.10M,263.99M,1.202B,739.50M,462.60M,,0.5332,,,,0.7034,0.5332,,0.5332,,,,0.7034,0.5332,,375.29M,375.29M,0.1867,,AOR,Restated
1996-09,1.211B,1.211B,270.70M,940.60M,397.70M,397.70M,107.70M,,-154.30M,,,34.10M,539.50M,401.10M,,,-154.30M,,313.40M,111.10M,202.30M,,,,202.30M,301.90M,508.80M,-107.70M,401.10M,,1.61,0.00,,,1.875,1.61,,1.61,0.00,,,1.875,1.61,,375.26M,375.26M,0.1867,,,
1996-06,1.217B,1.217B,279.50M,937.80M,413.10M,413.10M,107.20M,,-150.00M,,,33.50M,553.80M,384.00M,,,-150.00M,,306.40M,106.90M,199.50M,,,,199.50M,297.17M,491.20M,-107.20M,384.00M,,1.57,0.00,,,1.828,1.57,,1.57,0.00,,,1.828,1.57,,378.12M,378.12M,0.1867,,,
1996-03,1.162B,1.162B,271.90M,889.60M,446.70M,446.70M,105.60M,,-145.70M,,,29.90M,582.20M,307.40M,,,-145.70M,,266.80M,98.70M,168.10M,,,,168.10M,259.90M,413.00M,-105.60M,307.40M,,1.31,0.00,,,1.547,1.31,,1.31,0.00,,,1.547,1.31,,387.10M,387.10M,0.1733,,,
1995-12,499.20M,499.20M,149.50M,349.70M,,326.00M,90.90M,,533.90M,,,,321.50M,28.20M,,,533.90M,,234.30M,72.10M,162.20M,,,,177.20M,-207.41M,119.10M,-90.90M,28.20M,,0.4578,,,,-0.4970,0.4578,,0.4578,,,,-0.4970,0.4578,,387.10M,387.10M,0.1733,,AOR,
1995-09,1.184B,1.184B,254.10M,929.80M,421.10M,421.10M,104.50M,,-156.60M,,,31.50M,557.10M,372.70M,,,-156.60M,,287.10M,103.20M,183.90M,,,,183.90M,284.21M,477.20M,-104.50M,372.70M,,1.40,0.00,,,1.655,1.40,,1.40,0.00,,,1.655,1.40,,393.08M,393.08M,0.1733,,,
1995-06,1.190B,1.190B,273.50M,916.70M,414.20M,414.20M,102.60M,,-146.40M,,,35.00M,551.80M,364.90M,,,-146.40M,,291.10M,109.90M,181.20M,,,,181.20M,272.33M,467.50M,-102.60M,364.90M,,1.38,0.00,,,1.612,1.38,,1.38,0.00,,,1.612,1.38,,393.08M,393.08M,0.1733,,,
1995-03,1.139B,1.139B,272.90M,865.80M,439.70M,439.70M,101.00M,,-90.90M,,,28.90M,569.60M,296.20M,,,-90.90M,,276.50M,105.80M,170.70M,,,,170.70M,226.82M,397.20M,-101.00M,296.20M,,1.29,0.00,,,1.431,1.29,,1.29,0.00,,,1.431,1.29,,399.40M,399.40M,0.1733,,,
1994-12,1.172B,1.172B,284.00M,887.90M,401.80M,401.80M,68.60M,,-128.00M,,,907.60M,1.378B,-490.10M,,,-128.00M,,279.10M,103.00M,176.10M,,,,176.10M,256.86M,219.40M,709.50M,-490.10M,,0.4405,,,,0.6425,0.4405,,0.4405,,,,0.6425,0.4405,,399.80M,399.80M,0.16,,AOR,
1994-09,1.171B,1.171B,268.80M,902.40M,413.20M,413.20M,102.70M,,-173.10M,,,24.90M,540.80M,361.60M,,,-173.10M,,266.10M,97.80M,168.30M,,,,168.30M,277.78M,464.30M,-102.70M,361.60M,,1.24,0.00,,,1.504,1.24,,1.24,0.00,,,1.504,1.24,,414.89M,414.89M,0.1598,,,
1994-06,1.161B,1.161B,280.70M,880.70M,416.70M,416.70M,102.80M,,-139.30M,,,31.20M,550.70M,330.00M,,,-139.30M,,278.50M,100.00M,178.50M,,,,178.50M,267.78M,432.80M,-102.80M,330.00M,,1.30,0.00,,,1.515,1.30,,1.30,0.00,,,1.515,1.30,,414.89M,414.89M,0.1598,,,
1994-03,1.077B,1.077B,266.40M,810.40M,409.60M,409.60M,100.20M,,-115.50M,,,30.60M,540.40M,270.00M,,,-115.50M,,225.30M,80.40M,144.90M,,,,144.90M,219.18M,370.20M,-100.20M,270.00M,,1.05,0.00,,,1.229,1.05,,1.05,0.00,,,1.229,1.05,,414.89M,414.89M,0.1598,,,
1993-12,1.085B,1.085B,370.10M,715.20M,,366.90M,97.70M,,19.60M,,,,464.60M,250.60M,,,19.60M,,246.30M,86.90M,159.40M,,0.00,,159.40M,146.72M,348.30M,-97.70M,250.60M,,0.46,-0.07,0.00,,0.4291,0.39,,0.44,-0.07,-0.0029,,0.4104,0.37,,410.42M,428.66M,0.1598,,,
1993-09,1.089B,1.089B,384.80M,704.10M,,379.80M,98.90M,,32.10M,,,,478.70M,225.40M,,,32.10M,,233.00M,137.80M,95.20M,,,,95.20M,75.94M,324.30M,-98.90M,225.40M,,0.23,0.00,,,0.1835,0.23,,0.23,0.00,,,0.1835,0.23,,413.91M,413.91M,0.1598,,,
1993-06,1.170B,1.170B,493.70M,676.70M,,380.80M,105.10M,,31.90M,,,,485.90M,190.80M,,,31.90M,,198.30M,43.10M,155.20M,,,,155.20M,130.23M,295.90M,-105.10M,190.80M,,0.37,0.00,,,0.3105,0.37,,0.37,0.00,,,0.3105,0.37,,419.46M,419.46M,0.1499,,,
1993-03,1.116B,1.116B,436.00M,679.50M,,382.10M,103.80M,,53.20M,,,,485.90M,193.60M,,,53.20M,,221.10M,82.10M,139.00M,,223.00M,,362.00M,105.55M,297.40M,-103.80M,193.60M,,0.33,0.53,0.0000,,0.2505,0.86,,0.33,0.53,0.5298,,0.2505,0.86,,420.93M,420.93M,0.1499,,,
1992-12,1.173B,1.173B,492.20M,681.10M,,371.90M,101.80M,,23.30M,,,,473.70M,207.40M,,,23.30M,,204.10M,75.90M,128.20M,,,,128.20M,113.56M,309.20M,-101.80M,207.40M,,0.30,0.00,,,0.2657,0.30,,0.29,0.00,,,0.2568,0.29,,427.16M,440.26M,0.1499,,,
1992-09,1.188B,1.188B,477.30M,710.90M,,375.40M,99.10M,,21.90M,,,,474.50M,236.40M,,,21.90M,,231.40M,85.60M,145.80M,,,,145.80M,132.00M,335.50M,-99.10M,236.40M,,0.34,0.00,,,0.3078,0.34,,0.34,0.00,,,0.3078,0.34,,428.82M,428.82M,0.1499,,,
1992-06,1.147B,1.147B,437.00M,709.90M,,382.20M,97.70M,,25.60M,,,,479.90M,230.00M,,,25.60M,,228.70M,83.70M,145.00M,,,,145.00M,128.77M,327.70M,-97.70M,230.00M,,0.34,0.00,,,0.3019,0.34,,0.34,0.00,,,0.3019,0.34,,426.47M,426.47M,0.1499,,,
1992-03,1.098B,1.098B,422.20M,676.00M,,365.30M,98.00M,,27.00M,,,,463.30M,212.70M,,,27.00M,,211.10M,72.40M,138.70M,,,,138.70M,120.96M,310.70M,-98.00M,212.70M,,0.32,0.00,,,0.2791,0.32,,0.32,0.00,,,0.2791,0.32,,433.44M,433.44M,0.1499,,,
1991-12,1.105B,1.105B,1.402B,-297.50M,,93.60M,96.00M,,46.30M,,,,189.60M,-487.10M,,,46.30M,,-467.20M,-112.60M,-354.60M,,,,-354.60M,-389.74M,-391.10M,-96.00M,-487.10M,,-0.79,0.00,,,-0.8886,-0.79,,-0.79,0.00,,,-0.8886,-0.79,,356.56M,356.56M,0.1332,,,
1991-09,1.168B,1.168B,741.60M,426.00M,,88.70M,95.10M,,21.20M,,,,183.80M,242.20M,,,21.20M,,237.90M,87.60M,150.30M,,,,150.30M,136.91M,337.30M,-94.70M,242.20M,,0.34,0.00,,,0.3097,0.34,,0.34,0.00,,,0.3097,0.34,,442.06M,442.06M,0.1332,,,
1991-06,1.114B,1.114B,722.80M,390.70M,,90.30M,95.70M,,33.50M,,,,186.00M,204.70M,,,33.50M,,213.70M,79.70M,134.00M,,,,134.00M,112.99M,300.40M,-95.70M,204.70M,,0.30,0.00,,,0.2530,0.30,,0.30,0.00,,,0.2530,0.30,,446.67M,446.67M,0.1332,,,
1991-03,1.065B,1.065B,721.50M,343.80M,,96.70M,94.90M,,30.30M,,,,191.60M,152.20M,,,30.30M,,159.20M,59.20M,100.00M,,,,100.00M,80.97M,247.10M,-94.90M,152.20M,,0.22,0.00,,,0.1781,0.22,,0.22,0.00,,,0.1781,0.22,,454.55M,454.55M,0.1332,,,
1990-12,1.124B,1.124B,740.10M,384.20M,,125.80M,95.10M,,44.60M,,,,220.90M,163.30M,,,44.60M,,181.30M,64.20M,117.10M,,,,117.10M,88.29M,258.40M,-95.10M,163.30M,,0.27,0.00,,,0.2042,0.27,,0.27,0.00,,,0.2042,0.27,,437.81M,437.81M,0.1332,,,
1990-09,1.175B,1.175B,771.10M,403.90M,,97.20M,93.00M,,34.40M,,,,190.20M,213.70M,,,34.40M,,226.80M,83.90M,142.90M,,,,142.90M,121.23M,306.70M,-93.00M,213.70M,,0.30,0.00,,,0.2545,0.30,,0.30,0.00,,,0.2545,0.30,,476.33M,476.33M,0.1332,,,
1990-06,1.179B,1.179B,761.20M,418.20M,,97.70M,93.00M,,35.10M,,,,190.70M,227.50M,,,35.10M,,247.00M,91.10M,155.90M,,,,155.90M,133.75M,320.50M,-93.00M,227.50M,,0.32,0.00,,,0.2745,0.32,,0.32,0.00,,,0.2745,0.32,,487.19M,487.19M,0.1199,,,
1990-03,1.138B,1.138B,751.70M,386.60M,,91.10M,91.90M,,31.20M,,,,183.00M,203.60M,,,31.20M,,220.30M,80.10M,140.20M,,,,140.20M,120.34M,295.50M,-91.90M,203.60M,,0.28,0.00,,,0.2403,0.28,,0.28,0.00,,,0.2403,0.28,,500.71M,500.71M,0.1199,,,
1989-12,1.108B,1.108B,727.90M,380.00M,,91.60M,92.20M,,31.50M,,,,183.80M,196.20M,,,31.50M,,215.00M,66.80M,148.20M,,,,148.20M,126.49M,288.40M,-92.20M,196.20M,,0.30,0.00,,,0.2560,0.30,,0.29,0.00,,,0.2475,0.29,,493.17M,511.03M,0.1199,,,
1989-09,1.142B,1.142B,744.00M,398.00M,,112.00M,85.50M,,40.30M,,,,197.50M,200.50M,,,40.30M,,228.90M,78.40M,150.50M,,,,150.50M,124.00M,286.00M,-85.50M,200.50M,,0.29,0.00,,,0.2389,0.29,,0.29,0.00,,,0.2389,0.29,,518.97M,518.97M,0.1199,,,
1989-06,1.174B,1.174B,748.90M,425.30M,,109.00M,83.40M,,55.30M,,,,192.40M,232.90M,,,55.30M,,276.20M,102.40M,173.80M,,,,173.80M,139.00M,316.30M,83.40M,232.90M,,0.33,0.00,,,0.2639,0.33,,0.33,0.00,,,0.2639,0.33,,526.67M,526.67M,0.1099,,,
1989-03,1.112B,1.112B,,,,,,,,,,,,1.112B,,,,,,,133.80M,,,,133.80M,133.80M,1.112B,,1.112B,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,535.20M,535.20M,0.1099,,,
1988-12,1.159B,1.159B,,,,,,,,,,,,-2.357B,,,,,,,179.00M,,,,179.00M,179.00M,-2.357B,,-2.357B,,0.32,0.00,,,0.32,0.32,,0.32,0.00,,,0.32,0.32,,561.07M,561.07M,0.1099,,,
1988-09,1.162B,1.162B,,,,,,,,,,,,1.162B,,,,,,,179.40M,,,,179.40M,179.40M,1.162B,,1.162B,,0.33,0.00,,,0.33,0.33,,0.33,0.00,,,0.33,0.33,,543.64M,543.64M,0.1099,,,
1988-06,1.11B,1.11B,,,,,,,,,,,,1.11B,,,,,,,158.20M,,,,158.20M,158.20M,1.11B,,1.11B,,0.29,0.00,,,0.29,0.29,,0.29,0.00,,,0.29,0.29,,545.52M,545.52M,0.0999,,,
1988-03,1.034B,1.034B,,,,,,,,,,,,1.034B,,,,,,,118.50M,,,,118.50M,118.50M,1.034B,,1.034B,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,564.29M,564.29M,0.0999,,,
1987-12,1.060B,1.060B,,,,,,,,,,,,-2.948B,,,,,,,173.70M,,,,173.70M,173.70M,-2.948B,,-2.948B,,0.3023,,,,0.3023,0.3023,,0.3023,,,,0.3023,0.3023,,574.02M,574.02M,0.0999,,,
1987-09,1.030B,1.030B,,,,,,,,,,,,1.030B,,,,,,,-248.50M,,,,-248.50M,-248.50M,1.030B,,1.030B,,-0.44,0.00,,,-0.44,-0.44,,-0.44,0.00,,,-0.44,-0.44,,564.77M,564.77M,0.0999,,,
1987-06,1.043B,1.043B,,,,,,,,,,,,1.043B,,,,,,,122.40M,,,,122.40M,122.40M,1.043B,,1.043B,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,582.86M,582.86M,0.0999,,,
1987-03,979.50M,979.50M,,,,,,,,,,,,979.50M,,,,,,,124.80M,,,,124.80M,124.80M,979.50M,,979.50M,,0.22,0.00,,,0.22,0.22,,0.22,0.00,,,0.22,0.22,,567.27M,567.27M,0.10,,,
1986-12,1.040B,1.040B,,,,,,,,,,,,-2.335B,,,,,,,144.20M,,,,144.20M,144.20M,-2.335B,,-2.335B,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,577.73M,577.73M,0.0944,,,
1986-09,1.005B,1.005B,,,,,,,,,,,,1.005B,,,,,,,127.80M,,,,127.80M,127.80M,1.005B,,1.005B,,0.23,0.00,,,0.23,0.23,,0.23,0.00,,,0.23,0.23,,555.65M,555.65M,0.0944,,,
1986-06,1.05B,1.05B,,,,,,,,,,,,1.05B,,,,,,,143.00M,,,,143.00M,143.00M,1.05B,,1.05B,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,572.00M,572.00M,0.0944,,,
1986-03,857.20M,857.20M,,,,,,,,,,,,857.20M,,,,,,,103.70M,,,,103.70M,103.70M,857.20M,,857.20M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,576.11M,576.11M,0.0944,,,
1985-12,1.017B,1.017B,,,,,,,,,,,,-2.089B,,,,,,,120.10M,,,,120.10M,120.10M,-2.089B,,-2.089B,,0.21,0.00,,,0.21,0.21,,0.21,0.00,,,0.21,0.21,,571.70M,571.70M,,,,
1985-09,1.034B,1.034B,,,,,,,,,,,,1.034B,,,,,,,141.60M,,,,141.60M,141.60M,1.034B,,1.034B,,0.25,0.00,,,0.25,0.25,,0.25,0.00,,,0.25,0.25,,566.40M,566.40M,,,,
1985-06,892.40M,892.40M,,,,,,,,,,,,892.40M,,,,,,,138.70M,,,,138.70M,138.70M,892.40M,,892.40M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,577.92M,577.92M,,,,
1985-03,862.20M,862.20M,,,,,,,,,,,,862.20M,,,,,,,99.80M,,,,99.80M,99.80M,862.20M,,862.20M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,554.44M,554.44M,,,,
1984-12,814.70M,814.70M,,,,,,,,,,,,-1.976B,,,,,,,108.20M,,,,108.20M,108.20M,-1.976B,,-1.976B,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,569.18M,569.18M,,,,
1984-09,904.90M,904.90M,,,,,,,,,,,,904.90M,,,,,,,134.70M,,,,134.70M,134.70M,904.90M,,904.90M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,561.25M,561.25M,,,,
1984-06,920.30M,920.30M,,,,,,,,,,,,920.30M,,,,,,,136.10M,,,,136.10M,136.10M,920.30M,,920.30M,,0.24,0.00,,,0.24,0.24,,0.24,0.00,,,0.24,0.24,,567.08M,567.08M,,,,
1984-03,884.70M,884.70M,,,,,,,,,,,,884.70M,,,,,,,103.20M,,,,103.20M,103.20M,884.70M,,884.70M,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,573.33M,573.33M,,,,
