,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-12,362.00M,,-34.00M,196.00M,196.00M,196.00M,73.00M,,,18.00M,5.00M,,-86.00M,-38.00M,7.00M,-94.00M,,503.00M,,-447.00M,502.00M,55.00M,-233.00M,-447.00M,-625.00M,,75.00M,75.00M,80.00M,0.00,80.00M,,-53.00M,,102.00M,,309.00M,-20.00M,289.00M,,80.00M,101.00M,-26.00M,0.00,110.00M,155.00M,,AOR,Restated
2005-09,301.00M,,-20.00M,198.00M,198.00M,198.00M,54.00M,,,-64.00M,-12.00M,,30.00M,172.00M,83.00M,209.00M,,742.00M,,-221.00M,241.00M,20.00M,-616.00M,-221.00M,-817.00M,,-36.00M,-36.00M,42.00M,0.00,42.00M,,-53.00M,,-47.00M,,431.00M,-122.00M,309.00M,,42.00M,0.00,-36.00M,0.00,23.00M,82.00M,,AOR,Restated
2005-06,424.00M,,-21.00M,196.00M,196.00M,196.00M,-71.00M,,,4.00M,-11.00M,,53.00M,-115.00M,-7.00M,-76.00M,,452.00M,,-213.00M,244.00M,31.00M,24.00M,-213.00M,-158.00M,,-689.00M,-689.00M,6.00M,0.00,6.00M,,-44.00M,,-727.00M,,864.00M,-433.00M,431.00M,,6.00M,0.00,-689.00M,0.00,138.00M,178.00M,,AOR,Restated
2005-03,194.00M,,-13.00M,197.00M,197.00M,197.00M,24.00M,,,-52.00M,-10.00M,,23.00M,36.00M,9.00M,6.00M,,408.00M,,-144.00M,148.00M,4.00M,-87.00M,-144.00M,-227.00M,,194.00M,194.00M,66.00M,0.00,66.00M,,-44.00M,,216.00M,,467.00M,397.00M,864.00M,,66.00M,332.00M,-138.00M,0.00,,70.00M,,AOR,Restated
2004-12,264.00M,,-40.00M,192.00M,192.00M,192.00M,88.00M,,,39.00M,-2.00M,,-88.00M,-36.00M,33.00M,-54.00M,,450.00M,,-372.00M,402.00M,30.00M,81.00M,-372.00M,-261.00M,,-29.00M,-29.00M,91.00M,,91.00M,,-40.00M,,22.00M,,368.00M,211.00M,579.00M,,91.00M,0.00,-29.00M,,68.00M,172.00M,,AOR,
2004-09,288.00M,,-75.00M,152.00M,152.00M,152.00M,24.00M,,,-23.00M,-2.00M,,25.00M,163.00M,33.00M,196.00M,,585.00M,,-257.00M,286.00M,29.00M,-201.00M,-257.00M,-429.00M,,6.00M,6.00M,42.00M,,42.00M,,-39.00M,,9.00M,,203.00M,165.00M,368.00M,,42.00M,61.00M,-55.00M,,27.00M,70.00M,,AOR,Restated
2004-06,213.00M,,-22.00M,133.00M,133.00M,133.00M,60.00M,,,-16.00M,-3.00M,,25.00M,-41.00M,19.00M,-16.00M,,368.00M,,-240.00M,255.00M,15.00M,-25.00M,-240.00M,-250.00M,,-15.00M,-15.00M,24.00M,,24.00M,,-31.00M,,-22.00M,,107.00M,96.00M,203.00M,,24.00M,53.00M,-68.00M,,51.00M,170.00M,,AOR,Restated
2004-03,158.00M,,-16.00M,132.00M,132.00M,132.00M,28.00M,,,-71.00M,-5.00M,,20.00M,40.00M,-28.00M,-44.00M,,258.00M,,-172.00M,173.00M,1.00M,-22.00M,-172.00M,-193.00M,,-215.00M,-215.00M,5.00M,,5.00M,,-32.00M,,-242.00M,,284.00M,-177.00M,107.00M,,5.00M,88.00M,-303.00M,,,71.00M,,AOR,Restated
2003-12,52.00M,,,133.00M,133.00M,133.00M,16.00M,,181.00M,84.00M,0.00,,-90.00M,-48.00M,153.00M,99.00M,,254.00M,,-184.00M,222.00M,38.00M,84.00M,-184.00M,-62.00M,,0.00,0.00,,,8.00M,,-31.00M,,-66.00M,,158.00M,126.00M,284.00M,,,43.00M,-43.00M,,,,,AOR,Restated
2003-09,137.00M,,,132.00M,132.00M,132.00M,69.00M,,-18.00M,21.00M,10.00M,,30.00M,48.00M,5.00M,114.00M,,434.00M,,-150.00M,175.00M,25.00M,-21.00M,-150.00M,-146.00M,,-210.00M,-210.00M,,,1.00M,,-31.00M,,-240.00M,,110.00M,48.00M,158.00M,,,88.00M,-298.00M,,,,,AOR,Restated
2003-06,137.00M,,,132.00M,132.00M,132.00M,53.00M,,-22.00M,-11.00M,-1.00M,,32.00M,-98.00M,11.00M,-67.00M,,233.00M,,-189.00M,201.00M,12.00M,-45.00M,-189.00M,-222.00M,,-4.00M,-4.00M,,,3.00M,,-28.00M,,-29.00M,,128.00M,-18.00M,110.00M,,,43.00M,-47.00M,,,,,AOR,Restated
2003-03,199.00M,,,131.00M,131.00M,131.00M,-6.00M,,-131.00M,-106.00M,-4.00M,,24.00M,73.00M,-47.00M,-60.00M,,133.00M,,-197.00M,200.00M,3.00M,-16.00M,-197.00M,-210.00M,,47.00M,47.00M,,,1.00M,,-27.00M,,21.00M,,184.00M,-56.00M,128.00M,,,87.00M,-40.00M,,,,,AOR,Restated
2002-12,129.00M,,-101.00M,134.00M,134.00M,134.00M,39.00M,,-112.00M,1.00M,-6.00M,,1.00M,14.00M,82.00M,92.00M,,181.00M,,-172.00M,188.00M,16.00M,28.00M,-172.00M,-128.00M,,23.00M,23.00M,42.00M,,3.00M,,-27.00M,,-1.00M,,132.00M,52.00M,184.00M,,42.00M,63.00M,-40.00M,,54.00M,525.00M,,AOR,Restated
2002-09,126.00M,,51.00M,133.00M,133.00M,133.00M,69.00M,,-67.00M,-161.00M,9.00M,,-53.00M,55.00M,75.00M,-75.00M,,237.00M,,-169.00M,532.00M,363.00M,-12.00M,-517.00M,-166.00M,,-8.00M,-8.00M,-36.00M,,3.00M,,-28.00M,,-33.00M,,94.00M,38.00M,132.00M,,-36.00M,83.00M,-91.00M,,-268.00M,-38.00M,,AOR,Restated
2002-06,119.00M,,-15.00M,389.00M,389.00M,389.00M,42.00M,,-167.00M,92.00M,-6.00M,,25.00M,-59.00M,-98.00M,-46.00M,,322.00M,,-152.00M,,-152.00M,-21.00M,,-173.00M,,-197.00M,-197.00M,1.00M,,1.00M,,-23.00M,,-219.00M,,164.00M,-70.00M,94.00M,,1.00M,393.00M,-590.00M,,241.00M,-41.00M,,AOR,
2002-03,86.00M,,-36.00M,-127.00M,-127.00M,-127.00M,28.00M,,167.00M,-140.00M,-4.00M,,28.00M,25.00M,36.00M,-55.00M,,63.00M,,-196.00M,,-196.00M,-10.00M,,-206.00M,,91.00M,91.00M,35.00M,,35.00M,,-23.00M,,103.00M,,204.00M,-40.00M,164.00M,,35.00M,133.00M,-42.00M,,27.00M,79.00M,,AOR,
2001-12,115.00M,,-45.00M,132.00M,132.00M,132.00M,-5.00M,,0.00,-19.00M,-1.00M,,-71.00M,-27.00M,-2.00M,-120.00M,,77.00M,,-152.00M,864.00M,712.00M,35.00M,-746.00M,1.00M,,16.00M,16.00M,0.00,,0.00,,-24.00M,,-8.00M,,134.00M,70.00M,204.00M,,0.00,55.00M,-39.00M,,3.00M,190.00M,,AOR,Restated
2001-09,79.00M,,-19.00M,133.00M,133.00M,133.00M,45.00M,,0.00,-26.00M,7.00M,,15.00M,52.00M,-32.00M,16.00M,13.00M,267.00M,,-169.00M,13.00M,-156.00M,-19.00M,,-175.00M,,17.00M,17.00M,1.00M,,1.00M,,-23.00M,,-5.00M,,47.00M,87.00M,134.00M,,1.00M,334.00M,-317.00M,,4.00M,75.00M,,AOR,
2001-06,94.00M,,-18.00M,389.00M,389.00M,389.00M,40.00M,,-282.00M,-1.00M,-3.00M,,34.00M,-52.00M,4.00M,-18.00M,-13.00M,192.00M,,-131.00M,15.00M,-116.00M,8.00M,-2.00M,-110.00M,,-75.00M,-75.00M,9.00M,,9.00M,,-23.00M,,-89.00M,,54.00M,-7.00M,47.00M,,9.00M,331.00M,-406.00M,,5.00M,203.00M,,AOR,
2001-03,74.00M,,-34.00M,-127.00M,-127.00M,-127.00M,-36.00M,,295.00M,-28.00M,-2.00M,,68.00M,,-92.00M,-54.00M,,118.00M,,-294.00M,10.00M,-284.00M,-35.00M,2.00M,-317.00M,,272.00M,272.00M,4.00M,,4.00M,,-23.00M,,253.00M,,0.00,54.00M,54.00M,,4.00M,1.275B,-1.003B,,62.00M,82.00M,,AOR,
2000-12,5.00M,,-27.00M,130.00M,130.00M,130.00M,0.00,,,58.00M,25.00M,,-70.00M,-83.00M,81.00M,11.00M,,119.00M,,-223.00M,752.00M,529.00M,34.00M,,-168.00M,,-27.00M,-27.00M,1.00M,,1.00M,,-76.00M,,-102.00M,,151.00M,-151.00M,0.00,,1.00M,180.00M,-207.00M,,-1.00M,208.00M,,AOR,Restated
2000-09,99.00M,,-83.00M,638.00M,638.00M,638.00M,10.00M,,-1.138B,-44.00M,20.00M,,19.00M,181.00M,635.00M,811.00M,,337.00M,,-157.00M,34.00M,-123.00M,-16.00M,,-139.00M,,-15.00M,-15.00M,0.00,,0.00,,-77.00M,,-92.00M,,45.00M,106.00M,151.00M,,0.00,156.00M,-171.00M,,1.00M,59.00M,,AOR,
2000-06,116.00M,,-40.00M,-380.00M,-380.00M,-380.00M,26.00M,,1.138B,429.00M,-16.00M,,22.00M,-43.00M,-658.00M,-266.00M,,594.00M,,-181.00M,52.00M,-129.00M,-19.00M,,-148.00M,,-386.00M,-386.00M,1.00M,,1.00M,,-76.00M,,-461.00M,,60.00M,-15.00M,45.00M,,1.00M,651.00M,-1.037B,,3.00M,202.00M,,AOR,
2000-03,-48.00M,,-31.00M,129.00M,129.00M,129.00M,-34.00M,,,3.00M,-20.00M,,89.00M,165.00M,39.00M,276.00M,,292.00M,,-170.00M,30.00M,-140.00M,14.00M,,-126.00M,,-66.00M,-66.00M,,,,,-77.00M,,-143.00M,,37.00M,23.00M,60.00M,,,68.00M,-134.00M,,2.00M,74.00M,,AOR,
1999-12,31.00M,,-28.00M,852.00M,852.00M,852.00M,33.00M,,-876.00M,49.00M,-24.00M,,-89.00M,-86.00M,105.00M,-45.00M,,-33.00M,,-200.00M,943.00M,743.00M,142.00M,,-27.00M,,136.00M,136.00M,-4.00M,,-4.00M,,-76.00M,,56.00M,,41.00M,-4.00M,37.00M,,-4.00M,262.00M,-126.00M,,-1.00M,208.00M,,AOR,Restated
1999-09,19.00M,,7.00M,-124.00M,-124.00M,-124.00M,30.00M,,185.00M,-190.00M,-23.00M,,16.00M,134.00M,86.00M,23.00M,,140.00M,,-176.00M,33.00M,-143.00M,-5.00M,,-148.00M,,17.00M,17.00M,3.00M,,3.00M,,-76.00M,,-56.00M,,105.00M,-64.00M,41.00M,,3.00M,91.00M,-74.00M,,10.00M,52.00M,,,
1999-06,77.00M,,-26.00M,-121.00M,-121.00M,-121.00M,11.00M,,302.00M,-131.00M,3.00M,,24.00M,145.00M,-86.00M,-45.00M,,198.00M,,-270.00M,27.00M,-243.00M,83.00M,,-160.00M,,46.00M,46.00M,11.00M,,11.00M,,-76.00M,,-19.00M,,86.00M,19.00M,105.00M,,11.00M,564.00M,-518.00M,,7.00M,192.00M,,,
1999-03,112.00M,,-32.00M,-118.00M,-118.00M,-118.00M,11.00M,,236.00M,-50.00M,4.00M,,-1.00M,66.00M,,19.00M,,228.00M,,-266.00M,13.00M,-253.00M,-3.00M,,-256.00M,,181.00M,181.00M,4.00M,,4.00M,,-76.00M,,109.00M,,5.00M,81.00M,86.00M,,4.00M,193.00M,-12.00M,,,68.00M,,,
1998-12,161.00M,,-69.00M,787.00M,787.00M,787.00M,63.00M,,-682.00M,24.00M,-1.00M,,-50.00M,-59.00M,-43.00M,-129.00M,0.00,131.00M,,-271.00M,980.00M,709.00M,147.00M,-1.066B,-210.00M,,48.00M,48.00M,5.00M,,5.00M,,-76.00M,,-23.00M,,107.00M,-102.00M,5.00M,,5.00M,63.00M,-15.00M,,76.00M,519.00M,,AOR,Restated
1998-09,151.00M,,36.00M,-115.00M,-115.00M,-115.00M,43.00M,,211.00M,-10.00M,3.00M,,7.00M,60.00M,-79.00M,-19.00M,0.00,307.00M,,-213.00M,-172.00M,-385.00M,-74.00M,277.00M,-182.00M,,-29.00M,-29.00M,1.00M,,1.00M,,-76.00M,,-104.00M,,86.00M,21.00M,107.00M,,1.00M,0.00,-29.00M,,-67.00M,-258.00M,,,
1998-06,187.00M,,-62.00M,-112.00M,-112.00M,-112.00M,-1.00M,,170.00M,35.00M,3.00M,,22.00M,-114.00M,54.00M,0.00,0.00,182.00M,,-245.00M,9.00M,-236.00M,-7.00M,,-243.00M,,38.00M,38.00M,8.00M,,8.00M,,-75.00M,,-29.00M,,176.00M,-90.00M,86.00M,,8.00M,131.00M,-93.00M,,66.00M,190.00M,,,
1998-03,131.00M,,-149.00M,-110.00M,-110.00M,-110.00M,9.00M,,293.00M,-16.00M,-6.00M,,5.00M,90.00M,25.00M,98.00M,-2.00M,270.00M,,-227.00M,222.00M,-5.00M,-27.00M,,-32.00M,,-40.00M,-40.00M,20.00M,,20.00M,,-76.00M,,-96.00M,,34.00M,142.00M,176.00M,,20.00M,2.00M,-42.00M,,1.00M,68.00M,,,
1997-12,202.00M,,-93.00M,754.00M,754.00M,754.00M,27.00M,,-781.00M,22.00M,0.00,,-48.00M,19.00M,,108.00M,16.00M,233.00M,,-197.00M,893.00M,696.00M,198.00M,-1.032B,-138.00M,,-1.557B,-1.557B,2.00M,,2.00M,,-75.00M,1.54B,-90.00M,,29.00M,5.00M,34.00M,,2.00M,-1.541B,-16.00M,,,,,AOR,Restated
1997-09,179.10M,,-70.70M,-104.60M,-104.60M,-104.60M,35.50M,,209.20M,10.00M,5.10M,,15.40M,42.80M,,73.30M,-12.00M,309.80M,,-206.50M,12.80M,-193.70M,5.505B,-5.584B,-272.30M,,37.70M,37.70M,6.20M,,6.20M,,-75.60M,-72.00M,-103.70M,,97.40M,-66.20M,29.00M,,6.20M,-1.10M,38.80M,,-119.90M,-93.10M,,,
1997-06,189.90M,,-25.30M,-111.40M,-111.40M,-111.40M,5.50M,,237.80M,-9.00M,-0.10M,,13.60M,43.20M,,47.70M,-4.00M,340.20M,,-243.50M,26.20M,-217.30M,-4.696B,,-4.914B,,4.602B,4.602B,5.80M,,5.80M,,-75.40M,,4.533B,,136.00M,-40.80M,97.40M,,5.80M,4.789B,-186.80M,,119.90M,93.10M,,,
1997-03,128.00M,,64.00M,-106.00M,-106.00M,-106.00M,7.00M,,197.00M,-46.00M,-2.00M,,11.00M,10.00M,,-27.00M,4.00M,267.00M,,-228.00M,17.00M,-211.00M,-975.00M,,-1.186B,,913.00M,913.00M,10.00M,,10.00M,,-75.00M,,848.00M,,207.00M,-71.00M,136.00M,,10.00M,994.00M,-81.00M,,,,,,
1996-12,183.10M,,-23.30M,739.50M,739.50M,739.50M,47.70M,,-609.20M,71.00M,-4.60M,,-37.60M,-52.30M,,-23.50M,,314.30M,,-179.80M,721.20M,541.40M,-17.90M,,-166.50M,,-36.10M,-36.10M,392.20M,-18.50M,373.70M,,-70.30M,,-126.70M,,187.60M,21.10M,207.00M,,392.20M,-0.60M,-35.50M,-18.50M,91.40M,18.70M,,AOR,Restated
1996-09,202.30M,,-18.20M,-107.70M,-107.70M,-107.70M,35.20M,,215.40M,-39.50M,4.40M,,-3.00M,-15.60M,,-53.70M,,273.30M,,-162.80M,32.90M,-129.90M,7.00M,,-122.90M,,169.80M,169.80M,9.80M,-124.50M,-114.70M,,-70.60M,,-15.50M,,52.70M,134.90M,187.60M,,9.80M,200.00M,-30.20M,-124.50M,71.60M,41.40M,,,
1996-06,199.50M,,-11.40M,-107.20M,-107.20M,-107.20M,-4.80M,,214.40M,-1.40M,1.50M,,15.50M,-16.20M,,-0.60M,,289.90M,,-174.40M,31.90M,-142.50M,48.80M,,-93.70M,,-11.50M,-11.50M,4.80M,-137.40M,-132.60M,,-71.20M,,-215.30M,,71.80M,-19.10M,52.70M,,4.80M,4.00M,-15.50M,-137.40M,89.30M,-0.30M,,,
1996-03,168.10M,,-21.90M,-105.60M,-105.60M,-105.60M,13.90M,,211.20M,-31.10M,-2.30M,,12.10M,76.10M,,54.80M,,320.50M,,-163.00M,24.00M,-139.00M,-1.90M,,-140.90M,,-6.20M,-6.20M,11.20M,-108.60M,-97.40M,,-71.90M,,-175.50M,,67.70M,4.10M,71.80M,,11.20M,5.60M,-11.80M,-108.60M,71.80M,67.70M,,,
1995-12,177.20M,,-20.60M,-90.90M,-90.90M,-90.90M,28.30M,,196.80M,54.20M,0.20M,,-29.50M,-107.90M,,-19.00M,,319.80M,,-154.40M,47.20M,-107.20M,-44.70M,,-151.90M,,-10.00M,-10.00M,8.40M,-99.40M,-91.00M,,-68.10M,,-169.10M,,73.20M,-1.20M,66.00M,,8.40M,0.40M,-10.40M,-99.40M,-219.30M,-100.70M,,AOR,
1995-09,183.90M,,-10.40M,-104.50M,-104.50M,-104.50M,9.50M,,209.00M,-38.30M,6.60M,,10.00M,24.70M,,3.00M,,290.50M,,-164.90M,27.20M,-137.70M,-9.30M,,-147.00M,,-27.10M,-27.10M,5.90M,-84.90M,-79.00M,,-68.20M,,-174.30M,,104.00M,-30.80M,73.20M,,5.90M,0.00,-27.10M,-84.90M,91.80M,44.10M,,,
1995-06,181.20M,,-12.40M,-102.60M,-102.60M,-102.60M,22.50M,,205.20M,-26.80M,-2.70M,,13.70M,6.70M,,-9.10M,,284.80M,,-149.50M,22.20M,-127.30M,-9.20M,,-136.50M,,-14.50M,-14.50M,2.80M,-81.80M,-79.00M,,-68.70M,,-162.20M,,117.90M,-13.90M,104.00M,,2.80M,0.00,-14.50M,-81.80M,123.80M,16.90M,,,
1995-03,170.70M,,-43.60M,-101.00M,-101.00M,-101.00M,12.70M,,202.00M,22.90M,-5.10M,,3.80M,76.50M,,98.10M,,338.90M,,-183.20M,31.40M,-151.80M,27.20M,,-124.60M,,-14.40M,-14.40M,1.90M,-71.90M,-70.00M,,-69.00M,,-153.40M,,57.00M,60.90M,117.90M,,1.90M,7.60M,-22.00M,-71.90M,3.70M,39.70M,,,
1994-12,176.10M,,-15.60M,709.50M,709.50M,709.50M,44.40M,,-611.40M,30.70M,3.80M,,-34.00M,-16.20M,,-15.70M,,287.30M,,-221.00M,32.70M,-188.30M,125.30M,,-121.70M,,-14.90M,-14.90M,0.40M,-165.80M,-165.40M,,-64.80M,,-245.10M,,136.50M,-79.50M,57.00M,,0.40M,0.00,-14.90M,-165.80M,72.10M,21.00M,,AOR,
1994-09,168.30M,,-5.60M,-102.70M,-102.70M,-102.70M,49.40M,,205.40M,-18.40M,7.50M,,13.50M,-5.30M,,-2.70M,,312.10M,,-177.10M,-5.90M,-183.00M,-152.40M,,-335.40M,,-28.20M,-28.20M,1.30M,-54.40M,-53.10M,,-65.50M,,-146.80M,,306.60M,-170.10M,136.50M,,1.30M,41.40M,-69.60M,-54.40M,45.00M,46.20M,,,
1994-06,178.50M,,-9.10M,-102.80M,-102.80M,-102.80M,15.60M,,205.60M,-16.60M,-0.80M,,3.80M,47.20M,,33.60M,,321.40M,,-123.90M,26.20M,-97.70M,143.30M,,45.60M,,-21.80M,-21.80M,0.10M,-80.30M,-80.20M,,-66.10M,,-168.10M,,107.70M,198.90M,306.60M,,0.10M,,-21.80M,-80.30M,101.80M,9.40M,,,
1994-03,144.90M,,-28.60M,-100.20M,-100.20M,-100.20M,3.30M,,200.40M,-8.60M,-2.10M,,-1.10M,15.50M,,3.70M,,223.50M,,-190.90M,33.10M,-157.80M,81.40M,,-76.40M,,-17.30M,-17.30M,8.00M,-44.30M,-36.30M,,-66.30M,,-119.90M,,80.50M,27.20M,107.70M,,8.00M,,-17.30M,-44.30M,7.50M,37.70M,,,
1993-12,159.40M,,-8.50M,-97.70M,-97.70M,-97.70M,27.70M,,189.40M,20.00M,1.30M,,-31.90M,-130.60M,,-141.20M,,129.10M,,-160.80M,29.90M,-130.90M,57.00M,-13.90M,-87.80M,,5.40M,5.40M,2.80M,-39.50M,-36.70M,,-66.70M,,-98.00M,,,,80.50M,,2.80M,38.90M,-33.50M,-39.50M,,,,,
1993-09,95.20M,,-57.80M,-98.90M,-98.90M,-98.90M,58.80M,,180.30M,-5.70M,13.60M,,14.00M,67.10M,,89.00M,,266.60M,,-176.80M,35.90M,-140.90M,34.40M,-29.70M,-136.20M,,-33.90M,-33.90M,3.90M,-36.30M,-32.40M,,-66.90M,,-133.20M,,,,,,3.90M,0.10M,-34.00M,-36.30M,,,,,
1993-06,155.10M,,37.50M,-105.10M,-105.10M,-105.10M,-31.20M,,195.00M,-4.10M,4.80M,,15.70M,-3.40M,,13.00M,,264.30M,,-179.50M,24.50M,-155.00M,-29.00M,29.70M,-154.30M,,-8.00M,-8.00M,1.60M,-37.00M,-35.40M,,-62.90M,,-106.30M,,,,,,1.60M,15.60M,-23.60M,-37.00M,,,,,
1993-03,139.00M,,-7.30M,-103.80M,-103.80M,-103.80M,0.90M,,173.10M,7.90M,-9.90M,,6.20M,8.50M,,12.70M,,214.60M,,-152.10M,34.10M,-118.00M,26.20M,,-91.80M,,-17.20M,-17.20M,7.40M,-25.30M,-17.90M,,-63.20M,,-98.30M,,111.80M,,,,7.40M,0.30M,-17.50M,-25.30M,,,,,
1992-12,128.20M,,-8.90M,-101.80M,-101.80M,-101.80M,28.10M,,194.30M,44.40M,-3.30M,,-16.10M,-0.80M,,24.20M,,264.10M,,-183.20M,39.90M,-143.30M,81.30M,-68.50M,-130.50M,,-12.60M,-12.60M,2.70M,-36.30M,-33.60M,,-63.30M,,-109.50M,,,,111.80M,,2.70M,1.20M,-13.80M,-36.30M,,,,,
1992-09,145.80M,,-82.80M,-99.10M,-99.10M,-99.10M,25.20M,,194.60M,-63.90M,6.00M,,0.10M,67.50M,,9.70M,,193.40M,,-243.70M,7.60M,-236.10M,6.90M,-0.20M,-229.40M,,59.20M,59.20M,0.10M,-36.50M,-36.40M,,-63.50M,,-40.70M,,,,,,0.10M,87.50M,-28.30M,-36.50M,,,,,
1992-06,145.00M,,-18.70M,-97.70M,-97.70M,-97.70M,5.00M,,194.10M,-14.70M,-7.60M,0.80M,7.90M,2.60M,,-11.00M,,216.70M,,-170.00M,13.00M,-157.00M,-26.10M,57.00M,-126.10M,,-26.80M,-26.80M,5.20M,-62.80M,-57.60M,,-64.00M,,-148.40M,,,,,,5.20M,0.20M,-27.00M,-62.80M,,,,,
1992-03,138.70M,,-24.30M,-98.00M,-98.00M,-98.00M,5.80M,,190.20M,10.50M,-5.60M,-0.80M,12.00M,55.50M,,71.60M,,284.00M,,-119.20M,6.50M,-112.70M,-21.90M,-54.50M,-189.10M,,67.70M,67.70M,7.20M,-41.60M,-34.40M,,-64.20M,,-30.90M,,158.20M,,,,7.20M,253.90M,-186.20M,-41.60M,,,,,
1991-12,-354.60M,,,-96.00M,-96.00M,-96.00M,-145.50M,,161.00M,47.70M,0.40M,,-25.10M,-118.20M,,-95.20M,,41.70M,,-199.00M,61.50M,-137.50M,150.10M,-19.80M,-7.20M,,172.70M,172.70M,3.90M,-109.80M,-105.90M,,-57.50M,,9.30M,,,,158.20M,,3.90M,197.20M,-24.50M,-109.80M,,,,,
1991-09,150.30M,,,-94.70M,-94.70M,-94.70M,2.60M,,193.50M,-17.10M,6.30M,,3.00M,0.70M,,-7.10M,,244.60M,,-189.80M,-1.90M,-191.70M,-79.20M,64.80M,-206.10M,,95.70M,95.70M,2.10M,-171.80M,-169.70M,,-58.70M,-2.10M,-134.80M,,,,,,2.10M,121.00M,-25.30M,-171.80M,,,,,
1991-06,134.00M,,,-95.70M,-95.70M,-95.70M,6.00M,,185.80M,-17.60M,7.40M,,20.80M,5.90M,,16.50M,,246.60M,,-156.60M,18.60M,-138.00M,87.70M,-61.60M,-111.90M,,-31.60M,-31.60M,2.70M,-198.50M,-195.80M,,-60.50M,2.10M,-285.80M,,,,,,2.70M,-2.10M,-29.50M,-198.50M,,,,,
1991-03,100.00M,,,-94.90M,-94.90M,-94.90M,12.80M,,185.80M,114.80M,-3.60M,,1.80M,-87.20M,,25.80M,,229.50M,,-114.00M,-11.00M,-125.00M,-39.80M,-54.80M,-219.60M,,175.00M,175.00M,4.20M,-155.20M,-151.00M,,-61.80M,,-37.80M,,389.70M,,,,4.20M,306.10M,-131.10M,-155.20M,,,,,
1990-12,117.10M,,,-95.10M,-95.10M,-95.10M,-1.80M,,180.70M,67.50M,3.30M,,-17.10M,-0.70M,,53.00M,,253.90M,,-209.10M,15.20M,-193.90M,20.90M,88.20M,-84.80M,,77.50M,77.50M,0.60M,-135.40M,-134.80M,,-63.10M,,-120.40M,,,,,,0.60M,97.90M,-20.40M,-135.40M,,,,,
1990-09,142.90M,,,-93.00M,-93.00M,-93.00M,-5.60M,,180.90M,-14.30M,-7.10M,,5.70M,38.10M,,22.40M,,247.60M,,-144.50M,17.90M,-126.60M,-3.20M,91.90M,-37.90M,,18.30M,18.30M,1.80M,-166.50M,-164.70M,,-64.60M,,-211.00M,,,,,,1.80M,44.30M,-26.00M,-166.50M,,,,,
1990-06,155.90M,,,-93.00M,-93.00M,-93.00M,7.40M,,179.40M,1.50M,-2.40M,,5.40M,-22.40M,,-17.90M,,231.80M,,-176.20M,94.80M,-81.40M,-27.50M,-5.80M,-114.70M,,320.60M,320.60M,5.00M,-149.70M,-144.70M,,-59.60M,,116.30M,,,,,,5.00M,352.50M,-31.90M,-149.70M,,,,,
1990-03,140.20M,,,-91.90M,-91.90M,-91.90M,-2.80M,,181.20M,-19.60M,-9.90M,,3.80M,60.40M,,34.70M,,261.40M,,-139.90M,-13.90M,-153.80M,-0.80M,-44.60M,-199.20M,,12.50M,12.50M,3.60M,-124.70M,-121.10M,,-60.90M,,-169.50M,,216.20M,,,,3.60M,35.00M,-22.50M,-124.70M,,,,,
