,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-09,270.00M,533.00M,803.00M,1.027B,,1.027B,158.00M,176.00M,52.00M,2.216B,,,,,,27.79B,-6.821B,20.97B,1.779B,1.013B,23.76B,25.98B,,1.168B,272.00M,,1.44B,,1.44B,,484.00M,,484.00M,265.00M,2.189B,6.141B,,6.141B,6.58B,,6.58B,,,1.489B,14.21B,16.40B,,418.00M,8.028B,1.24B,20.00M,-87.00M,9.579B,,AOR,Restated
2006-06,257.00M,1.278B,1.535B,990.00M,,990.00M,146.00M,175.00M,64.00M,2.91B,,,,,,27.71B,-6.821B,20.89B,1.744B,1.019B,23.65B,26.56B,,1.115B,315.00M,,1.43B,,1.43B,,690.00M,,690.00M,223.00M,2.343B,6.175B,,6.175B,6.593B,,6.593B,,,1.497B,14.26B,16.61B,,435.00M,8.35B,1.275B,20.00M,-89.00M,9.951B,,AOR,Restated
2006-03,526.00M,1.016B,1.542B,985.00M,,985.00M,143.00M,167.00M,107.00M,2.944B,,,,,,27.58B,-6.821B,20.76B,1.623B,918.00M,23.30B,26.24B,,1.036B,301.00M,,1.337B,,1.337B,,348.00M,,348.00M,276.00M,1.961B,6.55B,,6.55B,6.613B,,6.613B,,,1.408B,14.57B,16.53B,,436.00M,8.158B,1.22B,20.00M,-85.00M,9.709B,,AOR,Restated
2005-12,289.00M,968.00M,1.257B,931.00M,,931.00M,132.00M,167.00M,163.00M,2.65B,,,,,,27.56B,-6.821B,20.74B,1.558B,916.00M,23.21B,25.86B,,1.163B,231.00M,,1.394B,,1.394B,,314.00M,,314.00M,213.00M,1.921B,6.616B,,6.616B,6.631B,,6.631B,470.00M,,945.00M,14.66B,16.58B,,431.00M,7.967B,992.00M,20.00M,-77.00M,9.276B,,AOR,Restated
2005-09,309.00M,741.00M,1.05B,950.00M,,950.00M,137.00M,175.00M,124.00M,2.436B,,,,,,26.72B,-6.239B,20.48B,1.608B,908.00M,23.00B,25.43B,,1.132B,262.00M,,1.394B,,1.394B,,313.00M,,313.00M,275.00M,1.982B,6.645B,,6.645B,6.567B,,6.567B,,,1.323B,14.54B,16.52B,,427.00M,7.671B,890.00M,20.00M,-33.00M,8.916B,,AOR,Restated
2005-06,431.00M,184.00M,615.00M,885.00M,,885.00M,125.00M,176.00M,169.00M,1.97B,,,,,,26.71B,-6.239B,20.47B,1.556B,910.00M,22.94B,24.91B,,1.065B,208.00M,,1.273B,,1.273B,,115.00M,,115.00M,232.00M,1.62B,6.877B,,6.877B,6.491B,,6.491B,,,1.298B,14.67B,16.29B,,426.00M,7.423B,840.00M,20.00M,-25.00M,8.621B,,AOR,Restated
2005-03,864.00M,255.00M,1.119B,890.00M,,890.00M,114.00M,216.00M,256.00M,2.595B,,,,,,26.71B,-6.239B,20.47B,1.525B,893.00M,22.89B,25.49B,,1.098B,227.00M,,1.325B,,1.325B,,557.00M,,557.00M,295.00M,2.177B,7.125B,,7.125B,6.618B,,6.618B,,,1.313B,15.06B,17.23B,,425.00M,7.043B,833.00M,20.00M,-2.00M,8.254B,,AOR,Restated
2004-12,579.00M,90.00M,669.00M,767.00M,,767.00M,104.00M,187.00M,240.00M,1.967B,,,,,,26.76B,-6.239B,20.53B,805.00M,1.452B,22.78B,24.75B,,1.012B,210.00M,,1.222B,,1.222B,,662.00M,,662.00M,317.00M,2.201B,6.863B,,6.863B,6.55B,,6.55B,448.00M,,698.00M,14.56B,16.76B,,421.00M,6.893B,728.00M,20.00M,-24.00M,7.99B,,AOR,
2004-09,475.00M,55.00M,530.00M,806.00M,,806.00M,102.00M,191.00M,177.00M,1.806B,,,,,,26.18B,-5.812B,20.37B,793.00M,1.462B,22.62B,24.43B,,1.004B,245.00M,,1.249B,,1.249B,,529.00M,,529.00M,344.00M,2.122B,7.019B,,7.019B,6.484B,,6.484B,,,1.116B,14.62B,16.74B,,417.00M,6.669B,620.00M,20.00M,11.00M,7.688B,,AOR,Restated
2004-06,203.00M,,203.00M,782.00M,,782.00M,100.00M,191.00M,155.00M,1.431B,,,,,,17.73B,-5.812B,11.92B,6.293B,1.19B,19.40B,20.83B,,931.00M,201.00M,,1.132B,,1.132B,,511.00M,,511.00M,299.00M,1.942B,6.336B,,6.336B,3.327B,,3.327B,,,1.869B,11.53B,13.47B,,415.00M,6.421B,571.00M,20.00M,-21.00M,7.355B,,AOR,Restated
2004-03,107.00M,,107.00M,765.00M,,765.00M,97.00M,197.00M,156.00M,1.322B,,,,,,17.63B,-5.812B,11.82B,6.275B,1.176B,19.27B,20.59B,,884.00M,233.00M,,1.117B,,1.117B,,210.00M,,210.00M,359.00M,1.686B,6.671B,,6.671B,3.263B,,3.263B,,,1.85B,11.78B,13.47B,,413.00M,6.239B,539.00M,20.00M,-37.00M,7.122B,,AOR,Restated
2003-12,284.00M,2.00M,286.00M,695.00M,,695.00M,92.00M,189.00M,163.00M,1.425B,,,,,,17.59B,-5.812B,11.78B,6.259B,1.133B,19.17B,20.60B,,948.00M,199.00M,,1.147B,,1.147B,,360.00M,,360.00M,294.00M,1.801B,6.80B,,6.80B,3.223B,,3.223B,410.00M,,1.386B,11.82B,13.62B,,412.00M,6.112B,521.00M,20.00M,-44.00M,6.976B,,AOR,Restated
2003-09,158.00M,3.00M,161.00M,779.00M,,779.00M,92.00M,198.00M,54.00M,1.284B,,,,,,17.54B,-5.717B,11.82B,6.229B,1.225B,19.28B,20.56B,,938.00M,222.00M,,1.16B,,1.16B,,363.00M,,363.00M,331.00M,1.854B,6.823B,,6.823B,3.199B,,3.199B,,50.00M,1.718B,11.74B,13.59B,,412.00M,6.091B,507.00M,20.00M,-69.00M,6.915B,,AOR,Restated
2003-06,110.00M,,110.00M,800.00M,,800.00M,102.00M,202.00M,92.00M,1.306B,,,,,,17.54B,-5.717B,11.82B,6.215B,1.194B,19.23B,20.54B,,923.00M,229.00M,696.00M,1.848B,,1.848B,,613.00M,,613.00M,-392.00M,2.069B,6.848B,,6.848B,3.141B,,3.141B,,50.00M,1.621B,11.61B,13.68B,,411.00M,5.985B,504.00M,20.00M,-64.00M,6.809B,,AOR,Restated
2003-03,128.00M,,128.00M,789.00M,,789.00M,101.00M,193.00M,120.00M,1.331B,,,,,,17.49B,-5.717B,11.77B,6.199B,1.132B,19.10B,20.43B,,904.00M,275.00M,672.00M,1.851B,,1.851B,,616.00M,,616.00M,-296.00M,2.171B,6.873B,,6.873B,3.075B,,3.075B,,51.00M,1.577B,11.52B,13.70B,,411.00M,5.876B,496.00M,20.00M,-68.00M,6.687B,,AOR,Restated
2002-12,184.00M,,184.00M,683.00M,,683.00M,97.00M,187.00M,148.00M,1.299B,,,,,,17.09B,-5.717B,11.37B,6.178B,1.109B,18.66B,19.96B,,908.00M,269.00M,,1.177B,,1.177B,,358.00M,,358.00M,318.00M,1.853B,7.006B,,7.006B,3.01B,,3.01B,,45.00M,1.542B,11.56B,13.41B,,410.00M,5.694B,481.00M,20.00M,-65.00M,6.50B,,AOR,Restated
2002-09,132.00M,,132.00M,685.00M,,685.00M,91.00M,167.00M,69.00M,1.144B,,,,,,16.77B,-5.435B,11.33B,6.19B,1.128B,18.65B,19.79B,,886.00M,250.00M,,1.136B,,1.136B,,356.00M,,356.00M,343.00M,1.835B,7.027B,,7.027B,2.942B,,2.942B,,45.00M,1.52B,11.49B,13.32B,,410.00M,5.593B,475.00M,20.00M,-33.00M,6.425B,,AOR,Restated
2002-06,94.00M,,94.00M,523.00M,,523.00M,100.00M,166.00M,75.00M,958.00M,,,,,,16.74B,-5.435B,11.30B,6.178B,1.083B,18.57B,19.52B,,845.00M,277.00M,475.00M,1.597B,,1.597B,,106.00M,,106.00M,-185.00M,1.518B,7.338B,,7.338B,2.866B,,2.866B,,45.00M,1.445B,11.65B,13.17B,,410.00M,5.494B,469.00M,20.00M,-41.00M,6.312B,,AOR,
2002-03,164.00M,,164.00M,615.00M,,615.00M,94.00M,169.00M,100.00M,1.142B,,,,,,16.72B,-5.435B,11.28B,6.167B,1.052B,18.50B,19.64B,,828.00M,271.00M,450.00M,1.549B,,1.549B,,410.00M,,410.00M,-76.00M,1.883B,7.246B,,7.246B,2.828B,,2.828B,,45.00M,1.428B,11.50B,13.38B,,409.00M,5.397B,465.00M,20.00M,-40.00M,6.211B,,AOR,
2001-12,204.00M,,204.00M,,,475.00M,90.00M,162.00M,116.00M,1.047B,,,,,,16.64B,-5.435B,11.21B,,7.163B,18.37B,19.42B,,848.00M,312.00M,,1.16B,,1.16B,,978.00M,,978.00M,248.00M,2.386B,7.027B,,7.027B,2.781B,,2.781B,,45.00M,1.089B,10.90B,13.28B,,407.00M,5.335B,423.00M,20.00M,,6.09B,,AOR,Restated
2001-09,134.00M,0.00,134.00M,456.00M,,456.00M,89.00M,170.00M,44.00M,893.00M,,,,,,16.49B,-5.214B,11.28B,6.188B,1.028B,18.49B,19.38B,,869.00M,259.00M,,1.128B,,1.128B,,604.00M,,604.00M,651.00M,2.383B,7.064B,,7.064B,2.781B,,2.781B,,45.00M,1.079B,10.92B,13.31B,,407.00M,5.244B,416.00M,20.00M,-14.00M,6.033B,,AOR,
2001-06,47.00M,0.00,47.00M,430.00M,,430.00M,96.00M,175.00M,63.00M,811.00M,,,,,,16.46B,-5.214B,11.25B,6.18B,999.00M,18.43B,19.24B,,861.00M,265.00M,,1.126B,,1.126B,,629.00M,,629.00M,536.00M,2.291B,7.072B,,7.072B,2.746B,,2.746B,,45.00M,1.108B,10.93B,13.22B,,407.00M,5.188B,412.00M,20.00M,-10.00M,5.977B,,AOR,
2001-03,54.00M,1.00M,55.00M,440.00M,,440.00M,93.00M,171.00M,95.00M,854.00M,,,,,,16.48B,-5.214B,11.27B,6.166B,952.00M,18.39B,19.24B,,866.00M,246.00M,,1.112B,,1.112B,,306.00M,,306.00M,548.00M,1.966B,7.535B,,7.535B,2.703B,,2.703B,,46.00M,1.108B,11.35B,13.31B,,406.00M,5.104B,399.00M,20.00M,-7.00M,5.882B,,AOR,
2000-12,0.00,2.00M,2.00M,411.00M,,411.00M,91.00M,182.00M,163.00M,849.00M,,,,,,16.32B,-5.214B,11.10B,6.154B,868.00M,18.13B,18.98B,,925.00M,251.00M,,1.176B,,1.176B,,297.00M,,297.00M,414.00M,1.887B,7.339B,,7.339B,2.745B,,2.745B,,50.00M,1.131B,11.22B,13.10B,,405.00M,5.053B,392.00M,20.00M,-6.00M,5.824B,,AOR,Restated
2000-09,151.00M,1.00M,152.00M,469.00M,,469.00M,116.00M,169.00M,97.00M,1.003B,,,,,,16.15B,-5.138B,11.01B,6.146B,927.00M,18.09B,19.09B,,962.00M,247.00M,,1.209B,,1.209B,,296.00M,,296.00M,484.00M,1.989B,7.352B,,7.352B,2.72B,,2.72B,,49.00M,1.091B,11.16B,13.15B,,405.00M,5.124B,385.00M,20.00M,-6.00M,5.888B,,AOR,
2000-06,45.00M,5.00M,50.00M,426.00M,,426.00M,136.00M,160.00M,136.00M,908.00M,,,,,,16.06B,-5.052B,11.01B,6.143B,817.00M,17.97B,18.88B,,887.00M,206.00M,,1.093B,,1.093B,,103.00M,,103.00M,366.00M,1.562B,7.596B,,7.596B,2.698B,,2.698B,,49.00M,1.114B,11.41B,12.97B,,405.00M,5.102B,382.00M,20.00M,-9.00M,5.86B,,AOR,
2000-03,60.00M,12.00M,72.00M,855.00M,,855.00M,120.00M,151.00M,150.00M,1.348B,,,,,,15.99B,-5.011B,10.98B,6.143B,742.00M,17.86B,19.21B,,876.00M,169.00M,,1.045B,,1.045B,,503.00M,,503.00M,544.00M,2.092B,7.493B,,7.493B,2.662B,,2.662B,,49.00M,1.099B,11.25B,13.35B,,405.00M,5.063B,377.00M,20.00M,-9.00M,5.816B,,AOR,
1999-12,37.00M,14.00M,51.00M,857.00M,,857.00M,100.00M,134.00M,229.00M,1.371B,,,,,,15.88B,-4.929B,10.96B,6.132B,791.00M,17.88B,19.25B,,818.00M,163.00M,,981.00M,,981.00M,,503.00M,,503.00M,440.00M,1.924B,7.556B,,7.556B,2.687B,,2.687B,,50.00M,1.101B,11.34B,13.27B,,404.00M,5.187B,372.00M,20.00M,-11.00M,5.932B,,AOR,Restated
1999-09,41.00M,15.00M,56.00M,,,906.00M,77.00M,143.00M,134.00M,1.316B,,,,,,15.73B,-4.831B,10.90B,,6.898B,17.80B,19.12B,,896.00M,178.00M,,1.074B,,1.074B,,655.00M,,655.00M,325.00M,2.054B,7.329B,,7.329B,2.653B,,2.653B,,51.00M,1.105B,11.09B,13.14B,,402.00M,5.231B,324.00M,20.00M,,5.925B,,,
1999-06,105.00M,17.00M,122.00M,,,716.00M,54.00M,137.00M,158.00M,1.187B,,,,,,15.63B,-4.757B,10.87B,,6.818B,17.69B,18.87B,,810.00M,199.00M,,1.009B,,1.009B,,571.00M,,571.00M,239.00M,1.819B,7.393B,,7.393B,2.554B,,2.554B,,51.00M,1.076B,11.02B,12.84B,,402.00M,5.289B,320.00M,20.00M,,5.981B,,,
1999-03,86.00M,17.00M,103.00M,,,569.00M,55.00M,140.00M,132.00M,999.00M,,,,,,15.26B,-4.639B,10.62B,,6.863B,17.48B,18.48B,,577.00M,177.00M,,754.00M,,754.00M,,147.00M,,147.00M,291.00M,1.192B,7.66B,,7.66B,2.554B,,2.554B,,49.00M,1.058B,11.27B,12.46B,,401.00M,5.288B,307.00M,20.00M,,5.967B,,,
1998-12,5.00M,58.00M,63.00M,519.00M,,519.00M,59.00M,141.00M,131.00M,913.00M,,,,,,15.06B,-4.586B,10.48B,6.21B,580.00M,17.27B,18.18B,,600.00M,151.00M,,751.00M,,751.00M,,141.00M,,141.00M,225.00M,1.117B,7.483B,,7.483B,2.545B,,2.545B,,49.00M,1.065B,11.09B,12.21B,,401.00M,5.252B,296.00M,20.00M,-8.00M,5.921B,,AOR,Restated
1998-09,107.00M,84.00M,191.00M,,,544.00M,57.00M,124.00M,87.00M,1.003B,,,,,,14.87B,-4.538B,10.33B,,6.685B,17.01B,18.02B,,613.00M,166.00M,,779.00M,,779.00M,,67.00M,,67.00M,290.00M,1.136B,7.508B,,7.508B,2.473B,,2.473B,,49.00M,1.008B,10.99B,12.12B,,401.00M,5.173B,288.00M,20.00M,,5.842B,,,
1998-06,86.00M,99.00M,185.00M,,,535.00M,61.00M,98.00M,98.00M,977.00M,,,,,,14.73B,-4.485B,10.24B,,6.527B,16.77B,17.75B,,602.00M,175.00M,,777.00M,,777.00M,,64.00M,,64.00M,174.00M,1.015B,7.539B,,7.539B,2.468B,,2.468B,,48.00M,916.00M,10.92B,11.94B,,401.00M,5.092B,287.00M,20.00M,,5.76B,,,
1998-03,176.00M,110.00M,286.00M,,,558.00M,64.00M,115.00M,117.00M,1.14B,,,,,,14.55B,-4.474B,10.08B,,6.432B,16.51B,17.65B,,624.00M,181.00M,,805.00M,,805.00M,,91.00M,,91.00M,263.00M,1.159B,7.426B,,7.426B,2.487B,,2.487B,,49.00M,893.00M,10.81B,11.96B,,400.00M,4.98B,274.00M,21.00M,,5.633B,,,
1997-12,34.00M,125.00M,159.00M,552.00M,,552.00M,58.00M,114.00M,220.00M,1.103B,,,,,,14.34B,-4.434B,9.904B,5.888B,455.00M,16.25B,17.35B,,624.00M,169.00M,,793.00M,,793.00M,,88.00M,,88.00M,212.00M,1.093B,7.398B,,7.398B,2.48B,,2.48B,,49.00M,885.00M,10.76B,11.86B,,399.00M,4.821B,241.00M,21.00M,5.00M,5.445B,,AOR,Restated
1997-09,32.10M,156.70M,188.80M,,,800.00M,60.30M,142.60M,79.80M,1.272B,,,,,,14.42B,-4.515B,9.905B,,6.332B,16.24B,17.51B,,744.20M,170.10M,,914.30M,,914.30M,,90.60M,,90.60M,303.00M,1.308B,7.460B,,7.460B,2.447B,,2.447B,,49.40M,950.00M,10.86B,12.17B,,398.80M,4.678B,238.60M,20.60M,,5.294B,,,
1997-06,97.40M,183.00M,280.40M,,,774.30M,65.10M,141.70M,87.10M,1.349B,,,,,,14.27B,-4.457B,9.810B,,6.239B,16.05B,17.40B,,732.60M,182.30M,,914.90M,,914.90M,,88.30M,,88.30M,306.60M,1.310B,7.493B,,7.493B,2.408B,,2.408B,,49.00M,957.60M,10.86B,12.17B,,132.80M,4.572B,495.70M,20.60M,,5.180B,,,
1997-03,139.50M,185.70M,325.20M,,,748.70M,64.80M,139.50M,108.80M,1.387B,,,,,,14.09B,-4.417B,9.678B,,1.368B,11.05B,12.43B,,679.00M,217.70M,,896.70M,,896.70M,,83.20M,,83.20M,161.90M,1.142B,2.844B,,2.844B,2.392B,,2.392B,,49.70M,959.70M,6.196B,7.338B,,132.70M,4.445B,488.10M,20.60M,,5.045B,,,
1996-12,207.00M,194.00M,401.00M,558.00M,,558.00M,61.00M,132.00M,204.00M,1.356B,,,,,,13.87B,-4.399B,9.472B,275.00M,131.00M,9.878B,11.23B,,594.00M,166.00M,,760.00M,,760.00M,,99.00M,,99.00M,201.00M,1.06B,1.80B,,1.80B,2.42B,,2.42B,,50.00M,927.00M,5.147B,6.207B,,132.00M,4.404B,462.00M,21.00M,,4.977B,,AOR,Restated
1996-09,187.60M,173.90M,361.50M,,,775.50M,58.10M,151.80M,109.70M,1.457B,,,,,,13.83B,-4.366B,9.460B,,344.70M,9.805B,11.26B,,746.70M,204.10M,,950.80M,,950.80M,,123.90M,,123.90M,133.70M,1.208B,1.811B,,1.811B,2.351B,,2.351B,,49.50M,986.80M,5.149B,6.357B,,132.40M,4.284B,459.10M,20.60M,,4.855B,,,
1996-06,52.70M,184.80M,237.50M,,,736.00M,62.50M,150.40M,94.20M,1.281B,,,,,,13.81B,-4.37B,9.441B,,331.70M,9.773B,11.05B,,747.80M,204.10M,,951.90M,,951.90M,,127.40M,,127.40M,151.30M,1.231B,1.638B,,1.638B,2.314B,,2.314B,,49.80M,985.60M,4.937B,6.168B,,133.70M,4.271B,452.00M,20.60M,,4.836B,,,
1996-03,71.80M,250.60M,322.40M,,,734.60M,64.00M,146.60M,101.10M,1.369B,,,,,,13.72B,-4.343B,9.373B,,313.80M,9.686B,11.06B,,732.70M,258.80M,,991.50M,,991.50M,,133.20M,,133.20M,140.40M,1.265B,1.614B,,1.614B,2.315B,,2.315B,,51.40M,972.00M,4.900B,6.166B,,135.20M,4.272B,451.10M,20.60M,,4.838B,,,
1995-12,67.70M,,67.70M,,,703.50M,61.70M,,509.90M,1.343B,,,,,,13.59B,-4.326B,9.259B,,303.20M,9.562B,10.90B,,732.80M,,,732.80M,,732.80M,,130.90M,,130.90M,342.10M,1.206B,1.553B,,1.553B,2.299B,,2.299B,,52.20M,965.50M,4.818B,6.024B,,,4.282B,,,,4.829B,,AOR,
1995-09,73.20M,214.10M,287.30M,,,773.80M,63.10M,138.30M,77.80M,1.340B,,,,,,13.57B,-4.338B,9.233B,,299.50M,9.533B,10.87B,,720.50M,211.00M,,931.50M,,931.50M,,102.40M,,102.40M,147.00M,1.181B,1.588B,,1.588B,2.259B,,2.259B,,52.20M,984.80M,4.832B,6.013B,,137.40M,4.267B,424.50M,20.60M,,4.808B,,,
1995-06,104.00M,219.50M,323.50M,,,735.60M,69.70M,135.60M,87.80M,1.352B,,,,,,13.49B,-4.298B,9.193B,,284.30M,9.477B,10.83B,,696.10M,210.10M,,906.20M,,906.20M,,105.00M,,105.00M,164.80M,1.176B,1.613B,,1.613B,2.244B,,2.244B,,51.80M,975.20M,4.832B,6.008B,,138.40M,4.234B,418.20M,20.60M,,4.770B,,,
1995-03,117.90M,224.00M,341.90M,,,708.70M,67.00M,132.90M,101.50M,1.352B,,,,,,13.41B,-4.25B,9.159B,,289.20M,9.448B,10.80B,,674.10M,250.70M,,924.80M,,924.80M,,112.30M,,112.30M,145.70M,1.183B,1.635B,,1.635B,2.218B,,2.218B,,52.90M,977.70M,4.831B,6.014B,,139.50M,4.196B,419.00M,20.60M,,4.733B,,,
1994-12,57.00M,249.70M,306.70M,726.60M,,726.60M,61.90M,137.00M,105.30M,1.338B,,,,,,13.21B,-4.223B,8.987B,172.80M,90.40M,9.250B,10.59B,,704.10M,168.50M,,872.60M,,872.60M,,116.90M,,116.90M,142.30M,1.132B,1.548B,,1.548B,2.208B,,2.208B,,53.50M,961.90M,4.718B,5.850B,,140.40M,4.155B,410.40M,20.60M,,4.685B,,AOR,
1994-09,136.50M,320.60M,457.10M,,,763.30M,65.70M,144.50M,66.70M,1.497B,,,,,,13.11B,-4.223B,8.883B,,272.80M,9.156B,10.65B,,718.70M,165.90M,,884.60M,,884.60M,,118.20M,,118.20M,133.80M,1.137B,1.56B,,1.56B,2.173B,,2.173B,,53.50M,1.001B,4.735B,5.871B,,142.80M,4.189B,417.40M,20.60M,,4.728B,,,
1994-06,306.60M,179.90M,486.50M,,,744.90M,73.20M,144.10M,86.00M,1.535B,,,,,,13.05B,-4.223B,8.823B,,233.40M,9.056B,10.59B,,689.30M,166.60M,,855.90M,,855.90M,,160.30M,,160.30M,154.90M,1.171B,1.546B,,1.546B,2.124B,,2.124B,,53.60M,1.002B,4.672B,5.843B,,143.90M,4.152B,419.40M,20.60M,,4.694B,,,
1994-03,107.70M,114.00M,221.70M,,,728.30M,72.40M,136.20M,333.70M,1.492B,,,,,,13.04B,-4.223B,8.814B,,219.90M,9.034B,10.53B,,633.30M,194.90M,,828.20M,,828.20M,,167.40M,,167.40M,149.30M,1.145B,1.560B,,1.560B,2.095B,,2.095B,,54.50M,1.003B,4.658B,5.803B,,145.30M,4.121B,423.00M,20.60M,,4.669B,,,
1993-12,80.50M,,80.50M,,,907.60M,70.30M,,505.10M,1.564B,,,,,,12.83B,-4.095B,8.731B,,225.60M,8.956B,10.52B,,653.60M,,,653.60M,,653.60M,,263.20M,,263.20M,281.10M,1.198B,1.482B,,1.482B,2.130B,,2.130B,,54.50M,1.035B,4.647B,5.845B,,,4.078B,,,,4.621B,,,
1993-09,137.20M,,137.20M,,,958.00M,71.70M,,330.10M,1.497B,,,,,,12.69B,-4.021B,8.671B,,415.60M,9.087B,10.58B,,705.30M,,,705.30M,,705.30M,,284.30M,,284.30M,326.40M,1.316B,1.454B,,1.454B,2.150B,,2.150B,,53.90M,1.044B,4.649B,5.965B,,,4.023B,,,,4.564B,,,
1993-06,140.00M,,140.00M,,,961.80M,85.50M,,348.20M,1.536B,,,,,,12.63B,-4.021B,8.611B,,390.60M,9.001B,10.54B,,659.90M,,,659.90M,,659.90M,,224.40M,,224.40M,339.70M,1.224B,1.548B,,1.548B,2.078B,,2.078B,,54.00M,1.063B,4.689B,5.913B,,,4.030B,,,,4.570B,,,
1993-03,136.30M,,136.30M,,,740.70M,90.70M,,438.10M,1.406B,,,,,,12.71B,-4.021B,8.691B,,370.70M,9.061B,10.47B,,636.30M,,,636.30M,,636.30M,,228.20M,,228.20M,345.70M,1.210B,1.552B,,1.552B,2.064B,,2.064B,,53.80M,1.075B,4.690B,5.901B,,,3.972B,,,,4.513B,,,
1992-12,111.80M,,111.80M,,,1.015B,80.80M,,189.70M,1.397B,,,,,,12.67B,-4.021B,8.648B,,355.30M,9.003B,10.40B,,655.10M,,,655.10M,,655.10M,,231.20M,,231.20M,296.20M,1.182B,1.566B,,1.566B,2.655B,,2.655B,,54.40M,710.30M,4.931B,6.114B,,,3.698B,,,,4.233B,,,
1992-09,87.70M,,87.70M,,,1.073B,77.50M,,183.80M,1.422B,,,,,,12.64B,-4.060B,8.579B,,380.10M,8.960B,10.38B,,712.30M,,,712.30M,,712.30M,,232.50M,,232.50M,292.00M,1.237B,1.577B,,1.577B,2.637B,,2.637B,,54.70M,676.00M,4.890B,6.127B,,,3.666B,,,,4.200B,,,
1992-06,164.40M,,164.40M,,,1.020B,83.50M,,206.60M,1.475B,,,,,,12.52B,-4.060B,8.457B,,363.30M,8.820B,10.30B,,745.10M,,,745.10M,,745.10M,,204.70M,,204.70M,266.60M,1.216B,1.545B,,1.545B,2.634B,,2.634B,,55.00M,689.00M,4.869B,6.085B,,,3.618B,,,,4.155B,,,
1992-03,222.20M,,222.20M,,,714.40M,75.90M,,535.20M,1.548B,,,,,,12.46B,-4.060B,8.398B,,349.10M,8.747B,10.29B,,701.40M,,,701.40M,,701.40M,,258.50M,,258.50M,291.80M,1.252B,1.518B,,1.518B,2.619B,,2.619B,,55.50M,721.60M,4.859B,6.111B,,,3.593B,,,,4.128B,,,
1991-12,158.20M,,158.20M,,,724.90M,70.30M,,515.90M,1.469B,,,,,,12.33B,-3.962B,8.372B,,306.60M,8.679B,10.15B,,698.20M,,,698.20M,,698.20M,,408.70M,,408.70M,233.90M,1.341B,1.300B,,1.300B,2.606B,,2.606B,,56.50M,750.80M,4.657B,5.998B,,,3.563B,,,,4.093B,,,
1991-09,114.40M,,114.40M,,,772.60M,70.70M,,458.00M,1.416B,,,,,,11.91B,-3.581B,8.329B,,633.60M,8.963B,10.38B,,677.10M,,,677.10M,,677.10M,,213.50M,,213.50M,291.80M,1.182B,1.316B,,1.316B,2.738B,,2.738B,,68.20M,482.60M,4.536B,5.719B,,,4.063B,,,,4.592B,,,
1991-06,210.70M,,210.70M,,,755.50M,77.00M,,457.00M,1.500B,,,,,,12.18B,-3.968B,8.208B,,661.60M,8.870B,10.37B,,707.20M,,,707.20M,,707.20M,,160.30M,,160.30M,287.00M,1.154B,1.282B,,1.282B,2.734B,,2.734B,,68.30M,458.70M,4.475B,5.629B,,,4.134B,,,,4.672B,,,
1991-03,361.80M,,361.80M,,,737.90M,84.40M,,498.40M,1.682B,,,,,,12.13B,-3.968B,8.161B,,670.90M,8.832B,10.51B,,686.30M,,,686.30M,,686.30M,,163.80M,,163.80M,314.80M,1.165B,1.307B,,1.307B,2.725B,,2.725B,,68.60M,452.00M,4.484B,5.648B,,,4.245B,,,,4.797B,,,
1990-12,389.70M,,389.70M,,,852.70M,80.80M,,423.60M,1.747B,,,,,,12.00B,-3.873B,8.128B,,648.20M,8.776B,10.52B,,791.60M,,,791.60M,,791.60M,,266.70M,,266.70M,313.50M,1.372B,1.030B,,1.030B,2.708B,,2.708B,,67.70M,432.80M,4.172B,5.543B,,,4.351B,,,,4.912B,,,
1990-09,341.00M,,341.00M,,,920.20M,84.10M,,480.40M,1.826B,,,,,,12.21B,-4.242B,7.966B,,696.20M,8.662B,10.49B,,837.20M,,,837.20M,,837.20M,,260.20M,,260.20M,309.50M,1.407B,882.20M,,882.20M,2.696B,,2.696B,,68.40M,450.70M,4.029B,5.436B,,,4.412B,,,,4.984B,,,
